"rownum","Id","CharactersKey","PassiveSkillTreeURL","AscendancyClassName (English)","AscendancyClassName (French)","AscendancyClassName (German)","AscendancyClassName (Japanese)","AscendancyClassName (Korean)","AscendancyClassName (Portuguese)","AscendancyClassName (Russian)","AscendancyClassName (Spanish)","AscendancyClassName (Thai)","AscendancyClassName (Traditional Chinese)","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","UIImageFile","TutorialVideo_BKFile","i32","f32","f32","BackgroundImageFile","IsTemporary","bool","ArchetypeImage","bool","bool"
10,"StrIntArchetypeA",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUBAAGkBLMR2Bo4JE4nLzD4M2w62DwFWfNo8nGFcg-Cm4uMkFWf36EjogCu_8Bm2rnvfPAf-d0=","Inquisitor","Inquisiteur","Inquisitor","インクイジター","인퀴지터","Inquisidor","Инквизитор","Inquisidor","Inquisitor","判官","Whether by spell or by weapon, punish heretics with the full might of the elements!","Que ce soit avec les sorts ou les armes, châtiez les hérétiques grâce à la pleine puissance des éléments !","Ob durch Zauber oder Waffe, Ihr werdet die Ketzer mit der vollen Macht der Elemente strafen!","呪文でも武器でも、元素の大いなる力で異端者を処罰せよ！","주문이나 무기에 원소의 힘을 온전히 쏟아부어 이단자를 응징하십시오.","Seja através de magias ou de armas, puna os hereges com o poder total dos elementos!"," ","Ya sea con hechizos o con armas, ¡castiga a los herejes con todo el poder de los elementos!","ใช้คาถาหรืออาวุธลงฑัณฑ์พวกนอกศาสนาด้วยพลังธาตุทั้งมวล!","無論使用咒術或是兵戎，使用充滿元素的意志摧毀異教徒吧！","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Inquisitor","http://down.qq.com/poe/videos/archetype/Inquisitor.BK2",1,0,47,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
11,"StrIntArchetypeB",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUCAASzGjgnLzD4MtE62EVHaPKCm4SDhTKLjJBVogCu_8Bm1abmfevu7yHwH_nd","Hierophant","Hiérophante","Hierophant","ハイエロファント","하이로펀트","Hierofante","Иерофант","Hierofante","Hierophant","聖宗","Protect your thoughts with masses of mana, and call forth the power of the Ancestors with an army of Totems.","Protégez vos pensées avec une abondance de mana et faites appel au pouvoir des Ancêtres grâce à une armée de Totems.","Schützt Eure Gedanken mit Unmengen an Mana und ruft die Macht der Ahnen mit einer Armee von Totems herbei.","膨大なマナで思考を守り、トーテムの軍勢で先祖の力を呼び寄せる。","대량의 마나로 사상을 보호하고, 토템의 군대로 선조의 힘을 불러내십시오.","Proteja seus pensamentos com mana e convoque o poder dos Ancestrais com um exército de Totens.","Защищайте ваш разум потоками маны и взывайте к силе предков с помощью армии тотемов.","Protege tus pensamientos con concentraciones de maná y convoca el poder de los Ancestros con un ejército de Tótems.","ป้องกันสติของเจ้าด้วยมานา และเรียกพลังของบรรพชนพร้อมกองทัพโทเทม","用海量的魔力保護你的心智，並用圖騰召喚先祖之力。","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Hierophant","http://down.qq.com/poe/videos/archetype/Hierophant.BK2",2,133,11,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
12,"StrIntArchetypeC",6,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAUDAASzFm8XLxpsJKopTzbpQ2NDyE8EUw5V1mTnaPJxTXxLgKSCm5Z0ms-iANWm42rkIuRV8B_60g==","Guardian","Gardien","Wächter","ガーディアン","가디언","Guardião","Защитник","Guardián","Guardian","守護者","Lend aid to your allies through a multitude of powerful auras, but beware: a lonely Guardian is a dead Guardian.","Offrez votre aide à vos alliés à travers une multitude de puissantes auras, mais prenez garde : un Gardien solitaire est un Gardien mort.","Steht Euren Verbündeten mit Euren mächtigen Auren bei. Doch hütet Euch: Ein einsamer Wächter ist ein toter Wächter.","多くの強力なオーラで味方の助力をする。でも気を付けて：孤独なガーディアンは死んだガーディアン。","다수의 강력한 오라를 이용해 동료를 도와주십시오. 단, 홀로 다니는 가디언은 쉽게 죽을 수 있다는 점을 명심하십시오.","Ajude seus aliados através de uma variedade de auras poderosas, mas tenha cuidado: um Guardião solitário é um Guardião morto.","Окружите ваших союзников множеством защитных аур, но помните: одинокий Защитник - мёртвый Защитник.","Provee asistencia a tus aliados a través de una multitud de poderosas auras, pero ten cuidado: un Guardián solitario es un Guardián muerto.","ช่วยเหลือพันธมิตรเจ้าด้วยออร่าทรงพลังหลากชนิดแต่จงจำไว้ Guardian ที่อยู่ลำพัง คือผู้ที่ตายแล้ว","你透過多個強大的光環增強你的隊友，但記住，沒有朋友的你是死路一條。","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/Guardian","http://down.qq.com/poe/videos/archetype/Guardian.BK2",3,525,8,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrInt/TemplarBG","",1,"","",""
13,"StrDexArchetypeA",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQBAAUtB3UhVUCgR35eE185YVJlTXTteu-E2YTvh2qQbJstqSeplLCrvTa-p8Cm2sHcPd3j70705g==","Slayer","Sanguinaire","Schlächter","スレイヤー","슬레이어","Executor","Рубака","Verdugo","Slayer","處刑者","Crush your foes with the might of two-handed weapons. The best defense is a good offense!","Écrasez vos adversaires sous la puissance des armes à deux mains. La meilleure défense, c'est l'attaque !","Zermalmt Eure Feinde mit der Macht von Zweihandwaffen. Angriff ist die beste Verteidigung!","強力な両手武器で敵を粉砕する。攻撃は最大の防御！","양손 무기의 힘으로 적을 분쇄하십시오. 최선의 공격이 최선의 방어입니다!","Esmague seus inimigos com o poder das armas de duas mãos. A melhor defesa é um bom ataque!","Сокрушайте врагов со всей мощью двуручного оружия. Лучшая защита - нападение!","Aplasta a tus enemigos con el poderío de las armas a dos manos. ¡La mejor defensa es un buen ataque!","ใช้อาวุธสองมือฟาดฟันศัตรูเจ้าให้บรรลัย การตั้งรับที่ดีที่สุด คือการบุกที่ดียังไงละ!","用你的雙手兇器摧毀所有敵人。最好的防禦就是進攻！","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Slayer","http://down.qq.com/poe/videos/archetype/Slayer.BK2",2,211,53,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
14,"StrDexArchetypeB",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQCAAUtFewaVS0wL8xFqUd-TUZan2EhYuxlTWa2dO1674TZhO-ZK7kdvTa9gb6nwYLKkNrB","Gladiator","Gladiateur","Gladiator","グラディエーター","글래디에이터","Gladiador","Гладиатор","Gladiador","Gladiator","衛士","Whether you're wielding a shield or any combination of weapons, you're ready to tackle any challenge. The key to victory is simply to outlast.","Armé d'un bouclier, vous êtes prêt à faire face à n'importe quel défi. La clé de la victoire consiste simplement à être le dernier debout.","Ein Schild in Eurer Hand oder eine beliebige Kombination aus Waffen und Ihr könnt Euch jeder Herausforderung stellen. Der Schlüssel zum Erfolg liegt darin, am Ende noch zu stehen.","盾を構え、武器を組み合わせ、どんな困難にも立ち向かう準備は整った。勝利の鍵はただ耐えること。","방패와 함께 하거나, 여러 무기로 싸우거나 당신은 어떤 도전에도 맞설 준비가 되었습니다. 승리의 열쇠는 끝까지 살아남는 것뿐입니다.","Com um escudo ou qualquer combinação de armas empunhadas, você está pronto para enfrentar qualquer desafio. A chave da vitória é simplesmente durar mais que os outros.","Не имеет значения, щит ли у вас в руках или просто оружие - вы готовы к любому испытанию. Ключом к победе станет выживание.","Ya sea que empuñas una combinación de armas o portas un escudo, estás listo para afrontar cualquier desafío. La llave de la victoria es simplemente sobrevivir.","ไม่ว่าจะมีโล่หรืออาวุธใดในมือเจ้า เจ้าจะพร้อมรับมือได้ทุกสิ่ง กุญแจสู่ชัยคือตั้งรับมั่นคง อยู่ให้นานกว่าพวกมัน","準備好一把盾，你就可以面對所有艱難的挑戰。持久是你最強大的武器。","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Gladiator","http://down.qq.com/poe/videos/archetype/Gladiator.BK2",1,33,1,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
15,"StrDexArchetypeC",4,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAQDAAUtBTxAoEd-SHheE185YVJlTXTteu-E2YTvh2qK8JBsmy2pJ6mUvTa-p8VTypDawdwy6UbvTg==","Champion","Champion","Streiter","チャンピオン","챔피언","Campeão","Чемпион","Campeón","Champion","冠軍","Mix might with mettle, and take down the strongest foes you come across. The bigger they are, the harder they fall.","Combinez la force avec le courage, et jetez à bas les adversaires les plus puissants qui croiseront votre chemin. Plus ils sont grands, plus ils tombent de haut.","Die Verbindung aus Kraft und Mut bezwingt selbst die stärksten Gegner. Je größer sie sind, desto tiefer fallen sie.","Mix might with mettle, and take down the strongest foes you come across. The bigger they are, the harder they fall.","완력과 패기로 가장 강력한 적들을 쓰러트리십시오. 덩치가 클수록 쉽게 쓰러지지 않을 것입니다.","Misture poder com fúria e derrote os inimigos mais poderosos que encontrar. Quanto maior forem, maior será a queda."," ","Mezcla poder con entereza y derriba a los más poderosos enemigos que te cruces. Cuando más grandes son, más duro caen.","ผสมกำลังวังชากับสมองเข้าด้วยกันและล้มยอดศัตรูผู้แข็งแกร่ง ตัวมันยิ่งใหญ่ก็ยิ่งล้มดัง","結合英雄氣概與力量，擊敗迎面而來的強敵。敵人越強，死的越慘。","Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/Champion","http://down.qq.com/poe/videos/archetype/Champion.BK2",3,424,223,"Art/2DArt/UIImages/InGame/ArchetypeSelect/StrDex/DuelistBG","",1,"","",""
16,"DexIntArchetypeA",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYCAA5IE20UCRa_G8gmiCaVNj1VS2HiYqxqjGyMbWx2gp2qotmw2LTRtUi3MMgMyBTjhPVv","Trickster","Roublard","Schwindler","トリックスター","트릭스터","Trapaceiro","Плут","Embaucador","Trickster","詐欺師","Use every trick in the book to debilitate your foes and keep them from ever getting close to you.","Utilisez tous les tours dans votre sac pour affaiblir vos adversaires et les empêcher de vous approcher. ","Schwächt Eure Gegner nach allen Regeln der Kunst und haltet sie stets auf Abstand.","Use every trick in the book to debilitate your foes and keep them from ever getting close to you.","책에서 배운 각종 속임수로 적을 쇠잔하게 만들어 다가오지 못하게 하십시오.","Use todos os truques no livro para debilitar seus inimigos e impedir que eles se aproximem de você."," ","Usa cada truco en el manual para debilitar a tus enemigos para que jamás se acerquen a ti.","ใช้ทุกกลเม็ดในหนังสือเพื่อปั่นหัวศัตรูไม่ให้เข้าใกล้เจ้า","使用教科書上的每個把戲削弱敵人，讓他們永遠無法接近你。","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Trickster","http://down.qq.com/poe/videos/archetype/Trickster.BK2",1,4,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
17,"DexIntArchetypeB",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYDAAbnH0ErCjIYNj1HBlMxVEdVS13yYeJirGyMbWxwUX2wjDaU8ZhTnaqexKQFpr6zA7Q4tMW1SLd12-flGetj7hX4l_v1","Saboteur","Saboteur","Saboteur","サボター","사보추어","Sabotador","Диверсант","Saboteador","Saboteur","破壞者","Master the art of explosives! A field of carefully laid traps and mines can bring down even the toughest of foes.","Devenez un maître dans l'art des explosifs ! Un terrain saturé de mines et pièges consciencieusement dissimulés peut sonner le glas de l'adversaire le plus puissant.","Werdet zum Sprengstoffexperten! Platziert die Fallen und Minen mit äußerster Sorgfalt und werdet Zeuge, wie selbst Monumente einstürzen.","Master the art of explosives! A field of carefully laid traps and mines can bring down even the toughest of foes.","당신은 폭발물의 대가입니다! 교묘히 설치한 덫과 지뢰는 강력한 적도 쓰러뜨릴 수 있습니다.","Mestre das artes explosivas! Um campo repleto de armadilhas e minas cuidadosamente posicionadas pode acabar com os inimigos mais resistentes."," ","¡Domina el arte de los explosivos! Un campo de trampas y minas cuidadosamente colocadas puede acabar con el más resistente de los enemigos.","จ้าวแห่งการใช้ระเบิด! ทุ่งที่เต็มไปด้วยทุ่นระเบิดและกับดักนั้นพิชิตได้แม้แต่ศัตรูที่แข็งแกร่งที่สุด","爆破的藝術大師！在戰場上放下陷阱和地雷，輕易擊敗最堅強的敵人。","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Saboteur","http://down.qq.com/poe/videos/archetype/Saboteur.BK2",3,695,80,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
18,"DexIntArchetypeC",5,"https://www.pathofexile.com/passive-skill-tree/3.11.0/AAAABAYBAA3RDkgWvyLYJpUqCyzhRwZVS13yYeJjQ2qMcFKJ04w2otmsZrDYuT7IFNh244Ty4fVv","Assassin","Assassin","Assassine","アサシン","어쌔신","Assassino","Убийца","Asesino","Assassin","刺客","Get the jump on your enemies and obliterate them with critical strikes before they even know what is happening.","Bondissez sur vos ennemis et oblitérez-les avec des coups critiques avant qu'ils n'aient le temps de comprendre ce qui leur arrive.","Schnellt aus dem Hinterhalt hervor und merzt Eure Gegner mit kritischen Treffern aus, bevor sie überhaupt wissen, wie ihnen geschieht.","Get the jump on your enemies and obliterate them with critical strikes before they even know what is happening.","적에게 달려들어 상대가 미처 깨닫기도 전에 치명타를 가한 후 제거하십시오.","Surpreenda seus inimigos e os oblitere com golpes críticos antes que eles saibam o que está acontecendo."," ","Adelántate a tus enemigos y destrúyelos con golpes críticos antes de que descubran qué está sucediendo.","กระโดดใส่ศัตรูและปลิดชีพในหมัดเดียวก่อนที่มันจะรู้ว่าโดนอะไรด้วยซ้ำ","突然出現在敵人面前，在他們意識到前用暴擊殲滅他們。","Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/Assasin","http://down.qq.com/poe/videos/archetype/Assassin.BK2",2,236,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/DexInt/ShadowBG","",1,"","",""
19,"TemporaryArchetype1",6,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAUCAQOaBAcEUQSzBUIHHgj0CaoLYQ5IDlwPxBDMEZYWQBZvFr8dFB8CIG4kqiaVKgsqEysmLJwtHzLRNsU26ToWOlg64Tt8PC1BlkVHRX5FnUlPSVFMs06uUDBRdFNSVUtVxlhtWOVaK13yXyph4mQzZp5oWmjyakNq-nBSeyB_xoNfg8yD24PzhTKFfYaCidOLjIw2jmSO6Y9Gj_qVIJUuly2a4KIAoqOj8qZXppmnCK4SrrOvbLE2tvq3PrjKuZO8qrzqwGbAmsHzwwnGrtAf0PXYJNi92fzjauvk6-7r9e_r8B_w1fId8kX3pviT-d360v4K_oc=","Killer Frost","Givre meurtrier","Killer Frost","キラーフロスト","서리 살인자","Geada Mortal"," ","Escarcha mortal","Killer Frost","霜之殤","Killer Frost is naturally attuned to the power of primordial magic. Able to summon totems, releasing a large pulse of freezing air, he can stand at a safe distance and vanquish any of Wraeclast's monsters with ease.","Le Givre meurtrier est en harmonie naturelle avec les pouvoirs de la magie primordiale. Capable d'invoquer des totems qui libèrent des pulsations d'air glacé, il peut aisément affronter les monstres de Wraeclast tout en se tenant à distance.","Killer Frost is naturally attuned to the power of primordial magic. Able to summon totems, releasing a large pulse of freezing air, he can stand at a safe distance and vanquish any of Wraeclast's monsters with ease.","Killer Frost is naturally attuned to the power of primordial magic. Able to summon totems, releasing a large pulse of freezing air, he can stand at a safe distance and vanquish any of Wraeclast's monsters with ease.","서리 살인자는 선천적으로 원시 마법의 힘을 조율할 수 있습니다. 소환한 토템으로 거대한 냉기를 내뿜어, 안전하게 떨어진 곳에서 손쉽게 레이클라스트의 몬스터들을 격퇴합니다.","Geada Mortal é naturalmente ligado ao poder da magia primordial. Capaz de convocar totens, liberando um grande pulso de ar congelante, ele pode ficar em uma distância segura e conquistar qualquer monstro de Wraeclast com facilidade."," ","Escarcha Mortal se encuentra en armonía con el poder de la magia primordial. Es capaz de invocar tótems, y liberando un gran pulso de aire helado puede mantenerse a una distancia segura y derrotar a cualquiera de los monstruos de Wraeclast con facilidad.","Killer Frost จะปรับเข้ากับพลังของพลังคาถายุคแรกเริ่ม สามารถอัญเชิญโทเทม ปลดปล่อยคลื่นอากาศเย็นสุดขั้วขนาดใหญ่ และเขาสามารถทำลายมอนสเตอร์ของเวร์แคลส์ทจากระยะปลอดภัยได้อย่างง่ายดาย","霜之殤能自然適應原始魔法的力量。能夠召喚圖騰，釋放大量冷凍空氣，他可以站在安全的距離，輕鬆擊敗瓦爾克拉斯的任何怪物。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Cold","http://down.qq.com/poe/videos/build/3.3_FreezePulseTotem.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/ColdBG",1,"","Art/2DArt/UIImages/Common/Archetypes/ColdClass","",""
20,"TemporaryArchetype2",1,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAMCAQN1BAcEswceCPQOSBGWFm8WvxpsHNwfAiGwIvQkqiTYJpUnLyj6Ko0snC6UNPc1kjbFNtg26TpYOtg64TwFPV9Bh0SrRZ1GUkkbSVFMi0yzTeNSU1NSVEdVS1WuVcZWSF3yXwRfKmHiZlRo8mpDa3psC20ZfEt_xoIQgpuCx4PbhW2Fe4w2jxqPppBVkPqTJ5UulnSXhZeVl_SaO5rgnWOdrp7En9-hL6IAplemvqcIrJi3PriTvOq-isBmyL_QH9WB1abYJNi9323fsONq5CLr5Ovu7DjsVe0870vvfO_r8B_w1fFs8kX56PxM_gr-jw==","Saint of Ashes","Sainte des cendres","Saint of Ashes","アッシュセイント","재의 성자","Santo das Cinzas"," ","Santa de las cenizas","Saint of Ashes","灰燼聖者","People say when she arrived on this damned isle, that she was just a girl. Fate had different plans for her when she accidentally fell into a portal connecting to the Ancient Vaal Era. She was exposed to the Vaal Pyramid's power of fire, and since then fire has become her. Fire kills...and also gives anew.","Quand elle est arrivée sur cette île maudite, on lui a dit qu'elle n'était qu'une simple fille. Mais le destin en a décidé autrement lorsqu'elle fit une chute dans un portail relié à l'Ancienne époque des Vaal. Elle fut exposée à la puissance des flammes de la Pyramide vaal et, depuis, les flammes ne sont emparées d'elle. Des flammes destructrices... mais aussi créatrices.","People say when she arrived on this damned isle, that she was just a girl. Fate had different plans for her when she accidentally fell into a portal connecting to the Ancient Vaal Era. She was exposed to the Vaal Pyramid's power of fire, and since then fire has become her. Fire kills...and also gives anew.","People say when she arrived on this damned isle, that she was just a girl. Fate had different plans for her when she accidentally fell into a portal connecting to the Ancient Vaal Era. She was exposed to the Vaal Pyramid's power of fire, and since then fire has become her. Fire kills...and also gives anew.","이 저주받은 섬에 도착했을 때 그녀는 작은 소녀에 불과했다고 합니다. 하지만 그녀가 우연히 고대 바알 시대와 연결되었을 때 운명은 또 다른 계획을 준비하고 있었습니다. 그렇게 그녀는 바알 피라미드에서 나오는 불의 힘에 노출되었고, 불과 하나가 되었습니다. 불은 사람을 집어삼킴과 동시에... 새로운 시작이기도 합니다.","As pessoas dizem que quando ela apareceu nesta ilha maldita, ela era só uma garotinha. O destino tinha planos diferentes para ela quando ela acidentalmente caiu em um portal conectado à uma Era Vaal Antiga. Ela foi exposta ao poder de fogo da Pirâmide Vaal, e desde então o fogo se tornou ela. O fogo mata...e também renova."," ","La gente dice que cuando llegó a esta maldita isla, no era más que una niña. El destino tenía planes diferentes para ella cuando accidentalmente cayó en un portal que conectaba con la Antigua Era Vaal. Fue expuesta al poder del fuego de la Pirámide Vaal, y desde entonces, se convirtió en fuego. El fuego mata... y también reaviva.","ว่ากันว่าเมื่อนางมาถึงเกาะต้องสาปนี่ นางเป็นเพียงเด็กตัวน้อย ชะตามีแผนการสารพัดให้นางเมื่อนางเผลอร่วงไปยังประตูมิติที่เชื่อมไปยังยุค Vaal โบราณ นางได้เจอกับพลังเพลิงของ Vaal Pyramid เข้าไป และนับจากนั้นไฟคือนาง ไฟสังหาร และสร้างชีวิตใหม่ได้เช่นกัน","人們說，當她到達這個該死的小島時，她只是一個女孩。當她不小心陷入連接古瓦爾時代的傳送門時，命運對她有不同的安排。她被暴露在瓦爾金字塔的火力之下，從那時起火造就了她。 遇火而死…也帶來新生。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Fire","http://down.qq.com/poe/videos/build/3.3_Incinerate.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/FireBG",1,"","Art/2DArt/UIImages/Common/Archetypes/FireClass","",""
21,"TemporaryArchetype3",5,"https://www.pathofexile.com/passive-skill-tree/3.0.2/AAAABAYDAQNlBAcEswVCBbUGQAZ3Bx4I1Aj0DkgRLREvEZYT3xa_G-Ac3B9bIG4mlSj6KgsqWysKLJwtHzLROuE9X0GHQZZCLEVHRZ1HBklPSVFMs1AwUlNS7FMxU1JVS1XGV9hd8mHiYqxjQ2SdZ05qQ2wIbIxvd3BRcFJzbXZvefZ7X3yDfll-sH_GgseD24PxhTKJ04w2jb-PGo_6kA2U8ZUglS6XLZeVmAaa4KB5ogCio6ZXrrO0xbc-t3W4k7mTvKq86sBmwfPC7MMJ0B_Q0ND11CPYVNi92-fr7uv17hXv6_Af8NXw-fGK8h3yRfJ18uH4l_no_Ur-Cg==","Spectral Assassin","Assassin spectral","Spectral Assassin","スペクトラルアサシン","영체 어쌔신","Assassino Espectral"," ","Asesino espectral","Spectral Assassin","靈魂刺客","His ancestors were once in the service of an Ancient Vaal Assassination Cult, the skills of assassination flows in his blood. A master at traps, he savours his victory... from the shadows.","Ses ancêtres étaient jadis au service d'une Secte d'assassins vaal ; ainsi, l'art de l'assassinat coule dans ses veines. Véritable virtuose avec les pièges, il savoure sa victoire... depuis les ombres.","His ancestors were once in the service of an Ancient Vaal Assassination Cult, the skills of assassination flows in his blood. A master at traps, he savours his victory... from the shadows.","His ancestors were once in the service of an Ancient Vaal Assassination Cult, the skills of assassination flows in his blood. A master at traps, he savours his victory... from the shadows.","그의 선조는 한때 고대 바알 암살단의 일원이었습니다. 그렇게 그 암살 기술은 가문 대대로 전해져왔습니다. 덫의 대가는 그림자 속에서 승리를 만끽하는 존재입니다.","Seus ancestrais uma vez serviram o Antigo Culto de Assasinos Vaal, as habilidades dos assassinos fluem pelo seu sangue. Um mestre das armadilhas, ele saboreia sua vitória...das sombras."," ","Sus antepasados sirvieron a un antiguo Culto de Asesinos Vaal, por lo que las habilidades para el asesinato fluyen por su sangre. Es un maestro de las trampas, y saborea su victoria... desde las sombras.","บรรพชนของเขาเคยรับใช้ลัทธินักลอบสังหารโบราณของพวก Vaal ทักษะของการลอบสังหารไหลเวียนอยู่ในสายเลือด เชี่ยวชาญการใช้กับดัก และเขาเสพสมกับชัยชนะ...จากเงามืด","他的祖先曾經服侍過一次古瓦爾刺客邪教，暗殺技能在他的血液中流動。作為陷阱的大師，他從陰影中…獲得了他的勝利。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/Lightning","http://down.qq.com/poe/videos/build/3.3_LightningTrap.BK2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/LightningBG",1,"","Art/2DArt/UIImages/Common/Archetypes/LightClass","",""
22,"TemporaryArchetype4",6,"https://www.pathofexile.com/passive-skill-tree/AAAABgUDeQGkAosEswthDc0QUREtEY4R2BZvFy8aOBpsGzcczh4II70kTiSqJy8qmCtQLJwuLDLRNZI26TrGOuE66TwtQWlC50VHRZ1G_kqfTLNMuU3PTeNTUlWpVdZWLlnzWpFg-GL0ZOdmVGaeZ3Fo8moBakNqrGvbcbJyqXasfIN82X3xffV-bICkgOCDX4PMhXuG-IhAibyLjJAzkFWTCZe0mE2a4JswnEqg5qHHogCmrKh9qn-qqayqrY2vbK-ntz64XbzqwGbE9saKxq7PftP71kHXati92b_jauoY6-7sOOyK8B_yKPJF9zL53frS_gr-VP6PAAmGT7hdR32TCft9oce6Gn3xS95C5y3L1kGciap_okjyKLlFhvg=","Guardian: Dominating Blow","Gardien – Coup de soumission","Guardian: Dominating Blow","ガーディアン：ドミネーティングブロウ","가디언: 지배의 맹타","Guardião: Golpe Dominador","Guardian: Dominating Blow","Guardián: Embate dominante","Guardian: แสดงอำนาจ (Dominating Blow)","守護者：霸氣之擊","Use dominating blow to cause melee damage, applying a debuff to an enemy. If you kill the enemy within the debuff duration, the enemy will turn into a sentinel that will fight for you. When you hit an unique enemy you also have a chance to summon a sentinel.","Avec Coup de soumission, vous infligez des dégâts de mêlée et appliquez un effet néfaste aux ennemis. Lorsque vous tuez un ennemi sous cet effet, il se tranforme en une Sentinelle qui se battra à vos côtés. Vous avez également des chances d'invoquer une Sentinelle lorsque vous frappez un ennemi unique.","Use dominating blow to cause melee damage, applying a debuff to an enemy. If you kill the enemy within the debuff duration, the enemy will turn into a sentinel that will fight for you. When you hit an unique enemy you also have a chance to summon a sentinel.","Use dominating blow to cause melee damage, applying a debuff to an enemy. If you kill the enemy within the debuff duration, the enemy will turn into a sentinel that will fight for you. When you hit an unique enemy you also have a chance to summon a sentinel.","지배의 맹타로 근접 피해를 주어 적 1명에게 디버프를 겁니다. 디버프 지속시간 내에 해당 적을 처치하면, 당신을 위해 싸우는 파수꾼이 되어 줍니다. 아울러, 특수 상대를 처치할 시 일정 확률로 파수꾼이 소환됩니다.","Utiliza golpe dominante para causar dano corpo a corpo, aplicando uma penalidade ao inimigo. Caso você o mate dentro da duração da penalidade, o inimigo então retornará um sentinela que lutará por você. Quando acertar um inimigo único você também possui uma chance de convocar um sentinela.","Use dominating blow to cause melee damage, applying a debuff to an enemy. If you kill the enemy within the debuff duration, the enemy will turn into a sentinel that will fight for you. When you hit an unique enemy you also have a chance to summon a sentinel.","Usa Embate Dominante para infligir daño cuerpo a cuerpo que aplica una penalidad a un enemigo. Si matas al enemigo mientras tiene la penalidad, el enemigo se convertirá en un centinela que luchará a tu lado. Cuando golpeas a un enemigo único, también tienes una probabilidad de invocar un centinela.","ใช้ แสดงอำนาจ (Dominating Blow) เพื่อสร้างความเสียหาย ประชิด และสร้างดีบัฟต่อศัตรู \r\nเมื่อคุณสังหารศัตรูที่ติดดีบัฟนี้ ศัตรูจะกลายมาเป็น ทหารยาม ช่วยคุณต่อสู้ \r\nเมื่อคุณปะทะศัตรูยูนิค คุณก็มีโอกาสอัญเชิญ ทหารยาม เช่นกัน","使用霸氣之擊造成近戰傷害，對敵人造成減益效果。若你在減益效果持續時間內擊殺敵人，敵人會轉化為護衛為你作戰。當你擊中傳其敵人時也有機率召喚護衛。","Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19DomBlow","http://down.qq.com/poe/videos/archetype/S19DomBlow.bk2",0,0,0,"Art/2DArt/UIImages/InGame/ArchetypeSelect/Custom/S19DomBlow",1,"","Art/2DArt/UIImages/Common/Archetypes/S19DomBlow","",""
