"rownum","Id","Art","RewardTypeName (English)","RewardTypeName (French)","RewardTypeName (German)","RewardTypeName (Japanese)","RewardTypeName (Korean)","RewardTypeName (Portuguese)","RewardTypeName (Russian)","RewardTypeName (Spanish)","RewardTypeName (Thai)","RewardTypeName (Traditional Chinese)","row","RewardRoomName (English)","RewardRoomName (French)","RewardRoomName (German)","RewardRoomName (Japanese)","RewardRoomName (Korean)","RewardRoomName (Portuguese)","RewardRoomName (Russian)","RewardRoomName (Spanish)","RewardRoomName (Thai)","RewardRoomName (Traditional Chinese)","MinLevel","MaxLevel","Weight","RewardRoomName2 (English)","RewardRoomName2 (French)","RewardRoomName2 (German)","RewardRoomName2 (Japanese)","RewardRoomName2 (Korean)","RewardRoomName2 (Portuguese)","RewardRoomName2 (Russian)","RewardRoomName2 (Spanish)","RewardRoomName2 (Thai)","RewardRoomName2 (Traditional Chinese)","HeistJobsKey","i32","i32"
18,"Talismans","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTalismans","Talismans","Talismans","Talismane","タリスマン","부적","Talismãs","Талисманы","Talismanes","สร้อยเครื่องราง","魔符",0,"Talismans Reward Room","Salle de récompenses :\nTalismans","Belohnungsraum mit Talismanen","タリスマン報酬部屋","부적 보물 창고","Sala de Recompensas: Talismãs","Комната с талисманами","Sala de recompensas de talismanes","ห้องของรางวัล สร้อยเครื่องราง","魔符獎勵房",1,100,150,"Talismans Reward Room","Salle de récompenses :\nTalismans","Belohnungsraum mit Talismanen","タリスマン報酬部屋","부적 보물 창고","Sala de Recompensas: Talismãs","Комната с талисманами","Sala de recompensas de talismanes","ห้องของรางวัล สร้อยเครื่องราง","魔符獎勵房",[5],150,1
19,"Legion","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardLegion","Legion","Légion","Legion","リージョン","군단","Legion","Легион","Legion","กองพัน","戰亂",0,"Legion Reward Room","Salle de récompenses :\nObjets de Légions","Belohnungsraum mit Legion-Gegenständen","リージョン報酬部屋","군단 보물 창고","Sala de Recompensas: Legion","Комната Легиона","Sala de recompensas de Legion","ห้องของรางวัล กองพัน","戰亂獎勵房",68,100,150,"Legion Reward Room","Salle de récompenses :\nObjets de Légions","Belohnungsraum mit Legion-Gegenständen","リージョン報酬部屋","군단 보물 창고","Sala de Recompensas: Legion","Комната Легиона","Sala de recompensas de Legion","ห้องของรางวัล กองพัน","戰亂獎勵房",[5],150,1
20,"Blight","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardBlight","Blight","Infestation","Blight","ブライト","역병","Blight","Скверна","Blight","ไบล์ท","凋落",0,"Blight Reward Room","Salle de récompenses :\nObjets de l'Infestation","Belohnungsraum mit Blight-Gegenständen","ブライト報酬部屋","역병 보물 창고","Sala de Recompensas: Blight","Комната Скверны","Sala de recompensas de Blight","ห้องของรางวัล ไบล์ท","凋落獎勵房",68,100,150,"Blight Reward Room","Salle de récompenses :\nObjets de l'Infestation","Belohnungsraum mit Blight-Gegenständen","ブライト報酬部屋","역병 보물 창고","Sala de Recompensas: Blight","Комната Скверны","Sala de recompensas de Blight","ห้องของรางวัล ไบล์ท","凋落獎勵房",[3],150,1
21,"Metamorphosis","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMetamorph","Metamorph","Métamorphe","Metamorph","メタモルフ","변형","Metamorph","Метаморф","Metamorph","เมตามอร์ฟ","鍊魔",0,"Metamorph Reward Room","Salle de récompenses :\nObjets de Métamorphe","Belohnungsraum mit Metamorph-Gegenständen","メタモルフ報酬部屋","변형 보물 창고","Sala de Recompensas: Metamorph","Комната Метаморфа","Sala de recompensas de Metamorph","ห้องของรางวัล เมตามอร์ฟ","鍊魔獎勵房",68,100,150,"Metamorph Reward Room","Salle de récompenses :\nObjets de Métamorphe","Belohnungsraum mit Metamorph-Gegenständen","メタモルフ報酬部屋","변형 보물 창고","Sala de Recompensas: Metamorph","Комната Метаморфа","Sala de recompensas de Metamorph","ห้องของรางวัล เมตามอร์ฟ","鍊魔獎勵房",[3],150,1
22,"Delirium","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardDelirium","Delirium","Délire","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","เดลิเรียม","譫妄",0,"Delirium Reward Room","Salle de récompenses :\nObjets des brumes du Délire","Belohnungsraum mit Delirium-Gegenständen","デリリウム報酬部屋","환영 보물 창고","Sala de Recompensas: Delirium","Комната Делириума","Sala de recompensas de Delirium","ห้องของรางวัล เดลิเรียม","譫妄獎勵房",68,100,150,"Delirium Reward Room","Salle de récompenses :\nObjets des brumes du Délire","Belohnungsraum mit Delirium-Gegenständen","デリリウム報酬部屋","환영 보물 창고","Sala de Recompensas: Delirium","Комната Делириума","Sala de recompensas de Delirium","ห้องของรางวัล เดลิเรียม","譫妄獎勵房",[3],150,1
23,"HardModeArmour","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardArmour","Armour","Pièces d'armure","Rüstung","防具","방어구","Armadura","Доспехи","Armadura","เกราะ","護甲",0,"","","","","","","","","","",1,100,100,"Armour Reward Room","Salle de récompenses :\nPièces d'armure","Belohnungsraum mit Rüstung","防具報酬部屋","방어구 보물 창고","Sala de Recompensas: Armaduras","Комната с доспехами","Sala de recompensas de armaduras","ห้องของรางวัล เกราะ","護甲獎勵房","[0,1,2,3,4,5,6,7,8]",100,2
24,"HardModeWeapon","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardWeapon","Weapon","Armes","Waffen","武器","무기","Arma","Оружие","Arma","อาวุธ","武器",0,"","","","","","","","","","",1,100,100,"Weapon Reward Room","Salle de récompenses :\nArmes","Belohnungsraum mit Waffen","武器報酬部屋","무기 보물 창고","Sala de Recompensas: Armas","Комната с оружием","Sala de recompensas de armas","ห้องของรางวัล อาวุธ","武器獎勵房","[0,1,2,3,4,5,6,7,8]",100,2
25,"HardModeTrinkets","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardTrinkets","Accessories","Accessoires","Accessoires","宝飾品","장신구","Acessórios","Бижутерия","Accesorios","เครื่องประดับ","飾品",0,"Accesories Reward Room","","","","","","","","","",1,100,5,"Accesories Reward Room","Salle de récompenses :\nAccessoires","Belohnungsraum mit Accessoires","宝飾品報酬部屋","장신구 보물 창고","Sala de Recompensas: Acessórios","Комната с украшениями","Sala de recompensas de accesorios","ห้องของรางวัล เครื่องประดับ","飾品獎勵房","[0,1,2,3,4,5,6,7,8]",5,2
26,"HardModeCurrency","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨",0,"","","","","","","","","","",46,100,15,"Currency Reward Room","Salle de récompenses :\nObjets monétaires","Belohnungsraum mit Währung","カレンシー報酬部屋","화폐 보물 창고","Sala de Recompensas: Itens Monetários","Комната с валютой","Sala de recompensas de objetos monetarios","ห้องของรางวัล เงินตรา","通貨獎勵房","[0,1,2,3,4,5,6,7,8]",15,2
27,"HardModeMaps","Art/2DArt/UIImages/InGame/Heist/Blueprints/Rewards/HeistRewardMaps","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","地圖",0,"","","","","","","","","","",68,100,5,"Maps Reward Room","Salle de récompenses :\nCartes","Belohnungsraum mit Karten","マップ報酬部屋","지도 보물 창고","Sala de Recompensas: Mapas","Комната с картами","Sala de recompensas de mapas","ห้องของรางวัล แผนที่","地圖獎勵房","[0,1,2,3,4,5,6,7,8]",5,2
