"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","BestiaryGroupsKey","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","Icon"
10,"Snakes","Snakes","Serpents","Schlangen","スネーク","뱀","Cobras","Змеи","Serpientes","Snake","毒蛇",6,"Snake","Serpent","Schlange","スネーク","뱀","Cobra","Змея","Serpiente","Snake","毒蛇",""
11,"Spawn","Spawn","Engeances","Ausgeburten","スポーン","유충","Aparições ","Выродки","Engendros","Spawn","幼蟲",9,"Spawn","Engeance","Ausgeburt","スポーン","유충","Aparição","Выродок","Engendro","Spawn","幼蟲",""
12,"Spiders","Spiders","Araignées","Spinnen","クモ","거미","Aranhas","Пауки","Arañas","Spider","毒蛛",8,"Spider","Araignée","Spinne","クモ","거미","Aranha","Паук","Araña","Spider","毒蛛","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Spiders"
13,"Maws","Maws","Mâchoires","Schlünde","モー","큰턱개구리","Mandíbulas","Пасти","Fauces","Maw","裂齒獸",11,"Maw","Mâchoire","Schlund","モー","큰턱개구리","Mandíbula","Пасть","Fauces","Maw","裂齒獸",""
14,"Chimerals","Chimerals","Chimérals","Chimären","キメラ","키메랄","Quimeras","Ящеры","Quimeras","Chimeral","龍蜥",6,"Chimeral","Chiméral","Chimäre","キメラ","키메랄","Quimera","Ящер","Quimera","Chimeral","龍蜥","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Iguana"
15,"CarrionQueens","Carrion Queens","Reines charognardes","Aas-Königinnen","キャリオンクイーン","부패하는 여왕","Rainhas Carniceiras","Матки трупоедов","Reinas de carroña","Carrion Queen","食腐蟲后",7,"Carrion Queen","Reine charognarde","Aas-Königin","キャリオンクイーン","부패하는 여왕","Rainha Carniceira","Матка трупоедов","Reina de carroña","Carrion Queen","食腐蟲后",""
16,"CarrionInsects","Carrion Insects","Insectes charognards","Aas-Insekten","キャリオンインセクト","부패하는 벌레","Insetos da Carniça","Насекомые-трупоеды","Insectos de carroña","Carrion Insect","食腐蟲",7,"Carrion Insect","Insecte charognard","Aas-Insekt","キャリオンインセクト","부패하는 벌레","Inseto da Carniça","Насекомое-трупоед","Insecto de carroña","Carrion Insect","食腐蟲",""
17,"Retches","Retches","Vomisseurs","Würger","レッチ","레치","Ânsias","Рыгатели","Desdichados","Retch","反芻鳥",5,"Retch","Vomisseur","Würger","レッチ","레치","Ânsia","Рыгатель","Desdichado","Retch","反芻鳥",""
18,"Goliaths","Goliaths","Goliaths","Goliaths","ゴライアス","골리앗","Golias","Исполины","Goliats","Goliath","巨獸",4,"Goliath","Goliath","Goliath","ゴライアス","골리앗","Golias","Исполин","Goliat","Goliath","巨獸","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Spiker"
19,"Devourers","Devourers","Dévoreurs","Verschlinger","デヴォアラー","포식자","Devoradores","Пожиратели","Devoradores","Devourer","吞噬獸",7,"Devourer","Dévoreur","Verschlinger","デヴォアラー","포식자","Devorador","Пожиратель","Devorador","Devourer","吞噬獸","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/RootSpider"
20,"Watchers","Watchers","Veilleurs","Wächter","ウォッチャー","감시자","Observadores","Смотрители","Observadores","Watcher","看守者",9,"Watcher","Veilleur","Wächter","ウォッチャー","감시자","Observador","Смотритель","Observador","Watcher","看守者",""
21,"PlummetingUrsae","Plummeting Ursae","Ursidés plongeants","Fallende Ursae","プラメティングウルサ","강하하는 곰","Marsupiais da Cascata","Падучие медведи","Ursas emboscadores","Plummeting Ursa","墜落熊",3,"Plummeting Ursa","Ursidé plongeant","Fallender Ursa","プラメティングウルサ","곤두박질 곰","Marsupial da Cascata","Падучий медведь","Ursa emboscador","Plummeting Ursa","墜落熊","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/DropBear"
22,"Vultures","Vultures","Vautours","Geier","ハゲタカ","시체매","Abutres","Грифы","Buitres","Vulture","禿鷹",5,"Vulture","Vautour","Geier","ハゲタカ","시체매","Abutre","Гриф","Buitre","Vulture","禿鷹","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Vulture"
23,"Leapers","Leapers","Bondisseurs","Hüpfer","リーパー","뜀박이","Saltadores","Прыгуны","Atacantes","Leaper","突躍獸",7,"Leaper","Bondisseur","Hüpfer","リーパー","리퍼","Saltador","Прыгун","Atacante","Leaper","突躍獸",""
24,"KaruiHounds","Karui Hounds","Dogues karuis","Karui-Hunde","カルイハウンド","카루이 사냥개","Cães Karui","Гончие каруи","Sabuesos karui","Karui Hound","卡魯獵犬",2,"Karui Hound","Dogue karui","Karui-Hund","カルイハウンド","카루이 사냥개","Cão Karui","Гончая каруи","Sabueso karui","Karui Hound","卡魯獵犬","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Hound"
25,"Pitbulls","Pitbulls","Pitbulls","Pitbulls","ピットブル","투견","Touros do Fosso","Псы","Pitbulls","Pitbull","鬥牛犬",2,"Pitbull","Pitbull","Pitbull","ピットブル","투견","Touro do Fosso","Пёс","Pitbull","Pitbull","鬥牛犬","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Pitbull"
26,"Cockerels","Cockerels","Coqs","Hähne","オンドリ","수탉","Galos","Задиры","Gallos","Cockerel","野雞",5,"Cockerel","Coq","Hahn","オンドリ","수탉","Galo","Задира","Gallo","Cockerel","野雞","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Eyepecker"
27,"Bulls","Bulls","Taureaux","Bullen","ブル","황소","Touros","Быки","Toros","Bull","野牛",4,"Bull","Taureau","Bulle","ブル","황소","Touro","Бык","Toro","Bull","野牛","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Bull"
28,"ApeChieftains","Ape Chieftains","Chefs grands singes","Stammesführer","エイプチーフテン","유인원 부족장","Chefes Guerreiros Primatas","Вожаки приматов","Jefes monos","Ape Chieftain","大酋長",1,"Ape Chieftain","Chef grand singe","Stammesführer","エイプチーフテン","유인원 부족장","Chefe Guerreiro Primata","Вожак приматов","Jefe mono","Ape Chieftain","大酋長","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/BloodChieftain"
29,"Parasites","Parasites","Parasites","Parasiten","パラサイト","기생충","Parasitas","Паразиты","Parásitos","Parasite","寄生獸",7,"Parasite","Parasite","Parasit","パラサイト","기생충","Parasitas","Паразит","Parásito","Parasite","寄生獸",""
30,"Crabs","Crabs","Crabes","Krebse","クラブ","게","Caranguejos","Крабы","Cangrejos","Crab","巨蟹",10,"Crab","Crabe","Krebs","クラブ","게","Caranguejo","Краб","Cangrejo","Crab","巨蟹",""
31,"Hounds","Hounds","Dogues","Hunde","ハウンド","사냥개","Cães","Гончие","Sabuesos","Hound","獵犬",2,"Hound","Dogue","Hund","ハウンド","사냥개","Cão","Гончая","Sabueso","Hound","獵犬",""
32,"Lurchers","Lurchers","Fouilleurs","Schleicher","ラーチャー","러처","Gatunos","Ползуны","Acechadores","Lurcher","奸細",10,"Lurcher","Fouilleur","Schleicher","ラーチャー","러처","Gatuno","Ползун","Acechador","Lurcher","奸細","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/Lurchers"
33,"Arachnoscorpions","Arachnoscorpions","Arachnoscorpions","Spinnenskorpione","アラクノススコーピオン","거미전갈","Aracnoscorpiões","Арахноскорпионы","Escorpiones arácnidos","Arachnoscorpion","蛛網毒蠍",8,"Arachnoscorpion","Arachnoscorpion","Spinnenskorpion","アラクノススコーピオン","거미전갈","Aracnoscorpião","Арахноскорпион","Escorpión arácnido","Arachnoscorpion","蛛網毒蠍",""
34,"Rhexes","Rhexes","Rhexs","Rhexe","レックス","렉스","Rhexes","Рексы","Rhexes","Rhex","雛鳥",5,"Rhex","Rhex","Rhex","レックス","렉스","Rhex","Рекс","Rhex","Rhex","雛鳥",""
35,"Scorpions","Scorpions","Scorpions","Skorpione","サソリ","전갈","Escorpiões","Скорпионы","Escorpiones","Scorpion","毒蠍",8,"Scorpion","Scorpion","Skorpion","サソリ","전갈","Escorpião","Скорпион","Escorpión","Scorpion","毒蠍",""
36,"Lynxes","Lynxes","Lynxs","Luchse","ヤマネコ","스라소니","Linces","Рыси","Linces","Lynx","山貓",0,"Lynx","Lynx","Luchs","ヤマネコ","스라소니","Lince","Рысь","Lince","Lynx","山貓",""
37,"Tigers","Tigers","Tigres","Tiger","トラ","호랑이","Tigres","Тигры","Tigres","Tiger","猛虎",0,"Tiger","Tigre","Tiger","トラ","호랑이","Tigre","Тигр","Tigre","Tiger","猛虎",""
38,"SpiderCrabs","Spider Crabs","Crabes-araignées","Riesenkrabben","スパイダークラブ","거미게","Garanguejos Aranha","Крабы-пауки","Cangrejos araña","Spider Crab","蛛蛛蟹",10,"Spider Crab","Crabe-araignée","Riesenkrabbe","スパイダークラブ","거미게","Garanguejo Aranha","Краб-паук","Cangrejo araña","Spider Crab","蛛蛛蟹",""
39,"Octopuses","Octopuses","Pieuvres","Oktopusse","タコ","문어","Polvos","Осьминоги","Pulpos","Octopus","章魚",9,"Octopus","Pieuvre","Oktopus","タコ","문어","Polvo","Осьминог","Pulpo","Octopus","章魚",""
40,"GemFrog","Gem Frogs","Grenouilles gemmées","Quaker","ジェムガエル","마석 개구리","Sapos da Gema","Самоцветные лягушки","Ranas de gema","Gem Frog","寶石蛙",11,"Gem Frog","Grenouille gemmée","Quaker","ジェムガエル","마석 개구리","Sapo da Gema","Самоцветная лягушка","Rana de gema","Gem Frog","寶石蛙",""
41,"Frog","Frogs","Grenouilles","Frösche","カエル","개구리","Sapos","Лягушки","Ranas","Frog","青蛙",11,"Frog","Grenouille","Frosch","カエル","개구리","Sapo","Лягушка","Rana","Frog","青蛙",""
