"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
10,"Uniques","Contains a Synthesised Chest with a Unique Item\r\nContains 1 to 2 Synthesised Chests with Fractured Items","Renferme 1 Coffre synthétisé contenant un Objet unique\r\nRenferme 1 à 2 Coffres synthétisés contenant des Objets fissurés","Enthält 1 synthetisierte Truhe mit einem einzigartigen Gegenstand\r\nEnthält 1 bis 2 synthetisierte Truhen mit brüchigen Gegenständen","ユニークアイテム1個の入ったシンセシスチェストが1個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1개와 고유 아이템 1개 포함\r\n결합물 상자 1~2개와 분열된 아이템 포함","Contém um Baú Sintetizado com um Item Único\r\nContém de 1 a 2 Baús Sintetizados com Itens Fixados","Содержит синтезированный сундук с уникальным предметом\r\nСодержиот от 1 до 2 синтезированных сундуков с расколотыми предметами","Contiene un Cofre Sintetizado que tiene un Objeto Único\r\nContiene de 1 a 2 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 1 ถึง 2 หีบ","包含 1 個含有傳奇物品的追憶之匣\r\n包含 1 至 2 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
11,"Uniques2","Contains a Synthesised Chest with a Unique Item\r\nContains 2 to 3 Synthesised Chests with Fractured Items","Renferme 1 Coffre synthétisé contenant un Objet unique\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets fissurés","Enthält 1 synthetisierte Truhe mit einem einzigartigen Gegenstand\r\nEnthält 2 bis 3 synthetisierte Truhen mit brüchigen Gegenständen","ユニークアイテム1個の入ったシンセシスチェストが1個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 1개와 고유 아이템 1개 포함\r\n결합물 상자 2~3개와 분열된 아이템 포함","Contém um Baú Sintetizado com um Item Único\r\nContém de 2 a 3 Baús Sintetizados com Itens Fixados","Содержит синтезированный сундук с уникальным предметом\r\nСодержиот от 2 до 3 синтезированных сундуков с расколотыми предметами","Contiene un Cofre Sintetizado que tiene un Objeto Único\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 2 ถึง 3 หีบ","包含 1 個含有傳奇物品的追憶之匣\r\n包含 2 至 3 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
12,"Uniques3","Contains 2 Synthesised Chests with a Unique Item\r\nContains 2 to 3 Synthesised Chests with Fractured Items","Renferme 2 Coffres synthétisés contenant un Objet unique chacun\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets fissurés","Enthält 2 synthetisierte Truhen mit einem einzigartigen Gegenstand\r\nEnthält 2 bis 3 synthetisierte Truhen mit brüchigen Gegenständen","ユニークアイテム1個の入ったシンセシスチェストが2個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2개와 고유 아이템 1개 포함\r\n결합물 상자 2~3개와 분열된 아이템 포함","Contém 2 Baús Sintetizados com um Item Único\r\nContém de 2 a 3 Baús Sintetizados com Itens Fixados","Содержит 2 синтезированных сундука с уникальным предметом\r\nСодержиот от 2 до 3 синтезированных сундуков с расколотыми предметами","Contiene 2 Cofres Sintetizados que tienen un Objeto Único\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น อยู่ 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 2 ถึง 3 หีบ","包含 2 個含有傳奇物品的追憶之匣\r\n包含 2 至 3 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
13,"Uniques4","Contains 2 Synthesised Chests with a Unique Item\r\nContains 3 to 4 Synthesised Chests with Fractured Items","Renferme 2 Coffres synthétisés contenant un Objet unique chacun\r\nRenferme 3 à 4 Coffres synthétisés contenant des Objets fissurés","Enthält 2 synthetisierte Truhen mit einem einzigartigen Gegenstand\r\nEnthält 3 bis 4 synthetisierte Truhen mit brüchigen Gegenständen","ユニークアイテム1個の入ったシンセシスチェストが2個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 2개와 고유 아이템 1개 포함\r\n결합물 상자 3~4개와 분열된 아이템 포함","Contém 2 Baús Sintetizados com um Item Único\r\nContém de 3 a 4 Baús Sintetizados com Itens Fixados","Содержит 2 синтезированных сундука с уникальным предметом\r\nСодержит от 3 до 4 синтезированных сундуков с расколотыми предметами","Contiene 2 Cofres Sintetizados que tienen un Objeto Único\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น อยู่ 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 3 ถึง 4 หีบ","包含 2 個含有傳奇物品的追憶之匣\r\n包含 3 至 4 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
14,"Uniques5","Contains 3 Synthesised Chests with a Unique Item\r\nContains 3 to 4 Synthesised Chests with Fractured Items","Renferme 3 Coffres synthétisés contenant un Objet unique chacun\r\nRenferme 3 à 4 Coffres synthétisés contenant des Objets fissurés","Enthält 3 synthetisierte Truhen mit einem einzigartigen Gegenstand\r\nEnthält 3 bis 4 synthetisierte Truhen mit brüchigen Gegenständen","ユニークアイテム1個の入ったシンセシスチェストが3個追加される\r\nフラクチャーアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 3개와 고유 아이템 1개 포함\r\n결합물 상자 3~4개와 분열된 아이템 포함","Contém 3 Baús Sintetizados com um Item Único\r\nContém de 3 a 4 Baús Sintetizados com Itens Fixados","Содержит 3 синтезированных сундука с уникальным предметом\r\nСодержит от 3 до 4 синтезированных сундуков с расколотыми предметами","Contiene 3 Cofres Sintetizados que tienen un Objeto Único\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น อยู่ 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 3 ถึง 4 หีบ","包含 3 個含有傳奇物品的追憶之匣\r\n包含 3 至 4 個含有破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIcon",""
15,"UniquesHigh5","Contains 1 Synthesised Chest with a valuable Unique Item\r\nContains 3 to 4 Synthesised Chests with a Unique Item","Renferme 1 Coffre synthétisé contenant un Objet unique de valeur\r\nRenferme 3 à 4 Coffres synthétisés contenant un Objet unique chacun","Enthält 1 synthetisierte Truhe mit einem wertvollen einzigartigen Gegenstand\r\nEnthält 3 bis 4 synthetisierte Truhen mit einem einzigartigen Gegenstand","高価値なユニークアイテムの入ったシンセシスチェストが1個追加される\r\nユニークアイテム1個の入ったシンセシスチェストが3-4個追加される","결합물 상자 1개와 귀중한 고유 아이템 1개 포함\r\n결합물 상자 3~4개와 고유 아이템 1개 포함","Contém 1 Baú Sintetizado com um Item Único valioso\r\nContém de 3 a 4 Baús Sintetizados com um Item Único","Содержит синтезированный сундук с ценным уникальным предметом\r\nСодержит от 3 до 4 синтезированных сундуков с уникальным предметом","Contiene 1 Cofre Sintetizado que tiene un Objeto Único valioso\r\nContiene de 3 a 4 Cofres Sintetizados que tienen un Objeto Único","มีหีบสมบัติสังเคราะห์ที่มีไอเทมยูนิคหนึ่งชิ้น ที่มีค่า อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทมแตกร้าวอยู่ 3 ถึง 4 หีบ","包含 1 個含有價值傳奇物品的追憶之匣\r\n包含 3 至 4 個含有傳奇物品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/UniqueItemRewardIconTier2",""
16,"FracturedItems3","Contains 2 to 3 Synthesised Chests with valuable Fractured Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets fissurés de valeur","Enthält 2 bis 3 synthetisierte Truhen mit wertvollen brüchigen Gegenständen","高価値なフラクチャーアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 귀중한 분열된 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Fixados valiosos","Содержит от 2 до 3 синтезированных сундуков с ценными расколотыми предметами","Contiene de 2 a 3 Cofres Sintetizados que tienen Objetos Fracturados","มีหีบสมบัติสังเคราะห์ ไอเทมแตกร้าว ที่มีค่า อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有價值破裂之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FracturedItemRewardIconTier3",""
17,"Gems","Contains 1 to 2 Synthesised Chests with Gem Items","Renferme 1 à 2 Coffres synthétisés contenant des Gemmes","Enthält 1 bis 2 synthetisierte Truhen mit Gemmen","ジェムアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 젬 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Gemas","Содержит от 1 до 2 синтезированных сундуков с камнями умений","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Gemas","มีหีบสมบัติสังเคราะห์ ไอเทมเจม อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有寶石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
18,"Gems2","Contains 2 to 3 Synthesised Chests with Gem Items","Renferme 2 à 3 Coffres synthétisés contenant des Gemmes","Enthält 2 bis 3 synthetisierte Truhen mit Gemmen","ジェムアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 젬 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Gemas","Содержит от 2 до 3 синтезированных сундуков с камнями умений","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Gemas","มีหีบสมบัติสังเคราะห์ ไอเทมเจม อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有寶石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
19,"Gems3","Contains 3 to 4 Synthesised Chests with Gem Items","Renferme 3 à 4 Coffres synthétisés contenant des Gemmes","Enthält 3 bis 4 synthetisierte Truhen mit Gemmen","ジェムアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 젬 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Gemas","Содержит от 3 до 4 синтезированных сундуков с камнями умений","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Gemas","มีหีบสมบัติสังเคราะห์ ไอเทมเจม อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有寶石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIcon",""
20,"GemsHigh3","Contains 2 to 3 Synthesised Chests with valuable Gem Items\r\nContains 1 to 2 Synthesised Chests with Gem Items","Renferme 2 à 3 Coffres synthétisés contenant des Gemmes de valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Gemmes","Enthält 2 bis 3 synthetisierte Truhen mit wertvollen Gemmen\r\nEnthält 1 bis 2 synthetisierte Truhen mit Gemmen","高価値なジェムアイテムの入ったシンセシスチェストが2-3個追加される\r\nジェムアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 2~3개와 귀중한 젬 아이템 포함\r\n결합물 상자 1~2개와 젬 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Gemas valiosas\r\nContém de 1 a 2 Baús Sintetizados com Gemas","Содержит от 2 до 3 синтезированных сундуков с ценными камнями умений\r\nСодержит от 1 до 2 синтезированных сундуков камнями умений","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Gemas valiosos\r\nContiene de 1 a 2 Cofres Sintetizados que tienen objetos de Gemas","มีหีบสมบัติสังเคราะห์ ไอเทมเจม ที่มีค่า อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ ไอเทมเจม อยู่ 1 ถึง 2 หีบ","包含 2 至 3 個含有價值寶石的追憶之匣\r\n包含 1 至 2 個含有寶石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SkillGemItemRewardIconTier2",""
21,"Maps","Contains 1 to 2 Synthesised Chests with Map Items","Renferme 1 à 2 Coffres synthétisés contenant des Cartes","Enthält 1 bis 2 synthetisierte Truhen mit Karten","マップアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 지도 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Mapas","Содержит от 1 до 2 синтезированных сундуков с картами","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Mapas","มีหีบสมบัติสังเคราะห์ ไอเทมแผนที่ อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有地圖的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
22,"Maps2","Contains 2 to 3 Synthesised Chests with Map Items","Renferme 2 à 3 Coffres synthétisés contenant des Cartes","Enthält 2 bis 3 synthetisierte Truhen mit Karten","マップアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 지도 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Mapas","Содержит от 2 до 3 синтезированных сундуков с картами","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Mapas","มีหีบสมบัติสังเคราะห์ ไอเทมแผนที่ อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有地圖的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
23,"Maps3","Contains 3 to 4 Synthesised Chests with Map Items","Renferme 3 à 4 Coffres synthétisés contenant des Cartes","Enthält 3 bis 4 synthetisierte Truhen mit Karten","マップアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 지도 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Mapas","Содержит от 3 до 4 синтезированных сундуков с картами","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Mapas","มีหีบสมบัติสังเคราะห์ ไอเทมแผนที่ อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有地圖的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MapItemRewardIcon",""
24,"Trinkets","Contains 1 to 2 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Renferme 2 à 3 Coffres synthétisés contenant des Accessoires\r\nRenferme 1 Coffre synthétisé contenant des Accessoires fissurés","Enthält 1 bis 2 synthetisierte Truhen mit Schmuck\r\nEnthält 1 synthetisierte Truhe mit brüchigem Schmuck","宝飾品アイテムの入ったシンセシスチェストが1-2個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 1~2개와 장신구 아이템 포함\r\n결합물 상자 1개와 분열된 장신구 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Acessórios\r\nContém 1 Baú Sintetizado com Acessórios Fixados","Содержит от 1 до 2 синтезированных сундуков с бижутерией\r\nСодержит 1 синтезированный сундук с расколотой бижутерией","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Joyería\r\nContiene 1 Cofre Sintetizado que tiene Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 1 หีบ","包含 1 至 2 個含有飾品的追憶之匣\r\n包含 1 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
