"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
10,4,16,2,"Imbuing Veiled Magic","Manipule de la Magie cryptée","Verleiht verhüllte Magie","ヴェール魔法の染色","장막 마법 부여","Imbuindo Magias Ocultas","Насыщает завуалированную магию","Imbuir magia encriptada","เพิ่มพลังเวทมนตร์ผนึก","注入隱匿魔法","Gambling with Boot Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Arriscando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
11,4,16,3,"Imbuing Veiled Magic","Manipule de la Magie cryptée","Verleiht verhüllte Magie","ヴェール魔法の染色","장막 마법 부여","Imbuindo Magias Ocultas","Насыщает завуалированную магию","Imbuir magia encriptada","เพิ่มพลังเวทมนตร์ผนึก","注入隱匿魔法","Gambling with Boot Properties","Joue avec les Propriétés des Bottes","Experimentiert mit Stiefel-Eigenschaften","靴の特性のギャンブル","장화 속성 도박","Arriscando com Propriedades de Botas","Спекулирует на свойствах сапог","Apostar sobre las propiedades de las botas","เสี่ยงโชคกับคุณสมบัติของรองเท้า","用鞋子屬性博弈"
12,3,10,1,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
13,3,10,2,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
14,3,10,3,"Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Pilhando Escaravelhos das Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲","Looting Breach Scarabs","Ramasse des Scarabées de Brèche","Erbeutet Riss-Skarabäen","ブリーチスカラベの略奪","획득한 균열 갑충석","Recolhendo Escaravelhos de Fendas","Собирает скарабеев Разлома","Robar escarabajos de fisura","ปล้นสคารับบรีช","強奪裂痕聖甲蟲"
15,1,10,1,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches\r\n(retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチの地図作成（帰れ、 変人！)","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช (กลับบ้านไปไอ้ตัวประหลาด!)","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (dans des coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล (หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
16,1,10,2,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches\r\n(retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチの地図作成（帰れ、 変人！）","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช (กลับบ้านไปไอ้ตัวประหลาด!)","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (dans des coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล (หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
17,1,10,3,"Mapping Breaches (Go home, freak!)","Cartographie des Brèches\r\n(retourne d'où tu viens, erreur de la nature !)","Vermisst Risse (Geh nach Hause, Freak!)","ブリーチの地図作成（帰れ、 変人！）","균열 지도 탐험 (돌아가라, 이 괴물!)","Mapeando Fendas (Vai pra casa, coisa estranha!)","Картографирует Разломы (вали домой, ненормальное!)","Mapear fisuras (¡Vete a casa, bicho raro!)","ทำแผนที่เกี่ยวกับบรีช (กลับบ้านไปไอ้ตัวประหลาด!)","刷裂痕（回家吧，瘋子！）","Smuggling Jewels (Trapped Chests!)","Fait de la contrebande de Joyaux (dans des coffres piégés !)","Schmuggelt Juwelen (Truhen mit Fallen!)","ジュエルの密輸（トラップチェスト！）","밀수한 주얼 (덫 상자!)","Contrabandeando Jóias (Baús Trancados!)","Тайно провозит самоцветы (ловушки в сундуках!)","Traficar con joyas (¡Cofres atrapados!)","ลอบขนจิวเวล (หีบติดกับดัก!)","走私珠寶（陷阱寶箱！）"
18,2,10,1,"Transporting Breach Splinters","Transporte des Esquilles de Brèche","Transportiert Riss-Splitter","ブリーチの破片の輸送","수송 중인 균열 파편","Transportando Fragmentos das Fendas","Перевозит осколки Разлома","Transportar astillas de fisura","ขนส่งชิ้นส่วนบรีช","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
19,2,10,2,"Transporting Breach Splinters","Transporte des Esquilles de Brèche","Transportiert Riss-Splitter","ブリーチの破片の輸送","수송 중인 균열 파편","Transportando Fragmentos das Fendas","Перевозит осколки Разлома","Transportar astillas de fisura","ขนส่งชิ้นส่วนบรีช","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
20,2,10,3,"Transporting Breach Splinters","Transporte des Esquilles de Brèche","Transportiert Riss-Splitter","ブリーチの破片の輸送","수송 중인 균열 파편","Transportando Fragmentos das Fendas","Перевозит осколки Разлома","Transportar astillas de fisura","ขนส่งชิ้นส่วนบรีช","傳送裂痕裂片","Transporting Jewels","Transporte des Joyaux","Transportiert Juwelen","ジュエルの輸送","수송 중인 주얼","Transportando Joias","Перевозит самоцветы","Transportar joyas","ขนส่งจิวเวล","護送珠寶"
21,4,10,1,"Enriching Breachstones","Enrichit des Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
22,4,10,2,"Enriching Breachstones","Enrichit des Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
23,4,10,3,"Enriching Breachstones","Enrichit des Pierres de Brèche","Reichert Riss-Steine an","ブリーチストーンの濃縮","강화한 균열석","Enriquecendo Pedras das Fendas","Обогащает камни Разлома","Enriquecer piedras de fisura","เสริมพลังแก่ศิลาบรีช","充實裂痕石","Gambling with Jewel Properties","Joue avec les Propriétés des Joyaux","Experimentiert mit Juwelen-Eigenschaften","ジュエルのプロパティをギャンブル","주얼 속성 도박","Apostando com Propriedades de Joias","Спекулирует на свойствах самоцветов","Apostar sobre las propiedades de las joyas","เสี่ยงโชคกับคุณสมบัติของจิวเวล","賭珠寶詞綴"
24,3,15,1,"Pillaging Sulphite Scarabs","Fait main basse sur des Scarabées de Sulfite","Plündert Sulfit-Skarabäen","サルファイトスカラベの略奪","약탈한 아황산염 갑충석","Saqueando Escaravelhos de Sulfito","Силой забирает сульфитовых скарабеев","Saquear escarabajos de sulfito","ช่วงชิงสคารับซัลไฟต์","掠奪硫酸聖甲蟲","Securing Rare Equipment","Met de l'Équipement rare en sûreté","Sichert seltene Ausrüstung","レア装備の確保","확보한 희귀 장비","Protegendo Equipamentos Raros","Охраняет редкую экипировку","Asegurar equipamientos raros","รักษาไอเทมสวมใส่แรร์","保護稀有裝備"
25,3,15,2,"Pillaging Sulphite Scarabs","Fait main basse sur des Scarabées de Sulfite","Plündert Sulfit-Skarabäen","サルファイトスカラベの略奪","약탈한 아황산염 갑충석","Saqueando Escaravelhos de Sulfito","Силой забирает сульфитовых скарабеев","Saquear escarabajos de sulfito","ช่วงชิงสคารับซัลไฟต์","掠奪硫酸聖甲蟲","Securing Rare Equipment","Met de l'Équipement rare en sûreté","Sichert seltene Ausrüstung","レア装備の確保","확보한 희귀 장비","Protegendo Equipamentos Raros","Охраняет редкую экипировку","Asegurar equipamientos raros","รักษาไอเทมสวมใส่แรร์","保護稀有裝備"
26,3,15,3,"Pillaging Sulphite Scarabs","Fait main basse sur des Scarabées de Sulfite","Plündert Sulfit-Skarabäen","サルファイトスカラベの略奪","약탈한 아황산염 갑충석","Saqueando Escaravelhos de Sulfito","Силой забирает сульфитовых скарабеев","Saquear escarabajos de sulfito","ช่วงชิงสคารับซัลไฟต์","掠奪硫酸聖甲蟲","Securing Rare Equipment","Met de l'Équipement rare en sûreté","Sichert seltene Ausrüstung","レア装備の確保","확보한 희귀 장비","Protegendo Equipamentos Raros","Охраняет редкую экипировку","Asegurar equipamientos raros","รักษาไอเทมสวมใส่แรร์","保護稀有裝備"
27,1,15,1,"Sheltering Harbinger Orbs","Met des Orbes de Précurseur à l'abri","Bewacht Vorboten-Sphären","ハービンジャーのオーブの保護","대피용 선구자 오브","Guardando Orbes dos Emissários","Скрывает сферы Предвестника","Proteger orbes de heraldo","คุ้มภัย Harbinger Orb","庇護神諭石","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (dans des coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน (หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
28,1,15,2,"Sheltering Harbinger Orbs","Met des Orbes de Précurseur à l'abri","Bewacht Vorboten-Sphären","ハービンジャーのオーブの保護","대피용 선구자 오브","Guardando Orbes dos Emissários","Скрывает сферы Предвестника","Proteger orbes de heraldo","คุ้มภัย Harbinger Orb","庇護神諭石","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (dans des coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน (หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
29,1,15,3,"Sheltering Harbinger Orbs","Met des Orbes de Précurseur à l'abri","Bewacht Vorboten-Sphären","ハービンジャーのオーブの保護","대피용 선구자 오브","Guardando Orbes dos Emissários","Скрывает сферы Предвестника","Proteger orbes de heraldo","คุ้มภัย Harbinger Orb","庇護神諭石","Smuggling Rings (Trapped Chests!)","Fait de la contrebande de Bagues (dans des coffres piégés !)","Schmuggelt Ringe (Truhen mit Fallen!)","指輪の密輸（トラップチェスト！）","밀수한 반지 (덫 상자!)","Contrabandeando Anéis (Baús Trancados!)","Тайно провозит кольца (ловушки в сундуках!)","Traficar con anillos (¡Cofres atrapados!)","ลอบขนแหวน (หีบติดกับดัก!)","走私戒指（陷阱寶箱！）"
30,2,15,1,"Smuggling Timeworn Uniques","Fait du trafic d'Uniques érodés par le temps","Schmuggelt Reliquienkammer-Gegenstände","古ぼけたユニークアイテムの密輸","밀수한 오래된 고유 아이템","Contrabandeando Únicos Gastos pelo Tempo","Незаконно перевозит ветхие уникальные предметы","Traficar con únicos deteriorados por el tiempo","ลอบขนไอเทมยูนิคคร่ำครึ","走私古典傳奇","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
31,2,15,2,"Smuggling Timeworn Uniques","Fait du trafic d'Uniques érodés par le temps","Schmuggelt Reliquienkammer-Gegenstände","古ぼけたユニークアイテムの密輸","밀수한 오래된 고유 아이템","Contrabandeando Únicos Gastos pelo Tempo","Незаконно перевозит ветхие уникальные предметы","Traficar con únicos deteriorados por el tiempo","ลอบขนไอเทมยูนิคคร่ำครึ","走私古典傳奇","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
32,2,15,3,"Smuggling Timeworn Uniques","Fait du trafic d'Uniques érodés par le temps","Schmuggelt Reliquienkammer-Gegenstände","古ぼけたユニークアイテムの密輸","밀수한 오래된 고유 아이템","Contrabandeando Únicos Gastos pelo Tempo","Незаконно перевозит ветхие уникальные предметы","Traficar con únicos deteriorados por el tiempo","ลอบขนไอเทมยูนิคคร่ำครึ","走私古典傳奇","Transporting Rings","Transporte des Bagues","Transportiert Ringe","指輪の輸送","수송 중인 반지","Transportando Anéis","Перевозит кольца","Transportar anillos","ขนส่งแหวน","護送戒指"
33,4,15,1,"Fabricating Unmaking Orbs","Fabrique des Orbes de démantèlement","Stellt Sphären der Umkehr her","返還のオーブの製作","가공한 취소의 오브","Fabricando Orbes da Destruição","Подделывает сферы небытия","Fabricar Orbes de destrucción","จัดทำ Orb of Unmaking","製作分解石","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
34,4,15,2,"Fabricating Unmaking Orbs","Fabrique des Orbes de démantèlement","Stellt Sphären der Umkehr her","返還のオーブの製作","가공한 취소의 오브","Fabricando Orbes da Destruição","Подделывает сферы небытия","Fabricar Orbes de destrucción","จัดทำ Orb of Unmaking","製作分解石","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
35,4,15,3,"Fabricating Unmaking Orbs","Fabrique des Orbes de démantèlement","Stellt Sphären der Umkehr her","返還のオーブの製作","가공한 취소의 오브","Fabricando Orbes da Destruição","Подделывает сферы небытия","Fabricar Orbes de destrucción","จัดทำ Orb of Unmaking","製作分解石","Gambling with Ring Properties","Joue avec les Propriétés des Bagues","Experimentiert mit Ring-Eigenschaften","指輪の特性のギャンブル","반지 속성 도박","Arriscando com Propriedades de Anéis","Спекулирует на свойствах колец","Apostar sobre las propiedades de los anillos","เสี่ยงโชคกับคุณสมบัติของแหวน","用戒指屬性博弈"
36,3,2,1,"\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reaproximando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲","\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reapropriando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲"
37,3,2,2,"\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reaproximando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲","\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reapropriando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲"
38,3,2,3,"\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reaproximando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲","\""Reappropriating\"" Reliquary Scarabs","Reprend « ses » Scarabées du Reliquaire","\""Zweckentfremdet\"" Reliquien-Skarabäen","遺物箱のスカラベの「再分配」","\""교정한\"" 성유물 갑충석","\""Reapropriando\"" Escaravelhos do Relicário","\""Заимствует\"" реликтовых скарабеев","\""Reapropiarse\"" de escarabajos de relicario","\""ยึด\"" สคารับวัตถุโบราณ","「重新占有」聖物聖甲蟲"
