"rownum","Id","ChestsKey","SpawnWeight","MinLabyrinthTier","MaxLabyrinthTier","i32"
34,"Metadata/Chests/Labyrinth/Izaro/IzaroChest35",394,120,4,4,0
35,"Metadata/Chests/Labyrinth/Izaro/IzaroChest36",395,200,4,4,0
36,"Metadata/Chests/Labyrinth/Izaro/IzaroChest37",396,200,4,4,0
37,"Metadata/Chests/Labyrinth/Izaro/IzaroChest38",397,15,4,4,0
38,"Metadata/Chests/Labyrinth/Izaro/IzaroChest39",398,200,4,4,0
39,"Metadata/Chests/Labyrinth/Izaro/IzaroChest40",399,200,4,4,0
40,"Metadata/Chests/Labyrinth/Izaro/IzaroChest41",383,100,4,4,0
41,"Metadata/Chests/Labyrinth/Izaro/IzaroChest42",400,200,5,5,0
42,"Metadata/Chests/Labyrinth/Izaro/IzaroChest43",401,200,5,5,0
43,"Metadata/Chests/Labyrinth/Izaro/IzaroChest45",403,100,5,5,0
44,"Metadata/Chests/Labyrinth/Izaro/IzaroChest46",404,50,5,5,0
45,"Metadata/Chests/Labyrinth/Izaro/IzaroChest47",405,200,5,5,0
46,"Metadata/Chests/Labyrinth/Izaro/IzaroChest48",406,20,5,5,0
47,"Metadata/Chests/Labyrinth/Izaro/IzaroChest49",407,100,5,5,0
48,"Metadata/Chests/Labyrinth/Izaro/IzaroChest50",408,150,5,5,0
49,"Metadata/Chests/Labyrinth/Izaro/IzaroChest51",409,150,5,5,0
50,"Metadata/Chests/Labyrinth/Izaro/IzaroChest52",410,100,5,5,0
51,"Metadata/Chests/Labyrinth/Izaro/IzaroChest53",411,50,5,5,0
52,"Metadata/Chests/Labyrinth/Izaro/IzaroChest54",412,100,5,5,0
53,"Metadata/Chests/Labyrinth/Izaro/IzaroChest55",413,200,5,5,0
54,"Metadata/Chests/Labyrinth/Izaro/IzaroChest56",414,200,5,5,0
55,"Metadata/Chests/Labyrinth/Izaro/IzaroChest57",415,10,5,5,0
56,"Metadata/Chests/Labyrinth/Izaro/IzaroChest58",416,60,5,5,0
57,"Metadata/Chests/Labyrinth/Izaro/IzaroChest59",417,100,5,5,0
58,"Metadata/Chests/Labyrinth/Izaro/IzaroChest60",418,50,5,5,0
59,"Metadata/Chests/Labyrinth/Izaro/IzaroChest62",420,200,5,5,0
60,"HardModeIzaroChest1",450,0,1,3,300
61,"HardModeIzaroChest2",451,0,1,3,300
62,"HardModeIzaroChest3",452,0,1,3,300
63,"HardModeIzaroChest4",453,0,1,3,200
64,"HardModeIzaroChest5",454,0,1,3,100
65,"HardModeIzaroChest6",455,0,1,3,200
66,"HardModeIzaroChest7",456,0,1,3,100
67,"HardModeIzaroChest8",457,0,1,3,10
68,"HardModeIzaroChest9",458,0,1,3,5
69,"HardModeIzaroChest10",459,0,1,3,20
70,"HardModeIzaroChest11",460,0,1,3,10
71,"HardModeIzaroChest12",461,0,1,3,20
72,"HardModeIzaroChest13",462,0,1,3,10
73,"HardModeIzaroChest14",463,0,1,3,10
74,"HardModeIzaroChest15",464,0,1,3,5
75,"HardModeIzaroChest16",465,0,1,3,1
76,"HardModeIzaroChest17",466,0,1,3,50
77,"HardModeIzaroChest18",467,0,4,4,300
78,"HardModeIzaroChest19",468,0,4,4,300
79,"HardModeIzaroChest20",469,0,4,4,300
80,"HardModeIzaroChest21",470,0,4,4,200
81,"HardModeIzaroChest22",471,0,4,4,100
82,"HardModeIzaroChest23",472,0,4,4,200
83,"HardModeIzaroChest24",473,0,4,4,100
84,"HardModeIzaroChest25",474,0,4,4,10
85,"HardModeIzaroChest26",475,0,4,4,5
86,"HardModeIzaroChest27",476,0,4,4,20
87,"HardModeIzaroChest28",477,0,4,4,10
88,"HardModeIzaroChest29",478,0,4,4,15
89,"HardModeIzaroChest30",479,0,4,4,15
90,"HardModeIzaroChest31",480,0,4,4,10
91,"HardModeIzaroChest32",481,0,4,4,5
92,"HardModeIzaroChest33",482,0,4,4,20
93,"HardModeIzaroChest34",483,0,4,4,10
94,"HardModeIzaroChest35",484,0,4,4,1
95,"HardModeIzaroChest36",485,0,4,4,50
96,"HardModeIzaroChest37",486,0,4,4,50
