"rownum","BaseItemType","Scaling","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
12,9639,0.85,"Count Geonor","Conte Géonor","Graf Geonor","ジオノア伯爵","지오너 백작","Conde Geonor","Граф Геонор","Conde Geonor","เคาท์จีโอนอร์","吉恩諾伯爵"
13,9640,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
14,9641,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
15,9642,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
16,9643,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
17,9644,0.85,"Marcine Clavus","Marcine Clavus","Marcine Clavus","マーシン・クラ―ヴァス","마신 클라부스","Marcine Clavus","Марцина Клавус","Marcine Clavus","มาร์ซีน คลาวูส","馬辛．克拉維斯"
18,9645,1.2,"Selwyn Eddard","Selwyn Eddard","Selwyn Eddard","セルウィン・エダード","셀윈 에다드","Selwyn Eddard","Селвин Эддард","Selwyn Eddard","เซลวิน เอ็ดดาร์ด","塞爾溫．愛達德"
19,9646,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
20,9647,1.2,"Grond Ironeye","Grond Œil de fer","Grond Eisenauge","グロンド・アイアンアイ","츠베트 마트베이","Grond Olho de Ferro","Гронд Железный Глаз","Grond Ojodehierro","กรอนด์ ไอรอนอาย","格朗德．鐵眼"
21,9648,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
22,9649,1.2,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
23,9650,1.2,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
24,9651,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
25,9652,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administradora Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
26,9653,1.2,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administradora Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
27,9654,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
28,9655,1.2,"Remus Hestor","Remus Hestor","Remus Hestor","リーマス・へスター","레무스 헤스터","Remus Hestor","Ремус Гестор","Remus Hestor","รีมัส เฮสเทอร์","雷木斯．赫斯托"
29,9656,1.2,"Nishem","Nishem","Nishem","ニシェム","니쉼","Nishem","Нишем","Nishem","นิเชม","尼西姆"
30,9657,1.2,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
31,9658,1.2,"Anton Laffrey","Anton Laffrey","Anton Laffrey","アントン・ラフレイ","안톤 라프리","Anton Laffrey","Антон Лаффрей","Anton Laffrey","แอนตัน แลฟฟรีย์","安東．拉弗里"
32,9659,1.5,"Tsvet Matvei","Tsvet Matveï","Tsvet Matvei","ツヴェット・マトヴェイ","츠베트 마트베이","Tsvet Matvei","Цвет Матвей","Tsvet Matvei","สเวต์ มัตเว","斯維．瑪菲伊"
33,9660,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
34,9661,1.5,"The Midnight Tinkerer","L'Horloger de minuit","Der Mitternachtstüftler","真夜中の修理人","심야의 수선공","O Faz-Tudo da Meia-Noite","Полуночный изобретатель","El inventor de medianoche","นักประดิษฐ์ราตรี","午夜匠師"
35,9662,1.5,"Bazira","Bazira","Bazira","バジーラ","바지라","Bazira","Базира","Bazira","บาซีร่า","巴齊拉"
36,9663,1.5,"Kondor Larcius","Kondor Larcius","Kondor Larcius","コンドール・ラーシウス","콘도르 라시우스","Kondor Larcius","Кондор Ларциус","Kondor Larcius","คอนดอร์ ลาร์เซียส","康多．拉齊烏斯"
37,9664,1.5,"The Crimson Scribe","Le Scribe pourpre","Der rote Schriftgelehrte","緋色の代書人","진홍색 서기","O Escriba Carmesim","Кровавый писарь","El escriba carmesí","อาลักษณ์เลือดนก","緋紅書記"
38,9665,3,"Administrator Qotra","Directrice Qotra","Verwalter Qotra","管理者クォトラ","사무관 쿼트라","Administrador Qotra","Администратор Куотра","Administrador Qotra","ผู้ดูแลโคทรา","主管卡特拉"
39,9666,3,"Cardinal Uthelius","Cardinal Uthélius","Kardinal Uthelius","枢機卿ウテリウス","우셀리우스 추기경","Cardial Uthelius","Кардинал Утелиус","Cardenal Uthelius","พระคาร์ดินัลอูเธเลียส","紅衣主教．烏斯留斯"
40,9667,3,"Castor Pollinius III","Castor Pollinius III","Castor Pollinius III","カストル・ポリニウス3世","카스토르 폴리니우스 III","Castor Pollinius III","Кастор Поллиний III","Castor Pollinius III","แคสทอร์ พอลลิเนียสที่สาม","雙子波利尼烏斯三世"
41,9668,0.3,"","","","","","","","","",""
42,9669,0.3,"","","","","","","","","",""
43,9670,0.3,"","","","","","","","","",""
44,9671,0.3,"","","","","","","","","",""
45,9672,0.3,"","","","","","","","","",""
46,9673,0.3,"","","","","","","","","",""
47,9674,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
48,9675,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
49,9676,0,"Karst","Karst","Karst","カースト","카르스트","Karst","Карст","Karst","คาร์สท์","卡司特"
50,9677,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
51,9678,0,"Tibbs","Tibbs","Tibbs","ティブス","팁스","Tibbs","Тиббс","Tibbs","ทิพส์","堤布斯"
52,9679,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
53,9680,0,"Huck","Huck","Huck","ハック","허크","Huck","Хак","Huck","ฮัค","哈克"
54,9681,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
55,9682,0,"Vinderi","Vindéri","Vinderi","ヴィンデリ","빈데리","Vinderi","Виндери","Vinderi","วินเดอร์รี","溫德利"
56,9683,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
57,9684,0,"Gianna","Gianna","Gianna","ジアーナ","지아나","Gianna","Джианна","Gianna","เจียนนา","吉安娜"
58,9685,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
59,9686,0,"Tullina","Tullina","Tullina","トゥリナ","툴리나","Tullina","Туллина","Tullina","ทูลีนา","圖利納"
60,9687,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
61,9688,0,"Niles","Niles","Niles","ナイルズ","나일스","Niles","Найлс","Niles","ไนลส์","奈爾斯"
62,9689,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
63,9690,0,"Nenet","Nenet","Nenet","ネネット","네넷","Nenet","Ненет","Nenet","เนเนต","能內特"
64,9691,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
65,9692,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
66,9693,0,"Isla","Isla","Isla","アイラ","아이슬라","Isla","Айла","Isla","ไอล่า","伊絲菈"
67,9694,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
68,9695,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
69,9696,0,"Adiyah","Adiyah","Adiyah","アーディア","아디야","Adiyah","Адия","Adiyah","อาดีย์ยา","阿迪雅"
70,9697,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
71,9698,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
72,9699,0,"Whakano","Whakano","Whakano","ファカーノ","와카노","Whakano","Вакано","Whakano","วาคาโน","華卡諾"
73,9700,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
74,9702,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
75,9703,0,"Faustus","Faustus","Faustus","ファースタス","파우스투스","Faustus","Фауст","Faustus","ฟาวทัส","華卡諾"
76,9704,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
77,9705,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
78,9706,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
79,9707,0,"Kurai","Kuraï","Kurai","クライ","쿠라이","Kurai","Кураи","Kurai","คูรัย","庫萊"
