"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SynthesisAreaSizeKey","AchievementItemsKey"
13,"Forest_Small",15,50,100,2350,"[1547,1548,1549]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Forest","Woods Memory","Souvenir d'un Bois","Erinnerung an den Wald","森の記憶","수목림 기억","Memória da Floresta","Воспоминание: Леса","Memoria del Bosque","ความทรงจำของ Woods","記憶：陰鬱叢林",0,""
14,"ForestCave_Small",17,50,100,2255,[1624],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ForestCave","Sprawling Caverns Memory","Souvenir d'une Caverne tortueuse","Erinnerung an die Weitläufigen Kavernen","乱雑な大洞窟の記憶","구불구불한 암굴 기억","Memória das Cavernas Espalhadas","Воспоминание: Расползающиеся пещеры","Memoria de las Cavernas Gigantescas","ความทรงจำของ Sprawling Caverns","記憶：蔓延洞穴",0,""
15,"Glacier_Small",6,50,100,2256,"[1625,1626,1627,1628]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Glacier","Glacial Cavern Memory","Souvenir d'une Caverne glaciaire","Erinnerung an die Gletscherhöhle","氷河の大洞窟の記憶","빙하의 암굴 기억","Memória da Caverna Glacial","Воспоминание: Ледниковая пещера","Memoria de la Caverna Glacial","ความทรงจำของ Glacial Cavern","記憶：冰川洞穴",0,""
16,"Library_Small",32,50,100,2361,"[1629,1630]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Library","Reading Chambers Memory","Souvenir de Salles de lecture","Erinnerung an den Lesesaal","閲覧室の記憶","독서실 기억","Memória das Câmaras de Leitura","Воспоминание: Читальные залы","Memoria de las Cámaras de Lectura","ความทรงจำของ Reading Chambers","記憶：閱讀密室",0,""
17,"Lunaris_Small",31,50,100,2364,"[1645,1646,1647,1648]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Lunaris","Bloodbath Memory","Souvenir d'un Bain de sang","Erinnerung an das Blutbad","血の浴槽の記憶","피바다 기억","Memória do Banho de Sangue","Воспоминание: Кровавая баня","Memoria del Baño de Sangre","ความทรงจำของ Bloodbath","記憶：浸血之殿",0,""
18,"Mesa_Small",6,50,100,2257,"[1636,1637]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Rocky Mesa Memory","Souvenir d'une Mesa rocheuse","Erinnerung an die Felsige Hochebene","岩の大地の記憶","암석 메사 기억","Memória da Mesa Rochosa","Воспоминание: Каменистая долина","Memoria de la Meseta Rocosa","ความทรงจำของ Rocky Mesa","記憶：堅岩荒漠",0,""
19,"Mineshaft_Small",36,50,100,2370,[1638],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mines","Deep Dig Memory","Souvenir de Fouilles souterraines","Erinnerung an den Tiefen Graben","深い溝の記憶","깊은 채굴지 기억","Memória da Escavação Profunda","Воспоминание: Глубокие раскопки","Memoria de la Excavación Profunda","ความทรงจำของ Deep Dig","記憶：深掘礦坑",0,""
20,"MoonTemple_Small",60,100,0,2373,"[1631,1632,1633,1634,1635]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MoonTemple","Moonlight Temple Memory","Souvenir d'un Temple au clair de lune","Erinnerung an den Mondlichttempel","月光の寺院の記憶","월광 사원 기억","Memória do Templo da Luz Lunar","Воспоминание: Храм лунного света","Memoria del Templo de la Luz de la Luna","ความทรงจำของ Moonlight Temple","記憶：月光神殿",0,""
21,"Mushroom_Small",6,50,100,2258,[1553],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mushroom","Mushroom Grotto Memory","Souvenir d'une Grotte à champignons","Erinnerung an die Pilzgrotte","茸の洞穴の記憶","버섯 석굴 기억","Memória da Gruta de Cogumelos","Воспоминание: Грибной грот","Memoria de la Gruta Fúngica","ความทรงจำของ Mushroom Grotto","記憶：菌菇洞穴",0,""
22,"Ossuary_Small",46,50,100,2259,[1639],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ossuary","Grim Sepulchre Memory","Souvenir de Galeries macabres","Erinnerung an die Düstere Grabkammer","恐ろしい地下墓所の記憶","으스스한 매장소 기억","Memória do Sepulcro Sombrio","Воспоминание: Мрачная гробница","Memoria del Sepulcro Sombrío","ความทรงจำของ Grim Sepulchre","記憶：肅穆墳地",0,""
23,"Plateau_Small",39,50,100,2260,"[1640,1641,1642,1643,1644]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Plateau","Volcanic Plateau Memory","Souvenir d'un Plateau volcanique","Erinnerung an das Vulkanische Plateau","火山の高原の記憶","화산 고원 기억","Memória do Platô Vulcânico","Воспоминание: Вулканическое плато","Memoria de la Meseta Volcánica","ความทรงจำของ Volcanic Plateau","記憶：火山高原",0,""
24,"PoolsAndStreams_Small",21,50,100,2261,"[1649,1650,1651]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PoolsAndStreams","Lush Wetlands Memory","Souvenir de Paluns luxuriants","Erinnerung an die Üppige Feuchtlande","生い茂る湿原の記憶","무성한 습지대 기억","Memória dos Pantanais Exuberantes","Воспоминание: Буйные болота","Memoria de los Humedales Frondosos","ความทรงจำของ Lush Wetlands","記憶：茂盛濕地",0,""
25,"Prison_Small",51,100,0,2262,"[1556,1557]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Prison","Detention Centre Memory","Souvenir d'un Centre de détention","Erinnerung an das Gefangenenlager","拘置所の記憶","중앙 수용소 기억","Memória do Centro de Detenção","Воспоминание: Место заключения","Memoria del Centro de Detención","ความทรงจำของ Detention Centre","記憶：拘留所",0,""
26,"Reef_Small",52,100,0,2387,[1652],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Reef","Rockpools Memory","Souvenir d'un Lagon","Erinnerung an die Felstümpel","潮溜りの記憶","바위틈 웅덩이 기억","Memória das Piscinas Rochosas","Воспоминание: Каменный омут","Memoria de los Estanques","ความทรงจำของ Rockpools","記憶：岩池",0,""
27,"Ridge_Small",48,50,100,2264,"[1653,1654]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ridge","Cliffside Path Memory","Souvenir d'un Flanc de falaise","Erinnerung an den Klippenpfad","絶壁の道の記憶","깎아지른 길 기억","Memória da Trilha do Penhasco","Воспоминание: Отвесный путь","Memoria del Camino de la Ladera","ความทรงจำของ Cliffside Path","記憶：懸崖之路",0,""
28,"RuinedTemple_Small",17,50,100,2265,[1655],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/RuinedTemple","Reclaimed Temple Memory","Souvenir d'un Temple reconquis","Erinnerung an den Überwucherten Tempel","埋め立てられた寺院の記憶","되찾은 사원 기억","Memória do Templo Reinvidicado","Воспоминание: Возвращенный храм","Memoria del Templo Recuperado","ความทรงจำของ Reclaimed Temple","記憶：教化寺廟",0,""
29,"Sanctuary_Small",45,50,100,2393,"[1558,1559,1560]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sanctuary","Ritual Memory","Souvenir d'un Lieu de culte","Erinnerung an das Ritual","儀式の記憶","의례소 기억","Memória do Ritual","Воспоминание: Ритуал","Memoria del Ritual","ความทรงจำของ Ritual","記憶：儀式聖所",0,""
30,"Scepter_Small",34,50,100,2396,"[1561,1562,1563]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Scepter","Eternal Residence Memory","Souvenir d'une Résidence éternelle","Erinnerung an die Ewige Residenz","永遠の住居の記憶","영원한 거주지 기억","Memória da Residência Eterna","Воспоминание: Вечная резиденция","Memoria de la Residencia Eterna","ความทรงจำของ Eternal Residence","記憶：永恆居所",0,""
31,"Sewers_Small",51,100,0,2398,"[1564,1565,1566]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sewers","Effluvia Memory","Souvenir d'Effluves","Erinnerung an den Abwasserkanal","悪臭の記憶","가득한 악취 기억","Memória da Via Fétida","Воспоминание: Миазмы","Memoria del Efluvio","ความทรงจำของ Effluvia","記憶：惡臭地道",0,""
32,"Slums_Small",26,50,100,2263,"[1656,1657,1658]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Slums","Shanty Town Memory","Souvenir d'un Faubourg appauvri","Erinnerung an die Barackensiedlung","スラム街の記憶","허름한 마을 기억","Memória da Favela","Воспоминание: Трущобы","Memoria del Barrio Bajo","ความทรงจำของ Shanty Town","記憶：陋棚鎮",0,""
33,"Solaris_Small",29,50,100,2401,"[1567,1568,1569]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Solaris","Pristine Palace Memory","Souvenir d'un Palais immaculé","Erinnerung an den Prächtigen Palast","無瑕疵な宮殿の記憶","온전한 궁전 기억","Memória do Palácio Intocado","Воспоминание: Чистый дворец","Memoria del Palacio Prístino","ความทรงจำของ Pristine Palace","記憶：原始宮殿",0,""
34,"SpiderThicket_Small",19,50,100,2266,"[1659,1660,1661]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Infested Temple Memory","Souvenir d'un Temple infesté","Erinnerung an den Verseuchten Tempel","蜘蛛の蔓延った寺院の記憶","감염된 사원 기억","Memória do Templo Infestado","Воспоминание: Зараженный храм","Memoria del Templo Infestado","ความทรงจำของ Infested Temple","記憶：病疫神殿",0,""
35,"Thicket_Small",51,100,0,2407,"[1662,1663,1664]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Thicket","Overgrowth Memory","Souvenir d'une Flore envahissante","Erinnerung an die Überwucherung","密林の記憶","과목림 기억","Memória da Superabundância","Воспоминание: Заросли","Memoria de la Vegetación Exuberante","ความทรงจำของ Overgrowth","記憶：長草遺跡",0,""
36,"AcidCave_Medium",45,100,100,2267,[1523],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Limestone Hollow Memory","Souvenir d'un Gouffre calcaire","Erinnerung an die Tropfsteinhöhle","石灰石の空洞の記憶","석회암 동혈 기억","Memória do Oco de Calcário","Воспоминание: Известняковая впадина","Memoria de la Hondonada de Piedra Caliza","ความทรงจำของ Limestone Hollow","記憶：石灰岩洞",1,""
37,"ArachnidTomb_Medium",56,100,100,2268,[1525],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Infested Tomb Memory","Souvenir d'un Tombeau infesté","Erinnerung an die Verseuchte Gruft","蜘蛛の蔓延った墓の記憶","감염된 무덤 기억","Memória da Tumba Infestada","Воспоминание: Зараженная гробница","Memoria de la Tumba Infestada","ความทรงจำของ Infested Tomb","記憶：病疫墓穴",1,""
38,"Antiquary_Medium",46,100,100,2302,[1524],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Collection Memory","Souvenir d'une Collection","Erinnerung an die Sammlung","収集室の記憶","수집품 보관실 기억","Memória da Coleção","Воспоминание: Коллекция","Memoria de Colección","ความทรงจำของ Collection","記憶：蒐藏寶庫",1,""
39,"Baths_Medium",59,100,100,2310,"[1544,1545]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","State Palace Memory","Souvenir d'un Palais officiel","Erinnerung an den Stattlicher Palast","迎賓館の記憶","주 궁전 기억","Memória do Palácio Estatal","Воспоминание: Парадный дворец","Memoria del Palacio de Estado","ความทรงจำของ State Palace","記憶：州際宮殿",1,""
40,"Bazaar_Medium",45,100,100,2313,[1528],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Exchange Memory","Souvenir d'un Marché","Erinnerung an die Börse","取引所の記憶","환전소 기억","Memória da Troca","Воспоминание: Биржа","Memoria de Intercambio","ความทรงจำของ Exchange","記憶：交易市集",1,""
41,"Beach_Medium",45,100,100,2316,[1529],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Sandbar Memory","Souvenir d'un Banc de sable","Erinnerung an die Sandbank","砂州の記憶","모래톱 기억","Memória das Margens Arenosas","Воспоминание: Песчаная отмель","Memoria del Banco de Arena","ความทรงจำของ Sandbar","記憶：沙壩",1,""
42,"Canals_Medium",51,100,100,2320,"[1665,1666,1667]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Canals","Waterfront Memory","Souvenir de Chenaux","Erinnerung an das Ufer","川岸の記憶","수변 구역 기억","Memória da Beira-mar","Воспоминание: Берег","Memoria del Litoral","ความทรงจำของ Waterfront","記憶：水濱屍道",1,""
43,"Causeway_Medium",56,100,100,2322,[1531],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Causeway","River Crossing Memory","Souvenir d'une Traversée fluviale","Erinnerung an den Flussübergang","渡河の記憶","건널목 기억","Memória do Cruzamento de Rios","Воспоминание: Речная переправа","Memoria del Cruce del Río","ความทรงจำของ River Crossing","記憶：跨河堤道",1,""
44,"Cave_Medium",45,100,100,2271,[1532],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Eroded Chamber Memory","Souvenir d'une Cavité érodée","Erinnerung an den Ausgewaschenen Hohlraum","浸食された洞窟の記憶","침식된 방 기억","Memória da Câmara Corroída","Воспоминание: Разрушенная камера","Memoria de la Cámara Erosionada","ความทรงจำของ Eroded Chamber","記憶：腐蝕密室",1,""
45,"CaveMine_Medium",45,100,100,2272,[1546],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Abandoned Shaft Memory","Souvenir d'un Puits abandonné","Erinnerung an den Verlassenen Minenschacht","放棄された立坑の記憶","버려진 갱도 기억","Memória do Mastro Abandonado","Воспоминание: Заброшенная шахта","Memoria de la Mina Abandonada","ความทรงจำของ Abandoned Shaft","記憶：遺棄之柱",1,""
46,"Colosseum_Medium",45,100,100,2273,"[1618,1619,1620,1621,1622]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Bloodsoaked Arena Memory","Souvenir d'une Arène imprégnée de sang","Erinnerung an die Blutgetränkte Arena","血塗れの闘技場の記憶","피투성이 투기장 기억","Memória da Arena Ensanguentada","Воспоминание: Пропитанная кровью арена","Memoria de la Arena Ensangrentada","ความทรงจำของ Bloodsoaked Arena","記憶：鮮血競技場",1,""
47,"ControlBlocks_Medium",45,100,100,2335,[1534],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Slave Blocks Memory","Souvenir d'un Bagne","Erinnerung an die Sklavenpferche","奴隷区画の記憶","노예 구역 기억","Memória das Senzalas","Воспоминание: Кварталы рабов","Memoria de los Bloques de Esclavos","ความทรงจำของ Slave Blocks","記憶：奴役地帶",1,""
48,"Crypt_Medium",45,100,100,2274,[1535],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Crypt","Undercroft Memory","Souvenir de Chambres mortuaires","Erinnerung an das Unterirdische Gewölbe","聖堂地下室の記憶","둥근 지하실 기억","Memória da Cripta do Santuário","Воспоминание: Крипта","Memoria de la Bóveda","ความทรงจำของ Undercroft","記憶：教堂之窖",1,""
49,"DarkForest_Medium",45,100,100,2340,"[1668,1669,1670]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DarkForest","Grim Woods Memory","Souvenir d'un Bois lugubre","Erinnerung an den Düsteren Wald","恐ろしい森の記憶","으스스한 수목림 기억","Memória da Floresta Sombria","Воспоминание: Мрачные леса","Memoria del Bosque Sombrío","ความทรงจำของ Grim Woods","記憶：肅穆森林",1,""
50,"DriedLake_Medium",45,100,100,2275,[1623],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DriedLake","Salted Earth Memory","Souvenir d'une Terre saline","Erinnerung an die Salzwüste","塩土の記憶","짜디짠 땅 기억","Memória da Terra Salgada","Воспоминание: Солончак","Memoria del Suelo Salado","ความทรงจำของ Salted Earth","記憶：鹽土",1,""
51,"Dungeon_Medium",45,100,100,2343,[1536],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Dungeon","Temple Ruins Memory","Souvenir des Ruines d'un temple","Erinnerung an die Tempelruinen","寺院の廃墟の記憶","사원 유적 기억","Memória das Câmaras de Interrogação","Воспоминание: Развалины храма","Memoria de las Ruinas del Templo","ความทรงจำของ Temple Ruins","記憶：神殿遺跡",1,""
52,"Fissure_Medium",45,100,100,2347,[1537],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fissure","Aftermath Memory","Souvenir d'un Cataclysme","Erinnerung an die Kluft","廃墟の記憶","참사의 여파 기억","Memória das Consequências","Воспоминание: Последствия","Memoria de la Secuela","ความทรงจำของ Aftermath","記憶：殘破狹縫",1,""
53,"Forest_Medium",45,100,100,2277,"[1547,1548,1549]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Forest","Woods Memory","Souvenir d'un Bois","Erinnerung an den Wald","森の記憶","수목림 기억","Memória da Floresta","Воспоминание: Леса","Memoria del Bosque","ความทรงจำของ Woods","記憶：陰鬱叢林",1,""
54,"ForestCave_Medium",45,100,100,2278,[1624],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ForestCave","Sprawling Caverns Memory","Souvenir d'une Caverne tortueuse","Erinnerung an die Weitläufigen Kavernen","乱雑な大洞窟の記憶","구불구불한 암굴 기억","Memória das Cavernas Espalhadas","Воспоминание: Расползающиеся пещеры","Memoria de las Cavernas Gigantescas","ความทรงจำของ Sprawling Caverns","記憶：蔓延洞穴",1,""
55,"Garden_Medium",45,100,100,2353,[1538],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Gardens","Palace Grounds Memory","Souvenir d'une Enceinte de palais","Erinnerung an den Palastgarten","宮殿の庭園の記憶","궁전 정원 기억","Memória das Terras do Palácio","Воспоминание: Дворцовые земли","Memoria de los Terrenos del Palacio","ความทรงจำของ Palace Grounds","記憶：宮殿陣地",1,""
56,"Glacier_Medium",45,100,100,2279,"[1625,1626,1627,1628]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Glacier","Glacial Cavern Memory","Souvenir d'une Caverne glaciaire","Erinnerung an die Gletscherhöhle","氷河の大洞窟の記憶","빙하의 암굴 기억","Memória da Caverna Glacial","Воспоминание: Ледниковая пещера","Memoria de la Caverna Glacial","ความทรงจำของ Glacial Cavern","記憶：冰川洞穴",1,""
57,"Graveyard_Medium",45,100,100,2356,"[1550,1551,1552]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Graveyard","Burial Grounds Memory","Souvenir d'une Terre d'inhumation","Erinnerung an die Begräbnisstätte","墓地の記憶","매장터 기억","Memória das Terras do Cemitério","Воспоминание: Погребальные земли","Memoria de los Terrenos del Cementerio","ความทรงจำของ Burial Grounds","記憶：墓園陣地",1,""
58,"Haunt_Medium",45,100,100,2280,[1539],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Haunt","Bleak Halls Memory","Souvenir d'une Demeure sinistre","Erinnerung an die Finsteren Hallen","侘しい殿堂の記憶","음산한 전당 기억","Memória dos Salões Ermos","Воспоминание: Гнетущие залы","Memoria de los Salones Lúgubres","ความทรงจำของ Bleak Halls","記憶：悽慘會堂",1,""
59,"Library_Medium",45,100,100,2360,"[1629,1630]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Library","Reading Chambers Memory","Souvenir de Salles de lecture","Erinnerung an den Lesesaal","閲覧室の記憶","독서실 기억","Memória das Câmaras de Leitura","Воспоминание: Читальные залы","Memoria de las Cámaras de Lectura","ความทรงจำของ Reading Chambers","記憶：閱讀密室",1,""
60,"Lunaris_Medium",45,100,100,2363,"[1645,1646,1647,1648]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Lunaris","Bloodbath Memory","Souvenir d'un Bain de sang","Erinnerung an das Blutbad","血の浴槽の記憶","피바다 기억","Memória do Banho de Sangue","Воспоминание: Кровавая баня","Memoria del Baño de Sangre","ความทรงจำของ Bloodbath","記憶：浸血之殿",1,""
61,"Mesa_Medium",45,100,100,2282,"[1636,1637]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Rocky Mesa Memory","Souvenir d'une Mesa rocheuse","Erinnerung an die Felsige Hochebene","岩の大地の記憶","암석 메사 기억","Memória da Mesa Rochosa","Воспоминание: Каменистая долина","Memoria de la Meseta Rocosa","ความทรงจำของ Rocky Mesa","記憶：堅岩荒漠",1,""
62,"Mineshaft_Medium",45,100,100,2369,[1638],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mines","Deep Dig Memory","Souvenir de Fouilles souterraines","Erinnerung an den Tiefen Graben","深い溝の記憶","깊은 채굴지 기억","Memória da Escavação Profunda","Воспоминание: Глубокие раскопки","Memoria de la Excavación Profunda","ความทรงจำของ Deep Dig","記憶：深掘礦坑",1,""
63,"MoonTemple_Medium",60,100,100,2372,"[1631,1632,1633,1634,1635]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MoonTemple","Moonlight Temple Memory","Souvenir d'un Temple au clair de lune","Erinnerung an den Mondlichttempel","月光の寺院の記憶","월광 사원 기억","Memória do Templo da Luz Lunar","Воспоминание: Храм лунного света","Memoria del Templo de la Luz de la Luna","ความทรงจำของ Moonlight Temple","記憶：月光神殿",1,""
64,"Mushroom_Medium",45,100,100,2283,[1553],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mushroom","Mushroom Grotto Memory","Souvenir d'une Grotte à champignons","Erinnerung an die Pilzgrotte","茸の洞穴の記憶","버섯 석굴 기억","Memória da Gruta de Cogumelos","Воспоминание: Грибной грот","Memoria de la Gruta Fúngica","ความทรงจำของ Mushroom Grotto","記憶：菌菇洞穴",1,""
