"rownum","rid","[rid]","[rid]","[rid]","bool"
132,10926,[8019],[],[],""
133,10983,[10984],[],[],""
134,11017,[5871],[],[],""
135,11324,[541],[],[],""
136,11327,[95],[],[],""
137,11362,[11361],[],[],""
138,11366,[11365],[],[],""
139,11363,[1164],[],[],""
140,11475,[133],[],[],""
141,11525,[11526],[],[],""
142,11805,[169],[],[],""
143,11846,[11849],[],[],""
144,11947,[5220],[],[],""
145,11881,[439],[],[],""
146,11882,[124],[],[],""
147,11975,[1322],[],[],""
148,11976,[102],[],[],""
149,12202,[571],[],[],""
150,12203,[3219],[],[],""
151,12197,[203],[],[],""
152,12819,[12820],[],[],""
153,13226,[9605],[],[],""
154,13896,[13897],[],[],""
155,13932,[13937],[],[],""
156,14306,[10172],[],[],""
157,14307,[14308],[],[],""
158,14473,[2723],[],[],""
159,14475,[14474],[],[],""
160,15832,[15831],[],[],""
161,15962,[5439],[],[],""
162,16043,[3483],[],[],""
163,16935,[16935],[],[],""
164,16331,[16331],[],[],""
165,17056,[17054],[],[],""
166,17057,[17055],[],[],""
167,17384,[444],[],[],""
168,17385,[644],[],[],""
169,17410,[555],[],[],""
170,17411,[675],[],[],""
171,17412,[1571],[],[],""
172,17413,[666],[],[],""
173,17414,[114],[],[],""
174,17802,[9240],[],[],""
175,17803,[17830],[],[],""
176,17796,[17823],[],[],""
177,18504,[8843],[],[],""
178,18507,[18506],[],[],""
179,9739,[28],[],[23],""
180,9740,[29],[],[23],""
181,7679,[698],[23],[],""
182,7675,[7677],[23],[],""
183,7676,[7678],[23],[],""
184,13647,[13645],[],[50],""
185,13648,[13646],[],[50],""
186,14412,[14414],[17],[],""
187,10851,[95],"[0,7,8,9]",[],""
188,18548,[140],[5],[],1
189,18547,[138],[5],[],1
190,18549,[142],[5],[],1
191,3844,[24],[19],[],""
192,7242,[189],[19],[],""
193,9044,[441],[19],[],""
194,9056,[118],[19],[],""
195,11255,[11254],[19],[],""
196,3852,[24],"[8,9]",[],""
197,18556,[171],"[8,9]",[],""
198,6003,[70],"[8,9]",[],""
199,6004,[210],"[8,9]",[],""
200,7229,[666],"[8,9]",[],""
201,7428,[5054],"[8,9]",[],""
202,7427,[7429],"[8,9]",[],""
203,7426,[2460],"[8,9]",[],""
204,10412,[474],"[8,9]",[],""
205,10413,[9240],"[8,9]",[],""
206,17311,[12569],"[8,9,39]",[],""
207,17312,[5966],"[8,9,39]",[],""
208,6196,[117],[0],[],""
209,3414,[24],[0],[],""
210,4051,[1861],[0],[],""
211,4116,[135],[0],[],""
212,4714,[4715],[0],[],""
213,6478,[541],[0],[],""
214,13627,[13636],[56],[],""
215,13252,[18559],[56],[],""
216,18564,[18565],[],[],""
217,1331,[117],[7],[],""
218,1340,[1339],[7],[],""
219,1573,[698],[7],[],""
220,1333,[7221],[7],[],""
221,1574,[26],[7],[],""
222,3836,[24],[7],[],""
223,4043,[70],[7],[],""
224,4117,[135],[7],[],""
225,12160,[2460],[7],[],""
226,10414,[3285],[7],[],""
227,7097,[3546],[7],[],""
228,5254,[5253],[7],[],""
229,12161,[5054],[7],[],""
230,5257,[5256],[7],[],""
231,7230,[7231],[7],[],""
232,5366,[5365],[7],[],""
233,12159,[7429],[7],[],""
234,8868,[8867],[7],[],""
235,18454,[18454],[7],[],""
236,18869,[1065],[],[],""
237,19027,[19029],[],[],""
238,7731,[2040],[],[],""
239,19147,[9571],[],[],""
240,19432,[4809],[],[],""
241,19473,[9013],[],[],""
242,19477,[566],[],[],""
243,19658,[52],[],[],""
244,19659,[53],[],[],""
245,19876,[19877],[],[],""
246,19875,[19875],[],[],""
247,19874,[118],"[67,68,69,70,71,72]",[],""
248,19879,[19879],[],[],""
249,19880,[19880],[],[],""
250,19881,[19881],[],[],""
251,19882,[19882],[],[],""
252,19883,[19883],[],[],""
253,19884,[19884],[],[],""
254,6485,[6485],[],[],""
255,6486,[6486],[],[],""
256,6487,[6487],[],[],""
257,6583,[6583],[],[],""
258,20250,[20248],[],[],""
259,20251,[20249],[],[],""
260,20362,[8867],"[8,0]",[],""
261,20385,[171],[57],[],""
262,20608,[20609],[],[],""
263,20693,[20693],[],[],1
264,20705,[20705],[],[],""
265,21003,"[20999,21000,21001]",[],[],""
266,20990,[21002],[],[],""
267,20991,[20995],[],[],""
268,20992,[20996],[],[],""
269,20993,[20997],[],[],""
270,20994,[20998],[],[],""
271,21116,[21116],[],[],""
