"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]","bool"
102,"base_stun_threshold_reduction_+%",1,"","",1,"Base Stun Threshold Reduction +%","","","","",1,-1258661407,[],6,"","",1,[],[],""
103,"while_using_mace_stun_threshold_reduction_+%","","","",1,"","","","","",1,1181384114,[],6,"","",1,[],[],""
104,"global_knockback",1,"","",4,"Knockback","","","","",1,-2022599767,[],"","","","",[],[],""
105,"knockback_with_bow","","","",4,"Knockback with Bows","","","","",1,-2117692951,[],"","","","",[],[],""
106,"knockback_with_staff","","","",4,"Knockback with Staves","","","","",1,-238813423,[],"","","","",[],[],""
107,"knockback_with_wand","","","",4,"Knockback with Wands","","","","",1,1429571840,[],"","","","",[],[],""
108,"local_knockback","",1,1,4,"Knockback","","",780,797,1,-357369588,[],"","","","",[],[],""
109,"maximum_physical_damage_reduction_%",1,"","",1,"","","","","",1,-1587306982,[],"","","",1,[],[],""
110,"base_physical_damage_reduction_rating",1,"","",3,"Base Physical Damage Reduction Rating",1,"","","",1,1686922486,[],9,"","",1,[],[],""
111,"physical_damage_reduction_rating_+%",1,"","",1,"Physical Damage Reduction Rating +%","","","","",1,-1026676306,[],9,"","",1,[],[],""
112,"local_physical_damage_reduction_rating_+%",1,1,"",1,"Local Physical Damage Reduction Rating +%","","","","",1,-1603633950,[],"","","",1,[],[],""
113,"base_evasion_rating",1,"","",3,"Base Evasion Rating","","","","",1,1457140832,[],9,"","",1,[],[],""
114,"evasion_rating_+%",1,"","",1,"Global Evasion Rating +%","","","","",1,-413400759,[],9,"","",1,[],[],""
115,"local_evasion_rating_+%",1,1,"",1,"Local Evasion Rating +%","","","","",1,-1035225865,[],"","","",1,[],[],""
116,"evasion_rating_+%_per_frenzy_charge",1,"","",1,"Evasion Rating increase per Frenzy Charge","","","","",1,222133344,[],9,"","",1,[],[],""
117,"base_maximum_life","","","",3,"Base Maximum Life","","","","",1,-412812923,[],7,"","",1,[],[],""
118,"maximum_life_+%",1,"","",1,"Maximum Life +%","","","","",1,-1447371539,[],7,"","",1,[],[],""
119,"base_life_regeneration_rate_per_minute",1,"","",3,"Life Regeneration Rate per Minute","","","","",1,-82636098,[],7,"","",1,[],[],""
120,"life_regeneration_rate_per_minute_%_per_endurance_charge",1,"","",3,"Life Regeneration Rate per Endurance Charge","","","","",1,724137496,[],7,"","",1,[],[],""
121,"base_maximum_mana","","","",3,"Base Maximum Mana","","","","",1,33179562,[],8,"","",1,[],[],""
122,"maximum_mana_+%","","","",1,"Maximum Mana +%","","","","",1,-2079668835,[],8,"","",1,[],[],""
123,"mana_regeneration_rate_per_minute_%","","","",1,"Mana Regeneration Rate per Minute","","","","",1,2009634733,[],8,"","",1,[],[],""
124,"mana_regeneration_rate_+%","","","",1,"Mana Regeneration Rate +%","","","","",1,915714296,[],8,"","",1,[],[],""
125,"base_mana_regeneration_rate_per_minute",1,"","",3,"Mana Regeneration Rate per Minute","","","","",1,2136732448,[],8,"","",1,[],[],""
126,"mana_regeneration_rate_per_minute_%_per_power_charge",1,"","",1,"Mana Regeneration Rate per Power Charge","","","","",1,9809668,[],"","","",1,[],[],""
127,"base_maximum_energy_shield",1,"","",3,"Base Maximum Energy Shield","","","","",1,168289692,[],9,"","",1,[],[],""
128,"maximum_energy_shield_+%",1,"","",1,"Global Maximum Energy Shield +%","","","","",1,-1070560918,[],9,"","",1,[],[],""
129,"local_energy_shield",1,1,"",3,"Local Energy Shield","","","","",1,-1349965577,[],"","","",1,[],[],""
130,"local_energy_shield_+%",1,1,"",1,"Local Energy Shield +%","","","","",1,-1850804368,[],"","","",1,[],[],""
131,"energy_shield_recharge_rate_per_minute_%","","","",1,"","","","","",1,2065299120,[],9,"","",1,[],[],""
132,"energy_shield_recharge_rate_+%",1,"","",1,"","","","","",1,1767848875,[],9,"","",1,[],[],""
133,"energy_shield_delay_-%","","","",1,"Energy Shield Delay Recovery Increase",1,"","","",1,-1660464583,[],9,"","",1,[],[],""
134,"base_cannot_be_damaged",1,"","",4,"Cannot be Damaged",1,"","","",1,-1289720602,[],"","","","",[],[],""
135,"base_resist_all_elements_%",1,"","",1,"Resist all Elements","","","","",1,-1468713837,[],10,"","",1,[],[],""
136,"resist_all_elements_%_per_endurance_charge",1,"","",1,"Additional Elemental Resistance per Endurance Charge","","","","",1,282544527,[],"","","",1,[],[],""
137,"maximum_fire_damage_resistance_%",1,"","",5,"","",1,"","",1,-2026582005,[],"","","",1,[0],[],""
138,"base_fire_damage_resistance_%",1,"","",1,"Base Fire Damage Resistance %","","","","",1,2039518076,[],10,"","",1,[],[],""
139,"maximum_cold_damage_resistance_%",1,"","",5,"","",1,"","",1,-1821887250,[],"","","",1,[0],[],""
140,"base_cold_damage_resistance_%",1,"","",1,"Base Cold Damage Resistance %","","","","",1,1746311514,[],10,"","",1,[],[],""
141,"maximum_lightning_damage_resistance_%",1,"","",5,"","",1,"","",1,1048775403,[],"","","",1,[0],[],""
142,"base_lightning_damage_resistance_%",1,"","",1,"Base Lightning Damage Resistance %","","","","",1,1417405558,[],10,"","",1,[],[],""
143,"maximum_chaos_damage_resistance_%",1,"","",5,"","",1,"","",1,1091960713,[],"","","",1,[0],[],""
144,"base_chaos_damage_resistance_%",1,"","",1,"Base Chaos Damage Resistance %","","","","",1,1674290768,[],10,"","",1,[],[],""
145,"base_item_found_quantity_+%","","","",1,"Increased Item Quantity %","","","","",1,1682723695,[],"","","",1,[],[],""
146,"chest_item_quantity_+%",1,"","",1,"","","","","",1,-509838990,[],"","","",1,[],[],""
147,"base_item_found_rarity_+%","","","",1,"Base Item Found Rarity +%","","","","",1,812113821,[],18,"","",1,[],[],""
148,"chest_item_rarity_+%",1,"","",1,"","","","","",1,1234110117,[],"","","",1,[],[],""
149,"item_found_quality_+%",1,"","",1,"","","","","",1,-335246044,[],"","","",1,[],[],""
150,"item_found_relevancy_+%",1,"","",1,"","","","","",1,987729910,[],"","","",1,[],[],""
151,"experience_gain_+%",1,"","",1,"Experience Gain increase","","","","",1,-713730371,[],18,"","",1,[],[],""
152,"experience_loss_on_death_-%",1,"","",1,"Experience Loss on Death","","","","",1,-1657161374,[],"","","",1,[],[],""
153,"minion_maximum_life_+%",1,"","",1,"Minion Life Increase","","","","",1,-1990946027,[],12,"","",1,[],[],""
154,"base_spectre_maximum_life_+%","","","",1,"Spectre Life Increase","","","","",1,317122428,[],"","","",1,[],[],""
155,"base_zombie_maximum_life_+%","","","",1,"Zombie Life Increase","","","","",1,-695246821,[],"","","",1,[],[],""
156,"base_fire_elemental_maximum_life_+%","","","",1,"Fire Elemental Life Increase","","","","",1,917421567,[],"","","",1,[],[],""
157,"base_raven_maximum_life_+%","","","",1,"Raven Life Increase","","","","",1,1146914457,[],"","","",1,[],[],""
158,"base_number_of_spectres_allowed","","","",2,"Spectre Quantity","","","","",1,-2103232596,[],12,"","",1,[],[],""
159,"base_number_of_zombies_allowed","","","",2,"Zombie Quantity","","","","",1,-1247798718,[],12,"","",1,[],[],""
160,"totem_life_+%",1,"","",1,"Totem Life increase","","","","",1,1320174630,[],13,"","",1,[],[],""
161,"totem_range_+%",1,"","",1,"Totem Range increase","","","","",1,-1584494303,[],"","","",1,[],[],""
162,"buff_duration_+%",1,"","",1,"Buff Duration Increase","","","","",1,-1601108139,[],"","","",1,[],[],""
163,"buff_affects_party",1,"","",4,"Buff Affects Party","","","","",1,261439218,[],"","","","",[],[],""
164,"buff_party_effect_radius_+%",1,"","",1,"Buff Affects Party Radius","","","","",1,-112215984,[],"","","",1,[],[],""
165,"do_not_chain",1,"","",4,"Projectiles do not Chain","","","","",1,757681231,[],"","","","",[],[],""
166,"number_of_chains",1,"","",3,"Additional Chains",1,"","","",1,860057348,[],18,"","",1,[],[],""
167,"number_of_additional_projectiles",1,"","",3,"Additional Projectiles",1,"","","",1,-1876694605,[],6,"","",1,[],[],""
168,"number_of_additional_arrows","","","",3,"Additional Arrows","","","","",1,1574944052,[],18,"","",1,[],[],""
169,"base_projectile_speed_+%","","","",1,"Base Projectile Speed +%","","","","",1,-1247267744,[],6,"","",1,[],[],""
170,"base_arrow_speed_+%","","","",1,"Arrow speed increase","","","","",1,719481108,[],6,"","",1,[],[],""
171,"base_movement_velocity_+%",1,"","",1,"Base Movement Velocity +%","","","","",1,-449644146,[],18,"","",1,[],[],""
172,"movement_velocity_+%_per_frenzy_charge",1,"","",1,"Movement Speed increase per Frenzy Charge","","","","",1,1389368142,[],18,"","",1,[],[],""
173,"max_endurance_charges","","","",2,"Maximum Endurance Charges","","","","",1,-1413492862,[],16,"","",1,[],[],""
174,"max_frenzy_charges","","","",2,"Maximum Frenzy Charges","","","","",1,-676115558,[],16,"","",1,[],[],""
175,"max_power_charges","","","",2,"Maximum Power Charges","","","","",1,84542420,[],16,"","",1,[],[],""
176,"add_endurance_charge_on_critical_strike",1,"","",4,"Add Endurance Charge on Critical Strike","","","","",1,62683932,[],"","","","",[],[],""
177,"add_frenzy_charge_on_critical_strike",1,"","",4,"","","","","",1,211294352,[],"","","","",[],[],""
178,"add_power_charge_on_critical_strike",1,"","",4,"","","","","",1,1279355034,[],"","","","",[],[],""
179,"add_endurance_charge_on_skill_hit_%",1,"","",1,"","","","","",1,-326764135,[],"","","",1,[],[],""
180,"add_frenzy_charge_on_skill_hit_%",1,"","",1,"","","","","",1,-803273743,[],16,"","",1,[],[],""
181,"add_power_charge_on_skill_hit_%",1,"","",1,"","","","","",1,1641523098,[],"","","",1,[],[],""
182,"add_endurance_charge_on_enemy_critical_strike",1,"","",4,"","","","","",1,-292376177,[],"","","","",[],[],""
183,"add_endurance_charge_on_status_ailment",1,"","",4,"","","","","",1,-1283605356,[],"","","","",[],[],""
184,"base_avoid_chill_%","","","",1,"Chill Avoidance","","","","",1,-808665548,[],11,"","",1,[],[],""
185,"base_avoid_freeze_%","","","",1,"Freeze Avoidance","","","","",1,141091880,[],11,"","",1,[],[],""
186,"base_avoid_ignite_%","","","",1,"Ignite Avoidance","","","","",1,874270813,[],11,"","",1,[],[],""
187,"base_avoid_shock_%","","","",1,"Shock Avoidance","","","","",1,-1092858676,[],11,"","",1,[],[],""
188,"avoid_stun_%",1,"","",1,"Stun Avoidance",1,1,"","",1,1831785693,[],"","","",1,[0],[],""
189,"always_ignite",1,"","",4,"Always Ignite Targets","","","","",1,1700101235,[],"","","","",[],[],""
190,"always_shock",1,"","",4,"Always Shock Targets","","","","",1,601204277,[],"","","","",[],[],""
191,"always_stun",1,"","",4,"Always Stun Targets","","","","",1,-391711414,[],"","","","",[],[],""
192,"always_freeze","","","",4,"Always Freeze Targets","","","","",1,128701435,[],"","","","",[],[],""
193,"chill_duration_+%","","","",1,"Chill Duration Increase","","","","",1,21460690,[],2,"","",1,[],[],""
194,"shock_duration_+%","","","",1,"Shock Duration Increase","","","","",1,-1227052219,[],2,"","",1,[],[],""
195,"freeze_duration_+%","","","",1,"Freeze Duration Increase","","","","",1,-1350547084,[],2,"","",1,[],[],""
196,"ignite_duration_+%","","","",1,"Ignite Duration Increase","","","","",1,1688317111,[],2,"","",1,[],[],""
197,"stun_duration_+%",1,"","",1,"Stun Duration Increase","",1,"","",1,-1411890284,[],"","","",1,[18],[],""
198,"base_self_chill_duration_-%",1,"","",1,"","","","","",1,1631867717,[],"","","",1,[],[],""
199,"base_self_shock_duration_-%",1,"","",1,"","","","","",1,150347000,[],2,"","",1,[],[],""
200,"base_self_freeze_duration_-%",1,"","",1,"","","","","",1,-2015042282,[],2,"","",1,[],[],""
201,"base_self_ignite_duration_-%",1,"","",1,"","","","","",1,-910039483,[],2,"","",1,[],[],""
202,"chance_per_second_of_fire_spreading_between_enemies_%",1,"","",1,"","","","","",1,1878136481,[],"","","",1,[],[],""
203,"burn_damage_+%",1,"","",1,"Burning Damage Increase","","","","",1,-1997310462,[],1,"","",1,[],[],""
204,"active_skill_level_+",1,"","",3,"Active Skill Level","","","","",1,1316576757,[],"",1,"",1,[],[],""
205,"gem_experience_gain_+%",1,"","",1,"Gem Experience Gain",1,"","","",1,-433741010,[],"","","",1,[],[],""
206,"skill_area_of_effect_+%",1,"","",1,"",1,1,"","",1,425804088,[],"","","",1,[31],[],""
207,"base_mana_cost_-%","","","",1,"Mana Cost Reduction","","","","",1,1289380842,[],8,1,"",1,[],[],""
208,"skill_repeat_count",1,"","",3,"Skill Repeat Count",1,"","","",1,470395884,[],"",1,"",1,[],[],""
209,"skill_effect_duration_+%",1,"","",1,"Skill Duration",1,"","","",1,183850661,[],18,"","",1,[],[],""
210,"base_cast_speed_+%",1,"","",1,"Cast Speed +%","","","","",1,-1571913637,[],3,"","",1,[],[],""
211,"cast_speed_+%_per_power_charge",1,"","",1,"Cast Speed increase per Power Charge","","","","",1,-115527685,[],"","","",1,[],[],""
212,"skill_cooldown_-%",1,"","",1,"Skill Cooldown Reduction","","","","",1,1421329127,[],"","","",1,[],[],""
213,"avoid_interruption_while_casting_%","","","",1,"","","","","",1,1693823433,[],18,"","",1,[],[],""
214,"base_attack_repeat_count","","","",3,"Additional Targets","","","","",1,200207583,[],"","","",1,[],[],""
215,"base_stun_recovery_+%",1,"","",1,"Base Stun Recovery +%","","","","",1,1296349074,[],11,"","",1,[],[],""
216,"stun_recovery_+%_per_frenzy_charge",1,"","",1,"Stun Recovery increase per Frenzy Charge","","","","",1,-1772884047,[],"","","",1,[],[],""
217,"while_using_sword_reduce_enemy_block_%","","","",1,"","","","","",1,-304125896,[],6,"","",1,[],[],""
218,"prevent_monster_heal",1,"","",4,"Prevent Monster Heal","","","","",1,607476185,[],"","","","",[],[],""
219,"prevent_monster_heal_duration_+%",1,"","",1,"Prevent Monster Heal Duration","","","","",1,-1204438960,[],"","","",1,[],[],""
220,"chest_trap_defuse_%",1,"","",1,"","","","","",1,47428942,[],"","","",1,[],[],""
221,"enemies_chill_as_unfrozen",1,"","",4,"","","","","",1,773106185,[],2,"","","",[],[],""
222,"local_is_max_quality",1,1,"",4,"","","","","",1,-1531264119,[],"","","","",[],[],""
223,"local_disable_gem_experience_gain",1,1,"",4,"","","","","",1,-2128634386,[],"","","","",[],[],""
224,"local_gem_experience_gain_+%",1,1,"",1,"","","","","",1,1116356588,[],"","","",1,[],[],""
225,"local_extra_socket",1,1,"",4,"","","","","",1,1670712245,[],"","","","",[],[],""
226,"local_level_requirement_-",1,1,"",3,"","","","","",1,-326303339,[],"","","",1,[],[],""
227,"local_attribute_requirements_+%",1,1,"",1,"Local Attribute Requirements +%","","","","",1,-2049182743,[],"","","",1,[],[],""
228,"local_all_sockets_are_white",1,1,"",4,"","","","","",1,-1657225818,[],"","","","",[],[],""
229,"local_quantity_of_sockets_+%",1,1,"",1,"","","","","",1,-1336915422,[],"","","",1,[],[],""
230,"local_connectivity_of_sockets_+%",1,1,"",1,"","","","","",1,215824079,[],"","","",1,[],[],""
231,"local_gem_level_+",1,1,"",3,"","","","","",1,410299292,[],"","","",1,[],[],""
