"rownum","Id","MonsterTypesKey","i32","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32","string","string","ModelSizeMultiplier","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","i32","[rid]","i32","i32","i32","i32","i32","[rid]","string","[rid]","string","rid","string","i32","i32","i32","[rid]","[rid]","rid","rid","rid","rid","i32","[rid]","[rid]","[rid]","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","i32","i32","i32","rid","rid","i32","i32","i32","rid","i32","i32","i32","bool","bool","bool","i32","i32","f32","string","i32","rid","bool","bool","i32","bool","i32","i32","i32","i32","i32","i32","[string]","i32","i32","bool","rid","i32","bool","i32","i32","i32","i32","bool","i32","rid","f32","f32","bool","[string]","rid","i32","i32","i32","rid","bool","i32","bool"
10,"Metadata/Monsters/Spiker/Spiker3SanctumTrial__",14,32,3,6,9,"[""Metadata/Monsters/Spiker/SpikerSanctum.act""]","[""Metadata/Monsters/Spiker/Spiker_Variant.ao""]","Metadata/Monsters/Spiker/SpikerSanctum",[],1,"","",100,3,6,4,0,0,0,1,0,"[723,72,1024,49,754,713,1090,714,118,708,1015]",140,[],105,105,700,500,0,"[578,1492,4095]","Metadata/Monsters/Spiker/SpikerSanctum.ais",[],"",0,"Porcupine Goliath",140,140,1050,[],[],"","","","",0,[],[],[723],"",1,6,135,0,0,135,1342238096,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,3019898880,3019898880,-1275068416,25,-33554432,-16843010,-16843010,-16843010,3372154622,3019898880,-1275068416,25,167772160,1342177280,0,6580,0,"",1,"",-8,8,0,"",0,"","",1,3,1,0,0,0,0,0,0,"[""Metadata/Monsters/MarakethSanctumTrial/SanctumMonsterBase""]",-10,5,"","",7,1,0,0,-5,5,"",0,"",1,1,"",[],283,6,120,1028443341,0,1,0,""
11,"Metadata/Monsters/Totems/StrengthTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,0,0,0,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342215686,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2348810240,2348810240,-1946157056,28,-33554432,-16843010,-16843010,-16843010,3372154622,2348810240,-1946157056,28,167772160,1342177280,0,7308,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
12,"Metadata/Monsters/Totems/IntelligenceTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_intelligence.act""]","[""Metadata/Monsters/Totems/generic_totem/blue.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,0,0,0,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342207380,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1912602624,1912602624,1912602624,30,-33554432,-16843010,-16843010,-16843010,3372154622,1912602624,1912602624,30,167772160,1342177280,0,7794,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
13,"Metadata/Monsters/Totems/DexterityTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/generic_totem/totem_dexterity.act""]","[""Metadata/Monsters/Totems/generic_totem/green.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,0,0,0,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342239746,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1308622848,1308622848,1308622848,32,-33554432,-16843010,-16843010,-16843010,3372154622,1308622848,1308622848,32,167772160,1342177280,0,8270,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
14,"Metadata/Monsters/Totems/SnipeTotem",23,0,3,6,6,"[""Metadata/Monsters/Totems/crossbow_totem/totem_crossbow.act""]","[""Metadata/Monsters/Totems/crossbow_totem/crossbow.ao""]","Metadata/Monsters/Totems/Totem",[],1,"","",100,2,1,5,0,0,0,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342190580,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,436207616,436207616,436207616,34,-33554432,-16843010,-16843010,-16843010,3372154622,436207616,436207616,34,167772160,1342177280,0,8730,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
15,"Metadata/Monsters/Totems/ForwardBallista",24,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/ForwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/ForwardBallista",[],1,"","",80,2,6,5,0,0,0,6,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/RipwireBallista.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342182641,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,2952790016,2952790016,-1342177280,36,-33554432,-16843010,-16843010,-16843010,3372154622,2952790016,-1342177280,36,167772160,1342177280,0,9392,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
16,"Metadata/Monsters/Totems/UpwardBallista",24,0,3,6,6,"[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.act""]","[""Metadata/Monsters/Totems/Ballistas/UpwardBallista.ao""]","Metadata/Monsters/Totems/Ballistas/UpwardBallista",[],1,"","",80,2,6,5,0,0,0,12,0,"[74,163,742,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/Totems/ArtilleryBallista.ais",[],"",3,"Totem",100,100,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342189213,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,1107296256,1107296256,1107296256,39,-33554432,-16843010,-16843010,-16843010,3372154622,1107296256,1107296256,39,0,1342177280,0,10050,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,100,1028443341,0,1,0,""
17,"Metadata/Monsters/Totems/SlamTotem",25,0,3,6,6,"[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karui_ancestor_totem.act""]","[""Metadata/Monsters/Totems/ancestor_totem/karuiAncestorTotem/karuiAncestorTotemBody.ao""]","Metadata/Monsters/Totems/ancestor_totem/SlamTotem",[],1,"","",100,2,18,5,0,0,0,6,0,"[74,163,742,120,781,30,31,745,762,1025]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",39,"Totem",100,120,1000,[],[],"","","","",0,[],[],[],"",1,6,135,0,0,135,1342188108,0,-33554432,-16843010,-16843010,"",-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,16711422,0,4127195136,4127195136,-167772160,41,-33554432,-16843010,-16843010,-16843010,3372154622,4127195136,-167772160,41,167772160,1342177280,0,10742,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,110,1028443341,0,"",0,""
18,"Metadata/Monsters/DarkExiles/DarkExileTemplar1",30,30,2,6,6,"[""Metadata/Monsters/Exiles/Characters/StrInt.act""]","[""Metadata/Characters/StrInt/StrIntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileTemplar1","[6204,6191,6178,10407]",0,"","",100,3,6,7,0,0,0,2,100,"[34,716,1027,702,715,734,71,48,758,717,747,754,30,32,118,779]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileTemplar1.ais",[],"WandShield",0,"Shade of a Templar",143,1650,1245,[9214],[9215],"",8,26,"",0,[],[],[],"",1,6,135,0,0,135,1342197598,0,-33554432,-16843010,-16843010,"",-16843010,1778319102,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,2852126720,2852126720,-1442840576,45,50331648,0,0,0,3355443200,2852126720,-1442840576,45,167772160,1342177280,0,11690,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,1,0,""
19,"Metadata/Monsters/DarkExiles/DarkExileDuelist1",35,31,2,6,6,"[""Metadata/Monsters/Exiles/Characters/StrDex.act""]","[""Metadata/Characters/StrDex/StrDexRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileDuelist1",[3865],0,"","",100,3,6,1,0,0,0,2,100,"[1021,719,716,702,726,728,725,71,48,758,717,747,754,31,714,118,779,771]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileDuelist1.ais",[],"OneHandSwordOneHandSword",0,"Shade of a Duelist",62,1650,1560,[9226],[9226],"",9,9,"",0,[],[],[],"",1,6,135,0,0,135,1342179378,0,-33554432,-16843010,-16843010,"",-16843010,1761541886,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,1778384896,1778384896,1778384896,49,50331648,0,0,0,3355443200,1778384896,1778384896,49,167772160,1342177280,0,12650,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,"",0,""
20,"Metadata/Monsters/DarkExiles/DarkExileMarauder1",32,26,2,6,6,"[""Metadata/Monsters/Exiles/Characters/Str.act""]","[""Metadata/Characters/Str/StrRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileMarauder1",[],0,"","",100,3,6,2,0,0,0,2,100,"[1022,772,702,732,727,71,48,758,747,30,31,714,118,779,753,721]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileMarauder1.ais",[],"TwoHandMace",0,"Shade of a Marauder",143,1650,1305,[9235],[],"",17,"","",0,[],[],[],"",1,6,135,0,0,135,1342195951,0,-33554432,-16843010,-16843010,"",-16843010,1711210238,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,3321888768,3321888768,-973078528,52,50331648,0,0,0,3355443200,3321888768,-973078528,52,167772160,1342177280,0,13510,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,1,0,""
21,"Metadata/Monsters/DarkExiles/DarkExileShadow1",31,34,2,6,6,"[""Metadata/Monsters/Exiles/Characters/DexInt.act""]","[""Metadata/Characters/DexInt/DexIntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileShadow1","[6149,6471,9047]",0,"","",100,3,6,1,0,0,0,2,100,"[1021,34,716,702,715,738,726,725,71,48,758,717,747,754,29,118,779,771]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileShadow1.ais",[],"DaggerDagger",0,"Shade of a Shadow",143,1650,855,[9253],[9253],"",7,7,"",0,[],[],[],"",1,6,135,0,0,135,1342223489,0,-33554432,-16843010,-16843010,"",-16843010,1795096318,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,2248146944,2248146944,-2046820352,56,50331648,0,0,0,3355443200,2248146944,-2046820352,56,167772160,1342177280,0,14470,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,1,0,""
22,"Metadata/Monsters/DarkExiles/DarkExileWitch1",34,30,2,6,6,"[""Metadata/Monsters/Exiles/Characters/Int.act""]","[""Metadata/Characters/Int/IntRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileWitch1","[6671,3935,10401]",0,"","",100,3,6,7,0,0,0,2,100,"[34,720,1027,702,715,734,71,48,758,717,747,754,30,29,32,118,779]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileWitch1.ais",[],"WandShield",0,"Shade of a Witch",143,1650,1245,[9214],[9081],"",8,26,"",0,[],[],[],"",1,6,135,0,0,135,1342191895,0,-33554432,-16843010,-16843010,"",-16843010,1744764670,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,0,0,0,60,50331648,0,0,0,3355443200,0,0,60,167772160,1342177280,0,15360,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,1,0,""
23,"Metadata/Monsters/DarkExiles/DarkExileRanger1",33,30,2,6,80,"[""Metadata/Monsters/Exiles/Characters/Dex.act""]","[""Metadata/Characters/Dex/DexRogueExile.ao""]","Metadata/Monsters/Exiles/DarkExiles/DarkExileRanger1",[3866],0,"","",100,3,6,3,0,0,0,2,100,"[716,702,715,737,71,48,758,747,754,31,29,714,773,32,118,779,1023]",220,[],105,200,700,500,0,[],"Metadata/Monsters/Exiles/DarkExiles/DarkExileRanger1.ais",[],"Bow",0,"Shade of a Ranger",143,1650,1245,[7922],[9222],7279,13,"","",0,[],[],[],"",1,6,135,0,0,135,1342228096,0,-33554432,-16843010,-16843010,"",-16843010,1727987454,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,1811939328,1811939328,1811939328,63,50331648,0,0,0,3355443200,1811939328,1811939328,63,167772160,1342177280,0,16236,0,"","",1,0,0,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",0,875,1028443341,0,1,0,""
24,"Metadata/Monsters/RootSpiders/RootSpider",16,16,3,6,23,"[""Metadata/Monsters/RootSpiders/RootSpider/RootSpider.act""]","[""Metadata/Monsters/RootSpiders/RootSpider/RootSpider.ao""]","Metadata/Monsters/RootSpiders/RootSpider/RootSpider",[3866],0,"","",100,3,6,0,0,0,0,3,100,"[1020,72,175,770,127,759,126,163,75,742,141,747,713,714,32,118,752]",200,[],105,200,700,500,0,[],"Metadata/Monsters/RootSpiders/RootSpider/RootSpider.ais",[],"Bow",0,"Devourer",240,200,1500,[7922],[9222],7279,13,"","",0,[],"[6173,12412]",[745],"",1,5,43,1,0,135,1342184279,0,-33554432,-16843010,-16843010,"",-16843010,1727987454,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,0,301989888,301989888,301989888,67,50331648,0,0,0,3355443200,301989888,301989888,67,167772160,1342177280,0,17170,0,"",1,1,-10,10,0,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,"","",7,"",0,0,0,0,"",0,"",1,1,"",[],"",4,150,1028443341,0,1,0,""
