"rownum","rid","[rid]","[rid]","[rid]","bool"
160,15832,[15831],[],[],""
161,15962,[5440],[],[],""
162,16043,[3483],[],[],""
163,16935,[16935],[],[],""
164,16331,[16331],[],[],""
165,17056,[17054],[],[],""
166,17057,[17055],[],[],""
167,17384,[444],[],[],""
168,17385,[644],[],[],""
169,17410,[555],[],[],""
170,17411,[675],[],[],""
171,17412,[1571],[],[],""
172,17413,[666],[],[],""
173,17414,[114],[],[],""
174,17802,[9241],[],[],""
175,17803,[17830],[],[],""
176,17796,[17823],[],[],""
177,18504,[8844],[],[],""
178,18507,[18506],[],[],""
179,9740,[28],[],[23],""
180,9741,[29],[],[23],""
181,7680,[698],[23],[],""
182,7676,[7678],[23],[],""
183,7677,[7679],[23],[],""
184,13648,[13646],[],[50],""
185,13649,[13647],[],[50],""
186,14413,[14415],[17],[],""
187,10852,[95],"[0,7,8,9]",[],""
188,18548,[140],[5],[],1
189,18547,[138],[5],[],1
190,18549,[142],[5],[],1
191,3845,[24],[19],[],""
192,7243,[189],[19],[],""
193,9045,[441],[19],[],""
194,9057,[118],[19],[],""
195,11256,[11255],[19],[],""
196,3853,[24],"[8,9]",[],""
197,18556,[171],"[8,9]",[],""
198,6004,[70],"[8,9]",[],""
199,6005,[210],"[8,9]",[],""
200,7230,[666],"[8,9]",[],""
201,7429,[5055],"[8,9]",[],""
202,7428,[7430],"[8,9]",[],""
203,7427,[2460],"[8,9]",[],""
204,10413,[474],"[8,9]",[],""
205,10414,[9241],"[8,9]",[],""
206,17311,[12570],"[8,9,39]",[],""
207,17312,[5967],"[8,9,39]",[],""
208,6197,[117],[0],[],""
209,3414,[24],[0],[],""
210,4052,[1861],[0],[],""
211,4117,[135],[0],[],""
212,4715,[4716],[0],[],""
213,6479,[541],[0],[],""
214,13628,[13637],[56],[],""
215,13253,[18559],[56],[],""
216,18564,[18565],[],[],""
217,1331,[117],[7],[],""
218,1340,[1339],[7],[],""
219,1573,[698],[7],[],""
220,1333,[7222],[7],[],""
221,1574,[26],[7],[],""
222,3837,[24],[7],[],""
223,4044,[70],[7],[],""
224,4118,[135],[7],[],""
225,12161,[2460],[7],[],""
226,10415,[3285],[7],[],""
227,7098,[3546],[7],[],""
228,5255,[5254],[7],[],""
229,12162,[5055],[7],[],""
230,5258,[5257],[7],[],""
231,7231,[7232],[7],[],""
232,5367,[5366],[7],[],""
233,12160,[7430],[7],[],""
234,8869,[8868],[7],[],""
235,18454,[18454],[7],[],""
236,18869,[1065],[],[],""
237,19027,[19029],[],[],""
238,7732,[2040],[],[],""
239,19147,[9572],[],[],""
240,19432,[4810],[],[],""
241,19473,[9014],[],[],""
242,19477,[566],[],[],""
243,19658,[52],[],[],""
244,19659,[53],[],[],""
245,19876,[19877],[],[],""
246,19875,[19875],[],[],""
247,19874,[118],"[67,68,69,70,71,72]",[],""
248,19879,[19879],[],[],""
249,19880,[19880],[],[],""
250,19881,[19881],[],[],""
251,19882,[19882],[],[],""
252,19883,[19883],[],[],""
253,19884,[19884],[],[],""
254,6486,[6486],[],[],""
255,6487,[6487],[],[],""
256,6488,[6488],[],[],""
257,6584,[6584],[],[],""
258,20250,[20248],[],[],""
259,20251,[20249],[],[],""
260,20362,[8868],"[8,0]",[],""
261,20385,[171],[57],[],""
262,20608,[20609],[],[],""
263,20693,[20693],[],[],1
264,20705,[20705],[],[],""
265,21003,"[20999,21000,21001]",[],[],""
266,20990,[21002],[],[],""
267,20991,[20995],[],[],""
268,20992,[20996],[],[],""
269,20993,[20997],[],[],""
270,20994,[20998],[],[],""
