"rownum","Id","IsSupport","AllowedActiveSkillTypes","SupportGemLetter","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","HASH32","CannotBeSupported","i32","CastTime","ActiveSkill","IgnoreMinionTypes","bool","AddedMinionActiveSkillTypes","Animation","MultiPartAchievement","bool","SupportWeaponRestrictions","RegularVariant","bool","i32","i32","i32","bool","StatSet","AdditionalStatSets","string","CostTypes","bool","[i32]","i32"
11,"MeleeMaceMacePlayer","",[],"",[],[],"",681834515,"",2,1000,746,"","",[],1,"","",[],"","",0,1,0,"",11,[],"",[],1,[],-1
12,"Melee2HMacePlayer","",[],"",[],[],"",1135232423,"",2,1000,747,"","",[],1,"","",[],"","",0,1,0,"",12,[],"",[],1,[],-1
13,"MeleeClawPlayer","",[],"",[],[],"",-1601973701,"",2,1000,748,"","",[],1,"","",[],"","",0,1,0,"",13,[],"",[],1,[],-1
14,"MeleeClawClawPlayer","",[],"",[],[],"",1563352444,"",2,1000,749,"","",[],1,"","",[],"","",0,1,0,"",14,[],"",[],1,[],-1
15,"MeleeDaggerPlayer","",[],"",[],[],"",1439779049,"",2,1000,750,"","",[],1,"","",[],"","",0,1,0,"",15,[],"",[],1,[],-1
16,"MeleeDaggerDaggerPlayer","",[],"",[],[],"",-130487420,"",2,1000,751,"","",[],1,"","",[],"","",0,1,0,"",16,[],"",[],1,[],-1
17,"MeleeSpearPlayer","",[],"",[],[],"",-1108548340,"",2,1000,752,"","",[],1,"","",[],"","",0,1,0,"",17,[],"",[],1,[],-1
18,"MeleeBowPlayer","",[],"",[],[],"",1159422192,"",2,1000,753,"","",[],412,"","",[],"","",0,1,0,"",18,[],"",[],1,[],-1
19,"MeleeCrossbowPlayer","",[],"",[],[],"",1192121993,"",2,1000,754,"","",[],412,"","",[],"","",0,0,0,"",19,[],"",[],1,[],-1
20,"PlaytestAttack","",[],"",[],[],"",1589733925,"",2,1000,755,"","",[],1,"","",[],"","",0,1,0,"",20,[],"",[0],1,[],-1
21,"PlaytestSlam","",[],"",[],[],"",893567615,"",2,1000,756,"","",[],14,"","",[],"","",0,19,0,"",21,[],"",[0],1,[],-1
22,"PlaytestSpell","",[],"",[],[],"",1975023007,"",2,1000,757,"","",[],433,"","",[],"","",0,0,0,"",22,[23],"",[0],1,[],-1
23,"DodgeRollPlayer","",[],"",[],[],"",1285784734,"",2,750,638,"","",[],254,"","",[],"","",0,0,0,"",776,[],"",[],1,[],-1
24,"CommandCompanionPlayer","",[],"",[],[],"",384031381,"",2,700,693,"","",[],489,"","",[],"","",0,3,0,"",26,[],"",[],1,[],-1
25,"CommandUnloadAmmoPlayer","",[],"",[],[],"",-1845851244,"",2,700,693,"","",[],489,"","",[],"","",0,3,0,"",27,[],"",[],1,[],-1
26,"FireboltPlayer","",[],"",[],[],"",-1382142311,"",2,900,35,"","",[],433,"","",[],"","",0,0,0,"",24,[25],"",[],1,[],-1
27,"IceNovaPlayer","",[],"",[],[],"",783282587,"",2,1000,34,"","",[],287,"","",[],"","",1,4,0,"",28,[4933],"",[0],1,[],-1
28,"LeapSlamPlayer","",[],"",[],[],"",1158757118,"",2,1400,12,"","",[],14,"","",[],"","",0,19,0,"",29,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
29,"ShieldChargePlayer","",[],"",[],[],"",1244402693,"",2,1000,10,"","",[],10,"","",[],"","",0,0,0,"",30,[4935],"",[7],1,[],-1
30,"DetonateDeadPlayer","",[],"",[],[],"",1720307868,"",2,800,25,"","",[],479,"","",[],"","",0,0,0,"",31,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
31,"RaiseZombiePlayer","",[],"",[],[],"",-776017435,"",2,600,39,"","",[],497,"","",[],"","",0,0,0,"",32,[],"",[0],1,[],-1
32,"FlickerStrikePlayer","",[],"",[],[],"",479486538,"",2,1000,27,"","",[],227,"","",[],"","",0,0,0,"",33,[],"",[0],1,[],-1
33,"SparkPlayer","",[],"",[],[],"",784810722,"",2,700,51,"","",[],285,"","",[],"","",0,0,0,"",34,[],"",[0],1,[],-1
34,"UniqueEarthboundTriggeredSparkPlayer","",[],"",[],[],"",-175106166,"",2,700,52,"","",[],285,"","",[],"","",0,0,0,"",35,[],"",[0],1,[],-1
35,"IceSpearPlayer","",[],"",[],[],"",418374546,"",2,1000,651,"","",[],390,"","",[],"","",0,0,0,"",255,"[256,257,258]","",[0],1,[],-1
36,"SummonSpectrePlayer","",[],"",[],[],"",-1158254649,"",2,850,56,"","",[],363,"","",[],"","",0,0,0,"",36,[],"",[0],1,[],-1
37,"FrostWallPlayer","",[],"",[],[],"",1436428227,"",2,800,60,"","",[],318,"","",[],"","",0,0,0,"",37,[],"",[0],1,[],-1
38,"ShockNovaPlayer","",[],"",[],[],"",-561096694,"",2,700,202,"","",[],552,"","",[],"","",0,0,0,"",38,[],"",[],1,[],-1
39,"TemporalChainsPlayer","",[],"",[],[],"",-1726149346,"",2,700,65,"","",[],619,"","",[],"","",0,0,0,"",39,[],"",[0],1,[],-1
40,"EnfeeblePlayer","",[],"",[],[],"",-561461764,"",2,700,68,"","",[],482,"","",[],"","",0,0,0,"",40,[],"",[0],1,[],-1
41,"SnipersMarkPlayer","",[],"",[],[],"",-2099882922,"",2,500,70,"","",[],422,"","",[],"","",0,0,0,"",41,[],"",[0],1,[],-1
42,"VulnerabilityPlayer","",[],"",[],[],"",-1665763226,"",2,700,71,"","",[],481,"","",[],"","",0,0,0,"",42,[],"",[0],1,[],-1
43,"LightningWarpPlayer","",[],"",[],[],"",-26512557,"",2,500,73,"","",[],435,"","",[],"","",1,0,0,"",43,[],"",[0],1,[],-1
44,"ArmourBreakerPlayer","",[],"",[],[],"",-119459433,"",2,1000,75,"","",[],575,"","",[],"","",0,0,0,"",44,[],"",[0],1,[],-1
45,"FirestormPlayer","",[],"",[],[],"",-1959490466,"",2,1400,81,"","",[],377,"","",[],"","",4,30,0,"",45,[5181],"",[0],1,[],-1
46,"FallingThunderPlayer","",[],"",[],[],"",1924535859,"",2,1000,628,"","",[],186,"","",[],"","",0,0,0,"",46,[47],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
47,"PowerSiphonPlayer","",[],"",[],[],"",1765669141,"",2,700,92,"","",[],465,"","",[],"","",1,0,0,"",48,[],"",[],1,[],-1
48,"LightningArrowPlayer","",[],"",[],[],"",1125460749,"",2,1000,94,"","",[],416,"","",[],"","",0,0,0,"",49,[343],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
49,"DisciplinePlayer","",[],"",[],[],"",1590703230,"",2,0,99,"","",[],"","","",[],"","",0,0,0,"",50,[],"",[],1,[],-1
50,"ShockwaveTotemPlayer","",[],"",[],[],"",-1508706895,"",2,600,758,"","",[],456,"","",[],"","",0,0,0,"",51,[],"",[0],1,[],-1
51,"ShockwaveTotemQuakePlayer","",[],"",[],[],"",-470328346,"",2,600,760,"","",[],649,"","",[],"","",0,0,0,"",52,[53],"",[],1,[],-1
52,"KnifeFlipPlayer","",[],"",[],[],"",-2002697847,"",2,1000,116,"","",[],231,"","",[],"","",0,0,0,"",54,[],"",[],1,[],-1
53,"ArcPlayer","",[],"",[],[],"",1358643428,"",2,1100,37,"","",[],286,"","",[],"","",2,10,0,"",55,[],"",[0],1,[],-1
54,"ArcticArmourPlayer","",[],"",[],[],"",1864998710,"",2,0,624,"","",[],328,"","",[],"","",0,0,0,"",56,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/ArcticArmour/OnHit_ArcticArmourSG",[],1,[],-1
55,"FlammabilityPlayer","",[],"",[],[],"",-1300518825,"",2,700,122,"","",[],529,"","",[],"","",0,0,0,"",57,[],"",[0],1,[],-1
56,"HypothermiaPlayer","",[],"",[],[],"",1495189518,"",2,700,123,"","",[],530,"","",[],"","",0,0,0,"",58,[],"",[0],1,[],-1
57,"ConductivityPlayer","",[],"",[],[],"",836789498,"",2,700,124,"","",[],531,"","",[],"","",0,0,0,"",59,[],"",[0],1,[],-1
58,"BallLightningPlayer","",[],"",[],[],"",-2128520801,"",2,1000,125,"","",[],567,"","",[],"","",0,0,0,"",60,[],"",[0],1,[],-1
59,"PurityOfFirePlayer","",[],"",[],[],"",772385188,"",2,0,141,"","",[],"","","",[],"","",0,0,0,"",61,[],"",[],1,[],-1
60,"PurityOfIcePlayer","",[],"",[],[],"",610702832,"",2,0,142,"","",[],"","","",[],"","",0,0,0,"",62,[],"",[],1,[],-1
61,"PurityOfLightningPlayer","",[],"",[],[],"",-1675211614,"",2,0,143,"","",[],"","","",[],"","",0,0,0,"",63,[],"",[],1,[],-1
62,"FlameblastPlayer","",[],"",[],[],"",-1810326000,"",2,250,149,"","",[],436,"","",[],"","",0,0,0,"",64,[],"",[7],1,[],-1
63,"BarragePlayer","",[],"",[],[],"",-1213071378,"",2,700,156,"","",[],92,"","",[],"","",0,0,0,"",65,[],"",[0],1,[],-1
64,"BoneOfferingPlayer","",[],"",[],[],"",-1419346877,"",2,600,162,"","",[],379,"","",[],"","",0,0,0,"",66,[],"",[0],1,[],-1
65,"SSMQuadrillaRockPlayer","",[],"",[],[],"",1633909526,"",2,1000,183,"","",[],"","","",[],"","",0,0,0,"",75,[],"",[],1,[],-1
66,"HeraldOfAshPlayer","",[],"",[],[],"",2046080964,"",2,0,175,"","",[],"","","",[],"","",0,0,0,"",67,[68],"",[],1,"[1,0]",-1
67,"HeraldOfIcePlayer","",[],"",[],[],"",-986982625,"",2,0,176,"","",[],"","","",[],"","",0,0,0,"",69,[70],"",[],1,"[1,0]",-1
68,"HeraldOfThunderPlayer","",[],"",[],[],"",-1147918461,"",2,0,177,"","",[],"","","",[],"","",0,0,0,"",71,[72],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],1,"[1,0]",-1
69,"InfernalCryPlayer","",[],"",[],[],"",-288773493,"",2,800,439,"","",[],573,"","",[],"","",0,0,0,"",73,[],"",[0],1,[],-1
70,"InfernalCryCorpseExplosionPlayer","",[],"",[],[],"",-887477615,"",2,1000,654,"","",[],"","","",[],"","",0,0,0,"",74,[],"",[],1,[],-1
71,"MarakethUndeadPriestRollingMagma","",[],"",[],[],"",0,"",2,700,208,"","",[],376,"","",[],"","",0,12,0,"",76,[],"",[0],1,[],-1
72,"RollingMagmaPlayer","",[],"",[],[],"",1239665169,"",2,700,208,"","",[],376,"","",[],"","",3,0,0,"",77,[],"",[0],1,[],-1
73,"FrostBombPlayer","",[],"",[],[],"",1625448596,"",2,800,217,"","",[],292,"","",[],"","",0,0,0,"",78,[],"",[0],1,[],-1
74,"OrbOfStormsPlayer","",[],"",[],[],"",-263106231,"",2,800,220,"","",[],440,"","",[],"","",0,0,0,"",79,[],"",[0],1,[],-1
75,"EarthquakePlayer","",[],"",[],[],"",-945181614,"",2,1000,224,"","",[],516,"","",[],"","",0,0,0,"",80,[81],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
76,"ContagionPlayer","",[],"",[],[],"",-335088246,"",2,1000,228,"","",[],399,"","",[],"","",0,0,0,"",82,[],"",[0],1,[],-1
77,"WitherPlayer","",[],"",[],[],"",512603286,"",2,250,230,"","",[],543,"","",[],"","",0,0,0,"",83,[],"",[],1,[],-1
78,"EssenceDrainPlayer","",[],"",[],[],"",-521776207,"",2,800,231,"","",[],477,"","",[],"","",0,0,0,"",84,[85],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/EssenceDrain/OnHit_EssenceDrainSG",[0],1,[],-1
79,"DarkPactPlayer","",[],"",[],[],"",1467437114,"",2,700,250,"","",[],554,"","",[],"","",0,0,0,"",88,[],"",[],1,[],-1
80,"SummonSkeletalWarriorsPlayer","",[],"",[],[],"",2115621412,"",2,0,280,"","",[],"","","",[],"","",0,0,0,"",89,[],"",[],1,[],-1
81,"SummonSkeletalReaversPlayer","",[],"",[],[],"",2074722292,"",2,0,281,"","",[],"","","",[],"","",1,0,0,"",90,[],"",[],1,[],-1
82,"SummonSkeletalBrutesPlayer","",[],"",[],[],"",1093154269,"",2,0,282,"","",[],"","","",[],"","",2,0,0,"",91,[],"",[],1,[],-1
83,"SummonSkeletalSnipersPlayer","",[],"",[],[],"",2144132087,"",2,0,283,"","",[],"","","",[],"","",3,0,0,"",92,[],"",[],1,[],-1
84,"SummonSkeletalFrostMagesPlayer","",[],"",[],[],"",-2144561793,"",2,0,284,"","",[],"","","",[],"","",4,0,0,"",93,[],"",[],1,[],-1
85,"SummonSkeletalStormMagesPlayer","",[],"",[],[],"",-215360651,"",2,0,285,"","",[],"","","",[],"","",5,0,0,"",94,[],"",[],1,[],-1
86,"SummonSkeletalArsonistsPlayer","",[],"",[],[],"",-580678227,"",2,0,286,"","",[],"","","",[],"","",6,0,0,"",95,[],"",[],1,[],-1
87,"SummonSkeletalClericsPlayer","",[],"",[],[],"",1349094347,"",2,0,287,"","",[],"","","",[],"","",7,0,0,"",96,[],"",[],1,[],-1
88,"VolatileDeadPlayer","",[],"",[],[],"",963745108,"",2,800,305,"","",[],538,"","",[],"","",0,0,0,"",97,[],"",[],1,[],-1
89,"DespairPlayer","",[],"",[],[],"",138115282,"",2,700,322,"","",[],483,"","",[],"","",0,0,0,"",98,[],"",[0],1,[],-1
90,"IncineratePlayer","",[],"",[],[],"",-1788337286,"",2,250,796,"","",[],569,"","",[],"","",0,0,0,"",99,[100],"",[7],1,[],-1
91,"RainOfArrowsPlayer","",[],"",[],[],"",-1249697118,"",2,1000,723,"","",[],64,"","",[],"","",0,0,0,"",101,[],"",[0],1,[],-1
92,"SoulrendPlayer","",[],"",[],[],"",-1540502453,"",2,800,393,"","",[],549,"","",[],"","",0,0,0,"",102,[],"",[],1,[],-1
93,"PlagueBearerPlayer","",[],"",[],[],"",-654512939,"",2,0,726,"","",[],"","","",[],"","",0,0,0,"",103,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],1,[],-1
94,"ArtilleryBallistaPlayer","",[],"",[],[],"",1664620955,"",2,1000,427,"","",[],50,"","",[],"","",0,0,0,"",104,[],"",[0],1,[],-1
95,"ArtilleryBallistaProjectilePlayer","",[],"",[],[],"",857135005,"",2,1000,428,"","",[],1,"","",[],"","",2,1,0,"",105,[106],"",[],1,[],-1
96,"SnipePlayer","",[],"",[],[],"",-2143561332,"",2,1000,433,"","",[],54,"","",[],"","",0,0,0,"",107,[108],"",[7],1,[],-1
97,"SeismicCryPlayer","",[],"",[],[],"",729574810,"",2,800,441,"","",[],572,"","",[],"","",0,0,0,"",109,[],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
98,"EarthshatterPlayer","",[],"",[],[],"",848254453,"",2,1000,446,"","",[],13,"","",[],"","",1,0,0,"",110,[4937],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
99,"SunderPlayer","",[],"",[],[],"",278070861,"",2,1000,236,"","",[],183,"","",[],"","",0,5,0,"",86,[87],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
100,"SigilOfPowerPlayer","",[],"",[],[],"",-1193793355,"",2,600,450,"","",[],548,"","",[],"","",0,0,0,"",111,[],"",[],1,[],-1
101,"FlameWallPlayer","",[],"",[],[],"",-1757477470,"",2,1000,451,"","",[],438,"","",[],"","",0,0,0,"",112,[5186],"",[0],1,[],-1
102,"DoomBlastPlayer","",[],"",[],[],"",389713709,"",2,1000,453,"","",[],"","","",[],"","",0,0,0,"",113,[],"",[],1,[],-1
103,"HexblastPlayer","",[],"",[],[],"",-1328349740,"",2,1000,457,"","",[],402,"","",[],"","",0,0,0,"",114,[],"",[0],1,[],-1
104,"AncestralWarriorTotemPlayer","",[],"",[],[],"",-417140818,"",2,500,468,"","",[],456,"","",[],"","",0,0,0,"",115,[],"",[0],1,[],-1
105,"SupportAncestralWarriorTotemPlayer",1,[0],"",[94],"[121,36,89,47]","",1940272382,"",2,1000,"","","",[],"","","",[17],"","",0,0,0,"",116,[],"",[],1,[],-1
106,"SummonMetaTotemSpellTotemPlayer","",[],"",[],[],"",1143659949,"",2,500,470,"","",[],1,"","",[],"","",0,0,0,"",117,[],"",[],1,[],-1
107,"SupportMetaTotemSpellTotemPlayer",1,[1],"",[36],[],"",-704656008,"",2,1000,"","","",[],"","","",[],"","",0,0,0,"",118,[],"",[],1,[],-1
108,"SummonMetaTotemBallistaPlayer","",[],"",[],[],"",364360799,"",2,500,471,"","",[],527,"","",[],"","",0,0,0,"",119,[],"",[],1,[],-1
109,"SupportMetaTotemBallistaPlayer",1,[40],"",[36],[],"",-1979444310,"",2,1000,"","","",[],"","","",[],"","",0,0,0,"",120,[],"",[],1,[],-1
110,"RapidAssaultPlayer","",[],"",[],[],"",1252991862,"",2,1000,525,"","",[],389,"","",[],"","",0,0,0,"",121,[122],"",[0],1,[],-1
111,"EngagePlayer","",[],"",[],[],"",-2129424665,"",2,1000,527,"","",[],320,"","",[],"","",1,0,0,"",123,[],"",[0],1,[],-1
112,"DisengagePlayer","",[],"",[],[],"",1671647665,"",2,1000,528,"","",[],79,"","",[],"","",0,0,0,"",124,[],"",[0],1,[],-1
113,"ExsanguinatePlayer","",[],"",[],[],"",-1894655896,"",2,1000,473,"","",[],540,"","",[],"","",0,0,21,"",125,[],"",[],1,[],-1
114,"ReapPlayer","",[],"",[],[],"",-1023364194,"",2,1000,478,"","",[],550,"","",[],"","",0,0,22,"",126,[],"",[],1,[],-1
115,"BoneshatterPlayer","",[],"",[],[],"",976235334,"",2,1000,495,"","",[],444,"","",[],"","",0,0,30,"",127,[128],"",[0],1,[],-1
116,"EyeOfWinterPlayer","",[],"",[],[],"",-1188879064,"",2,1100,500,"","",[],571,"","",[],"","",0,0,0,"",129,[],"",[0],1,[],-1
117,"WhirlingSlashPlayer","",[],"",[],[],"",1619954963,"",2,1000,530,"","",[],157,"","",[],"","",0,0,0,"",130,[131],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
118,"SpearfieldPlayer","",[],"",[],[],"",1597522128,"",2,1000,532,"","",[],162,"","",[],"","",0,0,0,"",132,[],"",[0],1,[],-1
119,"TornadoPlayer","",[],"",[],[],"",441880111,"",2,750,504,"","",[],311,"","",[],"","",0,0,0,"",133,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/Tornado/OnHit_TornadoSG",[0],1,[],-1
120,"LightningConduitPlayer","",[],"",[],"[136,142]","",-1272174003,"",2,1000,518,"","",[],443,"","",[],"","",0,0,0,"",134,[],"",[0],1,[],-1
121,"GalvanicFieldPlayer","",[],"",[],[],"",-1117461662,"",2,500,519,"","",[],539,"","",[],"","",0,0,0,"",135,[],"",[],1,[],-1
122,"MtxDirectLineOfAntsPlayer","",[],"",[],[],"",219162552,1,2,250,521,"","",[],"","","",[],"","",0,0,0,"",136,[],"",[],1,[],-1
123,"MtxPolymorphCat1Player","",[],"",[],[],"",764347639,1,2,700,522,"","",[],21,"",1,[],"","",0,11,0,"",137,[],"",[],1,[],-1
124,"MtxPolymorphCat2Player","",[],"",[],[],"",-1470628148,1,2,700,522,"","",[],21,"",1,[],"","",0,12,0,"",137,[],"",[],1,[],-1
125,"MtxPolymorphCat3Player","",[],"",[],[],"",1489377520,1,2,700,522,"","",[],21,"",1,[],"","",0,13,0,"",137,[],"",[],1,[],-1
126,"MtxPolymorphCat4Player","",[],"",[],[],"",-1501387027,1,2,700,522,"","",[],21,"",1,[],"","",0,14,0,"",137,[],"",[],1,[],-1
127,"MtxPolymorphCat5Player","",[],"",[],[],"",-1478250581,1,2,700,522,"","",[],21,"",1,[],"","",0,15,0,"",137,[],"",[],1,[],-1
128,"MtxBestiaryStampedeQuicksilverRhoaPlayer","",[],"",[],[],"",-1195913524,"",2,1000,523,"","",[],"","","",[],"","",4,4,0,"",138,[],"",[],1,[],-1
129,"DemonMagusPlayer","",[],"",[],[],"",-42611307,"",2,500,533,"","",[],143,"","",[],"","",0,0,0,"",139,[],"",[],1,[],-1
130,"StormSpearPlayer","",[],"",[],[],"",-1132347825,"",2,1000,534,"","",[],391,"","",[],"","",1,0,0,"",140,[],"",[0],1,[],-1
131,"BlazingLancePlayer","",[],"",[],[],"",-261492516,"",2,1000,535,"","",[],163,"","",[],"","",0,0,0,"",141,"[142,143]","",[0],1,[],-1
132,"SummonInfernalHoundPlayer","",[],"",[],[],"",1124444877,"",2,0,536,"","",[],"","","",[],"","",0,0,0,"",144,[],"",[],1,[],-1
133,"SiegeCascadePlayer","",[],"",[],[],"",-1273938163,"",2,1000,549,"","",[],351,"","",[],"","",2,0,0,"",145,[146],"",[],"",[],-1
134,"SiegeCascadeAmmoPlayer","",[],"",[],[],"",-1663499257,"",2,1000,550,"","",[],355,"","",[],"","",0,2,0,"",147,[],"",[0],1,[],-1
135,"HailstormRoundsPlayer","",[],"",[],[],"",1967623423,"",2,1000,551,"","",[],353,"","",[],"","",3,0,0,"",148,[],"",[0],"",[],-1
136,"HailstormRoundsAmmoPlayer","",[],"",[],[],"",841297344,"",2,1000,552,"","",[],357,"","",[],"","",0,3,0,"",149,[],"",[0],1,[],-1
137,"StormblastBoltsPlayer","",[],"",[],[],"",1731001979,"",2,1000,553,"","",[],352,"","",[],"","",0,0,0,"",150,[151],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],"",[],-1
138,"StormblastBoltsAmmoPlayer","",[],"",[],[],"",-114013267,"",2,1000,554,"","",[],356,"","",[],"","",0,4,0,"",152,[],"",[0],1,[],-1
139,"ExplosiveShotPlayer","",[],"",[],[],"",-1008858087,"",2,1000,538,"","",[],336,"","",[],"","",1,0,0,"",153,[154],"",[],"",[],-1
140,"ExplosiveShotAmmoPlayer","",[],"",[],[],"",1523399768,"",2,1500,539,"","",[],355,"","",[],"","",0,1,0,"",155,[],"",[0],1,[],-1
141,"IncendiaryShotPlayer","",[],"",[],[],"",-1892924167,"",2,1000,601,"","",[],341,"","",[],"","",1,0,0,"",156,[157],"Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[],"",[],-1
142,"IncendiaryShotAmmoPlayer","",[],"",[],[],"",-785841756,"",2,800,602,"","",[],355,"","",[],"","",0,1,0,"",158,[],"",[0],1,[],-1
143,"HighVelocityRoundsPlayer","",[],"",[],[],"",621315083,"",2,800,540,"","",[],335,"","",[],"","",2,0,0,"",159,[160],"",[],"",[],-1
144,"HighVelocityRoundsAmmoPlayer","",[],"",[],[],"",-517023506,"",2,1000,541,"","",[],354,"","",[],"","",0,2,0,"",161,[],"",[0],1,[],-1
145,"FragmentationRoundsPlayer","",[],"",[],[],"",-366438026,"",2,1000,603,"","",[],340,"","",[],"","",2,0,0,"",162,[163],"Audio/Sound Effects/Combat/OnHit/OnHit_StabSG",[],"",[],-1
146,"FragmentationRoundsAmmoPlayer","",[],"",[],[],"",2026335422,"",2,800,604,"","",[],354,"","",[],"","",0,2,0,"",164,[],"Audio/Sound Effects/Combat/OnHit/OnHit_StabSG",[0],1,[],-1
147,"GlacialBoltPlayer","",[],"",[],[],"",1357758720,"",2,800,542,"","",[],338,"","",[],"","",0,0,0,"",165,[166],"",[],"",[],-1
148,"GlacialBoltAmmoPlayer","",[],"",[],[],"",-1052962638,"",2,1000,543,"","",[],357,"","",[],"","",0,3,0,"",167,[],"",[0],1,[],-1
149,"PermafrostBoltsPlayer","",[],"",[],[],"",-568925169,"",2,1000,605,"","",[],343,"","",[],"","",3,0,0,"",168,[169],"",[],"",[],-1
150,"PermafrostBoltsAmmoPlayer","",[],"",[],[],"",-962697172,"",2,800,606,"","",[],357,"","",[],"","",0,3,0,"",170,[],"",[0],1,[],-1
151,"PlasmaBlastPlayer","",[],"",[],[],"",-958067082,"",2,1000,544,"","",[],337,"","",[],"","",4,0,0,"",171,[172],"",[],"",[],-1
152,"PlasmaBlastAmmoPlayer","",[],"",[],[],"",-988757784,"",2,1000,545,"","",[],356,"","",[],"","",0,4,0,"",173,[],"",[0],1,[],-1
153,"GalvanicShardsPlayer","",[],"",[],[],"",1615884156,"",2,1000,607,"","",[],342,"","",[],"","",0,0,0,"",174,[175],"",[],"",[],-1
154,"GalvanicShardsAmmoPlayer","",[],"",[],[],"",-2000802081,"",2,600,608,"","",[],356,"","",[],"","",0,4,0,"",176,[],"",[0],1,[],-1
155,"AxeChopPlayer","",[],"",[],[],"",-391506248,"",2,1000,555,"","",[],181,"","",[],"","",0,0,0,"",177,[],"",[],1,[],-1
156,"AxeSlashPlayer","",[],"",[],[],"",2009664277,"",2,1000,556,"","",[],182,"","",[],"","",0,0,0,"",178,[],"",[],1,[],-1
157,"RollingSlamPlayer","",[],"",[],[],"",840600159,"",2,1000,558,"","",[],187,"","",[],"","",0,0,0,"",179,"[180,181]","Audio/Sound Effects/Combat/OnHit/OnHit_ElementalSG",[0],1,[],-1
158,"WhirlingAssaultPlayer","",[],"",[],[],"",-497272166,"",2,1000,557,"","",[],185,"","",[],"","",0,0,0,"",182,[],"Audio/Sound Effects/Combat/OnHit/PlayerSkills/WhirlingAssault/OnHit_WhirlingAssaultSG",[0],1,[],-1
159,"WeaponGrantedChaosboltPlayer","",[],"",[],[],"",-1887440540,"",2,750,584,"","",[],395,"","",[],"","",0,0,0,"",183,[],"",[],1,[],-1
160,"EscapeShotPlayer","",[],"",[],[],"",1273635277,"",2,1000,559,"","",[],189,"","",[],"","",0,0,0,"",184,[],"",[0],1,[],-1
