"rownum","Id","Label","ImplicitStats","ConstantStats","ConstantStatsValues","BaseEffectiveness","IncrementalEffectiveness","f32","[rid]","bool"
30,"ShieldChargePlayer",38,"[603,9345,1953]","[17749,18289,349,18686,452,18747,18748,18753,18754,18766]","[24,1300,5000,120,80,0,400,1,-2,0]",1.21,0.1165,0.0067,[],""
31,"DetonateDeadPlayer","","[603,18622]","[17749,18615,18676,20404,18910,18828,18991]","[26,-70,160,60,26,200,400]",2,0.14,0.0065,[],""
32,"RaiseZombiePlayer",79,"[18622,20392]","[447,18454,159,18876,18615,18676,20404,18987,18989,20522,349]","[1,25,10,0,-70,160,80,25,100,30,20000]",0,0.0927,0,[],""
33,"FlickerStrikePlayer","","[1808,1953,18007,603]",[18006],[2],0,0.0927,0,[],""
34,"SparkPlayer","","[488,17939,4415,6480,10057,18622]","[349,17551,11393,18615,18676,20404]","[2000,20,1009,-70,160,60]",1.14,0.14,0.0065,[],""
35,"UniqueEarthboundTriggeredSparkPlayer","","[488,17939,4415,6480,10057,18622]","[349,17551,11393,18615,18676,20404,20812]","[2000,20,1009,-70,160,60,100]",1.14,0.14,0.0065,[],""
36,"SummonSpectrePlayer",79,"[18447,20392]",[18448],[12000],0,0.0927,0,[],""
37,"FrostWallPlayer","","[1953,603,18622]","[498,349,17749,18615,18676,20404,18453]","[150,8000,20,-70,160,60,50]",2.28,0.14,0.0065,[],""
38,"ShockNovaPlayer","","[603,18622,17746]","[18615,18676,20404,17972]","[-70,160,60,100]",1.306,0.14,0.0065,[],""
39,"TemporalChainsPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",0,0.0927,0,[],""
40,"EnfeeblePlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",0,0.0927,0,[],""
41,"SnipersMarkPlayer","","[2876,18622]","[349,18615,18676,20404,20671]","[8000,-70,160,60,1]",0,0.0927,0,[],""
42,"VulnerabilityPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",0,0.0927,0,[],""
43,"LightningWarpPlayer","","[1953,603,17979,18622]","[17749,20593,18615,18676,20404]","[40,10000,-70,160,60]",3.6,0.14,0.0065,[],""
44,"ArmourBreakerPlayer","","[104,603,9242]","[1193,16269,9704]","[2,17,40]",1,0.055,0,[],""
45,"FirestormPlayer",80,"[1953,603,18622,2248]","[597,11758,349,17749,17752,18615,18676,20404,21108]","[100,1,6000,10,56,-70,160,60,150]",0.96,0.14,0.0065,[],""
46,"FallingThunderPlayer",2,[603],"[1067,16269,18256,17749]","[60,21,120,40]",0.62,0.14,0.0065,[],""
47,"FallingThunderProjectilePlayer",3,"[488,4385,17939,4415,6480,10057,20189,20732]","[6703,1067,17613,19674,17611]","[50,40,3,100,25]",0.62,0.14,0.0065,"[17749,17751]",""
48,"PowerSiphonPlayer","","[17979,18622,1185]","[18615,18676,20404]","[-70,160,60]",0.37,0.14,0.0065,[],""
49,"LightningArrowPlayer",3,"[488,4415,6480,10057,816,18384,18622,18642,18708]","[1067,768,17749,18615,18676,20404]","[40,2,24,-70,160,60]",0.67,0.0927,0.0233,[],""
50,"DisciplinePlayer","",[2876],[19009],[1],1,0.0927,0,[],""
51,"ShockwaveTotemPlayer",77,"[822,18998,18702]","[828,830,18703,18736,18742,834]","[12000,80,23,500,3000,1]",1.941,0.1165,0.0067,[],""
52,"ShockwaveTotemQuakePlayer",43,"[603,9345,1746]","[17749,17752,16613]","[30,60,2]",1,0.055,0,[],""
53,"ShockwaveTotemJaggedQuakePlayer",16,[],[],[],1,0.055,0,[],1
54,"KnifeFlipPlayer","",[488],"[10278,10354,6703,349,169,2445]","[40,1,50,6000,-30,80]",2.1717,0.0927,0.0436,[],""
55,"ArcPlayer","","[8806,18622,18708]","[8365,7484,18693,18615,18676,20404]","[35,10,0,-70,160,60]",3.1,0.14,0.0065,[],""
56,"ArcticArmourPlayer","",[],[],[],2.18,0.14,0.0065,[],""
57,"FlammabilityPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",1,0.0927,0,[],""
58,"HypothermiaPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",1,0.0927,0,[],""
59,"ConductivityPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",1,0.0927,0,[],""
60,"BallLightningPlayer","","[488,603,18622]","[18693,18615,18676,20404,17749,19149]","[750,-70,160,60,18,200]",0.3,0.14,0.0065,[],""
61,"PurityOfFirePlayer","",[2876],[19009],[1],1,0.0927,0,[],""
62,"PurityOfIcePlayer","",[2876],[19009],[1],1,0.0927,0,[],""
63,"PurityOfLightningPlayer","",[2876],[19009],[1],1,0.0927,0,[],""
64,"FlameblastPlayer","","[603,1953,18751,18228,18622]","[1957,7580,12338,17634,18289,18615,18676,20404,20521]","[200,4,10,600,490,-70,160,60,30]",0.8,0.14,0.0065,[],""
65,"BarragePlayer","","[18622,2876]","[349,19001,18661,18662,18615,18676,20404]","[5000,30000,1,1,-70,160,60]",1,0.0927,0,[],""
66,"BoneOfferingPlayer",39,"[18622,20392]","[349,3070,18615,18676,20404,19020]","[5000,5000,-70,160,60,1]",1.71,0.14,0.0065,[],""
67,"HeraldOfAshPlayer",39,[2876],[17980],[20],1,0.055,0,[],""
68,"HeraldOfAshOnKillPlayer",5,[20392],"[349,17749]","[3000,10]",1,0.055,0,"[17980,2876]",""
69,"HeraldOfIcePlayer",39,"[2876,20392,21100]",[],[],1,0.055,0,[],""
70,"HeraldOfIceOnKillPlayer",5,"[603,1953,3063,1678,1289]","[17749,1066]","[18,100]",1,0.055,0,"[2876,20392,21100]",""
71,"HeraldOfThunderPlayer",39,[2876],[],[],1,0.055,0,[],""
72,"HeraldOfThunderOnKillPlayer",28,"[1953,1288,3063]","[1067,17749]","[100,16]",1,0.055,0,[2876],""
73,"InfernalCryPlayer","","[11454,18622,20392]","[17989,17990,11188,349,17749,18325,18758,18615,18676,20404]","[25,100,1,8000,40,200,1,-70,160,80]",1,0.055,0,[],""
74,"InfernalCryCorpseExplosionPlayer","","[1953,2229,603,11220,20732,1598]","[17749,18155]","[16,10]",1.41,0.14,0.0065,[],""
75,"SSMQuadrillaRock","","[2386,854]","[850,2096,4596]","[1022,1,-99]",1,0.0927,0,[],""
76,"MarakethUndeadPriestRollingMagma","","[603,488,12825,4415,6480,18649,18622,18708,1851]","[18615,18676,169,17749,19032,19033,19034,167]","[0,50,150,10,7,25,12,2]",5.25,0.1,0.0175,[],""
77,"RollingMagmaPlayer","","[603,488,12825,4415,6480,18649,18622,18708]","[18615,18676,20404,19032,19033,19034,19035,19036,19037]","[-70,160,60,10,25,6,40,6,50]",2.56,0.14,0.0065,[],""
78,"FrostBombPlayer","","[603,1953,9012,18622]","[17749,349,3070,18422,645,18615,18676,20404]","[17,3000,5000,20,400,-70,160,60]",6.84,0.14,0.0065,[],""
79,"OrbOfStormsPlayer","","[1678,13190,8806,18622]","[8365,17749,17752,18843,18615,18676,20404,18964,18896,349]","[35,56,28,1,-70,160,80,25,75,10000]",0.86,0.14,0.0065,[],""
80,"EarthquakePlayer",4,"[603,14010,20815]","[18666,18667,17749,17755,16269,1862]","[4000,100,18,22,10,-30]",1.5,0.0927,0.0233,[],""
81,"EarthquakeAftershockPlayer",18,[20732],[17749],[16],1,0.055,0,[18666],1
82,"ContagionPlayer","","[3526,18622]","[349,17749,18633,18960,18615,18676,20404,19653]","[5000,17,100,300,-70,160,60,10000]",1.63,0.14,0.0065,[],""
83,"WitherPlayer","",[18622],"[3298,18615,18676,20404]","[6,-70,160,60]",1,0.055,0,[],""
84,"EssenceDrainPlayer",3,"[488,4415,10057,5627,18622,8806,18708]","[18615,18676,20404,19653]","[-70,160,60,10000]",1.7,0.14,0.0065,[],""
85,"EssenceDrainDotPlayer",10,"[3526,20732]",[349],[4000],7.41,0.14,0.0065,"[1435,1436]",""
86,"SunderPlayer",15,"[603,18279,1953,19872]","[18512,11574,11575,11597,16632,5553,16269,17546,95,17749,1862]","[1,2,5,5,1400,0,11,24,100,9,-30]",1,0.0927,0,[],""
87,"SunderShockwavePlayer",24,[20732],[17752],[12],1,0.055,0,"[8121,17749,11574,11575,16632]",1
88,"DarkPactPlayer","","[603,5964,18622]","[4416,5058,18615,18676,20404]","[13,100,-70,160,60]",0.57,0.14,0.0065,[],""
89,"SummonSkeletalWarriorsPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",0,0.0927,0,[],""
90,"SummonSkeletalReaversPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",0,0.0927,0,[],""
91,"SummonSkeletalBrutesPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
92,"SummonSkeletalSnipersPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
93,"SummonSkeletalFrostMagesPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
94,"SummonSkeletalStormMagesPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
95,"SummonSkeletalArsonistsPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
96,"SummonSkeletalClericsPlayer",79,"[18447,20392]","[447,18448]","[2,12000]",1,0.055,0,[],""
97,"VolatileDeadPlayer","","[603,1953,18622]","[6146,17749,18615,18676,20404]","[1,14,-70,160,60]",3.75,0.14,0.0065,[],""
98,"DespairPlayer","","[2876,18622]","[18450,18615,18676,20404]","[1000,-70,160,60]",1,0.0927,0,[],""
99,"IncineratePlayer","","[603,18622,18751,18228,1953]","[19141,17749,349,19144,19145,18289,18615,18676,20404,14421,18518,20595,21109]","[20,46,2000,50,8,600,-70,160,60,-50,360,40,-98]",2.95,0.14,0.0065,[],""
100,"IncinerateGroundPlayer",76,[20732],"[349,17752]","[4000,8]",1,0.055,0,"[349,14421]",""
101,"RainOfArrowsPlayer","","[488,816,18384,18622,603,20833]","[17749,17752,19873,18647,18615,18676,20404,21050,21052,21108]","[36,7,100,50,-70,160,60,1,80,120]",0,0.0927,0,[],""
102,"SoulrendPlayer","","[3526,488,4385,18622]","[6703,349,18615,18676,20404,19653]","[25,600,-70,160,60,600]",1.44,0.14,0.0065,[],""
103,"PlagueBearerPlayer","",[2876],[9409],[4],14,0.1252,0.032,[],""
104,"ArtilleryBallistaPlayer",71,"[18998,822,9919,18622,13547,2876,18702]","[830,828,18703,18736,18742,18739,834,18615,18676,20404]","[60,16000,18,500,2500,80,1,-70,160,60]",1.45,0.1165,0.0067,[],""
105,"ArtilleryBallistaProjectilePlayer",70,"[488,603,20973,1746]","[18469,18425,18429,17752,17755,18464,16613,3085,1065,316]","[90,1,800,5,25,70,1,16,60,90]",1,0.055,0,[],""
106,"ArtilleryBallistaProjectileExplodePlayer",5,[1746],"[17752,1065]","[9,30]",1,0.055,0,[],1
107,"SnipePlayer",29,"[488,4415,6480,10057,816,18384,18229,18752,18023]","[18518,16439,18750,18186,18289,95,20552,20711]","[120,6,300,16,300,200,2500,400]",1,0.0927,0,[],""
108,"SnipeExplosionPlayer",5,"[603,340,20732]",[17749],[15],1,0.0927,0,"[18289,18186]",""
109,"SeismicCryPlayer","","[104,9012,11482,13210,603,1598,18359,18622]","[11188,11233,18462,17749,18357,18358,18356,18758,18615,18676,20404]","[1,2,400,40,30,1,5,1,-70,160,60]",1.86,0.14,0.0065,[],""
110,"EarthshatterPlayer",43,[603],"[349,11594,17749,9704]","[6000,6,10,-30]",1,0.055,0,[],""
111,"SigilOfPowerPlayer","","[12553,18622]","[11716,19458,11715,18615,18676,20404,17749]","[4,1,50,-70,160,60,30]",0.163,0.14,0.0065,[],""
112,"FlameWallPlayer","","[603,18622]","[11821,15404,18615,18676,20404,21109]","[3,1,-70,160,60,-92]",4.3,0.14,0.0065,[],""
113,"DoomBlastPlayer","","[11751,603]","[19054,17749]","[15,20]",1.72,0.0927,0.0556,[],""
114,"HexblastPlayer","","[603,18622]","[18630,17749,17752,18615,18676,20404]","[9,16,28,-70,160,60]",4.31,0.14,0.0065,[],""
115,"AncestralWarriorTotemPlayer","","[10087,822,18998,18678,18702,20392]","[828,830,18680,18703,18736,18742,18739,834]","[8000,60,600,10,5,1000,13,1]",1.941,0.1165,0.0067,[],""
116,"SupportAncestralWarriorTotemPlayer","",[1746],[16613],[2],1,0.055,0,[],""
117,"SummonMetaTotemSpellTotemPlayer","","[10087,822,18998]","[828,830]","[8000,80]",1,0.0927,0,[],""
118,"SupportMetaTotemSpellTotemPlayer","",[1746],[16613],[2],1,0.055,0,[],""
119,"SummonMetaTotemBallistaPlayer","","[10087,9919,18998]","[828,830,834]","[12000,80,1]",1,0.0927,0,[],""
120,"SupportMetaTotemBallistaPlayer","",[],[16613],[2],1,0.055,0,[],""
121,"RapidAssaultPlayer",12,"[9242,603]","[1193,13152,16269]","[6,-60,13]",1,0.055,0,[],""
122,"RapidAssaultFinalHitPlayer",9,[20732],[1193],[6],1,0.055,0,[],1
123,"EngagePlayer","","[9242,104,2289,603]","[18462,17964,18176]","[50,50,200]",1,0.0927,0,[],""
124,"DisengagePlayer","","[603,18174]","[7865,18175,17546,1193]","[50,50,-3,5]",1,0.0927,0,[],""
125,"ExsanguinatePlayer","","[3526,13493,18622]","[349,166,18615,18676,20404,13177,19653]","[1000,2,-70,160,60,3,2000]",0.81,0.14,0.0065,[],""
126,"ReapPlayer","","[603,18622]","[349,18615,18676,20404]","[1000,-70,160,60]",2.65,0.14,0.0065,[],""
127,"BoneshatterPlayer",8,"[18710,18711]","[1193,16269,18462,1862]","[2,17,-100,-30]",0.1828,0.0927,0.0537,[],""
128,"BoneshatterShockwavePlayer",24,"[603,20732]",[17749],[20],0.1828,0.0927,0.0537,"[18462,1193,18711]",1
129,"EyeOfWinterPlayer","","[488,13734,18622]","[13735,13866,349,19151,18615,18676,20404,19161]","[8,100,4000,50,-70,160,60,1]",0.3,0.14,0.0065,[],""
130,"WhirlingSlashPlayer",2,"[603,18324,3063]",[],[],1,0.0927,0,[],""
131,"WhirlingSlashSandstormPlayer",25,"[17952,20732]","[17749,12719,13154,12720,12718,12721]","[22,3,4,-30,150,3]",1,0.055,0,[18324],""
132,"SpearfieldPlayer","","[603,3667]","[13640,349,17546,13153,5221,17752,18346]","[70,5000,40,10,0,5,20]",1,0.0927,0,[],""
133,"TornadoPlayer","","[1678,13190,603,14721,17952,18622]","[14133,1081,349,17749,18366,18371,18373,18615,18676,20404]","[1,1000,6000,30,100,60,50,-70,160,50]",1.5,0.0673,0.0261,[],""
134,"LightningConduitPlayer","",[1288],"[17600,17953,17749,15812]","[30,1000,100,100]",1.92,0.14,0.0065,[],""
135,"GalvanicFieldPlayer","","[1288,1678,18622]","[349,7660,15846,16009,18615,18676]","[6000,20,100,1,-70,160]",0.337,0.14,0.0065,[],""
136,"MtxDirectLineOfAntsPlayer","",[2876],[],[],1,0.0927,0,[],""
137,"MtxPolymorphCatPlayer","",[2876],"[349,8703]","[6000,107]",1,0.0927,0,[],""
138,"MtxBestiaryStampedeQuicksilverRhoaPlayer","",[2876],[],[],1,0.0927,0,[],""
139,"DemonMagusPlayer","","[18553,18447]","[13252,13629,13253,18564,18448]","[1,20,-30,-50,12000]",1,0.0927,0,[],""
140,"StormSpearPlayer","","[488,4415,6480,10057,18313,13612,18622]","[17749,1067,6703,10102,18615,18676,20404]","[50,60,25,20,-70,160,60]",1,0.0927,0,[],""
141,"BlazingLancePlayer","","[488,6698,18004,4385]","[1065,5875,17749,17752,19258]","[50,-50,8,24,500]",8.7505,0.0673,0.0261,[],""
142,"BlazingLanceSecondProjectilePlayer",20,"[4385,20732]",[1065],[30],1,0.0927,0,[],1
143,"BlazingLanceFlameWallPlayer",21,[20732],"[349,1065]","[2000,50]",1,0.0927,0,[],1
144,"SummonInfernalHoundPlayer","",[18447],"[447,20250,20251]","[8,20,15]",1,0.0927,0,[],""
145,"SiegeCascadePlayer",56,"[488,603,18622,18384,20081,1289]","[18469,18425,18429,18438,17749,17752,18464,18615,18676,1065,20404,18462]","[90,1,500,200,25,5,70,-70,160,80,50,-100]",1,0.055,0,[],""
146,"SiegeCascadeExplodePlayer",5,[],[17752],[5],1,0.055,0,[],1
147,"SiegeCascadeAmmoPlayer",78,"[18519,20083,18622,2876,20732]","[18445,17923,18615,18676,20404,20666]","[1,1000,-30,160,60,-50]",1,0.055,0,[],""
148,"HailstormRoundsPlayer",56,"[488,603,18622,18384,20081,1953]","[18469,18425,18429,1066,18615,18676,20404,17749,17752]","[90,1,300,80,-70,160,60,12,25]",1,0.055,0,[],""
149,"HailstormRoundsAmmoPlayer",78,"[20208,18519,20083,18622,2876,20560,20732]","[17923,18615,18676,20404,20666]","[1000,-30,160,60,-50]",1,0.055,0,[],""
150,"StormblastBoltsPlayer",56,"[488,603,18622,18384,20081]","[18469,18425,18429,1067,18615,18676,17749,17752,349,20404,20929]","[90,3,150,60,-70,160,8,35,8000,50,9]",1,0.055,0,[],""
151,"StormblastBoltsExplosionPlayer",5,"[603,20732]","[1067,17749]","[40,8]",1,0.055,0,"[349,18425]",1
152,"StormblastBoltsAmmoPlayer",78,"[18519,20083,18622,2876,20732]","[18445,17923,18615,18676,20404,20666]","[3,1000,-30,160,60,-50]",1,0.055,0,[],""
153,"ExplosiveShotPlayer",55,"[488,18384,18470,4415,6480,10057,18508,9012,8806,13986,18622,18708,1953]","[18469,1065,18516,18523,18524,18525,18542,18615,18676,20404]","[90,30,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
154,"ExplosiveShotExplosionPlayer",5,"[603,20732]","[18446,1065]","[0,50]",1,0.055,0,[8806],""
155,"ExplosiveShotAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404,20666]","[1,1000,-30,160,60,-30]",1,0.055,0,[],""
156,"IncendiaryShotPlayer",55,"[488,2722,18384,8806,18470,18708,4415,6480,10057,9012,18622,1953]","[18465,18466,18468,18469,18425,8159,6703,18462,1065,18523,18524,18525,18542,18557,17749,18694,7380,18615,18676,20404]","[3,20,9,90,10,10,40,0,80,1,8,300,75,220,19,100,0,-70,160,50]",1,0.055,0,[],""
157,"IncendiaryShotConePlayer",0,"[20732,603]",[],[],1,0.055,0,[18542],""
158,"IncendiaryShotAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
159,"HighVelocityRoundsPlayer",55,"[488,18384,18570,18470,18708,4415,6480,10057,18508,9012,8806,18622,1953,19872]","[18512,18469,10173,5906,18516,18523,18524,18525,18542,18615,18676,20404]","[2,90,0,6,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
160,"HighVelocityRoundsArmourBrokenPlayer",75,"[20473,20732]",[],[],1,0.055,0,[],1
161,"HighVelocityRoundsAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
162,"FragmentationRoundsPlayer",55,"[488,2722,18384,18470,18708,4415,6480,10057,9012,18536,8806,18622,1953,18895,1289]","[18465,18466,18468,18469,18425,8159,6703,18462,10173,5906,18542,18615,18676,20404]","[3,20,8,90,10,10,40,0,0,2,100,-70,160,50]",1,0.055,0,[],""
163,"FragmentationRoundsFreezeShatterPlayer",17,"[603,20732]",[],[],1,0.055,0,"[18425,8806,18542,5906,2722,18566,18895]",1
164,"FragmentationRoundsAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
165,"GlacialBoltPlayer",55,"[488,18384,18470,4415,6480,10057,18508,9012,13986,8806,18622,18708,1953]","[18469,1066,18516,18523,18524,18525,18542,18615,18676,20404]","[90,60,10,2,8,300,400,-70,160,50]",1,0.055,0,[],""
166,"GlacialBoltWallPlayer",58,"[603,20732]","[1066,349,499,18333,17749]","[40,6000,63,231,18]",1,0.055,0,[18542],1
167,"GlacialBoltAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
168,"PermafrostBoltsPlayer",55,"[488,2722,18384,8806,18470,18708,4415,6480,10057,9012,18622,1953]","[18465,18466,18468,18469,18425,8159,6703,1066,18453,18542,18557,17749,18615,18676,20404]","[3,20,14,90,10,10,40,80,80,100,40,27,-70,160,50]",1,0.055,0,[],""
169,"PermafrostBoltsConePlayer",0,"[20732,603]",[],[],1,0.055,0,[18542],""
170,"PermafrostBoltsAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
171,"PlasmaBlastPlayer",55,"[488,18384,18470,18708,4415,6480,10057,18508,8806,18622,4385]","[18469,1067,18516,18523,18524,18525,18542,18615,18676,18693,20404,16632,20711]","[90,70,10,2,8,300,400,-70,160,30,50,2000,35]",1,0.055,0,[],""
172,"PlasmaBlastExplosionPlayer",5,"[603,20732]","[1067,17749]","[30,32]",1,0.055,0,"[8806,18542,4385,8121,16632]",1
173,"PlasmaBlastAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404]","[1,1000,-30,160,60]",1,0.055,0,[],""
174,"GalvanicShardsPlayer",55,"[488,2722,18384,18470,18708,4415,6480,10057,9012,8806,18622,18642]","[18465,18466,18468,18469,18425,8159,6703,1067,18542,18615,18676,20404]","[3,20,14,90,6,10,40,40,100,-70,160,50]",1,0.055,0,[],""
175,"GalvanicShardsBeamPlayer",11,[20732],"[166,1067]","[1,60]",1,0.055,0,"[8806,18445,18542,18425,2722,18642]",1
176,"GalvanicShardsAmmoPlayer",78,"[18519,18622,2876,20732]","[18445,17923,18615,18676,20404,20666]","[5,1000,-30,160,60,-50]",1,0.055,0,[],""
177,"AxeChopPlayer","",[],"[3483,1193]","[50,20]",1,0.0927,0,[],""
178,"AxeSlashPlayer","","[104,9242]","[1193,17546]","[5,7]",1,0.0927,0,[],""
179,"RollingSlamPlayer","","[603,1953,18827,2876]","[16632,16269,17546,19244,19008,1862]","[1500,15,20,36,1,-30]",1,0.0927,0,[],""
180,"RollingSlamFirstSlamPlayer",22,[20732],"[17749,18462]","[14,50]",1,0.0927,0,[2876],""
181,"RollingSlamSecondSlamPlayer",23,[20732],[17752],[18],1,0.0927,0,[2876],""
182,"WhirlingAssaultPlayer","","[9242,9012,4762,17952,1953,603]","[16632,17546]","[1400,42]",1,0.0927,0,[],""
183,"WeaponGrantedChaosboltPlayer","","[488,4415,10057,5627,18622,18708]","[762,18615,18676,20404]","[1109,-70,160,60]",2,0.14,0.0065,[],""
184,"EscapeShotPlayer","","[488,603,816,17270,18384,4415,6480,10057,13986,1953]","[17749,18453,1066,16632,6466]","[24,300,100,700,20]",1,0.0927,0,[],""
185,"SuperchargedSlamPlayer",4,"[603,1953,18752]","[17749,17986,17992,16439,17634,18289]","[16,20,3,3,1000,1000]",1,0.0927,0,[],""
186,"SuperchargedSlamAftershockPlayer",18,[20732],"[17749,18330,18355]","[12,5,250]",1,0.0927,0,[],""
187,"EvasiveStrikePlayer","",[],"[1193,17546]","[8,27]",1,0.0927,0,[],""
188,"GaleStrikePlayer","","[104,17952,603,18622]","[17984,17983,17985,18462,17749,17752,18615,18676,20404]","[200,-90,60,150,60,7,-70,160,60]",1,0.0927,0,[],""
189,"BladeDancePlayer","",[],"[1193,17546]","[5,20]",1,0.0927,0,[],""
190,"ClawRakePlayer","","[9138,104]","[392,10043,17546]","[200,400,9]",1,0.0927,0,[],""
191,"SpinningFlailPlayer","",[],"[1193,1194]","[5,-50]",1,0.0927,0,[],""
192,"VolcanicFissurePlayer","",[603],"[349,1065,16269,9704]","[12000,60,8,-30]",1,0.0927,0,[],""
193,"VolcanicFissureProjectilePlayer",0,[488],[],[],1,0.0927,0,[9704],""
194,"AxeExecutePlayer","",[],[],[],1,0.0927,0,[],""
195,"AxeLeapingChopPlayer","",[],[16632],[150],1,0.0927,0,[],""
196,"AxeWhirlingSlashPlayer","",[],[],[],1,0.0927,0,[],""
197,"AxeRaisedChopPlayer","",[],[],[],1,0.0927,0,[],""
198,"AxeHeavyCleavePlayer","",[],"[1193,1065]","[30,100]",1,0.0927,0,[],""
199,"GlacialCascadePlayer",15,"[603,18622]","[2059,1066,17749,17540,18272,17981,17982,18615,18676,20404]","[8,60,5,30,48,6,125,-70,160,60]",1,0.055,0,[],""
200,"GlacialCascadeLastSpikePlayer",14,"[1289,2569,18536,20732]","[18179,17749,18566]","[20,2,350]",1,0.055,0,"[2059,18272]",1
