"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]","i32","i32","i32"
10,84,"","","","","","","","","","","","","",13570,1990,648,648,742,742,"","",731,-1245983058,48,100,[12555],1,4,931,"","",2332,2344,"",730,"",730,730,742,742,2344,2332,2344,2344,2344,2344,2332,2332,2332,2332,2332,2332,2332,12500,75,648,1990,648,"",731,"","",[12563],841,48,100
11,85,"","","","","","","","","","","","","",13566,1991,649,649,"","",732,746,739,-182539987,68,100,[12556],1,5,1024,"","",2337,2349,"",743,"",746,732,743,743,2349,2337,2349,2349,2349,2349,2337,2337,2337,2337,2337,2337,2337,12501,0,649,1991,649,"",739,"",1,[12564],56,68,100
12,86,"","","","","","","","","","","","","",13567,1997,651,650,"","",734,747,740,910335598,0,0,[12557],1,6,0,"","",2338,2350,"",744,"",747,734,744,744,2350,2338,2350,2350,2350,2350,2338,2338,2338,2338,2338,2338,2338,12502,0,650,1997,651,"",740,"","",[12565],0,0,0
13,87,"","","","","","","","","","","","","",13568,1998,652,651,"","",738,748,741,1591416724,0,0,[12558],1,7,0,"","",2339,2351,"",745,"",748,738,745,745,2351,2339,2351,2351,2351,2351,2339,2339,2339,2339,2339,2339,2339,12503,0,651,1998,652,"",741,"","",[12566],0,0,0
14,88,"","","","","","","","","","","","","",1035,"","",4681,"","","","","",1724552963,1,47,[12552],2,1,700,9474,"","","","",314,"",314,314,314,314,9474,9474,9474,9474,9474,9474,9474,9474,9474,9474,9474,9474,9474,12490,35,4681,2889,2889,2889,314,"","",[12560],1905,1,100
15,89,"","","","","","","","","","","","","",1036,"","",4682,"","","","","",-1337235593,12,67,[12553],2,2,770,9475,"","","","",315,"",315,315,315,315,9475,9475,9475,9475,9475,9475,9475,9475,9475,9475,9475,9475,9475,12491,45,4682,2890,2890,2890,315,"","",[12561],1905,12,100
16,90,"","","","","","","","","","","","","",1037,"","",4683,"","","","","",1334812465,30,100,[12554],2,3,847,9476,"","","","",316,"",316,316,316,316,9476,9476,9476,9476,9476,9476,9476,9476,9476,9476,9476,9476,9476,12492,60,4683,2891,2891,2891,316,"","",[12562],1905,30,100
17,91,"","","","","","","","","","","","","",1038,"","",4684,307,307,"","","",-669856137,48,100,[12555],2,4,931,9477,"","","","",308,"",308,308,307,307,9477,9477,9477,9477,9477,9477,9477,9477,9477,9477,9477,9477,9477,12493,75,4684,2892,2892,2892,308,"","",[12563],841,48,100
18,92,"","","","","","","","","","","","","",1039,"","",4685,"","",310,309,310,181619222,68,100,[12556],2,5,1024,9478,"","","","",308,"",309,310,308,308,9478,9478,9478,9478,9478,9478,9478,9478,9478,9478,9478,9478,9478,12494,0,4685,2893,2893,2893,310,"",1,[12564],56,68,100
19,93,"","","","","","","","","","","","","",1040,"","",4686,"","",312,310,311,2059925248,0,0,[12557],2,6,0,9479,"","","","",309,"",310,312,309,309,9479,9479,9479,9479,9479,9479,9479,9479,9479,9479,9479,9479,9479,12495,0,4686,2894,2894,2894,311,"","",[12565],0,0,0
20,94,"","","","","","","","","","","","","",1041,"","",4687,"","",317,319,318,-1356244188,0,0,[12558],2,7,0,9480,"","","","",320,"",319,317,320,320,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,9480,12496,0,4687,2895,2895,2895,318,"","",[12566],0,0,0
21,95,"","","","","","","","","","","","","",749,"","",4762,749,4762,4762,4762,4762,1018082169,1,47,[12552],3,1,700,"","",1336,1347,"",4762,"",4762,4762,4762,749,1347,1336,1347,1347,1347,1347,1336,1336,1336,1336,1336,1336,1336,12465,35,4762,749,749,749,4762,"","",[12560],1905,1,100
22,96,"","","","","","","","","","","","","",750,"","",4763,750,4763,4763,4763,4763,829889309,12,67,[12553],3,2,770,"","",1337,1348,"",4763,"",4763,4763,4763,750,1348,1337,1348,1348,1348,1348,1337,1337,1337,1337,1337,1337,1337,12466,45,4763,750,750,750,4763,"","",[12561],1905,12,100
23,97,"","","","","","","","","","","","","",752,"","",4764,751,4764,4764,4764,4764,2051179612,30,100,[12554],3,3,847,"","",1338,1349,"",4764,"",4764,4764,4764,751,1349,1338,1349,1349,1349,1349,1338,1338,1338,1338,1338,1338,1338,12467,60,4764,752,752,752,4764,"","",[12562],1905,30,100
24,98,"","","","","","","","","","","","","",754,754,753,4765,771,4765,4765,4765,4765,-743698363,48,100,[12555],3,4,931,"","",1339,1350,"",4765,"",4765,4765,4765,771,1350,1339,1350,1350,1350,1350,1339,1339,1339,1339,1339,1339,1339,12468,75,4765,754,753,"",4765,"","",[12563],841,48,100
25,99,"","","","","","","","","","","","","",756,756,768,4766,772,4766,4766,4766,4766,-205989316,68,100,"[12556,12472]",3,5,1024,"","",1341,1352,"",4766,"",4766,4766,4766,772,1352,1341,1352,1352,1352,1352,1341,1341,1341,1341,1341,1341,1341,12469,0,4766,756,768,"",4766,"",1,"[12564,12472]",56,68,100
26,100,"","","","","","","","","","","","","",757,757,769,4767,773,4767,4767,4767,4767,-1738015661,0,0,"[12557,12472]",3,6,0,"","",1342,1353,"",4767,"",4767,4767,4767,773,1353,1342,1353,1353,1353,1353,1342,1342,1342,1342,1342,1342,1342,12470,0,4767,757,769,"",4767,"","","[12565,12472]",0,0,0
27,101,"","","","","","","","","","","","","",767,767,770,4768,774,4768,4768,4768,4768,1330507188,0,0,"[12558,12472]",3,7,0,"","",1346,1357,"",4768,"",4768,4768,4768,774,1357,1346,1357,1357,1357,1357,1346,1346,1346,1346,1346,1346,1346,12471,0,4768,767,770,"",4768,"","","[12566,12472]",0,0,0
28,102,"","","","","","","","","","","","","",83,"","","","","","","","",535092733,12,67,"[12553,12568]",4,2,669,"","",8777,8783,"",83,"",83,83,83,83,8783,8777,8783,8783,8783,8783,8777,8777,8777,8777,8777,8777,8777,12459,45,83,83,83,83,83,83,"","[12561,12568]",1657,12,100
29,103,"","","","","","","","","","","","","",84,"","","","","","","","",-267836319,30,100,"[12554,12568]",4,3,736,"","",8778,8784,"",84,"",84,84,84,84,8784,8778,8784,8784,8784,8784,8778,8778,8778,8778,8778,8778,8778,12460,60,84,84,84,84,84,84,"","[12562,12568]",1657,30,100
30,104,"","","","","","","","","","","","","",86,"","","","","","","","",-880120152,48,100,"[12555,12568]",4,4,810,"","",8779,8785,"",86,"",86,86,86,86,8785,8779,8785,8785,8785,8785,8779,8779,8779,8779,8779,8779,8779,12461,75,86,86,86,86,86,86,"","[12563,12568]",731,48,100
31,105,"","","","","","","","","","","","","",87,"","","","","","","","",1066624914,68,100,"[12556,12568]",4,5,891,"","",8780,8786,"",87,"",87,87,87,87,8786,8780,8786,8786,8786,8786,8780,8780,8780,8780,8780,8780,8780,12462,0,87,87,87,87,87,87,1,"[12564,12568]",49,68,100
32,106,"","","","","","","","","","","","","",89,"","","","","","","","",993214565,0,0,"[12557,12568]",4,6,0,"","",8781,8787,"",89,"",89,89,89,89,8787,8781,8787,8787,8787,8787,8781,8781,8781,8781,8781,8781,8781,12463,0,89,89,89,89,89,89,"","[12565,12568]",0,0,0
33,107,"","","","","","","","","","","","","",92,"","","","","","","","",-558420537,0,0,"[12558,12568]",4,7,0,"","",8782,8788,"",92,"",92,92,92,92,8788,8782,8788,8788,8788,8788,8782,8782,8782,8782,8782,8782,8782,12464,0,92,92,92,92,92,92,"","[12566,12568]",0,0,0
34,108,"","","","","","","","","","","","",1825,3085,"","",3085,"","","","","",-36091224,12,67,"[12553,12570]",5,2,669,1813,"","","",1825,3085,"",3085,3085,3085,3085,1825,1813,1825,1825,1825,1825,1813,1813,1813,1813,1813,1813,1813,12399,45,3085,3631,3631,3631,3085,"","","[12561,12570]",1657,12,100
35,109,"","","","","","","","","","","","",1827,3086,"","",3086,"","","","","",-1327428615,30,100,"[12554,12570]",5,3,736,1815,"","","",1827,3086,"",3086,3086,3086,3086,1827,1815,1827,1827,1827,1827,1815,1815,1815,1815,1815,1815,1815,12400,60,3086,3632,3632,3632,3086,"","","[12562,12570]",1657,30,100
36,110,"","","","","","","","","","","","",1829,3087,"","",3087,"","","","","",891153638,48,100,"[12555,12570]",5,4,810,1817,"","","",1829,3087,"",3087,3087,3087,3087,1829,1817,1829,1829,1829,1829,1817,1817,1817,1817,1817,1817,1817,12401,75,3087,3633,3633,3633,3087,"","","[12563,12570]",731,48,100
37,111,"","","","","","","","","","","","",1831,3089,"","",3089,"","","","","",128783824,68,100,"[12556,12570]",5,5,891,1819,"","","",1831,3089,"",3089,3089,3089,3089,1831,1819,1831,1831,1831,1831,1819,1819,1819,1819,1819,1819,1819,12402,0,3089,3634,3634,3634,3089,"",1,"[12564,12570]",49,68,100
38,112,"","","","","","","","","","","","",1832,3090,"","",3090,"","","","","",-452117587,0,0,"[12557,12570]",5,6,0,1820,"","","",1832,3090,"",3090,3090,3090,3090,1832,1820,1832,1832,1832,1832,1820,1820,1820,1820,1820,1820,1820,12403,0,3090,3635,3635,3635,3090,"","","[12565,12570]",0,0,0
39,113,"","","","","","","","","","","","",1844,3091,"","",3091,"","","","","",1536872438,0,0,"[12558,12570]",5,7,0,1822,"","","",1844,3091,"",3091,3091,3091,3091,1844,1822,1844,1844,1844,1844,1822,1822,1822,1822,1822,1822,1822,12404,0,3091,3636,3636,3636,3091,"","","[12566,12570]",0,0,0
40,114,"","","","","","","","","","","","","",978,"","",4756,968,4756,12025,4756,12025,-475311494,12,67,"[12553,12569]",6,2,669,"","",9739,9777,"",4756,"",4756,12025,4756,968,9777,9739,9777,9777,9777,9777,9739,9739,9739,9739,9739,9739,9739,12423,45,4756,969,969,969,12025,"","","[12561,12569]",1657,12,100
41,115,"","","","","","","","","","","","","",980,"","",4757,969,4757,12026,4757,12026,1008794806,30,100,"[12554,12569]",6,3,736,"","",9741,9779,"",4757,"",4757,12026,4757,969,9779,9741,9779,9779,9779,9779,9741,9741,9741,9741,9741,9741,9741,12424,60,4757,971,971,971,12026,"","","[12562,12569]",1657,30,100
42,116,"","","","","","","","","","","","","",982,"","",4758,970,4758,12027,4758,12027,-1179354155,48,100,"[12555,12569]",6,4,810,"","",9743,9781,"",4758,"",4758,12027,4758,970,9781,9743,9781,9781,9781,9781,9743,9743,9743,9743,9743,9743,9743,12425,75,4758,973,973,973,12027,"","","[12563,12569]",731,48,100
43,117,"","","","","","","","","","","","","",984,"","",4759,971,4759,12028,4759,12028,747230036,68,100,"[12556,12569]",6,5,891,"","",9744,9782,"",4759,"",4759,12028,4759,971,9782,9744,9782,9782,9782,9782,9744,9744,9744,9744,9744,9744,9744,12426,0,4759,975,975,975,12028,"",1,"[12564,12569]",49,68,100
44,118,"","","","","","","","","","","","","",985,"","",4760,972,4760,12029,4760,12029,-826006652,0,0,"[12557,12569]",6,6,0,"","",9745,9783,"",4760,"",4760,12029,4760,972,9783,9745,9783,9783,9783,9783,9745,9745,9745,9745,9745,9745,9745,12427,0,4760,976,976,976,12029,"","","[12565,12569]",0,0,0
45,119,"","","","","","","","","","","","","",986,"","",4761,973,4761,12030,4761,12030,-1551618851,0,0,"[12558,12569]",6,7,0,"","",9746,9784,"",4761,"",4761,12030,4761,973,9784,9746,9784,9784,9784,9784,9746,9746,9746,9746,9746,9746,9746,12428,0,4761,987,987,987,12030,"","","[12566,12569]",0,0,0
46,120,"","","","","","","","","","","","","",4565,"","",4582,4614,"","",4608,"",697488794,12,67,[12553],7,2,669,"","",20161,20172,"",4582,"",4608,4582,4582,4614,20172,20161,20172,20172,20172,20172,20161,20161,20161,20161,20161,20161,20161,12431,45,4582,4565,4565,4565,4582,"","",[12561],1657,12,100
47,121,"","","","","","","","","","","","","",4566,"","",4583,4615,"","",4609,"",-185991819,30,100,[12554],7,3,736,"","",20162,20173,"",4583,"",4609,4583,4583,4615,20173,20162,20173,20173,20173,20173,20162,20162,20162,20162,20162,20162,20162,12432,60,4583,4566,4566,4566,4583,"","",[12562],1657,30,100
48,122,"","","","","","","","","","","","","",4567,"","",4584,4616,"","",4610,"",2034631909,48,100,[12555],7,4,810,"","",20163,20174,"",4584,"",4610,4584,4584,4616,20174,20163,20174,20174,20174,20174,20163,20163,20163,20163,20163,20163,20163,12433,75,4584,4567,4567,4567,4584,"","",[12563],731,48,100
49,123,"","","","","","","","","","","","","",4568,"","",4585,4617,"","",4611,"",-575837846,68,100,[12556],7,5,891,"","",20168,20175,"",4585,"",4611,4585,4585,4617,20175,20168,20175,20175,20175,20175,20168,20168,20168,20168,20168,20168,20168,12434,0,4585,4568,4568,4568,4585,"",1,[12564],49,68,100
50,124,"","","","","","","","","","","","","",4569,"","",4586,4618,"","",4612,"",117284401,0,0,[12557],7,6,0,"","",20169,20176,"",4586,"",4612,4586,4586,4618,20176,20169,20176,20176,20176,20176,20169,20169,20169,20169,20169,20169,20169,12435,0,4586,4569,4569,4569,4586,"","",[12565],0,0,0
51,125,"","","","","","","","","","","","","",4570,"","",4587,4619,"","",4613,"",-779044208,0,0,[12558],7,7,0,"","",20170,20177,"",4587,"",4613,4587,4587,4619,20177,20170,20177,20177,20177,20177,20170,20170,20170,20170,20170,20170,20170,12436,0,4587,4570,4570,4570,4587,"","",[12566],0,0,0
52,126,"","","","","","","","","","","","","",933,"","",4803,922,4803,12020,4803,12020,836789809,30,100,"[12554,12568]",8,3,640,"","",9723,9769,"",4803,"",4803,12020,4803,922,9769,9723,9769,9769,9769,9769,9723,9723,9723,9723,9723,9723,9723,12437,60,4803,924,924,924,12020,"","","[12562,12568]",1441,30,100
53,127,"","","","","","","","","","","","","",935,"","",4804,923,4804,12021,4804,12021,-1267169214,48,100,"[12555,12568]",8,4,704,"","",9725,9771,"",4804,"",4804,12021,4804,923,9771,9725,9771,9771,9771,9771,9725,9725,9725,9725,9725,9725,9725,12438,75,4804,926,926,926,12021,"","","[12563,12568]",636,48,100
54,128,"","","","","","","","","","","","","",936,"","",4805,924,4805,12022,4805,12022,-1833058895,68,100,"[12556,12568]",8,5,775,"","",9726,9772,"",4805,"",4805,12022,4805,924,9772,9726,9772,9772,9772,9772,9726,9726,9726,9726,9726,9726,9726,12439,0,4805,927,927,927,12022,"",1,"[12564,12568]",42,68,100
55,129,"","","","","","","","","","","","","",938,"","",4806,925,4806,12023,4806,12023,864068417,0,0,"[12557,12568]",8,6,0,"","",9727,9773,"",4806,"",4806,12023,4806,925,9773,9727,9773,9773,9773,9773,9727,9727,9727,9727,9727,9727,9727,12440,0,4806,929,929,929,12023,"","","[12565,12568]",0,0,0
56,130,"","","","","","","","","","","","","",939,"","",4807,926,4807,12024,4807,12024,222024053,0,0,"[12558,12568]",8,7,0,"","",9728,9774,"",4807,"",4807,12024,4807,926,9774,9728,9774,9774,9774,9774,9728,9728,9728,9728,9728,9728,9728,12441,0,4807,940,940,940,12024,"","","[12566,12568]",0,0,0
57,131,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,30,100,"[12554,12570,8128]",9,3,640,"","",8766,8771,"",2,"",2,2,2,2,8771,8766,8771,8771,8771,8771,8766,8766,8766,8766,8766,8766,8766,12482,60,2,2,2,2,2,2,"","[12562,12570,8128]",1441,30,100
58,132,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,48,100,"[12555,12570,8128]",9,4,704,"","",8767,8772,"",4,"",4,4,4,4,8772,8767,8772,8772,8772,8772,8767,8767,8767,8767,8767,8767,8767,12483,75,4,4,4,4,4,4,"","[12563,12570,8128]",636,48,100
59,133,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,68,100,"[12556,12570,8128]",9,5,775,"","",8768,8773,"",5,"",5,5,5,5,8773,8768,8773,8773,8773,8773,8768,8768,8768,8768,8768,8768,8768,12484,0,5,5,5,5,5,5,1,"[12564,12570,8128]",42,68,100
60,134,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,0,0,"[12557,12570,8128]",9,6,0,"","",8769,8774,"",7,"",7,7,7,7,8774,8769,8774,8774,8774,8774,8769,8769,8769,8769,8769,8769,8769,12485,0,7,7,7,7,7,7,"","[12565,12570,8128]",0,0,0
61,135,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,0,0,"[12558,12570,8128]",9,7,0,"","",8770,8775,"",10,"",10,10,10,10,8775,8770,8775,8775,8775,8775,8770,8770,8770,8770,8770,8770,8770,12486,0,10,10,10,10,10,10,"","[12566,12570,8128]",0,0,0
62,136,"","","","","","","","","","","","",1933,3244,"","",3244,"","","","","",1046769873,30,100,"[12554,12569]",10,3,640,1921,"",1921,"",1933,3244,"",3244,3244,3244,3244,1933,1921,1933,1933,1933,1933,1921,1921,1921,1921,1921,1921,1921,12412,60,3244,3696,3696,3696,3244,"","","[12562,12569]",1441,30,100
63,137,"","","","","","","","","","","","",1935,3245,"","",3245,"","","","","",-383181272,48,100,"[12555,12569]",10,4,704,1923,"",1923,"",1935,3245,"",3245,3245,3245,3245,1935,1923,1935,1935,1935,1935,1923,1923,1923,1923,1923,1923,1923,12413,75,3245,3697,3697,3697,3245,"","","[12563,12569]",636,48,100
64,138,"","","","","","","","","","","","",1937,3247,"","",3247,"","","","","",491155825,68,100,"[12556,12569]",10,5,775,1925,"",1925,"",1937,3247,"",3247,3247,3247,3247,1937,1925,1937,1937,1937,1937,1925,1925,1925,1925,1925,1925,1925,12414,0,3247,3699,3699,3699,3247,"",1,"[12564,12569]",42,68,100
65,139,"","","","","","","","","","","","",1938,3248,"","",3248,"","","","","",-150361862,0,0,"[12557,12569]",10,6,0,1926,"",1926,"",1938,3248,"",3248,3248,3248,3248,1938,1926,1938,1938,1938,1938,1926,1926,1926,1926,1926,1926,1926,12415,0,3248,3700,3700,3700,3248,"","","[12565,12569]",0,0,0
66,140,"","","","","","","","","","","","",1950,3249,"","",3249,"","","","","",1926779813,0,0,"[12558,12569]",10,7,0,1928,"",1928,"",1950,3249,"",3249,3249,3249,3249,1950,1928,1950,1950,1950,1950,1928,1928,1928,1928,1928,1928,1928,12416,0,3249,3701,3701,3701,3249,"","","[12566,12569]",0,0,0
67,141,"","","","","","","","","","","","","",2852,1978,"","","","","","","",-557327777,30,100,[12554],11,3,640,4369,"","","","",2033,"",2033,2033,2033,2033,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,4369,12504,60,2010,1978,2010,2010,2033,"","",[12562],1441,30,100
68,142,"","","","","","","","","","","","","",2853,1979,"","",2047,2047,"","",2036,-1074439089,48,100,[12555],11,4,704,4370,"","","","",2035,"",2035,2035,2047,2047,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,4370,12505,75,2011,1979,2011,2011,2036,"","",[12563],636,48,100
69,143,"","","","","","","","","","","","","",2854,1980,"","",2048,2048,2037,2043,2051,1419643846,68,100,[12556],11,5,775,4371,"","","","",2048,"",2043,2037,2048,2048,4371,4371,4371,4371,4371,4371,4371,4371,4371,4371,4371,4371,4371,12506,0,2012,1980,2012,2012,2051,"",1,[12564],42,68,100
70,144,"","","","","","","","","","","","","",2855,1983,"","",2049,2049,2039,2044,2052,2044538361,0,0,[12557],11,6,0,4372,"","","","",2049,"",2044,2039,2049,2049,4372,4372,4372,4372,4372,4372,4372,4372,4372,4372,4372,4372,4372,12507,0,2013,1983,2013,2013,2052,"","",[12565],0,0,0
71,145,"","","","","","","","","","","","","",2856,1984,"","",2050,2050,2041,2045,2053,-444339820,0,0,[12558],11,7,0,4373,"","","","",2050,"",2045,2041,2050,2050,4373,4373,4373,4373,4373,4373,4373,4373,4373,4373,4373,4373,4373,12508,0,2015,1984,2015,2015,2053,"","",[12566],0,0,0
72,146,"","","","","","","","","","","","","",888,"","",6255,876,6255,12016,6255,12016,-964777382,48,100,"[12555,12570,12619]",12,4,612,"","",9708,9761,"",6255,"",6255,12016,6255,876,9761,9708,9761,9761,9761,9761,9708,9708,9708,9708,9708,9708,9708,12474,75,6255,879,879,879,12016,"","","[12563,12570,12619]",553,48,100
73,147,"","","","","","","","","","","","","",890,"","",6256,877,6256,12017,6256,12017,1027011185,68,100,"[12556,12570,12619]",12,5,673,"","",9709,9762,"",6256,"",6256,12017,6256,877,9762,9709,9762,9762,9762,9762,9709,9709,9709,9709,9709,9709,9709,12475,0,6256,881,881,881,12017,"",1,"[12564,12570,12619]",37,68,100
74,148,"","","","","","","","","","","","","",891,"","",6257,878,6257,12018,6257,12018,-1839053998,0,0,"[12557,12570,12619]",12,6,0,"","",9710,9763,"",6257,"",6257,12018,6257,878,9763,9710,9763,9763,9763,9763,9710,9710,9710,9710,9710,9710,9710,12476,0,6257,882,882,882,12018,"","","[12565,12570,12619]",0,0,0
75,149,"","","","","","","","","","","","","",892,"","",6258,879,6258,12019,6258,12019,1845632009,0,0,"[12558,12570,12619]",12,7,0,"","",9711,9764,"",6258,"",6258,12019,6258,879,9764,9711,9764,9764,9764,9764,9711,9711,9711,9711,9711,9711,9711,12477,0,6258,893,893,893,12019,"","","[12566,12570,12619]",0,0,0
76,150,"","","","","","","","","","","","","",3000,3000,3012,3528,3012,9202,"","",5895,-1618168670,48,100,[12555],13,4,612,3969,"","","","",6471,"",6471,6471,9202,3012,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,3969,12452,75,3528,3000,3012,"",5895,"","",[12563],553,48,100
77,151,"","","","","","","","","","","","","",3001,3001,3013,3529,3013,9203,"","",5896,-2058874949,68,100,[12556],13,5,673,3970,"","","","",6472,"",6472,6472,9203,3013,3970,3970,3970,3970,3970,3970,3970,3970,3970,3970,3970,3970,3970,12453,0,3529,3001,3013,"",5896,"",1,[12564],37,68,100
78,152,"","","","","","","","","","","","","",3002,3002,3014,3530,3014,9204,"","",5897,-697952158,0,0,[12557],13,6,0,3971,"","","","",6473,"",6473,6473,9204,3014,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,3971,12454,0,3530,3002,3014,"",5897,"","",[12565],0,0,0
