"rownum","Mod","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool","bool"
33,7124,"Executioner","Bourreau","Henker","エクセキューショナー","집행자","Executor","Палач","Ejecutor","เพชฌฆาต","劊子手",34,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
34,7125,"Hexer","Calamiteux","Hexer","ヘクサー","사술사","Feiticeiro","Ведун","Brujo","ผู้สาปสะกด","咒術師",35,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]","",""
35,7126,"Drought Bringer","Sécheresse incarnée","Dürrebringer","ドラウトブリンガー","가뭄 인도자","Portador da Seca","Несущий засуху","Portador de la sequía","ผู้นำพาความแห้งแล้ง","乾旱先鋒",36,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
36,7127,"Entangler","Ronces entravantes","Umschlinger","エンタングラー","얽는 자","Emaranhador","Опутыватель","Enmarañador","ผู้เหนี่ยวรั้ง","尾隨魔",37,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
37,7128,"Temporal Bubble","Bulle temporelle","Temporale Blase","テンポラルバブル","시간의 거품","Bolha Temporal","Временной пузырь","Burbuja temporal","โดมกาลเวลา","短暫幻想",38,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
38,7130,"Treant Horde","Horde de Tréants","Treant-Horde","トレントの軍勢","나무인간 떼","Horda de Entes","Орда энтов","Horda de Treants","ฝูงต้นไม้มีชีวิต","樹人部落",39,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
39,7131,"Frost Strider","Marche-givre","Frostläufer","フロストストライダー","서리 질주자","Andarilho da Geada","Мёрзлый ходок","Caminante de escarcha","ผู้ก้าวน้ำแข็ง","霜行者",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
40,7132,"Ice Prison","Prison de glace","Eiskäfig","アイスプリズン","얼음 감옥","Prisão Glacial","Ледяная тюрьма","Prisión de hielo","คุกน้ำแข็ง","冰牢",41,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
41,7133,"Soul Eater","Mangeur d'âmes","Seelenfresser","ソウルイーター","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de almas","ผู้กลืนกินวิญญาณ","嗜魂者",42,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
42,7134,"Flame Strider","Marche-flammes","Flammenläufer","フレイムストライダー","화염 질주자","Andarilho das Chamas","Огненный ходок","Caminante de llamas","ผู้ก้าวเพลิง","炎行者",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
43,7135,"Corpse Detonator","Détonateur de cadavres","Leichensprenger","コープスデトネイター","시체 폭파자","Detonador de Corpos","Подрыватель трупов","Detonador de cadáveres","ผู้ระเบิดศพ","陰屍爆破",44,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
44,7136,"Prismatic","Prismatique","Prismatisch","プリズマティック","분광","Prismático","Радужный","Prismático","สุ่มธาตุ","多彩",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
45,7137,"Magma Barrier","Barrière magmatique","Magma-Barriere","マグマバリア","마그마 장벽","Barreira de Magma","Магмовый барьер","Barrera de magma","ม่านพลังหินหลอม","熔岩屏障",46,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
46,7138,"Mirror Image","Image miroir","Spiegelbild","ミラーイメージ","거울상","Imagem Espelhada","Зеркальное отражение","Imagen reflejada","ร่างลวงตา","鏡像幻影",47,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
47,7139,"Storm Strider","Marche-orage","Sturmläufer","ストームストライダー","폭풍 질주자","Andarilho da Tempestade","Грозовой ходок","Caminante de la tormenta","ผู้ก้าวมรสุม","風行者",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
48,7140,"Mana Siphoner","Siphon de Mana","Mana-Entzieher","マナサイフォナー","마나 착취자","Sifão de Mana","Поглотитель маны","Succionador de maná","ผู้ลักมานา","魔靈吸取",49,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
49,7141,"Corrupter","Source corrompue","Verderber","コラプター","타락자","Corrompedor","Осквернитель","Corruptor","ผู้ก่อมลทิน","腐化者",50,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
50,7142,"Benevolent Guardian","Gardien bienveillant","Gütiger Wächter","博愛の守護者","자애로운 수호자","Guardião Benevolente","Благодушный опекун","Guardián benevolente","ผู้พิทักษ์ผู้เมตตา","仁慈的守護者",51,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
51,7143,"Crystal-skinned","Peau cristalline","Kristallhaut","クリスタルスキン","결정 가죽","Pele de Cristal","Кристальнокожий","Piel de cristal","ผิวคริสตัล","晶瑩剔透",52,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
52,7144,"Empowered Elements","Affinités élémentaires","Verstärkte Elemente","エンパワードエレメンツ","원소 강화","Elementos Maximizados","Сила стихий","Elementos potenciados","เพิ่มพลังธาตุ","強化元素",53,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
53,7145,"Effigy","Effigie","Abbild","エフィジー","제웅","Efígie","Чучело","Efigie","รูปจำลอง","雕像",54,"[""outlinecolour:archnemesismodspecialoutline"",""archnemesismodspecial""]","",1
54,7147,"Lunaris-touched","Élu de Lunaris","Von Lunaris berührt","ルナリスに触れられし者","루나리스의 손길에 닿은","Tocado por Lunaris","Касание Лунарис","Tocado por Lunaris","สัมผัสลูนาริส","月神之觸",55,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
55,7148,"Solaris-touched","Élu de Solaris","Von Solaris berührt","ソラリスに触れられし者","솔라리스의 손길에 닿은","Tocado por Solaris","Касание Солярис","Tocado por Solaris","สัมผัสโซลาริส","日神之觸",56,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
56,7149,"Arakaali-touched","Élu d'Arakaali","Von Arakaali berührt","アラカーリに触れられし者","아라칼리의 손길에 닿은","Tocado por Arakaali","Касание Аракаали","Tocado por Arakaali","สัมผัสอาราคาลี","艾爾卡莉之觸",57,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
57,7150,"Brine King-touched","Élu du Roi des Embruns","Vom Gischtkönig berührt","海水の王に触れられし者","염수왕의 손길에 닿은","Tocado pelo Rei da Salmoura","Касание Морского царя","Tocado por el Rey del mar","สัมผัสราชันน้ำเค็ม","海洋王之觸",58,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
58,7151,"Tukohama-touched","Élu de Tukohama","Von Tukohama berührt","トゥコハマに触れられし者","투코하마의 손길에 닿은","Tocado por Tukohama","Касание Тукохамы","Tocado por Tukohama","สัมผัสทูโคฮาม่า","圖克哈瑪之觸",59,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
59,7152,"Abberath-touched","Élu d'Abberath","Von Abberath berührt","アバラスに触れられし者","아버라스의 손길에 닿은","Tocado por Abberath","Касание Абберата","Tocado por Abberath","สัมผัสแอ็บเบอร์แรธ","艾貝拉斯之觸",60,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
60,7153,"Shakari-touched","Élu de Shakari","Von Shakari berührt","シャカーリに触れられし者","샤카리의 손길에 닿은","Tocado por Shakari","Касание Шакари","Tocado por Shakari","สัมผัสชาคารี","夏卡莉之觸",61,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
61,7154,"Innocence-touched","Élu d'Innocence","Von Innocence berührt","イノセンスに触れられし者","이노센스의 손길에 닿은","Tocado por Innocence","Касание Невинности","Tocado por Inocencia","สัมผัสอินโนเซน","善之觸",62,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
62,7155,"Kitava-touched","Élu de Kitava","Von Kitava berührt","キタヴァに触れられし者","키타바의 손길에 닿은","Tocado por Kitava","Касание Китавы","Tocado por Kitava","สัมผัสคิทาวา","奇塔弗之觸",63,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]",1,""
63,7159,"Bloodletter","Exsanguinateur","Blutlasser","ブラッドレター","사혈자","Carta Sangrenta","Кровопускатель","Demonio de sangría","ผู้กรีดเลือด","放血者",15,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
64,7160,"Heralds of the Obelisk","Hérauts de l'Obélisque","Herolde des Obelisken","オベリスクの先触れ","오벨리스크의 전령들","Arautos do Obelisco","Призыватели Обелиска","Heraldos del obelisco","ผู้นำสาส์นเสาสายฟ้า","歐貝利斯克之捷","","[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
65,7161,"Spirit Walkers","Marcheurs spirituels","Geisterläufer","霊の行進","혼백 보행자단","Andarilhos Espirituais","Астральная проекция","Caminantes espirituales","ผู้ถอดวิญญาณ","靈魂行者","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
66,7162,"Union of Souls","Union d'âmes","Einheit der Seelen","魂の団結","영혼의 결합","União das Almas","Единение душ","Unión de almas","สามัคคีรวมวิญญาณ","聚魂","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
67,7163,"Voidspawn of Abaxoth","Engeance du néant d'Abaxoth","Leerengeburt des Abaxoth","アバゾースの虚無の落とし子","아바소스의 공허유충","Cria de Abaxoth","Исчадия пустоты Абаксота","Engendro de Abaxoth","อสุรกายแห่งอาแบ็กซอธ","阿巴薩斯之子","","[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]","",""
68,7156,"Storm Herald","Héraut de la tempête","Sturmherold","嵐の先触れ","태풍 전령","Arauto das Tempestades","Глашатай бури","Heraldo de tormenta","ผู้นำสาส์นมรสุม","暴風使徒",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
69,7157,"Final Gasp","Dernier soupir","Letzter Atemzug","断末魔","마지막 헐떡임","Suspiro Final","Последний вздох","Último suspiro","เฮือกสุดท้าย","最終嘆息","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
70,7164,"Arcane Buffer","Barrière arcanique","Arkaner Schutz","アーケインバッファ","비전 강화","Bonificador Arcano","Колдовской барьер","Potenciador arcano","อาคมหุ้มกาย","奧術緩衝",9,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
71,7165,"Prismatic","Prismatique","Prismatisch","プリズマティック","분광","Prismático","Радужный","Prismático","สุ่มธาตุ","多彩",45,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
72,7166,"Deadeye","Infaillible","Scharfschütze","デッドアイ","명사수","Atirador","Снайпер","Tirador","นัยน์สังหาร","銳眼",5,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
73,7167,"Hasted","Véloce","Beschleunigt","ヘイスト","가속된","Impetuoso","Ускоренный","Acelerado","ว่องไว","急速",4,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
74,7168,"Bonebreaker","Briseur d'os","Knochenbrecher","ボーンブレーカー","뼈 분쇄자","Quebra-ossos","Костолом","Rompehuesos","ผู้หักกระดูก","裂骨者",13,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
75,7158,"Splinterer","Fragmentation","Zersplitternd","スプリンターラー","분열자","Fragmentador","Расщепитель","Fragmentador","ผู้แตกสะเก็ด","分裂者","","[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
76,7171,"Permafrost","Permagivre","Permafrost","パーマフロスト","만년설","Congelamento Permanente","Вечномёрзлый","Escarcha permanente","หนาวนิรันดร์","永凍土",3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
77,7169,"Toxic","Toxique","Toxisch","トキシック","맹독성","Tóxico","Токсичный","Tóxico","เป็นพิษ","毒素",0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]","",""
78,7170,"Incendiary","Incendiaire","Entzündlich","インセンディアリ","방화","Incendiário","Воспламенитель","Incendiario","ก่อไฟ","縱火",8,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
79,7172,"Electrocuting","Électrocutant","Elektrisierend","エレクトロキューティング","전기 처형의","Eletrocutante","Электрический","Electrocutador","ช็อตไฟฟ้า","電刑",12,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
80,7174,"Consecrator","Consécrateur","Weihender","コンセクレイター","축성자","Consagrador","Освятитель","Consagrador","ผู้ศักดิ์สิทธิ์","奉獻使徒",26,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]","",""
81,7175,"Flame Strider","Marche-flammes","Flammenläufer","フレイムストライダー","화염 질주자","Andarilho da Chama","Огненный ходок","Caminante de llamas","ผู้ก้าวเพลิง","炎行者",43,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]","",""
82,7176,"Frost Strider","Marche-givre","Frostläufer","フロストストライダー","서리 질주자","Andarilho Gélido","Мёрзлый ходок","Caminante de escarcha","ผู้ก้าวน้ำแข็ง","霜行者",40,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]","",""
83,7177,"Storm Strider","Marche-orage","Sturmläufer","ストームストライダー","폭풍 질주자","Andarilho da Tempestade","Грозовой ходок","Caminante de la tormenta","ผู้ก้าวมรสุม","風行者",48,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]","",""
84,7178,"Corrupter","Source corrompue","Verderber","コラプター","타락자","Corrompedor","Осквернитель","Corruptor","ผู้ก่อมลทิน","腐化者",50,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]","",""
85,7173,"Sentinel","Sentinelle","Wache","センチネル","파수꾼","Sentinela","Страж","Centinela","ผู้เฝ้ายาม","哨兵",19,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]","",""
86,31589,"Overwhelms Physical Reduction","Submerge la Réduction des Dégâts physiques","Überwältigt physische Schadensminderung","物理ダメージ軽減を圧倒","물리 감소 압도","Sobrecarrega a Redução Física","Подавляет снижение физического урона","Sobrepasa la reducción de daño físico","ท่วมท้น ค่าป้องกันกายภาพ","鎮壓物理減免",16,[],"",""
87,31590,"Extra Fire Damage and Exposure","Dégâts de feu supplémentaires et Exposition","Extra Feuerschaden und Anfälligkeit","追加の火ダメージと曝露","추가 화염 피해 및 노출","Dano Extra de Fogo e Exposição","Дополнительный урон от огня и восприимчивость","Daño de fuego y exposición al fuego adicionales","เสริมความเสียหาย ไฟ และสถานะ พ่ายแก่ไฟ","額外火焰傷害和曝曬",7,[],"",""
88,31591,"Extra Cold Damage and Exposure","Dégâts de froid supplémentaires et Exposition","Extra Kälteschaden und Anfälligkeit","追加の冷気ダメージと曝露","추가 냉기 피해 및 노출","Dano Extra de Gelo e Exposição","Дополнительный урон от холода и восприимчивость","Daño de hielo y exposición al hielo adicionales","เสริมความเสียหาย น้ำแข็ง และสถานะ พ่ายแก่น้ำแข็ง","額外冰冷傷害和曝曬",2,[],"",""
89,31592,"Extra Lightning Damage and Exposure","Dégâts de foudre supplémentaires et Exposition","Extra Blitzschaden und Anfälligkeit","追加の雷ダメージと曝露","추가 번개 피해 및 노출","Dano Extra de Raio e Exposição","Дополнительный урон от молнии и восприимчивость","Daño de rayo y exposición al rayo adicionales","เสริมความเสียหาย สายฟ้า และสถานะ พ่ายแก่สายฟ้า","額外閃電傷害和曝曬",11,[],"",""
90,31593,"Extra Chaos Damage","Dégâts de chaos supplémentaires","Extra Chaosschaden","追加の混沌ダメージ","추가 카오스 피해","Dano Extra de Caos ","Дополнительный урон хаосом","Daño de caos extra","เสริมความเสียหาย เคออส","額外混沌傷害",1,[],"",""
91,31594,"Elemental Equilibrium and Random Elemental Damage","Équilibre élémentaire et Dégâts élémentaires au hasard","Elementargleichgewicht und zufälliger Elementarschaden","エレメンタルイクイリブリアムとランダムな元素ダメージ","원소 균형 및 무작위 원소 피해","Equilíbrio Elemental e Dano Elemental Aleatório","Равновесие стихий и урон от случайной стихии","Equilibrio elemental y daño elemental aleatorio","Elemental Equilibrium และสร้างความเสียหาย ธาตุแบบสุ่ม","元素之相和隨機元素傷害",45,[],"",""
92,31595,"Physical Resistant","Résistant aux Dégâts physiques","Widersteht physischem Schaden","物理ダメージに耐性","물리 저항","Resistência Física","Сопротивление физическому урону","Resiste daño físico","ต้านทาน กายภาพ","物理抵抗",16,[],"",""
93,31596,"Fire and Ignite Resistant","Résistant aux Dégâts de feu et à l'Embrasement","Widersteht Feuer und Entzünden","火ダメージと発火に耐性","화염 및 점화 저항","Resistente a Fogo e Incêndio","Сопротивление урону от огня и поджогу","Resiste daño de fuego y quemadura","ต้านทาน ไฟ และสถานะ ลุกไหม้","火焰和點燃抵抗",7,[],"",""
94,31597,"Cold, Chill and Freeze Resistant","Résistant aux Dégâts de froid et à la Frigorification et au Gel","Widersteht Kälte, Unterkühlen und Einfrieren","冷気ダメージと冷却・凍結に耐性","냉기, 냉각, 동결 저항","Resistente a Gelo, Resfrimento e Congelamento","Сопротивление урону от холода, охлаждению и заморозке","Resiste daño de hielo, escarchamiento y congelamiento","ต้านทาน น้ำแข็ง และสถานะ หนาวเย็นและแช่แข็ง","冰冷、冰緩和冰凍抵抗",2,[],"",""
95,31598,"Lightning and Shock Resistant","Résistant aux Dégâts de foudre et à l'Électrocution","Widersteht Blitz und Schock","雷ダメージと感電に耐性","번개 및 감전 저항","Resistente a Raio e Eletrização","Сопротивление урону от молнии и шоку","Resiste daño de rayo y electrocución","ต้านทาน สายฟ้า และสถานะ ช็อค","閃電和感電抵抗",11,[],"",""
96,31599,"Chaos and Wither Resistant","Résistant aux Dégâts de chaos et à la Flétrissure","Widersteht Chaos und Verkümmern","混沌と衰弱に耐性","카오스 및 위축 저항","Resistente a Caos e Definhamento","Сопротивление урону хаосом и увяданию","Resiste daño de caos y marchitamiento","ต้านทาน เคออส และสถานะ เหี่ยวเฉา","混沌和凋零抵抗",1,[],"",""
97,31600,"Evasive","Évasif","Ausweichend","回避力が高い","회피","Evasivo","Уклоняющийся","Evasivo","หลบหลีก","閃避","",[],"",""
98,31601,"Fast Energy Shield Recharge","Recharge rapide du Bouclier d'énergie","Schnelle Energieschild-Wiederaufladung","エナジーシールドのリチャージが速い","빠른 에너지 보호막 재충전","Recarga Rápida de Escudo de Energia","Быстрая перезарядка энергетического щита","Recarga rápida de escudo de energía","รีชาร์จโล่พลังงาน รวดเร็ว","快速能量護盾充能","",[],"",""
99,31602,"Extra Life","Vie supplémentaire","Extra Leben","ライフが追加","추가 생명력","Vida Extra","Дополнительное здоровье","Vida extra","เสริมพลังชีวิต","額外生命","",[],"",""
100,31603,"Accurate","Précis","Zielgenau","命中力が高い","정확","Preciso","Точный","Preciso","แม่นยำ","命中","",[],"",""
101,31604,"Extra Crits","Critiques supplémentaires","Extra kritische Treffer","クリティカル率が高い","추가 치명타","Crítico Extra","Дополнительные критические удары","Críticos adicionales","เสริมคริติคอล","額外暴擊","",[],"",""
