"rownum","KeyCode","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Id (English)","Id (French)","Id (German)","Id (Japanese)","Id (Korean)","Id (Portuguese)","Id (Russian)","Id (Spanish)","Id (Thai)","Id (Traditional Chinese)"
26,81,"Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q","Q"
27,82,"R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
28,83,"S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S","S"
29,84,"T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T","T"
30,85,"U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U","U"
31,86,"V","V","V","V","V","V","V","V","V","V","V","V","V","V","V","V","V","V","V","V"
32,87,"W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W","W"
33,88,"X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X","X"
34,89,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y"
35,90,"Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z","Z"
36,32,"Spacebar","Barre d'espace","Leertaste","Spaceキー","Spacebar","Espaço","Пробел","Barra espaciadora","Spacebar","空白鍵","Spc","Espace","Leer","Space","스페이스","Esp","Пробел","Esp","Spc","Spc"
37,9,"Tab","Tabulation","Tab","Tab","Tab","Tab","Tab","Tabulador","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab","Tab"
38,13,"Enter","Entrée","Eingabe","Enter","엔터","Enter","Enter","Enter","Enter","Enter","Ent","Ent","Eingabe","Enter","엔터","Ent","Ent","Ent","Ent","Ent"
39,18,"Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt","Alt"
40,16,"Shift","Majuscule","Umschalttaste","Shift","Shift","Shift","Shift","Shift","Shift","Shift","Shft","Maj","Umschalt","Shift","Shift","Shft","Shft","Shft","Shft","Shft"
41,33,"Page Up","Page précédente","Bild auf","Page UP","Page Up","Page Up","Page Up","Retroceder Página","Page Up","Page Up","PgU","PgPrec","BldAuf","PgU","PgU","PgU","PgU","RePag","PgU","PgU"
42,34,"Page Down","Page suivante","Bild ab","Page Down","Page Down","Page Down","Page Down","Avanzar Página","Page Down","Page Down","PgD","PgSuiv","BldAb","PgD","PgD","PgD","PgD","AvPag","PgD","PgD"
43,186,";",";","Ü",";",";",";",";",";",";",";",";",";","Ü",";",";",";",";",";",";",";"
44,191,"/","/","#","/","/","/","/","/","/","/","/","/","#","/","/","/","/","/","/","/"
45,220,"\\","\\","\\","]","\\","\\","\\","\\","\\","\\","\\","\\","\\","]","\\","\\","\\","\\","\\","\\"
46,226,"\\","\\","\\","]","\\","\\","\\","\\","\\","\\","\\","\\","\\","]","\\","\\","\\","\\","\\","\\"
47,192,"`","`","Ö","半角/全角","`","`","`","`","`","`","`","`","Ö","半角/全角","`","`","`","`","`","`"
48,219,"[","[","[","@","[","[","[","[","[","[","[","[","[","@","[","[","[","[","[","["
49,221,"]","]","]","[","]","]","]","]","]","]","]","]","]","[","]","]","]","]","]","]"
50,222,"'","'","Ä",":","'","'","'","'","'","'","'","'","Ä",":","'","'","'","'","'","'"
51,188,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",","
52,187,"+","+","+","Shift + ^","+","+","+","+","+","+","+","+","+","Shift + ^","+","+","+","+","+","+"
53,189,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
54,37,"Left Arrow","Flèche gauche","Pfeil links","左矢印","왼쪽 방향키","Seta para Esquerda","←","Flecha izquierda","ลูกศรซ้าย","←","←","←","←","←","←","←","←","←","←","←"
55,39,"Right Arrow","Flèche droite","Pfeil rechts","右矢印","오른쪽 방향키","Seta para Direita","→","Flecha derecha","ลูกศรขวา","→","→","→","→","→","→","→","→","→","→","→"
56,38,"Up Arrow","Flèche haut","Pfeil oben","上矢印","위쪽 방향키","Seta para Cima","↑","Flecha arriba","ลูกศรขึ้น","↑","↑","↑","↑","↑","↑","↑","↑","↑","↑","↑"
57,40,"Down Arrow","Flèche bas","Pfeil unten","下矢印","아래쪽 방향키","Seta para Baixo","↓","Flecha abajo","ลูกศรลง","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓","↓"
58,36,"Home","Début","Pos1","Home","Home","Home","Home","Inicio","Home","Home","Home","Début","Pos1","Home","Home","Home","Home","Inicio","Home","Home"
59,35,"End","Fin","Ende","End","End","End","End","Fin","End","End","End","Fin","Ende","End","End","End","End","Fin","End","End"
60,46,"Delete","Supprimer","Entfernen","Delete","Delete","Delete","Delete","Suprimir","Delete","Delete","Del","Suppr","Entf","Delete","Del","Del","Del","Supr","Del","Del"
61,45,"Insert","Insérer","Einfügen","Insert","Insert","Insert","Insert","Insertar","Insert","Insert","Ins","Inser","Einfg","Insert","Ins","Ins","Ins","Ins","Ins","Ins"
62,112,"F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1","F1"
63,113,"F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2","F2"
64,114,"F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3","F3"
65,115,"F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4","F4"
66,116,"F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5","F5"
67,117,"F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6","F6"
68,118,"F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7","F7"
69,119,"F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8","F8"
70,120,"F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9","F9"
71,121,"F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10","F10"
72,122,"F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11","F11"
73,123,"F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12","F12"
74,96,"Numpad 0","Pavé numérique 0","Ziffernblock 0","Numpad 0","Numpad 0","0 no Teclado Numérico","Numpad 0","Panel Numérico 0","Numpad 0","數字鍵 0","N0","Num 0","Z0","Num 0","N0","N0","N0","Num0","N0","N0"
75,97,"Numpad 1","Pavé numérique 1","Ziffernblock 1","Numpad 1","Numpad 1","1 no Teclado Numérico","Numpad 1","Panel Numérico 1","Numpad 1","數字鍵 1","N1","Num 1","Z1","Num 1","N1","N1","N1","Num1","N1","N1"
76,98,"Numpad 2","Pavé numérique 2","Ziffernblock 2","Numpad 2","Numpad 2","2 no Teclado Numérico","Numpad 2","Panel Numérico 2","Numpad 2","數字鍵 2","N2","Num 2","Z2","Num 2","N2","N2","N2","Num2","N2","N2"
77,99,"Numpad 3","Pavé numérique 3","Ziffernblock 3","Numpad 3","Numpad 3","3 no Teclado Numérico","Numpad 3","Panel Numérico 3","Numpad 3","數字鍵 3","N3","Num 3","Z3","Num 3","N3","N3","N3","Num3","N3","N3"
78,100,"Numpad 4","Pavé numérique 4","Ziffernblock 4","Numpad 4","Numpad 4","4 no Teclado Numérico","Numpad 4","Panel Numérico 4","Numpad 4","數字鍵 4","N4","Num 4","Z4","Num 4","N4","N4","N4","Num4","N4","N4"
79,101,"Numpad 5","Pavé numérique 5","Ziffernblock 5","Numpad 5","Numpad 5","5 no Teclado Numérico","Numpad 5","Panel Numérico 5","Numpad 5","數字鍵 5","N5","Num 5","Z5","Num 5","N5","N5","N5","Num5","N5","N5"
80,102,"Numpad 6","Pavé numérique 6","Ziffernblock 6","Numpad 6","Numpad 6","6 no Teclado Numérico","Numpad 6","Panel Numérico 6","Numpad 6","數字鍵 6","N6","Num 6","Z6","Num 6","N6","N6","N6","Num6","N6","N6"
81,103,"Numpad 7","Pavé numérique 7","Ziffernblock 7","Numpad 7","Numpad 7","7 no Teclado Numérico","Numpad 7","Panel Numérico 7","Numpad 7","數字鍵 7","N7","Num 7","Z7","Num 7","N7","N7","N7","Num7","N7","N7"
82,104,"Numpad 8","Pavé numérique 8","Ziffernblock 8","Numpad 8","Numpad 8","8 no Teclado Numérico","Numpad 8","Panel Numérico 8","Numpad 8","數字鍵 8","N8","Num 8","Z8","Num 8","N8","N8","N8","Num8","N8","N8"
83,105,"Numpad 9","Pavé numérique 9","Ziffernblock 9","Numpad 9","Numpad 9","9 no Teclado Numérico","Numpad 9","Panel Numérico 9","Numpad 9","數字鍵 9","N9","Num 9","Z9","Num 9","N9","N9","N9","Num9","N9","N9"
84,146,"Numpad =","Pavé numérique =","Ziffernblock =","Numpad =","Numpad =","= no Teclado Numérico","Numpad =","Panel Numérico =","Numpad =","數字鍵 =","N=","Num =","Z=","Num =","N=","N=","N=","Num=","N=","N="
85,1,"Left-Click","Clic gauche","Linksklick","左クリック","좌클릭","Clique Esquerdo","Левая кнопка мыши","Clic izquierdo","คลิกซ้าย","滑鼠左鍵","ML","Clic g.","LM","ML","M좌","EM","ЛКМ","CI","M ซ้าย","鼠左"
86,2,"Right-Click","Clic droit","Rechtsklick","右クリック","우클릭","Clique Direito","Правая кнопка мыши","Clic derecho","คลิกขวา","滑鼠右鍵","MR","Clic d.","RM","MR","M우","DM","ПКМ","CD","M ขวา","鼠右"
87,4,"Middle-Click","Clic molette","Mittelklick","中クリック","휠클릭","Clique Central","Колесико","Clic Central","คลิกกลาง","滑鼠中鍵","MM","Clic m.","MM","MM","M중","CM","Колесико","CC","M กลาง","鼠中"
88,5,"Mouse 4","Bouton 4 de la souris","Maustaste 4","マウス 4","마우스 4","Botão 4 do Mouse","Mouse 4","Mouse 4","เมาส์ 4","滑鼠 4 鍵","M4","Sour. 4","M4","M4","M4","4M","Mouse 4","M4","M4","鼠 4"
89,6,"Mouse 5","Bouton 5 de la souris","Maustaste 5","マウス 5","마우스 5","Botão 5 do Mouse","Mouse 5","Mouse 5","เมาส์ 5","滑鼠 5 鍵","M5","Sour. 5","M5","M5","M5","5M","Mouse 5","M5","M5","鼠 5"
90,190,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
91,17,"Control","Contrôle","Steuerung","Control","Control","Control","Control","Control","Control","Control","Ctrl","Ctrl","Strg","Control","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl","Ctrl"
