"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)"
10,"MorePhysical","More Physical modifiers","Davantage de modificateurs Physiques","Mehr physische Modifikatoren","物理モッドが出現しやすい","물리 속성 부여 증가","Mais mods de Físico","Больше физических свойств","Más modificadores físicos","เพิ่มม็อด กายภาพ","更多物理詞綴"
11,"MoreFire","More Fire modifiers","Davantage de modificateurs de Feu","Mehr Feuer-Modifikatoren","火モッドが出現しやすい","화염 속성 부여 증가","Mais mods de Fogo","Больше свойств огня ","Más modificadores de fuego","เพิ่มม็อด ไฟ","更多火焰詞綴"
12,"MoreCold","More Cold modifiers","Davantage de modificateurs de Froid","Mehr Kälte-Modifikatoren","冷気モッドが出現しやすい","냉기 속성 부여 증가","Mais mods de Gelo","Больше свойств холода ","Más modificadores de hielo","เพิ่มม็อด น้ำแข็ง","更多冰冷詞綴"
13,"MoreLightning","More Lightning modifiers","Davantage de modificateurs de Foudre","Mehr Blitz-Modifikatoren","雷モッドが出現しやすい","번개 속성 부여 증가","Mais mods de Raio","Больше свойств молнии ","Más modificadores de rayo","เพิ่มม็อด สายฟ้า","更多閃電詞綴"
14,"MoreChaos","More Chaos modifiers","Davantage de modificateurs de Chaos","Mehr Chaos-Modifikatoren","混沌モッドが出現しやすい","카오스 속성 부여 증가","Mais mods de Caos","Больше свойств хаоса ","Más modificadores de caos","เพิ่มม็อด เคออส","更多混沌詞綴"
15,"MoreElemental","More Elemental modifiers","Davantage de modificateurs Élémentaires","Mehr Elementar-Modifikatoren","元素モッドが出現しやすい","원소 속성 부여 증가","Mais mods Elementais","Больше свойств стихий ","Más modificadores elementales","เพิ่มม็อด ธาตุ","更多元素詞綴"
16,"MoreBleedPoison","More Physical Ailment or Chaos Ailment modifiers","Davantage de modificateurs d'Altérations physiques ou de chaos","Mehr Modifikatoren für physische oder Chaos-Beeinträchtigungen","物理および混沌系状態異常モッドが出現しやすい","물리 상태 이상 혹은 카오스 상태 이상 속성 부여 증가","Mais mods de Afecções Fïsicas ou de Caos","Больше свойств физических состояний или состояний хаоса","Más modificadores de estados alterados físicos o de estados alterados de caos","เพิ่มม็อด เจ็บป่วยกายภาพหรือเคออส","更多物理異常狀態或混沌異常狀態詞綴"
17,"MoreLife","More Life modifiers","Davantage de modificateurs de Vie","Mehr Lebensmodifikatoren","ライフモッドが出現しやすい","생명력 속성 부여 증가","Mais mods de Vida","Больше свойств здоровья","Más modificadores de vida","เพิ่มม็อด พลังชีวิต","更多生命詞綴"
18,"MoreDefences","More Defence modifiers","Davantage de modificateurs de Défenses","Mehr Defensiv-Modifikatoren","防御力モッドが出現しやすい","방어 속성 부여 증가","Mais modificadores Defensivos","Больше свойств защиты","Más modificadores de defensa","เพิ่มม็อด ป้องกัน","更多防禦詞綴"
19,"MoreCaster","More Caster modifiers","Davantage de modificateurs de Sorts","Mehr Zaubermodifikatoren","キャスターモッドが出現しやすい","시전 속성 부여 증가","Mais mods de Conjurador","Больше свойств чар","Más modificadores de lanzador de hechizos","เพิ่มม็อด นักเวท","更多法術詞綴"
20,"MoreAttack","More Attack modifiers","Davantage de modificateurs d'Attaque","Mehr Angriffsmodifikatoren","アタックモッドが出現しやすい","공격 속성 부여 증가","Mais mods de Ataque","Больше свойств атак","Más modificadores de ataque","เพิ่มม็อด โจมตี","更多攻擊詞綴"
21,"MoreMana","More Mana modifiers","Davantage de modificateurs de Mana","Mehr Manamodifikatoren","マナモッドが出現しやすい","마나 속성 부여 증가","Mais mods de Mana","Больше свойств маны","Más modificadores de maná","เพิ่มม็อด มานา","更多魔力詞綴"
22,"MoreSpeed","More Speed modifiers","Davantage de modificateurs de Vitesse","Mehr Geschwindigkeitsmodifikatoren","スピードモッドが出現しやすい","속도 속성 부여 증가","Mais mods de Velocidade","Больше свойств скорости","Más modificadores de velocidad","เพิ่มม็อด ความเร็ว","更多速度詞綴"
23,"MoreMinionAura","More Minion, Aura or Curse modifiers","Davantage de modificateurs de Créatures, d'Auras ou de Malédictions","Mehr Kreaturen-, Auren- oder Fluch-Modifikatoren","ミニオン、オーラ、及び呪いモッドが出現しやすい","소환수 혹은 오라 혹은 저주 속성 부여 증가","Mais mods de Lacaios, Aura ou Maldições","Больше свойств приспешников, аур или проклятий","Más modificadores de esbirros, de aura o de maldiciones","เพิ่มม็อด มิเนียน, ออร่า หรือคำสาป","更多召喚物、光環或詛咒詞綴"
24,"MoreGemLevel","More Gem modifiers","Davantage de modificateurs de Gemmes","Mehr Gemmen-Modifikatoren","ジェムモッドが出現しやすい","젬 속성 부여 증가","Mais mods de Gemas","Больше свойств камней","Más modificadores de gemas","เพิ่มม็อด หิน","更多寶石詞綴"
25,"LessCaster","Fewer Caster modifiers","Moins de modificateurs de Sorts","Weniger Zaubermodifikatoren","キャスターモッドが出現しにくい","시전 속성 부여 감소","Poucos mods de Conjurador","Меньше свойств чар","Menos modificadores de lanzador de hechizos","ลดม็อด นักเวท","更少法術詞綴"
26,"LessAttack","Fewer Attack modifiers","Moins de modificateurs d'Attaque","Weniger Angriffsmodifikatoren","アタックモッドが出現しにくい","공격 속성 부여 감소","Poucos mods de Ataque","Меньше свойств атак","Menos modificadores de ataque","ลดม็อด โจมตี","更少攻擊詞綴"
27,"NoPhysical","No Physical modifiers","Aucun modificateur Physique","Keine physischen Modifikatoren","物理モッドが出現しない","물리 속성 부여 없음","Sem mods de Físico","Нет физических свойств","Ningún modificador físico","ไม่ออกม็อด กายภาพ","沒有物理詞綴"
28,"NoFire","No Fire modifiers","Aucun modificateur de Feu","Keine Feuer-Modifikatoren","火モッドが出現しない","화염 속성 부여 없음","Sem mods de Fogo","Нет свойств огня","Ningún modificador de fuego","ไม่ออกม็อด ไฟ","沒有火焰詞綴"
29,"NoCold","No Cold modifiers","Aucun modificateur de Froid","Keine Kälte-Modifikatoren","冷気モッドが出現しない","냉기 속성 부여 없음","Sem mods de Gelo","Нет свойств холода","Ningún modificador de hielo","ไม่ออกม็อด น้ำแข็ง","沒有冰冷詞綴"
30,"NoLightning","No Lightning modifiers","Aucun modificateur de Foudre","Keine Blitz-Modifikatoren","雷モッドが出現しない","번개 속성 부여 없음","Sem mods de Raio","Нет свойств молнии","Ningún modificador de rayo","ไม่ออกม็อด สายฟ้า","沒有閃電詞綴"
31,"NoChaos","No Chaos modifiers","Aucun modificateur de Chaos","Keine Chaos-Modifikatoren","混沌モッドが出現しない","카오스 속성 부여 없음","Sem mods de Caos","Нет свойств хаоса","Ningún modificador de caos","ไม่ออกม็อด เคออส","沒有混沌詞綴"
32,"NoLife","No Life modifiers","Aucun modificateur de Vie","Keine Lebensmodifikatoren","ライフモッドが出現しない","생명력 속성 부여 없음","Sem Mods de Vida","Нет свойств здоровья","Ningún modificador de vida","ไม่ออกม็อด พลังชีวิต","沒有生命詞綴"
33,"NoDefences","No Defence modifiers","Aucun modificateur de Défense","Keine Defensiv-Modifikatoren","防御力モッドが出現しない","방어 속성 부여 없음","Sem mods de Defesa","Нет свойств защиты","Ningún modificador de defensa","ไม่ออกม็อด ป้องกัน","沒有防禦詞綴"
34,"NoElemental","No Elemental modifiers","Aucun modificateur Élémentaire","Keine Elementar-Modifikatoren","元素モッドが出現しない","원소 속성 부여 없음","Sem mods Elementais","Нет свойств стихий","Ningún modificador elemental","ไม่ออกม็อด ธาตุ","沒有元素詞綴"
35,"NoBleedPoison","No Physical Ailment or Chaos Ailment Modifiers","Aucun modificateur d'Altération physique ou de chaos","Keine Modifikatoren für physische oder Chaos-Beeinträchtigungen","物理系状態異常および混沌系状態異常モッドが出現しない","물리 상태 이상 혹은 카오스 상태 이상 속성 부여 없음","Sem mods de Afecções Físicas ou de Caos","Нет свойств физических состояний или состояний хаоса","Ningún modificador de estados alterados físicos ni de estados alterados de caos","ไม่ออกม็อด สถานะ เจ็บป่วยกายภาพหรือเคออส","沒有物理異常狀態或混沌異常狀態詞綴"
36,"NoMana","No Mana modifiers","Aucun modificateur de Mana","Keine Manamodifikatoren","マナモッドが出現しない","마나 속성 부여 없음","Sem mods de Mana","Нет свойств маны","Ningún modificador de maná","ไม่ออกม็อด มานา","沒有魔力詞綴"
37,"NoSpeed","No Speed modifiers","Aucun modificateur de Vitesse","Keine Geschwindigkeitsmodifikatoren","スピードモッドが出現しない","속도 속성 부여 없음","Sem mods de Velocidade","Нет свойств скорости","Ningún modificador de velocidad","ไม่ออกม็อด ความเร็ว","沒有速度詞綴"
38,"CorruptedImplicit","Corrupted\r\nHas a Corrupted implicit modifier","Corrompu\r\nPossède un modificateur implicite corrompu","Verderbt\r\nHat einen verderbten impliziten Modifikator","コラプト状態\r\nコラプト状態の暗黙モッドを持つ","타락\r\n타락한 고정 속성 부여 보유","Corrompido\r\nTem um modificador implícito Corrompido","Осквернено\r\nИмеет осквернённое собственное свойство","Corrupto\r\nTiene un mod. implícito corrupto","มีมลทิน\r\nมีม็อดแฝงมลทิน 1 อย่าง","已汙染\r\n有一個已汙染固定詞綴"
39,"MoreCritical","More Critical modifiers","Davantage de modificateurs de Critiques","Mehr kritische Modifikatoren","クリティカルモッドが出現しやすい","치명타 속성 부여 증가","Mais modificadores Críticos","Больше свойств критического удара","Más modificadores de crítico","เพิ่มม็อด คริติคอล","更多暴擊詞綴"
40,"NoCritical","No Critical modifiers","Aucun modificateur de Critique","Keine kritische Modifikatoren","クリティカルモッドが出現しない","치명타 속성 부여 없음","Sem modificadores Críticos","Нет свойств критического удара","Ningún modificador de crítico","ไม่ออกม็อด คริติคอล","沒有暴擊詞綴"
41,"MoreAttribute","More Attribute modifiers","Davantage de modificateurs d'Attributs","Mehr Attribut-Modifikatoren","能力値モッドが出現しやすい","능력치 속성 부여 증가","Mais modificadores de Atributos","Больше свойств характеристик","Más modificadores de atributos","เพิ่มม็อด ค่าคุณสมบัติ","更多能力詞綴"
42,"NoAttribute","No Attribute modifiers","Aucun modificateur d'Attribut","Keine Attribut-Modifikatoren","能力値モッドが出現しない","능력치 속성 부여 없음","Sem modificadores de Atributos","Нет свойств характеристик","Ningún modificador de atributos","ไม่ออกม็อด ค่าคุณสมบัติ","沒有能力詞綴"
43,"GreatlyMoreSpeed","Greatly more Speed modifiers","Considérablement davantage de modificateurs de Vitesse","Wesentlich mehr Geschwindigkeitsmodifikatoren","スピードモッドがとても出現しやすい","속도 속성 부여 크게 증가","Muito mais modificadores de Velocidade","Намного больше свойств скорости","Muchos más modificadores de velocidad","เพิ่มม็อด ความเร็ว เป็นอย่างมาก","超多速度詞綴"
44,"GreatlyMoreResistance","Greatly more Resistance modifiers","Considérablement davantage de modificateurs de Résistances","Wesentlich mehr Widerstandsmodifikatoren","耐性モッドがとても出現しやすい","저항 속성 부여 크게 증가","Muito mais modificadores de Resistências","Намного больше свойств сопротивлений","Muchos más modificadores de resistencia","เพิ่มม็อด ค่าต้านทาน เป็นอย่างมาก","超多抗性詞綴"
45,"GreatlyMorePhysical","Greatly more Physical modifiers","Considérablement davantage de modificateurs Physiques","Wesentlich mehr physische Modifikatoren","物理モッドがとても出現しやすい","물리 속성 부여 크게 증가","Muito mais modificadores Físicos","Намного больше физических свойств","Muchos más modificadores físicos","เพิ่มม็อด กายภาพ เป็นอย่างมาก","超多物理詞綴"
46,"GreatlyMoreMinion","Greatly more Minion modifiers","Considérablement davantage de modificateurs de Créatures","Wesentlich mehr Kreatur-Modifikatoren","ミニオンモッドがとても出現しやすい","소환수 속성 부여 크게 증가","Muito mais modificadores de Lacaios","Намного больше свойств приспешников","Muchos más modificadores de esbirros","เพิ่มม็อด มิเนียน เป็นอย่างมาก","超多召喚物詞綴"
47,"GreatlyMoreMana","Greatly more Mana modifiers","Considérablement davantage de modificateurs de Mana","Wesentlich mehr Mana-Modifikatoren","マナモッドがとても出現しやすい","마나 속성 부여 크게 증가","Muito mais modificadores de Mana","Намного больше свойств маны","Muchos más modificadores de maná","เพิ่มม็อด มานา เป็นอย่างมาก","超多魔力詞綴"
48,"GreatlyMoreLightning","Greatly more Lightning modifiers","Considérablement davantage de modificateurs de Foudre","Wesentlich mehr Blitz-Modifikatoren","雷モッドがとても出現しやすい","번개 속성 부여 크게 증가","Muito mais modificadores de Raio","Намного больше свойств молнии","Muchos más modificadores de rayo","เพิ่มม็อด สายฟ้า เป็นอย่างมาก","超多閃電詞綴"
49,"GreatlyMoreLife","Greatly more Life modifiers","Considérablement davantage de modificateurs de Vie","Wesentlich mehr Lebensmodifikatoren","ライフモッドがとても出現しやすい","생명력 속성 부여 크게 증가","Muito mais modificadores de Vida","Намного больше свойств здоровья","Muchos más modificadores de vida","เพิ่มม็อด พลังชีวิต เป็นอย่างมาก","超多生命詞綴"
50,"GreatlyMoreGem","Greatly more Gem modifiers","Considérablement davantage de modificateurs de Gemmes","Wesentlich mehr Gemmen-Modifikatoren","ジェムモッドがとても出現しやすい","젬 속성 부여 크게 증가","Muito mais modificadores de Gemas","Намного больше свойств камней","Muchos más modificadores de gemas","เพิ่มม็อด หิน เป็นอย่างมาก","超多寶石詞綴"
51,"GreatlyMoreFire","Greatly more Fire modifiers","Considérablement davantage de modificateurs de Feu","Wesentlich mehr Feuer-Modifikatoren","火モッドがとても出現しやすい","화염 속성 부여 크게 증가","Muito mais modificadores de Fogo","Намного больше свойств огня","Muchos más modificadores de fuego","เพิ่มม็อด ไฟ เป็นอย่างมาก","超多火焰詞綴"
52,"GreatlyMoreElemental","Greatly more Elemental modifiers","Considérablement davantage de modificateurs Élémentaires","Wesentlich mehr Elementar-Modifikatoren","元素モッドがとても出現しやすい","원소 속성 부여 크게 증가","Muito mais modificadores Elementais","Намного больше свойств стихий","Muchos más modificadores elementales","เพิ่มม็อด ธาตุ เป็นอย่างมาก","超多元素詞綴"
53,"GreatlyMoreDefences","Greatly more Defences modifiers","Considérablement davantage de modificateurs de Défenses","Wesentlich mehr Defensiv-Modifikatoren","防御力モッドがとても出現しやすい","방어 속성 부여 크게 증가","Muito mais modificadores de Defesas","Намного больше свойств защиты","Muchos más modificadores de defensas","เพิ่มม็อด ป้องกัน เป็นอย่างมาก","超多防禦詞綴"
54,"GreatlyMoreDamage","Greatly more Damage modifiers","Considérablement davantage de modificateurs de Dégâts","Wesentlich mehr Schadensmodifikatoren","ダメージモッドがとても出現しやすい","피해 속성 부여 크게 증가","Muito mais modificadores de Dano","Намного больше свойств урона","Muchos más modificadores de daño","เพิ่มม็อด ความเสียหาย เป็นอย่างมาก","超多傷害詞綴"
55,"GreatlyMoreCurse","Greatly more Curse modifiers","Considérablement davantage de modificateurs de Malédictions","Wesentlich mehr Fluch-Modifikatoren","呪いモッドがとても出現しやすい","저주 속성 부여 크게 증가","Muito mais modificadores de Maldições","Намного больше свойств проклятий","Muchos más modificadores de maldiciones","เพิ่มม็อด คำสาป เป็นอย่างมาก","超多詛咒詞綴"
56,"GreatlyMoreCritical","Greatly more Critical modifiers","Considérablement davantage de modificateurs de Critiques","Wesentlich mehr kritische Modifikatoren","クリティカルモッドがとても出現しやすい","치명타 속성 부여 크게 증가","Muito mais modificadores de Crítico","Намного больше свойств критического удара","Muchos más modificadores de crítico","เพิ่มม็อด คริติคอล เป็นอย่างมาก","超多暴擊詞綴"
57,"GreatlyMoreCold","Greatly more Cold modifiers","Considérablement davantage de modificateurs de Froid","Wesentlich mehr Kälte-Modifikatoren","冷気モッドがとても出現しやすい","냉기 속성 부여 크게 증가","Muito mais modificadores de Gelo","Намного больше свойств холода","Muchos más modificadores de hielo","เพิ่มม็อด น้ำแข็ง เป็นอย่างมาก","超多冰冷詞綴"
58,"GreatlyMoreChaos","Greatly more Chaos modifiers","Considérablement davantage de modificateurs de Chaos","Wesentlich mehr Chaos-Modifikatoren","混沌モッドがとても出現しやすい","카오스 속성 부여 크게 증가","Muito mais modificadores de Caos","Намного больше свойств хаоса","Muchos más modificadores de caos","เพิ่มม็อด เคออส เป็นอย่างมาก","超多混沌詞綴"
59,"GreatlyMoreCaster","Greatly more Caster modifiers","Considérablement davantage de modificateurs de Sorts","Wesentlich mehr Zaubermodifikatoren","キャスターモッドがとても出現しやすい","시전 속성 부여 크게 증가","Muito mais modificadores de Conjuração","Намного больше свойств чар","Muchos más modificadores de lanzador de hechizos","เพิ่มม็อด นักเวท เป็นอย่างมาก","超多法術詞綴"
60,"GreatlyMoreAura","Greatly more Aura modifiers","Considérablement davantage de modificateurs d'Auras","Wesentlich mehr Aura-Modifikatoren","オーラモッドがとても出現しやすい","오라 속성 부여 크게 증가","Muito mais modificadores de Auras","Намного больше свойств аур","Muchos más modificadores de aura","เพิ่มม็อด ออร่า เป็นอย่างมาก","超多光環詞綴"
61,"GreatlyMoreAttribute","Greatly more Attribute modifiers","Considérablement davantage de modificateurs d'Attributs","Wesentlich mehr Attribut-Modifikatoren","能力値モッドがとても出現しやすい","능력치 속성 부여 크게 증가","Muito mais modificadores de Atributos","Намного больше свойств характеристик","Muchos más modificadores de atributos","เพิ่มม็อด ค่าคุณสมบัติ เป็นอย่างมาก","超多能力詞綴"
62,"GreatlyMoreAttack","Greatly more Attack modifiers","Considérablement davantage de modificateurs d'Attaque","Wesentlich mehr Angriffsmodifikatoren","アタックモッドがとても出現しやすい","공격 속성 부여 크게 증가","Muito mais modificadores de Ataque","Намного больше свойств атак","Muchos más modificadores de ataque","เพิ่มม็อด โจมตี เป็นอย่างมาก","超多攻擊詞綴"
63,"GreatlyMoreAilment","Greatly more Ailment modifiers","Considérablement davantage de modificateurs d'Altérations","Wesentlich mehr Beeinträchtigungsmodifikatoren","状態異常モッドがとても出現しやすい","상태 이상 속성 부여 크게 증가","Muito mais modificadores de Afecções","Намного больше свойств состояний","Muchos más modificadores de estados alterados","เพิ่มม็อด สถานะ เจ็บป่วย เป็นอย่างมาก","超多異常狀態詞綴"
64,"NoResistance","No Resistance modifiers","Aucun modificateur de Résistance","Keine Widerstandsmodifikatoren","耐性モッドが出現しない","저항 속성 부여 없음","Sem modificadores de Resistências","Нет свойств сопротивлений","Ningún modificador de resistencia","ไม่ออกม็อด ค่าต้านทาน","沒有抗性詞綴"
65,"NoMinion","No Minion modifiers","Aucun modificateur de Créature","Keine Kreatur-Modifikatoren","ミニオンモッドが出現しない","소환수 속성 부여 없음","Sem modificadores de Lacaios","Нет свойств приспешников","Ningún modificador de esbirros","ไม่ออกม็อด มิเนียน","沒有召喚物詞綴"
66,"NoGem","No Gem modifiers","Aucun modificateur de Gemme","Keine Gemmen-Modifikatoren","ジェムモッドが出現しない","젬 속성 부여 없음","Sem modificadores de Gemas","Нет свойств камней","Ningún modificador de gemas","ไม่ออกม็อด หิน","沒有寶石詞綴"
67,"NoDamage","No Damage modifiers","Aucun modificateur de Dégâts","Keine Schadensmodifikatoren","ダメージモッドが出現しない","피해 속성 부여 없음","Sem modificadores de Dano","Нет свойств урона","Ningún modificador de daño","ไม่ออกม็อด ความเสียหาย","沒有傷害詞綴"
68,"NoCurse","No Curse modifiers","Aucun modificateur de Malédiction","Keine Fluch-Modifikatoren","呪いモッドが出現しない","저주 속성 부여 없음","Sem modificadores de Maldições","Нет свойств проклятий","Ningún modificador de maldiciones","ไม่ออกม็อด คำสาป","沒有詛咒詞綴"
69,"NoCaster","No Caster modifiers","Aucun modificateur de Sort","Keine Zaubermodifikatoren","キャスターモッドが出現しない","시전 속성 부여 증가","Sem modificadores de Conjuração","Нет свойств чар","Ningún modificador de lanzador de hechizos","ไม่ออกม็อด นักเวท","沒有法術詞綴"
70,"NoAura","No Aura modifiers","Aucun modificateur d'Aura","Keine Aura-Modifikatoren","オーラモッドが出現しない","오라 속성 부여 없음","Sem modificadores de Auras","Нет свойств аур","Ningún modificador de aura","ไม่ออกม็อด ออร่า","沒有光環詞綴"
71,"NoAttack","No Attack modifiers","Aucun modificateur d'Attaque","Keine Angriffsmodifikatoren","アタックモッドが出現しない","공격 속성 부여 없음","Sem modificadores de Ataque","Нет свойств атак","Ningún modificador de ataque","ไม่ออกม็อด โจมตี","沒有攻擊詞綴"
72,"NoAilment","No Ailment modifiers","Aucun modificateur d'Altération","Keine Beeinträchtigungsmodifikatoren","状態異常モッドが出現しない","상태 이상 속성 부여 없음","Sem modificadores de Afecções","Нет свойств состояний","Ningún modificador de estados alterados","ไม่ออกม็อด สถานะ เจ็บป่วย","沒有異常狀態詞綴"
73,"MoreResistance","More Resistance modifiers","Davantage de modificateurs de Résistances","Mehr Widerstandsmodifikatoren","耐性モッドが出現しやすい","저항 속성 부여 증가","Mais modificadores de Resistências","Больше свойств сопротивлений","Más modificadores de resistencia","เพิ่มม็อด ค่าต้านทาน","更多抗性詞綴"
74,"MoreMinion","More Minion modifiers","Davantage de modificateurs de Créatures","Mehr Kreatur-Modifikatoren","ミニオンモッドが出現しやすい","소환수 속성 부여 증가","Mais modificadores de Lacaios","Больше свойств приспешников","Más modificadores de esbirros","เพิ่มม็อด มิเนียน","更多召喚物詞綴"
75,"MoreGem","More Gem modifiers","Davantage de modificateurs de Gemmes","Mehr Gemmen-Modifikatoren","ジェムモッドが出現しやすい","젬 속성 부여 증가","Mais modificadores de Gemas","Больше свойств камней","Más modificadores de gemas","เพิ่มม็อด หิน","更多寶石詞綴"
76,"MoreDamage","More Damage modifiers","Davantage de modificateurs de Dégâts","Mehr Schadensmodifikatoren","ダメージモッドが出現しやすい","피해 속성 부여 증가","Mais modificadores de Dano","Больше свойств урона","Más modificadores de daño","เพิ่มม็อด ความเสียหาย","更多傷害詞綴"
77,"MoreCurse","More Curse modifiers","Davantage de modificateurs de Malédictions","Mehr Fluch-Modifikatoren","呪いモッドが出現しやすい","저주 속성 부여 증가","Mais modificadores de Maldições","Больше свойств проклятий","Más modificadores de maldiciones","เพิ่มม็อด คำสาป","更多詛咒詞綴"
78,"MoreAura","More Aura modifiers","Davantage de modificateurs d'Auras","Mehr Aura-Modifikatoren","オーラモッドが出現しやすい","오라 속성 부여 증가","Mais modificadores de Auras","Больше свойств аур","Más modificadores de aura","เพิ่มม็อด ออร่า","更多光環詞綴"
79,"MoreAilment","More Ailment modifiers","Davantage de modificateurs d'Altérations","Mehr Beeinträchtigungsmodifikatoren","状態異常モッドが出現しやすい","상태 이상 속성 부여 증가","Mais modificadores de Afecções","Больше свойств состояний","Más modificadores de estados alterados","เพิ่มม็อด สถานะ เจ็บป่วย","更多異常狀態詞綴"
