"rownum","rid","rid","[i32]","string","bool","[rid]"
72,0,7,[16203],"","",[]
73,1,7,[16204],"","",[]
74,3,7,[16205],"","",[]
75,2,7,[16206],"","",[]
76,9,7,[16207],"","",[]
77,7,7,[16208],"","",[]
78,28,7,[16210],"","",[]
79,27,7,[16210],"","",[]
80,31,7,[16211],"","",[]
81,10,7,[16212],"","",[]
82,7,8,[17082],"","",[]
83,1,8,[17084],"","",[]
84,3,8,[17085],"","",[]
85,9,8,[17086],"","",[]
86,31,8,[17088],"","",[]
87,28,8,[17089],"","",[]
88,27,8,[17090],"","",[]
89,10,8,[17091],"","",[]
90,2,8,[17092],"","",[]
91,0,8,[17093],"","",[]
92,36,9,[17281],"","",[17281]
93,36,10,[17594],"WinAnimation","",[17594]
94,36,11,[17827],"","",[17827]
95,37,9,[17293],"","",[]
96,37,10,[17603],"","",[]
97,37,11,[17838],"","",[]
98,39,9,[17303],"","",[]
99,38,9,[17305],"","",[]
100,38,10,[17611],"","",[]
101,38,11,[17846],"","",[]
102,40,9,[17317],"","",[]
103,4,9,[17319],"","",[]
104,4,10,[17620],"","",[]
105,4,11,[17858],"","",[]
106,8,9,[17336],"","",[]
107,8,10,[17628],"","",[]
108,8,11,[17869],"","",[]
109,9,9,[17336],"WinAnimation","",[]
110,9,10,[17628],"WinAnimation","",[]
111,9,11,[17869],"WinAnimation","",[]
112,41,9,[17359],"WinAnimation","",[]
113,41,10,[17644],"WinAnimation","",[]
114,41,11,[17882],"WinAnimation","",[]
115,43,9,[17376],"ImpressedAnimation","",[17376]
116,43,10,[17652],"ImpressedAnimation","",[17652]
117,43,11,[17892],"ImpressedAnimation","",[17892]
118,42,9,[17388],"","",[17388]
119,42,10,[17664],"","",[17664]
120,42,11,[17902],"","",[17902]
121,11,9,[17401],"ImpressedAnimation","",[]
122,11,10,[17676],"ImpressedAnimation","",[]
123,11,11,[17915],"ImpressedAnimation","",[]
124,28,9,[17416],"ImpressedAnimation","",[]
125,28,10,[17685],"ImpressedAnimation","",[]
126,28,11,[17926],"ImpressedAnimation","",[]
127,27,9,[17416],"WinAnimation","",[]
128,27,10,[17686],"WinAnimation","",[]
129,27,11,[17928],"WinAnimation","",[]
130,31,9,[17416],"WinAnimation","",[]
131,31,10,[17686],"WinAnimation","",[]
132,31,11,[17928],"WinAnimation","",[]
133,2,9,[17427],"LoseAnimation","",[]
134,2,10,[17694],"LoseAnimation","",[]
135,2,11,[17938],"LoseAnimation","",[]
136,44,9,[17443],"WinAnimation","",[]
137,44,10,[17705],"ImpressedAnimation","",[]
138,44,11,[17951],"ImpressedAnimation","",[]
139,45,10,[17714],"LoseAnimation","",[]
140,46,9,[17463],"LoseAnimation","",[]
141,46,10,[17716],"ImpressedAnimation","",[]
142,46,11,[17966],"ImpressedAnimation","",[]
143,47,11,[17976],"ImpressedAnimation","",[17976]
144,48,11,[17983],"ImpressedAnimation","",[17983]
145,49,9,[17474],"ImpressedAnimation","",[17474]
146,49,10,[17727],"ImpressedAnimation","",[17727]
147,49,11,[17985],"ImpressedAnimation","",[17985]
148,50,9,[17484],"","",[17484]
149,50,10,[17738],"","",[17738]
150,50,11,[17990],"","",[17990]
151,51,9,[17489],"","",[]
152,51,10,[17746],"","",[]
153,51,11,[17998],"","",[]
154,52,9,[17505],"WinAnimation","",[]
155,52,10,[17754],"WinAnimation","",[]
156,52,11,[18006],"WinAnimation","",[]
157,53,9,[17512],"WinAnimation","",[]
158,54,9,[17514],"WinAnimation","",[]
159,54,11,[18013],"WinAnimation","",[]
160,55,9,[17518],"","",[]
161,55,10,[17764],"","",[]
162,55,11,[18015],"","",[]
163,56,9,[18424],"","",[]
164,56,10,[18426],"","",[]
165,56,11,[18028],"","",[]
166,57,9,[17529],"","",[]
167,57,10,[17775],"","",[]
168,57,11,[18030],"","",[]
169,58,9,[17531],"","",[]
170,58,10,[17777],"","",[]
171,58,11,[18033],"","",[]
172,59,9,[17534],"","",[]
173,59,10,[17780],"","",[]
174,59,11,[18036],"","",[]
175,60,9,[17536],"","",[]
176,60,10,[17781],"","",[]
177,60,11,[18039],"","",[]
178,61,9,[17538],"","",[]
179,61,10,[17783],"","",[]
180,61,11,[18041],"","",[]
181,62,9,[17541],"","",[]
182,62,10,[17785],"","",[]
183,62,11,[18042],"","",[]
184,63,9,[17543],"","",[]
185,63,10,[17786],"","",[]
186,63,11,[18045],"","",[]
187,64,9,[17546],"","",[]
188,64,10,[17788],"","",[]
189,64,11,[18047],"","",[]
190,65,9,[17548],"","",[]
191,65,10,[17790],"","",[]
192,65,11,[18050],"","",[]
193,66,9,[17549],"","",[]
194,67,9,[],"","",[17558]
195,67,10,[],"","",[17792]
196,67,11,[],"","",[18053]
197,68,9,[],"","",[17566]
198,68,10,[],"","",[17802]
199,68,11,[],"","",[18063]
200,6,9,[17493],"","",[17577]
201,6,10,[17810],"","",[17810]
202,6,11,[18076],"","",[18076]
203,69,9,[],"","",[17587]
204,69,10,[],"","",[17817]
205,69,11,[],"","",[18088]
206,35,9,[18345],"WinAnimation","",[]
207,35,10,[18367],"WinAnimation","",[]
208,35,11,[18385],"WinAnimation","",[]
209,71,9,[17493],"","",[17577]
210,71,10,[17810],"","",[17810]
211,71,11,[18076],"","",[18076]
212,70,9,[18402],"","",[]
213,70,10,[18410],"","",[]
214,70,11,[18416],"","",[]
215,0,9,[17281],"","",[17281]
216,0,10,[17594],"","",[17594]
217,0,11,[17827],"","",[17827]
218,72,9,[17336],"","",[]
219,72,10,[17628],"","",[]
220,72,11,[17869],"","",[]
