"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]","Level2"
10,86,"","","","","","","","","","","","","",13829,2018,660,660,756,756,"","",745,-1245983058,[48],[12812],1,4,[931],"","",2365,2377,"",744,"",744,744,756,756,2377,2365,2377,2377,2377,2377,2365,2365,2365,2365,2365,2365,2365,12757,75,660,2018,660,"",745,"","",[12820],[841],[48]
11,87,"","","","","","","","","","","","","",13825,2019,661,661,"","",746,760,753,-182539987,[68],[12813],1,5,[1024],"","",2370,2382,"",757,"",760,746,757,757,2382,2370,2382,2382,2382,2382,2370,2370,2370,2370,2370,2370,2370,12758,0,661,2019,661,"",753,"",1,[12821],[56],[68]
12,88,"","","","","","","","","","","","","",13826,2025,663,662,"","",748,761,754,910335598,"[73,77]",[12814],1,6,"[205,410]","","",2371,2383,"",758,"",761,748,758,758,2383,2371,2383,2383,2383,2383,2371,2371,2371,2371,2371,2371,2371,12759,0,662,2025,663,"",754,"","",[12822],[0],[]
13,89,"","","","","","","","","","","","","",13827,2026,664,663,"","",752,762,755,1591416724,[],[12815],1,7,[0],"","",2372,2384,"",759,"",762,752,759,759,2384,2372,2384,2384,2384,2384,2372,2372,2372,2372,2372,2372,2372,12760,0,663,2026,664,"",755,"","",[12823],[0],[]
14,90,"","","","","","","","","","","","","",1051,"","",4735,"","","","","",1724552963,[1],[12809],2,1,[700],9722,"","","","",322,"",322,322,322,322,9722,9722,9722,9722,9722,9722,9722,9722,9722,9722,9722,9722,9722,12747,35,4735,2925,2925,2925,322,"","",[12817],[1905],[1]
15,91,"","","","","","","","","","","","","",1052,"","",4736,"","","","","",-1337235593,[12],[12810],2,2,[770],9723,"","","","",323,"",323,323,323,323,9723,9723,9723,9723,9723,9723,9723,9723,9723,9723,9723,9723,9723,12748,45,4736,2926,2926,2926,323,"","",[12818],[1905],[12]
16,92,"","","","","","","","","","","","","",1053,"","",4737,"","","","","",1334812465,[30],[12811],2,3,[847],9724,"","","","",324,"",324,324,324,324,9724,9724,9724,9724,9724,9724,9724,9724,9724,9724,9724,9724,9724,12749,60,4737,2927,2927,2927,324,"","",[12819],[1905],[30]
17,93,"","","","","","","","","","","","","",1054,"","",4738,315,315,"","","",-669856137,[48],[12812],2,4,[931],9725,"","","","",316,"",316,316,315,315,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,9725,12750,75,4738,2928,2928,2928,316,"","",[12820],[841],[48]
18,94,"","","","","","","","","","","","","",1055,"","",4739,"","",318,317,318,181619222,[68],[12813],2,5,[1024],9726,"","","","",316,"",317,318,316,316,9726,9726,9726,9726,9726,9726,9726,9726,9726,9726,9726,9726,9726,12751,0,4739,2929,2929,2929,318,"",1,[12821],[56],[68]
19,95,"","","","","","","","","","","","","",1056,"","",4740,"","",320,318,319,2059925248,"[73,77]",[12814],2,6,"[205,410]",9727,"","","","",317,"",318,320,317,317,9727,9727,9727,9727,9727,9727,9727,9727,9727,9727,9727,9727,9727,12752,0,4740,2930,2930,2930,319,"","",[12822],[0],[]
20,96,"","","","","","","","","","","","","",1057,"","",4741,"","",325,327,326,-1356244188,[],[12815],2,7,[0],9728,"","","","",328,"",327,325,328,328,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728,9728,12753,0,4741,2931,2931,2931,326,"","",[12823],[0],[]
21,97,"","","","","","","","","","","","","",763,"","",4819,763,4819,4819,4819,4819,1018082169,[1],[12809],3,1,[700],"","",1354,1365,"",4819,"",4819,4819,4819,763,1365,1354,1365,1365,1365,1365,1354,1354,1354,1354,1354,1354,1354,12722,35,4819,763,763,763,4819,"","",[12817],[1905],[1]
22,98,"","","","","","","","","","","","","",764,"","",4820,764,4820,4820,4820,4820,829889309,[12],[12810],3,2,[770],"","",1355,1366,"",4820,"",4820,4820,4820,764,1366,1355,1366,1366,1366,1366,1355,1355,1355,1355,1355,1355,1355,12723,45,4820,764,764,764,4820,"","",[12818],[1905],[12]
23,99,"","","","","","","","","","","","","",766,"","",4821,765,4821,4821,4821,4821,2051179612,[30],[12811],3,3,[847],"","",1356,1367,"",4821,"",4821,4821,4821,765,1367,1356,1367,1367,1367,1367,1356,1356,1356,1356,1356,1356,1356,12724,60,4821,766,766,766,4821,"","",[12819],[1905],[30]
24,100,"","","","","","","","","","","","","",768,768,767,4822,785,4822,4822,4822,4822,-743698363,[48],[12812],3,4,[931],"","",1357,1368,"",4822,"",4822,4822,4822,785,1368,1357,1368,1368,1368,1368,1357,1357,1357,1357,1357,1357,1357,12725,75,4822,768,767,"",4822,"","",[12820],[841],[48]
25,101,"","","","","","","","","","","","","",770,770,782,4823,786,4823,4823,4823,4823,-205989316,[68],"[12813,12729]",3,5,[1024],"","",1359,1370,"",4823,"",4823,4823,4823,786,1370,1359,1370,1370,1370,1370,1359,1359,1359,1359,1359,1359,1359,12726,0,4823,770,782,"",4823,"",1,"[12821,12729]",[56],[68]
26,102,"","","","","","","","","","","","","",771,771,783,4824,787,4824,4824,4824,4824,-1738015661,"[73,77]","[12814,12729]",3,6,"[205,410]","","",1360,1371,"",4824,"",4824,4824,4824,787,1371,1360,1371,1371,1371,1371,1360,1360,1360,1360,1360,1360,1360,12727,0,4824,771,783,"",4824,"","","[12822,12729]",[0],[]
27,103,"","","","","","","","","","","","","",781,781,784,4825,788,4825,4825,4825,4825,1330507188,[],"[12815,12729]",3,7,[0],"","",1364,1375,"",4825,"",4825,4825,4825,788,1375,1364,1375,1375,1375,1375,1364,1364,1364,1364,1364,1364,1364,12728,0,4825,781,784,"",4825,"","","[12823,12729]",[0],[]
28,104,"","","","","","","","","","","","","",85,"","","","","","","","",535092733,[12],"[12810,12825]",4,2,[669],"","",9022,9028,"",85,"",85,85,85,85,9028,9022,9028,9028,9028,9028,9022,9022,9022,9022,9022,9022,9022,12716,45,85,85,85,85,85,85,"","[12818,12825]",[1657],[12]
29,105,"","","","","","","","","","","","","",86,"","","","","","","","",-267836319,[30],"[12811,12825]",4,3,[736],"","",9023,9029,"",86,"",86,86,86,86,9029,9023,9029,9029,9029,9029,9023,9023,9023,9023,9023,9023,9023,12717,60,86,86,86,86,86,86,"","[12819,12825]",[1657],[30]
30,106,"","","","","","","","","","","","","",88,"","","","","","","","",-880120152,[48],"[12812,12825]",4,4,[810],"","",9024,9030,"",88,"",88,88,88,88,9030,9024,9030,9030,9030,9030,9024,9024,9024,9024,9024,9024,9024,12718,75,88,88,88,88,88,88,"","[12820,12825]",[731],[48]
31,107,"","","","","","","","","","","","","",89,"","","","","","","","",1066624914,[68],"[12813,12825]",4,5,[891],"","",9025,9031,"",89,"",89,89,89,89,9031,9025,9031,9031,9031,9031,9025,9025,9025,9025,9025,9025,9025,12719,0,89,89,89,89,89,89,1,"[12821,12825]",[49],[68]
32,108,"","","","","","","","","","","","","",91,"","","","","","","","",993214565,"[73,77]","[12814,12825]",4,6,"[178,356]","","",9026,9032,"",91,"",91,91,91,91,9032,9026,9032,9032,9032,9032,9026,9026,9026,9026,9026,9026,9026,12720,0,91,91,91,91,91,91,"","[12822,12825]",[0],[]
33,109,"","","","","","","","","","","","","",94,"","","","","","","","",-558420537,[],"[12815,12825]",4,7,[0],"","",9027,9033,"",94,"",94,94,94,94,9033,9027,9033,9033,9033,9033,9027,9027,9027,9027,9027,9027,9027,12721,0,94,94,94,94,94,94,"","[12823,12825]",[0],[]
34,110,"","","","","","","","","","","","",1853,3122,"","",3122,"","","","","",-36091224,[12],"[12810,12827]",5,2,[669],1841,"","","",1853,3122,"",3122,3122,3122,3122,1853,1841,1853,1853,1853,1853,1841,1841,1841,1841,1841,1841,1841,12656,45,3122,3676,3676,3676,3122,"","","[12818,12827]",[1657],[12]
35,111,"","","","","","","","","","","","",1855,3123,"","",3123,"","","","","",-1327428615,[30],"[12811,12827]",5,3,[736],1843,"","","",1855,3123,"",3123,3123,3123,3123,1855,1843,1855,1855,1855,1855,1843,1843,1843,1843,1843,1843,1843,12657,60,3123,3677,3677,3677,3123,"","","[12819,12827]",[1657],[30]
36,112,"","","","","","","","","","","","",1857,3124,"","",3124,"","","","","",891153638,[48],"[12812,12827]",5,4,[810],1845,"","","",1857,3124,"",3124,3124,3124,3124,1857,1845,1857,1857,1857,1857,1845,1845,1845,1845,1845,1845,1845,12658,75,3124,3678,3678,3678,3124,"","","[12820,12827]",[731],[48]
37,113,"","","","","","","","","","","","",1859,3126,"","",3126,"","","","","",128783824,[68],"[12813,12827]",5,5,[891],1847,"","","",1859,3126,"",3126,3126,3126,3126,1859,1847,1859,1859,1859,1859,1847,1847,1847,1847,1847,1847,1847,12659,0,3126,3679,3679,3679,3126,"",1,"[12821,12827]",[49],[68]
38,114,"","","","","","","","","","","","",1860,3127,"","",3127,"","","","","",-452117587,"[73,77]","[12814,12827]",5,6,"[178,356]",1848,"","","",1860,3127,"",3127,3127,3127,3127,1860,1848,1860,1860,1860,1860,1848,1848,1848,1848,1848,1848,1848,12660,0,3127,3680,3680,3680,3127,"","","[12822,12827]",[0],[]
39,115,"","","","","","","","","","","","",1872,3128,"","",3128,"","","","","",1536872438,[],"[12815,12827]",5,7,[0],1850,"","","",1872,3128,"",3128,3128,3128,3128,1872,1850,1872,1872,1872,1872,1850,1850,1850,1850,1850,1850,1850,12661,0,3128,3681,3681,3681,3128,"","","[12823,12827]",[0],[]
40,116,"","","","","","","","","","","","","",992,"","",4813,982,4813,12279,4813,12279,-475311494,[12],"[12810,12826]",6,2,[669],"","",9992,10030,"",4813,"",4813,12279,4813,982,10030,9992,10030,10030,10030,10030,9992,9992,9992,9992,9992,9992,9992,12680,45,4813,983,983,983,12279,"","","[12818,12826]",[1657],[12]
41,117,"","","","","","","","","","","","","",994,"","",4814,983,4814,12280,4814,12280,1008794806,[30],"[12811,12826]",6,3,[736],"","",9994,10032,"",4814,"",4814,12280,4814,983,10032,9994,10032,10032,10032,10032,9994,9994,9994,9994,9994,9994,9994,12681,60,4814,985,985,985,12280,"","","[12819,12826]",[1657],[30]
42,118,"","","","","","","","","","","","","",996,"","",4815,984,4815,12281,4815,12281,-1179354155,[48],"[12812,12826]",6,4,[810],"","",9996,10034,"",4815,"",4815,12281,4815,984,10034,9996,10034,10034,10034,10034,9996,9996,9996,9996,9996,9996,9996,12682,75,4815,987,987,987,12281,"","","[12820,12826]",[731],[48]
43,119,"","","","","","","","","","","","","",998,"","",4816,985,4816,12282,4816,12282,747230036,[68],"[12813,12826]",6,5,[891],"","",9997,10035,"",4816,"",4816,12282,4816,985,10035,9997,10035,10035,10035,10035,9997,9997,9997,9997,9997,9997,9997,12683,0,4816,989,989,989,12282,"",1,"[12821,12826]",[49],[68]
44,120,"","","","","","","","","","","","","",999,"","",4817,986,4817,12283,4817,12283,-826006652,"[73,77]","[12814,12826]",6,6,"[178,356]","","",9998,10036,"",4817,"",4817,12283,4817,986,10036,9998,10036,10036,10036,10036,9998,9998,9998,9998,9998,9998,9998,12684,0,4817,990,990,990,12283,"","","[12822,12826]",[0],[]
45,121,"","","","","","","","","","","","","",1000,"","",4818,987,4818,12284,4818,12284,-1551618851,[],"[12815,12826]",6,7,[0],"","",9999,10037,"",4818,"",4818,12284,4818,987,10037,9999,10037,10037,10037,10037,9999,9999,9999,9999,9999,9999,9999,12685,0,4818,1001,1001,1001,12284,"","","[12823,12826]",[0],[]
46,122,"","","","","","","","","","","","","",4616,"","",4633,4665,"","",4659,"",697488794,[12],[12810],7,2,[669],"","",20570,20581,"",4633,"",4659,4633,4633,4665,20581,20570,20581,20581,20581,20581,20570,20570,20570,20570,20570,20570,20570,12688,45,4633,4616,4616,4616,4633,"","",[12818],[1657],[12]
47,123,"","","","","","","","","","","","","",4617,"","",4634,4666,"","",4660,"",-185991819,[30],[12811],7,3,[736],"","",20571,20582,"",4634,"",4660,4634,4634,4666,20582,20571,20582,20582,20582,20582,20571,20571,20571,20571,20571,20571,20571,12689,60,4634,4617,4617,4617,4634,"","",[12819],[1657],[30]
48,124,"","","","","","","","","","","","","",4618,"","",4635,4667,"","",4661,"",2034631909,[48],[12812],7,4,[810],"","",20572,20583,"",4635,"",4661,4635,4635,4667,20583,20572,20583,20583,20583,20583,20572,20572,20572,20572,20572,20572,20572,12690,75,4635,4618,4618,4618,4635,"","",[12820],[731],[48]
49,125,"","","","","","","","","","","","","",4619,"","",4636,4668,"","",4662,"",-575837846,[68],[12813],7,5,[891],"","",20577,20584,"",4636,"",4662,4636,4636,4668,20584,20577,20584,20584,20584,20584,20577,20577,20577,20577,20577,20577,20577,12691,0,4636,4619,4619,4619,4636,"",1,[12821],[49],[68]
50,126,"","","","","","","","","","","","","",4620,"","",4637,4669,"","",4663,"",117284401,"[73,77]",[12814],7,6,"[178,356]","","",20578,20585,"",4637,"",4663,4637,4637,4669,20585,20578,20585,20585,20585,20585,20578,20578,20578,20578,20578,20578,20578,12692,0,4637,4620,4620,4620,4637,"","",[12822],[0],[]
51,127,"","","","","","","","","","","","","",4621,"","",4638,4670,"","",4664,"",-779044208,[],[12815],7,7,[0],"","",20579,20586,"",4638,"",4664,4638,4638,4670,20586,20579,20586,20586,20586,20586,20579,20579,20579,20579,20579,20579,20579,12693,0,4638,4621,4621,4621,4638,"","",[12823],[0],[]
52,128,"","","","","","","","","","","","","",947,"","",4860,936,4860,12274,4860,12274,836789809,[30],"[12811,12825]",8,3,[640],"","",9976,10022,"",4860,"",4860,12274,4860,936,10022,9976,10022,10022,10022,10022,9976,9976,9976,9976,9976,9976,9976,12694,60,4860,938,938,938,12274,"","","[12819,12825]",[1441],[30]
53,129,"","","","","","","","","","","","","",949,"","",4861,937,4861,12275,4861,12275,-1267169214,[48],"[12812,12825]",8,4,[704],"","",9978,10024,"",4861,"",4861,12275,4861,937,10024,9978,10024,10024,10024,10024,9978,9978,9978,9978,9978,9978,9978,12695,75,4861,940,940,940,12275,"","","[12820,12825]",[636],[48]
54,130,"","","","","","","","","","","","","",950,"","",4862,938,4862,12276,4862,12276,-1833058895,[68],"[12813,12825]",8,5,[775],"","",9979,10025,"",4862,"",4862,12276,4862,938,10025,9979,10025,10025,10025,10025,9979,9979,9979,9979,9979,9979,9979,12696,0,4862,941,941,941,12276,"",1,"[12821,12825]",[42],[68]
55,131,"","","","","","","","","","","","","",952,"","",4863,939,4863,12277,4863,12277,864068417,"[73,77]","[12814,12825]",8,6,"[155,310]","","",9980,10026,"",4863,"",4863,12277,4863,939,10026,9980,10026,10026,10026,10026,9980,9980,9980,9980,9980,9980,9980,12697,0,4863,943,943,943,12277,"","","[12822,12825]",[0],[]
56,132,"","","","","","","","","","","","","",953,"","",4864,940,4864,12278,4864,12278,222024053,[],"[12815,12825]",8,7,[0],"","",9981,10027,"",4864,"",4864,12278,4864,940,10027,9981,10027,10027,10027,10027,9981,9981,9981,9981,9981,9981,9981,12698,0,4864,954,954,954,12278,"","","[12823,12825]",[0],[]
57,133,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,[30],"[12811,12827,8368]",9,3,[640],"","",9011,9016,"",2,"",2,2,2,2,9016,9011,9016,9016,9016,9016,9011,9011,9011,9011,9011,9011,9011,12739,60,2,2,2,2,2,2,"","[12819,12827,8368]",[1441],[30]
58,134,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,[48],"[12812,12827,8368]",9,4,[704],"","",9012,9017,"",4,"",4,4,4,4,9017,9012,9017,9017,9017,9017,9012,9012,9012,9012,9012,9012,9012,12740,75,4,4,4,4,4,4,"","[12820,12827,8368]",[636],[48]
59,135,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,[68],"[12813,12827,8368]",9,5,[775],"","",9013,9018,"",5,"",5,5,5,5,9018,9013,9018,9018,9018,9018,9013,9013,9013,9013,9013,9013,9013,12741,0,5,5,5,5,5,5,1,"[12821,12827,8368]",[42],[68]
60,136,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,"[73,77]","[12814,12827,8368]",9,6,"[155,310]","","",9014,9019,"",7,"",7,7,7,7,9019,9014,9019,9019,9019,9019,9014,9014,9014,9014,9014,9014,9014,12742,0,7,7,7,7,7,7,"","[12822,12827,8368]",[0],[]
61,137,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,[],"[12815,12827,8368]",9,7,[0],"","",9015,9020,"",10,"",10,10,10,10,9020,9015,9020,9020,9020,9020,9015,9015,9015,9015,9015,9015,9015,12743,0,10,10,10,10,10,10,"","[12823,12827,8368]",[0],[]
62,138,"","","","","","","","","","","","",1961,3281,"","",3281,"","","","","",1046769873,[30],"[12811,12826]",10,3,[640],1949,"",1949,"",1961,3281,"",3281,3281,3281,3281,1961,1949,1961,1961,1961,1961,1949,1949,1949,1949,1949,1949,1949,12669,60,3281,3741,3741,3741,3281,"","","[12819,12826]",[1441],[30]
63,139,"","","","","","","","","","","","",1963,3282,"","",3282,"","","","","",-383181272,[48],"[12812,12826]",10,4,[704],1951,"",1951,"",1963,3282,"",3282,3282,3282,3282,1963,1951,1963,1963,1963,1963,1951,1951,1951,1951,1951,1951,1951,12670,75,3282,3742,3742,3742,3282,"","","[12820,12826]",[636],[48]
64,140,"","","","","","","","","","","","",1965,3284,"","",3284,"","","","","",491155825,[68],"[12813,12826]",10,5,[775],1953,"",1953,"",1965,3284,"",3284,3284,3284,3284,1965,1953,1965,1965,1965,1965,1953,1953,1953,1953,1953,1953,1953,12671,0,3284,3744,3744,3744,3284,"",1,"[12821,12826]",[42],[68]
65,141,"","","","","","","","","","","","",1966,3285,"","",3285,"","","","","",-150361862,"[73,77]","[12814,12826]",10,6,"[155,310]",1954,"",1954,"",1966,3285,"",3285,3285,3285,3285,1966,1954,1966,1966,1966,1966,1954,1954,1954,1954,1954,1954,1954,12672,0,3285,3745,3745,3745,3285,"","","[12822,12826]",[0],[]
66,142,"","","","","","","","","","","","",1978,3286,"","",3286,"","","","","",1926779813,[],"[12815,12826]",10,7,[0],1956,"",1956,"",1978,3286,"",3286,3286,3286,3286,1978,1956,1978,1978,1978,1978,1956,1956,1956,1956,1956,1956,1956,12673,0,3286,3746,3746,3746,3286,"","","[12823,12826]",[0],[]
67,143,"","","","","","","","","","","","","",2888,2006,"","","","","","","",-557327777,[30],[12811],11,3,[640],4420,"","","","",2062,"",2062,2062,2062,2062,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,4420,12761,60,2038,2006,2038,2038,2062,"","",[12819],[1441],[30]
68,144,"","","","","","","","","","","","","",2889,2007,"","",2076,2076,"","",2065,-1074439089,[48],[12812],11,4,[704],4421,"","","","",2064,"",2064,2064,2076,2076,4421,4421,4421,4421,4421,4421,4421,4421,4421,4421,4421,4421,4421,12762,75,2039,2007,2039,2039,2065,"","",[12820],[636],[48]
69,145,"","","","","","","","","","","","","",2890,2008,"","",2077,2077,2066,2072,2080,1419643846,[68],[12813],11,5,[775],4422,"","","","",2077,"",2072,2066,2077,2077,4422,4422,4422,4422,4422,4422,4422,4422,4422,4422,4422,4422,4422,12763,0,2040,2008,2040,2040,2080,"",1,[12821],[42],[68]
70,146,"","","","","","","","","","","","","",2891,2011,"","",2078,2078,2068,2073,2081,2044538361,"[73,77]",[12814],11,6,"[155,310]",4423,"","","","",2078,"",2073,2068,2078,2078,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,4423,12764,0,2041,2011,2041,2041,2081,"","",[12822],[0],[]
71,147,"","","","","","","","","","","","","",2892,2012,"","",2079,2079,2070,2074,2082,-444339820,[],[12815],11,7,[0],4424,"","","","",2079,"",2074,2070,2079,2079,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,4424,12765,0,2043,2012,2043,2043,2082,"","",[12823],[0],[]
72,148,"","","","","","","","","","","","","",902,"","",6466,890,6466,12270,6466,12270,-964777382,[48],"[12812,12827,12876]",12,4,[612],"","",9960,10014,"",6466,"",6466,12270,6466,890,10014,9960,10014,10014,10014,10014,9960,9960,9960,9960,9960,9960,9960,12731,75,6466,893,893,893,12270,"","","[12820,12827,12876]",[553],[48]
73,149,"","","","","","","","","","","","","",904,"","",6467,891,6467,12271,6467,12271,1027011185,[68],"[12813,12827,12876]",12,5,[673],"","",9961,10015,"",6467,"",6467,12271,6467,891,10015,9961,10015,10015,10015,10015,9961,9961,9961,9961,9961,9961,9961,12732,0,6467,895,895,895,12271,"",1,"[12821,12827,12876]",[37],[68]
74,150,"","","","","","","","","","","","","",905,"","",6468,892,6468,12272,6468,12272,-1839053998,"[73,77]","[12814,12827,12876]",12,6,"[135,269]","","",9962,10016,"",6468,"",6468,12272,6468,892,10016,9962,10016,10016,10016,10016,9962,9962,9962,9962,9962,9962,9962,12733,0,6468,896,896,896,12272,"","","[12822,12827,12876]",[0],[]
75,151,"","","","","","","","","","","","","",906,"","",6469,893,6469,12273,6469,12273,1845632009,[],"[12815,12827,12876]",12,7,[0],"","",9963,10017,"",6469,"",6469,12273,6469,893,10017,9963,10017,10017,10017,10017,9963,9963,9963,9963,9963,9963,9963,12734,0,6469,907,907,907,12273,"","","[12823,12827,12876]",[0],[]
76,152,"","","","","","","","","","","","","",3036,3036,3048,3573,3048,9448,"","",6100,-1618168670,[48],[12812],13,4,[612],4017,"","","","",6683,"",6683,6683,9448,3048,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,4017,12709,75,3573,3036,3048,"",6100,"","",[12820],[553],[48]
77,153,"","","","","","","","","","","","","",3037,3037,3049,3574,3049,9449,"","",6101,-2058874949,[68],[12813],13,5,[673],4018,"","","","",6684,"",6684,6684,9449,3049,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,4018,12710,0,3574,3037,3049,"",6101,"",1,[12821],[37],[68]
78,154,"","","","","","","","","","","","","",3038,3038,3050,3575,3050,9450,"","",6102,-697952158,"[73,77]",[12814],13,6,"[135,269]",4019,"","","","",6685,"",6685,6685,9450,3050,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,4019,12711,0,3575,3038,3050,"",6102,"","",[12822],[0],[]
