"rownum","MTX","TierThresholds","rid","[i32]","rid","TierCount","[rid]","[i32]","[i32]","bool","bool","rid","bool"
36,3884,"[0,1,3,5,7,9,11,13]",2648,[],8447,8,[],[],[],"","","",""
37,3818,"[0,1,10,15,20,25]",16151,[],"",6,[],[],[],"","","",""
38,3848,"[0,50,100,150,200,250,300,350]",571,[],572,8,[],[],[],"","","",""
39,3849,"[0,50,100,150,200,250,300,350]",577,[],578,8,[],[],[],"","","",""
40,3850,"[0,50,100,150,200,250,300,350]",574,[],575,8,[],[],[],"","","",""
41,3851,"[0,100,200,300,400,500,600,700]",16927,[],604,8,[],[],[],"","","",""
42,3852,"[0,50,100,150,200,250,300,350]",15400,[],17292,8,[],[],[],"","","",""
43,3993,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
44,3992,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
45,3991,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
46,3994,"[0,50,100,150,200]",778,[],153,5,[],[],[],"","","",""
47,5061,"[0,10,20,30,40,50,60]",16161,[],"",7,[],[],[],"","","",""
48,3819,"[0,12,20,29]",16795,[48],"",4,[],[],[],1,"","",""
49,3820,"[0,14,22,32]",16795,[48],"",4,[],[],[],1,"","",""
50,3824,"[0,16,24,35]",16795,[48],"",4,[],[],[],1,"","",""
51,3822,"[0,18,26,38]",16795,[48],"",4,[],[],[],1,"","",""
52,4019,"[0,20,50,100]",16675,[],"",4,[],[],[],"","","",""
53,4021,"[0,20,50,100]",16675,[],"",4,[],[],[],"","","",""
54,4020,"[0,20,50,100]",16675,[],"",4,[],[],[],"","","",""
55,4022,"[0,20,50,100]",16675,[],"",4,[],[],[],"","","",""
56,3836,"[0,30,65,100,150,200]",1419,[],25,6,[],[],[],"","","",""
57,4051,"[0,10,20,30]",0,[],"",4,[],[],[],1,"","",""
58,4037,"[0,25,50,75]",242,[],177,4,[],[],[],"","","",""
59,3973,"[0,100000,1000000]",16252,[],"",3,[],[],[],1,"","",""
60,4088,"[0,18,26,38]",17430,[50],"",4,[],[],[],1,"","",""
61,4085,"[0,16,24,35]",17430,[50],"",4,[],[],[],1,"","",""
62,4087,"[0,12,20,29]",17430,[50],"",4,[],[],[],1,"","",""
63,4086,"[0,14,22,32]",17430,[50],"",4,[17482],[1],[4],1,"","",""
64,4077,"[1,34,70,90,120]",17627,[],123,5,[],[],[],"","","",""
65,4108,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
66,4109,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
67,4110,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
68,4111,"[0,22,55,88]",242,[],177,4,[],[],[],"","","",""
69,4141,"[0,1]",365,[],"",2,[],[],[],"","","",""
70,5184,"[0,1,2]",366,[],"",3,[],[],[],"","","",""
71,4294,"[0,1000,5000,10000,15000,20000]",240,[],116,6,[],[],[],"","","",""
72,4252,"[0,18,26,38,38]",18346,"[52,53]",18280,5,"[18422,18422,17778,18422]","[1,1,1,1]","[3,4,5,5]",1,"","",""
73,4249,"[0,16,24,35]",18346,"[52,53]",18280,4,[],[],[],1,"","",""
74,4251,"[0,12,20,29]",18346,"[52,53]",18280,4,[],[],[],1,"","",""
75,4250,"[0,14,22,32]",18346,"[52,53]",18280,4,[],[],[],1,"","",""
76,4321,"[0,10,20,50,100,150,200]",18493,[],"",7,[],[],[],"","","",""
77,4335,"[1,1]",0,[],"",2,[],[],[],"","","",""
78,4390,[],"",[],"",0,[],[],[],"",1,18804,1
79,4430,"[0,2000,5000]",18867,[],"",3,[],[],[],"","","",""
80,4432,"[0,2000,5000]",18867,[],"",3,[],[],[],"","","",""
81,4433,"[0,2000,5000]",18867,[],"",3,[],[],[],"","","",""
82,4434,"[0,2000,5000]",18867,[],"",3,[],[],[],"","","",""
83,4429,"[0,5,10,15,20,25,30,35,40,45,50,55,60,65,70]",0,[],"",15,[],[],[],"","","",""
84,4343,"[0,22,29,35,35]",18962,"[54,55]",18960,5,[],[],[],1,"","",""
85,4340,"[0,24,32,38]",18962,"[54,55]",18960,4,[],[],[],1,"","",""
86,4342,"[0,20,26]",18962,"[54,55]",18960,3,[],[],[],1,"","",""
87,4484,"[1,1,1,1]",365,[],"",4,"[19057,19057,19057,19057]","[1,2,3,4]","[1,2,3,4]","","","",1
88,4512,"[0,0]",365,[],"",2,"[17645,17645]","[0,1]","[1,2]","","","",1
89,4500,"[0,0]",365,[],"",2,[],[],[],"","","",""
90,4503,"[0,0]",365,[],"",2,[],[],[],"","","",""
91,4502,"[0,0]",365,[],"",2,[],[],[],"","","",""
92,4501,"[0,0]",365,[],"",2,[],[],[],"","","",""
93,4507,"[0,0,0,0]",365,[],"",4,"[19250,19250,19250,19250]","[1,2,3,4]","[1,2,3,4]","","","",1
94,4544,"[0,22,28,35,35]",19598,"[59,60]",19596,5,[19588],[1],[3],1,"","",""
95,4542,"[0,26]",19598,"[59,60]",19596,2,[1366],[115],[2],1,"","",""
96,4543,"[0,20,32]",19598,"[59,60]",19596,3,[19599],[1],[3],1,"","",""
97,4541,"[0,0,24,38]",19598,"[59,60]",19596,4,[19431],[1],[4],1,"","",""
98,4520,"[0,0]",365,[],"",2,[19625],[1],[2],"","","",""
99,4743,"[0,24,28,38]",20266,"[61,62]",20264,4,[19926],[1],[4],1,"","",""
100,4746,"[0,22,26,35]",20266,"[61,62]",20264,4,[20225],[1],[4],1,"","",""
101,4745,"[0,20,32]",20266,"[61,62]",20264,3,[19986],[1],[3],1,"","",""
102,4764,"[0,0]",365,[],"",2,[],[],[],"","","",""
