"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]","i32","bool","i32"
21,"UniqueCorruptionVaalStrongboxJeweller",1727,3217,58,[4463],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",90,[],56,1,16777216
22,"UniqueCorruptionVaalStrongboxJewellerLow",1727,3217,33,[4463],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",91,[],56,1,16777216
23,"UniqueCorruptionVaalStrongboxJewellerHigh",1727,3217,0,[4463],14,[],"Metadata/Chests/StrongBoxes/VaalStrongbox.ao",1,"[7191,0]","",92,[],56,1,16777216
24,"UniqueRevivingEzomyteStrongboxLarge",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",97,[],60,"",0
25,"UniqueRevivingEzomyteStrongboxLargeLow",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",98,[],60,"",0
26,"UniqueRevivingEzomyteStrongboxLargeHigh",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",99,[],60,"",0
27,"UniqueRevivingEzomyteStrongboxBasic",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",100,[],60,"",0
28,"UniqueRevivingEzomyteStrongboxBasicLow",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",101,[],60,"",0
29,"UniqueRevivingEzomyteStrongboxBasicHigh",1728,3218,0,"[7193,7466]",500,[],"Metadata/Chests/StrongBoxes/EzomyteStrongBox.ao",1,[],"",102,[],60,"",0
30,"UniqueVentorsMysteryBox",1729,3219,0,"[13373,13374,13375,13377]",1000,[],"Metadata/Chests/StrongBoxes/VentorStrongbox/VentorStrongbox.ao",1,[13376],"",95,[],60,"",0
31,"UniqueEtchedBeetleChestOrnate",1730,3220,51,"[13431,13433]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",103,[],60,"",0
32,"UniqueEtchedBeetleChestOrnateLow",1730,3220,20,"[13431,13433]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",104,[],60,"",0
33,"UniqueEtchedBeetleChestOrnateHigh",1730,3220,0,"[13431,13433]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",105,[],60,"",0
34,"UniqueEtchedBeetleChestJeweller",1730,3220,51,"[13432,13434]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",90,[],60,"",0
35,"UniqueEtchedBeetleChestJewellerLow",1730,3220,20,"[13432,13434]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",91,[],60,"",0
36,"UniqueEtchedBeetleChestJewellerHigh",1730,3220,0,"[13432,13434]",500,[],"Metadata/Chests/StrongBoxes/Unique/LargeEtchedBeetleBossChest.ao",1,[],"",92,[],60,"",0
