"rownum","Id","Stats","StatValues","Name","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc","CurseDesc","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
26,"AfflictionSanctumRecovery",[17080],[-50],"Unquenched Thirst","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirstIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnquenchedThirst","","50% reduced Resolve recovered",5,0,"",[],[9120],"",5,0,"","",38381
27,"BoonSanctumRecovery",[17080],[50],"Rusted Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescryIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustyDescry","50% increased Resolve recovered","",5,0,"",[],[9119],"",5,0,"","",45794
28,"AfflictionViewRoomsAhead",[17081],[-1],"Black Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmoke","","You can see one fewer room ahead on the Sanctum Map",5,0,"",[],[9120],"",5,0,"","",34448
29,"BoonViewRoomsAhead",[17081],[1],"Scrying Crystal","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystalIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystal","You can see an additional room ahead on the Sanctum Map","",5,0,"",[],[9119],"",5,0,"","",44243
30,"AfflictionMerchantCost",[17086],[50],"Unhallowed Ring","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRingIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRing","","50% increased Merchant prices",5,0,1,[],[9120],"",5,0,"","",11449
31,"BoonMerchantCost",[17086],[-50],"Silver Tongue","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongueIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongue","50% reduced Merchant prices","",5,0,1,[],[9119],"",5,0,"","",24536
32,"BoonDisableTraps",[17085],[1],"Imperial Seal","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSealIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSeal","Traps are Disabled","",5,0,"",[7],[9119],"",5,0,"","",44836
33,"BoonBlockXHitsEachRoom",[17091],[1],"Silver Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescry","Ignore the first Resolve lost from Hits in each room","",5,0,"",[7],[9119],"",5,0,"","",8698
34,"AfflictionLoseAllGoldOnFloorComplete",[17092],[1],"Floor Tax","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTaxIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTax","","Lose all Aureus on floor completion",5,0,"",[],[9120],"",5,0,"","",38121
35,"BoonHealOnRoomComplete",[17093],[15],"Golden Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescry","Recover +15 Resolve on room completion","",5,0,"",[7],[9119],"",5,0,"","",17551
36,"BoonSanctumDamageCooldown",[17095],[1000],"Bronze Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescry","Ignore Resolve lost for 1 second after losing Resolve from a Hit","",5,0,"",[7],[9119],"",5,0,"","",17929
37,"BoonHealOnPercentHealth","[17104,17105]","[20,50]","Glowing Orb","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrbIcon",0,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrb","The next time you go below 20% Resolve, heal for 50% Resolve","",5,0,"",[],[9119],"",5,0,"","",3157
38,"BoonShieldAtStartOfFloor",[17191],[100],"Gilded Lyre","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyreIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyre","Gain +100 Inspiration at the start of each floor","",5,0,"",[],[9119],"",5,0,"","",40522
39,"BoonShieldOnGainAffliction",[17193],[30],"Rusted Chimes","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimesIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimes","Gain +30 Inspiration when you gain an Affliction","",5,0,"",[],[9119],"",5,0,"","",37341
40,"BoonSanctumDamageTakenWithSanctumShield",[17194],[-40],"Mellifluous Chorus","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluousChorusIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluous","40% less Resolve lost while you have Inspiration","",5,0,"",[],[9119],"",5,0,"","",57101
41,"AfflictionHideRoomAll",[17231],[1],"Veiled Sight","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSightIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSight","","Rooms are unknown on the Sanctum Map",5,0,"",[],[9120],"",5,0,"","",43384
42,"AfflictionHideRoomEncounter",[17232],[1],"Red Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmoke","","Room types are unknown on the Sanctum Map",5,0,"",[],[9120],"",5,0,"","",17084
43,"AfflictionHideRoomReward",[17233],[1],"Golden Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmoke","","Rewards are unknown on the Sanctum Map",5,0,"",[],[9120],"",5,0,"","",1198
44,"AfflictionHideRoomAffliction",[17234],[1],"Purple Smoke","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmoke","","Afflictions are unknown on the Sanctum Map",5,0,"",[],[9120],"",5,0,"","",28906
45,"AfflictionResolveLossIsFatal3",[17250],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,46,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScythe","","Losing Resolve ends your Sanctum\r\n(removed after 3 rooms)",5,0,"",[],[9120],"",5,0,"","",32300
46,"AfflictionResolveLossIsFatal2",[17250],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,47,"","","Losing Resolve ends your Sanctum\r\n(removed after 2 rooms)",5,0,"",[],[9120],45,5,0,"","",32300
47,"AfflictionResolveLossIsFatal1",[17250],[1],"Ghastly Scythe","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,"","","","Losing Resolve ends your Sanctum\r\n(removed after 1 room)",5,0,"",[],[9120],45,5,0,1,"",32300
48,"BoonGainShieldIfNoSanctumDamageTaken2",[],[],"Lilting Melody","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,1,2,49,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelody","Gain 150 Inspiration if you complete the next 2 rooms without losing Resolve or Inspiration","",5,0,"",[],[9119],"",5,0,"","",35508
49,"BoonGainShieldIfNoSanctumDamageTaken1",[17192],[150],"Lilting Melody","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,1,2,"","","Gain 150 Inspiration if you complete the next room without losing Resolve or Inspiration","",5,0,"",[],[9119],48,5,0,1,"",35508
50,"BoonDefyDeathOnce",[17248],[75],"Priest's Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescryIcon",2,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescry","Upon reaching 0 Resolve, revive with 75% of Maximum Resolve once","",5,0,"",[7],[9119],"",5,0,"","",5686
51,"BoonDefyDeathRemoveBoon",[17249],[50],"Holy Descry","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescry","Upon reaching 0 Resolve, revive with full Resolve, lose 50% of your current Maximum Resolve, and remove a random Boon","",5,0,"",[7],[9119],"",5,0,"","",39513
52,"BoonPreventMinorAfflictions",[17245],[1],"Crystal Chalice","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChaliceIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChalice","You cannot receive any more Minor Afflictions","",5,0,"",[7],[9119],"",5,0,"","",52811
53,"AfflictionPreventBoons",[17246],[1],"Unassuming Brick","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrickIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnassumingBrick","","You cannot gain any more Boons",5,0,"",[],[9120],"",5,0,"","",50613
54,"BoonCannotLoseResolve",[17247],[1],"Prayer Beads","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeadsIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPrayerBeads","Cannot lose Resolve until you complete the next room","",5,0,"",[],[9119],"",5,0,1,"",26808
55,"AfflictionLose%ResolveOnRoomCompletion",[17295],[5],"Spiked Exit","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntranceIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseSpikedEntrance","","Lose 5% of current Resolve on room completion",5,0,"",[],[9120],"",5,0,"","",53929
56,"AfflictionNoMinimap","[17296,17303]","[1,-90]","Tattered Blindfold","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfoldIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTatteredBlindfold","","90% reduced Light Radius\r\nMinimap is hidden",5,0,"",[],[9120],"",5,0,"","",48875
57,"AfflictionCannotGainGold",[17297],[1],"Cutpurse","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurseIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseCutpurse","","You cannot gain Aureus coins",5,0,"",[],[9120],"",5,0,"","",44526
58,"AfflictionDamageTakenOnLowResolve",[17298],[100],"Voodoo Doll","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDollIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVoodooDoll","","100% more Resolve lost while Resolve is below 50%",5,0,"",[],[9120],"",5,0,"","",18740
59,"BoonHealFromGold",[17299],[100],"Bronze Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeCoin","Picking up Aureus coins recovers Resolve","",5,0,"",[7],[9119],"",5,0,"","",42759
60,"BoonDoubleGoldThisFloor",[17301],[1],"Gold Mine","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMineIcon",4,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldMine","Aureus coins found on this floor are doubled","",5,0,"",[],[9119],"",5,0,"","",50425
61,"BoonDoubleGold",[17300],[1],"Gold Coin","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoinIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldCoin","Aureus coins found are doubled","",5,0,"",[7],[9119],"",5,0,"","",12732
62,"AfflictionWrongRoom",[17302],[33],"Deceptive Mirror","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirrorIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseMirror","","You are not always taken to the room you select",5,0,"",[],[9120],"",5,0,"","",14131
63,"AfflictionNoResolveRecoveredThisFloor",[17077],[1],"Haemorrhage","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhageIcon",3,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHaemorrhage","","You cannot recover Resolve (removed after killing the next Floor Boss)",5,0,"",[],[9120],"",5,0,"","",34171
64,"BoonRevealWholeFloor",[17305],[1],"All-Seeing Eye","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEyeIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAllSeeingEye","The Sanctum Map is fully revealed","",5,0,"",[7],[9119],"",5,0,"","",9121
65,"BoonTrapSpeed",[17024],[1],"Lustrous Pearl","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearlIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousPearl","Traps are slower","",5,0,"",[],[9119],"",5,0,"","",51140
66,"BoonMonsterReducedActionSpeed",[17546],[20],"Viscous Ichor","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchorIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonViciousIchor","Monsters have 20% reduced Action Speed","",5,0,"",[],[9119],"",5,0,"","",57507
67,"BoonMonsterReducedSanctumDamage",[17662],[-25],"Wooden Effigy","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigyIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonWoodenEffigy","Monsters impact 25% less Resolve","",5,0,"",[],[9119],"",5,0,"","",46977
68,"BoonMonsterReducedMaximumLife",[988],[-30],"Sanguine Vial","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVialIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSanguineVial","Monsters have 30% less Maximum Life","",5,0,"",[],[9119],"",5,0,"","",41741
69,"BoonPlayerMoreDamage",[17579],[50],"Ornate Dagger","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDaggerIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFancyDagger","You and your minions deal 50% more Damage","",5,0,"",[],[9119],"",5,0,"","",29924
70,"BoonInstaKillGuards10",[17395],[10],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBlade","The next 10 Guards you Hit are killed Instantly","",5,0,"",[],[9119],"",5,0,"","",6090
71,"BoonInstaKillGuards9",[17395],[9],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 9 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
72,"BoonInstaKillGuards8",[17395],[8],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 8 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
73,"BoonInstaKillGuards7",[17395],[7],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 7 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
74,"BoonInstaKillGuards6",[17395],[6],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 6 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
75,"BoonInstaKillGuards5",[17395],[5],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 5 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
76,"BoonInstaKillGuards4",[17395],[4],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 4 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
77,"BoonInstaKillGuards3",[17395],[3],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 3 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
78,"BoonInstaKillGuards2",[17395],[2],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 2 Guards you Hit are killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
79,"BoonInstaKillGuards1",[17395],[1],"Assassin's Blade","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next Guard you Hit is killed Instantly","",5,0,"",[],[9119],70,5,0,"","",6090
80,"BoonIncreasedRelicEffect",[17428],[30],"Enchanted Urn","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrnIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrn","30% increased Effect of your non-Unique Relics","",5,0,"",[],[9119],"",5,0,"",1,38167
