"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","string"
116,116,869,20,"",0,1,"","","",0,10,400,"",4,"","","",0,1,1,1,1,"",""
117,117,868,20,"",10,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
118,118,859,20,3888,0,1,"","","",0,10,-50,"",4,"","","",0,1,1,1,1,"",""
119,119,870,20,3799,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
120,120,867,20,"",0,"","",1,"",0,3,0,1,4,"","","",0,1,1,1,1,"",""
121,121,871,31,3897,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
122,122,879,31,3956,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
123,123,884,31,4034,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
124,124,886,20,4181,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
125,125,887,20,4057,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
126,126,889,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
127,127,890,20,4060,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
128,128,891,20,4061,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
129,129,894,20,4088,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
130,130,895,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
131,131,899,20,4162,0,1,1,1,"",0,7,100,1,4,"","","",0,1,1,1,1,"",""
132,132,900,29,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
133,133,904,20,4369,0,1,"","","",0,15,0,"",3,"","","",0,1,1,1,1,"",""
134,134,912,20,"",0,"",1,1,"",0,5,0,"",4,"","","",0,1,1,1,1,"",""
135,135,919,20,"",0,1,1,1,"",0,5,0,"",4,"","","",0,1,1,1,1,"",""
136,136,920,20,4253,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
137,137,909,20,4196,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
138,138,940,20,3799,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
139,139,1045,20,5121,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
140,140,943,20,3799,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
141,141,944,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
142,142,945,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
143,143,946,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
144,144,954,31,4516,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
145,145,957,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1,"",""
146,146,959,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
147,147,961,20,"",0,"","","","",0,20,0,"",4,"","","",0,1,1,1,1,"",""
148,148,967,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
149,149,969,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
150,150,956,20,4710,0,1,1,"","",0,15,50,"",4,"","","",0,1,1,1,1,"",""
151,151,972,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
152,152,979,20,4671,0,"","","","",0,15,300,"",4,"","","",0,1,1,1,1,"",""
153,153,982,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1,"",""
154,154,986,20,4754,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
155,155,990,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
156,156,997,20,4706,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
157,157,987,20,4755,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
158,158,988,20,4756,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
159,159,989,20,4757,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
160,160,991,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
161,161,992,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
162,162,993,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
163,163,1009,20,4788,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
164,164,1011,20,4868,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
165,165,1012,20,4896,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",""
166,166,1013,20,4897,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,1,"",""
167,167,1018,24,4942,0,"","","","",0,26,67,"",4,"","","",0,1,1,1,1,"",""
168,168,1020,20,4947,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
169,169,1022,20,4948,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
170,170,1021,20,4953,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
171,171,1027,20,452,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
172,172,1028,20,4980,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
173,173,1031,31,5020,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
174,174,1044,20,1363,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",""
175,175,1059,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
176,176,1060,24,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
177,177,1072,20,5437,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",""
178,178,1073,20,5438,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",""
179,179,1074,20,5439,0,1,"","","",0,13,0,"",4,"","","",0,1,1,1,1,"",""
180,180,1077,20,5458,0,1,"","","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
181,181,685,20,5632,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
182,182,686,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
183,183,913,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",""
184,184,914,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",""
185,185,915,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",""
186,186,916,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",""
187,187,917,20,"",0,"",1,1,"",0,3,0,"",4,"","","",0,1,1,1,1,"",""
188,188,1114,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
189,189,1134,20,"",0,1,1,1,"",0,6,0,1,4,"","","",0,1,1,1,1,"",""
190,190,1146,20,5981,10,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",""
191,191,1147,20,5982,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",""
192,192,1148,20,5983,10,"","","","",0,23,0,"",4,"","","",0,1,1,1,1,"",""
193,193,1150,20,5993,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
194,194,1151,20,5994,0,1,"","","",0,12,0,"",4,1,"","",0,1,1,1,1,"",""
195,195,1159,20,6112,10,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",""
196,196,1149,20,"",0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",""
197,197,1168,20,6182,0,"","","","",0,11,0,"",4,"",1,6217,7,0.7,0.7,1.1,1,"",""
198,198,1170,20,6213,0,"","","","",0,10,30,"",4,"","","",0,1,1,1,1,"",""
199,199,1171,20,6216,0,"","","","",0,7,0,"",4,"","","",0,1,1,1,1,"",""
200,200,1179,20,6315,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,"","",""
201,201,1181,20,6338,0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
202,202,1190,20,516,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",""
203,203,1169,20,6714,0,"","","","",0,15,-50,"",4,"",1,6217,7,0.7,1.4,1.4,1,"",""
204,204,1202,20,6705,10,"","","","",0,14,0,"",4,"","","",0,1,1,1,1,"",""
205,205,960,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
206,206,968,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",""
207,207,1204,20,6881,0,"","","","",0,9,0,"",4,"","","",0,1,1,1,1,"",""
208,208,1206,20,6885,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
209,209,1211,20,6895,0,"","","","",0,12,0,"",4,"","","",0,1,1,1,1,"",""
210,210,1213,20,6896,0,"","","","",0,14,0,"",4,"","","",0,1,1,1,"","",""
211,211,1216,20,6900,10,"","","","",0,15,-70,"",4,"","","",0,1,1,1,1,"",""
212,212,1219,20,6909,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",""
213,213,1211,20,6895,0,"","","","",0,12,-50,"",4,"","","",0,1,1,1,1,"",""
214,214,1257,20,7127,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",""
