"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox (English)","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)"
10,"ProxyKey11","Waypoints can be used to travel quickly between some areas.","Les Points de téléportation peuvent être utilisés pour voyager rapidement entre certaines zones.","Über Wegpunkte kannst du schnell von einem Gebiet in andere gelangen.","ウェイポイントを利用することで、一部のエリア間を素早く移動することができます。","거점을 이용하면 일부 지역 간을 빠르게 이동할 수 있습니다.","Marcadores podem ser usados para viajar rapidamente entre algumas áreas.","Порталы могут быть использованы для быстрого перемещения между некоторыми зонами.","Los Traslocadores pueden usarse para viajar rápidamente entre algunas áreas.","คุณสามารถใช้เวย์พอยน์เพื่อเดินทางอย่างรวดเร็วผ่านด่านบางด่าน","除了傳送門之外，傳送點也能夠讓你快速的到處趴趴走喔！","","","","","","","","","",""
11,"ProxyKey12","Flasks on your belt refill as you kill enemies.","Les Flacons à votre ceinture se remplissent quand vous tuez des ennemis.","Die Fläschchen an deinem Gürtel werden wieder aufgefüllt, wenn du Gegner tötest.","ベルト上にあるフラスコは、敵を倒すことで補充されます。","장비 중인 플라스크는 적을 처치할 때마다 채워집니다.","Os frascos no seu cinto se recarregam conforme você mata inimigos.","Флаконы на вашем поясе восполняются по мере убийства врагов.","Los frascos de tu cinturón se recargan a medida que matas enemigos.","ขวดยาบนเข็มขัดของคุณจะถูกเติมเมื่อคุณสังหารศัตรู","每當你擊殺敵人時，裝備在你腰帶上的藥水會進行充能。","","","","","","","","","",""
12,"ProxyKey13","To use a <currencyitem>{scroll} or <currencyitem>{orb}, <b>{right click} it then <b>{left click} the target item.","<size:40>{Pour utiliser un <currencyitem>{parchemin} ou un <currencyitem>{orbe}, faites un <b>{clic droit} dessus, puis un <b>{clic gauche} sur l'objet de votre choix.}","<size:40>{<b>{Rechtsklicke} auf eine <currencyitem>{Schriftrolle} oder eine <currencyitem>{Sphäre} und <b>{linksklicke} anschließend auf den Zielgegenstand.}","<currencyitem>{巻物}または<currencyitem>{オーブ}を使用するためには、使用するアイテムを<b>{右クリック}した後、対象となるアイテムを<b>{左クリック}します。 ","<currencyitem>{주문서} 또는 <currencyitem>{오브}를 사용하려면 해당 아이템을 <b>{우클릭}한 뒤, 효과를 적용할 아이템을 <b>{좌클릭}하십시오.","Para usar um <currencyitem>{pergaminho} ou <currencyitem>{orbe}, <b>{clique com o botão direito} e então <b>{clique com o botão esquerdo} no item alvo.","Чтобы использовать <currencyitem>{свиток} или <currencyitem>{сферу}, нажмите <b>{правой кнопкой мыши}, а затем <b>{левой} по выбранному предмету.","<size:35>{Para usar un <currencyitem>{pergamino} o un <currencyitem>{orbe}, haz <b>{clic derecho} sobre él y luego haz <b>{clic derecho} en el objeto objetivo.}","เมื่อต้องการใช้ <currencyitem>{Scroll} หรือ <currencyitem>{Orb} ให้<b>{คลิกขวา}ที่ไอเทมชิ้นนั้นแล้ว<b>{คลิกซ้าย}ที่ไอเทมเป้าหมาย","可以對 <currencyitem>{卷軸} 或 <currencyitem>{通貨} 按右鍵再對目標按左鍵來使用它。","To use a <currencyitem>{scroll} or <currencyitem>{orb}, press <<xbox_button_a>> on it then <<xbox_button_a>> on the target item.","Pour utiliser un <currencyitem>{parchemin} ou un <currencyitem>{orbe}, appuyez sur <<xbox_button_a>> puis faites <<xbox_button_a>> sur l'objet de votre choix.","<size:40>{Drücke <<xbox_button_a>> auf eine <currencyitem>{Schriftrolle} oder eine <currencyitem>{Sphäre} und anschließend <<xbox_button_a>> auf den Zielgegenstand.}","<currencyitem>{巻物}または<currencyitem>{オーブ}を使用するためには、使用するアイテム上で<<xbox_button_a>>を押した後、対象となるアイテム上で<<xbox_button_a>>を押します。 ","<currencyitem>{주문서} 또는 <currencyitem>{오브}를 사용하려면, 해당 아이템에서 <<xbox_button_a>>을 누른 다음, 효과를 적용할 적용하려는 아이템에서 <<xbox_button_a>>을 누르십시오.","Para usar um <currencyitem>{pergaminho} ou <currencyitem>{orbe}, pressione <<xbox_button_a>> em um item e então <<xbox_button_a>> no item alvo.","Чтобы использовать <currencyitem>{свиток} или <currencyitem>{сферу}, нажмите <<xbox_button_a>>, а затем <<xbox_button_a>> на выбранном предмете.","<size:35>{Para usar un <currencyitem>{pergamino} o un <currencyitem>{orbe}, presiona <<xbox_button_a>> sobre él y luego <<xbox_button_a>> sobre el objeto objetivo.}","เมื่อต้องการใช้ <currencyitem>{Scroll} หรือ <currencyitem>{Orb} ให้กด <<xbox_button_a>> ที่ไอเทมชิ้นนั้นแล้วกด <<xbox_button_a>> ที่ไอเทมเป้าหมาย","To use a <currencyitem>{scroll} or <currencyitem>{orb}, press <<xbox_button_a>> on it then <<xbox_button_a>> on the target item."
13,"ProxyKey14","Hold <b>{Shift} and click a stack of items to unstack them.","Maintenez <b>{Maj} et cliquez sur un ensemble d'objets pour le séparer en deux.","Halte <b>{Umschalt} gedrückt und klicke auf einen Stapel mit Gegenständen, um ihn zu entstapeln.","<b>{Shift}を押しながらクリックすることで、スタックしているアイテムから一部を取り出します。","<b>{Shift}를 누른 채 중첩된 아이템을 클릭하면 낱개로 분리할 수 있습니다.","Mantenha <b>{Shift} pressionado e clique em uma pilha de itens para desempilhá-los.","Удерживая <b>{Shift}, нажмите по стопке предметов, чтобы разделить их.","Mantén presionado <b>{Shift} y haz clic sobre una pila de objetos para desapilarlos.","กด <b>{Shift} ค้าง และคลิกที่กองของไอเทมเพื่อทำการแยกกอง","可以按住 <b>{Shift} 再點擊一個已堆疊的物品將其分成兩堆。","Press <<xbox_button_b>> on a stack of items to unstack them.","Mettez votre curseur sur un ensemble d'objets et appuyez sur <<xbox_button_b>> pour le séparer en deux.","Drücke <<xbox_button_b>> auf einen Stapel mit Gegenständen, um ihn zu entstapeln.","<<xbox_button_b>>を押すことで、スタックしているアイテムから一部を取り出します。","중첩된 아이템에서 <<xbox_button_b>>을 누르면 낱개로 분리할 수 있습니다.","Pressione <<xbox_button_b>> em uma pilha de itens para separá-los.","Нажмите <<xbox_button_a>> на стопке предметов, чтобы разделить их.","Presiona <<xbox_button_b>> sobre una pila de objetos para desapilarlos.","กด <<xbox_button_b>> บนกองไอเทมเพื่อทำการแยกกอง","Press <<xbox_button_b>> on a stack of items to unstack them."
14,"ProxyKey15","Never tell anyone your password.","Ne donnez jamais votre mot de passe à qui que ce soit.","Gib niemals dein Passwort preis.","パスワードは誰にも伝えてはいけません。","비밀번호를 절대 타인에게 알려주지 마십시오.","Nunca revele sua senha para alguém.","Никому не говорите свой пароль.","Nunca le digas a nadie tu contraseña.","อย่าให้ใครรู้รหัสผ่านของคุณ","任何方式的現金交易，都會導致帳號停權，請珍惜您的帳號。","","","","","","","","","",""
15,"ProxyKey17","<gemitem>{Skill Gems} gain experience as you do while they are equipped.","Les <gemitem>{Gemmes d'aptitude} gagnent de l'expérience en même temps que vous lorsqu'elles sont équipées.","<gemitem>{Fertigkeitengemmen} erhalten wie du Erfahrungspunkte, solange sie ausgerüstet sind.","装備している<gemitem>{スキルジェム}は、キャラクターと同様に経験値を獲得します。","장비 중인 <gemitem>{스킬 젬}은 경험치를 획득합니다.","As <gemitem>{Gemas de Habilidade} ganham experiência assim como você quando estão equipadas.","<gemitem>{Камни}, размещенные в надетом снаряжении, получают опыт так же, как и вы.","Las <gemitem>{gemas de habilidad} ganan experiencia junto a ti mientras las tengas equipadas.","<gemitem>{หินสกิลและหินเสริม}จะได้รับค่าประสบการณ์เช่นเดียวกับคุณในขณะที่สวมใส่","只有裝備在身上插槽的 <gemitem>{技能寶石} 才能在戰鬥中獲得經驗值。","","","","","","","","","",""
16,"ProxyKey18","If you cannot use a gem, placing it in an item will prevent you from using the item.","Une gemme que vous ne pouvez pas utiliser vous empêchera également de porter l'objet dans lequel elle est enchâssée.","Wenn du eine Gemme nicht verwenden kannst und in einen Gegenstand einsetzt, kann dieser nicht benutzt werden.","使用できないジェムをアイテムにセットした場合、そのアイテムは使用できなくなります。","사용할 수 없는 젬을 아이템에 장착하면, 해당 아이템 또한 사용 불가 상태가 됩니다.","Se não puder usar uma gema, colocá-la em um item impedirá que você use o item.","Если вы не можете использовать тот или иной камень, то при размещении его в предмет, последний также станет недоступным.","Si no puedes usar una gema, engarzarla en un objeto te impedirá usarlo.","หากคุณไม่สามารถใช้หินนั้นได้ การนำมันไปใส่ในไอเทมจะทำให้คุณไม่สามารถใช้ไอเทมชิ้นนั้นได้","若是想避免誤賣裝備，把任意一顆寶石插在重要的裝備上就無法賣出嘍。","","","","","","","","","",""
17,"ProxyKey19","Partying with other players makes enemies harder and gives more rewards.","Lorsque vous jouez en groupe, les ennemis sont plus coriaces mais donnent plus de récompenses.","Wenn du mit anderen Spielern eine Gruppe bildest, stärkt das deine Gegner und du erhältst mehr Belohnungen.","他のプレイヤーとパーティーを組んでいる場合、敵は強くなり、より多くの報酬が得られます。","다른 플레이어와 파티를 이룰 경우, 적도 강해지지만 보상 또한 더 풍성해집니다.","Jogar em grupo com outros jogadores torna os inimigos mais poderosos e dá mais recompensas.","Игра в группе делает врагов сильнее и даёт большую награду.","Armar grupos con otros jugadores hace que los enemigos sean más difíciles y den más recompensas.","การร่วมปาร์ตี้กับผู้เล่นอื่นๆ ทำให้ศัตรูแข็งแกร่งมากขึ้นและให้ของรางวัลมากขึ้น","雖然與他人組隊時怪物會變的更強，但所掉落的物品也會跟著變得更好喔。","","","","","","","","","",""
18,"ProxyKey20","You can change your key bindings in the <b>{Options} menu.","Vous pouvez modifier vos raccourcis clavier dans le menu des <b>{Options}.","Die Tastenbelegung kannst du in den <b>{Optionen} ändern.","<b>{オプション}メニューでキー入力の設定を変更することができます。","<b>{설정} 메뉴에서 다른 단축키로 변경할 수 있습니다.","Você pode mudar seus vínculos de tecla no menu <b>{Opções}.","Вы можете изменить назначение горячих клавиш в <b>{Настройках} Меню.","Puedes cambiar la configuración de tu teclado en el menú de <b>{Opciones}.","คุณสามารถเปลี่ยนการตั้งค่าปุ่มของคุณได้ภายในเมนู<b>{ตัวเลือก}","可以到 <b>{設定} 中修改快捷鍵設定。","","","","","","","","","",""
19,"ProxyKey21","You can move the overlay map around using the <b>{arrow keys}.","Vous pouvez déplacer la carte en transparence à l'aide des <b>{touches fléchées}.","Verwende die <b>{Pfeiltasten}, um die eingeblendete Karte zu verschieben.","<b>{矢印キー}を使用することで、オーバーレイマップを移動させることができます。","<b>{방향키}로 전체 지도를 움직일 수 있습니다.","Você pode mover o mapa sobreposto usando as <b>{teclas direcionais}.","Вы можете двигать развёрнутую карту, используя <b>{стрелочки} на клавиатуре.","Puedes mover el mapa de transparencia usando las <b>{flechas del teclado}.","คุณสามารถเลื่อนแผนที่ซ้อนได้โดยใช้<b>{ปุ่มลูกศร}","可以使用 <b>{方向鍵} 來移動地圖。","","","","","","","","","",""
20,"ProxyKey22","Use the mouse wheel to zoom in and out.","Utilisez la molette de la souris pour zoomer/dézoomer.","Verwende das Mausrad zum Vergrößern oder Verkleinern.","マウスホールを使用してズームインおよびズームアウトができます。","시야를 확대하거나 축소하려면 마우스 휠을 이용하십시오.","Use a roda do mouse para aumentar ou diminuir o zoom.","Вы можете использовать колесико мыши для отдаления или приближения камеры","Usa la rueda del mouse para acercar y alejar la cámara.","ใช้ลูกกลิ้งเมาส์เพื่อซูมเข้าและออก","可以使用滑鼠滾輪來將鏡頭拉近或拉遠。","","","","","","","","","",""
21,"ProxyKey23","Your stash can be used to move items between your characters.","Vous pouvez utiliser votre Réserve pour échanger des objets entre vos personnages.","Verwende deine Vorratstruhe, um Gegenstände zwischen deinen Charakteren zu verschieben.","スタッシュを使用してキャラクター間でアイテムを移動することができます。","보관함을 이용하면 캐릭터 간에 아이템을 주고받을 수 있습니다.","Seu baú pode ser usado para mover itens entre seus personagens.","Тайник может быть использован для того, чтобы перемещать предметы между персонажами.","Puedes usar tu alijo para mover objetos entre personajes.","คุณสามารถใช้คลังเก็บของในการย้ายไอเทมระหว่างตัวละครของคุณได้","小技巧：想要轉移物品到另一個角色時，倉庫是你的好幫手。","","","","","","","","","",""
22,"ProxyKey24","Monsters that deal cold damage can freeze you.","Les monstres qui infligent des dégâts de froid peuvent vous geler.","Monster, die Kälteschaden zufügen, können dich einfrieren.","冷気ダメージを与えるモンスターは、あなたを凍結させることができます。","냉기 피해를 가하는 몬스터에게 맞으면 동결될 수 있습니다.","Monstros que causam dano de gelo podem te congelar.","Монстры, наносящие урон от льда, могут заморозить вас.","Los monstruos que hacen daño de hielo te pueden congelar.","มอนสเตอร์ที่สร้างความเสียหาย น้ำแข็ง สามารถทำให้คุณติดสถานะ แช่แข็ง","會造成冰冷傷害的怪物，可是有機會把你凍結的唷。","","","","","","","","","",""
23,"ProxyKey25","Lightning damage can shock you, increasing damage taken.","Les dégâts de foudre peuvent vous électrocuter, augmentant ainsi les dégâts que vous subissez.","Blitzschaden kann dich in einen Schockzustand versetzen und den erlittenen Schaden erhöhen.","雷ダメージは感電を付与でき、受けるダメージを増加させます。","번개 피해를 받으면 감전으로 인해 피해가 증가할 수 있습니다.","Dano de raio pode te eletrizar, aumentando o dano sofrido.","Урон молнии может наложить шок, увеличивающий получаемый урон.","El daño de rayo te puede electrocutar, de forma que aumenta el daño que recibes.","ความเสียหาย สายฟ้า สามารถทำให้คุณติดสถานะ ช็อค ซึ่งจะเพิ่มความเสียหายที่ได้รับ","閃電傷害致命時會造成感電狀態，額外增加目標受到的傷害。","","","","","","","","","",""
