"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","PlayerConditionsKeys","MonsterDeathConditionsKeys","[rid]","i32","i32","bool","bool","[rid]","[rid]","[string]","[rid]","rid","i32","[rid]","bool","[rid]","[i32]","bool"
71,"KillKurgalWithoutDamageFromObelisks",[5955],[],"",[],[],[],1,1,"","",[],[46],[],[],"",0,[],"",[2],[],""
72,"KillRigwaldLevel80",[4618],[],"",[],[],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],""
73,"KillAbyssLichLevel83","[5953,5954]","[9705,9410]","",[],[],[],83,83,"","",[],[],[],[],"",0,[],"",[],[],""
74,"KillMapBreachBossLevel80","[5105,5108,5111,5114,5117]",[9576],"",[],[],[],80,80,"","",[],[],[],[],"",0,[],"",[],[],""
75,"KillArgusLevel75",[4458],[9462],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],""
76,"KillHarbingerFinalBossLevel75",[5870],[],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],""
77,"KillVaalOmnitectLevel81",[6290],[9106],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
78,"KillIzaroLevel75","[4528,4529,4530]",[7671],"",[],[],[],75,75,"","",[],[],[],[],"",0,[],"",[],[],""
79,"KillVaalPyramidBossesInReverse1",[1396],[],"",[],[],[],1,1,"","",[],[],[],[],21,0,[],"",[3],[],""
80,"KillVaalPyramidBossesInReverse2",[1449],[],"",[],[],[],1,1,"","",[],[],[],[],21,1,[],"","[4,5]",[],""
81,"KillVaalPyramidBossesInReverse3",[1433],[],"",[],[],[],1,1,"","",[],[],[],[],21,2,[],1,[],[],""
82,"KillPossessedBeyondBoss",[0],[],"",[],"[15,13]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
83,"KillVaalOmnitectWhileAffectedByTempestAndExposure",[6290],[9658],"","[25,26]",[],[],83,83,"","",[],[],[],[],"",0,[],"",[],[],""
84,"KillBartholTheCorruptorWhileAffectedByHereticalFlare",[1371],[],"",[27],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
85,"KillShavronneTheSickeningWhileSheHasFullEnergyShield",[5793],[],"",[],[34],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
86,"KillBazurWithoutTakingDamageFromLiantraAndAfterKilling8ThunderTomes",[5157],[],"",[],[],[],1,1,"","",[],[76],[],[],"",0,[],"",[7],[],""
87,"KillBazurAfterKilling8TomesOfThunder",[5164],[],"",[],[],[],1,1,"","",[],[],[],[77],"",0,[],"",[],[],""
88,"KillErythrophagiaWhileNotCursed",[4139],[],"",[22],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
89,"KillSebbertCrescentsPointWhileAffectedByDarkVortex",[5321],[],"",[28],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
90,"KillTheCleansingLightAtAwakeningLevel8",[5150],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
91,"KillMephodTheEarthScorcherAtAwakeningLevel8",[5644],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
92,"KillEaterOfSoulsAtAwakeningLevel8",[4158],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
93,"KillPortentiaTheFoulAtAwakeningLevel8",[5205],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
94,"KillBazurAtAwakeningLevel8",[5157],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
95,"KillTheCursedKingAtAwakeningLevel8",[4619],[],"",[],[],[],1,1,"","",[10701],[],[],[],"",0,[],"",[],[8],""
96,"KillBaronConditionally","[7725,7726]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[8,9]",[],""
97,"KillSirusWithoutBeingAffectedByDeatomizationStorm",[7860],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[10],[],""
98,"KillSirusWithoutBeingAffectedByDesolationOfTheAwakener",[7860],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[11],[],""
99,"KillSirusWithoutBeingHitByCorridorBlastOrInterruptSkill",[7860],[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[12,13]",[],""
100,"KillSirusWithoutBeingHitBySpinningNegationBeam",[7860],[9706],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[14],[],""
101,"KillVeritaniaConditionally","[7750,7751]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"","[16,15]",[],""
102,"KillAlHezminConditionally","[7772,7773]",[],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[17],[],""
103,"KillDroxConditionally","[7800,7801]",[],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[18],[],""
104,"KillDeliriumMonstersNormal","[7943,7944,7945,7946,7947,7948]",[],1,[],[0],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
105,"KillDeliriumMonstersMagic","[7943,7944,7945,7946,7947,7948]",[],1,[],[1],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
106,"KillDeliriumMonstersRare","[7943,7944,7945,7946,7947,7948]",[],1,[],[2],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
107,"KillIncursionArchitectWhileInDeliriumMist","[6444,6445,6446,6447,6448,6449,6450,6451,6452,6453,6454,6455,6456,6457,6458,6459,6460,6461,6462,6463,6464,6465,6466,6467,6468]",[],"",[],[35],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
108,"KillBlightBossWhileInDeliriumMist","[7448,7456,7458,7464,7468,7478,7490,7511,7520,7529,7535,7546,7551,7564,7571,7577,7583,7590,7599,7608,7614,7626,7636,7648]",[],"",[],[35],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
109,"KillMetamorphBossWhileInDeliriumMist",[7718],[],"",[],[35],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
110,"KillPossessedExile","[2535,2536,2539,2540,2543,2545,2547,2548,2551,2553,2554,2557,2558,2559,2562,2563,2564,2565,2566,2567,2570,2572,2573,2574,2577,2579,2580,2582,2584,2585,2586,2587,2588,2591,2593,2594,2596,2597,2599,2600,2602,2603,2604,2605,2606,2607,2608,2609,2556,2578]",[],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
111,"KillPossessedExileAilentiaRac",[2545],[8724],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
112,"KillPossessedExileAinsleyVarich",[2556],[8756],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
113,"KillPossessedExileAntaliaNapora",[2543],[8725],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
114,"KillPossessedExileArmiosBell",[2551],[8726],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
115,"KillPossessedExileAshLessard",[2591],[8727],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
116,"KillPossessedExileAugustinaSolaris","[2599,2600]",[8728],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
117,"KillPossessedExileAurelioVoidsinger",[2585],[8729],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
118,"KillPossessedExileBaracusPhraxis",[2586],[8730],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
119,"KillPossessedExileBoltBrownfur","[2573,2574]",[8731],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
120,"KillPossessedExileDamoiTui","[2566,2567]",[8732],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
121,"KillPossessedExileDenaLorenni",[2562],[8733],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
122,"KillPossessedExileEoinGreyfur","[2579,2580,2608]",[8734],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
123,"KillPossessedExileIgnaPhoenix","[2558,2559]",[8735],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
124,"KillPossessedExileIonDarkshroud","[2587,2607,2588]",[8736],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
125,"KillPossessedExileJonahUnchained","[2565,2605]",[8737],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
126,"KillPossessedExileKirmesOlli",[2564],[8738],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
127,"KillPossessedExileLaelFuria",[2602],[8739],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
128,"KillPossessedExileMagnusStonethorn",[2584],[8740],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
129,"KillPossessedExileMinaraAnemina","[2557,2609]",[8741],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
130,"KillPossessedExileOhneTrix",[2577],[8742],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
131,"KillPossessedExileOrraGreengate","[2535,2536,2606]",[8743],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
132,"KillPossessedExileOyraOna",[2554],[8744],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
133,"KillPossessedExileSevetTetherein",[2578],[8757],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
134,"KillPossessedExileThenaMoga","[2539,2540]",[8745],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
135,"KillPossessedExileThomImperial",[2597],[8746],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
136,"KillPossessedExileTinevinHighdove",[2582],[8747],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
137,"KillPossessedExileTorrOlgosso","[2547,2548,2604]",[8748],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
138,"KillPossessedExileUltimaThule",[2563],[8749],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
139,"KillPossessedExileUlyssesMorvant",[2596],[8750],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
140,"KillPossessedExileVanthAgiel",[2603],[8751],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
141,"KillPossessedExileVickasGiantbone",[2572],[8752],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
142,"KillPossessedExileWilorinDemontamer","[2593,2594]",[8753],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
143,"KillPossessedExileXandoBlooddrinker",[2570],[8754],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
144,"KillPossessedExileZacharieDesmarais",[2553],[8755],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
145,"KillMapBossWhileInDeliriumMist",[0],[8780],"",[],"[7,35]",[],1,1,"",1,[],[],[],[],"",0,[],"",[],[],""
146,"KillKitavaInBelfryMapWithoutBeingAffectedByDevouringDarkness",[5406],[],"",[],[],[1192],1,1,1,"",[],[],[],[],"",0,[],"",[19],[],""
147,"DefeatBrittleEmperorInWastelandMapWhileInHisConsecratedGround",[3858],[],"",[29],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
148,"DefeatNightmareOmenInPrimordialPoolWithoutDamageFromBloodProjectilesAfter2Submerges",[4155],[],"",[],[],[1205],1,1,"","",[],[],[],[],"",0,[],"","[20,21]",[],""
149,"KillShaperGuardianMaxDelirium","[4887,4878,4883,4890]",[],"",[],[],[],1,1,"","",[11500],[],[],[],"",0,[],"",[],[100],""
150,"KillVarheshInTerraceWithoutBecomingFearful",[5691],[],"",[],[],[1229],1,1,1,"",[],[],[],[],"",0,[],"",[22],[],""
151,"KillLadyStormflayInGhettoWhileVulnerable",[2468],[],"",[23],[],[1226],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
152,"DefeatPietyTheEmpyreanInShrineWhileAffectedByPietysRage",[2481],[],"",[9],[],[1230],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
153,"Rampage300InSimulacrum",[0],[],"",[30],[],"[1640,1641,1642,1643,1644]",1,1,"","",[],[],[],[],"",0,[],"",[],[],""
154,"KillRogueExile","[2547,2551,2553,2565,2566,2570,2572,2535,2539,2543,2599,2602,2603,2587,2591,2593,2579,2582,2584,2557,2558,2562,2545,2554,2573,2596,2585,2563,2577,2564,2586,2597,2556,2578,2604,2605,2606,2607,2608,2609]",[9324],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
155,"KillTormentedSpriit","[3629,3630,3631,3632,3633,3634,3635,3636,3637,3638,3639,3640,3641,3642,3643,3644,3645,3646,3647,3648,3649,3650,3651,3652,3654,3655,3656,3657,3658,3659,3660,3661]",[6971],1,[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
156,"KillTormentedSpiritInMonster",[0],[7955],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
157,"KillPossessedDeliriumBoss","[7935,7936,7937,7938]",[7158],"",[],[13],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
158,"KillBestiaryBoss","[6133,6088,6168,6141,6134,6089,6170,6142]","[9106,9215]","",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
159,"KillUberAtziri",[3389],[8221],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
160,"KillChayulaInDomain",[5117],[8216],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
161,"KillPreethiEyePeckerWhileYouAndHerAreBleeding",[5747],[7016],"",[31],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
162,"KillFallenQueenAfterBrokenPrinceAndHollowLady",[1433],[7017],"",[],[],[],1,1,1,"",[],[],[],[],"",0,[],"",[25],[],""
163,"KillStalkerOfEndlessDunesWithoutBeingAffectedBySandstorm",[5729],[7018],"",[],[],[1239],1,1,"","",[],[],[],[],"",0,[],"",[23],[],""
164,"KillSallazzangWithoutSuppressingFire",[1479],[7019],"",[],[],[1157],1,1,1,"",[],[],[],[],"",0,[],"",[24],[],""
165,"KillIzaroLabOfFortune","[4528,4529,4530]","[9700,9027]","",[],[],[],75,75,"","",[12131],[],[],[],"",0,[],"",[],[5],""
166,"KillIzaroLabOfOpportunity","[4528,4529,4530]","[9700,9028]","",[],[],[],75,75,"","",[12143],[],[],[],"",0,[],"",[],[6],""
167,"KillIzaroLabOfPotential","[4528,4529,4530]","[9700,9029]","",[],[],[],75,75,"","",[12144],[],[],[],"",0,[],"",[],[8],""
168,"KillPortentiaTheFoulAfter3TransformsAndWithoutBeingAffectedByEffluents",[5205],[7137],"",[],[],[1179],1,1,1,"",[],[],[],[],"",0,[],"","[26,27]",[],""
169,"KillTerrorOfInfiniteDriftsWith10StacksQuicksand",[5888],[7138],"",[32],[],[1232],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
170,"KillChimeraAfterSearching25Clouds",[4890],[7139],"",[],[],[1246],1,1,1,"",[],[],[],[],"",0,[],"",[28],[],""
171,"KillShaperWithoutDamageFromNonMelee",[4970],[9708],"",[],[],[1250],1,1,"","",[],[],[],[],"",0,[],"",[29],[],""
172,"KillOshabiWithoutBeingAffectedBySacredSuffering",[8147],[7191],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[30],[],""
173,"KillOshabiWithoutBeingHitByOrbOfThorns",[8147],[7192],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[31],[],""
174,"KillOshabiWithoutBeingHitByVineHammer",[8147],[7193],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[32],[],""
175,"KillOshabiWithoutBeingHitByVolatileOrchard",[8147],[7194],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[33],[],""
176,"KillIncursionOmnitect",[6290],"[8090,4204]","",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
177,"KillPossessedUniqueMonster",[0],[9326],"",[],"[13,3]",[],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
178,"KillHallowedHuskAfter3BloodRainsAndWithoutStandingInProximityShield",[1598],[7418],"",[],[],[1240],1,1,1,"",[],[],[],[],"",0,[],"","[34,35]",[],""
179,"KillVaalTempleBossesInReverse",[3214],[7419],"",[],[],[1251],1,1,1,"",[],[],[],[],"",0,[],"",[36],[],""
180,"KillAulenGreychainWhileHimAndYouHaveImmortalCall",[2412],[7420],"",[33],[37],[1102],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
181,"KillChayulaWithoutBeingHitByChaosCycloneProjectilesAndAfter3Cyclones",[5117],[9112],"",[],[],[],81,81,1,"",[],[],[],[],"",0,[],"",[37],[],""
182,"KillMerveilWithSapphireRingEquipped",[151],[7201],"",[34],[],[20],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
183,"KillVaalOversoulWithTopazRingEquipped",[148],[7202],"",[35],[],[39],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
184,"KillPietyWithSapphireRingAndTopazRingEquipped",[1345],[7203],"",[36],[],[54],1,1,"","",[],[],[],[],"",0,[],"",[],[],""
185,"KillLeifTheSwiftHandedWhileBlinded",[2384],[7272],"",[37],[],[1217],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
186,"KillHighTemplarWithoutBeingAffectedByColdBeam",[1588],[7273],"",[],[],[1219],1,1,"","",[],[],[],[],"",0,[],"",[39],[],""
187,"KillOakTheMightyWhileTaunted",[2409],[7274],"",[38],[],[1210],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
188,"KillJorusWhileHeIsChannellingScorchingRay",[5345],[7275],"",[],[38],[1183],1,1,1,"",[],[],[],[],"",0,[],"",[],[],""
189,"KillAdmiralDarnawWithoutBeingHitByOceansWave",[8270],[7423],"",[],[],[],1,1,"","",[],[],[],[],"",0,[],"",[40],[],""
