"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StyleFlag","Group","[i32]","bool","IsDisabled"
19,"Quivers","Quivers","Carquois","Köcher","矢筒","화살통","Aljavas","Колчаны","Carcajes","ซองธนู","箭袋",2,3,[1],"",""
20,"Shields","Shields","Boucliers","Schilde","盾","방패","Escudos","Щиты","Escudos","โล่","盾",2,3,"[1,2]","",""
21,"Amulets","Amulets","Amulettes","Amulette","アミュレット","목걸이","Amuletos","Амулеты","Amuletos","สร้อย","項鍊",2,4,[],"",""
22,"Rings","Rings","Bagues","Ringe","指輪","반지","Anéis","Кольца","Anillos","แหวน","戒指",2,4,[],"",""
23,"Belts","Belts","Ceintures","Gürtel","ベルト","허리띠","Cintos","Пояса","Cinturones","เข็มขัด","腰帶",2,4,[],"",""
24,"Talismans","Talismans","Talismans","Talismane","タリスマン","부적","Talismãs","Талисманы","Talismanes","สร้อยเครื่องราง","魔符",2,4,[4],"",""
25,"Trinkets","Trinkets","Babioles","Schmuckstücke","トリンケット","장신구","Utensílios","Украшения","Abalorios","เครื่องประดับ","飾品",2,4,[],"",""
26,"ActiveSkillGems","Active Skill Gems","Gemmes d'aptitude","Fertigkeitengemmen","アクティブスキルジェム","액티브 스킬 젬","Gemas de Habilidades Ativas","Камни умений","Gemas de habilidades activas","หินสกิล","主動技能寶石",3,5,[],"",""
27,"SupportSkillGems","Support Skill Gems","Gemmes de soutien","Unterstützungsgemmen","サポートスキルジェム","보조 스킬 젬","Gemas de Suporte","Камни поддержки","Gemas de habilidades de asistencia ","หินเสริม","輔助技能寶石",3,5,[],"",""
28,"LifeFlasks","Life Flasks","Flacons de Vie","Lebensfläschchen","ライフフラスコ","생명력 플라스크","Frascos de Vida","Флаконы жизни","Frascos de vida","ขวดยาพลังชีวิต","生命藥劑",2,6,[1],"",""
29,"ManaFlasks","Mana Flasks","Flacons de Mana","Manafläschchen","マナフラスコ","마나 플라스크","Frascos de Mana","Флаконы маны","Frascos de maná","ขวดยามานา","魔力藥劑",2,6,[1],"",""
30,"HybridFlasks","Hybrid Flasks","Flacons hybrides","Hybridfläschchen","ハイブリッドフラスコ","하이브리드 플라스크","Frascos Híbridos","Флаконы равновесия","Frascos híbridos","ขวดยาผสม","複合藥劑",2,6,[1],"",""
31,"UtilityFlasks","Utility Flasks","Flacons utilitaires","Hilfsfläschchen","ユーティリティフラスコ","특수 플라스크","Frascos Utilitários","Особые флаконы","Frascos de utilidad","ขวดยาช่วยเหลือ","功能藥劑",2,6,[1],"",""
32,"Leaguestones","Leaguestones","Pierres de ligue","Ligasteine","リーグストーン","리그스톤","Pedras de Ligas","Камни лиги","Piedras de Liga","ศิลาลีก","聯盟石",1,7,[],"",1
33,"Maps","Maps","Cartes","Karten","マップ","지도","Mapas","Карты","Mapas","แผนที่","異界地圖",1,7,[3],"",""
34,"Jewels","Jewels","Joyaux","Juwelen","ジュエル","주얼","Joias","Самоцветы","Joyas","จิวเวล","珠寶",1,7,[],"",""
35,"AbyssJewels","Abyss Jewels","Joyaux abyssaux","Abgrund-Juwelen","アビスジュエル","심연 주얼","Joias Abissais","Самоцветы Бездны","Joyas de abismo","จิวเวลอะบิส","深淵珠寶",1,7,[],"",""
36,"MapFragments","Map Fragments","Fragments cartographiques","Kartenfragmente","マップの断片","지도 조각","Fragmentos de Mapas","Обрывки карт","Fragmentos de mapa","ชิ้นส่วนแผนที่","地圖碎片",0,7,[],"",""
37,"MiscMapItems","Misc Map Items","Objets cartographiques divers","Sonstige Kartengegenstände","その他マップアイテム","기타 지도 아이템","Itens Genéricos de Mapas","Прочие предметы карт","Objetos misceláneos de mapa","ไอเทมแผนที่อื่นๆ","其它",0,7,[],"",""
38,"Currency","Currency","Objets monétaires","Währung","カレンシー","화폐","Itens Monetários","Валюта","Objetos monetarios","เงินตรา","通貨",0,7,[],"",""
39,"DivinationCards","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡",1,7,[],"",""
40,"UniqueFragments","Pieces","Morceaux","Bruchstücke","欠片","조각","Peças","Фрагменты","Fragmentos","ชิ้นส่วน","碎片",1,7,[],"",""
41,"Essence","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓",0,7,[3],"",""
42,"Delve","Delve Items","Fossiles/Résonateurs","Delve-Gegenstände","デルヴアイテム","탐광 아이템","Itens Delve","Предметы Спуска","Objetos de Delve","ไอเทมเหมืองลึก","掘獄物品",1,7,[],"",""
43,"Scarab","Scarabs","Scarabées","Skarabäen","スカラベ","갑충석","Escaravelhos","Скарабеи","Escarabajos","สคารับ","聖甲蟲",1,7,[],"",""
44,"Incubators","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器",1,7,[],"",""
45,"Oils","Oils","Huiles","Öle","オイル","성유","Óleos","Масла","Aceites","น้ำมัน","油瓶",1,7,[],"",""
46,"MetamorphOrgans","Organs","Organes","Organe","臓器","내장","Órgãos","Органы","Órganos","อวัยวะ","器官",1,7,[],"",""
47,"HeistItems","Heist Items","Objets de Casse","Heist-Gegenstände","ハイストアイテム","강탈 아이템","Itens Heist","Предметы Кражи","Objetos de Heist","ไอเทมโจรกรรม","劫盜物品",1,7,[],"",""
48,"ExpeditionItems","Expedition Items","Objets d'Expédition","Expedition-Gegenstände","エクスペディションアイテム","탐험 아이템","Itens Expedition","Предметы Экспедиции","Objetos de Expedition","ไอเทมกองสำรวจ","探險物品",0,7,[],"",""
49,"ScourgeCurrency","Scourge Currency","Objets monétaires souillés","Scourge-Währung","スカージカレンシー","스컬지 화폐","Itens Monetários Scourge","Валюта Нашествия","Objetos monetarios de Scourge","เงินตรามิติอสูร","災魘通貨",0,7,[],"",""
50,"Sentinel","Sentinel Items","Objets de Sentinelles","Sentinel-Gegenstände","センチネルアイテム","파수꾼 아이템","Itens Sentinel","Предметы Дозора","Objetos de Sentinel","ไอเทมหุ่นอารักษ์","守望物品",1,7,[],"",""
51,"MemoryLine","Memories","Souvenirs","Erinnerungen","記憶","기억","Memórias","Воспоминания","Recuerdos","ความทรงจำ","記憶",1,7,[],"",""
52,"Microtransactions","Microtransactions","Microtransactions","Mikrotransaktionen","有料アイテム","포인트 아이템","Microtransações","Микротранзакции","Microtransacciones","สินค้าแฟชั่น","商城物品",4,7,[],1,""
53,"Relics","Relics","Reliques","Relikte","遺物","유물","Relíquias","Реликвии","Reliquias","วัตถุโบราณ","聖物",1,7,[5],"",""
54,"Delirium","Delirium Orbs","Orbes du Délire","Sphären des Deliriums","デリリウムオーブ","환영의 오브","Orbes do Delírio","Сферы Делириума","Orbes de delirio","ลูกแก้วเดลิเรียม","譫妄玉",1,7,[],"",""
55,"LeagueItems","Challenge League Items","Objets de Ligue de défis","Liga-Gegenstände","チャレンジリークアイテム","챌린지 리그 아이템","Itens de Ligas de Desafios","Предметы лиг испытаний","Objetos de ligas de desafío","ไอเทมลีกท้าทาย","挑戰聯盟物品",1,7,[],"",""
