"rownum","MapPinsKey0","MapPinsKey1","rid","RestrictedAreaText (English)","RestrictedAreaText (French)","RestrictedAreaText (German)","RestrictedAreaText (Japanese)","RestrictedAreaText (Korean)","RestrictedAreaText (Portuguese)","RestrictedAreaText (Russian)","RestrictedAreaText (Spanish)","RestrictedAreaText (Thai)","RestrictedAreaText (Traditional Chinese)","rid","rid","rid","[rid]"
38,38,39,"","","","","","","","","","","","","","",[]
39,38,40,"","","","","","","","","","","","","","",[]
40,40,41,"","","","","","","","","","","","","","",[]
41,41,42,"","","","","","","","","","","","","","",[]
42,40,45,"","The bridge across is blocked by a thaumaturgical barrier.","L'accès au pont est bloqué par une barrière thaumaturgique.","Die Brücke wird durch eine thaumaturgische Barriere blockiert.","魔術によるバリアのせいで、この橋を渡ることができない。","마석 방어막이 다리를 가로막고 있습니다.","A ponte adiante está bloqueada por uma barreira taumatúrgica.","Проход через мост перекрыт волшебным барьером.","El puente para cruzar está bloqueado por una barrera taumatúrgica.","สะพานข้ามถูกพลังมนต์มณีปิดกั้นเอาไว้","大橋被神奇的屏障給阻斷了。",475,"",434,[]
43,40,43,"","","","","","","","","","","","","","",[]
44,45,46,"","","","","","","","","","","","","","",[]
45,45,47,"","","","","","","","","","","","","","",[]
46,47,48,"","","","","","","","","","","","","","",[]
47,47,49,"","","","","","","","","","","","","","",[]
48,51,50,"","","","","","","","","","","","","","",[]
49,50,52,"","","","","","","","","","","","","","",[]
50,50,53,"","","","","","","","","","","","","","",[]
51,53,54,"","","","","","","","","","","","","","",[]
52,54,55,"","","","","","","","","","","","","","",[]
53,55,56,"","","","","","","","","","","","","","",[]
54,54,57,"","","","","","","","","","","","","","",[]
55,57,58,"","","","","","","","","","","","","","",[]
56,54,59,"","","","","","","","","","","","","","",[]
57,59,60,697,"You must pierce the hide with the Rapture device.","Vous devez transpercer la peau à l'aide de l'Appareil à ravissement.","Ihr müsst die Haut mit der Nadel der Entrückung durchbohren.","ラプチャーデバイスで皮膚を突き破らなければならない。","먼저 휴거 장치로 가죽을 뚫어야 합니다.","Você deve perfurar o couro com o Dispositivo Arrebatador.","Вы должны разрезать шкуру Зверя с помощью Машины очищения.","Debes perforar el pellejo con el artefacto de Rapto.","คุณต้องใช้เครื่องบังเกิดความวินาศเจาะทะลุผิวหนังเข้าไป","你必須使用裂界裝置來突破阻礙。",222,"","",[]
58,50,61,"","","","","","","","","","","","","","",[]
59,63,62,"","","","","","","","","","","","","","",[]
60,62,64,"","","","","","","","","","","","","","",[]
61,64,65,"","","","","","","","","","","","","",1071,[]
62,65,67,"","","","","","","","","","","","","","",[]
63,67,69,"","","","","","","","","","","","","",1071,[]
64,69,68,"","","","","","","","","","","","",1071,316,[]
65,68,66,"","","","","","","","","","","","","","",[]
66,66,70,"","","","","","","","","","","","","","",[]
67,66,71,"","","","","","","","","","","","","","",[]
68,66,72,1410,"You need the Sign of Purity to access the Cathedral Rooftop.","Vous devez avoir le Symbole de Pureté en votre possession afin d'accéder au Toit de la cathédrale.","Ihr benötigt das Zeichen der Reinheit, um das Kathedralendach betreten zu können.","大聖堂の屋上へ行くには、浄化の印が必要だ。","대성당 옥상에 접근하려면 먼저 정화의 징표를 확보해야 합니다.","Você precisa do Sinal da Pureza para acessar o Telhado da Catedral.","Чтобы пройти на Крышу собора, вам нужен Символ Чистоты.","Necesitas el Signo de la Pureza para acceder al Techo de la Catedral.","คุณต้องมีสัญลักษณ์พิสุทธิ์เพื่อเปิดทางสู่ดาดฟ้าโบสถ์","你必須找到純淨之印才能進入聖堂屋頂。",1043,"","",[]
69,66,64,"","The entrance is now blocked.","Le passage est dorénavant bloqué.","Der Zugang ist zurzeit blockiert.","入り口が塞がれている。","입구가 막혔습니다.","A entrada agora está bloqueada.","Проход перекрыт.","La entrada está ahora bloqueada.","ทางเข้าถูกปิดกั้น","入口被阻斷了。",1071,"",316,[]
70,73,74,"","","","","","","","","","","","","","",[]
71,73,75,"","","","","","","","","","","","","","",[]
72,75,76,"","","","","","","","","","","","","","",[]
73,75,77,"","","","","","","","","","","","","","",[]
74,77,78,1178,"You need to find the missing Karui eye to open the gate.","Vous devez trouver l'Œil karui manquant afin d'ouvrir la porte.","Ihr müsst das fehlende Karui-Auge finden, um das Tor zu öffnen.","門を開けるには、失われたカルイの目が必要だ。","관문을 열려면 먼저 사라진 카루이의 눈을 찾아야 합니다.","Você precisa encontrar o olho Karui que está faltando para abrir o portão.","Чтобы открыть ворота, найдите недостающий глаз каруи.","Necesitas encontrar el ojo Karui perdido para abrir la puerta.","คุณต้องค้นหาดวงตาคารุยที่หายไปเพื่อเปิดประตู","你必須找到遺失的卡魯之眼才可以開啟大門。",1181,"","",[]
75,78,79,1175,"You must defeat Tukohama to unlock the exit.","Vous devez terrasser Tukohama avant de pouvoir sortir.","Ihr müsst Tukohama vernichten, um den Ausgang zu öffnen.","出口を開けるには、トゥコハマを倒さなければならない。","출구를 개방하려면 먼저 투코하마를 처치해야 힙니다.","Você deve derrotar Tukohama para desbloquear a saída.","Чтобы открыть проход, победите Тукохаму.","Debes derrotar a Tukohama para desbloquear la salida.","คุณต้องสยบทูโคฮาม่าเพื่อปลดล็อกทางออก","你必須擊敗圖克哈瑪才可以開啟出口。",1180,"","",[]
76,79,80,"","","","","","","","","","","","","","",[]
77,80,81,"","","","","","","","","","","","","","",[]
78,81,82,"","","","","","","","","","","","","","",[]
79,82,83,"","","","","","","","","","","","","","",[]
80,83,84,"","","","","","","","","","","","","","",[]
81,83,85,"","","","","","","","","","","","","","",[]
82,85,86,"","","","","","","","","","","","","","",[]
83,86,87,"","","","","","","","","","","","","","",[]
84,87,88,1160,"You must light the Beacon to access the Brine King's Reef.","Vous devez raviver le Phare afin d'accéder au Récif du Roi des Embruns.","Ihr müsst das Feuer im Leuchtturm entzünden, um zum Riff des Gischtkönigs zu reisen.","海水の王の岩礁に入るには、ビーコンを点灯しなければならない。","염수왕의 암초에 접근하려면 먼저 등대를 밝혀야 합니다.","Você precisa acender o Farol para acessar o Recife do Rei da Salmoura.","Зажгите маяк, чтобы попасть на Риф Морского царя.","Debes prender el Faro para acceder al Arrecife del Rey del Mar.","คุณต้องจุดไฟที่ประภาคารเพื่อเปิดทางไปยังโขดหินราชันน้ำเค็ม","你必須點亮絕望烽塔才能進入海洋王的堡礁。",1153,"","",[]
85,89,90,"","","","","","","","","","","","","","",[]
86,90,91,"","","","","","","","","","","","","","",[]
87,91,92,"","","","","","","","","","","","","","",[]
88,91,94,"","","","","","","","","","","","","","",[]
89,91,97,"","The bandits have blocked the way. You must find another way around.","Les bandits ont bloqué cet accès. Vous devez trouver un moyen de le contourner.","Die Banditen haben den Weg blockiert. Findet einen anderen Weg.","山賊たちが道を塞いでいる。他の道を探さなければならない。","도적들이 길을 가로막고 있습니다. 다른 길을 찾아야 합니다.","Os bandidos bloquearam o caminho. Você precisa encontrar um outro caminho.","Разбойники перекрыли проход. Найдите обходной путь.","Los bandidos han bloqueado el camino. Tienes que buscar otra forma de pasar.","พวกโจรปิดทางไว้ คุณต้องหาทางอื่น","盜賊們擋住了去路，必須繞路前進。",1270,"",1270,[]
90,92,93,"","","","","","","","","","","","","","",[]
91,94,96,"","","","","","","","","","","","",1287,1164,[]
92,94,95,"","","","","","","","","","","","","","",[]
93,96,97,"","","","","","","","","","","","","","",[]
94,97,98,"","","","","","","","","","","","","","",[]
95,98,99,"","","","","","","","","","","","","","",[]
96,98,100,"","","","","","","","","","","","","","",[]
97,100,101,"","","","","","","","","","","","","","",[]
98,101,102,"","","","","","","","","","","","","","",[]
99,103,104,"","","","","","","","","","","","","","",[]
100,104,105,"","","","","","","","","","","","","","",[]
101,105,106,"","","","","","","","","","","","","","",[]
102,105,111,"","","","","","","","","","","","","","",[]
103,108,107,"","","","","","","","","","","","","","",[]
104,106,108,"","","","","","","","","","","","","","",[]
105,108,109,"","","","","","","","","","","","","","",[]
106,109,110,"","","","","","","","","","","","","","",[]
107,109,116,"","","","","","","","","","3.0.0 มีม่านพลังปิดกั้น","","","","",[]
108,111,112,"","","","","","","","","","","","","","",[]
109,112,113,"","","","","","","","","","","","","","",[]
110,113,115,"","","","","","","","","","","","","","",[]
111,115,114,"","","","","","","","","","","","","","",[]
112,114,116,"","","","","","","","","","3.0.0 มีม่านพลังปิดกั้น","","","","",[]
113,117,118,"","","","","","","","","","","","","","",[]
114,118,119,"","","","","","","","","","","","","","",[]
115,119,120,"","","","","","","","","","","","","","",[]
116,120,121,1631,"You must find a way to clear the Sandstorm to access the Oasis.","Vous devez trouver le moyen de dissiper la tempête de sable pour atteindre l'Oasis.","Ihr müsst einen Weg finden, den Sandsturm zu bändigen, um zur Oase zu gelangen.","オアシスに入るには、砂嵐を静める方法を見つけなければならない。","오아시스에 접근하려면 먼저 모래 폭풍을 제거해야 합니다.","Você deve encontrar uma maneira de acabar com a Tempestade de Areia para acessar o Oásis.","Найдите способ развеять песчаную бурю, чтобы пройти к Оазису.","Debes encontrar una forma de despejar la Tormenta de Arena para acceder al Oasis.","คุณต้องค้นหาวิธีขจัดพายุทรายเพื่อเปิดทางสู่โอเอซิส","你必須要找到清除沙塵暴的方法，才能進入幻景綠洲。",1636,"","",[]
117,120,122,"","","","","","","","","","","","","","",[]
118,122,123,"","","","","","","","","","","","","","",[]
119,122,124,"","","","","","","","","","","","","","",[]
120,124,125,"","","","","","","","","","","","","","",[]
121,125,126,"","","","","","","","","","","","","","",[]
122,125,127,1611,"You must deliver the ingredients to Sin to access the Beast.","Vous devez remettre les ingrédients à Péché afin d'accéder à la Bête.","Ihr müsst Sin die Bestandteile übergeben, um die Bestie zu betreten.","魔獣の中に入るには、シンに材料を届けなければならない。","짐승에게 접근하려면 먼저 씬에게 재료를 전달해야 합니다.","Você deve entregar os ingredientes ao Sin para acessar a Besta.","Отнесите ингредиенты Греху, чтобы войти в Зверя.","Debes entregarle los ingredientes a Pecado para acceder a la Bestia.","คุณต้องส่งมอบส่วนผสมให้กับซินเพื่อเปิดทางสู่บีสต์","你必須將材料交給罪才可進入獸穴之腹。",1374,"","",[]
123,127,128,"","","","","","","","","","","","","","",[]
124,129,130,"","","","","","","","","","","","","","",[]
125,130,131,"","","","","","","","","","","","","","",[]
126,131,132,"","","","","","","","","","","","","","",[]
127,132,133,"","","","","","","","","","","","","","",[]
128,131,134,"","Kitava's Horns block the way.","Les cornes de Kitava bloquent le passage.","Kitavas Hörner blockieren den Weg.","キタヴァの角が道を塞いでいる。","키타바의 뿔이 길을 막고 있습니다.","Os Chifres de Kitava bloqueiam a passagem.","Рога Китавы перекрывают путь.","Los Cuernos de Kitava bloquean el paso.","เขาของคิทาวาปิดกั้นเส้นทางไว้","奇塔弗的犄角阻斷了去路。","",1665,1666,[]
129,134,135,"","","","","","","","","","","","","","",[]
130,131,136,"","","","","","","","","","","","","","",[]
131,131,137,"","","","","","","","","","","","","","",[]
132,131,138,"","","","","","","","","","","","","","",[]
