"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ModTypes","BossARMFile","Type","Icon","HASH16","bool","i32"
10,"TimedSurvivalWavesVaal","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",37295,1,-20
11,"TimedSurvivalWavesVaalWeak","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",38861,"",-20
12,"TimedSurvivalWavesGolems","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",26681,1,-20
13,"TimedSurvivalWavesApes","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",45924,1,-20
14,"TimedSurvivalWavesSpooky","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",6559,1,-20
15,"TimedSurvivalWavesApesVaal","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",16944,1,-20
16,"TimedSurvivalWavesGolemsVaal","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",26272,1,-20
17,"TimedSurvivalWavesSpookyVaal","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",51096,1,-20
18,"TimedSurvivalWavesSpookyApes","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",36433,1,-20
19,"TimedSurvivalWavesChaos","Survive\r\nMonsters Enrage after a time","Restez en vie\r\nLes monstres s'enragent au bout d'un certain temps","Überlebt\r\nMonster werden mit der Zeit wütend","生存\r\n時間経過でモンスターが怒り狂う","살아남기\r\n일정 시간이 흐르면 몬스터 격앙","Sobreviva\r\nMonstros se enfurecem depois de um tempo","Выживите\r\nМонстры со временем впадают в Исступление","Sobrevive\r\nLos monstruos enfurecen pasado un tiempo","เอาตัวรอด\r\nมอนสเตอร์จะมึสถานะ เดือดดาล เมื่อเวลาผ่านไปพักหนึ่ง","存活\r\n怪物一段時間後會激怒",[],"",1,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/SurviveMechanicIcons",61826,1,-20
20,"BossTemplate","Defeat the Trialmaster","Triomphez du Maître des Épreuves","Tötet den Prüfungsmeister","トライアルマスターの撃破","시련의 대가 처치하기","Mate o Mestre das Provações","Победите Мастера испытаний","Derrota al Maestro de Pruebas","สยบผู้คุมบททดสอบ","擊殺試煉大師","[5,4]","Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Rooms/Arenas/boss_arena_1.arm",4,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/BossMechanicIcons",23937,"",0
21,"CaptureVaal","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Fique nos Círculos de Pedra","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",17761,1,0
22,"CaptureApes","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Fique nos Círculos de Pedra","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",9274,1,0
23,"CaptureGolems","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Fique nos Círculos de Pedra","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",29292,1,0
24,"CaptureSpooky","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Fique nos Círculos de Pedra","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",50648,1,0
25,"CaptureApesVaal","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Permaneça nas Runas","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",58539,1,0
26,"CaptureGolemsVaal","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Permaneça nas Runas","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",60675,1,0
27,"CaptureSpookyVaal","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Permaneça nas Runas","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",21372,1,0
28,"CaptureSpookyApes","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Permaneça nas Runas","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",27458,1,0
29,"CaptureChaos","Stand in the Stone Circles","Restez dans les Cercles de pierre","Steht in den Steinkreisen","ストーンサークルの制圧","두름돌 안에 서기","Permaneça nas Runas","Стойте на каменных кругах","Permanece sobre los círculos de piedra","ยืนอยู่ในวงศิลา","站在石陣內",[11],"",3,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ConquerMechanicIcons",43750,1,0
30,"DefenseVaal","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",7717,1,-20
31,"DefenseApes","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",59054,1,-20
32,"DefenseGolems","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",41408,1,-20
33,"DefenseSpooky","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",53279,1,-20
34,"DefenseApesVaal","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",41588,1,-20
35,"DefenseGolemsVaal","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",31141,1,-20
36,"DefenseSpookyVaal","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",40130,1,-20
37,"DefenseSpookyApes","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",42376,1,-20
38,"DefenseChaos","Protect the Altar","Protégez l'Autel","Schützt den Altar","祭壇の守護","제단 지키기","Proteja o Altar","Защитите Алтарь","Protege el altar","ปกป้องแท่น","保護神壇",[],"",2,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProtectMechanicIcon",8457,1,-20
39,"UniqueMapBoss","Defeat the Trialmaster","Triomphez du Maître des Épreuves","Tötet den Prüfungsmeister","トライアルマスターの撃破","시련의 대가 처치하기","Derrote o Mestre das Provações","Победите Мастера испытаний","Derrota al Maestro de Pruebas","สยบผู้คุมบททดสอบ","擊敗試煉大師","[5,4]","Metadata/Terrain/Leagues/Ultimatum/UltimatumArena/Rooms/Arenas/boss_arena_1.arm",4,"Art/2DArt/UIImages/InGame/Ultimatum/Icons/BossMechanicIcons",9419,"",0
