"rownum","string","[string]","[string]","i32","i32","[string]","[string]","rid"
21,"BloodScytheHitEffect","[""ffect""]",[],1,3,[],[],""
22,"BloodScytheHitEffectConsole","[""昀攀挀琀""]",[],1,3,[],[],""
23,"OblivionToxicRainHitEffect","[""\u0000ᩦ""]",[],1,0,[],[],""
24,"ArcaneHit","[""aperHit""]",[],1,0,[],[],""
25,"VoidEmperorFireDamage",[],[],1,0,[],[],308
26,"StygianFireHit","[""䠀椀琀""]",[],1,0,[],[],""
27,"DemonicLightningHit","[""䈀氀漀漀搀匀挀礀琀栀攀䠀椀琀""]",[],1,0,[],[],""
28,"BloodTendrilsOnHitEffectTranscendence","[""漀漀搀匀挀礀琀栀攀䠀椀琀""]",[],1,3,[],[],""
29,"SpectralSpiralHitEffect",[],[],1,0,[],[],323
30,"TraumaStrikeHitEffect","[""theHit""]",[],1,0,[],[],""
31,"RageVortexHit","[""BloodScytheHitConsole""]",[],1,0,[],[],""
32,"BurningArrowMysticHit","[""\u0000᭵""]",[],1,0,[],[],""
33,"ExpeditionMedvedChaosHit","[""\u001b""]",[],1,0,[],[],""
34,"ExpeditionVoranaHit","[""""]",[],1,0,[],[],""
35,"ExpeditionPhsicalOnHit","[""""]",[],1,0,[],[],""
36,"ExpeditionFireOnHit","[""""]",[],1,0,[],[],""
37,"ExpeditionColdOnHit","[""""]",[],1,0,[],[],""
38,"ExpeditionChaosOnHit","[""""]",[],1,0,[],[],""
39,"OlrothBloodSpatter1","[""Blood""]",[],1,0,[],[],""
40,"OlrothBloodSpatter2","[""氀漀漀搀""]",[],1,1,[],[],""
41,"OlrothBloodSpatter3","[""lood""]",[],1,1,[],[],""
42,"MyrmidonLightningStrikeHit","[""tadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",[],1,0,[],[],""
43,"HellscapeDemonEliteScreechHit","[""开瀀氀愀礀攀爀⸀瀀攀琀""]",[],1,1,"[""<root>""]",[],""
44,"DirebladeFireHit","[""et""]",[],1,0,[],[],""
45,"HellscapePaleBossSnipePierce","[""琀爀愀䜀漀爀攀刀攀搀匀洀愀氀氀""]",[],1,1,[],[],""
46,"HellscapePaleBossAxeTossPierce","[""aGoreRedSmall""]",[],1,1,[],[],""
47,"OblivionSummonRagingSpiritsHit","[""mall""]",[],1,0,[],[],""
48,"OnyxOblivionSummonRagingSpiritsHit","[""愀氀氀""]",[],1,0,[],[],""
49,"StygianScourgeArrowHit","[""⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
50,"ProjectEssenceDrainHit","[""漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
51,"ScientistEssenceDrainHit","[""ood/new/red/blood_impact.pet""]",[],1,0,[],[],""
52,"VoidSparkHit","[""ew/red/blood_impact.pet""]",[],1,0,[],[],""
53,"AuspiciousToxicRainHit","[""漀漀搀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
54,"BloodTendrilsOnHitEffectMercurial","[""RedLarge""]",[],1,3,[],[],""
55,"ToxicRainOnHitEffectVulcan","[""""]",[],1,0,[],[],""
56,"ConsumeBossLightningHit","[""⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
57,"VulcanLightningStrikeHit","[""挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
58,"SummonRagingSpiritsDemonicHit","[""猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀爀攀搀⼀戀氀漀漀搀㄀开椀洀瀀愀挀琀⸀瀀攀琀""]",[],1,0,[],[],""
59,"CelestialEnergyBladeHit","[""ood/new/red/blood1_impact.pet""]",[],1,3,[],[],""
60,"DivineLightningArrowHit","[""琀""]",[],1,0,[],[],""
61,"OblivionFireTrapHit","[""\u0000䴀攀琀愀搀愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,0,[],[],""
62,"OozeCharacterEffectHit","[""搀愀琀愀⼀䔀昀昀攀挀琀猀⼀䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀渀攀眀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,3,[],[],""
63,"MagmaMoltenShellHit","[""data/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,3,[],[],""
64,"TraumaStrikeHitEffectCelestial","[""s/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,3,[],[],""
65,"MistCharacterEffectHit","[""/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,1,[],[],""
66,"BattlePassThreeColdIronPointHit","[""crotransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",[],1,3,[],[],""
67,"IllusionistCobraLashHit","[""s_red.pet""]",[],1,0,[],[],""
68,"VoidEmperorLightningStrikeHit","[""瀀攀琀""]",[],1,0,"[""<root>""]",[],""
69,"StarfallRageSlashHit","[""""]",[],1,0,[],[],""
70,"StarfallBloodScytheHit","[""砀\u0019""]",[],1,3,[],[],""
71,"StarfallBloodScytheHitConsole","[""᥸""]",[],1,3,[],[],""
72,"HolyUndeadHit","[""""]",[],1,0,[],[],""
73,"AutomatonLightningTendrilHit","[""\u0000FirstBloodRed""]",[],1,0,[],[],""
74,"ClockworkCharacterEffectHit","[""氀漀漀搀刀攀搀""]",[],1,1,[],[],""
75,"MTXTopazFlaskShieldHitEffect","[""䴀椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀爀攀搀开戀氀漀漀搀⸀瀀攀琀""]",[],1,1,[],[],""
76,"MTXRubyFlaskShieldHitEffect","[""Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet""]",[],1,1,[],[],""
77,"MTXSapphireFlaskShieldHitEffect","[""椀挀爀漀琀爀愀渀猀愀挀琀椀漀渀猀⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀爀攀搀开戀氀漀漀搀⸀瀀攀琀""]",[],1,1,[],[],""
78,"MTXAmethystFlaskShieldHitEffect","[""icrotransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet""]",[],1,2,[],[],""
79,"MtxBattlePassFourShavronnesWrappingsHitEffect","[""爀猀琀开戀氀漀漀搀⼀爀攀搀⼀爀攀搀开戀氀漀漀搀⸀瀀攀琀""]",[],1,1,[],[],""
80,"SanctumReaperHit","[""愀开䈀氀漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀爀攀搀开戀氀漀漀搀⸀瀀攀琀""]",[],1,0,[],[],""
81,"SawbladeLightningStrikeHit","[""⼀䴀椀猀挀⼀䔀砀琀爀愀开䈀氀漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,0,[],[],""
82,"VineBloodScytheHit","[""lood/first_blood/red/critical_strikes_red.pet""]",[],1,3,[],[],""
83,"VineBloodScytheHitConsole","[""漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,3,[],[],""
84,"PlayerBlood",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_player.pet""]",1,4,[],[],""
85,"PlayerBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_player.pet""]",1,4,[],[],""
86,"ExtraGoreRedSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood_impact.pet""]",1,4,[],[],""
87,"ExtraGoreRedLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/red/blood1_impact.pet""]",1,4,[],[],""
88,"ExtraGoreRedCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_red.pet""]",1,4,[],[],""
89,"FirstBloodRed",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/red_blood.pet""]",1,4,[],[],""
90,"FirstBloodRedCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/red/critical_strikes_red.pet""]",1,4,[],[],""
91,"RedBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact.pet""]",1,4,[],[],""
92,"RedBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact.pet""]",1,4,[],[],""
93,"RedBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_red.pet""]",1,4,[],[],""
94,"ZombieBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_zombie.pet""]",1,4,[],[],""
95,"ZombieBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_zombie.pet""]",1,4,[],[],""
96,"ZombieBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_orange.pet""]",1,4,[],[],""
97,"ExtraGoreZombieSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood_impact_zombie.pet""]",1,4,[],[],""
98,"ExtraGoreZombieLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/zombie/blood1_impact_zombie.pet""]",1,4,[],[],""
99,"ExtraGoreZombieCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_orange.pet""]",1,4,[],[],""
100,"FirstBloodZombie",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/zombie_blood.pet""]",1,4,[],[],""
101,"FirstBloodZombieCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/zombie/critical_strikes_zombie.pet""]",1,4,[],[],""
102,"GreenGhostBlood",[],"[""Metadata/Particles/elemental_damages/ghost_hit_green.pet""]",1,4,[],[],""
103,"GreenGhostBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_ghost.pet""]",1,4,[],[],""
104,"PurpleGhostBlood",[],"[""Metadata/Particles/elemental_damages/ghost_hit_purp.pet""]",1,4,[],[],""
105,"PurpleGhostBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_ghost_shadow.pet""]",1,4,[],[],""
106,"MudBlood",[],"[""Metadata/Particles/elemental_damages/hit_stone_mud.pet""]",1,4,[],[],""
107,"StoneBlood",[],"[""Metadata/Particles/elemental_damages/hit_stone.pet""]",1,4,[],[],""
108,"StoneBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_rock.pet""]",1,4,[],[],""
109,"SpiderBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood_impact_spider.pet""]",1,4,[],[],""
110,"SpiderBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/blood1_impact_spider.pet""]",1,4,[],[],""
111,"SpiderBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_green.pet""]",1,4,[],[],""
112,"ExtraGoreSpiderSmall",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood_impact_spider.pet""]",1,4,[],[],""
113,"ExtraGoreSpiderLarge",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/green/blood1_impact_spider.pet""]",1,4,[],[],""
114,"ExtraGoreSpiderCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/new/critical_strikes_green.pet""]",1,4,[],[],""
115,"FirstBloodSpider",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/spider_blood.pet""]",1,4,[],[],""
116,"FirstBloodSpiderCrit",[],"[""Metadata/Effects/Microtransactions/Misc/Extra_Blood/first_blood/spider/critical_strikes_green.pet""]",1,4,[],[],""
117,"BoneBlood",[],"[""Metadata/Particles/bonehit.pet""]",1,4,[],[],""
118,"BoneBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_skele.pet""]",1,4,[],[],""
119,"WaterBlood",[],"[""Metadata/Particles/elemental_damages/water_splash_01.pet""]",1,4,[],[],""
120,"WaterBloodCrit",[],"[""Metadata/Particles/elemental_damages/critical_strikes_water.pet""]",1,4,[],[],""
121,"LargeSpiderBloodSmall",[],"[""Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood_impact_spider.pet""]",1,4,[],[],""
122,"LargeSpiderBloodLarge",[],"[""Metadata/Particles/elemental_damages/blood_impacts/large_blood/blood1_impact_spider.pet""]",1,4,[],[],""
123,"AfflictionBloodSmall",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type.pet""]",1,4,[],[],""
124,"AfflictionBloodLarge",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_large.pet""]",1,4,[],[],""
125,"AfflictionBloodCrit",[],"[""Metadata/Particles/monster_effects/League_Affliction/affliction_manifests/blood_type/affliction_blood_type_crit.pet""]",1,4,[],[],""
126,"RobotBloodSmall",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood.pet""]",1,4,[],[],""
127,"RobotBloodLarge",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood_large.pet""]",1,4,[],[],""
128,"RobotBloodCrit",[],"[""Metadata/Particles/monster_effects/League_Heist/robot/blood/robot_blood_crit.pet""]",1,4,[],[],""
129,"BloodBoilEffect",[],[],1,0,[],[],532
130,"MtxMagmaBlood",[],"[""Metadata/Effects/Microtransactions/BodyArmours/DarkKing/fx/molten_blood/blood_impact_player.pet""]",1,0,[],[],""
131,"MtxMagmaBloodCrit",[],"[""Metadata/Effects/Microtransactions/BodyArmours/DarkKing/fx/molten_blood/critical_strikes_player.pet""]",1,0,[],[],""
132,"MtxCordycepBowHit","[""开䈀氀漀漀搀⼀昀椀爀猀琀开戀氀漀漀搀⼀爀攀搀⼀挀爀椀琀椀挀愀氀开猀琀爀椀欀攀猀开爀攀搀⸀瀀攀琀""]",[],1,3,[],[],""
133,"MtxBeastmanArmourKillNormal",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
134,"MtxBeastmanArmourKillMagic",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
135,"MtxBeastmanArmourKillRare",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
136,"MtxBeastmanArmourKillUnique",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/kill_fx_big/BLOOD_S.pet""]",1,0,[],[],""
137,"MtxBeastmanArmourHitNormal",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
138,"MtxBeastmanArmourHitMagic",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
139,"MtxBeastmanArmourHitRare",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
140,"MtxBeastmanArmourHitUnique",[],"[""Metadata/Effects/Microtransactions/BodyArmours/Beastman/pet/hit_fx_mid/BLOOD_S.pet""]",1,3,[],[],""
