"rownum","AfflictionRewardTypes","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
11,11,"DeliriumRewardEssences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓"
12,12,"DeliriumRewardEssences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓"
13,13,"DeliriumRewardFragments","Fragments","Fragments","Fragmente","断片","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片"
14,14,"DeliriumRewardScarabs","Scarabs","Scarabées","Skarabäen","スカラベ","갑충석","Escaravelhos","Скарабеи","Escarabajos","สคารับ","聖甲蟲"
15,15,"DeliriumRewardFossils","Fossils","Fossiles","Fossilien","化石","화석","Fósseis","Ископаемые","Fósiles","ฟอสซิล","化石"
16,16,"DeliriumRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Itens Monetários","Валюта","Objetos monetarios","เงินตรา","通貨"
17,17,"DeliriumRewardDivination","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡"
18,18,"DeliriumRewardGeneric","Miscellaneous Items","Objets divers","Generische Gegenstände","その他アイテム","기타 아이템","Itens Gerais","Различные предметы","Objetos misceláneos","ไอเทมเบ็ดเตล็ด","雜物"
19,19,"DeliriumRewardTalismans","Talismans","Talismans","Talismane","タリスマン","부적","Talismãs","Талисманы","Talismanes","สร้อยเครื่องราง","魔符"
20,20,"DeliriumRewardLabyrinth","Labyrinth Items","Objets du Labyrinthe","Labyrinth-Gegenstände","ラビリンスアイテム","미궁 아이템","Itens do Labirinto","Предметы Лабиринта","Objetos de Laberinto","ไอเทมเขาวงกต","迷宮之物"
21,22,"DeliriumRewardIncubators","Incubators","Incubateurs","Inkubatoren","インキュベーター","인큐베이터","Incubadores","Инкубаторы","Incubadoras","ตัวบ่มฟัก","培育器"
22,23,"DeliriumRewardBlight","Blight Items","Objets de l'Infestation","Blight-Gegenstände","ブライトアイテム","역병 아이템","Itens Blight","Предметы Скверны","Objetos de Blight","ไอเทมไบล์ท","凋落之物"
23,24,"DeliriumRewardMetamorph","Catalysts","Catalyseurs","Katalysatoren","カタリスト","기폭제","Catalisadores","Катализаторы","Catalizadores","ตัวเร่งปฏิกิริยา","催化劑"
24,25,"DeliriumRewardGeneric","Delirium","Objets du Délire","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","เดลิเรียม","譫妄"
25,26,"DeliriumRewardArmour","Armour","Armure","Rüstung","防具","방어구","Armaduras","Доспехи","Armadura","เกราะ","護甲"
26,27,"DeliriumRewardWeapon","Weapons","Armes","Waffen","武器","무기","Armas","Оружие","Armas","อาวุธ","武器"
27,28,"DeliriumRewardTrinkets","Jewellery","Accessoires","Schmuck","宝飾品","장신구","Acessórios","Бижутерия","Joyería","เครื่องประดับ","飾品"
28,29,"DeliriumRewardCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨"
29,30,"DeliriumRewardGems","Gems","Gemmes","Gemmen","ジェム","젬","Gemas","Камни","Gemas","หิน","寶石"
30,31,"DeliriumRewardMaps","Map Items","Objets de Carte","Kartengegenstände","マップアイテム","지도 아이템","Mapas","Карты","Objetos de mapa","ไอเทมแผนที่","地圖"
31,32,"DeliriumRewardGeneric","Delirium","Objets du Délire","Delirium","デリリウム","환영","Delirium","Делириум","Delirium","เดลิเรียม","譫妄"
