"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
10,"Azurite1_1","Azurite Cavity","Cavité d'Azurite","Azurithohlraum","アズライトの洞穴","남동석 공동","Cavidade de Azurita","Азуритовая полость","Cavidad de Azurita","โพรงถ้ำอะซูไรต์","碧藍窟窿",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[],[0],[0],[500]
11,"Azurite1_2","Azurite Cavity","Cavité d'Azurite","Azurithohlraum","アズライトの洞穴","남동석 공동","Cavidade de Azurita","Азуритовая полость","Cavidad de Azurita","โพรงถ้ำอะซูไรต์","碧藍窟窿",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[],[0],[0],[500]
12,"Azurite1_3","Azurite Cavity","Cavité d'Azurite","Azurithohlraum","アズライトの洞穴","남동석 공동","Cavidade de Azurita","Азуритовая полость","Cavidad de Azurita","โพรงถ้ำอะซูไรต์","碧藍窟窿",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[],[0],[0],[500]
13,"Azurite1_4","Azurite Cavity","Cavité d'Azurite","Azurithohlraum","アズライトの洞穴","남동석 공동","Cavidade de Azurita","Азуритовая полость","Cavidad de Azurita","โพรงถ้ำอะซูไรต์","碧藍窟窿",[500],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVein",[],[0],[],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[],[0],[0],[500]
14,"Azurite2_1","Azurite Vault","Voûte d'Azurite","Azuritgewölbe","アズライトの貯蔵庫","남동석 금고실","Cofre de Azurita","Азуритовое хранилище","Cámara de Azurita","คลังอะซูไรต์","碧藍寶庫",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[300]
15,"Azurite2_2","Azurite Vault","Voûte d'Azurite","Azuritgewölbe","アズライトの貯蔵庫","남동석 금고실","Cofre de Azurita","Азуритовое хранилище","Cámara de Azurita","คลังอะซูไรต์","碧藍寶庫",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[300]
16,"Azurite2_3","Azurite Vault","Voûte d'Azurite","Azuritgewölbe","アズライトの貯蔵庫","남동석 금고실","Cofre de Azurita","Азуритовое хранилище","Cámara de Azurita","คลังอะซูไรต์","碧藍寶庫",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[300]
17,"Azurite2_4","Azurite Vault","Voûte d'Azurite","Azuritgewölbe","アズライトの貯蔵庫","남동석 금고실","Cofre de Azurita","Азуритовое хранилище","Cámara de Azurita","คลังอะซูไรต์","碧藍寶庫",[300],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinII",[],[1],[20],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[300]
18,"Azurite3_1","Azurite Fissure","Crevasse d'Azurite","Azuritspalt","アズライトの裂け目","남동석 균열","Fissura de Azurita","Азуритовая трещина","Fisura de Azurita","รอยแตกอะซูไรต์","碧藍裂痕",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[200]
19,"Azurite3_2","Azurite Fissure","Crevasse d'Azurite","Azuritspalt","アズライトの裂け目","남동석 균열","Fissura de Azurita","Азуритовая трещина","Fisura de Azurita","รอยแตกอะซูไรต์","碧藍裂痕",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[200]
20,"Azurite3_3","Azurite Fissure","Crevasse d'Azurite","Azuritspalt","アズライトの裂け目","남동석 균열","Fissura de Azurita","Азуритовая трещина","Fisura de Azurita","รอยแตกอะซูไรต์","碧藍裂痕",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite","Présence d'Azurite","Enthält Azurit","アズライトがある","남동석 포함","Contém Azurita","Содержит азурит","Contiene azurita","มีแร่อะซูไรต์","包含碧藍礦",0,[0],[0],[0],[200]
21,"FungalCavernsFossil","Haunted Tomb","Tombeau hanté","Verfluchtes Grab","幽霊の出る墓","으스스한 무덤","Tumba Assombrada","Призрачная гробница","Tumba embrujada","สุสานเฮี้ยน","幽魂墓地",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
22,"PetrifiedForestFossil","Stonewood Hollow","Gouffre de bois de pierre","Steinholzaushöhlung","石木の空洞","돌나무 동혈","Madeira-pedra Oca","Впадина с окаменевшим лесом","Hondonada de madera de piedra","โพรงหินไม้","石林魔域",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
23,"AbyssalDepthsFossil","Crystal Spire","Cime de cristal","Kristallspitze","結晶の柱","수정 첨탑","Espiral de Cristal","Кристальный шпиль","Aguja de cristal","ถ้ำคริสคัล","魔晶尖塔",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
24,"FrozenHollowFossil","Time-Lost Cavern","Caverne perdue dans le temps","Immerwährende Höhle","失われた洞窟","오래된 암굴","Caverna Perdida","Затерянная во времени пещера","Caverna perdida en el tiempo","ถ้ำลืมกาล","失時之穴",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
25,"MagmaFissureFossil","Molten Cavity","Cavité de magma","Geschmolzener Hohlraum","熔融した空洞","녹아내린 공동","Cavidade de Magma","Расплавленная полость","Cavidad fundida","โพรงถ้ำหินหลอม","熔岩窟窿",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
26,"SulphurVentsFossil","Humid Fissure","Crevasse humide","Dampfender Spalt","湿った裂け目","축축한 균열","Fissura Humida","Отсыревшая трещина","Fisura húmeda","รอยแตกชื้นแฉะ","濕潮裂縫",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
27,"WolvesGeneric","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
28,"WolvesArmour","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
29,"WolvesWeapon","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
30,"WolvesTrinkets","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Juwelen","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
31,"WolvesGems","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
32,"WolvesCurrency","Howling Den","Antre hurlant","Heulender Bau","遠吠えの巣","울부짖는 굴","Covil Uivante","Воющая берлога","Madriguera aullante","ถ้ำสัตว์หอน","咆哮巢穴",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
33,"ExilesArmour","Smuggler's Stash","Réserve de contrebandier","Schmugglerversteck","密輸人のスタッシュ","밀수업자의 보관함","Baú do Contrabandista","Запас контрабандиста","Alijo del contrabandista","คลังเก็บของของโจร","走私犯的藏身處",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
34,"ExilesWeapon","Smuggler's Stash","Réserve de contrebandier","Schmugglerversteck","密輸人のスタッシュ","밀수업자의 보관함","Baú do Contrabandista","Запас контрабандиста","Alijo del contrabandista","คลังเก็บของของโจร","走私犯的藏身處",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
35,"ExilesMaps","Smuggler's Stash","Réserve de contrebandier","Schmugglerversteck","密輸人のスタッシュ","밀수업자의 보관함","Baú do Contrabandista","Запас контрабандиста","Alijo del contrabandista","คลังเก็บของของโจร","走私犯的藏身處",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
36,"ExilesFossils","Smuggler's Stash","Réserve de contrebandier","Schmugglerversteck","密輸人のスタッシュ","밀수업자의 보관함","Baú do Contrabandista","Запас контрабандиста","Alijo del contrabandista","คลังเก็บของของโจร","走私犯的藏身處",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[2],[15],"Contains Fossils","Présence de Fossiles","Enthält Fossilien","化石がある","화석 포함","Contém Fósseis","Содержит ископаемые","Contiene fósiles","มีฟอสซิล","包含化石",0,[0],[0],[0],[100]
37,"IceGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
38,"IceGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
39,"IceGolemCold","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Cold",[],[2],[50],"Contains Cold Items","Présence d'Objets de froid","Enthält Kälte-Gegenstände","冷気アイテムがある","냉기 아이템 포함","Contém Itens de Gelo","Содержит предметы холода","Contiene objetos de hielo","มีไอเทมน้ำแข็ง","包含冰冷物品",0,[0],[0],[0],[100]
40,"FireGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
41,"FireGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
42,"FireGolemFire","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Pedregulho Inquieto","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fire",[],[2],[50],"Contains Fire Items","Présence d'Objets de feu","Enthält Feuer-Gegenstände","火アイテムがある","화염 아이템 포함","Contém Itens de Fogo","Содержит предметы огня","Contiene objetos de fuego","มีไอเทมไฟ","包含火焰物品",0,[0],[0],[0],[100]
43,"MantleHellionsGeneric","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
44,"MantleHellionsArmour","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
45,"MantleHellionsWeapon","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
46,"MantleHellionsTrinkets","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
47,"MantleHellionsCurrency","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
48,"MantleHellionsFire","Sweltering Burrow","Tanière suffocante","Schwelender Bau","灼熱の巣穴","무더운 토굴","Toca Sufocante","Жаркая нора","Madriguera abrasadora","หลุมรูร้อนระอุ","悶熱陋居",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fire",[],[2],[50],"Contains Fire Items","Présence d'Objets de feu","Enthält Feuer-Gegenstände","火アイテムがある","화염 아이템 포함","Contém Itens de Fogo","Содержит предметы огня","Contiene objetos de fuego","มีไอเทมไฟ","包含火焰物品",0,[0],[0],[0],[100]
49,"MantleCampsiteGeneric","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
50,"MantleCampsiteArmour","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
51,"MantleCampsiteWeapon","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
52,"MantleCampsiteTrinkets","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
53,"MantleCampsiteCurrency","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
54,"MantleCampsiteMaps","Singed Camp","Camp brûlé","Versengtes Lager","焦げたキャンプ","그슬린 야영지","Acampamento Queimado","Сожжённый лагерь","Campamento chamuscado","ค่ายไหม้เกรียม","熾灼營地",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
55,"MantleSkeletonGeneric","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
56,"MantleSkeletonArmour","Smoldering Grave","Tombe en feu","Glimmende Grabstätte","燻る墓","그을린 무덤","Sepúlcro Latente","Тлеющая могила","Tumba ardiente","สุสานคุกรุ่น","熠熠古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
