"rownum","rid","rid","rid","i32"
151,9823,17664,13529,1
152,9826,17664,13528,1
153,9824,17664,13529,1
154,48,17664,13530,1
155,49,17664,13530,1
156,296,17664,13529,1
157,297,17664,13529,1
158,298,17664,13529,1
159,294,17664,13529,1
160,295,17664,13529,1
161,293,17664,13530,1
162,18,17664,13528,1
163,221,17664,13530,1
164,210,17664,13530,1
165,17,17664,13526,1
166,10272,17664,13528,1
167,161,17664,13529,1
168,160,17664,13528,1
169,159,17664,13527,1
170,158,17664,13526,1
171,140,17664,13529,1
172,139,17664,13529,1
173,138,17664,13528,1
174,137,17664,13527,1
175,136,17664,13526,1
176,87,17664,13529,1
177,86,17664,13529,1
178,85,17664,13528,1
179,84,17664,13528,1
180,83,17664,13527,1
181,82,17664,13527,1
182,81,17664,13526,1
183,119,17664,13529,1
184,118,17664,13529,1
185,117,17664,13528,1
186,116,17664,13528,1
187,115,17664,13527,1
188,114,17664,13526,1
189,130,17664,13529,1
190,129,17664,13528,1
191,128,17664,13528,1
192,127,17664,13527,1
193,126,17664,13526,1
194,157,17664,13529,1
195,156,17664,13528,1
196,155,17664,13527,1
197,154,17664,13526,1
198,107,17664,13529,1
199,106,17664,13529,1
200,105,17664,13528,1
201,104,17664,13528,1
202,103,17664,13527,1
203,102,17664,13526,1
204,170,17664,13529,1
205,169,17664,13528,1
206,168,17664,13527,1
207,135,17664,13529,1
208,134,17664,13529,1
209,133,17664,13528,1
210,132,17664,13527,1
211,131,17664,13526,1
212,164,17664,13529,1
213,163,17664,13528,1
214,162,17664,13527,1
215,153,17664,13529,1
216,152,17664,13528,1
217,151,17664,13527,1
218,150,17664,13526,1
219,175,17664,13530,1
220,174,17664,13530,1
221,176,17664,13530,1
222,80,17664,13529,1
223,79,17664,13529,1
224,78,17664,13528,1
225,77,17664,13528,1
226,76,17664,13527,1
227,75,17664,13527,1
228,74,17664,13526,1
229,94,17664,13529,1
230,93,17664,13529,1
231,92,17664,13528,1
232,91,17664,13528,1
233,90,17664,13527,1
234,89,17664,13527,1
235,88,17664,13526,1
236,125,17664,13529,1
237,124,17664,13529,1
238,123,17664,13528,1
239,122,17664,13527,1
240,121,17664,13527,1
241,120,17664,13526,1
242,173,17664,13529,1
243,172,17664,13528,1
244,171,17664,13527,1
245,167,17664,13529,1
246,166,17664,13528,1
247,165,17664,13527,1
248,145,17664,13529,1
249,144,17664,13528,1
250,143,17664,13528,1
251,142,17664,13527,1
252,141,17664,13526,1
253,177,17664,13530,1
254,101,17664,13529,1
255,100,17664,13529,1
256,99,17664,13528,1
257,98,17664,13528,1
258,97,17664,13527,1
259,96,17664,13527,1
260,95,17664,13526,1
261,149,17664,13529,1
262,148,17664,13528,1
263,147,17664,13527,1
264,146,17664,13526,1
265,113,17664,13529,1
266,112,17664,13529,1
267,111,17664,13528,1
268,110,17664,13528,1
269,109,17664,13527,1
270,108,17664,13526,1
271,9798,17664,13527,1
272,10251,17664,13529,1
273,10253,17664,13529,1
274,310,17664,13530,1
275,309,17664,13529,1
276,308,17664,13528,1
277,307,17664,13527,1
278,306,17664,13530,1
279,305,17664,13529,1
280,304,17664,13528,1
281,303,17664,13527,1
282,10252,17664,13529,1
283,218,17664,13530,1
284,5,17664,13530,1
285,260,17664,13528,1
286,254,17664,13528,1
287,258,17664,13528,1
288,266,17664,13529,1
289,264,17664,13528,1
290,256,17664,13529,1
291,245,17664,13528,1
292,262,17664,13530,1
293,255,17664,13529,1
294,253,17664,13528,1
295,265,17664,13529,1
296,244,17664,13528,1
297,247,17664,13528,1
298,259,17664,13530,1
299,242,17664,13528,1
300,257,17664,13528,1
301,250,17664,13528,1
302,248,17664,13528,1
303,263,17664,13528,1
304,243,17664,13528,1
305,246,17664,13528,1
306,251,17664,13528,1
307,249,17664,13528,1
308,252,17664,13528,1
309,261,17664,13528,1
310,33,17664,13528,1
311,12,17664,13527,1
312,311,17664,13530,1
313,195,17664,13528,1
314,194,17664,13528,1
315,192,17664,13528,1
316,193,17664,13529,1
317,196,17664,13530,1
318,9,17664,13528,1
319,4,17664,13527,1
320,53,17664,13529,1
321,51,17664,13529,1
322,56,17664,13529,1
323,68,17664,13529,1
324,63,17664,13529,1
325,65,17664,13529,1
326,58,17664,13529,1
327,72,17664,13529,1
328,55,17664,13529,1
329,69,17664,13529,1
330,70,17664,13529,1
331,73,17664,13529,1
332,59,17664,13529,1
333,67,17664,13529,1
334,52,17664,13529,1
335,62,17664,13529,1
336,64,17664,13529,1
337,61,17664,13529,1
338,66,17664,13529,1
339,50,17664,13529,1
340,60,17664,13529,1
341,71,17664,13529,1
342,54,17664,13529,1
343,57,17664,13529,1
344,13,17664,13529,1
345,15,17664,13526,1
346,299,17664,13530,1
347,9512,17664,13530,1
348,9511,17664,13530,1
349,9509,17664,13530,1
350,9510,17664,13530,1
351,9508,17664,13530,1
352,10328,17664,13529,1
353,10329,17664,13530,1
354,10330,17664,13529,1
355,10331,17664,13530,1
356,2,17790,13541,0
357,8864,18746,13555,0
