"rownum","RecipeId","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription (English)","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
10,147,"Movement Speed and Exerted Attacks - Rank 2","Vitesse de déplacement et Attaques stimulées - Rang 2","Bewegungsgeschwindigkeit und potenzierte Angriffe - Rang 2","移動スピードおよび奮起アタック - ランク 2","이동 속도 및 전력 공격 - 2단계","Velocidade de Movimento e Ataques Impelidos - Rank 2","Скорость передвижения и улучшенные атаки - уровень 2","Velocidad de movimiento y ataques optimizados - Nivel 2","ความเร็วในการเคลื่อนที่และสถานะฮึกเหิม - ระดับ 2","移動速度和竭盡攻擊－階級 2","[8,9,10,11]","","","","","","","","","","",2,81
11,159,"Physical Damage - Rank 2","Dégâts physiques - Rang 2","Physischer Schaden - Rang 2","物理ダメージ - ランク 2","물리 피해 - 2단계","Dano Físico - Rank 2","Физический урон - уровень 2","Daño físico - Nivel 2","ความเสียหาย เวท - ระดับ 2","物理傷害－階級 2","[0,1,2,3,4,9,10]","","","","","","","","","","",2,82
12,183,"Accuracy - Rank 1","Précision - Rang 1","Genauigkeit - Rang 1","命中力 - ランク 1","정확도 - 1단계","Precisão - Rank 1","Меткость - уровень 1","Precisión - Nivel 1","ความแม่นยำ - ระดับ 1","命中－階級 1","[0,1,2,3,4,5,7,9,10,13]","","","","","","","","","","",1,83
13,142,"Attributes - Rank 3","Attributs - Rang 3","Attribute - Rang 3","能力値 - ランク 3","능력치 - 3단계","Atritutos - Rank 3","Характеристики - уровень 3","Atributos - Nivel 3","ค่าคุณสมบัติ - ระดับ 3","能力值－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,1172
14,149,"Life and Mana - Rank 2","Vie et Mana - Rang 2","Leben und Mana - Rang 2","ライフおよびマナ - ランク 2","생명력 및 마나 - 2단계","Vida e Mana - Rank 2","Здоровье и мана - уровень 2","Vida y maná - Nivel 2","พลังชีวิตและมานา - ระดับ 2","生命和魔力－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",2,100
15,162,"Spell Damage - Rank 2","Dégâts des Sorts - Rang 2","Zauberschaden - Rang 2","スペルダメージ - ランク 2","주문 피해 - 2단계","Dano Mágico - Rank 2","Урон от чар - уровень 2","Daño de hechizos - Nivel 2","ความเสียหาย เวท - ระดับ 2","法術傷害－階級 2","[0,1,2,3]","","","","","","","","","","",2,93
16,187,"Defences - Rank 1","Défenses - Rang 1","Defensiven - Rang 1","防御力 - ランク 1","방어력 - 1단계","Defesas - Rank 1","Защита - уровень 1","Defensas - Nivel 1","ค่าป้องกัน - ระดับ 1","防禦－階級 1","[4,5,6,7,8]","","","","","","","","","","",1,44
17,171,"Fire Damage - Rank 2","Dégâts de feu - Rang 2","Feuerschaden - Rang 2","火ダメージ - ランク 2","화염 피해 - 2단계","Dano de Fogo - Rank 2","Урон от огня - уровень 2","Daño de fuego - Nivel 2","ความเสียหาย ไฟ - ระดับ 2","火焰傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,113
18,174,"Cold Damage - Rank 2","Dégâts de froid - Rang 2","Kälteschaden - Rang 2","冷気ダメージ - ランク 2","냉기 피해 - 2단계","Dano de Gelo - Rank 2","Урон от холода - уровень 2","Daño de hielo - Nivel 2","ความเสียหาย น้ำแข็ง - ระดับ 2","冰冷傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,114
19,178,"Lightning Damage - Rank 2","Dégâts de foudre - Rang 2","Blitzschaden - Rang 2","雷ダメージ - ランク 2","번개 피해 - 2단계","Dano de Raio - Rank 2","Урон от молнии  - уровень 2","Daño de rayo - Nivel 2","ความเสียหาย สายฟ้า - ระดับ 2","閃電傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,107
20,185,"Accuracy - Rank 2","Précision - Rang 2","Genauigkeit - Rang 2","命中力 - ランク 2","정확도 - 2단계","Precisão - Rank 2","Меткость - уровень 2","Precisión - Nivel 2","ความแม่นยำ - ระดับ 2","命中－階級 2","[0,1,2,3,4,5,7,9,10,13]","","","","","","","","","","",2,151
21,135,"Elemental Resistances - Rank 3","Résistances élémentaires - Rang 3","Elementarwiderstände - Rang 3","元素耐性 - ランク 3","원소 저항 - 3단계","Resistências Elementais - Rank 3","Сопротивления стихиям - уровень 3","Resistencias elementales - Nivel 3","ค่าต้านทาน ธาตุ - ระดับ 3","元素抗性－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,121
22,228,"Minions - Rank 1","Créatures - Rang 1","Kreaturen - Rang 1","ミニオン - ランク 1","소환수 - 1단계","Lacaios - Rank 1","Приспешники - уровень 1","Esbirros - Nivel 1","มิเนียน - ระดับ 1","召喚物－階級 1","[0,1,2,3,5,7,9,10]","","","","","","","","","","",1,127
23,230,"Traps and Mines - Rank 1","Pièges et Mines - Rang 1","Fallen und Minen - Rang 1","トラップおよびマイン - ランク 1","덫 및 지뢰 - 1단계","Armadilhas e Minas - Rank 3","Ловушки и мины - уровень 1","Trampas y minas - Nivel 1","กับดักและทุ่นระเบิด - ระดับ 1","陷阱和地雷－階級 1","[0,1,2,3]","","","","","","","","","","",1,133
24,160,"Physical Damage - Rank 3","Dégâts physiques - Rang 3","Physischer Schaden - Rang 3","物理ダメージ - ランク 3","물리 피해 - 3단계","Dano Físico - Rank 3","Физический урон - уровень 3","Daño físico - Nivel 3","ความเสียหาย กายภาพ - ระดับ 3","物理傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,143
25,163,"Spell Damage - Rank 3","Dégâts des Sorts - Rang 3","Zauberschaden - Rang 3","スペルダメージ - ランク 3","주문 피해 - 3단계","Dano Mágico - Rank 3","Урон от чар - уровень 3","Daño de hechizos - Nivel 3","ความเสียหาย เวท - ระดับ 3","法術傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,141
26,169,"Attack and Cast Speed - Rank 2","Vitesse d'attaque et incantation - Rang 2","Angriffs- und Zaubergeschwindigkeit - Rang 2","アタックおよびキャストスピード - ランク 2","공격 및 시전 속도 - 2단계","Velocidades de Ataque e Conjuração - Rank 2","Скорость атаки и сотворения чар - уровень 2","Velocidades de ataque y lanzamiento de hechizos - Nivel 2","ความเร็วในการโจมตีและร่าย - ระดับ 2","攻擊和施放速度－階級 2","[0,1,2,3,4,10]","","","","","","","","","","",2,138
27,150,"Life and Mana - Rank 3","Vie et Mana - Rang 3","Leben und Mana - Rang 3","ライフおよびマナ - ランク 3","생명력 및 마나 - 3단계","Vida e Mana - Rank 3","Здоровье и мана - уровень 3","Vida y maná - Nivel 3","พลังชีวิตและมานา - ระดับ 3","生命和魔力－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","","","","","","","","","","",3,153
28,181,"Chaos Damage - Rank 2","Dégâts de chaos - Rang 2","Chaosschaden - Rang 2","混沌ダメージ - ランク 2","카오스 피해 - 2단계","Dano de Caos - Rank 2","Урон хаосом - уровень 2","Daño de caos - Nivel 2","ความเสียหาย เคออส - ระดับ 2","混沌傷害－階級 2","[0,1,2,3,9,10]","","","","","","","","","","",2,156
29,188,"Defences - Rank 2","Défenses - Rang 2","Defensiven - Rang 2","防御力 - ランク 2","방어력 - 2단계","Defesas - Rank 2","Защита - уровень 2","Defensas - Nivel 2","ค่าป้องกัน - ระดับ 2","防禦－階級 2","[4,5,6,7,8]","","","","","","","","","","",2,90
30,148,"Movement Speed and Flask Enchantments - Rank 3","Vitesse de déplacement et Enchantements des Flacons - Rang 3","Bewegungsgeschwindigkeit und Fläschchenverzauberung - Rang 3","移動スピードおよびフラスコエンチャント - ランク 3","이동 속도 및 플라스크 인챈트 - 3단계","Velocidade de Movimento e Encantamento de Frasco - Rank 3","Скорость передвижения и зачарования флаконов - уровень 3","Velocidad de movimiento y encantamientos de frascos  - Nivel 3","ความเร็ว​ใน​การ​เคลื่อนที่ และ เอนแชนท์​ขวดยา - ระดับ 3","移動速度和藥劑附魔－階級 3","[8,12]","Epilogue","L'Épilogue","Epilog","エピローグ","에필로그","Epílogo","Эпилог","Epílogo","บทส่งท้าย","終章",3,165
31,139,"All Resistances - Rank 1","Toutes les Résistances - Rang 1","Alle Widerstände - Rang 1","全耐性 - ランク 1","모든 저항 - 1단계","Todas as Resistências - Rank 1","Все сопротивления - уровень 1","Todas las resistencias - Nivel 1","ค่าต้านทาน ทุกชนิด - ระดับ 1","全部抗性－階級 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Aspirant's Trial","L'Ordalie du Prétendant","Prüfung des Anwärters","志す者への試練","지망자의 시험","Provação do Aspirante","Испытание Претендента в обычном лабиринте","La Prueba del Aspirante","บททดสอบของผู้ใฝ่อำนาจ","昇華試煉",1,530
32,137,"Double Resistances - Rank 2","Deux Résistances - Rang 2","Doppelte Widerstände - Rang 2","二重耐性 - ランク 2","이중 저항 - 2단계","Resistências Dobradas - Rank 2","Двойные сопротивления - уровень 2","Resistencias dobles - Nivel 2","ค่าต้านทาน สองชนิด - ระดับ 2","2 倍抗性－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Cruel Aspirant's Trial","L'Ordalie cruelle du Prétendant","Grausame Prüfung des Anwärters","残酷な志す者への試練","잔혹한 지망자의 시험","Provação Cruel do Aspirante","Испытание Претендента в жестоком лабиринте","La Prueba del Aspirante Cruel","บททดสอบโหดร้ายของผู้ใฝ่อำนาจ","殘酷昇華試煉",2,602
33,138,"Double Resistances - Rank 3","Deux Résistances - Rang 3","Doppelte Widerstände - Rang 3","二重耐性 - ランク 3","이중 저항 - 3단계","Resistências Dobradas - Rank 3","Двойные сопротивления - уровень 3","Resistencias dobles - Nivel 3","ค่าต้านทาน สองชนิด - ระดับ 3","2 倍抗性－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Merciless Aspirant's Trial","L'Ordalie impitoyable du Prétendant","Gnadenlose Prüfung des Anwärters","無慈悲な志す者への試練","무자비한 지망자의 시험","Provação Impiedosa do Aspirante","Испытание Претендента в безжалостном лабиринте","La Prueba del Aspirante Despiadada","บททดสอบไร้ปรานีของผู้ใฝ่อำนาจ","無情昇華試煉",3,674
34,140,"All Resistances - Rank 2","Toutes les Résistances - Rang 2","Alle Widerstände - Rang 2","全耐性 - ランク 2","모든 저항 - 2단계","Todas as Resistências - Rank 2","Все сопротивления - уровень 2","Todas las resistencias - Nivel 2","ค่าต้านทาน ทุกชนิด - ระดับ 3","全部抗性－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Eternal Aspirant's Trial","L'Ordalie éternelle du Prétendant","Ewige Prüfung des Anwärters","永遠の志す者への試練","영원한 지망자의 시험","Provação Eterna do Aspirante","Испытание Претендента в Вечном Лабиринте","La Prueba del Aspirante Eterna","บททดสอบชั่วนิรันดร์ของผู้ใฝ่อำนาจ","永恆昇華試煉",2,746
35,166,"Elemental Damage with Attacks - Rank 1","Dégâts élémentaires avec les Attaques - Rang 1","Elementarschaden mit Angriffen - Rang 1","アタック元素ダメージ - ランク 1","공격 시 원소 피해 - 1단계","Dano Elemental com Ataques - Rank 1","Урон от стихий атаками - уровень 1","Daño elemental con ataques - Nivel 1","ความเสียหาย ธาตุ ด้วยการโจมตี - ระดับ 1","元素攻擊傷害－階級 1","[0,1,2,3,9,10,11,13]","Labyrinth Trial in The Catacombs","L'Épreuve du Labyrinthe dans Les Catacombes","Labyrinth-Prüfung: Die Katakomben","地下墓地のラビリンスの試練","지하 묘지의 미궁 도전","Provação do Labirinto nas Catacumbas","Испытание Восхождения в Катакомбах","Prueba del Laberinto en las catacumbas","บททดสอบเขาวงกต ใน สุสานใต้ดิน","黑石陵墓的試煉迷宮",1,46
36,144,"All Attributes - Rank 1","Tous les Attributs - Rang 1","Alle Attribute - Rang 1","全能力値 - ランク 1","전체 능력치 - 1단계","Todos os Atributos - Rank 1","Все характеристики - уровень 1","Todos los atributos - Nivel 1","ค่าคุณสมบัติ ทุกชนิด - ระดับ 1","全能力值－階級 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Imperial Gardens","L'Épreuve du Labyrinthe dans Les Jardins impériaux","Labyrinth-Prüfung: Die kaiserlichen Gärten","帝国の庭園のラビリンスの試練","황실 정원의 미궁 도전","Provação do Labirinto nos Jardins Imperiais","Испытание Восхождения в Имперских садах","Prueba del Laberinto en los jardines imperiales","บททดสอบเขาวงกต ใน สวนจักรพรรดิ","皇家花園的試煉迷宮",1,55
37,136,"Double Resistances - Rank 1","Deux Résistances - Rang 1","Doppelte Widerstände - Rang 1","二重耐性 - ランク 1","이중 저항 - 1단계","Resistências Dobradas - Rank 1","Двойные сопротивления - уровень 1","Resistencias dobles - Nivel 1","ค่าต้านทานสองชนิด - ระดับ 1","2 倍抗性－階級 1","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Lower Prison","L'Épreuve du Labyrinthe dans La Prison, niv. inférieur","Labyrinth-Prüfung: Das untere Gefängnis","牢獄 -下層-のラビリンスの試練","수용소 하층의 미궁 도전","Provação do Labirinto no Andar de Baixo da Prisão","Испытание Восхождения в Тюремном подземелье","Prueba del Laberinto en la prisión inferior","บททดสอบเขาวงกต ใน เรือนจำชั้นล่าง","禁靈之獄下層的試煉迷宮",1,92
38,164,"Damage over Time - Rank 1","Dégâts sur la durée - Rang 1","Schaden über Zeit - Rang 1","継続ダメージ - ランク 1","지속 피해 - 1단계","Dano Degenerativo - Rank 1","Постепенный урон - уровень 1","Daño degenerativo - Nivel 1","ความเสียหายต่อเนื่อง - ระดับ 1","持續傷害－階級 1","[0,1,2,3]","Labyrinth Trial in The Crypt","L'Épreuve du Labyrinthe dans La Crypte","Labyrinth-Prüfung: Die Krypta","地下聖堂のラビリンスの試練","지하실의 미궁 도전","Provação do Labirinto na Cripta","Испытание Восхождения в Склепе","Prueba del Laberinto en la cripta","บททดสอบเขาวงกต ใน สุสาน","靜謐陵墓的試煉迷宮",1,106
39,156,"Mana Regen - Rank 1","Régénération de Mana - Rang 1","Manaregeneration - Rang 1","マナ自動回復 - ランク 1","마나 재생 -1단계","Regeneração de Mana - Rank 1","Регенерация маны - уровень 1","Regeneración de maná - Nivel 1","ฟื้นฟูมานา - ระดับ 1","魔力回復－階級 1","[0,1,2,3,4,9,10]","Labyrinth Trial in The Chamber of Sins Level 2","L'Épreuve du Labyrinthe dans La Chambre des péchés, niv. 2","Labyrinth-Prüfung: Die Kammer der Sünden - Ebene 2","罪の間 -第二層-のラビリンスの試練","죄악의 방 2층의 미궁 도전","Provação do Labirinto na Câmara dos Pecados Nível 2","Испытание Восхождения в Обители грехов — уровень 2","Prueba del Laberinto en el aposento de los pecados nivel 2","บททดสอบเขาวงกต ใน โถงแห่งบาป ชั้นที่ 2","罪孽之殿：第 2 層的試煉迷宮",1,108
40,192,"Flask Duration - Rank 1","Durée des Flacons - Rang 1","Fläschchendauer - Rang 1","フラスコ効果時間 - ランク 1","플라스크 지속시간 - 1단계","Duração de Frasco - Rank 1","Длительность флакона - уровень 1","Duración de frascos - Nivel 1","ระยะเวลาของขวดยา - ระดับ 1","藥劑持續時間－階級 1",[11],"Labyrinth Trial in The Bath House","L'Épreuve du Labyrinthe dans Les Thermes","Labyrinth-Prüfung: Das Badehaus","浴場のラビリンスの試練","목욕탕의 미궁 도전","Provação do Labirinto na Casa de Banho","Испытание Восхождения в Купальнях","Prueba del Laberinto en el baño público","บททดสอบเขาวงกต ใน โรงอาบน้ำ","大浴堂的試煉迷宮",1,124
41,145,"All Attributes - Rank 2","Tous les Attributs - Rang 2","Alle Attribute - Rang 2","全能力値 - ランク 2","전체 능력치 - 2단계","Todos os Atributos - Rank 2","Все характеристики - уровень 2","Todos los atributos - Nivel 2","ค่าคุณสมบัติ ทุกชนิด - ระดับ 2","全能力值－階級 2","[0,1,2,3,4,5,6,7,8,9,10,11,13]","Labyrinth Trial in The Tunnel","L'Épreuve du Labyrinthe dans Le Tunnel","Labyrinth-Prüfung: Der Tunnel","坑道のラビリンスの試練","터널의 미궁 도전","Provação do Labirinto no Túnel","Испытание Восхождения в Туннеле","Prueba del Laberinto en el túnel","บททดสอบเขาวงกต ใน อุโมงค์","隧道遺跡的試煉迷宮",2,142
42,234,"Socket Numbers - 2 to 4 Sockets","Nombre de Châsses - 2 à 4 Châsses","Fassungsanzahl - 2 bis 4 Fassungen","ソケット数 - 2から4ソケット","홈 개수 - 홈 2~4개","Número de Encaixes - 2 a 4 Encaixes","Количество гнёзд - от 2 до 4 гнёзд","Número de engarces: 2 a 4 engarces","จำนวนรู - 2 ถึง 4 รู","插槽數量 - 2 至 4 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,69
43,237,"Socket Numbers - 5 Sockets","Nombre de Châsses - 5 Châsses","Fassungsanzahl - 5 Fassungen","ソケット数 - 5ソケット","홈 개수 - 홈 5개","Número de Encaixes - 5 Encaixes","Количество гнёзд - 5 гнёзд","Número de engarces: 5 engarces","จำนวนรู - 5 รู","插槽數量 - 5 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1115
44,238,"Socket Numbers - 6 Sockets","Nombre de Châsses - 6 Châsses","Fassungsanzahl - 6 Fassungen","ソケット数 - 6ソケット","홈 개수 - 홈 6개","Número de Encaixes - 6 Encaixes","Количество гнёзд - 6 гнёзд","Número de engarces: 6 engarces","จำนวนรู - 6 รู","插槽數量 - 6 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1093
45,239,"Socket Links - 2 to 4 Linked Sockets","Liens des Châsses - 2 à 4 Châsses reliées","Fassungsverbindungen - 2 bis 4 verbundene Fassungen","ソケットリンク - 2から4リンクソケット","홈 연결부 - 연결된 홈 2~4개","Conexões de Encaixes - 2 a 4 Encaixes Conectados","Количество связей - от 2 до 4 связанных гнёзд","Vínculos entre engarces: 2 a 4 engarces vinculados","เชื่อมรู - 2 ถึง 4 เชื่อม","插槽數量 - 2 至 4 個插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,67
46,242,"Socket Links - 5 Linked Sockets","Liens des Châsses - 5 Châsses reliées","Fassungsverbindungen - 5 verbundene Fassungen","ソケットリンク - 5リンクソケット","홈 연결부 - 연결된 홈 5개","Conexões de Encaixes - 5 Encaixes Conectados","Количество связей - 5 связанных гнёзд","Vínculos entre engarces: 5 engarces vinculados","เชื่อมรู - 5 เชื่อม","插槽連結 - 5 個相連插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1123
47,243,"Socket Links - 6 Linked Sockets","Liens des Châsses - 6 Châsses reliées","Fassungsverbindungen - 6 verbundene Fassungen","ソケットリンク - 6リンクソケット","홈 연결부 - 연결된 홈 6개","Conexões de Encaixes - 6 Encaixes Conectados","Количество связей - 6 связанных гнёзд","Vínculos entre engarces: 6 engarces vinculados","เชื่อมรู - 6 เชื่อม","插槽連結 - 6 個相連插槽","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,1269
48,244,"Socket Colours","Couleur des Châsses","Fassungsfarben","ソケット - 色","홈 색상","Cores do Encaixe","Цвета гнёзд","Colores de engarces","สีรู","插槽顏色","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",0,63
49,151,"Life and Mana - Rank 4","Vie et Mana - Rang 4","Leben und Mana - Rang 4","ライフおよびマナ - ランク 4","생명력 및 마나 - 4단계","Vida e Mana - Rank 4","Здоровье и мана - уровень 4","Vida y maná - Nivel 4","พลังชีวิตและมานา - ระดับ 4","生命和魔力－階級 4","[0,1,2,3,6,7,8,5,4]","","","","","","","","","","",4,1090
50,196,"Attack and Spell Block - Rank 1","Blocage des attaques et des sorts - Rang 1","Blocken und Entgehen von Angriffen - Rang 1","アタックおよびスペルブロック - ランク 1","공격 및 주문 막기 - 1단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 1","Bloqueo de ataques y hechizos - Nivel 1","การบล็อคโจมตีและเวท - ระดับ 1","攻擊和法術格擋－階級 1",[4],"","","","","","","","","","",1,1094
51,193,"Flask Duration - Rank 2","Durée des Flacons - Rang 2","Fläschchendauer - Rang 2","フラスコ効果時間 - ランク 2","플라스크 지속시간 - 2단계","Duração de Frasco - Rank 2","Длительность флакона - уровень 2","Duración de frascos - Nivel 2","ระยะเวลาของขวดยา - ระดับ 2","藥劑持續時間－階級 2",[11],"","","","","","","","","","",2,1181
52,195,"Ailment, Stun and Curse Mitigation - Rank 2","Atténuation des Altérations, des Étourdissements et des Malédictions - Rang 2","Minderung von Beeinträchtigungen, Betäuben und Flüchen - Rang 2","状態異常、スタンおよび呪い緩和 - ランク 2","상태 이상, 기절 및 저주 완화 - 2단계","Afecções, Atordoamentos e Mitigação de Maldições - Rank 2","Облегчение состояний, оглушения и проклятий - уровень 2","Mitigación de estados alterados, aturdimiento y maldiciones - Nivel 2","การบรรเทาสถานะ เจ็บป่วย, มึนงง, คำสาป - ระดับ 2","異常狀態、暈眩和詛咒減免－階級 2","[5,7,8,9]","","","","","","","","","","",2,1200
53,191,"Criticals - Rank 2","Critiques - Rang 2","Kritische Chance - Rang 2","クリティカル - ランク 2","치명타 - 2단계","Críticos - Rank 2","Критические - уровень 2","Críticos - Nivel 2","คริติคอล - ระดับ 2","暴擊－階級 2","[0,1,2,3,10,13]","","","","","","","","","","",2,1217
54,199,"Special Defences - Rank 2","Défenses spéciales - Rang 2","Besondere Defensiven - Rang 2","特殊防御力 - ランク 2","특수 방어력 - 2단계","Defesas Especiais - Rank 2","Особые виды защиты - уровень 2","Defensas especiales - Nivel 2","ค่าป้องกันแบบพิเศษ - ระดับ 2","特殊防禦－階級 2","[6,4,5,7,8]","","","","","","","","","","",2,1145
55,197,"Attack and Spell Block - Rank 2","Blocage des attaques et des sorts - Rang 2","Blocken und Entgehen von Angriffen - Rang 2","アタックおよびスペルブロック - ランク 2","공격 및 주문 막기 - 2단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 2","Bloqueo de ataques y hechizos - Nivel 2","การบล็อคโจมตีและเวท - ระดับ 2","攻擊和法術格擋－階級 2",[4],"","","","","","","","","","",2,1158
56,253,"Global Energy Shield - Rank 2","Bouclier d'énergie Global - Rang 2","Globaler Energieschild - Rang 2","グローバルエナジーシールド - ランク 2","에너지 보호막 재충전 - 2단계","Escudo de Energia Global - Rank 2","Глобальный энергетический щит - уровень 2","Escudo de energía global - Nivel 2","โล่พลังงาน ของตัวละคร - ระดับ 2","全域能量護盾－階級 2","[10,9]","","","","","","","","","","",2,1229
57,172,"Fire Damage - Rank 3","Dégâts de feu - Rang 3","Feuerschaden - Rang 3","火ダメージ - ランク 3","화염 피해 - 3단계","Dano de Fogo - Rank 3","Урон от огня - уровень 3","Daño de fuego - Nivel 3","ความเสียหาย ไฟ - ระดับ 3","火焰傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1106
