"rownum","Index","SupportGem","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
24,25,211,"Less Duration","Perte de Durée","Verkürzte Dauer","持続時間低下","지속시간 감소","Menos Duração","Сокращение","Duración reducida","Less Duration","持續時間縮短"
25,26,307,"Swift Affliction","Affliction fulgurante","Schneller Verfall","スウィフトアフリクション","고통 격화","Sofrimento Veloz","Стремительный недуг","Aflicción veloz","Swift Affliction","極速苦痛"
26,27,172,"Ballista Totem","Totem Baliste","Ballistentotem","バリスタトーテム","쇠뇌 토템","Totem Balista","Тотем-баллиста","Tótem balista","Ballista Totem","砲塔圖騰"
27,28,411,"Rage","Rage","Rausch","憤怒","격노","Fúria","Свирепость","Furia","Rage","盛怒"
28,29,410,"Pulverise","Pulvérisation","Pulverisieren","強打","분쇄","Pulverizar ","Распыление","Pulverizar","Pulverise","磨鍊"
29,30,191,"Power Charge On Critical","Charge de pouvoir par Coup critique","Energie-Ladung bei kritischem Treffer","クリティカル時パワーチャージ","치명타 시 권능 충전","Carga de Poder no Crítico","Заряд энергии при критическом ударе","Carga de poder en golpe crítico","Power Charge On Critical","暴擊獲得暴擊球"
30,31,299,"Critical Strike Affliction","Affliction critique","Kritische Beeinträchtigungen","クリティカルアフリクション","치명타 고통 격화","Aflição dos Golpes Críticos","Критические удары состояниями","Aflicción por golpe crítico","Critical Strike Affliction","暴擊苦痛"
31,32,145,"Point Blank","À bout portant","Aus nächster Nähe","ポイントブランク","근접 사격","Queima-Roupa","Стрельба в упор","Quemarropa","Point Blank","零點射擊"
32,33,70,"Pierce","Transpercement","Durchbohren","貫通","관통","Atravessar","Пронзание","Perforar","Pierce","穿透"
33,34,265,"Physical to Lightning","Conversion du physique en foudre","Physisch zu Blitz","物理から雷変換","물리 번개 전환","Físico para Raio","Физический урон в молнии","Físico a rayo","Physical to Lightning","物理轉閃電"
34,35,231,"Vicious Projectiles","Projectiles cruels","Bösartige Projektile","投射物強化","포악한 투사체","Projéteis Perigosos","Яростные снаряды","Proyectiles despiadados","Vicious Projectiles","猛毒投射物"
35,36,345,"Volley","Volée","Projektilsalve","斉射","사격 공세","Rajada","Залп","Salva","Volley","齊射"
36,37,337,"Momentum","Accélération","Momentum","モーメンタム","기세","Momentum","Импульс","Momentum","Momentum","氣勢"
37,38,419,"Nightblade","Lame nocturne","Nachtklinge","夜刃","밤의 칼날","Lâmina Noturna","Клинок во тьме","Filo de la noche","Nightblade","夜刃"
38,39,200,"Multiple Traps","Pièges multiples","Mehrfachfallen","マルチトラップ","다중 덫","Múltiplas Armadilhas","Дополнительные ловушки","Trampas múltiples","Multiple Traps","多重陷阱"
39,40,377,"Multiple Totems","Totems multiples","Mehrere Totems","マルチトーテム","다중 토템","Totens Múltiplos","Множество тотемов","Tótems múltiples","Multiple Totems","多重圖騰"
40,41,188,"Multistrike","Multifrappe","Mehrfachschlag","マルチストライク","연속타격","Ataques Múltiplos","Град ударов","Golpes múltiples","Multistrike","多重打擊"
41,42,189,"Spell Echo","Écho de sortilèges","Zauberecho","スペルエコー","주문 메아리","Eco Mágico","Эхо магии","Eco de hechizo","Spell Echo","施放迴響"
42,43,349,"Mirage Archer","Archer mirage","Phantombogenschütze","ミラージュアーチャー","신기루 궁수","Arqueiro Ilusório","Призрачный лучник","Arquero ilusorio","Mirage Archer","幻影射手"
43,44,316,"Minefield","Champ de Mines","Minenfeld","マインフィールド","지뢰밭","Campo Minado","Минное поле","Campo de minas","Minefield","地雷網"
44,45,190,"Melee Splash","Dégâts de mêlée collatéraux","Nahkampf-Streuschaden","近接スプラッシュ","근접 범위 피해","Propagar Dano","Раскатистый удар","Golpe colateral","Melee Splash","近戰傷害擴散"
45,46,83,"Melee Physical Damage","Dégâts physiques de mêlée","Physischer Nahkampfschaden","近接物理ダメージ","근접 물리 피해","Dano Físico Corpo a Corpo","Физический урон ближнего боя","Daño físico cuerpo a cuerpo","Melee Physical Damage","近戰物理傷害"
46,47,148,"Damage on Full Life","Dégâts lorsque la Vie est Pleine","Schaden bei vollem Leben","フルライフ時ダメージ","최대 생명력 시 피해","Dano com Vida Cheia","Урон при полном здоровье","Daño con vida llena","Damage on Full Life","滿血傷害"
47,48,420,"Meat Shield","Souffre-douleur","Fleischschild","肉の壁","육탄 방어","Escudo de Carne","Живой щит","Escudo de carne","Meat Shield","肉盾"
48,49,60,"Mana Leech","Drain de Mana","Manaraub","マナリーチ","마나 흡수","Dreno de Mana","Вытягивание маны","Absorción de maná","Mana Leech","魔力偷取"
49,50,332,"Maim","Mutilation","Verstümmeln","重傷","힘줄 절단","Mutilação","Увечье","Lisiar","Maim","癱瘓"
50,51,175,"Lightning Penetration","Pénétration de la foudre","Durchdringender Blitz","雷耐性突破","번개 관통","Penetração de Raio","Пронизывающие молнии","Penetración de rayo","Lightning Penetration","閃電穿透"
51,52,59,"Life Leech","Drain de Vie","Lebensraub","ライフリーチ","생명력 흡수","Dreno de Vida","Вытягивание здоровья","Absorción de vida","Life Leech","生命偷取"
52,53,115,"Life Gain on Hit","Gain de Vie au Toucher","Lebenserhalt bei Treffer","ヒット時ライフ獲得","명중 시 생명력 획득","Ganho de Vida no Acerto","Здоровье за удар","Vida ganada por golpe","Life Gain on Hit","擊中生命回復"
53,54,326,"Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","Chance to Poison","機率中毒"
54,55,36,"Lesser Multiple Projectiles","Projectiles multiples mineurs","Kleinere Projektilaufteilung","投射物追加（小）","하위 다중 투사체","Projéteis Múltiplos Menor","Дополнительные снаряды","Proyectiles múltiples menores","Lesser Multiple Projectiles","低階多重投射"
55,56,58,"Knockback","Repoussement","Zurückstoßen","ノックバック","밀어내기","Empurrar","Отбрасывание","Empujar","Knockback","擊退"
56,57,85,"Item Rarity","Rareté des Objets","Gegenstandsseltenheit","アイテムレアリティ増加","아이템 희귀도","Raridade de Itens","Редкость предметов","Rareza de objetos","Item Rarity","物品稀有度增幅"
57,58,147,"Iron Will","Volonté de fer","Eiserner Wille","アイアンウィル","강철의 의지","Vontade de Ferro","Железная воля","Voluntad de hierro","Iron Will","鋼鐵意志"
58,59,146,"Iron Grip","Poigne de fer","Eiserner Griff","アイアングリップ","강철 손아귀","Empunhadura de Ferro","Железная хватка","Sujeción de hierro","Iron Grip","鋼鐵之握"
59,60,281,"Innervate","Innervation","Aufladen","電気刺激","자극","Inervação","Возбуждение","Inervar","Innervate","亢奮"
60,61,425,"Infernal Legion","Légion infernale","Legion des Höllenfeuers","インファーナルリージョン","지옥불 군단","Legião Infernal","Пылающий легион","Legión infernal","Infernal Legion","煉獄軍團"
61,62,111,"Minion Speed","Vitesse des Créatures","Kreaturengeschwindigkeit","ミニオンスピード","소환수 속도","Velocidade do Lacaio","Скорость приспешников","Velocidad de esbirros","Minion Speed","召喚物速度"
62,63,112,"Minion Life","Vie des Créatures","Kreaturenleben","ミニオンライフ","소환수 생명력","Vida do Lacaio","Здоровье приспешников","Vida de esbirros","Minion Life","召喚物生命"
63,64,107,"Minion Damage","Dégâts des Créatures","Kreaturenschaden","ミニオンダメージ","소환수 피해","Dano do Lacaio","Урон приспешников","Daño de esbirros","Minion Damage","召喚物傷害"
64,65,108,"Increased Duration","Augmentation de Durée","Verlängerte Dauer","持続時間増加","지속시간 증가","Duração Aumentada","Продление","Duración aumentada","Increased Duration","持續時間延長"
65,66,56,"Increased Critical Strikes","Augmentation des Chances de coup critique","Erhöhte kritische Trefferchance","クリティカル率増加","치명타 증가","Acertos Críticos Aumentados","Учащение критических ударов","Golpes críticos aumentados","Increased Critical Strikes","增加暴擊率"
66,67,57,"Increased Critical Damage","Augmentation des Dégâts critiques","Erhöhter kritischer Trefferschaden","クリティカルダメージ増加","치명타 피해 증가","Dano Crítico Aumentado","Усиление критических ударов","Daño crítico aumentado","Increased Critical Damage","增加暴擊傷害"
67,68,193,"Burning Damage","Dégâts de Brûlure","Brandschaden","燃焼ダメージ","화상 피해","Dano Incendiário","Урон от горения","Daño de incendio","Burning Damage","燃燒傷害"
68,69,40,"Increased Area of Effect","Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Расширенная область действия","Área de efecto aumentada","Increased Area of Effect","增加範圍"
69,70,407,"Impale","Empalement","Aufspießen","串刺し","꿰뚫기","Empalar","Прокол","Empalar","Impale","穿刺"
70,71,333,"Immolate","Immolation","Feueropferung","火刑","번제","Imolação","Жертвенность","Inmolar","Immolate","犧牲"
71,72,324,"Ignite Proliferation","Propagation d'Embrasement","Feuerübertragung","発火拡散","점화 확산","Proliferação de Incêndio","Распространение поджога","Proliferación de quemadura","Ignite Proliferation","點燃擴散"
72,73,279,"Ice Bite","Morsure du froid","Erfrierung","氷傷","얼음 쐐기","Mordida Congelante","Укус льда","Mordida de hielo","Ice Bite","霜咬"
73,74,280,"Hypothermia","Hypothermie","Hypothermie","低体温化","체온저하","Hipotermia","Переохлаждение","Hipotermia","Hypothermia","急凍"
74,75,434,"Greater Volley","Volée majeure","Größere Projektilsalve","斉射（大）","상위 사격 공세","Grande Rajada","Большой залп","Salva superior","Greater Volley","高階齊射"
75,76,113,"Elemental Damage with Attacks","Dégâts élémentaires des Attaques","Elementarschaden mit Angriffen","アタック元素ダメージ","공격 시 원소 피해","Dano Elemental com Ataques","Урон от стихий атаками","Daño elemental con ataques","Elemental Damage with Attacks","元素攻擊傷害"
76,77,246,"Generosity","Générosité","Großzügigkeit","寛大","관대함","Generosidade","Щедрость","Generosidad","Generosity","和善"
77,78,360,"Charged Traps","Pièges galvanisants","Geladene Fallen","チャージドトラップ","충전된 덫","Armadilhas Carregadas","Заряженные ловушки","Trampas cargadas","Charged Traps","陷阱充能"
78,79,277,"Fortify","Renforcement","Verstärken","堅牢化","방어 상승","Fortificar","Укрепление","Fortificar","Fortify","護體"
79,80,179,"Fork","Scindement","Gabelung","分岐","갈래","Difundir","Разветвление","Bifurcar","Fork","分裂"
80,81,157,"Chance to Flee","Chances de fuite","Chance in die Flucht zu schlagen","逃走付与","도망칠 확률","Chance de Fugir","Паника","Probabilidad de huir","Chance to Flee","機率逃跑"
81,82,173,"Fire Penetration","Pénétration du feu","Durchdringendes Feuer","火耐性突破","화염 관통","Penetração de Fogo","Пронизывающий жар","Penetración de fuego","Fire Penetration","火焰穿透"
82,83,416,"Feeding Frenzy","Frénésie dévorante","Fressrausch","フィーディングフレンジー","격분 주입","Frenesi Faminto","Голодное остервенение","Frenesí voraz","Feeding Frenzy","豢養狂熱"
83,84,37,"Faster Projectiles","Vitesse des projectiles","Schnellere Projektile","投射物高速化","투사체 속도 증가","Projéteis Rápidos","Ускорение снарядов","Proyectiles rápidos","Faster Projectiles","快速投射"
84,85,86,"Faster Casting","Vitesse d'incantation","Schnelleres Zaubern","キャストスピード","시전 속도 증가","Conjuração Acelerada","Ускоренное сотворение чар","Lanzamiento rápido de hechizos","Faster Casting","快速施放"
85,86,34,"Faster Attacks","Vitesse d'attaque","Schnellere Angriffe","アタックスピード","공격 속도 증가","Ataques Acelerados","Ускорение атак","Ataques rápidos","Faster Attacks","快速攻擊"
86,87,383,"Energy Leech","Drain d'énergie","Energieraub","エナジーリーチ","에너지 흡수","Dreno de Energia","Похищение энергетического щита","Absorción de energía","Energy Leech","能量偷取"
87,88,205,"Endurance Charge on Melee Stun","Charge d'endurance par Étourdissement en mêlée","Widerstands-Ladung bei Nahkampfbetäubung","近接スタン時エンデュランスチャージ","기절 시 인내 충전","Carga de Tolerância ao Atordoar em Corpo a Corpo","Заряд выносливости при оглушении в ближнем бою","Carga de aguante al aturdir cuerpo a cuerpo","Endurance Charge on Melee Stun","近戰擊暈獲得耐力球"
88,89,140,"Elemental Proliferation","Propagation élémentaire","Elementarübertragung","元素拡散","원소 확산","Proliferação Elemental","Разгул стихий","Proliferación elemental","Elemental Proliferation","元素擴散"
89,90,315,"Elemental Focus","Focalisation élémentaire","Elementarfokus","元素ダメージ集中","원소 집중","Foco Elemental","Концентрация стихий","Concentración elemental","Elemental Focus","元素集中"
90,91,330,"Efficacy","Efficacité","Wirkmacht","効果増大","효력","Eficácia","Эффективность","Eficacia","Efficacy","效能"
91,92,329,"Decay","Décomposition","Verfall","ディケイ","부패","Podridão","Разложение","Decaimiento","Decay","腐化"
92,93,417,"Predator","Prédation","Todfeind","捕食者","포식자","Predador","Хищник","Depredación","Predator","掠奪者"
93,94,327,"Deadly Ailments","Altérations funestes","Tödliche Beeinträchtigungen","状態異常特化","치명적인 상태 이상","Afecções Mortais","Смертельные состояния","Estados alterados mortales","Deadly Ailments","致命異常"
94,95,195,"Hextouch","Toucher calamiteux","Verhexende Berührung","ヒット時呪術","사술 손길","Toque Maldito","Касание порчи","Toque maléfico","Hextouch","咒術降臨"
95,96,144,"Culling Strike","Coup de grâce","Todesstoß","カリングストライク","마무리 타격","Golpe Abatedor","Добивание","Golpe de gracia","Culling Strike","撲殺"
96,97,306,"Controlled Destruction","Destruction maîtrisée","Kontrollierte Zerstörung","破壊制御","제어된 파괴","Destruição Controlada","Контролируемое разрушение","Destrucción controlada","Controlled Destruction","精準破壞"
97,98,106,"Concentrated Effect","Effet concentré","Konzentrierte Wirkung","効果濃縮","효과 집중","Efeito Concentrado","Средоточие","Efecto concentrado","Concentrated Effect","集中效應"
98,99,109,"Cold to Fire","Conversion du froid en feu","Kälte zu Feuer","冷気から火変換","냉기 화염 전환","Gelo a Fogo","Холод в огонь","Hielo al fuego","Cold to Fire","寒冰轉烈焰"
99,100,174,"Cold Penetration","Pénétration du froid","Durchdringende Kälte","冷気耐性突破","냉기 관통","Penetração de Gelo","Пронизывающий холод","Penetración de hielo","Cold Penetration","冰冷穿透"
100,101,308,"Cluster Traps","Amas de Pièges","Fallenverbund","クラスタートラップ","무리 덫","Grupo de Armadilhas","Кассетные ловушки","Trampas en grupo","Cluster Traps","散彈陷阱"
101,102,402,"Close Combat","Combat rapproché","Gefecht","近距離戦闘","근접 전투","Combate Próximo","Бой вплотную","Combate cerrado","Close Combat","近身戰"
102,103,361,"Charged Mines","Mines galvanisantes","Geladene Minen","チャージドマイン","충전된 지뢰","Minas Carregadas","Заряженные мины","Minas cargadas","Charged Mines","地雷充能"
103,104,368,"Withering Touch","Toucher flétrissant","Verkümmernde Berührung","ヒット時衰弱","위축의 손길","Suporte Toque Definhador","Губительное прикосновение","Toque marchitante","Withering Touch","凋零之觸"
104,105,110,"Combustion","Combustion","Entflammen","燃焼促進","연소","Combustão","Воспламенение","Combustión","Combustion","燃燒"
105,106,325,"Chance to Bleed","Chances de Saignement","Chance auf Bluten","出血付与","출혈 확률","Chance de Sangramento","Шанс кровотечения","Probabilidad de sangrado","Chance to Bleed","機率流血"
106,107,177,"Chain","Ricochet","Verkettung","連鎖","연쇄","Ricochete","Цепь","Encadenamiento","Chain","連鎖"
107,108,321,"Cast while Channelling","Déclenchement durant la Canalisation","Zaubern während Kanalisierung","チャネリング時キャスト","집중 유지 중 시전","Conjurar ao Canalizar","Сотворение чар при поддержании","Lanzar al canalizar","Cast while Channelling","引導時施放"
108,109,214,"Cast when Stunned","Déclenchement par Étourdissement subi","Zaubern bei Betäubung","スタン時キャスト","기절 시 시전","Conjurar quando Atordoado","Сотворение чар при оглушении","Lanzar al ser aturdido","Cast when Stunned","暈眩時施放"
109,110,199,"Cast on Melee Kill","Déclenchement en Tuant en mêlée","Zaubern bei Nahkampftötung","近接キル時キャスト","근접 처치 시 시전","Conjurar ao Matar Corpo a Corpo","Сотворение чар при убийстве в ближнем бою","Lanzar al matar cuerpo a cuerpo","Cast on Melee Kill","近戰擊殺時施放"
110,111,212,"Cast on Death","Déclenchement en mourant","Zaubern bei Tod","死亡時キャスト","사망 시 시전","Conjurar ao Morrer","Сотворение чар при смерти","Lanzar al morir","Cast on Death","死亡時施放"
111,112,213,"Cast when Damage Taken","Déclenchement par seuil de Dégâts subis","Zaubern bei erlittenem Schaden","被ダメージ時キャスト","피격 시 시전","Conjurar ao Sofrer Dano","Сотворение чар при получении урона","Lanzar al recibir daño","Cast when Damage Taken","受傷時施放"
112,113,198,"Cast On Critical Strike","Déclenchement par Coup critique infligé","Zaubern bei kritischem Treffer","クリティカル時キャスト","치명타 시 시전","Conjurar no Acerto Crítico","Сотворение чар при критическом ударе","Lanzar al infligir golpes críticos","Cast On Critical Strike","暴擊時施放"
113,114,335,"Brutality","Brutalité","Brutalität","ブルータリティ","포악함","Brutalidade","Жестокость","Brutalidad","Brutality","殘虐"
114,115,369,"Bonechill","Soutien : Frisson hivernal","Knochenfrost","酷寒","사무치는 한기","Suporte Resfriamento Ósseo","Леденящее охлаждение","Hielahuesos","Bonechill","寒冰刺骨"
115,116,141,"Arrogance","Arrogance","Arroganz","傲慢","오만","Arrogância","Заносчивость","Arrogancia","Arrogance","傲慢"
116,117,114,"Bloodlust","Soif de sang","Blutlust","渇血","유혈 충동","Violência","Кровожадность","Sed de sangre","Bloodlust","嗜血"
117,118,163,"Blind","Aveuglement","Blenden","盲目","실명","Cegar","Ослепление","Cegar","Blind","致盲"
118,119,271,"Blasphemy","Blasphème","Blasphemie","冒涜","신성 모독","Blasfêmia","Богохульство","Blasfemia","Blasphemy","詛咒光環"
119,120,431,"Barrage","Tir de barrage","Sperrfeuer","連射","연발 사격","Barragem","Очередь","Aluvión","Barrage","彈幕"
120,121,430,"Arrow Nova","Nova de flèches","Pfeilnova","アローノヴァ","화살 산개","Nova de Flechas","Кольцо стрел","Nova de flechas","Arrow Nova","箭矢新星"
121,122,480,"Archmage","Archimage","Erzmagier","アーチメイジ","대마법사","Arquimago","Архимаг","Archimago","Archmage","魔幻"
122,123,338,"Arcane Surge","Soutien : Éruption arcanique","Arkane Woge","アーケインサージ","비전 쇄도","Fúria Arcana","Колдовской выброс","Sobrecarga arcana","Arcane Surge","秘能波動"
123,124,39,"Additional Accuracy","Précision accrue","Zusätzliche Treffgenauigkeit","命中率追加","정확도 추가","Precisão Adicional","Меткость","Precisión adicional","Additional Accuracy","額外命中"
124,125,41,"Added Lightning Damage","Dégâts de foudre supplémentaires","Zusätzlicher Blitzschaden","雷ダメージ追加","번개 피해 추가","Dano Adicional de Raio","Урон молнией","Daño de rayo agregado","Added Lightning Damage","附加閃電傷害"
125,126,33,"Added Fire Damage","Dégâts de feu Rajoutés","Zusätzlicher Feuerschaden","火ダメージ追加","화염 피해 추가","Dano Adicional de Fogo","Урон огнём","Daño de fuego agregado","Added Fire Damage","附加火焰傷害"
126,127,38,"Added Cold Damage","Dégâts de froid supplémentaires","Zusätzlicher Kälteschaden","冷気ダメージ追加","냉기 피해 추가","Dano Adicional de Gelo","Урон холодом","Daño de hielo agregado","Added Cold Damage","附加冰冷傷害"
127,128,61,"Added Chaos Damage","Dégâts de chaos supplémentaires","Zusätzlicher Chaosschaden","混沌ダメージ追加","카오스 피해 추가","Dano Adicional de Caos","Урон хаосом","Daño de caos agregado","Added Chaos Damage","附加混沌傷害"
128,129,490,"Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho da Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸"
129,130,491,"Swiftbrand","Symboles précipités","Rasante Zeichen","スウィフトブランド","재빠른 낙인","Runa Repentina","Быстрое клеймение","Marca veloz","Swiftbrand","迅速烙印"
130,131,492,"Urgent Orders","Ordres d'urgence","Dringliche Befehle","アージェントオーダー","긴급 명령","Ordens Urgentes","Срочные приказы","Órdenes urgentes","Urgent Orders","緊急詔令"
131,132,502,"Pinpoint","Projectiles convergents","Zielgenauigkeit","ピンポイント","핵심 조준","Localizar","Сосредоточение","Concisión","Pinpoint","精確"
132,133,500,"Impending Doom","Fatalité imminente","Drohendes Unheil","インペンディングドゥーム","임박한 멸망","Destruição Iminente","Обречённость","Perdición inminente","Impending Doom","末日厄運"
133,134,505,"Trinity","Trinité","Dreieinigkeit","トリニティ","삼위일체","Trindade","Триединство","Trinidad","Trinity","三體"
134,135,512,"Bloodthirst","Ardeur sanguinaire","Blutdurst","飢血","피의 갈증","Sede de Sangue","Кровавое зверство","Ansias de sangre","Bloodthirst","嗜血"
135,136,515,"Cruelty","Cruauté","Grausamkeit","クルーエルティ","잔혹","Crueldade","Злость","Crueldad","Cruelty","殘酷"
136,137,516,"Lifetap","Ponction vitale","Aderlass","ライフタップ","생명력 전환","Fonte de Vida","Жизнеотвод","Transfusión de vida","Lifetap","活栓"
137,138,685,"Focused Ballista","Baliste focalisée","Konzentrierte Balliste","フォーカスバリスタ","쇠뇌 집중 사격","Balista Focada","Прицельная баллиста","Balista precisa","Focused Ballista","專注砲塔"
138,139,623,"Earthbreaker","Brise-terre","Erdbrecher","地砕き","대지 분쇄자","Devastador","Камнелом","Rompesuelos","Earthbreaker","地破"
139,140,687,"Behead","Décapitation","Enthaupten","斬首","참수","Decapitar","Обезглавливание","Decapitación","Behead","斬首"
140,141,703,"Mark On Hit","Marque au Toucher","Mal bei Treffer","ヒット時呪印","명중 시 징표","Marcar ao Acertar","Метка при попадании","Señalar al golpear","Mark On Hit","擊中時印記"
141,142,702,"Divine Blessing","Bénédiction divine","Göttliche Segnung","ディバインブレッシング","신성한 축복","Bênção Divina","Божественное благословение","Bendición divina","Divine Blessing","神聖祝福"
142,143,704,"Eternal Blessing","Bénédiction éternelle","Ewige Segnung","エターナルブレッシング","영원한 축복","Bênção Eterna","Вечное благословение","Bendición eterna","Eternal Blessing","永恆祝福"
143,144,705,"Overcharge","Surcharge","Überladen","過充電","과충전","Sobrecarga","Перегрузка","Sobrecarga","Overcharge","超負荷"
144,145,715,"Cursed Ground","Sol maudit","Verfluchter Boden","呪い領域","저주받은 지대","Solo Maldito","Проклятая земля","Suelo maldito","Cursed Ground","詛咒地面"
145,146,716,"Hex Bloom","Floraison calamiteuse","Verhexte Blüte","呪術開花","사술의 꽃","Propagar Feitiço","Расцвет порчи","Proliferación maléfica","Hex Bloom","咒術綻放"
146,147,729,"Manaforged Arrows","Flèches manaforgées","Manageschmiedete Pfeile","マナフォージアロー","마나벼림 화살","Flechas Forjadas com Mana","Стрелы маны","Flechas manaforjadas","Manaforged Arrows","魔改箭矢"
147,148,730,"Prismatic Burst","Explosion prismatique","Prismatische Explosion","プリズマティックバースト","분광 격발","Explosão Prismática","Радужная вспышка","Estallido prismático","Prismatic Burst","三相爆發"
148,149,180,"Returning Projectiles","Retour des projectiles","Projektilrückkehr","投射物回帰","돌아오는 투사체","Projéteis Retornáveis","Возвращающиеся снаряды","Regreso de proyectiles","Returning Projectiles","投射物返回"
149,150,733,"Trauma","Traumatisme","Trauma","外傷","외상","Traumatismo","Травма","Traumatismo","Trauma","創傷"
150,151,734,"Spellblade","Lame ensorcelée","Zauberklinge","スペルブレード","주문칼날","Lâmina Mágica","Чародейский клинок","Filo encantado","Spellblade","魔刃"
151,152,735,"Devour","Dévoration","Verschlingen","貪り","포식","Devorar","Пожирание","Devorar","Devour","吞噬"
152,153,736,"Fresh Meat","Viande fraîche","Frischfleisch","フレッシュミート","신선한 고기","Carne Fresca","Свежее мясо","Carne fresca","Fresh Meat","鮮肉"
