"rownum","i32","[rid]","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32"
60,64,[428],4,0,0,0,0,1,0,2,"","",2,"",0
61,65,[429],5,0,0,0,0,1,0,7,"","",2,"",0
62,66,[431],4,0,0,0,0,1,0,2,"","",2,"",0
63,67,[432],5,0,0,0,0,1,0,2,"","",2,"",0
64,68,[433],4,0,0,0,0,1,0,2,"","",2,"",0
65,69,[435],3,0,0,0,0,1,0,7,"","placed_bomb",2,"",0
66,70,[436],4,0,0,0,0,1,0,7,"","grid_mine",2,1,0
67,71,[446],5,0,0,0,0,1,0,2,"","",2,"",0
68,72,[447],4,0,0,0,0,1,0,7,"","",2,"",0
69,73,[443],4,0,0,0,0,1,0,7,"","",2,1,0
70,74,[444],4,0,0,0,0,1,0,7,"","",2,1,0
71,75,[451],4,0,0,0,0,1,0,7,"","",2,"",0
72,76,[455],4,0,0,0,0,1,0,7,"","",2,1,0
73,77,[460],4,0,0,0,0,1,0,7,"","",2,"",0
74,78,[462],4,10,0,0,0,1,0,7,"","dominus_spawner",2,1,0
75,79,[463],4,0,0,0,0,1,0,7,"","",2,"",0
76,80,[465],4,0,0,0,0,1,0,7,"","",2,"",0
77,81,[467],4,0,0,0,0,1,0,7,"","standalone_shav_telemark",2,1,0
78,82,[468],4,0,0,0,180,1,0,2,"","turret_group1",2,1,0
79,83,[469],4,0,0,0,0,1,0,2,"","turret_group2",2,1,0
80,84,"[470,471]",4,0,0,0,0,1,0,7,"","cracks",2,1,0
81,85,[472],4,0,0,0,0,1,0,7,"","adus_pillar",2,1,0
82,86,"[475,476,477]",4,3,7,0,0,1,0,7,"","pods",2,1,0
83,87,[479],4,0,0,0,0,1,0,7,"","xnuke",2,1,0
84,88,[487],4,0,0,0,0,1,0,7,"","",2,"",0
85,89,[512],4,0,0,0,0,2,10,7,"","",2,"",0
86,90,[519],4,0,0,0,0,2,10,7,"","",2,"",0
87,91,[544],4,0,0,0,0,2,0,2,"","",2,"",0
88,92,[545],4,0,0,0,0,1,0,7,"","",2,"",0
89,93,[547],4,0,0,0,0,1,0,7,"","",2,"",0
90,94,[553],4,0,0,0,0,1,0,7,"","",2,"",0
91,95,[554],4,12,12,0,0,2,13,2,"","",2,"",0
92,96,[565],4,0,0,0,0,1,0,7,"","blood_orb",2,"",0
93,97,[566],4,0,0,0,0,1,0,7,"","fissure",2,1,0
94,98,[580],4,0,0,0,0,1,0,7,"","",2,"",0
95,99,[581],4,0,0,0,0,1,0,2,"","target_rune",2,"",0
96,100,[348],4,0,0,0,0,1,0,4,"","",2,"",0
97,101,[349],4,0,0,0,0,1,0,4,"","",2,"",0
98,102,"[588,590,591,592]",4,0,0,0,0,1,0,7,"","walls",2,1,0
99,103,[610],4,0,0,0,0,1,0,7,"","",2,"",0
100,104,[615],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
101,105,[615],4,0,0,0,0,1,0,11,"","big_tentacles",2,1,0
102,106,[615],4,0,0,0,180,1,0,4,"","",2,"",0
103,107,[1176],4,0,0,0,0,1,0,2,"","target_marker",2,"",0
104,108,[291],4,0,0,0,0,1,0,2,"","",2,"",0
