"rownum","Level","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
39,40,0,2000,2,7500,6,90,1,20,1700,1200,0
40,41,0,2000,2,7500,6,90,1,20,1700,1200,0
41,42,0,2000,2,7500,6,90,1,20,1700,1200,0
42,43,0,2000,2,7500,6,90,1,20,1700,1200,0
43,44,0,2000,2,7500,6,90,1,20,1700,1200,0
44,45,0,2000,2,7500,6,90,1,20,1700,1200,0
45,46,0,2000,2,7500,6,90,1,20,1700,1200,0
46,47,0,2000,2,7500,6,90,1,20,1700,1200,0
47,48,0,2000,2,7500,6,90,1,20,1700,1200,0
48,49,0,2000,2,7500,6,90,1,20,1700,1200,0
49,50,0,2000,2,7500,6,90,1,20,1700,1200,0
50,51,0,2000,2,7500,6,90,1,20,1700,1200,0
51,52,0,2000,2,7500,6,90,1,20,1700,1200,0
52,53,0,2000,2,7500,6,90,1,20,1700,1200,0
53,54,0,2000,2,7500,6,90,1,20,1700,1200,0
54,55,0,2000,2,7500,6,90,1,20,1700,1200,0
55,56,0,2000,2,7500,6,90,1,20,1700,1200,0
56,57,0,2000,2,7500,6,90,1,20,1700,1200,0
57,58,0,2000,2,7500,6,90,1,20,1700,1200,0
58,59,0,2000,2,7500,6,90,1,20,1700,1200,0
59,60,0,2000,2,7500,6,90,1,20,1700,1200,0
60,61,0,2000,2,7500,6,90,1,20,1700,1200,0
61,62,0,2000,2,7500,6,90,1,20,1700,1200,0
62,63,0,2000,2,7500,6,90,1,20,1700,1200,0
63,64,0,2000,2,7500,6,90,1,20,1700,1200,0
64,65,0,2000,2,7500,6,90,1,20,1700,1200,0
65,66,0,2000,2,7500,6,90,1,20,1700,1200,0
66,67,0,2000,2,7500,6,90,1,20,1700,1200,0
67,68,0,2000,2,7500,6,90,1,20,1750,1250,0
68,69,0,2100,2,7500,6,90,1,20,1800,1300,0
69,70,0,2200,2,7500,6,90,1,20,1850,1350,0
70,71,0,2300,2,7500,6,90,1,20,1900,1400,0
71,72,0,2400,2,7500,6,90,1,20,1950,1450,0
72,73,0,2500,2,7500,7,90,1,20,2000,1500,0
73,74,0,2600,2,7500,7,90,1,20,2050,1550,0
74,75,0,2700,2,7500,7,90,1,20,2100,1600,0
75,76,0,2800,2,7500,7,90,1,20,2150,1650,0
76,77,0,2900,2,7500,7,90,1,20,2200,1700,0
77,78,0,2000,3,7500,8,90,1,20,2250,1750,0
78,79,0,2100,3,7500,8,90,1,20,2300,1800,0
79,80,0,2200,3,7500,8,90,1,20,2350,1850,0
80,81,60,2300,3,7500,8,90,1,20,2400,1900,260
81,82,65,2400,3,7500,8,90,1,20,2450,1950,290
82,83,70,2500,3,7500,8,90,1,20,2500,2000,320
83,84,70,2500,3,7500,8,90,1,20,2500,2000,320
84,85,70,2500,3,7500,8,90,1,20,2500,2000,320
85,86,70,2500,3,7500,8,90,1,20,2500,2000,320
86,87,70,2500,3,7500,8,90,1,20,2500,2000,320
87,88,70,2500,3,7500,8,90,1,20,2500,2000,320
88,89,70,2500,3,7500,8,90,1,20,2500,2000,320
89,90,70,2500,3,7500,8,90,1,20,2500,2000,320
90,91,70,2500,3,7500,8,90,1,20,2500,2000,320
91,92,70,2500,3,7500,8,90,1,20,2500,2000,320
92,93,70,2500,3,7500,8,90,1,20,2500,2000,320
93,94,70,2500,3,7500,8,90,1,20,2500,2000,320
94,95,70,2500,3,7500,8,90,1,20,2500,2000,320
95,96,70,2500,3,7500,8,90,1,20,2500,2000,320
96,97,70,2500,3,7500,8,90,1,20,2500,2000,320
97,98,70,2500,3,7500,8,90,1,20,2500,2000,320
98,99,70,2500,3,7500,8,90,1,20,2500,2000,320
99,100,70,2500,3,7500,8,90,1,20,2500,2000,320
