"rownum","Id","Description","ArtFile","AchievementItemsKey"
26,"Trinkets3","Contains 3 to 4 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
27,"TrinketsHigh3","Contains 2 to 3 Synthesised Chests with valuable Jewellery Items\r\nContains 2 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
28,"Trinkets4","Contains 4 to 5 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
29,"TrinketsHigh4","Contains 3 Synthesised Chests with valuable Jewellery Items\r\nContains 3 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
30,"TrinketsEpic4","Contains 1 Synthesised Chest with very valuable Jewellery Items\r\nContains 4 to 5 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
31,"Trinkets5","Contains 4 to 5 Synthesised Chests with Jewellery Items\r\nContains 2 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
32,"TrinketsHigh5","Contains 3 to 4 Synthesised Chests with valuable Jewellery Items\r\nContains 4 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
33,"TrinketsEpic5","Contains 1 Synthesised Chest with very valuable Jewellery Items\r\nContains 5 to 6 Synthesised Chests with Fractured Jewellery Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
34,"Abyss","Contains 2 to 3 Synthesised Chests with Abyssal Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIcon",""
35,"Abyss2","Contains 3 to 4 Synthesised Chests with Abyssal Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIcon",""
36,"AbyssHigh2","Contains 3 to 4 Synthesised Chests with valuable Abyssal Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIconTier2",""
37,"Armour","Contains 1 to 2 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
38,"Armour2","Contains 2 to 3 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
39,"Armour3","Contains 3 to 4 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
40,"ArmourHigh3","Contains 2 to 3 Synthesised Chests with valuable Armour Items\r\nContains 2 Synthesised Chests with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
41,"Armour4","Contains 4 to 5 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
42,"ArmourHigh4","Contains 3 Synthesised Chests with valuable Armour Items\r\nContains 3 Synthesised Chests with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
43,"ArmourEpic4","Contains 1 Synthesised Chest with very valuable Armour Items\r\nContains 2 Synthesised Chests with valuable Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
44,"Armour5","Contains 4 to 5 Synthesised Chests with Armour Items\r\nContains 2 Synthesised Chests with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
45,"ArmourHigh5","Contains 3 to 4 Synthesised Chests with valuable Armour Items\r\nContains 4 Synthesised Chests with Fractured Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
46,"ArmourEpic5","Contains 1 Synthesised Chest with very valuable Armour Items\r\nContains 3 Synthesised Chests with valuable Armour Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
47,"Weapons","Contains 1 to 2 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
48,"Weapons2","Contains 2 to 3 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
49,"Weapons3","Contains 3 to 4 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
50,"WeaponsHigh3","Contains 2 to 3 Synthesised Chests with valuable Weapon Items\r\nContains 2 Synthesised Chests with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
51,"Weapons4","Contains 4 to 5 Synthesised Chests with Weapon Items\r\nContains 1 Synthesised Chest with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
52,"WeaponsHigh4","Contains 3 Synthesised Chests with valuable Weapon Items\r\nContains 3 Synthesised Chests with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
53,"WeaponsEpic4","Contains 1 Synthesised Chest with very valuable Weapon Items\r\nContains 2 Synthesised Chests with valuable Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
54,"Weapons5","Contains 4 to 5 Synthesised Chests with Weapon Items\r\nContains 2 Synthesised Chests with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
55,"WeaponsHigh5","Contains 3 to 4 Synthesised Chests with valuable Weapon Items\r\nContains 4 Synthesised Chests with Fractured Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
56,"WeaponsEpic5","Contains 1 Synthesised Chest with very valuable Weapon Items\r\nContains 3 Synthesised Chests with valuable Weapon Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/WeaponsItemRewardIcon",""
57,"Perandus","Contains 2 to 3 Synthesised Chests with Perandus Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
58,"Perandus2","Contains 3 to 4 Synthesised Chests with Perandus Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
59,"Perandus3","Contains 4 to 5 Synthesised Chests with Perandus Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
60,"Perandus4","Contains 5 to 6 Synthesised Chests with Perandus Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PerandusItemRewardIcon",""
61,"Harbinger","Contains 1 Synthesised Chest with valuable Harbinger Items\r\nContains 1 to 2 Synthesised Chests with Harbinger Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
62,"Harbinger2","Contains 1 Synthesised Chest with valuable Harbinger Items\r\nContains 2 to 3 Synthesised Chests with Harbinger Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
63,"Harbinger3","Contains 2 Synthesised Chests with valuable Harbinger Items\r\nContains 2 to 3 Synthesised Chests with Harbinger Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/HarbingerItemRewardIcon",""
64,"Breach","Contains 1 Synthesised Chest with valuable Breach Items\r\nContains 1 to 2 Synthesised Chests with Breach Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
65,"Breach2","Contains 1 Synthesised Chest with valuable Breach Items\r\nContains 2 to 3 Synthesised Chests with Breach Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
66,"Breach3","Contains 2 Synthesised Chests with valuable Breach Items\r\nContains 2 to 3 Synthesised Chests with Breach Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
67,"Essences","Contains 1 to 2 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
68,"Essences2","Contains 2 to 3 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
69,"Essences3","Contains 3 to 4 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
70,"EssencesHigh3","Contains a Synthesised Chest with valuable Essence Items\r\nContains 3 to 4 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIconTier2",""
71,"Essences4","Contains 4 to 5 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
72,"EssencesHigh4","Contains 2 Synthesised Chests with valuable Essence Items\r\nContains 3 to 4 Synthesised Chests with Essence Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIconTier2",""
73,"Fragments","Contains 1 to 2 Synthesised Chests with Fragment Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
74,"Fragments2","Contains 2 to 3 Synthesised Chests with Fragment Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
75,"Fragments3","Contains 3 to 4 Synthesised Chests with Fragment Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
76,"FragmentsHigh3","Contains a Synthesised Chest with valuable Fragment Items\r\nContains 2 to 3 Synthesised Chests with Fragment Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIconTier2",""
77,"Scarabs","Contains 2 to 3 Synthesised Chests with Scarab Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIcon",""
78,"Scarabs2","Contains 1 to 2 Synthesised Chests with valuable Scarab Items\r\nContains 1 to 2 Synthesised Chests with Scarab Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIconTier2",""
79,"Scarabs3","Contains 1 to 2 Synthesised Chests with very valuable Scarab Items\r\nContains 1 to 2 Synthesised Chests with valuable Scarab Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIconTier3",""
80,"Fossils","Contains 2 to 3 Synthesised Chests with Fossil Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIcon",""
81,"Fossils2","Contains 1 to 2 Synthesised Chests with valuable Fossil Items\r\nContains 1 to 2 Synthesised Chests with Fossil Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIconTier2",""
82,"Fossils3","Contains 1 to 2 Synthesised Chests with very valuable Fossil Items\r\nContains 1 to 2 Synthesised Chests with valuable Fossil Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIconTier3",""
83,"Prophecies","Contains 2 to 3 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
84,"Prophecies2","Contains 3 to 4 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
85,"Prophecies3","Contains 4 to 5 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
86,"PropheciesHigh3","Contains a Synthesised Chest with valuable Prophecy Items\r\nContains 3 to 4 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIconTier2",""
87,"Prophecies4","Contains 5 to 6 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
88,"PropheciesHigh4","Contains 2 Synthesised Chests with valuable Prophecy Items\r\nContains 3 to 4 Synthesised Chests with Prophecy Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIconTier2",""
89,"DivinationCards","Contains 1 to 2 Synthesised Chests with Divination Card Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
90,"DivinationCards2","Contains 2 to 3 Synthesised Chests with Divination Card Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
91,"DivinationCards3","Contains 3 to 4 Synthesised Chests with Divination Card Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
92,"DivinationCards4","Contains 4 to 5 Synthesised Chests with Divination Card Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
93,"Generic","Contains 3 to 4 Synthesised Chests\r\nContains 1 Synthesised Chest with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
94,"Generic2","Contains 4 to 5 Synthesised Chests\r\nContains 1 Synthesised Chest with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
95,"Generic3","Contains 5 to 6 Synthesised Chests\r\nContains 2 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
96,"Generic4","Contains 6 to 8 Synthesised Chests\r\nContains 2 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
97,"Generic5","Contains 6 to 8 Synthesised Chests\r\nContains 3 Synthesised Chests with Fractured Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GenericItemRewardIcon",""
98,"Talismans","Contains 1 to 2 Synthesised Chests with Talisman Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
99,"Talismans2","Contains 2 to 3 Synthesised Chests with Talisman Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
100,"Talismans3","Contains 3 to 4 Synthesised Chests with Talisman Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TalismansItemRewardIcon",""
101,"Labyrinth","Contains 1 to 2 Synthesised Chests with Labyrinth Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
102,"Labyrinth2","Contains 2 to 3 Synthesised Chests with Labyrinth Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
103,"Labyrinth3","Contains 3 to 4 Synthesised Chests with Labyrinth Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
104,"Labyrinth4","Contains 4 to 5 Synthesised Chests with Labyrinth Items","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LabyrinthItemRewardIcon",""
105,"GlobalMod1","Contains Memory Modifier","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GlobalModTier1",""
106,"GlobalMod2","Contains multiple Memory Modifiers","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/GlobalModTier2",""
