"rownum","string","i32"
71,"chronomancer_rewind_in_place",0
72,"chronomancer_clone_rewind",0
73,"attached_projectile_effect_arrow_loop",1
74,"attached_projectile_effect_arrow_loop",2
75,"attached_projectile_effect_arrow_loop",3
76,"attached_projectile_effect_arrow_loop",4
77,"attached_projectile_effect_arrow_loop",5
78,"attached_projectile_effect_arrow_once",1
79,"attached_projectile_effect_arrow_once",2
80,"attached_projectile_effect_arrow_once",3
81,"attached_projectile_effect_arrow_once",4
82,"attached_projectile_effect_arrow_once",5
83,"attached_projectile_effect_spell_loop",1
84,"attached_projectile_effect_spell_loop",2
85,"attached_projectile_effect_spell_loop",3
86,"attached_projectile_effect_spell_loop",4
87,"attached_projectile_effect_spell_loop",5
88,"attached_projectile_effect_spell_once",1
89,"attached_projectile_effect_spell_once",2
90,"attached_projectile_effect_spell_once",3
91,"attached_projectile_effect_spell_once",4
92,"attached_projectile_effect_spell_once",5
93,"attached_projectile_effect_mortar_1",1
94,"attached_projectile_effect_mortar_1",2
95,"attached_projectile_effect_mortar_1",3
96,"attached_projectile_effect_mortar_1",4
97,"attached_projectile_effect_mortar_1",5
98,"attached_projectile_effect_mortar_2",1
99,"attached_projectile_effect_mortar_2",2
100,"attached_projectile_effect_mortar_2",3
101,"attached_projectile_effect_mortar_2",4
102,"attached_projectile_effect_mortar_2",5
103,"attached_projectile_effect_mortar_3",1
104,"attached_projectile_effect_mortar_3",2
105,"attached_projectile_effect_mortar_3",3
106,"attached_projectile_effect_mortar_3",4
107,"attached_projectile_effect_mortar_3",5
108,"attached_projectile_effect_mortar_4",1
109,"attached_projectile_effect_mortar_4",2
110,"attached_projectile_effect_mortar_4",3
111,"attached_projectile_effect_mortar_4",4
112,"attached_projectile_effect_mortar_4",5
113,"poisonous_concoction_in_hand",0
114,"poisonous_concoction_in_hand_scion_pls",0
115,"poisonous_concoction_in_hand",1
116,"poisonous_concoction_in_hand_scion_pls",1
117,"poisonous_concoction_in_hand",2
118,"poisonous_concoction_in_hand_scion_pls",2
119,"shield_charge_charge",0
120,"shield_charge_charge",4
121,"shield_charge_charge",5
122,"shield_charge_hit_flash",0
123,"shield_charge_hit_flash",2
124,"shield_charge_hit_flash",3
125,"shield_charge_hit_flash",4
126,"shield_charge_hit_flash",5
127,"shield_charge_shield",0
128,"shield_charge_shield",2
129,"shield_charge_shield",3
130,"shield_charge_shield",4
131,"shield_charge_shield",5
132,"shield_charge_shield_fadein",0
133,"shield_charge_shield_fadein",2
134,"shield_charge_shield_fadein",3
135,"shield_charge_shield_fadein",4
136,"shield_charge_shield_fadein",5
137,"shield_charge_shield_fadeout",0
138,"shield_charge_shield_fadeout",2
139,"shield_charge_shield_fadeout",3
140,"shield_charge_shield_fadeout",4
141,"shield_charge_shield_fadeout",5
142,"flame_dash_epk",11
143,"virulent_arrow_epk",0
144,"virulent_arrow_epk",1
145,"virulent_arrow_epk",2
146,"virulent_arrow_epk",3
147,"tempest_shield_shield",0
148,"tempest_shield_shield",1
149,"tornado_shot_epk",0
150,"tornado_shot_epk",2
151,"tornado_shot_epk",3
152,"tornado_shot_epk",4
153,"soul_link",0
154,"flame_link",0
155,"remora_link",0
156,"bulwark_link",0
157,"trigger_link",0
158,"critical_link",0
159,"expanding_fire_cone_epk",1
160,"crackling_lance_sparkle_boi_first_stage_epk",0
161,"crackling_lance_sparkle_boi_first_stage_epk",1
162,"crackling_lance_sparkle_boi_first_stage_epk",2
163,"crackling_lance_sparkle_boi_second_stage_epk",0
164,"crackling_lance_sparkle_boi_second_stage_epk",1
165,"crackling_lance_sparkle_boi_second_stage_epk",2
166,"crackling_lance_sparkle_boi_third_stage_epk",0
167,"crackling_lance_sparkle_boi_third_stage_epk",1
168,"crackling_lance_sparkle_boi_third_stage_epk",2
169,"crackling_lance_sparkle_boi_fourth_stage_epk",0
170,"crackling_lance_sparkle_boi_fourth_stage_epk",1
171,"crackling_lance_sparkle_boi_fourth_stage_epk",2
172,"crackling_lance_on_hit_epk",0
173,"crackling_lance_on_hit_epk",1
174,"crackling_lance_on_hit_epk",2
175,"molten_shell_shell_epk",4
176,"bubble_shield_hit",0
177,"hydrosphere_revert_epk",0
178,"hydrosphere_revert_epk",1
179,"slither_wither",0
180,"slither_wither",1
181,"laser_spears_spear_glow",0
182,"boneshatter_target_hit",1
183,"cobra_lash_crit",0
184,"cobra_lash_crit",1
185,"venom_gyre_whirling_blades",0
186,"venom_gyre_whirling_blades",1
187,"whirling_blades_fade_out",7
188,"whirling_blades_fade_in",7
189,"kinetic_blast_wand_effect",0
190,"kinetic_blast_wand_effect",1
191,"kinetic_blast_wand_effect",2
192,"ring_of_ice_statue_shatter",0
193,"ring_of_ice_weapon_shatter",0
194,"vaal_flicker_cut_wound",0
195,"vaal_flicker_cut_wound",1
196,"vaal_flicker_cut_wound",2
197,"vaal_flicker_cut_wound",4
198,"vaal_flicker_cut_wound2",0
199,"vaal_flicker_cut_wound2",1
200,"vaal_flicker_cut_wound2",2
201,"vaal_flicker_cut_wound2",4
202,"vaal_flicker_cut_wound3",0
203,"vaal_flicker_cut_wound3",1
204,"vaal_flicker_cut_wound3",2
205,"vaal_flicker_cut_wound3",4
206,"vaal_flicker_cut_wound",8
207,"vaal_flicker_cut_wound2",8
208,"vaal_flicker_cut_wound3",8
209,"smite_weapon_effect",0
210,"smite_weapon_effect",1
211,"smite_weapon_effect",3
212,"frigid_bond",0
213,"mtx_spray_paint_channel",0
214,"mtx_spray_paint_channel",1
215,"mtx_spray_paint_channel",2
