"rownum","Id","SoundFile","BankFile","HASH16","IsAvailableInHideout","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MusicCategories","bool","i32"
14,"Act1_Prison","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",9977,1,"Prison","Prison","Gefängnis","監獄","수용소","Prisão","Тюрьма","Prisión","เรือนจำ","禁靈之獄","","Ne pas utiliser","Not for use","","미사용","Not for use","Not for use","Not for use","Not for use","不使用",[2],1,0
15,"Act1_Brutus","Audio/Music/Act1_Brutus/Act1_Brutus.ogg","Music2.bank",37397,1,"Brutus","Brutus","Brutus","ブルータス","브루투스","Brutus","Изувер","Brutus","บรูตัส","布魯特斯","","","","","","","","","","","[2,0]",1,0
16,"Act1_PrisonersGate","Audio/Music/Act1_Cliff/Act1_Cliff.ogg","Music2.bank",7828,1,"Prisoner's Gate","Porte du Prisonnier","Gefangenenpforte","囚人の門","죄수의 문","Portões da Prisão","Врата заключённых","Puerta del prisionero","ทางผ่านนักโทษ","監獄大門","","","","","","","","","","",[2],"",0
17,"Act1_DarkBeach","Audio/Music/Act1_DarkBeach/Act1_DarkBeach.ogg","Music2.bank",6754,1,"Ship Graveyard","Cimetière des navires","Schiffsfriedhof","船の墓場","배들의 묘지","Necrópole de Navios","Кладбище кораблей","Cementerio de barcos","สุสานเรือล่ม","礁岸","","","","","","","","","","",[2],1,0
18,"Act1_CaveVocal","Audio/Music/Act1_Cave/Act1_CaveVocal.ogg","Music1.bank",19601,1,"Merveil's Caverns","Cavernes de Merveil","Merveils Kavernen","マーヴェイルの洞窟","머베일의 암굴","Cavernas da Merveil","Пещеры Мервейл","Cavernas de Merveil","ถ้ำของเมอร์เวล","怨忿之窟","","","","","","","","","","",[2],1,0
19,"Act1_BossFight","Audio/Music/Act1_Bossfight/Act1_Bossfight.ogg","Music3.bank",42558,1,"Merveil","Merveil","Merveil","マーヴェイル","머베일","Merveil","Мервейл","Merveil","เมอร์เวล","莫薇兒","","","","","","","","","","","[2,0]",1,0
20,"Act2_SouthernForest","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",14718,1,"Southern Forest","Forêt méridionale","Südwald","南の森","남쪽 숲","Floresta do Sul","Южный лес","Bosque del sur","ป่าใต้","南部森林","","","","","","","","","","",[3],"",0
21,"Act2_Encampment","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",38510,1,"Forest Encampment","Campement de la forêt","Waldlager","森の野営地","숲 야영지","Acampamento da Floresta","Лесной лагерь","Campamento forestal","ค่ายพงไพร","森林營地","","","","","","","","","","","[3,1]",1,0
22,"Act2_DryForest","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",605,1,"Old Fields","Prés ancestraux","Alte Felder","荒廃農地","버려진 경작지","Campos Antigos","Старые поля","Campos viejos","ทุ่งเก่าแก่","原野","","","","","","","","","","",[3],1,0
23,"Act2_Cave","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",44190,1,"Den","Tanière","Höhle","獣の巣","굴","Covil","Берлога","Madriguera","ถ้ำสัตว์","洞穴","","","","","","","","","","",[3],1,0
24,"Act2_Crossroads","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",3642,1,"Crossroads","Croisée des chemins","Wegkreuzung","十字路","갈림길","Encruzilhada","Перекрёсток","Encrucijada","ทางแพร่ง","危機叉路","","","","","","","","","","",[3],1,0
25,"Act2_DarkForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",18478,1,"Fellshrine Ruins","Ruines du sacrilège","Kriegsschrein-Ruinen","フェルシュラインの遺跡","몰락한 성소 유적","Ruínas do Santuário","Руины осквернённой святыни","Ruinas del santuario caído","ซากปรักหักพังเฟลไชร์น","墮道遺跡","","","","","","","","","","",[3],"",0
26,"Act2_ChurchDungeon","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",54156,1,"Crypt","Crypte","Krypta","地下聖堂","지하실","Cripta","Склеп","Cripta","สุสาน","靜謐陵墓","","","","","","","","","","",[3],1,0
27,"Act2_TempleRuin","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",62878,1,"Chamber of Sins","Chambre des péchés","Kammer der Sünden","罪の間","죄악의 방","Câmara dos Pecados","Обитель грехов","Aposento de pecados","โถงแห่งบาป","罪孽之殿","","","","","","","","","","",[3],1,0
28,"Act2_BrokenBridge","Audio/Music/Act2_DryForest/Act2_DryForest.ogg","Music3.bank",36993,1,"Broken Bridge","Pont brisé","Zerstörte Brücke","壊れた橋","부서진 다리","Ponte Quebrada","Разрушенный мост","Puente destrozado","สะพานหัก","河畔斷橋","","","","","","","","","","",[3],"",0
29,"Act2_Riverways","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",59768,1,"Riverways","Cours d'eau","Flussläufe","川沿いの道","강변길","Viais Fluviais","Пойма реки","Vías del río","ทางแม่น้ำ","河道","","","","","","","","","","",[3],1,0
30,"Act2_WesternForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",6930,1,"Western Forest","Forêt occidentale","Westwald","西の森","서쪽 숲","Floresta Ocidental","Западный лес","Bosque del oeste","ป่าตะวันตก","西部密林","","","","","","","","","","",[3],"",0
31,"Act2_WeaversChambers","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",16901,1,"Weaver's Chambers","Antre de la Tisseuse","Gewölbe der Weberin","編む者の巣穴","거미의 방","Câmaras da Fiandeira","Покои Ткачихи","Aposento de la Tejedora","ห้องของผู้ชักใย","織網者巢穴","","","","","","","","","","",[3],"",0
32,"Act2_Wetlands","Audio/Music/Act6_ForestDaylight/Act6_ForestDaylight","Music24.bank",47380,1,"Wetlands","Paluns","Feuchtlande","湿地","습지대","Terras Inundadas","Топь","Humedales","แดนน้ำขัง","濕地","","","","","","","","","","",[3],"",0
33,"Act2_VaalDungeon","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",60102,1,"Vaal Ruins","Ruines vaal","Vaal-Ruinen","ヴァ―ルの遺跡","바알 유적","Ruínas Vaal","Руины ваал","Ruinas vaal","ซากปรักหักพังวาล์","瓦爾廢墟","","","","","","Not for use","","","","",[3],1,0
34,"Act2_Darkness","Audio/Music/Act2_DarknessEvent/Darkness_Event.ogg","Music5.bank",12924,1,"Darkness","Ténèbres","Dunkelheit","暗闇","어둠","Escuridão","Тьма","Oscuridad","ความมืดมิด","黑暗","","","","","","","","","","",[3],1,0
35,"Act2_NorthernForest","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",10607,1,"Northern Forest","Forêt septentrionale","Nordwald","北の森","북쪽 숲","Floresta do Norte","Северный лес","Bosque del norte","ป่าเหนือ","北部密林","","","","","","","","","","",[3],"",0
36,"Act2_DreadThicket","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",47339,1,"Dread Thicket","Fourré de l'effroi","Dickicht des Grauens","恐怖の密林","공포의 잡목림","Matagal Horrendo","Чащоба","Matorral pavoroso","ป่าชัฏสยดสยอง","驚魂樹洞","","","","","","","","","","",[3],"",0
37,"Act2_AncientPyramid","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",2817,1,"Ancient Pyramid","Pyramide antique","Uralte Pyramide","古代のピラミッド","고대 피라미드","Pirâmide Antiga","Древняя пирамида","Pirámide antigua","พีระมิดโบราณ","古金字塔","","","","","","","","","","",[3],"",0
38,"Act2_VaalShadow","Audio/Music/Act2_Bossfight/Act2_Bossfight.ogg","Music5.bank",98,1,"Vaal Oversoul","Âme souveraine vaal","Vaal-Überseele","ヴァ―ルオーバーソウル","바알 신령","Sobrealma Vaal","Вседуша ваал","Sombra vaal","มหาวิญญาณแห่งวาล์","瓦爾陰影","","","","","","","","","","","[3,0]",1,0
39,"Act3_Intro","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",43893,1,"City of Sarn","Ville de Sarn","Stadt Sarn","サーン市街","사안 도심","Cidade de Sarn","Город Сарн","Ciudad de Sarn","นครซาร์น","薩恩城","","","","","","","","","","",[4],1,0
40,"Act3_Encampment","Audio/Music/Act8_Encampment/Act8_Encampment","Music21.bank",55554,1,"Sarn Encampment","Campement de Sarn","Lager von Sarn","サーンの野営地","사안 야영지","Acampamento de Sarn","Лагерь Сарна","Campamento de Sarn","ค่ายซาร์น","薩恩營地","","Ne pas utiliser","Not for use","","미사용","Not for use","Not for use","Not for use","Not for use","不使用","[4,1]",1,0
41,"Act3_Slums","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",18220,1,"Slums","Bas-quartiers","Armenviertel","スラム","빈민가","Favelas","Трущобы","Barriadas","แดนสลัม","貧民窟","","Ne pas utiliser","Not for use","","미사용","Not for use","Not for use","Not for use","Not for use","不使用",[4],"",0
42,"Act3_Crematorium","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",46949,1,"Crematorium","Crématorium","Krematorium","火葬場","화장터","Crematório","Крематорий","Crematorio","ฌาปนสถาน","火葬場","","","","","","","","","","",[4],"",0
43,"Act3_Sewers","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",29508,1,"Sewers","Égouts","Kanalisation","下水道","하수도","Esgotos","Канализация","Alcantarillas","ท่อน้ำทิ้ง","下水道迷宮","","","","","","","","","","",[4],1,0
44,"Act3_Markets","Audio/Music/Act3_Intro/Act3_Intro.ogg","Music6.bank",8059,1,"Marketplace","Place du marché","Marktplatz","市場","장터","Mercado","Рынок","Mercado","ตลาดค้าขาย","市集地帶","","Ne pas utiliser","Not for use","","미사용","Not for use","Not for use","Not for use","Not for use","不使用",[4],"",0
45,"Act3_Catacombs","Audio/Music/Act2_ChurchDungeon/Act2_ChurchDungeon.ogg","Music4.bank",32928,1,"Catacombs","Catacombes","Katakomben","地下墓地","지하 묘지","Catacumbas","Катакомбы","Catacumbas","สุสานใต้ดิน","黑石陵墓","","","","","","","","","","",[4],"",0
46,"Act3_Battlefront","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",26715,1,"Battlefront","Front","Kriegsfront","戦場","전쟁터","Frente de Batalha","Передовая","Frente de batalla","แนวหน้าสมรภูมิ","激戰廣場","","","","","","","","","","",[4],1,0
47,"Act3_Solaris","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",44975,1,"Solaris Temple","Temple de Solaris","Solaristempel","ソラリス寺院","솔라리스 사원","Templo Solaris","Храм Солярис","Templo de Solaris","วิหารโซลาริส","日耀神殿","","","","","","","","","","",[4],1,0
48,"Act3_Docks","Audio/Music/Act3_Sewers/Act3_Sewers.ogg","Music6.bank",38891,1,"Docks","Docks","Docks","船着場","항구","Docas","Доки","Dársenas","ท่าเรือ","不朽海港","","","","","","","","","","",[4],"",0
49,"Act3_EbonyBarracks","Audio/Music/Act3_Battlefront/Battlefront","Music26.bank",30532,1,"Ebony Barracks","Casernes d'ébène","Ebenholzkaserne","黒壇の兵舎","칠흑의 군단 주둔지","Barracas de Ébano","Лагерь Эбенового легиона","Barracón de ébano","โรงทหารไม้มะเกลือ","烏旗守衛兵營","","","","","","","","","","",[4],"",0
50,"Act3_Lunaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",24533,1,"Lunaris Temple","Temple de Lunaris","Lunaristempel","ルナリス寺院","루나리스 사원","Templo Lunaris","Храм Лунарис","Templo de Lunaris","วิหารลูนาริส","月影神殿","","Ne pas utiliser","Not for use","","미사용","Not for use","Not for use","Not for use","Not for use","不使用",[4],"",0
51,"Act3_Piety","Audio/Music/Act3_Lunaris/1_3_14_Lunaris_BossFight.ogg","Music7.bank",40410,1,"Piety","Piété","Piety","パイエティ","파이어티","Piaty","Вера","Piedad","พายตี้","派蒂","","","","","파이어티","","","","","","[4,0]",1,0
52,"Act3_Gardens","Audio/Music/Act3_Gardens/Gardens.ogg","Music8.bank",33306,1,"Imperial Gardens","Jardins impériaux","Kaiserliche Gärten","帝国の庭園","황실 정원","Jardins Imperiais","Имперские сады","Jardines imperiales","สวนจักรพรรดิ","皇家花園","","","","","","","","","","",[4],1,0
53,"Act3_Library","Audio/Music/Act3_Library/Library.ogg","Music8.bank",62053,1,"Library","Bibliothèque","Bibliothek","図書館","도서관","Livraria","Библиотека","Biblioteca","ห้องสมุด","圖書館","","","","","","","","","","",[4],1,0
54,"Act3_Sceptre_Inside","Audio/Music/Act3_Sceptre/Sceptre_Of_God.ogg","Music8.bank",58673,1,"Sceptre of God","Sceptre divin","Zepter Gottes","神の杖","신의 셉터","Cetro de Deus","Перст Господень","Cetro de Dios","หอคอยคทาแห่งพระเจ้า","神權之塔","","","","","","","","","","",[4],1,0
55,"Act3_Sceptre_Top","Audio/Music/Act3_Sceptre/Act3_Sceptre.ogg","Music8.bank",43044,1,"Dominus","Dominus","Dominus","ドミナス","도미누스","Dominus","Владыка","Dóminus","โดมินัส","神主","","","","","","","","","","","[4,0]",1,0
56,"Act3_Sceptre_Demonic","Audio/Music/Act3_Sceptre/Demonic_Sceptre.ogg","Music9.bank",50410,1,"Ascendant Theme","Thème de l'Ascendant","Aszendent-Thema","上昇のテーマ","어센던트 주제곡","Tema Ascendente","Тема Вознёсшейся","Tema de la Ascendiente","เพลงผู้ครองอำนาจ","昇華試煉主題曲","","","","","","","","","","","[4,0]",1,0
57,"Act4_Aqueduct","Audio/Music/Act4_Aqueduct/Aqueduct.ogg","Music13.bank",54628,1,"Aqueduct","Aqueduc","Aquädukt","水道橋","수로","Aqueduto","Акведук","Acueducto","สะพานส่งน้ำ","水道遺跡","","","","","","","","","","",[5],1,0
58,"Act4_Town","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",31168,1,"Highgate","Hautevoie","Hohenpforte","ハイゲート","하이게이트","Highgate","Македы","Atalaya","ไฮเกท","統治者之殿","","","","","","","","","","","[5,1]",1,0
59,"Act4_Lake","Audio/Music/Act4_Lake/Act4_Lake.ogg","Music11.bank",56301,1,"Dried Lake","Lac asséché","Verschwundener See","干上がった湖","말라붙은 호수","Lago Sego","Высохшее озеро","Lago seco","ทะเลสาบเหือดแห้ง","乾涸湖岸","","","","","","","","","","",[5],1,0
60,"Act4_Tunnels","Audio/Music/Act4_Tunnels/Act4_MiningTunnels.ogg","Music10.bank",24531,1,"Mines","Mines","Minen","鉱山","광산","Minas","Шахты","Minas","เหมือง","漆黑礦坑","","","","","","","","","","",[5],1,0
61,"Act4_Kaom","Audio/Music/Act4_KaomsDream/Kaom.ogg","Music12.bank",4426,1,"Kaom's Dream","Rêve de Kaom","Kaoms Traum","カオムの夢","카옴의 꿈","Sonho de Kaom","Сон Каома","Sueño de Kaom","ความฝันของคอมม์","岡姆的幻境","","","","","","","","","","",[5],1,0
62,"Act4_Kaom_2","Audio/Music/Act4_KaomsDream/Kaom_2.ogg","Music14.bank",37945,1,"Kaom's Stronghold","Bastion de Kaom","Kaoms Feste","カオムの要塞","카옴의 요새","Forte de Kaom","Крепость Каома","Fortaleza de Kaom","ป้อมปราการของคอมม์","岡姆的堡壘","","","","","","","","","","",[5],1,0
63,"Act4_KaomBossfight","Audio/Music/Act4_KaomsDream/KaomBossfight.ogg","Music13.bank",9410,1,"Kaom","Kaom","Kaom","カオム","카옴","Kaom","Каом","Kaom","คอมม์","岡姆","","","","","","","","","","","[5,0]",1,0
64,"Act4_Daresso_Pit","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",50802,1,"Pit","Fosse","Daressos Traum","穴","구덩이","Fosso","Яма","Hoyo","หลุมประลอง","巨坑","","","","","","","","","","",[5],1,0
65,"Act4_Daresso_Arena","Audio/Music/Act4_Arena/DaressoArena.ogg","Music13.bank",27458,1,"Grand Arena","Grande Arène","Große Arena","大闘技場","대 투기장","Grande Arena","Великая Арена","Gran arena","มหาลานประลอง","大競技場","","","","","","","","","","",[5],1,2
66,"Act4_Daresso_Bossfight","Audio/Music/Act4_Arena/DaressoBossFight.ogg","Music14.bank",6038,1,"Daresso","Daresso","Daresso","ダレッソ","다레소","Daresso","Дарессо","Daresso","ดาเรสโซ่","德瑞索","","","","","","","","","","","[5,0]",1,0
67,"Act4_BeastBelly","Audio/Music/Act4_BellyOfTheBeast/BellyOfTheBeast.ogg","Music12.bank",30243,1,"Belly of the Beast","Ventre de la Bête","Wanst der Bestie","魔獣の内部","짐승의 소굴","Ventre da Besta","Брюхо Зверя","Barriga de la bestia","ช่องท้องของบีสต์","巨獸之腹","","","","","","","","","","",[5],1,1
68,"Act4_HeartOfCorruption","Audio/Music/Act4_BellyOfTheBeast/HeartOfCorruption.ogg","Music14.bank",7182,1,"Heart of Corruption","Cœur de la corruption","Herz der Verderbnis","堕落の中心","타락의 중심지","Coração da Corrupção","Сердце скверны","Corazón de corrupción","หัวใจแห่งมลทิน","腐化之心","","","","","","","","","","","[5,0]",1,0
69,"Act5_OriathPortal","Audio/Music/Act5_OriathPortal/Act5_OriathPortal.ogg","Music16.bank",17443,1,"Ascent","Ascension","Aufstieg","頂への道","오르막길","Ascendente","Подъём","Cuesta","ทางขึ้นสูง","岩岸陡坡","","","","","","","","","","",[6],1,0
70,"Act5_SlavePens","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",23959,1,"Slave Pens","Enclos aux esclaves","Sklavenpferche","奴隷収容所","노예 감호소","Senzalas","Узилище","Jaulas de los esclavos","คอกทาส","奴役監牢","","","","","","","","","","",[6],1,0
71,"Act5_OverseerTower","Audio/Music/Act5_OverseerTower/Act5_OverseerTower.ogg","Music18.bank",39668,1,"Overseer's Tower","Tour du Superviseur","Turm des Aufsehers","監督官の塔","감시탑","Torre do Vigia","Башня надзирателя","Torre del capataz","หอคอยผู้คุมขัง","監守高塔","","","","","","","","","","","[6,1]",1,4
72,"Act5_ControlBlocks","Audio/Music/Act5_SlavePens/Act5_SlavePens.ogg","Music17.bank",57044,1,"Control Blocks","Quartier de contrôle","Wachhäuser","奴隷管理区画","관리 구역","Blocos de Controle","Изолятор","Bloques de control","บล็อกคุมขัง","鎮壓地帶","","","","","","","","","","",[6],"",0
73,"Act5_OriathSquare","Audio/Music/Act5_OriathSquare/Act5_OriathSquare.ogg","Music18.bank",43604,1,"Oriath Square","Place d'Oriath","Oriaths Stadtplatz","オリアス広場","오리아스 광장","Praça de Oriath","Площадь Ориата","Plaza de Oriath","จัตุรัสโอริอาท","奧瑞亞大廣場","","","","","","","","","","",[6],1,0
74,"Act5_TemplarCourt","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",30907,1,"Templar Court","Tribunal des Templiers","Templergericht","テンプラーの裁判所","템플러 법정","Corte do Templo","Суды жрецов","Corte de los templarios","ศาลเทมพลาร์","神聖大教堂","","","","","","","","","","",[6],1,0
75,"Act5_COInnocence","Audio/Music/Act5_ChamberOfInnocence/Act5_ChamberOfInnocence.ogg","Music18.bank",64883,1,"Chamber of Innocence","Chambre de l'innocence","Kammer der Unschuld","イノセンスの間","결백의 방","Câmara da Inocência","Обитель Невинности","Aposento de Inocencia","โถงแห่งอินโนเซน","無罪之室","","","","","","","","","","",[6],1,0
76,"Act5_Avarius","Audio/Music/Act5_Avarius/Act5_Avarius.ogg","Music17.bank",2404,1,"High Templar Avarius","Haut Templier Avarius","Hoher Templer Avarius","ハイテンプラー・アヴァリアス","고위 템플러 아배리우스","Alto Templário Avarius","Верховный жрец Аварий","Alto templario Avarius","เทมพลาร์ระดับสูง อาวาริอุส","聖宗伊爾莉斯","","","","","","","","","","","[6,0]",1,3
77,"Act5_Reliquary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",1577,1,"Reliquary","Reliquaire","Reliquienkammer","聖廟","성유물 보관실","Relicário","Реликварий","Relicario","สถานเก็บวัตถุเก่าแก่","聖物間","","","","","","","","","","",[6],"",0
78,"Act5_Ossuary","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",49102,1,"Ossuary","Ossuaire","Ossuarium","納骨堂","납골당","Ossuário","Костница","Osario","สถานเก็บกระดูก","葬骨禮堂","","","","","","","","","","",[6],1,0
79,"Act5_RuinedSquare","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",8721,1,"Ruined Square","Place délabrée","Verwüsteter Stadtplatz","破壊された広場","멸망한 광장","Praça Arruinada","Разрушенная площадь","Plaza arruinada","จัตุรัสย่อยยับ","大廣場廢墟","","","","","","","","","","",[6],1,0
80,"Act5_CathedralRoof","Audio/Music/Act5_CathedralRooftops/Act5_CathedralRooftops.ogg","Music19.bank",313,1,"Cathedral Rooftop","Toit de la cathédrale","Kathedralendach","大聖堂の屋上","대성당 지붕","Telhado da Catedral","Крыша собора","Techo de la catedral","ดาดฟ้าโบสถ์","聖堂屋頂","","","","","","","","","","",[6],1,0
81,"Act5_Kitava","Audio/Music/Act5_Kitava/Act5_Kitava.ogg","Music19.bank",34313,1,"Kitava (A5)","Kitava (A5)","Kitava (A5)","キタヴァ (A5)","키타바 (A5)","Kitava (A5)","Китава (5 Акт)","Kitava (A5)","คิทาวา (บทที่ 5)","奇塔弗 (A5)","","","","","","","","","","","[6,0]",1,0
82,"Act5_SinDock","Audio/Music/Act5_SinDock/Act5_SinDock.ogg","Music20.bank",23971,"","","","","","","","","","","","","","","","","","","","","",[6],"",0
83,"Act6_TwilightStrand","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",829,1,"Twilight Strand","Rivage du crépuscule","Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","Litoral crepuscular","ชายฝั่งสนธยา","絕望岩灘","","","","","","","","","","",[7],"",0
84,"Act6_Encampment","Audio/Music/Act6_Encampment/Act6_Encampment.ogg","Music20.bank",44316,1,"Lioneye's Watch (A6)","Guet d'Œil de Lion (A6)","Löwenauges Wacht (A6)","ライオンアイの見張り場 (A6)","라이온아이 초소 (A6)","Vigílha de Lioneye (A6)","Застава Львиного глаза (6 Акт)","Vigilancia de Lioneye (A6)","หอสังเกตการณ์ไลออนอาย (บทที่ 6)","獅眼守望 (A6)","","","","","","","","","","","[7,1]",1,5
85,"Act6_Coast","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",5617,1,"Coast","Côte","Küste","海岸","해안가","Costa","Побережье","Costa","ชายหาดริมฝั่ง","暮光海灘","","","","","","Not for use","","","","",[7],"",0
86,"Act6_TidalIsland","Audio/Music/Act1_SandBeach/Act1_SandBeach.ogg","Music1.bank",7469,1,"Tidal Island","Presqu'île","Gezeiteninsel","陸繋島","물결 섬","Ilha da Maré","Прибрежный остров","Isla de la marea","เกาะชายทะเล","海潮孤島","","","","","","","","","","",[7],"",0
