"rownum","MetamorphosisRewardTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32"
19,2,0,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
20,2,1,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
21,2,2,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
22,2,3,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
23,2,4,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
24,2,5,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
25,2,6,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
26,2,7,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
27,2,8,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
28,2,9,"Drops additional Quality Gems","Cède des Gemmes de qualité supplémentaires","Lässt zusätzliche Gemmen mit Qualität fallen","追加の高品質ジェムをドロップ","퀄리티 젬을 추가로 떨어뜨림","Derruba Gemas com Qualidade adicional","Бросает дополнительные камни с качеством","Arroja gemas de calidad adicionales","ดรอป หินที่มีค่าคุณภาพ เพิ่มเติม","掉落額外品質寶石",38458
29,2,10,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
30,2,11,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
31,2,12,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
32,2,13,"Drops a valuable Gem","Cède une Gemme de valeur","Lässt eine wertvolle Gemme fallen","高価値なジェムをドロップ","귀중한 젬을 떨어뜨림","Derruba uma Gema valiosa","Бросает ценный камень","Arroja una gema valiosa","ดรอป หินล้ำค่า 1 เม็ด","掉落有價值的寶石",20164
33,3,0,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
34,3,1,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
35,3,2,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
36,3,3,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
37,3,4,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
38,3,5,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
39,3,6,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
40,3,7,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
41,3,8,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
42,3,9,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruba Mapas adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
43,4,0,"Drops additional Rare Jewellery","Cède des Accessoires rares supplémentaires","Lässt zusätzlichen seltenen Schmuck fallen","追加のレア宝飾品をドロップ","희귀 장신구를 추가로 떨어뜨림","Derruba Acessórios Raros adicionais","Бросает дополнительную редкую бижутерию","Arroja joyería rara adicional","ดรอป เครื่องประดับแรร์ เพิ่มเติม","掉落額外稀有飾品",24009
44,4,1,"Drops additional Rare Jewellery","Cède des Accessoires rares supplémentaires","Lässt zusätzlichen seltenen Schmuck fallen","追加のレア宝飾品をドロップ","희귀 장신구를 추가로 떨어뜨림","Derruba Acessórios Raros adicionais","Бросает дополнительную редкую бижутерию","Arroja joyería rara adicional","ดรอป เครื่องประดับแรร์ เพิ่มเติม","掉落額外稀有飾品",24009
45,4,2,"Drops additional Rare Jewellery","Cède des Accessoires rares supplémentaires","Lässt zusätzlichen seltenen Schmuck fallen","追加のレア宝飾品をドロップ","희귀 장신구를 추가로 떨어뜨림","Derruba Acessórios Raros adicionais","Бросает дополнительную редкую бижутерию","Arroja joyería rara adicional","ดรอป เครื่องประดับแรร์ เพิ่มเติม","掉落額外稀有飾品",24009
46,4,3,"Drops additional Rare Jewellery","Cède des Accessoires rares supplémentaires","Lässt zusätzlichen seltenen Schmuck fallen","追加のレア宝飾品をドロップ","희귀 장신구를 추가로 떨어뜨림","Derruba Acessórios Raros adicionais","Бросает дополнительную редкую бижутерию","Arroja joyería rara adicional","ดรอป เครื่องประดับแรร์ เพิ่มเติม","掉落額外稀有飾品",24009
47,4,4,"Drops additional Atlas Jewellery","Cède des Accessoires de l'Atlas supplémentaires","Lässt zusätzlichen Atlas-Schmuck fallen","追加のレア宝飾品をドロップ","아틀라스 장신구를 추가로 떨어뜨림","Derruba Acessórios do Atlas","Бросает дополнительную бижутерию Атласа","Arroja joyería de Atlas adicional","ดรอป เครื่องประดับสมุดแผนที่ เพิ่มเติม","掉落額外稀有飾品",41014
48,4,5,"Drops additional Incursion Jewellery","Cède des Accessoires d'Incursion supplémentaires","Lässt zusätzlichen Incursion-Schmuck fallen","追加のインカージョン宝飾品をドロップ","기습 장신구를 추가로 떨어뜨림","Derruba Acessórios Incursion","Бросает дополнительную бижутерию Вмешательства","Arroja joyería de Incursion adicional","ดรอป เครื่องประดับย้อนเวลา เพิ่มเติม","掉落額外穿越飾品",65389
49,4,6,"Drops additional Incursion Jewellery","Cède des Accessoires d'Incursion supplémentaires","Lässt zusätzlichen Incursion-Schmuck fallen","追加のインカージョン宝飾品をドロップ","기습 장신구를 추가로 떨어뜨림","Derruba Acessórios Incursion","Бросает дополнительную бижутерию Вмешательства","Arroja joyería de Incursion adicional","ดรอป เครื่องประดับย้อนเวลา เพิ่มเติม","掉落額外穿越飾品",65389
50,4,7,"Drops additional Incursion Jewellery","Cède des Accessoires d'Incursion supplémentaires","Lässt zusätzlichen Incursion-Schmuck fallen","追加のインカージョン宝飾品をドロップ","기습 장신구를 추가로 떨어뜨림","Derruba Acessórios Incursion","Бросает дополнительную бижутерию Вмешательства","Arroja joyería de Incursion adicional","ดรอป เครื่องประดับย้อนเวลา เพิ่มเติม","掉落額外穿越飾品",65389
51,4,8,"Drops additional Incursion Jewellery","Cède des Accessoires d'Incursion supplémentaires","Lässt zusätzlichen Incursion-Schmuck fallen","追加のインカージョン宝飾品をドロップ","기습 장신구를 추가로 떨어뜨림","Derruba Acessórios Incursion","Бросает дополнительную бижутерию Вмешательства","Arroja joyería de Incursion adicional","ดรอป เครื่องประดับย้อนเวลา เพิ่มเติม","掉落額外穿越飾品",65389
52,4,9,"Drops additional Shaper or Elder Jewellery","Cède des Accessoires du Façonneur ou de l'Ancien supplémentaires","Lässt zusätzlichen Schöpfer- oder Ältesten-Schmuck fallen","追加のシェイパーまたはエルダー宝飾品をドロップ","쉐이퍼 혹은 엘더 장신구를 추가로 떨어뜨림","Derruba Acessórios do Criador ou Ancião","Бросает дополнительную бижутерию Создателя или Древнего","Arroja joyería del Creador o del Antiguo adicional","ดรอป เครื่องประดับเชปเปอร์หรือเอลเดอร์ เพิ่มเติม","掉落額外塑者或尊師飾品",40212
53,4,10,"Drops additional Shaper or Elder Jewellery","Cède des Accessoires du Façonneur ou de l'Ancien supplémentaires","Lässt zusätzlichen Schöpfer- oder Ältesten-Schmuck fallen","追加のシェイパーまたはエルダー宝飾品をドロップ","쉐이퍼 혹은 엘더 장신구를 추가로 떨어뜨림","Derruba Acessórios do Criador ou Ancião","Бросает дополнительную бижутерию Создателя или Древнего","Arroja joyería del Creador o del Antiguo adicional","ดรอป เครื่องประดับเชปเปอร์หรือเอลเดอร์ เพิ่มเติม","掉落額外塑者或尊師飾品",40212
54,4,11,"Drops additional Veiled Jewellery","Cède des Accessoires cryptés supplémentaires","Lässt zusätzlichen verhüllten Schmuck fallen","追加のヴェールされた宝飾品をドロップ","장막 장신구를 추가로 떨어뜨림","Derruba Acessórios Ocultos  adicionais","Бросает дополнительную завуалированную бижутерию","Arroja joyería encriptada adicional","ดรอป เครื่องประดับผนึก เพิ่มเติม","掉落額外隱匿飾品",25751
55,4,12,"Drops additional Veiled Jewellery","Cède des Accessoires cryptés supplémentaires","Lässt zusätzlichen verhüllten Schmuck fallen","追加のヴェールされた宝飾品をドロップ","장막 장신구를 추가로 떨어뜨림","Derruba Acessórios Ocultos  adicionais","Бросает дополнительную завуалированную бижутерию","Arroja joyería encriptada adicional","ดรอป เครื่องประดับผนึก เพิ่มเติม","掉落額外隱匿飾品",25751
56,4,13,"Drops additional Unique Jewellery","Cède des Accessoires uniques supplémentaires","Lässt zusätzlichen einzigartigen Schmuck fallen","追加のユニーク宝飾品をドロップ","고유 장신구를 추가로 떨어뜨림","Derruba Acessórios Únicos adicionais","Бросает дополнительную уникальную бижутерию","Arroja joyería única adicional","ดรอป เครื่องประดับยูนิค เพิ่มเติม","掉落額外傳奇飾品",38125
57,4,14,"Drops additional Jewels","Cède des Joyaux supplémentaires","Lässt zusätzliche Juwelen fallen","追加のジュエルをドロップ","주얼을 추가로 떨어뜨림","Derruba Joias adicionais","Бросает дополнительные самоцветы","Arroja joyas adicionales","ดรอป จิวเวล เพิ่มเติม","掉落額外珠寶",58421
58,4,15,"Drops additional Jewels","Cède des Joyaux supplémentaires","Lässt zusätzliche Juwelen fallen","追加のジュエルをドロップ","주얼을 추가로 떨어뜨림","Derruba Joias adicionais","Бросает дополнительные самоцветы","Arroja joyas adicionales","ดรอป จิวเวล เพิ่มเติม","掉落額外珠寶",58421
59,4,16,"Drops additional Jewels","Cède des Joyaux supplémentaires","Lässt zusätzliche Juwelen fallen","追加のジュエルをドロップ","주얼을 추가로 떨어뜨림","Derruba Joias adicionais","Бросает дополнительные самоцветы","Arroja joyas adicionales","ดรอป จิวเวล เพิ่มเติม","掉落額外珠寶",58421
60,4,17,"Drops additional Jewels","Cède des Joyaux supplémentaires","Lässt zusätzliche Juwelen fallen","追加のジュエルをドロップ","주얼을 추가로 떨어뜨림","Derruba Joias adicionais","Бросает дополнительные самоцветы","Arroja joyas adicionales","ดรอป จิวเวล เพิ่มเติม","掉落額外珠寶",58421
61,5,0,"Drops additional Rare Armour","Cède des Pièces d'armure rares supplémentaires","Lässt zusätzliche seltene Rüstungsgegenstände fallen","追加のレア防具をドロップ","희귀 방어구를 추가로 떨어뜨림","Derruba Armaduras Raras adicionais","Бросает дополнительные редкие доспехи","Arroja armaduras raras adicionales","ดรอป เกราะแรร์ เพิ่มเติม","掉落額外稀有護甲",17718
62,5,1,"Drops additional Rare Armour","Cède des Pièces d'armure rares supplémentaires","Lässt zusätzliche seltene Rüstungsgegenstände fallen","追加のレア防具をドロップ","희귀 방어구를 추가로 떨어뜨림","Derruba Armaduras Raras adicionais","Бросает дополнительные редкие доспехи","Arroja armaduras raras adicionales","ดรอป เกราะแรร์ เพิ่มเติม","掉落額外稀有護甲",17718
63,5,2,"Drops a 6-linked Rare Armour","Cède une Arme rare avec 6 châsses reliées","Lässt einen seltenen Rüstungsgegenstand mit 6 verbundenen Fassungen fallen","6-リンクレア防具をドロップ","6연결 희귀 방어구를 떨어뜨림","Derruba uma Armadura Rara com 6 Encaixes Conectados","Бросает редкие доспехи с 6 связанными гнёздами","Arroja una armadura rara con 6 engarces vinculados","ดรอป เกราะแรร์ 6 เชื่อม 1 ชิ้น","掉落 6 連稀有護甲",50716
64,5,3,"Drops a 5-linked Rare Armour","Cède une Arme rare avec 5 châsses reliées","Lässt einen seltenen Rüstungsgegenstand mit 5 verbundenen Fassungen fallen","5-リンクレア防具をドロップ","5연결 희귀 방어구를 떨어뜨림","Derruba uma Armadura Rara com 5 Encaixes Conectados","Бросает редкие доспехи с 5 связанными гнёздами","Arroja una armadura rara con 5 engarces vinculados","ดรอป เกราะแรร์ 5 เชื่อม 1 ชิ้น","掉落 5 連稀有護甲",57414
65,5,4,"Drops a Rare Armour with 30% Quality","Cède des Pièces d'armure uniques supplémentaires","Lässt einen seltenen Rüstungsgegenstand mit 30% Qualität fallen","30%の品質を持つレア防具をドロップ","30% 퀄리티의 희귀 방어구를 떨어뜨림","Derruba uma Armadura Rara com 30% de Qualidade","Бросает редкие доспехи с 30% качеством","Arroja una armadura rara con 30% de calidad","ดรอป เกราะแรร์ที่มีค่าคุณภาพ 30% 1 ชิ้น","掉落有 30% 品質的稀有護甲",3230
66,5,5,"Drops a Synthesised Armour","Cède des Pièces d'armure du Façonneur supplémentaires","Lässt einen synthetisierten Rüstungsgegenstand fallen","シンセシス防具をドロップ","결합된 방어구를 떨어뜨림","Derruba uma Armadura Sintetizada","Бросает синтезированные доспехи","Arroja una armadura sintetizada","ดรอป เกราะสังเคราะห์ 1 ชิ้น","掉落追憶護甲",56168
67,5,6,"Drops a Fractured Armour","Cède des Pièces d'armure de l'Ancien supplémentaires","Lässt einen brüchigen Rüstungsgegenstand fallen","フラクチャー防具をドロップ","분열된 방어구를 떨어뜨림","Derruba uma Armadura Trincada","Бросает расколотые доспехи","Arroja una armadura fracturada","ดรอป เกราะที่แตกร้าว 1 ชิ้น","掉落破裂護甲",24441
68,5,7,"Drops additional Veiled Armour","Cède des Pièces d'armure cryptées supplémentaires","Lässt zusätzliche verhüllte Rüstungsgegenstände fallen","追加のヴェールされた防具をドロップ","장막 방어구를 추가로 떨어뜨림","Derruba Armaduras Ocultas adicionais","Бросает дополнительные завуалированные доспехи","Arroja armaduras encriptadas adicionales","ดรอป เกราะผนึก เพิ่มเติม","掉落額外隱匿護甲",26083
69,5,8,"Drops additional Veiled Armour","Cède des Pièces d'armure cryptées supplémentaires","Lässt zusätzliche verhüllte Rüstungsgegenstände fallen","追加のヴェールされた防具をドロップ","장막 방어구를 추가로 떨어뜨림","Derruba Armaduras Ocultas adicionais","Бросает дополнительные завуалированные доспехи","Arroja armaduras encriptadas adicionales","ดรอป เกราะผนึก เพิ่มเติม","掉落額外隱匿護甲",26083
70,5,9,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
71,5,10,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
72,5,11,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
73,5,12,"Drops additional Incursion Armour","Cède des Pièces d'armure d'Incursion supplémentaires","Lässt zusätzliche Incursion-Rüstungsgegenstände fallen","追加のインカージョン防具をドロップ","기습 방어구를 추가로 떨어뜨림","Derruba Armaduras Incursion adicionais","Бросает дополнительные доспехи Вмешательства","Arroja armaduras de Incursion adicionales","ดรอป เกราะย้อนเวลา เพิ่มเติม","掉落額外穿越護甲",27277
