"rownum","Id","Id2","[i32]","i32","i32","LabyrinthSecretEffectsKeys0","LabyrinthSecretEffectsKeys1","LabyrinthSecretEffectsKeys2","i32","LabyrinthSecretEffectsKeys3","bool","bool","i32","bool","bool","bool","Name","AchievementItemsKey","LabyrinthTierMinimum","LabyrinthTierMaximum","bool"
41,"ElementalEndgame2","",[],0,7,[79],[80],[81],3,[],1,"",1,"","",1,"Elemental2","",4,4,""
42,"Portals1","boss_portals",[43],100,3,[82],[83],[84],3,[],1,"",1,"","","","Portals1","",1,4,""
43,"Portals2","",[],0,7,[85],[86],[87],3,[],1,"",1,"","",1,"Portals2","",1,4,""
44,"ChronoStatues1","boss_chronostatues",[45],100,3,[112],[113],[114],3,[],1,"",1,"","","","Chrono Statues1","",1,4,""
45,"ChronoStatues2","",[],0,7,[115],[116],[117],3,[],1,"",1,"","",1,"Chrono Statues2","",1,4,""
46,"Pedestals1","boss_pedestals",[47],0,3,[118],[119],[120],3,[],1,"",1,"","","","Pedestals1","",1,4,""
47,"Pedestals2","",[],0,7,[121],[122],[123],3,[],1,"",1,"","","","Pedestals2","",1,4,""
48,"ChargeDisruptorsMerciless1","boss_chargedisruptors",[49],100,3,[],[],[],4,[],1,"",1,"","","","Charge Disruptors1","",3,3,""
49,"ChargeDisruptorsMerciless2","",[],0,7,[],[],[],4,[],1,"",1,"","","","Charge Disruptors2","",3,3,""
50,"ChargeDisruptorsEndgame1","boss_chargedisruptors",[51],100,3,[],[],[],4,[],1,"",1,"","","","Charge Disruptors1","",4,4,""
51,"ChargeDisruptorsEndgame2","",[],0,7,[],[],[],4,[],1,"",1,"","","","Charge Disruptors2","",4,4,""
52,"GoldKey","gold_key",[],0,7,[],[],[],1,[],"","",1,"","","","Gold Key","",1,4,""
53,"SilverKey","silver_key",[],0,7,[],[],[],1,[],"","",1,"","","","Silver Key","",1,4,""
54,"GoldDoor","gold_door",[],0,7,[],[],[],1,[],"","",1,"","","","Gold Door","",1,4,""
55,"GoldDoorModal","gold_door_modal",[],0,7,[],[],[],2,[],"","",1,"","","","Gold Door","",1,4,""
56,"SilverDoorReward","silver_door",[],0,7,[],[],[],2,[],"","",1,"","","","Silver Cache","",1,4,""
57,"Trinket","trinket",[],0,7,[],[],[],1,[],"","",2,"","","","Forgotten Reliquary","",1,4,""
