"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","BinaryStats","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]","string","[rid]"
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1977],"",3,"","","","",28,31,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[1977],[],"","","","","","",[],"",[]
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",28,706,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,28,38,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[482,447]",[],"","","","","","",[],"",[]
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2649,5,1,28,40,1,"",3,"",1,1,"",0,"","","","",8450,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2648,4,1,28,41,1,"",3,"",1,1,"",0,"","","","",8448,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2650,6,1,28,42,1,"",3,"",1,1,"",0,"","","","",8452,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7258,6528,"",28,43,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7320,7319,1,28,44,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7340,7339,1,28,45,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9120,9121,1,28,46,1,"",3,"",1,1,"",0,"","DivineCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9679,9680,1,28,1081,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9775,9776,1,28,1089,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",28,48,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,26]",[],"","","","","","",[],"",[]
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1412,2864]",1,1,"","","","",28,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1412,2864]",[],"",1,"","","","",[],"",[]
38,"life_leech","You are leeching Life",1,"","Life Leech","[1411,2863]",1,1,"","","","",28,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1411,2863]",[],"",1,"","","","",[],"",[]
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1413,2865]",1,1,"","","","",28,0,1,"",17,"",1,"","",0,"","",1,"","","",4,"","",0,[],"","",[],"",[],[],"[1413,2865]",[],"",1,"","","","",[],"",[]
40,"players_increased","More players are in the game.",1,"","Players Increased","[1937,370,3277]","",2,"","","",1,28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[1937,370,3277]",[],"","","","","","",[],"",[]
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",28,0,1,"",4,"",1,"",1,0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[117],[],"","","","","","",[],"",[]
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",28,51,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[120],[],"","","","","","",[],"",[]
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[134],[],"","","","","","",[],"",[]
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",28,49,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[],"",[]
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[221],[],"","","","","","",[],"",[]
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[],"",[]
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3089],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3089],[],"","","","","","",[],"",[]
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3090],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[3090],[],"","","","","","",[],"",[]
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[721],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[721],[],"","","","","","",[],"",[]
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[110],[],"","","","","","",[],"",[]
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",28,0,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[398],[],"","","","","","",[],"",[]
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",28,388,1,"",4,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4918],[],[],"","","","","","",[],"",[]
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",28,390,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4917],[],[],"","","","","","",[],"",[]
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",28,386,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4916],[],[],"","","","","","",[],"",[]
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",28,388,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4918],[],[],"","","","","","",[],"",[]
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",28,389,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[4919],[],[],"","","","","","",[],"",[]
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",28,387,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[2637],[],[],"","","","","","",[],"",[]
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",28,391,1,"",17,"",1,"","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[14082],[],[],"","","","","","",[],"",[]
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",28,50,1,"",4,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[745],[],[],"","","","","","",[],"",[]
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",28,52,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1997],"",3,"","","",1,28,0,1,"",17,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1997],[],"","","","","","",[],"",[]
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,28,53,1,"",2,"",1,1,"",0,"","","","","","",2,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5816]",1,2,"","","","",28,54,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,314,635,5816]",[],"","","","","","",[],"",[]
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,28,56,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,28,57,1,"",17,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,28,61,1,"",3,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3240,9128,532]","",6,"","","",1,28,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[3240,9128,532]","[719,12436]","","","","","","",[],"",[]
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[17768,621]","",6,"","","",1,28,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17768,621]",[719],"","","","","","",[],"",[]
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[17766,536,207]","",6,"","","",1,28,66,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17766,536,207]",[719],"","","","","","",[],"",[]
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[17765,535,206]","",6,"","","",1,28,67,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17765,535,206]",[719],"","","","","","",[],"",[]
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[17767,533,205]","",6,"","","",1,28,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[17767,533,205]",[719],"","","","","","",[],"",[]
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12371,12373,9731,9732,544,12574,477]","",6,"","","",1,28,71,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12371,12373,9731,9732,544,12574,477]",[719],"","","","","","",[],"",[]
73,"curse_punishment","","","","",[540],"",6,"","","",1,28,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],[540],[719],"","","","","","",[],"",[]
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9129]","",6,"","","",1,28,74,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[84,648,9129]",[719],"","","","","","",[],"",[]
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12378,9041,2435,2436,539,12573,477]","",6,"","","",1,28,76,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12378,9041,2435,2436,539,12573,477]",[719],"","","","","","",[],"",[]
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[12944,730,12962,12963,541]","",6,"","","",1,28,77,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12944,730,12962,12963,541]",[719],"","","","","","",[],"",[]
77,"curse_vulnerability","You are cursed. You take increased physical damage, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5222,14773,7248]","",6,"","",7830,1,28,78,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[545,5222,14773,7248]","[719,7830]","","","","","","",[],"",[]
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12374,12375,1034,2433,2434,2432,12575,477]","",6,"","","",1,28,80,"","",14,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[],[],"[12374,12375,1034,2433,2434,2432,12575,477]",[719],"","","","","","",[],"",[]
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies.","","","Punishment","[12381,12382,12383]","",6,"","","",1,28,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","",4,"",1,0,[],"","",[],"",[12550],[],"[12381,12382,12383,12550]",[719],"","","","","","",[],"",[]
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",28,85,1,"",17,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[123,133,116,119,30,31,83,568]",[],"","","","","","",[],"",[]
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",28,86,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[]
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",28,87,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[],"",[]
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",28,86,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[]
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",28,87,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[],"",[]
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",28,88,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[],"",[]
86,"monster_aura_large_physical_damage","Allies Deal Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",28,89,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[],"",[]
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",28,90,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[],"",[]
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",28,91,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"",[]
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",28,92,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[],"",[]
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",28,93,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[]
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",28,94,"","",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[],"",[]
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",28,95,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[84,554]",[],"","","","","","",[],"",[]
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",28,96,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[],"",[]
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",28,96,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[],"",[]
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2562],1,3,"","","","",28,362,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[2562],[],"","","","","","",[],"",[]
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1979],1,3,"","","","",28,277,"","",2,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[1979],[],"","","","","","",[],"",[]
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",28,98,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[486],[],"","","","","","",[],"",[]
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",28,99,"","",2,1,1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[],"",[]
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",28,100,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[]
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",28,101,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[],"",[]
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",28,102,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[],"",[]
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",28,103,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[],"",[]
103,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",28,104,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[564,565]",[],"","","","","","",[],"",[]
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",28,105,1,"",1,"",1,1,"",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[564,565]",[],"","","","","","",[],"",[]
105,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,28,107,1,"",2,"","","","",0,"","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"",[]
