"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
10,"monster_dropped_item_rarity_+%",1,"","",1,"Rarity of Items Dropped by Monsters","Rareté des Objets cédés par les Monstres","Gegenstandsseltenheit getöteter Monster","モンスターがドロップするアイテムのレアリティ","몬스터가 떨어트리는 아이템의 희귀도","Raridade de Itens Derrubados por Monstros","Редкость выпадающих предметов","Rareza de los objetos arrojados por los monstruos","ความหายากของไอเทมที่ดรอปจากมอนสเตอร์","怪物掉落的稀有裝備","","","","","",-1176759949,[],"","","",1,[],[]
11,"monster_dropped_item_quantity_+%","","","",1,"Quantity of Items Dropped by Monsters","Quantité des Objets cédés par les Monstres","Gegenstandsmenge getöteter Monster","モンスターがドロップするアイテムの数量","몬스터가 떨어트리는 아이템의 수량","Quantidade de Itens Derrubados por Monstros","Количество трофеев","Cantidad de objetos arrojados por los monstruos","จำนวนไอเทมที่ดรอปจากมอนสเตอร์","怪物掉落的物品品質","","","","","",-239722763,[],"","","",1,[],[]
12,"local_flask_life_to_recover",1,1,"",3,"Local Flask Life to Recover","Vie à récupérer avec les Flacons locaux","Lokal: Lebensfläschchen-Wiederherstellung","ローカル フラスコライフ回復量","특정 플라스크 생명력 회복","Recuperação de Vida do Frasco Local","Восстановление здоровья от флаконов","Vida a recuperar con frasco local","การ เติมพลังชีวิต จากขวดยา ของไอเทม","此藥劑生命回復","","","","","",-576125868,[],"","","",1,[],[]
13,"local_flask_life_to_recover_+%",1,1,"",1,"Local Flask Life to Recover +%","+% à la Vie à récupérer avec les Flacons locaux","Lokal: Lebensfläschchen-Wiederherstellung +%","ローカル フラスコライフ回復量 +%","특정 플라스크 생명력 회복 +%","+% de Recuperação de Vida do Frasco Local","Восстановление здоровья от флаконов +%","Vida a recuperar con frasco local +%","การ เติมพลังชีวิต จากขวดยา ของไอเทม +%","此藥劑生命回復 +%","","","","","",-1198959115,[],"","","",1,[],[]
14,"local_flask_mana_to_recover",1,1,"",3,"Local Flask Mana to Recover","Mana à récupérer avec les Flacons locaux","Lokal: Manafläschchen-Wiederherstellung","ローカル フラスコマナ回復量","특정 플라스크 마나 회복","Recuperação de Mana do Frasco Local","Восстановление маны от флаконов","Maná a recuperar con frasco local","การ เติมมานา จากขวดยา ของไอเทม","此藥劑魔力回復","","","","","",1835370919,[],"","","",1,[],[]
15,"local_flask_mana_to_recover_+%",1,1,"",1,"Local Flask Mana to Recover +%","+% au Mana à récupérer avec les Flacons locaux","Lokal: Manafläschchen-Wiederherstellung +%","ローカル フラスコマナ回復量 +%","특정 플라스크 마나 회복 +%","+% de Recuperação de Mana do Frasco Local","Восстановление маны от флаконов +%","Maná a recuperar con frasco local +%","การ เติมมานา จากขวดยา ของไอเทม +%","此藥劑魔力回復 +%","","","","","",395902594,[],"","","",1,[],[]
16,"local_flask_recovery_speed_+%",1,1,"",1,"Local Flask Recovery Speed +%","+% à la Récupération des Flacons locaux","Lokal: Fläschchen-Wiederherstellungsgeschwindigkeit +%","ローカル フラスコ回復スピード +%","특정 플라스크 회복 속도 +%","+% de Velocidade da Recuperação do Frasco Local","Скорость восстановления флаконов +%","Velocidad de recuperación de frasco local +%","ความเร็วในการ เติม จากขวดยา ของไอเทม +%","此藥劑回復速度 +%","","","","","",1556748148,[],"","","",1,[],[]
17,"local_flask_deciseconds_to_recover",1,1,"",3,"Time to Recover","Temps de Récupération","Wiederherstellungszeit","回復にかかる時間","회복 소요 시간","Tempo de Recuperação","Время восстановления","Tiempo de recuperación","เวลาในการ เติม","回復時間","","","","","",97193766,[],"","","",1,[],[]
18,"local_extra_max_charges","",1,"",3,"Local Extra Charges","Charges locales supplémentaires","Lokal: Zusätzliche Füllungen","ローカル エキストラチャージ","특정 별도 충전","Cargas Locais Adicionais","Дополнительные заряды","Cargas extra locales","ชาร์จเพิ่มเติม ของไอเทม","此物品額外充能數","","","","","",-383728497,[],"","","",1,[],[]
19,"shield_block_%",1,"","",1,"Shield Block Chance","Chances de Bloquer avec le Bouclier","Chance auf Blocken mit Schild","盾ブロック率","방패 막기 확률","Chance de Bloqueio do Escudo","Шанс блока щитом","Probabilidad de bloquear con escudo","โอกาสบล็อค ของโล่","盾牌格擋率","","","","",1,-1873459806,[],11,"","",1,[],[]
20,"old_do_not_use_spell_block_%_from_assumed_block_value","","","",1,"","","","","","","","","","","","","","","",1484398156,[],"","","",1,[],[]
21,"block_while_dual_wielding_%","","","",1,"Blocking while Dual Wielding","Chances de Bloquer avec deux armes","Blocken mit zwei Waffen","二刀流中のブロック","쌍수 장착 시 막기","Bloqueio com Dupla Empunhadura","Блок с парным оружием","Bloquear con doble empuñadura","การบล็อคขณะถือ อาวุธคู่","雙持武器格擋","","","","","",298807534,[],11,"","",1,[],[]
22,"block_recovery_+%",1,"","",1,"Block Recovery Increase","Augmentation de Récupération de Blocage","Erhöhte Blockerholung","ブロック復帰増加","막기 회복 증가","Aumento de Recuperação de Bloqueio","Восстановление блока","Aumento de recuperación del bloqueo","เพิ่มการฟื้นตัวจากการบล็อค","增加格擋硬直恢復","","","","",1,-1638902486,[],11,"","",1,[],[]
23,"shield_armour_+%",1,"","",1,"Shield Armour","Armure du Bouclier","Schildrüstung","盾のアーマー","방패 방어도","Armadura do Escudo","Броня щита","Armadura del escudo","ค่าเกราะ ของโล่","盾牌護甲","","","","","",1669549715,[],9,"","",1,[],[]
24,"damage_+%",1,"","",1,"All Damage","Tous les Dégâts","Alle Schäden","全てのダメージ","모든 피해","Todo Dano","Весь урон","Daño total","ความเสียหาย ทุกชนิด","所有傷害","","","","",1,-1168998803,[],1,"","",1,[],[]
25,"spell_damage_+%",1,"","",1,"Spell Damage +%","+% Dégâts des sorts","Zauberschaden +%","スペルダメージ +%","주문 피해 +%","+% de Dano Mágico","Урон от чар","Daño con hechizos +%","ความเสียหาย เวท +%","法術傷害 +%","","","","",1,78851980,[],1,"","",1,[],[]
26,"physical_damage_+%",1,"","",1,"Physical Damage +%","+% Dégâts physiques","Physischer Schaden +%","物理ダメージ +%","물리 피해 +%","+% de Dano Físico","Физический урон","Daño físico +%","ความเสียหาย กายภาพ +%","物理傷害 +%","","","","",1,-453783483,[],1,"","",1,[],[]
27,"local_physical_damage_+%","",1,1,1,"Local Physical Damage +%","+% Dégâts physiques locaux","Lokal: Physischer Schaden +%","ローカル物理ダメージ +%","특정 물리 피해 +%","+% de Dano Físico Local","Физический урон","Daño físico local +%","ความเสียหาย กายภาพ ของไอเทม +%","此物品物理傷害 +%","","",790,812,"",-1544785049,[],"","","",1,[],[]
28,"global_minimum_added_physical_damage","","","",3,"Minimum Added Physical Damage","Dégâts physiques supplémentaires mini","Minimum an zusätzlichem physischem Schaden","追加物理ダメージの最小値","최소 추가 물리 피해","Dano Físico Mínimo Adicionado","Дополнительный минимальный физический урон","Daño físico mínimo agregado","ความเสียหาย กายภาพต่ำสุดเพิ่มเติม","額外最小物理傷害","","","","",1,821215114,[],"","","",1,[],[]
29,"global_maximum_added_physical_damage","","","",3,"Maximum Added Physical Damage","Dégâts physiques supplémentaires maxi","Maximum an zusätzlichem physischem Schaden","追加物理ダメージの最大値","최대 추가 물리 피해","Dano Físico Máximo Adicionado","Дополнительный максимальный физический урон","Daño físico máximo agregado","ความเสียหาย กายภาพสูงสุดเพิ่มเติม","額外最大物理傷害","","","","","",1816224805,[],"","","",1,[],[]
30,"attack_minimum_added_physical_damage","","","",3,"Minimum Added Physical Damage","Dégâts physiques supplémentaires mini","Minimum an zusätzlichem physischem Schaden","追加物理ダメージの最小値","최소 추가 물리 피해","Dano Físico Mínimo Adicionado","Дополнительный минимальный физический урон","Daño físico mínimo agregado","ความเสียหาย กายภาพต่ำสุดเพิ่มเติม","額外最小物理傷害","","","","","",-1987301089,[],1,"","",1,[],[]
31,"attack_maximum_added_physical_damage","","","",3,"Maximum Added Physical Damage","Dégâts physiques supplémentaires maxi","Maximum an zusätzlichem physischem Schaden","追加物理ダメージの最大値","최대 추가 물리 피해","Dano Físico Máximo Adicionado","Дополнительный максимальный физический урон","Daño físico máximo agregado","ความเสียหาย กายภาพสูงสุดเพิ่มเติม","額外最大物理傷害","","","","","",1877497836,[],1,"","",1,[],[]
32,"local_minimum_added_physical_damage","",1,1,3,"Local Minimum Added Physical Damage","Dégâts physiques locaux supplémentaires mini","Lokal: Minimum an zusätzlichem physischem Schaden","ローカル 物理ダメージの最小値","특정 최소 추가 물리 피해","Dano Físico Local Mínimo Adicionado","Дополнительный минимальный физический урон","Daño físico mínimo local agregado","ความเสียหาย กายภาพต่ำสุดเพิ่มเติม ของไอเทม","此物品額外最小物理傷害","","",791,813,"",1855777478,[],"","","",1,[],[]
33,"local_maximum_added_physical_damage","",1,1,3,"Local Maximum Added Physical Damage","Dégâts physiques locaux supplémentaires maxi","Lokal: Maximum an zusätzlichem physischem Schaden","ローカル 物理ダメージの最大値","특정 최대 추가 물리 피해","Dano Físico Local Máximo Adicionado","Дополнительный максимальный физический урон","Daño físico máximo local agregado","ความเสียหาย กายภาพสูงสุดเพิ่มเติม ของไอเทม","此物品額外最大物理傷害","","",792,814,"",2141103287,[],"","","",1,[],[]
34,"physical_axe_damage_+%","","","",1,"Axe Damage","Dégâts des Haches","Schaden mit Äxten","斧ダメージ","도끼 피해","Dano do Machado","Урон топором","Daño con hachas","ความเสียหายด้วย ขวาน","斧類傷害","","","","","",-1256660353,[],1,"","",1,[],[]
35,"physical_staff_damage_+%","","","",1,"Staff Damage","Dégâts des Bâtons","Schaden mit Stäben","スタッフダメージ","지팡이 피해","Dano do Cajado","Урон посохом","Daño con báculos","ความเสียหายด้วย ไม้พลอง","杖類傷害","","","","","",932143818,[],1,"","",1,[],[]
36,"physical_claw_damage_+%","","","",1,"Claw Damage","Dégâts des Griffes","Schaden mit Klauen","鉤爪ダメージ","클로 피해","Dano da Garra","Урон когтями","Daño con garras","ความเสียหายด้วย กรงเล็บ","爪類傷害","","","","","",140443962,[],1,"","",1,[],[]
37,"physical_dagger_damage_+%","","","",1,"Dagger Damage","Dégâts des Dagues","Schaden mit Dolchen","短剣ダメージ","단검 피해","Dano da Adaga","Урон кинжалом","Daño con dagas","ความเสียหายด้วย มีด","匕首類傷害","","","","","",-689652613,[],1,"","",1,[],[]
38,"physical_mace_damage_+%","","","",1,"Mace Damage","Dégâts des Masses","Schaden mit Streitkolben","メイスダメージ","철퇴 피해","Dano da Maça","Урон булавой","Daño con mazas","ความเสียหายด้วย กระบอง","槌類傷害","","","","","",1862394874,[],1,"","",1,[],[]
39,"physical_bow_damage_+%","","","",1,"Bow Damage","Dégâts des Arcs","Schaden mit Bögen","弓ダメージ","활 피해","Dano do Arco","Урон луком","Daño con arcos","ความเสียหายด้วย ธนู","弓類傷害","","","","","",204052327,[],1,"","",1,[],[]
40,"physical_sword_damage_+%","","","",1,"Sword Damage","Dégâts des Épées","Schaden mit Schwertern","剣ダメージ","검 피해","Dano da Espada","Урон мечом","Daño con espadas","ความเสียหายด้วย ดาบ","劍類傷害","","","","","",2133884384,[],1,"","",1,[],[]
41,"physical_wand_damage_+%","","","",1,"Wand Damage","Dégâts des Baguettes","Schaden mit Zauberstäben","ワンドダメージ","마법봉 피해","Dano da Varinha","Урон жезлом","Daño con varitas","ความเสียหายด้วย ไม้กายสิทธิ์","法杖類傷害","","","","","",1844590324,[],1,"","",1,[],[]
42,"fire_damage_+%",1,"","",1,"Fire Damage +%","+% de Dégâts de feu","Feuerschaden +%","火ダメージ +%","화염 피해 +%","+% de Dano de Fogo","Урон огнём","Daño de fuego +%","ความเสียหาย ไฟ +%","火焰傷害 +%","","","","",1,191057191,[],1,"","",1,[],[]
43,"global_minimum_added_fire_damage","","","",3,"Minimum Added Fire Damage","Dégâts de feu supplémentaires mini","Minimum an zusätzlichem Feuerschaden","追加火ダメージの最小値","최소 추가 화염 피해","Dano de Fogo Mínimo Adicionado","Дополнительный минимальный урон огнём","Daño mínimo de fuego agregado","ความเสียหาย ไฟ ต่ำสุดเพิ่มเติม","額外最小火焰傷害","","","","","",2034740550,[],"","","",1,[],[]
44,"global_maximum_added_fire_damage","","","",3,"Maximum Added Fire Damage","Dégâts de feu supplémentaires maxi","Maximum an zusätzlichem Feuerschaden","追加火ダメージの最大値","최대 추가 화염 피해","Dano de Fogo Máximo Adicionado","Дополнительный максимальный урон огнём","Daño máximo de fuego agregado","ความเสียหาย ไฟ สูงสุดเพิ่มเติม","額外最大火焰傷害","","","","","",-902547218,[],"","","",1,[],[]
45,"attack_minimum_added_fire_damage",1,"","",3,"Attack Minimum Added Fire Damage","Dégâts de feu supplémentaires mini aux attaques","Angriff: Minimum an zusätzlichem Feuerschaden","アタック追加火ダメージの最小値","공격 시 최소 추가 화염 피해","Dano de Fogo Mínimo de Ataque Adicionado","Дополнительный минимальный урон огнём","Daño mínimo de fuego agregado de los ataques","ความเสียหาย ไฟ ต่ำสุดเพิ่มเติม ด้วยการโจมตี","額外最小火焰攻擊傷害","","","","",1,-1181478971,[],"","","",1,[],[]
46,"attack_maximum_added_fire_damage",1,"","",3,"Attack Maximum Added Fire Damage","Dégâts de feu supplémentaires maxi aux attaques","Angriff: Maximum an zusätzlichem Feuerschaden","アタック追加火ダメージの最大値","공격 시 최대 추가 화염 피해","Dano de Fogo Máximo de Ataque Adicionado","Дополнительный максимальный урон огнём","Daño máximo de fuego agregado de los ataques","ความเสียหาย ไฟ สูงสุดเพิ่มเติม ด้วยการโจมตี","額外最大火焰攻擊傷害","","","","",1,501099642,[],"","","",1,[],[]
47,"local_minimum_added_fire_damage","",1,1,3,"Local Minimum Added Fire Damage","Dégâts de feu locaux supplémentaires mini","Lokal: Minimum an zusätzlichem Feuerschaden","ローカル 追加火ダメージの最小値","특정 최소 추가 화염 피해","Dano de Fogo Local Mínimo Adicionado","Дополнительный минимальный урон огнём","Daño mínimo local de fuego agregado","ความเสียหาย ไฟ ต่ำสุดเพิ่มเติม ของไอเทม","此物品額外最小火焰傷害","","",793,815,"",318629524,[],"","","",1,[],[]
48,"local_maximum_added_fire_damage","",1,1,3,"Local Maximum Added Fire Damage","Dégâts de feu locaux supplémentaires maxi","Lokal: Maximum an zusätzlichem Feuerschaden","ローカル 追加火ダメージの最大値","특정 최대 추가 화염 피해","Dano de Fogo Local Máximo Adicionado","Дополнительный максимальный урон огнём","Daño máximo local de fuego agregado","ความเสียหาย ไฟ สูงสุดเพิ่มเติม ของไอเทม","此物品額外最大火焰傷害","","",794,816,"",928714545,[],"","","",1,[],[]
49,"cold_damage_+%",1,"","",1,"Cold Damage +%","+% de Dégâts de froid","Kälteschaden +%","冷気ダメージ +%","냉기 피해 +%","+% de Dano de Gelo","Урон холодом +%","Daño de hielo +%","ความเสียหาย น้ำแข็ง +%","冰冷傷害 +%","","","","",1,78179886,[],1,"","",1,[],[]
50,"global_minimum_added_cold_damage","","","",3,"Minimum Added Cold Damage","Dégâts de froid supplémentaires mini","Minimum an zusätzlichem Kälteschaden","追加冷気ダメージの最小値","최소 추가 냉기 피해","Dano de Gelo Mínimo Adicionado","Дополнительный минимальный урон холодом","Daño mínimo de hielo agregado","ความเสียหาย น้ำแข็ง ต่ำสุดเพิ่มเติม","額外最小冰冷傷害","","","","",1,-619139700,[],"","","",1,[],[]
51,"global_maximum_added_cold_damage","","","",3,"Maximum Added Cold Damage","Dégâts de froid supplémentaires maxi","Maximum an zusätzlichem Kälteschaden","追加冷気ダメージの最大値","최대 추가 냉기 피해","Dano de Gelo Máximo Adicionado","Дополнительный максимальный урон холодом","Daño máximo de hielo agregado","ความเสียหาย น้ำแข็ง สูงสุดเพิ่มเติม","額外最大冰冷傷害","","","","",1,-271567038,[],"","","",1,[],[]
52,"attack_minimum_added_cold_damage",1,"","",3,"Attack Minimum Added Cold Damage","Dégâts de froid supplémentaires mini aux attaques","Angriff: Minimum an zusätzlichem Kälteschaden","アタック追加冷気ダメージの最小値","공격 시 최소 추가 냉기 피해","Dano de Gelo Mínimo de Ataque Adicionado","Дополнительный минимальный урон холодом","Daño mínimo de hielo agregado de los ataques","ความเสียหาย น้ำแข็ง ต่ำสุดเพิ่มเติม ด้วยการโจมตี","額外最小冰冷攻擊傷害","","","","",1,171791935,[],"","","",1,[],[]
53,"attack_maximum_added_cold_damage",1,"","",3,"Attack Maximum Added Cold Damage","Dégâts de froid supplémentaires maxi aux attaques","Angriff: Maximum an zusätzlichem Kälteschaden","アタック追加冷気ダメージの最大値","공격 시 최대 추가 냉기 피해","Dano de Gelo Máximo de Ataque Adicionado","Дополнительный максимальный урон холодом","Daño máximo de hielo agregado de los ataques","ความเสียหาย น้ำแข็ง สูงสุดเพิ่มเติม ด้วยการโจมตี","額外最大冰冷攻擊傷害","","","","",1,-939811086,[],"","","",1,[],[]
54,"local_minimum_added_cold_damage","",1,1,3,"Local Minimum Added Cold Damage","Dégâts de froid locaux supplémentaires mini","Lokal: Minimum an zusätzlichem Kälteschaden","ローカル 追加冷気ダメージの最小値","특정 최소 추가 냉기 피해","Dano de Gelo Local Mínimo Adicionado","Дополнительный минимальный урон холодом","Daño mínimo local de hielo agregado","ความเสียหาย น้ำแข็ง ต่ำสุดเพิ่มเติม ของไอเทม","此物品額外最小冰冷傷害","","",795,817,"",-255408318,[],"","","",1,[],[]
55,"local_maximum_added_cold_damage","",1,1,3,"Local Maximum Added Cold Damage","Dégâts de froid locaux supplémentaires maxi","Lokal: Maximum an zusätzlichem Kälteschaden","ローカル 追加冷気ダメージの最大値","특정 최대 추가 냉기 피해","Dano de Gelo Local Máximo Adicionado","Дополнительный максимальный урон холодом","Daño máximo local de hielo agregado","ความเสียหาย น้ำแข็ง สูงสุดเพิ่มเติม ของไอเทม","此物品額外最大冰冷傷害","","",796,818,"",472353268,[],"","","",1,[],[]
56,"lightning_damage_+%",1,"","",1,"Lightning Damage +%","+% de Dégâts de foudre","Blitzschaden +%","雷ダメージ","번개 피해 +%","+% de Dano de Raio","Урон молнией +%","Daño de rayo +%","ความเสียหาย สายฟ้า +%","閃電傷害 +%","","","","",1,-1639944867,[],1,"","",1,[],[]
57,"global_minimum_added_lightning_damage","","","",3,"Minimum Added Lightning Damage","Dégâts de foudre supplémentaires mini","Minimum an zusätzlichem Blitzschaden","追加雷ダメージの最小値","최소 추가 번개 피해","Dano de Raio Mínimo Adicionado","Дополнительный минимальный урон молнией","Daño mínimo de rayo agregado","ความเสียหาย สายฟ้า ต่ำสุดเพิ่มเติม","額外最小閃電傷害","","","","",1,-1577166020,[],"","","",1,[],[]
58,"global_maximum_added_lightning_damage","","","",3,"Maximum Added Lightning Damage","Dégâts de foudre supplémentaires maxi","Maximum an zusätzlichem Blitzschaden","追加雷ダメージの最大値","최대 추가 번개 피해","Dano de Raio Máximo Adicionado","Дополнительный максимальный урон молнией","Daño máximo de rayo agregado","ความเสียหาย สายฟ้า สูงสุดเพิ่มเติม","額外最大閃電傷害","","","","",1,-1369359538,[],"","","",1,[],[]
59,"attack_minimum_added_lightning_damage",1,"","",3,"Attack Minimum Added Lightning Damage","Dégâts de foudre supplémentaires mini aux attaques","Angriff: Minimum an zusätzlichem Blitzschaden","アタック追加雷ダメージの最小値","공격 시 최소 추가 번개 피해","Dano de Raio Mínimo de Ataque Adicionado","Дополнительный минимальный урон молнией","Daño mínimo de rayo agregado de los ataques","ความเสียหาย สายฟ้า ต่ำสุดเพิ่มเติม ด้วยการโจมตี","額外最小閃電攻擊傷害","","","","",1,365867665,[],"","","",1,[],[]
60,"attack_maximum_added_lightning_damage",1,"","",3,"Attack Maximum Added Lightning Damage","Dégâts de foudre supplémentaires maxi aux attaques","Angriff: Maximum an zusätzlichem Blitzschaden","アタック追加雷ダメージの最大値","공격 시 최대 추가 번개 피해","Dano de Raio Máximo de Ataque Adicionado","Дополнительный максимальный урон молнией","Daño máximo de rayo agregado de los ataques","ความเสียหาย สายฟ้า สูงสุดเพิ่มเติม ด้วยการโจมตี","額外最大閃電攻擊傷害","","","","",1,513324754,[],"","","",1,[],[]
61,"local_minimum_added_lightning_damage","",1,1,3,"Local Minimum Added Lightning Damage","Dégâts de foudre locaux supplémentaires mini","Lokal: Minimum an zusätzlichem Blitzschaden","ローカル 追加雷ダメージの最小値","특정 최소 추가 번개 피해","Dano de Raio Local Mínimo Adicionado","Дополнительный минимальный урон молнией","Daño mínimo local de rayo agregado","ความเสียหาย สายฟ้า ต่ำสุดเพิ่มเติม ของไอเทม","此物品額外最小閃電傷害","","",797,819,"",-1727629303,[],"","","",1,[],[]
62,"local_maximum_added_lightning_damage","",1,1,3,"Local Maximum Added Lightning Damage","Dégâts de foudre locaux supplémentaires maxi","Lokal: Maximum an zusätzlichem Blitzschaden","ローカル 追加雷ダメージの最大値","특정 최대 추가 번개 피해","Dano de Raio Local Máximo Adicionado","Дополнительный максимальный урон молнией","Daño máximo local de rayo agregado","ความเสียหาย สายฟ้า สูงสุดเพิ่มเติม ของไอเทม","此物品額外最大閃電傷害","","",798,820,"",2119574765,[],"","","",1,[],[]
63,"chaos_damage_+%",1,"","",1,"Chaos Damage +%","+% de Dégâts de chaos","Chaosschaden +%","混沌ダメージ","카오스 피해 +%","+% de Dano de Caos","Урон хаосом +%","Daño de caos +%","ความเสียหาย เคออส +%","混沌傷害 +%","","","","",1,-1059988617,[],1,"","",1,[],[]
64,"global_minimum_added_chaos_damage","","","",3,"Minimum Added Chaos Damage","Dégâts de chaos supplémentaires mini","Minimum an zusätzlichem Chaosschaden","追加混沌ダメージの最小値","최소 추가 카오스 피해","Dano de Caos Mínimo Adicionado","Дополнительный минимальный урон хаосом","Daño mínimo de caos agregado","ความเสียหาย เคออส ต่ำสุดเพิ่มเติม","額外最小混沌傷害","","","","",1,2045769627,[],"","","",1,[],[]
65,"global_maximum_added_chaos_damage","","","",3,"Maximum Added Chaos Damage","Dégâts de chaos supplémentaires maxi","Maximum an zusätzlichem Chaosschaden","追加混沌ダメージの最大値","최대 추가 카오스 피해","Dano de Caos Máximo Adicionado","Дополнительный максимальный урон хаосом","Daño máximo de caos agregado","ความเสียหาย เคออส สูงสุดเพิ่มเติม","額外最大混沌傷害","","","","",1,237208908,[],"","","",1,[],[]
66,"attack_minimum_added_chaos_damage",1,"","",3,"Minimum Added Chaos Damage","Dégâts de chaos supplémentaires mini","Minimum an zusätzlichem Chaosschaden","追加混沌ダメージの最小値","최소 추가 카오스 피해","Dano de Caos Mínimo Adicionado","Дополнительный минимальный урон хаосом","Daño mínimo de caos agregado","ความเสียหาย เคออส ต่ำสุดเพิ่มเติม ด้วยการโจมตี","額外最小混沌傷害","","","","",1,-1824954379,[],"","","",1,[],[]
67,"attack_maximum_added_chaos_damage",1,"","",3,"Maximum Added Chaos Damage","Dégâts de chaos supplémentaires maxi","Maximum an zusätzlichem Chaosschaden","追加混沌ダメージの最大値","최대 추가 카오스 피해","Dano de Caos Máximo Adicionado","Дополнительный максимальный урон хаосом","Daño máximo de caos agregado","ความเสียหาย เคออส สูงสุดเพิ่มเติม ด้วยการโจมตี","額外最大混沌傷害","","","","",1,813475924,[],"","","",1,[],[]
68,"local_minimum_added_chaos_damage","",1,1,3,"Local Minimum Added Chaos Damage","Dégâts de chaos locaux supplémentaires mini","Lokal: Minimum an zusätzlichem Chaosschaden","ローカル 追加混沌ダメージの最小値","특정 최소 추가 카오스 피해","Dano de Caos Local Mínimo Adicionado","Дополнительный минимальный урон хаосом","Daño mínimo local de caos agregado","ความเสียหาย เคออส ต่ำสุดเพิ่มเติม ของไอเทม","此物品額外最小混沌傷害","","",799,821,"",-1616765083,[],"","","",1,[],[]
