"rownum","Id","Text","Tier","Command","Parameters","[rid]","HASH16","Description","IsEnchant","LifeforceType","LifeforceCost","SacredCost","bool","Achievements","i32"
34,"RerollElderFragment","<white>{Change} a stack of <white>{Elder Fragments} into other random Elder Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestElderFragmentExchange",[],23189,"Change an Elder Fragment into another random Elder Fragment. Cost is proportional to stack size.","",3,500,0,1,[9370],0
35,"RerollConquerorFragment","<white>{Change} a stack of <white>{Conqueror Fragments} into other random Conqueror Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestConquerorFragmentExchange",[],60331,"Change a Conqueror Fragment into another random Conqueror Fragment. Cost is proportional to stack size.","",2,500,0,1,[9370],0
36,"RerollAtziriFragment","<white>{Change} a stack of <white>{Sacrifice} or <white>{Mortal Fragments} into other random Fragments of that type. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestSacrificeFragmentExchange HarvestMortalSacrificeFragmentExchange",[],45128,"Change a Sacrifice or Mortal Fragment into another random Fragment of that type. Cost is proportional to stack size.","",3,500,0,1,[9370],0
37,"DivinationCardGamble","<white>{Sacrifice} up to half a stack of <white>{Divination Cards} to receive between 0 and twice that amount of the same Card",1,"reroll_num_div_cards","",[],39681,"Sacrifice up to half a stack of Divination Cards to receive between 0 and twice that amount of the same Card","",2,1500,0,"",[9370],1
38,"MapNoSextantEnchant","<white>{Enchant} a non-Unique <white>{Map} with <enchanted>{Map has 50% chance to not consume Sextant Uses}",2,"add_mod_to_map","sextant",[],40383,"Enchant a non-Unique Map with Map has 50% chance to not consume Sextant Uses","",2,2500,0,"",[9370],1
39,"GemExperienceLens","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 50% of the gem's total experience stored as a <white>{Facetor's Lens}",2,"sacrifice_gem_for_currency","experience 50",[],10753,"Sacrifice a Corrupted Gem to gain 50% of the gem's total experience stored as a Facetor's Lens","",2,4000,0,"",[9370],1
40,"RerollInfluenceType","<white>{Randomise} the <white>{Influence} types on an Influenced Normal, Magic or Rare <white>{Item}, as well as <white>{reforging} the item with new random modifiers",2,"reroll_influence_types","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre Quiver Gloves Boots Body_Armour Helmet Shield Amulet Ring Belt",[],43790,"Randomise the Influence types on an Influenced Normal, Magic or Rare Item, as well as reforging the item with new random modifiers","",3,1000,0,"",[9370],1
41,"LifeBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Life per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedLife",[],17730,"Enchant a Body Armour. Quality does not increase its Defences, grants +1 Maximum Life per 2% quality",1,1,3250,0,"",[9370],0
42,"ManaBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Mana per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedMana",[],21682,"Enchant a Body Armour. Quality does not increase its Defences, grants +1 Maximum Mana per 2% quality",1,3,3250,0,"",[9370],0
43,"StrengthBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Strength per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityStrength",[],14593,"Enchant a Body Armour. Quality does not increase its Defences, grants +1 Strength per 2% quality",1,1,3250,0,"",[9370],0
44,"DexterityBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Dexterity per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityDexterity",[],36364,"Enchant a Body Armour. Quality does not increase its Defences, grants +1 Dexterity per 2% quality",1,2,3250,0,"",[9370],0
45,"IntelligenceBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Intelligence per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIntelligence_",[],23036,"Enchant a Body Armour. Quality does not increase its Defences, grants +1 Intelligence per 2% quality",1,3,3250,0,"",[9370],0
46,"FireResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Fire Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityFireResistance",[],21330,"Enchant a Body Armour. Quality does not increase its Defences, grants +1% to Fire Resistance per 2% quality",1,1,3250,0,"",[9370],0
47,"ColdResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Cold Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityColdResistance",[],64560,"Enchant a Body Armour. Quality does not increase its Defences, grants +1% to Cold Resistance per 2% quality",1,2,3250,0,"",[9370],0
48,"LightningResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Lightning Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityLightningResistance",[],17121,"Enchant a Body Armour. Quality does not increase its Defences, grants +1% to Lightning Resistance per 2% quality",1,3,3250,0,"",[9370],0
49,"WeaponRangeEnchant","<white>{Enchant} a <white>{Melee Weapon}. Quality does not increase its Physical Damage, has <enchanted>{+1 Weapon Range per 10% Quality}",2,"add_enchant_to_class","Claw Dagger One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalMeleeWeaponRange_",[],44307,"Enchant a Melee Weapon. Quality does not increase its Physical Damage, has +1 Weapon Range per 10% Quality",1,1,5000,0,"",[9370],0
50,"WeaponAreaEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Area of Effect per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAreaOfEffect_",[],8767,"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Area of Effect per 4% Quality",1,1,5000,0,"",[9370],0
51,"WeaponAccuracyEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Accuracy per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAccuracyRatingIncrease_",[],58778,"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Accuracy per 2% Quality",1,2,5000,0,"",[9370],0
52,"WeaponAttackSpeedEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Attack Speed per 8% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalIncreasedAttackSpeed",[],54520,"Enchant a Weapon. Quality does not increase its Physical Damage, has 1% increased Attack Speed per 8% Quality",1,2,5000,0,"",[9370],0
53,"WeaponCriticalEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Critical Strike Chance per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalCriticalStrikeChance__",[],22104,"Enchant a Weapon. Quality does not increase its Physical Damage, has 1% increased Critical Strike Chance per 4% Quality",1,3,5000,0,"",[9370],0
54,"WeaponElementalEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Elemental Damage per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityElementalDamagePercent",[],52258,"Enchant a Weapon. Quality does not increase its Physical Damage, grants 1% increased Elemental Damage per 2% Quality",1,3,5000,0,"",[9370],0
55,"ReforgeWhiteSocket","<white>{Reforge} the colour of a random <white>{socket} on an item, turning it <white>{White}",2,"modify_socket_colors","W",[],29639,"Reforge the colour of a random socket on an item, turning it White","",1,12500,1,"",[9370],1
56,"AugmentFire","<white>{Add} a new <craftingfire>{Fire} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR fire noinfluence",[],18538,"Add a new Fire modifier and remove another random modifier from a non-Influenced item","",1,15000,1,"",[9370],0
57,"AugmentCold","<white>{Add} a new <craftingcold>{Cold} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR cold noinfluence",[],5398,"Add a new Cold modifier and remove another random modifier from a non-Influenced item","",2,15000,1,"",[9370],0
58,"AugmentLightning","<white>{Add} a new <craftinglightning>{Lightning} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR lightning noinfluence",[],33912,"Add a new Lightning modifier and remove another random modifier from a non-Influenced item","",3,15000,1,"",[9370],0
59,"AugmentPhysical","<white>{Add} a new <craftingphysical>{Physical} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR physical noinfluence",[],30284,"Add a new Physical modifier and remove another random modifier from a non-Influenced item","",2,15000,1,"",[9370],0
60,"AugmentLife","<white>{Add} a new <craftinglife>{Life} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR life noinfluence",[],20827,"Add a new Life modifier and remove another random modifier from a non-Influenced item","",1,17500,1,"",[9370],0
61,"AugmentDefences","<white>{Add} a new <craftingdefences>{Defence} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR defences noinfluence",[],40450,"Add a new Defence modifier and remove another random modifier from a non-Influenced item","",3,17500,1,"",[9370],0
62,"AugmentChaos","<white>{Add} a new <craftingchaos>{Chaos} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR chaos noinfluence",[],16260,"Add a new Chaos modifier and remove another random modifier from a non-Influenced item","",2,17500,1,"",[9370],0
63,"AugmentAttack","<white>{Add} a new <craftingattack>{Attack} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR attack noinfluence",[],55567,"Add a new Attack modifier and remove another random modifier from a non-Influenced item","",1,17500,1,"",[9370],0
64,"AugmentSpell","<white>{Add} a new <craftingcaster>{Caster} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR caster noinfluence",[],56851,"Add a new Caster modifier and remove another random modifier from a non-Influenced item","",3,17500,1,"",[9370],0
65,"AugmentSpeed","<white>{Add} a new <craftingspeed>{Speed} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR speed noinfluence",[],56734,"Add a new Speed modifier and remove another random modifier from a non-Influenced item","",2,20000,1,"",[9370],0
66,"AugmentCritical","<white>{Add} a new <craftingcrit>{Critical} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR critical noinfluence",[],22594,"Add a new Critical modifier and remove another random modifier from a non-Influenced item","",3,20000,1,"",[9370],0
67,"BossSynthesis1","<white>{Synthesise} an item, giving random Synthesised implicits. Cannot be used on Unique, Influenced, Synthesised or Fractured items",3,"add_synthesized_implicits","12 3 1",[],56067,"Synthesise an item, giving random Synthesised implicits. Cannot be used on Unique, Influenced, Synthesised or Fractured items","",2,5000,1,"",[9370],1
68,"BossInfluence1","<white>{Reforge} an <white>{Influenced} Rare item with random modifiers, including a <white>{Influence} modifier",3,"reroll_with_influence_mod","",[],35271,"Reforge an Influenced Rare item with random modifiers, including a Influence modifier","",3,5000,1,"",[9370],1
