"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","NodeIcon","Stats","StatValues","HASH16","PassiveBG","Effect","Type","Limit","RequiresAdjacent","MaxAdjacent","AllocatedPassiveSkill"
21,"Rongokurai1","Tattoo of the Rongokurai Warrior","Tatouage du Guerrier de Rongokurai","Tätowierung des Rongokurai-Kriegers","ロンゴクライの戦士のタトゥー","롱고쿠라이 전사의 문신","Tatuagem do Guerreiro de Rongokurai","Татуировка Воина Ронгокураи","Tatuaje de guerrero de Rongokurai","ลายสัก นักรบรอนโกคูรัย","隆格庫萊戰士的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],[8],23959,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
22,"Rongokurai2","Tattoo of the Rongokurai Brute","Tatouage de la Brute de Rongokurai","Tätowierung des Rongokurai-Wüstlings","ロンゴクライの蛮人のタトゥー","롱고쿠라이 돌격병의 문신","Tatuagem do Bruto de Rongokurai","Татуировка Громилы Ронгокураи","Tatuaje de bruto de Rongokurai","ลายสัก คนเถื่อนรอนโกคูรัย","隆格庫萊暴徒的紋身","Art/2DArt/SkillIcons/passives/stunstr.dds",[3461],[15],10603,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
23,"Rongokurai3","Tattoo of the Rongokurai Goliath","Tatouage du Goliath de Rongokurai","Tätowierung des Rongokurai-Goliath","ロンゴクライのゴライアスのタトゥー","롱고쿠라이 골리앗의 문신","Tatuagem do Gigante de Rongokurai","Татуировка Голиафа Ронгокураи","Tatuaje de goliat de Rongokurai","ลายสัก มนุษย์ยักษ์รอนโกคูรัย","隆格庫萊巨獸的紋身","Art/2DArt/SkillIcons/passives/stunstr.dds",[341],[10],54870,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
24,"Rongokurai4","Tattoo of the Rongokurai Turtle","Tatouage de la Tortue de Rongokurai","Tätowierung des Rongokurai-Schildkröte","ロンゴクライの亀のタトゥー","롱고쿠라이 거북이의 문신","Tatuagem da Tartaruga de Rongokurai","Татуировка Черепахи Ронгокураи","Tatuaje de tortuga de Rongokurai","ลายสัก เต่ารอนโกคูรัย","隆格庫萊巨龜的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[97],[10],4731,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
25,"Rongokurai5","Tattoo of the Rongokurai Guard","Tatouage du Garde de Rongokurai","Tätowierung des Rongokurai-Wächters","ロンゴクライの衛兵のタトゥー","롱고쿠라이 수호병의 문신","Tatuagem do Guarda de Rongokurai","Татуировка Стражника Ронгокураи","Tatuaje de guardia de Rongokurai","ลายสัก ผู้พิทักษ์รอนโกคูรัย","隆格庫萊守衛的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[12075],[6],20125,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,0,""
26,"Rongokurai6","Loyalty Tattoo of Kahuturoa","Tatouage de Loyauté de Kahuturoa","Stammestätowierung von Kahuturoa","カフトゥロアの忠誠のタトゥー","카후투로아의 충성 문신","Tatuagem de Lealdade a Kahuturoa","Татуировка верности Кахутуруа","Tatuaje de lealtad a Kuhuturoa","ลายสักภักดี คาฮูทูโรอะ","卡胡圖羅亞的忠誠紋身","Art/2DArt/SkillIcons/RongokuraiTribeSkill.dds","[18826,18858]","[1,1]",57869,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG",49794,1,0,0,0,""
27,"Rongokurai7","Tattoo of the Rongokurai Makanga","Tatouage du Makanga de Rongokurai","Tätowierung des Rongokurai-Makangas","ロンゴクライのマカンガのタトゥー","롱고쿠라이 마캉가의 문신","Tatuagem da Makanga de Rongokurai","Татуировка Маканги Ронгокураи","Tatuaje de makanga de Rongokurai","ลายสัก มาคันงารอนโกคูรัย","隆格庫萊鑄造的紋身","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[8250],[8],13107,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RongokuraiTribePassiveBG","",5,"",0,1,""
28,"Tasalio1","Tattoo of the Tasalio Bladedancer","Tatouage du Danse-lame de Tasalio","Tätowierung des Tasalio-Klingentänzers","タサリオのブレードダンサーのタトゥー","타살리오 검의 무희의 문신","Tatuagem do Dançarino das Lâminas de Tasalio","Татуировка Танцующего с клинками Тасалио","Tatuaje de bailarín de filos de Tasalio","ลายสัก นักระบำดาบทาซาลีโอ","塔薩里奧舞劍者的紋身","Art/2DArt/SkillIcons/passives/StanceSmallPassive.dds",[5412],[5],9764,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
29,"Tasalio2","Tattoo of the Tasalio Tideshifter","Tatouage du Trouble-marée de Tasalio","Tätowierung des Tasalio-Gezeitenwandlers","タサリオのタイドシフターのタトゥー","타살리오 파도변화술사의 문신","Tatuagem do Capitão das Marés de Tasalio","Татуировка Волнореза Тасалио","Tatuaje de cambiamareas de Tasalio","ลายสัก ผู้เคลื่อนคลื่นทาซาลีโอ","塔薩里奧潮汐變幻者的紋身","Art/2DArt/SkillIcons/passives/stundex.dds",[6076],[15],59283,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
30,"Tasalio3","Tattoo of the Tasalio Shaman","Tatouage du Chaman de Tasalio","Tätowierung des Tasalio-Schamanen","タサリオのシャーマンのタトゥー","타살리오 주술사의 문신","Tatuagem do Xamã de Tasalio","Татуировка Шамана Тасалио","Tatuaje de chamán de Tasalio","ลายสัก คนทรงทาซาลีโอ","塔薩里奧薩滿的紋身","Art/2DArt/SkillIcons/passives/CurseCastSpeed.dds",[6782],[5],1601,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
31,"Tasalio4","Tattoo of the Tasalio Warrior","Tatouage du Guerrier de Tasalio","Tätowierung des Tasalio-Kriegers","タサリオの戦士のタトゥー","타살리오 전사의 문신","Tatuagem do Guerreiro de Tasalio","Татуировка Воина Тасалио","Tatuaje de guerrero de Tasalio","ลายสัก นักรบทาซาลีโอ","塔薩里奧戰士的紋身","Art/2DArt/SkillIcons/passives/AttackBlindNode.dds",[6780],[5],40136,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
32,"Tasalio5","Tattoo of the Tasalio Scout","Tatouage de l'Éclaireur de Tasalio","Tätowierung des Tasalio-Spähers","タサリオの偵察者のタトゥー","타살리오 정찰병의 문신","Tatuagem do Batedor de Tasalio","Татуировка Разведчика Тасалио","Tatuaje de explorador de Tasalio","ลายสัก นักสอดแนมทาซาลีโอ","塔薩里奧哨兵的紋身","Art/2DArt/SkillIcons/passives/MarkNode.dds",[13324],[5],4969,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",0,0,""
33,"Tasalio6","Loyalty Tattoo of Rakiata","Tatouage de Loyauté de Rakiata","Stammestätowierung von Rakiata","ラキアタの忠誠のタトゥー","라키아타의 충성 문신","Tatuagem de Lealdade a Rakiata","Татуировка верности Ракиате","Tatuaje de lealtad a Rakiata","ลายสักภักดี ราเคยาตา","萊基亞塔的忠誠紋身","Art/2DArt/SkillIcons/TasalioTribeSkill.dds","[18827,18859]","[1,1]",28089,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG",49796,1,0,0,0,""
34,"Tasalio7","Tattoo of the Tasalio Makanga","Tatouage du Makanga de Tasalio","Tätowierung des Tasalio-Makangas","タサリオのマカンガのタトゥー","타살리오 마캉가의 문신","Tatuagem da Makanga de Tasalio","Татуировка Маканги Тасалио","Tatuaje de makanga de Tasalio","ลายสัก มาคันงาทาซาลีโอ","塔薩里奧鑄造的紋身","Art/2DArt/SkillIcons/passives/ReducedSkillEffectDurationNode.dds",[3336],[8],58051,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/TasalioTribePassiveBG","",6,"",7,0,""
35,"Arohongui1","Tattoo of the Arohongui Moonwarden","Tatouage du Garde-lune d'Arohongui","Tätowierung des Arohongui-Mondwächters","アロホングイの月の監視者のタトゥー","아로호누이 달의 간수의 문신","Tatuagem do Guarda Lunar de Aronhongui","Татуировка Хранителя луны Арохонгуи","Tatuaje de guardián de la luna de Arohongui","ลายสัก ผู้คุมดวงจันทร์อะโรฮอนกุย","艾蘿紅薇月護衛的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds",[146],[8],48276,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
36,"Arohongui2","Tattoo of the Arohongui Scout","Tatouage de l'Éclaireur d'Arohongui","Tätowierung des Arohongui-Spähers","アロホングイの偵察者のタトゥー","아로호누이 정찰병의 문신","Tatuagem do Batedor de Aronhongui","Татуировка Разведчика Арохонгуи","Tatuaje de explorador de Arohongui","ลายสัก นักสอดแนมอะโรฮอนกุย","艾蘿紅薇哨兵的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds","[190,191]","[15,15]",65238,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
37,"Arohongui3","Tattoo of the Arohongui Warrior","Tatouage du Guerrier d'Arohongui","Tätowierung des Arohongui-Kriegers","アロホングイの戦士のタトゥー","아로호누이 전사의 문신","Tatuagem do Guerreiro de Aronhongui","Татуировка Воина Арохонгуи","Tatuaje de guerrero de Arohongui","ลายสัก นักรบอะโรฮอนกุย","艾蘿紅薇戰士的紋身","Art/2DArt/SkillIcons/passives/colddamage.dds","[50,51]","[3,5]",39268,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
38,"Arohongui4","Tattoo of the Arohongui Warmonger","Tatouage du Belliciste d'Arohongui","Tätowierung des Arohongui-Kriegstreibers","アロホングイのウォーモンガーのタトゥー","아로호누이 전쟁광의 문신","Tatuagem do Guerrilheiro de Aronhongui","Татуировка Зачинщика войны Арохонгуи","Tatuaje de belicista de Arohongui","ลายสัก ผู้ก่อศึกอะโรฮอนกุย","艾蘿紅薇戰鬥王的紋身","Art/2DArt/SkillIcons/passives/colddamage.dds",[18967],[10],8269,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
39,"Arohongui5","Tattoo of the Arohongui Shaman","Tatouage du Chaman d'Arohongui","Tätowierung des Arohongui-Schamanen","アロホングイのシャーマンのタトゥー","아로호누이 주술사의 문신","Tatuagem do Xamã de Aronhongui","Татуировка Шамана Арохонгуи","Tatuaje de chamán de Arohongui","ลายนัก คนทรงอะโรฮอนกุย","艾蘿紅薇薩滿的紋身","Art/2DArt/SkillIcons/passives/HeraldReservationNode.dds",[7465],[5],19842,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,0,""
40,"Arohongui6","Loyalty Tattoo of Ikiaho","Tatouage de Loyauté de Ikiaho","Stammestätowierung von Ikiaho","イキアホの忠誠のタトゥー","이키아호의 충성 문신","Tatuagem de Lealdade a Ikiaho","Татуировка верности Икиао","Tatuaje de lealtad a Ikiaho","ลายสักภักดี อีเคยาโฮ","伊基亞呼的忠誠紋身","Art/2DArt/SkillIcons/ArohonguiTribeSkill.dds","[18828,18860]","[1,1]",29023,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG",49798,1,0,0,0,""
41,"Arohongui7","Tattoo of the Arohongui Makanga","Tatouage du Makanga d'Arohongui","Tätowierung des Arohongui-Makangas","アロホングイのマカンガのタトゥー","아로호누이 마캉가의 문신","Tatuagem da Makanga de Aronhongui","Татуировка Маканги Арохонгуи","Tatuaje de makanga de Arohongui","ลายสัก มาคันงาอะโรฮอนกุย","艾蘿紅薇鑄造的紋身","Art/2DArt/SkillIcons/passives/ColdResistNode.dds",[943],[1],3518,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/ArohonguiTribePassiveBG","",7,"",0,1,""
42,"Ramako1","Tattoo of the Ramako Scout","Tatouage de l'Éclaireur de Ramako","Tätowierung des Ramako-Spähers","ラマコの偵察者のタトゥー","라마코 정찰병의 문신","Tatuagem do Batedor de Ramako","Татуировка Разведчика Рамако","Tatuaje de explorador de Ramako","ลายสัก นักสอดแนมรามาโค","雷默科哨兵的紋身","Art/2DArt/SkillIcons/passives/evade.dds",[119],[80],50501,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
43,"Ramako2","Tattoo of the Ramako Archer","Tatouage de l'Archer de Ramako","Tätowierung des Ramako-Bogenschützen","ラマコの射手のタトゥー","라마코 궁수의 문신","Tatuagem do Arqueiro de Ramako","Татуировка Лучника Рамако","Tatuaje de arquero de Ramako","ลายสัก มือธนูรามาโค","雷默科射手的紋身","Art/2DArt/SkillIcons/passives/accuracy.dds",[84],[5],11202,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
44,"Ramako3","Tattoo of the Ramako Sniper","Tatouage du Tireur d'élite de Ramako","Tätowierung des Ramako-Heckenschützen","ラマコの狙撃手のタトゥー","라마코 저격수의 문신","Tatuagem do Atirador de Ramako","Татуировка Снайпера Рамако","Tatuaje de tirador de Ramako","ลายสัก นักซุ่มยิงรามาโค","雷默科狙擊手的紋身","Art/2DArt/SkillIcons/passives/projectilespeed.dds",[175],[8],39773,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
45,"Ramako4","Tattoo of the Ramako Fleetfoot","Tatouage du Coureur de Ramako","Tätowierung des Ramako-Flinkfußes","ラマコの俊足のタトゥー","라마코 쾌속병의 문신","Tatuagem do Soldado de Ramako","Татуировка Гонца Рамако","Tatuaje de mensajero de Ramako","ลายสัก นักวิ่งรามาโค","雷默科偵瞬步的紋身","Art/2DArt/SkillIcons/passives/MovementSpeedandEvasionPassive.dds",[177],[2],30049,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
46,"Ramako5","Tattoo of the Ramako Shaman","Tatouage du Chaman de Ramako","Tätowierung des Ramako-Schamanen","ラマコのシャーマンのタトゥー","라마코 주술사의 문신","Tatuagem do Xamã de Ramako","Татуировка Шамана Рамако","Tatuaje de chamán de Ramako","ลายสัก คนทรงรามาโค","雷默科薩滿的紋身","Art/2DArt/SkillIcons/passives/SpellSuppresionNode.dds",[14755],[2],28792,"Art/2DArt/UIImages/InGame/AncestralTrial/PassiveTreeTattoos/RamakoTribePassiveBG","",8,"",0,0,""
