"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid","NPCMasterKey","ShortName (English)","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle","bool","rid","Gender","bool"
17,"Metadata/NPC/Act3/Dialla","Lady Dialla","Dame Dialla","Dialla","レディーディアーラ","디알라 부인","Senhora Dialla","Госпожа Диалла","Lady Dialla","ท่านหญิงดิอัลล่า","達拉夫人","Metadata/NPC/NPC","","","Dialla","Dialla","Dialla","ディアーラ","디알라","Dialla","Диалла","Dialla","ดิอัลล่า","達拉夫人",3,[16],[17],12298,"","","",1,"","F",""
18,"Metadata/NPC/Act3/DiallaTower","Lady Dialla","Dame Dialla","Dialla","レディーディアーラ","디알라 부인","Senhora Dialla","Госпожа Диалла","Lady Dialla","ท่านหญิงดิอัลล่า","達拉夫人","Metadata/NPC/NPC","","","Dialla","Dialla","Dialla","ディアーラ","디알라","Dialla","Диалла","Dialla","ดิอัลล่า","達拉夫人",3,[16],[],1838,"","","",1,"","F",""
19,"Metadata/NPC/Act3/Maramoa","Maramoa","Maramoa","Maramoa","マラモア","마라모아","Maramoa","Марамоа","Maramoa","มารามัว","馬拉莫","Metadata/NPC/NPC",843,"","","","","","","","","","","",3,[18],[19],20488,"","","",1,35,"F",""
20,"Metadata/NPC/Act3/Grigor","Grigor","Grigor","Grigor","グリゴー","그리고어","Grigor","Григор","Grigor","กริกอร์","葛里戈","Metadata/NPC/NPC","","","","","","","","","","","","",3,[20],[21],57890,"","","",1,"","M",""
21,"Metadata/NPC/Act3/ClarissaTown","Clarissa","Clarissa","Clarissa","クラリッサ","클라리사","Clarissa","Кларисса","Clarissa","แคลร์ริสซา","卡爾麗莎","Metadata/NPC/NPC","","","","","","","","","","","","",3,[22],[23],32620,"","","",1,13,"F",""
22,"Metadata/NPC/Act3/ClarissaSlums","Clarissa","Clarissa","Clarissa","クラリッサ","클라리사","Clarissa","Кларисса","Clarissa","แคลร์ริสซา","卡爾麗莎","Metadata/NPC/NPC","","","","","","","","","","","","",3,[],[],58342,"","","",1,"","F",""
23,"Metadata/NPC/Info/PrisonDiary","Shavronne's Journal","Journal de Shavronne","Shavronnes Tagebuch","シャヴロンの日誌","샤브론의 일지","Diário de Shavronne","Дневник Шавронн","Diario de Shavronne","บันทึกของแชฟรอนน์","薛朗的日記","Metadata/NPC/Info/StoryGlyphBase",542,"","","","","","","","","","","",1,[],[],10734,"","","",1,"","",""
24,"Metadata/NPC/Act2/HelenaTown","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"","","","","","","","","","",2,[24],[25],18941,"","","",1,"","F",""
25,"Metadata/NPC/Act2/HelenaSins","Helena","Héléna","Helena","ヘレナ","헬레나","Helena","Елена","Helena","เฮเลน่า","赫蓮娜","Metadata/NPC/NPC","",3,"","","","","","","","","","",2,[],[],22927,"","","",1,"","F",""
26,"Metadata/NPC/Act3/Siosa","Siosa","Siosa","Siosa","シオサ","시오사","Siosa","Сиоса","Siosa","ซิโอซา","薩歐賽","Metadata/NPC/NPC",844,"","","","","","","","","","","",3,[26],[27],4688,"","","",1,31,"M",""
27,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Capitaine Fairgraves","Kapitän Fairgraves","フェアグレーヴズ船長","페어그레이브즈 선장","Capitão Fairgraves","Капитан Фейргрейвс","Capitán Fairgraves","กัปตันแฟร์เกรฟส์","費爾船長","Metadata/NPC/NPC","","","Fairgraves","Fairgraves","Fairgraves","フェアグレーヴズ","페어그레이브즈","Fairgraves","Фейргрейвс","Fairgraves","แฟร์เกรฟส์","費爾船長",3,[28],[],34430,"","","",1,"","M",""
28,"Metadata/NPC/Piety","Piety","Piété","Piety","パイエティ","파이어티","Piety","Вера","Piedad","พายตี้","派蒂","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],26069,"","","",1,"","F",""
29,"Metadata/NPC/Gravicius","Gravicius","Gravicius","Gravicius","グラヴィシウス","그라비시우스","Gravicius","Гравиций","Gravicius","กราวิเชียส","格拉維奇","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],4169,"","","",1,"","M",""
30,"Metadata/NPC/Dominus","Dominus","Dominus","Dominus","ドミナス","도미누스","Dominus","Владыка","Dóminus","โดมินัส","神主","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],1936,"","","",1,"","M",""
31,"Metadata/NPC/Act4/Kaom","King Kaom","Roi Kaom","König Kaom","カオム王","카옴 왕","Rei Kaom","Вождь Каом","Rey Kaom","กษัตริย์คอมม์","岡姆王","Metadata/NPC/NPC","","","Kaom","Kaom","Kaom","カオム","카옴","Kaom","Каом","Kaom","คอมม์","岡姆",0,[],[],47573,"","","",1,"","M",""
32,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Maligaro, l'Inquisiteur","Maligaro der Inquisitor","審問官、マリガロ","이단심문관 말리가로","Maligaro, o Inquisidor","Дознаватель Малигаро","Malígaro, el Inquisidor","มาลิกาโร ผู้ไต่สวน","審判者馬雷葛蘿","Metadata/NPC/NPC","","","Maligaro","Maligaro","Maligaro","マリガロ","말리가로","Maligaro","Мелвавий","Malígaro","มาลิกาโร","馬雷葛蘿",0,[],[],49964,"","","",1,"","M",""
33,"Metadata/NPC/Act4/Shavronne","Shavronne","Shavronne","Shavronne","シャヴロン","샤브론","Shavronne","Шавронн","Shavronne","แชฟรอนน์","薛朗","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],17132,"","","",1,"","F",""
34,"Metadata/NPC/Act4/Malachai","Malachai","Malachai","Malachai","マラカイ","말라카이","Malachai","Малахай","Malachai","มาลาไค","瑪拉凱","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],44799,"","","",1,"","M",""
35,"Metadata/NPC/Act4/Daresso","Daresso","Daresso","Daresso","ダレッソ","다레소","Daresso","Дарессо","Daresso","ดาเรสโซ่","德瑞索","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],15106,"","","",1,"","M",""
36,"Metadata/NPC/Oba","Oba","Oba","Oba","オバ","오바","Oba","Оба","Oba","โอบะ","歐霸","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],8075,"","","",1,"","M",""
37,"Metadata/NPC/Info/ArteriLetter","Arteri's Letter","Lettre pour Artéri","Arteris Brief","アルテリの手紙","아테리의 편지","Carta de Arteri","Письмо Артери","Carta de Arteri","จดหมายของอาร์แทร์รี","阿特力的信","Metadata/NPC/Info/StoryGlyphBase",1903,"","","","","","","","","","","",2,[],[],55906,"","","",1,"","",""
38,"Metadata/NPC/Info/BeachEncampmentNotes","Letters of Exile","Lettres d'exil","Verbannungsurteile","追放の宣告","유배자의 편지","Cartas de Exílio","Приговоры изгнанников","Notas del exilio","หนังสือสั่งเนรเทศ","流亡者的信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",1,[],[],10293,"","","",1,"","",""
39,"Metadata/NPC/Info/Karui/Stone1","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",535,"","","","","","","","","","","",1,[],[],44124,"","","",1,"","",""
40,"Metadata/NPC/Info/Karui/Stone2","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",536,"","","","","","","","","","","",1,[],[],24108,"","","",1,"","",""
41,"Metadata/NPC/Info/Karui/Stone3","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",537,"","","","","","","","","","","",1,[],[],62981,"","","",1,"","",""
42,"Metadata/NPC/Info/Karui/Stone4","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",538,"","","","","","","","","","","",1,[],[],26729,"","","",1,"","",""
43,"Metadata/NPC/Info/Karui/Stone5","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",539,"","","","","","","","","","","",1,[],[],1018,"","","",1,"","",""
44,"Metadata/NPC/Info/Karui/Stone6","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",540,"","","","","","","","","","","",1,[],[],29978,"","","",1,"","",""
45,"Metadata/NPC/Info/Karui/Stone7","Weathered Carving","Gravures érodées","Verwitterte Schnitzarbeit","風化した彫刻","풍화된 조각","Escultura Castigada","Полустёртое послание","Tallado erosionado","หินสลักเก่าแก่","風化的石雕","Metadata/NPC/Info/StoryGlyphBase",541,"","","","","","","","","","","",1,[],[],27364,"","","",1,"","",""
46,"Metadata/NPC/Info/Victario/GraffitiIntro","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",543,"","","","","","","","","","","",3,[],[],28999,"","","",1,"","",""
47,"Metadata/NPC/Info/Victario/GraffitiSlum","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",544,"","","","","","","","","","","",3,[],[],28857,"","","",1,"","",""
48,"Metadata/NPC/Info/Victario/GraffitiWarehouse","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",545,"","","","","","","","","","","",3,[],[],6306,"","","",1,"","",""
49,"Metadata/NPC/Info/Victario/GraffitiBattlefront","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffitiLarger",546,"","","","","","","","","","","",3,[],[],3594,"","","",1,"","",""
50,"Metadata/NPC/Info/Victario/GraffitiDocks","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",547,"","","","","","","","","","","",3,[],[],17612,"","","",1,"","",""
51,"Metadata/NPC/Info/Victario/GraffitiChurch","Ancient Graffiti","Graffiti ancien","Uralte Wandmalerei","古代の象形文字","고대 벽화","Pichação Antiga","Древний рисунок","Grafiti antiguo","จิตรกรรมฝาผนังโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",548,"","","","","","","","","","","",3,[],[],63878,"","","",1,"","",""
52,"Metadata/NPC/Info/Victario/Notebook","Ancient Notebook","Carnet ancien","Uraltes Notizbuch","古代の手帳","고대의 공책","Caderno Antigo","Ветхий дневник","Cuaderno antiguo","สมุดบันทึกโบราณ","古老的壁畫","Metadata/NPC/Info/VictarioGraffiti",549,"","","","","","","","","","","",3,[],[],36425,"","","",1,"","",""
53,"Metadata/NPC/Info/MerveilSkin","Sailor's Skin","Peau de marin","Matrosenhaut","船乗りの皮","선원의 가죽","Pele de Pescador","Дневник моряка","Piel de marinero","หนังกะลาสี","水手之膚","Metadata/NPC/Info/StoryGlyphBase",883,"","","","","","","","","","","",1,[],[],38586,"","","",1,"","",""
54,"Metadata/NPC/Info/MerveilDiary","Damp Diary","Journal humide","Durchnässtes Tagebuch","湿った日記","젖어있는 일기","Diário Úmido","Промокший дневник","Diario húmedo","ไดอารี่เปียกชื้น","浸溼的日記","Metadata/NPC/Info/MerveilDiary",884,"","","","","","","","","","","",1,[],[],46840,"","","",1,"","",""
55,"Metadata/NPC/Act3/Scion","Scion","Héritière","Adelstochter","サイオン","사이온","Herdeira","Дворянка","Heredera","ไซออน","貴族","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],3163,"","","",1,"","F",""
56,"Metadata/NPC/Info/MapDevice","Reverie Device","Dispositif à rêveries","Traumapparat","夢想装置","꿈 장치","Dispositivo de Devaneio","Машина грез","Artefacto de ensueño","เครื่องเข้าภวังค์","地圖裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],58127,"","","",1,"","",""
57,"Metadata/NPC/Info/MapDeviceOld","Ancient Reverie Device","Dispositif à rêveries ancien","Uralter Traumapparat","古代の夢想装置","고대의 꿈 장치","Antigo Dispositivo de Devaneio","Древняя машина грез","Antiguo artefacto de ensueño","เครื่องเข้าภวังค์โบราณ","古老的地圖裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],24247,"","","",1,"","",""
58,"Metadata/NPC/Info/GemCart","Transmutia Device","L'Appareil de transmutation","Transmutor","変成装置","변신 장치","Dispositivo de Transmutação","Устройство превращения","Artefacto de transmutación","เครื่องแปรธาตุ","轉化裝置","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],50078,"","","",1,"","",""
59,"Metadata/NPC/Info/LibraryGaribaldi1","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],34418,"","","",1,"","",""
60,"Metadata/NPC/Info/LibraryGaribaldi2","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],1144,"","","",1,"","",""
61,"Metadata/NPC/Info/LibraryGaribaldi3","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],63906,"","","",1,"","",""
62,"Metadata/NPC/Info/LibraryGaribaldi4","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],44718,"","","",1,"","",""
63,"Metadata/NPC/Info/LibraryGaribaldi5","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],60557,"","","",1,"","",""
64,"Metadata/NPC/Info/LibraryGaribaldi6","The Purity Chronicles","Les Chroniques de la Pureté","Die Chroniken der Reinheit","浄化年代記","정화의 연대기","As Crônicas da Pureza","Хроники Чистоты","Las crónicas de Pureza","จดหมายเหตุพิสุทธิ์","純潔編年史","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],9070,"","","",1,"","",""
65,"Metadata/NPC/Info/LibraryVictario1","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],17746,"","","",1,"","",""
66,"Metadata/NPC/Info/LibraryVictario2","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],12556,"","","",1,"","",""
67,"Metadata/NPC/Info/LibraryVictario3","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],56503,"","","",1,"","",""
68,"Metadata/NPC/Info/LibraryVictario4","Victario's Writings","Écrits de Victario","Victarios Schriften","ヴィクタリオの著作","빅타리오의 저술","Textos do Victario","Записи Виктарио","Escritos de Victario","ลายลักษณ์ของวิคทาริโอ","維多里奧的手稿","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],15319,"","","",1,"","",""
69,"Metadata/NPC/Info/LibraryMilitary1","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],59906,"","","",1,"","",""
70,"Metadata/NPC/Info/LibraryMilitary2","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],17761,"","","",1,"","",""
71,"Metadata/NPC/Info/LibraryMilitary3","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],24435,"","","",1,"","",""
72,"Metadata/NPC/Info/LibraryMilitary4","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],59712,"","","",1,"","",""
73,"Metadata/NPC/Info/LibraryMilitary5","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],36408,"","","",1,"","",""
74,"Metadata/NPC/Info/LibraryMilitary6","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],58066,"","","",1,"","",""
75,"Metadata/NPC/Info/LibraryMilitary7","The Ancients","Les Anciens","Die alten Schriften","古文書","고대인","Os Antigos","Древние","Los antiguos","เรื่องราวจากบรรพกาล","古物","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],65463,"","","",1,"","",""
76,"Metadata/NPC/Info/MalachaiStatue","Plaque","Plaque","Tafel","銘板","명판","Placa","Плита","Placa","แผ่นสลัก","石碑","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],38593,"","","",1,"","",""
77,"Metadata/NPC/Info/CrossroadsLoreChapel","Etchings on Wood IV","Gravures sur bois IV","Einritzungen auf Holz IV","文字の刻まれた板 IV","식각 목판 IV","Gravuras na Madeira IV","Надпись на доске IV","Grabados en madera IV","แผ่นไม้จารึก 4","木刻版畫 IV","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],12945,"","","",1,"","",""
78,"Metadata/NPC/Info/CrossroadsLoreWindmill","Etchings on Wood III","Gravures sur bois III","Einritzungen auf Holz III","文字の刻まれた板 III","식각 목판 III","Gravuras na Madeira III","Надпись на доске III","Grabados en madera III","แผ่นไม้จารึก 3","木刻版畫 III","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],51508,"","","",1,"","",""
79,"Metadata/NPC/Info/CrossroadsLoreVilla","Etchings on Wood I","Gravures sur bois I","Einritzungen auf Holz I","文字の刻まれた板 I","식각 목판 I","Gravuras na Madeira I","Надпись на доске I","Grabados en madera I","แผ่นไม้จารึก 1","木刻版畫 I","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],39369,"","","",1,"","",""
80,"Metadata/NPC/Info/CrossroadsLoreVilla2","Etchings on Wood II","Gravures sur bois II","Einritzungen auf Holz II","文字の刻まれた板 II","식각 목판 II","Gravuras na Madeira II","Надпись на доске II","Grabados en madera II","แผ่นไม้จารึก 2","木刻版畫 II","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],50116,"","","",1,"","",""
81,"Metadata/NPC/Info/HighgateNote","Note","Note","Notiz","短い手紙","메모","Nota","Записка","Nota","จดหมาย","紀錄","Metadata/NPC/Info/HighgateNote",1904,"","","","","","","","","","","",4,[],[],15156,"","","",1,"","",""
