"rownum","rid","i32","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","i32","i32","i32","i32","row","rid","i32","i32","row","i32","i32","bool","bool"
37,3,10,0,75,965632,0,256,0,25088,0,25088,0,323840,324864,6422528,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
38,3,12,0,90,986624,0,256,0,25088,0,25088,0,324096,325120,6422528,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
39,3,13,0,100,1003520,0,256,0,1019392,0,25088,0,324352,325376,6422784,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
40,3,14,0,105,1074176,0,256,0,25088,0,25088,0,326656,327168,6422528,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
41,3,16,0,115,1091072,0,256,0,25088,0,25088,0,326912,327424,6422528,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
42,4,0,0,1,1107968,0,256,0,1125376,0,25088,0,96000,331264,302645248,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
43,4,0,1,1,25088,0,0,0,1194496,0,25088,0,96000,102144,309592064,0,327680,0,0,0,13434880,0,0,196608,"",""
44,4,1,0,8,1218560,0,256,0,25088,0,25088,0,96256,331520,315752448,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
45,4,1,1,8,25088,0,0,0,1245184,0,25088,0,96256,102400,324009984,0,327680,0,0,0,673120256,0,0,196608,"",""
46,4,2,0,17,1280000,0,256,0,1297920,0,25088,0,96512,331776,346816512,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
47,4,2,1,17,25088,0,0,0,1367552,0,25088,0,96512,102656,353894400,0,327680,0,0,0,589824,0,0,196608,"",""
48,4,3,0,27,1391104,0,256,0,25088,0,25088,0,96768,332032,360054784,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
49,4,3,1,27,25088,0,0,0,1418752,0,1440768,0,96768,102912,374210560,0,196608,0,0,0,-16908288,"",-16843010,130814,"",""
50,4,4,0,40,1467904,0,256,0,1485824,0,25088,0,97024,332288,394919936,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
51,4,4,1,40,25088,0,0,0,1555456,0,1573888,0,97024,103168,411041792,0,0,0,0,0,-16908288,"",-16843010,261886,"",""
52,4,5,0,57,1614848,0,256,0,25088,0,25088,0,97280,332544,417857536,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
53,4,5,1,57,25088,0,0,0,1647104,0,25088,0,97280,103424,426901504,0,327680,0,0,0,673054720,0,0,196608,"",""
54,4,6,0,80,1681920,0,256,0,1700352,0,25088,0,97536,332800,449445888,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
55,4,6,1,80,25088,0,0,0,1769472,0,25088,0,97536,103680,456916992,0,327680,0,0,0,11862016,0,0,327680,"",""
56,4,7,0,115,1794048,0,256,0,25088,0,25088,0,97792,333056,463208448,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
57,4,7,1,115,25088,0,0,0,1821696,0,1842688,0,97792,103936,478937088,0,0,0,0,0,-16908288,"",-16843010,130814,"",""
58,5,0,0,1,1877504,0,256,0,1897472,0,25088,0,96000,331264,501219328,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
59,5,0,1,1,25088,0,0,0,1973760,0,25088,0,96000,102144,510001152,0,327680,0,0,0,1638400,0,0,655360,"",""
60,5,1,0,8,2004480,0,256,0,25088,0,25088,0,96256,331520,517079040,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
61,5,1,1,8,25088,0,0,0,2027008,0,1573888,0,96256,102400,523370496,0,327680,0,0,0,-16908288,"",-16843010,261886,"",""
62,5,2,0,17,2052608,0,256,0,2068992,0,25088,0,96512,331776,543948800,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
63,5,2,1,17,25088,0,0,0,1367552,0,25088,0,96512,102656,353894400,0,327680,0,0,0,589824,0,0,196608,"",""
64,5,3,0,27,2136064,0,256,0,25088,0,25088,0,96768,332032,550895616,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
65,5,3,1,27,25088,0,0,0,2159616,0,25088,0,96768,102912,557842432,0,0,0,0,0,672595968,0,0,196608,"",""
66,5,4,0,40,2192384,0,256,0,2208768,0,25088,0,97024,332288,579469312,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
67,5,4,1,40,25088,0,0,0,2273792,0,2286592,0,97024,103168,591134720,0,0,0,0,0,-16908288,"",-16843010,130814,"",""
68,5,5,0,57,2316288,0,256,0,25088,0,25088,0,97280,332544,597557248,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
69,5,5,1,57,25088,0,0,0,2344448,0,25088,0,97280,103424,604504064,0,0,0,0,0,2949120,0,0,65536,"",""
70,5,6,0,80,788480,0,256,0,804864,0,25088,0,97536,332800,608698368,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
71,5,6,1,80,25088,0,0,0,2388992,0,2408960,0,97536,103680,622460928,0,131072,0,0,0,-16908288,"",-16843010,130814,"",""
72,5,7,0,115,2442240,0,256,0,25088,0,25088,0,97792,333056,629276672,0,-16908288,"","",0,-16908288,"",-16843010,65278,"",""
73,5,7,1,115,25088,0,0,0,2465792,0,2483712,0,97792,103936,643432448,0,65536,0,0,0,-16908288,"",-16843010,130814,"",""
