"rownum","Id","QuestKey","QuestFlag","i32","RewardWindowTake","bool","bool","RewardWindowTitle","i32","rid"
101,"heist_quest_whakano1",151,"",965,"","","","",0,""
102,"heist_quest_whakano2",152,"",966,"","","","",0,""
103,"heist_quest_whakano3",153,"",967,"","","","",0,""
104,"heist_quest_faustus1",154,"",968,"","","","",0,""
105,"heist_quest_faustus2_2",155,"",969,"","","","",0,""
106,"heist_quest_faustus3",156,"",970,"","","","",0,""
107,"heist_quest_kurai1",157,"",971,"","","","",0,""
108,"heist_quest_kurai2",158,"",972,"","","","",0,""
109,"heist_quest_kurai3",159,"",973,"","","","",0,""
110,"hellscape_tutorial1",171,"",1317,3694,"",1,3699,0,""
111,"voidstones",107,"",1317,3696,1,1,3699,0,""
112,"maven",162,"",1317,"","",1,"",0,""
113,"uberelder",163,"",1317,"","",1,"",0,""
114,"tangle",164,"",1317,"","",1,"",0,""
115,"cleansing_fire",165,"",1317,"","",1,"",0,""
116,"tangle_infinite_hunger",164,"",1317,"","",1,"",0,""
117,"cleansing_fire_black_star",165,"",1317,"","",1,"",0,""
118,"sanctum_free_relic",184,"",1032,"","","","",0,""
