"rownum","Id","Tag (English)","Tag (French)","Tag (German)","Tag (Japanese)","Tag (Korean)","Tag (Portuguese)","Tag (Russian)","Tag (Spanish)","Tag (Thai)","Tag (Traditional Chinese)","Stat1","Stat2","Stat3","Stat4"
41,"stance","Stance","Posture","Haltung","スタンス","태세","Postura","Стойка","Postura","กระบวนท่า","姿態","","","",""
42,"hex","Hex","Calamité","Verhexung","呪術","사술","Feitiço","Порча","Maleficio","สาปสะกด","咒術",13066,"","",""
43,"mark","Mark","Marque","Mal","呪印","징표","Marca","Метка","Señal","สาปแช่ง","印記","","","",""
44,"orb","Orb","Orbe","Sphäre","オーブ","보주","Orbe","Сфера","Orbe","ลูกแก้ว","球體","","","",""
45,"random_element","Prismatic","Prismatique","Prismatisch","プリズマティック","분광","Prismático","Радужный","Prismática","สุ่มธาตุ","三相","","","",""
46,"arcane","Arcane","Arcane","Arkan","アーケイン","비전","Arcana","Колдовской","Arcana","อาคม","秘能","","","",""
47,"critical","Critical","Critique","Kritisch","クリティカル","치명타","Crítico","Критический","Crítico","คริติคอล","暴擊","","","",""
48,"exceptional","Exceptional","Exceptionnel","Außergewöhnlich","希少","특출난","Excepcional","Исключительный","Excepcional","ดีเด่น","卓越","","","",""
49,"link","Link","Lien","Verbindung","リンク","연결","Vínculo","Связь","Vínculo","ประสาน","連結","","","",17779
50,"blessing","Blessing","Bénédiction","Segnung","ブレッシング","축복","Bênção","Благословение","Bendición","พร","祝福","","","",""
51,"awakened","","","","","","","","","","","","","",""
