"rownum","Id","UITalkCategoriesKey","OGGFile","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","NPCTextAudio"
10,"Incursion_GenericIncursionComplete_1",8,"Audio/Dialogue/NPC/Alva/AV14_A.ogg","Good job.","Beau travail.","Ausgezeichnete Arbeit.","グッジョブ！","잘했어.","Bom trabalho.","Молодец.","Buen trabajo.","ทำ​ดี​มาก","幹的好。",1,""
11,"Incursion_GenericIncursionComplete_2",8,"Audio/Dialogue/NPC/Alva/AV14_B.ogg","Good job, exile.","Beau travail !","Das habt Ihr gut gemacht!","グッジョブ、エグザイル！","잘했어, 유배자.","Bom trabalho, exilado.","Ты молодец.","Buen trabajo, exiliado.","ทำ​ดี​มาก เอ็กไซล์","幹的好，流亡者。",1,""
12,"Incursion_GenericIncursionFarewell",9,"Audio/Dialogue/NPC/Alva/AV19.ogg","The temple looms closer with each new step! Find me again and we'll continue our task.","Chaque étape franchie nous rapproche du Temple ! Rejoignez-moi à la suivante, que nous puissions poursuivre notre tâche.","Jeder Schritt bringt uns dem Tempel ein klein wenig näher. Findet mich ein weiteres Mal und wir setzen unser Abenteuer fort.","一歩進むごとに寺院が近づいてきているわ！また私を見つけて。仕事を続けましょう。","사원이 계속 가까워지네! 다시 날 찾아오면 다음번 진도를 나갈 거야.","O templo se aproxima com cada novo passo! Me encontre novamente e nós continuaremos nossa tarefa.","С каждым разом очертания храма становятся всё отчётливее! Отыщи меня, тогда и продолжим.","¡El templo se avecina con cada nuevo paso! Encuéntrame de nuevo y continuaremos nuestra tarea.","ยิ่ง​ก้าว​ไป​วิหาร​ก็​ยิ่ง​ใกล้​เข้า​มา​แล้ว! หา​ข้า​ให้​เจอ​อีก​รอบ​แล้ว​เรา​จะ​ทำงาน​กัน​ต่อ","隨著每次新的探索，神殿的位置就越來越清楚了！再次找到我，讓我們繼續進行任務。",1,""
13,"Incursion_TempleIsOpenFarewell",10,"Audio/Dialogue/NPC/Alva/AV20.ogg","The location of the Temple is now clear. Make sure you've got enough supplies. Let me know when you're ready, and we can go. I'll open another portal to get us there.","Nous avons réussi à localiser l'emplacement du Temple. Assurez-vous d'avoir assez de provisions, puis faites-moi signe. J'ouvrirai alors un nouveau portail pour nous conduire là-bas.","Stellt sicher, dass Ihr alles vorbereitet habt. Lasst mich wissen, wenn Ihr bereit seid und ich öffne ein weiteres Portal, das uns dorthin bringt.","寺院の位置が明らかになったわ。備えは十分か確認を。準備ができたら教えて、出発できる。寺院に繋がる別のポータルを開くわ。","사원의 위치가 드러났어. 보급은 충분히 챙겼는지 확인해. 너만 준비되면 바로 출발할 수 있어. 내가 거기로 이어지는 포탈을 열게.","Se assegure de ter suprimentos suficientes. Me avise quando estiver pronto e nós iremos. Eu abrirei outro portal para nos levar até lá.","Теперь понятно, где находится храм! Как следует подготовься к походу. Скажи, как соберёшься выходить. Тогда и отправимся. Я открою другой портал и проведу нас внутрь.","La ubicación del Templo ahora está clara. Asegúrate de tener suficientes provisiones. Avísame cuando estés listo y podemos irnos. Abriré otro portal para llegar allí.","ตำแหน่ง​ของ​วิหาร​ตอน​นี้​ชัดเจน​มาก​แล้ว เตรียม​เสบียง​ปัจจัย​อะไร​เอา​ไว้​ให้​ดี​ล่ะ ​บอก​ข้า​ด้วย​เมื่อ​เจ้า​พร้อม แล้ว​เรา​ค่อย​ไป​กัน ข้า​จะ​เปิด​ประตูมิติ​อีก​แห่ง​เพื่อ​พา​เรา​ไป​ที่​นั่น","確認你有足夠的補給品。準備好時通知我，我們就可以出發了。我會開啟傳送門帶我們到那。",1,""
14,"Incursion_TempleOpenGreeting",11,"Audio/Dialogue/NPC/Alva/AV23.ogg","I did it! I mean, we did it. The location of the Temple is now clear! Remember to watch your step, exile. We may have helped build this layout, but a lot can change in two thousand years. There's no telling what kind of things have taken up residence in those ruins...","J'ai réussi ! Pardon, <italic>{nous} avons réussi à localiser l'emplacement du Temple ! Faites bien attention où vous mettrez les pieds. Bien que nous ayons influencé l'agencement du Temple, n'oublions pas que bien des choses peuvent changer en un millénaire. Nous ignorons en outre quel genre de créatures ont pu élire domicile au cœur de ces ruines…","Ich habe es vollbracht! Ich meine ... wir haben es vollbracht! Der Standort des Tempels steht nun fest. Gebt auf jeden Eurer Schritte acht. Wir haben vielleicht beim Aufbau dieses Grundrisses mitgewirkt, doch vieles kann sich im Laufe von zwei Jahrtausenden ändern. Es ist unmöglich zu sagen, was für Dinge sich in diesen Ruinen niedergelassen haben ...","やったわ私！と言うか、やったわ私達。寺院の場所が分かったの！エグザイル、足元に気を付けて。このレイアウトを建設する手伝いをしたけれども、二千年の間に多くが変化しているはず。この遺跡にどんなものが住み着いたかもわからないのだから...","내가 해냈어! 내 말은, 우리가 말이야. 사원의 위치가 드러났다고! 경계를 늦추지 마, 유배자. 우리가 조금 건드렸긴 했어도, 이천 년이 지나면서 어마어마하게 변했을 테니까. 저 폐허 안에 뭐가 있을지는 아무도 몰라...","Eu consegui! Digo, nós conseguimos. A localização do Templo está clara! Fique atento, exilado. Nós ajudamos a construir este layout, mas muito pode ter mudado em dois mil anos. Não tem como dizer que tipo coisas tomaram estas ruínas como residência...","У меня получилось! То есть, у нас. Теперь понятно, где находится храм! Смотри куда идёшь и держи ухо востро. Пусть мы и повлияли на постройку храма, мало ли что могло измениться за две тысячи лет. Никто не знает, что за существа успели обжить эти развалины...","¡Lo conseguí! Quiero decir, lo conseguimos. ¡La ubicación del Templo ahora está clara! No olvides ver donde pisas, exiliado. Puede que hayamos ayudado a construir esta disposición, pero mucho puede cambiar durante miles de años. No hay forma de saber qué puede estar habitando esas ruinas...","ข้า​ทำได้​แล้ว! ข้า​หมาย​ถึง​ว่า... เรา​ทำได้​แล้ว​นะ ตำแหน่ง​ของ​วิหาร​ตอน​นี้​ชัดเจน​มาก​แล้ว! แต่​จำ​ไว้ ระวัง​ตัว​ให้​ดี​นะ​เอ็กไซล์ เรา​อาจ​จะ​ช่วย​สร้าง​ที่​นี่ แต่​เวลา​หลาย​พัน​ปี​น่า​จะ​เปลี่ยน​อะไร​ไป​ได้​เยอะ ไม่​รู้​ว่า​อะไร​จะ​มา​หลบ​อยู่​ใน​ซาก​พวก​นี้...","我做到了！我是說我們做到了。神殿現在的位置很清楚了。記得要留意你的每一步，流亡者。我們可能會改變建築的構造，但在經過兩千年的時光會有很巨大的改變。沒有人知道在那些廢墟中居住的是什麼樣的東西…",1,""
15,"Incursion_TemplePortal",12,"Audio/Dialogue/NPC/Alva/AV22.ogg","Hope you've made some bag space. Today we make off with a king's ransom!","Ouvrez grand votre sac, car aujourd'hui nous empochons des richesses dignes d'un roi !","Hoffentlich habt Ihr etwas Platz in Eurer Tasche. Heute bereichern wir uns königlich! ","カバンにスペース作ったかしら。今日は大金を持ち帰るわ！","배낭에 여유 좀 있지? 오늘 우린 막대한 재물을 챙겨가게 될 거라고!","Espero que tenha espaço. Hoje nós seremos reis!","Надеюсь, у тебя вместительные сумки. Сегодня нас ожидает царская награда!","Espero que hayas liberado espacio en tu bolsa. ¡Hoy salimos de aquí con una fortuna!","หวัง​ว่า​กระเป๋า​เจ้า​คง​ว่าง​นะ เพราะ​วัน​นี้​เรา​จะ​กอบโกย​ทรัพย์​สมบัติ​มหาศาล!","希望你的包包有留點空間。今天我們可以用國王的贖金脫身啦！",1,""
16,"Incursion_ArmourRoom1",13,"Audio/Dialogue/NPC/Alva/AV39.ogg","The Architect of Iron has established a smithing setup in that room. Take care you don't run afoul of their metal carapaces.","L'Architecte du Fer a installé une forge dans cette pièce. Faites attention à ses carapaces de métal.","Der Architekt des Eisens hat sich in diesem Raum mit seiner Schmiede häuslich eingerichtet. Passt auf, dass Ihr nicht über seine Panzer stolpert. ","鉄のアーキテクトはその部屋に鍛冶場を建設したわ。彼らの金属製の大盾にぶつからないように注意して。","철의 건축가가 방을 무슨 대장간으로 만들어 놨네. 철판에다 맨몸으로 돌진하지 말고 조심해.","O Arquiteto do Ferro estabeleceu equipamentos de ferreiro naquele salão. Cuidado para não sair correndo em suas carapaças de metal.","В этом зале Архитектор железа устроил кузню. Смотри не попадись под руку железнопанцирным.","El Arquitecto de Hierro ha establecido una herrería en esa sala. Ten cuidado de no tropezar con sus carcasas metálicas.","สถาปนิก​แห่ง​เหล็ก​ได้​สร้าง​ห้อง​ตี​เหล็ก​ใน​นั้น ระวัง​อย่า​ให้​ไป​ปะ​กับ​พวก​กระดอง​เหล็ก​นั่น​ล่ะ","鋼鐵建造師在那間房間建造了一個鍛造裝置。注意你不要碰到他們的金屬護甲。",1,""
17,"Incursion_ArmourRoom2",14,"Audio/Dialogue/NPC/Alva/AV40.ogg","Atmohua's got himself a very nice armoury thanks to you, and everyone else is sure to benefit from his protection.","Atmohua a gagné une belle armurerie grâce à vous, et tout le monde bénéficiera de sa protection par votre faute.","Atmohua hat sich hier dank Euch ein feines Waffenarsenal angelegt, und jeder wird von seinem Spielzeug sicher profitieren.","アトモフアはあなたのおかげで立派な造兵廠を手に入れたわ。他の者達も彼の保護を受けているに違いない。","덕분에 앗모후아의 갑주 창고가 아주 끝내주게 변했어. 다들 그 덕을 보게 되겠지.","Atmohua conseguiu uma bela armaria graças a você, e todos com certeza se beneficiarão de sua proteção.","Благодаря тебе Атмохва наладил производство доспехов. Все обитатели храма выиграют от его покровительства.","Atmohua tiene una armería muy buena gracias a ti, y todos los demás se beneficiarán de su protección.","แอตโมฮัว​มี​คลัง​แสง​อลังการ​ได้​เพราะ​เจ้า และ​แน่นอน​ว่า​ทุก​คน​ได้​รับ​ประโยชน์​จาก​การ​คุ้มครอง​ของ​เขา","多虧於你，艾特瑪哈獲得了非常好的裝備庫，其他人都可以受到他的保護。",1,""
18,"Incursion_ArmourRoom3",15,"Audio/Dialogue/NPC/Alva/AV41.ogg","You've paved the way for a heavily armoured defensive force to take up residence. I'm not exactly sure why you'd want that, but maybe we can sell the armour for scrap.","Vous avez permis à des troupes lourdement cuirassées d'investir les lieux. J'avoue avoir du mal à comprendre pourquoi diable vouloir une telle chose, mais peut-être pourrons-nous au moins revendre les armures au prix coûtant.","Ihr habt einer schwer gepanzerten Abwehrtruppe den Weg geebnet. Mir ist nicht wirklich klar, was Ihr damit versucht zu erreichen, aber vielleicht können wir die Rüstung als Schrott verkaufen.","重装備の防衛軍が部屋を占領するための道を作ったようね。なんでそんなことをしたのか分からないけれど、防具をスクラップとして売ることはできるかもしれないわ。","방어가 엄청 단단한 구역으로 길을 열었나 보군... 하필이면 왜 그쪽 구역을 열었는진 모르겠다만... 뭐, 장비를 고철로 팔아치울 수라도 있기는 하겠지.","Você pavimentou o caminho para que defesas fortemente protegidas se estabelecessem aqui. Eu não tenho certeza do porque você iria querer isso, mas talvez nós possamos vender as armaduras como ferro velho.","Твоими стараниями зал наполнится защитниками с крепчайшей бронёй. Ума не приложу, зачем тебе это. Хотя, может быть, мы сможем продать броню на лом.","Ha preparado el camino para que una fuerza defensiva fuertemente blindada se establezca. No sé muy bien por qué querrías eso, pero tal vez podamos vender la armadura como chatarra.","เจ้า​ปู​ทาง​ให้​กอง​กำลัง​เกราะ​หนา​ขา​โหด​มา​อยู่​ที่​นี่ ข้า​ไม่​แน่ใจ​ว่า​เจ้า​ต้องการ​แบบ​นั้น​ทำไม​นะ แต่​อย่าง​น้อย​เรา​อาจ​จะ​เลาะ​เกราะ​ไป​ขาย​ซาก​ก็​ได้","你已經為重裝防禦部隊鋪平了道路。 我不確定你為什麼要這麼做，但也許我們可以賣掉裝甲。",1,""
19,"Incursion_BreachRoom1",16,"Audio/Dialogue/NPC/Alva/AV42.ogg","You've decided to keep the Architect of the Breach alive. I... honestly don't know what he'll do in that room.","Vous avez choisi de maintenir l'Architecte de la Brèche en vie. Je n'ai… aucune idée de ce qu'il va bien pouvoir manigancer dans cette salle.","Ihr habt also beschlossen, den Architekten des Risses am Leben zu lassen. Ich ... bin mir wirklich nicht sicher, was er mit diesem Raum anstellen wird.","ブリーチのアーキテクトを生かしておくことにしたのね。正直なところ彼がこの部屋で何をするか分からないわ。","균열의 건축가를 살려둘 생각이구나. 솔직히... 그자가 방에 무슨 짓을 해 놓을지 상상이 안 가긴 해.","Você decidiu manter o Arquiteto da Fenda vivo. Eu... Honestamente não sei o que ele fará naquele salão.","Стало быть, Архитектор разлома остался в живых. Я... честно говоря, даже представить не могу, что он сотворит с этим залом.","Has decidido mantener vivo al Arquitecto de la Fisura. Honestamente, no sé qué hará en esa habitación.","เจ้า​เลือก​ไว้​ชีวิต​สถาปนิก​แห่ง​บรีช ข้า... ไม่​รู้​จริงๆ ว่า​เขา​จะ​ทำ​อะไร​ใน​ห้อง​นั้น","你覺定放裂痕建師一條生路。我…真的不確定他會在那間房間做出什麼事。",1,""
20,"Incursion_BreachRoom2",17,"Audio/Dialogue/NPC/Alva/AV43.ogg","Whatever Zilquapa found in that room, you're letting him keep it? Bit of a risk, but no risk, no reward. ","Vous permettez à Zilquapa de conserver ce qu'il a trouvé dans cette salle, quoi que cela puisse être ? C'est un poil risqué — mais pas de risque, pas de récompense, comme on dit.","Was auch immer Zilquapa in diesem Raum gefunden hat, Ihr werdet es ihm überlassen. Natürlich ist das ein wenig riskant, aber wer nicht wagt, der nicht gewinnt.","あの部屋でジルクアパが何を見つけたとしても、彼を生かしておくのかしら？リスクはあるけれど、ノーリスク、ノーリワード。","질콰파가 방에서 뭘 찾았는지는 몰라도 그냥 그렇게 둘 거야? 조금 위험하기는 하겠지만, 위험이 없으면 보상도 없는 법이라고.","O que quer que seja que Zilquapa tenha encontrado naquele salão, você permitiu que ele mantivesse. Um pouco arriscado, mas sem risco, sem recompensa.","Что бы Зильквапа ни нашёл в этом зале, благодаря тебе он своего не упустил. Слегка рискованно, но ведь без риска нет награды.","¿Vas a permitir que Zilquapa se quede lo que sea que haya encontrado en esa habitación?. Un poco arriesgado, pero sin riesgo, no hay recompensa.","ไม่​ว่า​ซิลคัวปา​จะ​เจอ​อะไร​ใน​ห้อง​นั้น เจ้า​ปล่อย​ให้​เขา​ได้​เก็บ​มัน​ไว้​เหรอ? เสี่ยง​หน่อย แต่​ถ้า​ไม่​เสี่ยง​ก็​ไม่​ได้​รางวัล​นี่​นา","無論薩爾克塔在那個房間發現了什麼，你都讓他保留了。有點風險。但沒有風險就沒有收穫。",1,""
21,"Incursion_BreachRoom3",18,"Audio/Dialogue/NPC/Alva/AV44.ogg","Great, Zilquapa's madness has given eldritch... <italic>{things}... ingress to the temple. Was that your intention, or should I applaud you for your foolhardiness?","Quelle aubaine… La folie de Zilpaqua a attiré des… <italic>{choses}… dans le Temple. Était-ce là votre intention, ou dois-je applaudir votre témérité ?","Großartig, Zilquapas Wahnsinn hat diesen unheimlichen ... <italic>{Wesen} ... den Weg in diesen Tempel geebnet. War das etwa Eure Absicht, oder soll ich Euch zu Eurer Tollkühnheit gratulieren?","すごい、ジルクアパの狂気が超常の...<italic>{何か}...を寺院に侵入させたわ。これはあなたの狙い通り？、それともその無謀さを賞賛すべきかしら？","굉장하네. 질콰파가 신전에 그런... <italic>{소름 돋는 것}들을... 너 혹시, 알고 그랬던거야? 아니면 대책 없는 무모함에 손벽이라도 쳐 줘야 하나?","Ótimo, a loucura de Zilquapa permitiu que aquelas... <italic>{things}... Entrassem no Templo. Isso foi planejado ou eu devo aplaudí-lo por sua tolice?","Чудно. Безумие Зильквапы пустило в храм мистических…<italic>{тварей}. Ты это специально, или пора аплодировать твоему безрассудству?","Genial, la locura de Zilquapa ha permitido que accedan <italic>{cosas}.... siniestras al templo. ¿Era esa tu intención, o debería aplaudirte por tu temeridad?","เยี่ยม ความคลั่ง​ของ​ซิลคัวปา​ทำให้​ตัว... <italic>{ผิดธรรมชาติ}... เข้า​มา​ใน​วิหาร​แล้ว เจ้า​จงใจ​หรือ​เปล่า หรือ​ข้า​ควร​ปรบ​มือ​ให้​กับ​ความ​ระห่ำ​ของ​เจ้า​นะ?","太棒了，薩爾克塔的瘋狂已經讓詭異的…<italic>{東西}…進入了神殿。這就是你的意圖，又或著我應該要為了你的有勇無謀而鼓掌呢？",1,""
22,"Incursion_BreedingRoom1",19,"Audio/Dialogue/NPC/Alva/AV45.ogg","Wise idea, handing the room over to this architect. More blood to shed means more time in the great temple. Behold! The spoils of war!","Remettre cette salle aux mains de cet Architecte fut une sage décision. Plus de sang à répandre signifie plus de temps à notre disposition dans le Temple. À nous le butin de guerre !","Was für eine kluge Entscheidung, den Raum diesem Architekten zu überlassen. Mehr Blut bedeutet mehr Zeit in diesem prachtvollen Tempel. Lasset das Blut fließen!","賢明な考えね、このアーキテクトに部屋を明け渡すのは。より多くの血を流せば、より多くの時間を偉大な寺院で過ごすことができる。刮目せよ！戦利品だ！","이 건축가한테 방을 넘겨주다니, 머리 좀 썼는데. 더 많은 피를 뿌리면 잔류 시간이 길어지는 거니까. 어, 이것 봐! 전리품들이잖아!","Boa ideia, dar o salão à este arquiteto. Mais sangue a jorrar significa mais tempo no grande templo. Contemple! Os despojos da guerra!","Оставить зал этому архитектору — мудрое решение. Чем больше крови мы прольём, тем дольше задержимся в великом храме. А вот и твои трофеи!","Fue una sabia idea, entregarle la habitación a este arquitecto. Más sangre para derramar significa más tiempo en el gran templo. ¡He aquí! ¡El botín de guerra!","ฉลาด​มาก ให้​สถาปนิก​คน​นี้​ได้​ห้อง​ไป ยิ่ง​มี​เลือด​ให้​หลั่ง​เยอะ​ก็​ยิ่ง​มี​เวลา​ใน​วิหาร​นี้​อีก​มากมาย มา​ดู​กัน​เถอะ! สมบัติ​ก้อน​โต!","聰明，將這間房間交給這個建造者。噴灑更多的鮮血，代表有更多時間待在這偉大的神殿裡。請看！戰爭的洗禮！",1,""
23,"Incursion_BreedingRoom2",20,"Audio/Dialogue/NPC/Alva/AV46.ogg","Without a rival, Cholotl's sure to step up his recruitment efforts. Not a problem for you, I'm sure.","Maintenant qu'il n'a plus de rival, Cholotl aura tout le loisir de recruter ses troupes comme il l'entend. J'imagine que ce n'est pas un problème pour vous.","Ohne einen Rivalen wird Cholotl seine Rekrutierungsbemühungen sicherlich verstärken. Das sollte Euch aber wohl vor keine großen Herausforderungen stellen.","ライバルがいなければ、チョロトルは徴兵活動を強化するはだわ。あなたには何の支障も無いでしょうけど。","경쟁자가 없으면 촐로틀은 신병 모집에 박차를 가하겠지. 뭐 확실한 건, 너한테 문제가 되지는 않을 거야.","Sem um rival, Cholotl com certeza aumentará seus esforços para recrutar. Sem problema para você, tenho certeza.","Без соперника войско Чолотля станет прирастать ещё быстрее. Уверена, ты справишься и с этим.","Sin un rival, Cholotl sin duda intensificará sus esfuerzos de reclutamiento. Estoy segura de que no es un problema para ti.","เมื่อ​ไม่มี​คู่แข่ง โชโลทัล​ก็​ย่อม​จะ​เร่ง​เกณฑ์​คน​เข้า​มา​เพิ่ม ข้า​มั่นใจ​ว่า​ไม่มี​ปัญหา​สำหรับ​เจ้า​นะ","沒有了勁敵，斯拉托一定會加強他的招聘工作。我相信，對你來說不是問題。",1,""
24,"Incursion_BreedingRoom3",21,"Audio/Dialogue/NPC/Alva/AV47.ogg","You've let Cholotl turn that chamber into a sanctuary for the most war-mad Vaal out there. I hope this doesn't come back to bite us.","Vous avez laissé Cholotl transformer cette salle en sanctuaire pour les plus sanguinaires des Vaal. En espérant que nous ne nous en mordrons pas les doigts.","Ihr habt Cholotl diese Kammer in eine Zufluchtsstätte für die ruchlosesten Vaal da draußen verwandeln lassen. Hoffen wir, dass wir es nicht bereuen werden.","チョロトルがこの部屋を戦闘狂のヴァールの聖域とすることを許したのね。彼らが私たちに噛み付かないことを願うわ。","촐로틀이 방을 바알의 전쟁광 놈들을 위한 성역으로 바꿔놓도록 만들 생각이구나. 이게 우리를 거꾸로 삼키려 드는 게 아니면 좋겠군.","Você deixou Cholotl modificar a câmara para um santuário para os Vaal mais loucos por guerra. Espero que isso não volte para nos morder.","Из-за тебя Чолотль превратил зал в прибежище для самых кровожадных ваал. Надеюсь, нам это не аукнется.","Has dejado que Cholotl convierta esa cámara en un santuario para el Vaal más trastornado por la guerra. Espero que esto no se vuelva en nuestra contra.","เจ้า​ปล่อย​ให้​โชโลทัล​เปลี่ยน​ห้อง​นั้น​เป็น​ที่​อยู่​ของ​พวก​วาล์​บ้าสงคราม​แล้ว ข้า​หวัง​ว่า​มัน​จะ​ไม่​เป็น​ภัย​กับ​เรา​ใน​ภาย​หลัง​นะ","你已經讓斯拉托把那個房間改造成最戰狂瓦爾的避難所。希望這到過頭來不會反要我們一口。",1,""
25,"Incursion_CartographyRoom1",22,"Audio/Dialogue/NPC/Alva/AV48.ogg","Now the Architect of Expansion has a base of operations from which to begin exploring Wraeclast.","L'Architecte de l'Expansion dispose maintenant d'une base opérationnelle qui lui permettra d'entreprendre son exploration de Wraeclast.","Jetzt hat der Architekt der Erkundung einen Standort, von dem aus er beginnen kann, Wraeclast zu erkunden.","これで拡張のアーキテクトは、レイクラストの探索を開始するための拠点を手に入れたわ。","이제 확장의 건축가에게 레이클라스트로의 탐사 전초 기지가 생겼네.","Agora o Arquiteto da Expansão possui uma base de operações da qual ele pode começar a explorar Wraeclast.","Теперь у Архитектора завоеваний есть плацдарм для изучения Рэкласта.","Ahora el Arquitecto de Expansión tiene una base de operaciones desde la cual comenzar a explorar Wraeclast.","ตอนนี้​สถาปนิก​แห่ง​การ​ขยายสถาน​มี​ฐาน​เอา​ไว้​เริ่ม​สำรวจ​เวร์แคลส์ท​แล้ว","現在拓展建師有一個開始探索瓦爾克拉斯的營地了。",1,""
26,"Incursion_CartographyRoom2",23,"Audio/Dialogue/NPC/Alva/AV49.ogg","With Uromoti's rival dead, his resources will be put to good use, furthering the Vaal's prodigious exploration efforts.","Maintenant que son rival est mort, Uromoti pourra consacrer toutes ses ressources au prodigieux projet d'expansion des Vaal.","Da Uromotis Rivale tot ist, werden seine Ressourcen sinnvoll aufgewendet, um die gewaltigen Erkundungsbemühungen der Vaal voranzutreiben.","ウルモティのライバルの死で、彼の資源は有効活用され、ヴァーアルの強大な探索がさらに進むわ。","우로모티의 경쟁자가 죽으면서 재물들이 쓰일 곳을 찾게 될 테니, 바알의 대규모 탐사 활동에도 가속이 붙게 되겠네.","Com o rival de Uromoti morto, seus recursos serão colocados em bom uso, levando as prodigiosas explorações Vaal ainda mais longe.","Уромоти с удовольствием пустит ресурсы погибшего соперника на дальнейшее исследование земель для ваал.","Con la muerte del rival de Uromoti, sus recursos serán puestos a buen uso, favoreciendo los prodigiosos esfuerzos de exploración del Vaal.","คู่แข่ง​ของอูรูมอที​ตาย​ไป​แล้ว ตอนนี้​เขา​ก็​จะ​ใช้​ทรัพยากร​ได้​เต็ม​ที่ ทำให้​พวก​วาล์​ได้​ออก​สำรวจ​อย่าง​ใหญ่​หลวง","隨著烏爾摩堤的勁敵死亡，他的資源將得到很好的利用，進一步加強了瓦爾的巨大探索能力。",1,""
27,"Incursion_CartographyRoom3",24,"Audio/Dialogue/NPC/Alva/AV50.ogg","Uromoti's exploration is on a scale like I've never seen. What are they looking for? What could <italic>{possibly} be left to explore?","La campagne d'exploration d'Uromoti a atteint une ampleur telle que je n'en avais jamais vu auparavant. Que cherchent-ils ? Que diable <italic>{reste-t-il} à découvrir ?","Uromotis Erkundungen nehmen Ausmaße an, wie ich sie zuvor noch nicht erlebt habe. Wonach suchen sie? Was <italic>{könnte} es noch zu erforschen geben?","ウルモティの拡張の規模は今まで見たことのないものだわ。彼らは一体何を探している？一体<italic>{何}が残されている？","우로모티의 탐사가 처음 보는 규모로 커졌어. 뭘 찾는 거지? <italic>{저렇게까지} 찾아야 할 게 있나?","A exploração de Uromoti está em uma escala que eu nunca vi. Pelo que eles procuram? O que poderia <italic>{faltar} para ser explorado?","Исследования Уромоти приняли невиданный размах. Что же он ищет? Разве <italic>{осталось} хоть что-то неизведанное?","La exploración de Uromoti es de una escala que nunca he visto. ¿Qué están buscando? ¿Qué <italic>{podría} quedar por explorar?","การ​สำรวจ​ของ​อูรูมอทีอลังการ​ใน​แบบ​ที่​ข้า​ไม่​เคย​เห็น​มา​ก่อน พวก​นั้น​กำลัง​มอง​หา​อะไร? มัน​จะ​เหลือ<italic>{อะไร}ให้​ค้นหา​กัน​อีก?","烏爾摩堤的探索規模是我從未見過的。他們在尋找什麼呢？還有<italic>{可能}探索到什麼？",1,""
28,"Incursion_ChestsRoom1",25,"Audio/Dialogue/NPC/Alva/AV51.ogg","You've made space for the Architect of the Hoard to keep his \""finds\"". ","Vous avez laissé assez de place dans cette salle pour que l'Architecte des Réserves puisse y entreposer ses « trouvailles ».","Ihr habt dem Architekten des Hortes ein wenig Platz geschaffen, damit er seine \""Fundstücke\"" horten kann.","宝庫のアーキテクトが彼の「発見」を保管するための場所を作ったようね。","비축의 건축가가 자기의 \""발견물\""들을 보관할 공간을 네가 비워준 거야.","Você deixou algum espaço para tomar os \""achados\"" do Arquiteto do Tesouro?","Благодаря тебе у Архитектора складов стало больше места для хранения «находок».","Has hecho espacio para que el Arquitecto de las Reservas conserve sus \""hallazgos\"".","เจ้า​เพิ่ง​เปิด​พื้น​ที่​ให้​สถาปนิก​แห่ง​คลังสมบัติ​เก็บ \""ของ\"" ที่​ได้​มา​แล้ว","你清空了一個空間給囤物建師讓他保存他的＂收藏＂。",1,""
29,"Incursion_ChestsRoom2",26,"Audio/Dialogue/NPC/Alva/AV52.ogg","Juatalotli's got a lot more room to store his strange collection with his rival out of the way.","Maintenant que son rival est hors d'état de nuire, Juatalotli dispose de beaucoup plus d'espace pour ranger sa drôle de collection.","Er hat nun viel mehr Platz, um seinen seltsamen Tand zu lagern, nachdem sein Rivale aus dem Weg geräumt ist.","彼のライバルがいなくなったことで、ファタロトリは彼の奇妙なコレクションを保管する場所をさらに手に入れたわ。","주앗탈로틀리는 자기 경쟁자가 끝장나면서 훨씬 더 많은 수집 공간을 확보한 모양이야.","Juatalotli possui muito mais espaço para guardar sua estranha coleção com seu rival fora do caminho.","Когда соперник убрался с пути, у Ваталотли стало куда больше места для хранения странной коллекции.","Juatalotli tiene mucho más espacio para almacenar su extraña colección sin su rival.","ฮัวตาล็อตลี​ได้​ห้อง​เพิ่ม​ไว้​เก็บ​ของ​สะสม​ประหลาด​แล้ว พอ​เขี่ย​คู่แข่ง​ได้​แบบ​นี้","瓦爾羅特在他的勁敵離開後有更多的空間來存放他奇怪的收藏。",1,""
30,"Incursion_ChestsRoom3",27,"Audio/Dialogue/NPC/Alva/AV53.ogg","With another rival dead, the Architect of the Hoard's going to fill that room with all sorts of valuables. Good thinking.","Avec un autre de ses rivaux d'éliminé, l'Architecte des Réserves pourra remplir cette salle de tout un tas d'objets précieux. Bien vu.","Mit einem weiteren toten Rivalen wird der Architekt des Hortes diesen Raum mit allen möglichen Kostbarkeiten füllen. Eine clevere Idee.","さらなる別のライバルの死により、宝庫のアーキテクトはその部屋をありとあらゆる貴重品で埋め尽くすわ。いいアイデアね。","다른 경쟁자가 죽었으니, 비축의 건축가는 그 방을 온갖 귀중품들로 채우려 들겠지. 머리 좋은데.","Com outro rival morto, o Arquiteto do Tesouro vai encher aquele salão com todos os tipos de itens valiosos. Bem pensado.","Со смертью соперника Архитектор складов доверху наполнит зал всевозможными ценностями. Мудрый ход.","Con la muerte de otro rival, el Arquitecto de las Reservas va a llenar esa habitación con toda clase de objetos de valor. Bien pensado.","คู่แข่ง​ตาย​ไป​อีก​หนึ่ง สถาปนิก​แห่ง​คลังสมบัติ​จะ​ได้​เก็บ​ของ​มี​ค่า​ไว้​ใน​ห้อง​นั้น​จน​เต็ม​แน่ คิด​ดี​มาก","又一個勁敵死了，囤物建師要將房間堆滿值錢的東西了。獨立思考！",1,""
