"rownum","EPKFile1","i32","string","i32","i32","i32","i32","i32","i32","i32","bool","bool"
84,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_L.epk",120,0,120,3761152,0,12058624,0,"",""
85,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk Fixed Length",0,"Metadata/Effects/Spells/weapon_hit_fx/elemental_powerups/ice_unarmed_R.epk",120,0,120,3761152,0,12058624,0,"",""
86,"Holy Claw Unarmed L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_L.epk",65,11,65,47104,0,12058624,0,"",""
87,"Holy Claw Unarmed R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_clawunarmed_R.epk",65,11,65,47104,0,12058624,0,"",""
88,"Holy One Hand L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_L.epk",120,11,120,47104,0,12058624,0,"",""
89,"Holy One Hand R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_onehanded_R.epk",120,11,120,47104,0,12058624,0,"",""
90,"Holy Staff L",0,"Metadata/Effects/Spells/smite/weaponfx/smite_staffoff.epk",150,13,150,47104,0,12058624,0,"",""
91,"Holy Staff R",0,"Metadata/Effects/Spells/smite/weaponfx/smite_staffmain.epk",150,13,150,47104,0,12058624,0,"",""
92,"Holy Two Hand",0,"Metadata/Effects/Spells/smite/weaponfx/smite_twohanded_R.epk",150,13,150,47104,0,12058624,0,"",""
93,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_L.epk",0,"",0,0,0,4520448,0,12058624,0,"",""
94,"Metadata/Effects/Spells/cobra_lash/cobralash_claw_R.epk",0,"",0,0,0,4520448,0,12058624,0,"",""
95,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_L.epk",0,"",0,0,0,4606464,0,12058624,0,"",""
96,"Metadata/Effects/Spells/cobra_lash/cobralash_onehanded_R.epk",0,"",0,0,0,4606464,0,12058624,0,"",""
97,"dualstrike_claw",0,"",80,9,80,4675584,0,12058624,0,"",""
98,"dualstrike_onehanded",0,"",80,9,80,4722688,0,12058624,0,"",""
99,"leapslam_claw_carneval",0,"",0,0,0,4769792,0,12058624,0,"",""
100,"leapslam_onehanded_carneval",0,"",0,0,0,4769792,0,12058624,0,"",""
101,"leapslam_twohanded_carneval",0,"",0,0,0,4769792,0,12058624,0,"",""
102,"leapslam_staff_carneval",0,"",0,0,0,4769792,0,12058624,0,"",""
103,"viper_strike_claw",0,"",80,9,80,4865536,0,12058624,0,"",""
104,"viper_strike_one_handed",0,"",80,9,80,4915200,0,12058624,0,"",""
105,"viper_strike_two_handed",0,"",120,11,120,4963840,0,12058624,0,"",""
106,"mamba_strike_claw",0,"",80,9,80,5009408,0,12058624,0,"",""
107,"mamba_strike_one_handed",0,"",80,9,80,5048832,0,12058624,0,"",""
108,"trail_test_1",0,"",80,11,80,5081600,0,12058624,0,"",""
109,"trail_test_2",0,"",150,11,150,5120000,0,12058624,0,"",""
110,"trail_test_3",0,"",150,13,150,5157376,0,12058624,0,"",""
111,"trail_test_4",0,"",150,13,150,5194752,0,12058624,0,"",""
112,"trail_test_5",0,"",150,13,150,5234176,0,12058624,0,"",""
113,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_l.epk",0,"",120,9,120,5320192,0,12058624,0,"",""
114,"Metadata/Effects/Spells/monsters_effects/AtlasExiles/CrusaderMonsters/actfiles/weapontrail_r.epk",0,"",120,9,120,5320192,0,12058624,0,"",""
115,"IceCrashAutomatonOneHandL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_L.epk",0,0,0,47104,0,12058624,0,"",""
116,"IceCrashAutomatonOneHandR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_one_hand_R.epk",0,0,0,47104,0,12058624,0,"",""
117,"IceCrashAutomatonStaffMain",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_main.epk",0,0,0,47104,0,12058624,0,"",""
118,"IceCrashAutomatonStaffOff",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_staff_off.epk",0,0,0,47104,0,12058624,0,"",""
119,"IceCrashAutomatonTwoHandL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_L.epk",0,0,0,47104,0,12058624,0,"",""
120,"IceCrashAutomatonTwoHandR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_two_hand_R.epk",0,0,0,47104,0,12058624,0,"",""
121,"IceCrashAutomatonUnarmedL",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_L.epk",0,0,0,47104,0,12058624,0,"",""
122,"IceCrashAutomatonUnarmedR",0,"Metadata/Effects/Microtransactions/Spells/automaton_icecrash/weaponsurge/ice_unarmed_R.epk",0,0,0,47104,0,12058624,0,"",""
123,"HeistMilitary1hSword",0,"",74,10,74,5918208,0,12058624,0,"",""
124,"HeistMilitary2hAxe",0,"",127,18,127,5977600,0,12058624,0,"",""
125,"HeistSkeleton",0,"",80,11,80,6031872,0,12058624,0,"",""
126,"HeistHuck",0,"",210,15,150,1240064,0,12058624,0,"",""
127,"HeistTibbs",0,"",135,15,135,6084608,0,12058624,0,"",""
128,"HeistVinderi",0,"",135,11,135,6131200,0,12058624,0,"",""
129,"CelestialDominatingBlowUnarmed",0,"",65,9,65,6188032,0,12058624,0,"",""
130,"CelestialDominatingBlowOneHand",0,"",120,11,120,6253056,0,12058624,0,"",""
131,"CelestialDominatingBlowStaffMain",0,"",150,13,150,6317056,0,12058624,0,"",""
132,"CelestialDominatingBlowStaffOff",0,"",150,13,150,6383616,0,12058624,0,"",""
133,"CelestialDominatingBlowTwoHand",0,"",150,13,150,6449152,0,12058624,0,"",""
134,"StygianConsecratedPathStaff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,47104,0,12058624,0,"",""
135,"StygianConsecratedPathStaffOff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,47104,0,12058624,0,"",""
136,"StygianConsecratedPathOneHandL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,47104,0,12058624,0,"",""
137,"StygianConsecratedPathOneHandR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,47104,0,12058624,0,"",""
138,"StygianConsecratedPathClawL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,47104,0,12058624,0,"",""
139,"StygianConsecratedPathClawR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,47104,0,12058624,0,"",""
140,"StygianConsecratedPathTwoHand",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,47104,0,12058624,0,"",""
141,"ArcaneFrenzyClawL",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_L.epk",65,11,65,47104,0,12058624,0,"",""
142,"ArcaneFrenzyClawR",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_clawunarmed_R.epk",65,11,65,47104,0,12058624,0,"",""
143,"ArcaneFrenzyOneHandL",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_L.epk",120,11,120,47104,0,12058624,0,"",""
144,"ArcaneFrenzyOneHandR",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_onehanded_R.epk",120,11,120,47104,0,12058624,0,"",""
145,"ArcaneFrenzyStaff",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffmain.epk",150,13,150,47104,0,12058624,0,"",""
146,"ArcaneFrenzyStaffOff",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_staffoff.epk",150,13,150,47104,0,12058624,0,"",""
147,"ArcaneFrenzyTwoHand",0,"Metadata/Effects/Microtransactions/Spells/frenzy_02/Arcane/melee/frenzy_twohanded_R.epk",150,13,150,47104,0,12058624,0,"",""
148,"StygianInfernalBlowStaff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffmain.epk",65,11,65,47104,0,12058624,0,"",""
149,"StygianInfernalBlowStaffOff",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_staffoff.epk",65,11,65,47104,0,12058624,0,"",""
150,"StygianInfernalBlowOneHandL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_L.epk",120,11,120,47104,0,12058624,0,"",""
151,"StygianInfernalBlowOneHandR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_onehanded_R.epk",120,11,120,47104,0,12058624,0,"",""
152,"StygianInfernalBlowClawL",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_L.epk",150,13,150,47104,0,12058624,0,"",""
153,"StygianInfernalBlowClawR",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_clawunarmed_R.epk",150,13,150,47104,0,12058624,0,"",""
154,"StygianInfernalBlowTwoHand",0,"Metadata/Effects/Spells/smite_stygian/weaponfx/smite_twohanded_R.epk",150,13,150,47104,0,12058624,0,"",""
155,"dualstrike_claw_nightfall",0,"",80,9,80,7360512,0,12058624,0,"",""
156,"dualstrike_onehanded_nightfall",0,"",80,9,80,7419904,0,12058624,0,"",""
157,"TraumaStrike1Hand",0,"",110,11,110,7471616,0,12058624,0,"",""
158,"TraumaStrike2Hand",0,"",135,13,135,7518208,0,12058624,0,"",""
159,"TraumaStrike2HandOff",0,"",135,13,135,7566336,0,12058624,0,"",""
160,"TraumaStrikeClaw",0,"",60,11,60,7471616,0,12058624,0,"",""
161,"AncestralProtector1Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h.epk",110,11,110,47104,0,12058624,0,"",""
162,"AncestralProtector2Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,47104,0,12058624,0,"",""
163,"AncestralProtector2HandOff",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,47104,0,12058624,0,"",""
164,"AncestralProtectorClaw",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h_left.epk",90,11,90,47104,0,12058624,0,"",""
165,"IllusionistCobraLashClawL",0,"",0,0,0,7785984,0,12058624,0,"",""
166,"IllusionistCobraLashClawR",0,"",0,0,0,7785984,0,12058624,0,"",""
167,"IllusionistCobraLashClawOneHandedL",0,"",0,0,0,7858688,0,12058624,0,"",""
168,"IllusionistCobraLashClawOneHandedR",0,"",0,0,0,7858688,0,12058624,0,"",""
169,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,47104,0,12058624,0,"",""
170,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,47104,0,12058624,0,"",""
171,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,47104,0,12058624,0,"",""
172,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,47104,0,12058624,0,"",""
173,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,0,0,47104,0,12058624,0,"",""
