"rownum","Id","HASH16","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Image","rid","i32","Mods","FlavorText (English)","FlavorText (French)","FlavorText (German)","FlavorText (Japanese)","FlavorText (Korean)","FlavorText (Portuguese)","FlavorText (Russian)","FlavorText (Spanish)","FlavorText (Thai)","FlavorText (Traditional Chinese)","i32","[rid]","rid","rid"
13,"ValakoProximityShield",37208,"Whaletooth Bangle","Bracelet en dent de baleine","Armreif aus Walzahn","鯨の歯のバングル","고래이빨 팔찌","Pulseira de Dente de Baleia","Браслет из китового зуба","Brazalete de diente de ballena","กำไลฟันวาฬ","鯨牙手鐲","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/WhaletoothTotem",4,400,"[34783,34779]","An arrow in a storm may lose its course, but it will bring death where it eventually falls.","En pleine tempête, une flèche peut dévier de sa trajectoire, mais elle sèmera la mort là où elle finira par se planter.","Ein Pfeil mag im Sturm von seiner Flugbahn abkommen, aber wo auch immer er landet, wird er den Tod bringen.","嵐の中の矢はその進行方向を見失うが、最終的には落ちた場所に死をもたらす。","폭풍 속을 날아가는 화살은 궤적이 틀어질지언정, 떨어져 꽂히는 곳에 죽음을 불러온다.","Os presentes de Valako são imprevisíveis, mas muito bem vindos.","В бурю стрела может сбиться с пути, но принесёт смерть туда, где в конце концов упадёт.","Una flecha puede perderse en la tormenta, pero llevará la muerte allá donde caiga.","ศร​ใน​วายุ​อาจ​เสีย​วิถี แต่​มัน​จะ​นำ​ความ​ตาย​มาสู่หน​แห่ง​ที่​มัน​ร่วง​หล่น","風暴中的箭矢可能會失去方向，但最終會帶來死亡。",500,[],519,532
14,"ValakoLightningThorns",39418,"Carved Horns","Cornes gravées","Geschnitzte Hörner","彫刻された角","조각된 뿔","Chifres Talhados","Резные рога","Cuernos tallados","เขาแกะสลัก","雕刻之角","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HornEarrings",4,200,[34822],"Passed down through the generations, they protect those who seek Valako's grace.","Transmises à travers les générations, elles protègent ceux qui recherchent la grâce de Valako.","Von Generation zu Generation weitergegeben beschützen sie die, die Valakos Gnade erbitten.","世代を超えて受け継がれ、ヴァラコの恩寵を求める人々を守護する。","여러 세대에 걸쳐 물려져 내려온 이 뿔은 발라코의 은총을 구하는 이들을 지켜준다.","Uma flecha na tempestade pode sair de curso, mas eventualmente trará morte onde cair.","Из поколения в поколение они оберегают тех, кто ищет благосклонности Валако.","Transmitidos de generación en generación, protegen a aquellos que buscan la gracia de Valako.","วัตถุ​นี้​ตกทอด​กัน​มา​รุ่น​สู่รุ่น คอย​คุ้มครองผู้​แสวงหา​พระคุณของ​วาลาโค","代代相傳，他們保護著尋求瓦拉庫的恩典的人。",1000,[],519,532
15,"ValakoBlock",34042,"Tidal Charm","Charme de la marée","Amulett der Gezeiten","嵐のお守り","해일 부적","Amuleto da Maré","Талисман прилива","Amuleto de la marea","ของขลังคลื่นทะเล","潮汐護符","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/ShieldCharm",4,400,[34823],"Only a fool fights the tide.","Seul un idiot tente de combattre la marée.","Nur ein Narr kämpft gegen die Flut.","愚者のみが大波と戦う。","오직 어리석은 자만이 해일에 맞서는 법.","Passado de geração em geração, eles protegem aqueles que buscam a graça de Valako.","Только глупец сражается с волнами.","Solo un estúpido lucharía contra la marea.","มี​เพียง​คน​เขลา​ที่​ต่อกร​กับ​กระแส​น้ำ","只有蠢蛋才會與潮水對抗。",500,[],519,532
16,"HinekoraFasterRespawn",24845,"Birthing Spoon","Cuillère de fécondité","Löffel der Geburt","出産のスプーン","탄생의 숟가락","Leito do Nascimento","Ложка к рождению","Cuchara de nacimiento","ช้อนแรกเกิด","誕生之匙","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BirthingSpoonTrinket",5,300,[34796],"With each new life, the entire tribe is invigorated.","Chaque nouvelle naissance revigore la tribu entière.","Mit jedem neuen Leben wird der gesamte Stamm gestärkt.","新しい命ごとに、部族全体が活気付く。","새로운 생명이 태어날 때마다 온 부족에 활기가 넘친다.","Só mesmo um tolo luta contra a maré.","С каждой новой жизнью укрепляется всё племя.","Con cada nueva vida, toda la tribu se fortalece.","แต่ละ​ชีวิต​ที่​เกิด​ใหม่​ทำให้​ทั้ง​เผ่า​นั้น​มี​ชีวิต​ชีวา","隨著每一個新的生命，整個部落都會重新振奮起來。",1000,[],519,532
17,"HinekoraCooldownRecovery",27865,"Cyclic Bauble","Babiole cyclique","Tand der Zeit","循環の石","순환하는 방울","Tralha Cíclica","Круглая безделушка","Adorno cíclico","เครื่องประดับวัฏจักร","輪迴之寶","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SunMoonAmulet",5,150,[34797],"The end of Time is also its beginning.","La fin des temps est aussi leur commencement.","Das Ende der Zeit ist auch ihr Beginn.","時の終わりはその始まりでもある。","시간의 끝은 시간의 시작이기도 하다.","Com cada vida nova, toda a tribo é revigorada.","Конец времён – также и начало.","El final del tiempo también es el comienzo.","จุดจบ​ของ​กาลเวลา​ก็​เป็น​จุด​เริ่มต้น​ของ​มัน​เช่น​กัน","時間的終點也是它的開始。",500,[],519,532
18,"HinekoraChannellingDoesntPreventRespawnTimer",35092,"Death Chimes","Carillon mortuaire","Glocken des Todes","死のチャイム","죽음의 종","Sinetes da Morte","Музыка смерти","Carillón mortal","ระฆังมรณะ","死亡之響","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneChime",5,300,[34798],"Hinekora is not the master of Death, but she is its Mother.","Hinekora n'est pas la maîtresse de la mort, mais sa mère.","Hinekora ist nicht die Beherrscherin des Todes, aber sie ist seine Mutter.","ヒネコラは死の支配者ではないが、彼女は死の母である。","히네코라는 죽음의 주인이 아니라, 죽음의 어머니다.","O fim dos Tempos também é seu início.","Хинекора не хозяйка смерти, но её мать.","Hinekora no es la maestra de la muerte, es su madre.","ฮิเนโครา​หา​ได้​เป็น​นาย​ของ​ความ​ตาย​ไม่ แต่​เธอ​เป็น​มารดา​ของ​มัน","悉妮蔻拉不是死亡的主宰，但她是它的母親。",800,[],519,532
19,"HinekoraHinder",22180,"Fate's Grasp","Poigne du destin","Griff des Schicksals","死の握り","운명의 손아귀","Punho do Destino","Хватка судьбы","Mano del destino","เงื้อมมือชะตากรรม","命運之握","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/HinderHand",5,300,[34824],"There is no use trying to escape destiny.","Il est inutile d'essayer de fuir sa destinée.","Der Versuch, dem Schicksal zu entkommen, ist zum Scheitern verurteilt.","運命から逃れようとしても無駄だ。","운명으로부터 달아나려 해봤자 헛수고다.","Hinekora não é mestre da morte, mas sim sua Mãe.","Бессмысленно пытаться убежать от судьбы.","Es inútil tratar de escapar al destino.","หลีก​หนี​ชะตากรรม​ไป​ก็​เปล่า​ประโยชน์","試圖逃避命運是沒有用的。",500,[],519,532
20,"TawhoaLifeRegeneration",22944,"Amber Burgeon","Bourgeon en ambre","Bernsteinknospe","琥珀の新芽","호박색 급성장","Broto de Âmbar","Янтарная почка","Brote de ámbar","หน่ออำพัน","琥珀花蕾","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/EmberChoker",6,300,[34799],"Though you might not see it, the forest is always growing.","La forêt pousse sans cesse, même si vous ne le voyez pas.","Auch wenn Ihr es vielleicht nicht sehen könnt – der Wald wächst unaufhörlich.","見えないかもしれないが、森は常に成長している。","눈에는 안 보일지 몰라도, 숲은 항상 성장하고 있다.","Não faz sentido tentar escapar do destino.","Хоть этого и не видно, лес всегда растёт.","Aunque no lo veas, el bosque siempre está creciendo.","แม้น​เจ้า​มิ​อาจ​เห็น แต่​ป่า​นั้น​เติบโต​ตลอด​เวลา","雖然你可能看不到，但森林總是在成長。",1000,[],518,531
21,"TawhoaTotemLifeRegeneration",64194,"Spiritual Growth","Croissance spirituelle","Spirituelles Wachstum","霊的な成長","영적 성장","Crescimento Espiritual","Духовный рост","Crecimiento espiritual","วิญญาณเติบใหญ่","靈魂滋長","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/DriedLizardAmulet",6,150,"[34800,34801,34802]","That which is wounded may become whole again in time.","Avec le temps, ce qui est blessé peut redevenir entier.","Die Zeit heilt alle Wunden – vielleicht.","傷ついたものは、やがて元通りになるだろう。","상처받은 것이 다시 온전해지리라.","Apesar de você não enxergar, a floresta está sempre crescendo.","Что было ранено, то может со временем вновь срастись.","Aquello que está herido podría volver a estar completo con el tiempo.","กาลเวลา​ย่อม​ทำให้​สิ่ง​ที่​บาดเจ็บ​กลับ​มา​สมบูรณ์​ได้","受傷的事物可以在時間中完全恢復。",1500,[],518,531
22,"TawhoaMaximumLifeOnRespawn",59942,"Bone Juju","Juju d'os","Knochen-Juju","骨の魔除け","뼈 액막이","Juju de Osso","Костяной джу-джу","Yuyu de hueso","เครื่องรางกระดูก","骨之神符","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BoneTiki",6,500,[34825],"Life springs from death in a grand cycle.","De la mort surgit la vie, perpétrant un cycle grandiose.","Das Leben entspringt dem Tod in einem großen Kreislauf.","大いなる循環の中で命は死から湧き出す。","죽음으로부터 생명이 샘솟으며 위대한 순환을 이룬다.","Tudo que se fere pode se curar com o tempo.","Жизнь рождается из смерти в великом цикле.","La vida surge de la muerte en un gran ciclo.","ชีวิต​กำเนิด​จาก​ความ​ตาย​ใน​วัฐจักร​อัน​ยิ่งใหญ่","生命從死亡中嶄新復甦在一個偉大的輪迴中。",400,[],518,531
23,"TawhoaNearbyPlayerFlaskCharges",27413,"Dream Catcher","Attrape-rêve","Traumfänger","ドリームキャッチャー","꿈잡이","Coletor de Sonhos","Ловец снов","Atrapasueños","ตาข่ายดักฝัน","夢網捕手","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/SoulCatcher",6,300,[34826],"Tawhoa gifted humanity the ability to dream, so that they may aspire to greater things.","Tawhoa a offert à l'humanité la capacité de rêver afin de lui permettre d'aspirer à de plus grandes choses.","Tawhoa hat der Menschheit die Fähigkeit zu Träumen geschenkt, damit sie nach größeren Dingen trachten können.","人類が大志を抱けるよう、タウホアは夢見ることを授けた。","타호아가 인간에게 꿈꾸는 능력을 내렸으니, 이는 인간이 더 큰 것을 열망하게 하기 위함이라.","A Vida emerge da morte em um ciclo sem fim.","Тахоа даровал человеку способность видеть сны, чтобы он мог стремиться к большему.","Tawhoa le concedió a la humanidad la capacidad de soñar, para que pudieran aspirar a algo más grande.","ทาฟ์​วัว​ประทาน​ความ​สามารถ​ใน​การ​ใฝ​ฝัน​ให้​แก่​มนุษยชาติ เพื่อ​ให้​พวก​เขา​ทะเยอทะยาน​ใฝ่​หา​สิ่ง​ที่​ดี​กว่า","塔赫亞賦予人類夢想的能力，讓他們可以追求更偉大的事物。",1000,[],518,531
24,"KitavaLifeOnKill",58054,"Victory Feast","Festin de la victoire","Festmahl des Sieges","勝利の饗宴","승리의 연회","Banquete da Vitória","Победный пир","Festín de la victoria","สวาปามฉลองชัย","勝利之宴","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/KitavaCharm",7,250,[34803],"\""The Oriathans have generously provided us with a banquet!\""","« Les Oriathéens nous ont généreusement offert un banquet ! »","\""Die Oriather haben uns großzügig ein Bankett spendiert!\""","「オリアス人が寛大にも我々に祝宴を用意した！」","\""오리아스인들이 인심 좋게 우리를 위한 연회를 열어주었다네!\""","Tawhoa presenteou a humanidade com a habilidade de sonhar, para que eles possam almejar grandes coisas.","«Ориатцы щедро пригласили нас на пиршество!»","\""¡Los generosos oriathanos nos han preparado un festín!\""","\""ชาว​โอริอาท​พวก​นี้​จัด​งานเลี้ยง​ให้​เรา​อย่าง​ใจ​กว้าง​นัก!\""","\""奧瑞亞人慷慨地為我們提供了一個盛宴！\""",1000,[],516,529
25,"KitavaDamageTakenRecoveredByTotem",49213,"Utula's Promise","Promesse d'Utula","Utulas Versprechen","ウトゥーラの誓い","우툴라의 약속","Promessa de Utula","Обещание Утулы","Promesa de Utula","คำมั่นของอูทูล่า","烏圖拉的承諾","Art/2DArt/UIImages/InGame/AncestralTrial/GearImages/BarbedArmband",7,400,[34804],"\""If you waver, drink of my blood, and fight on!\""","« Si vous chancelez, buvez de mon sang et poursuivez le combat ! »","\""Wenn Ihr wankt, trinkt von meinem Blut und kämpft weiter!\""\r\n","「迷いし時は我が血を飲み、戦え！」","\""흔들릴 때는 내 피를 마시고 계속 싸울지어다!\""","\""Os Oriatianos nos ofereceram um banquete generoso!\""","«Если дрогнешь, испей моей крови и бейся дальше!»","\""Si flaqueas, ¡bebe de mi sangre y sigue luchando!\""","\""หาก​เจ้า​หวั่นไหว​เมื่อไร จง​ดื่ม​เลือด​ข้า แล้ว​สู้​ต่อ​ไป!\""","\""如果你動搖，喝下我的血，繼續戰鬥！\""",500,[],516,529
