"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement"
32,"Metadata/Items/Currency/CurrencyImprint",30,1,1,"Imprint","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,37,-1778209926,[],"","","",[],[],"","","","","","","",[]
33,"Metadata/Items/Currency/CurrencyCorrupt",30,1,1,"Vaal Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],34,1,38,118945160,[],"","","",[],[],"","","","","","","",[]
34,"Metadata/Items/Currency/CurrencyLabyrinthEnchant",30,1,1,"Enchant","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,40,1105850261,[],"","","",[],[],"","","","","","","",[]
35,"Metadata/Items/Currency/CurrencyLabyrinthEnchantCorrupt",30,1,1,"Tainted Blessing","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],34,1,41,-414791514,[],"","","",[],[],"","","","","","","",[]
36,"Metadata/Items/Currency/CurrencyIncursionCorrupt1",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,42,-373756366,[],"","","",[],[],"","","","","","","",[]
37,"Metadata/Items/Currency/CurrencyIncursionCorrupt2",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,43,770737543,[],"","","",[],[],"","","","","","","",[]
38,"Metadata/Items/Currency/CurrencyIncursionCorruptGem",30,1,1,"Corrupt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,44,-350425493,[],"","","",[],[],"","","","","","","",[]
39,"Metadata/Items/Currency/CurrencyPerandusCoin",30,1,1,"Perandus Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],34,0,45,869188640,[],"","","",[],[],"","","","",1,"","",[]
40,"Metadata/Items/Currency/CurrencySilverCoin",30,1,1,"Silver Coin","Metadata/Items/Currency/StackableCurrency",1,"",[],1,"",[],34,0,46,-1627937231,[],"","","",[],[],"","","","","","","",[]
41,"Metadata/Items/Currency/CurrencyItemisedProphecy",30,1,1,"Prophecy","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,0,80,1684876054,[],"","","",[],[],"","","","","","","",[]
42,"Metadata/Items/Currency/CurrencyItemiseCapturedMonster",30,1,1,"Bestiary Orb","Metadata/Items/Currency/StackableCurrency",15,"",[],1,34,[],34,1,81,-642231840,[],"","","",[],[],"","","","","","","",[]
43,"Metadata/Items/Currency/CurrencyItemisedCapturedMonster",30,1,1,"Imprinted Bestiary Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,82,1322399661,[],"","","",[],[],"","","","","","","",[]
44,"Metadata/Items/Currency/CurrencyItemiseSextantModifier",30,1,1,"Surveyor's Compass","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],34,1,83,-35579070,[],"","","",[],[],"","","","","","","",[]
45,"Metadata/Items/Currency/CurrencyItemisedSextantModifier",30,1,1,"Charged Compass","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,84,1338342621,[],"","","",[],[],"","","","","","","",[]
46,"Metadata/Items/Currency/CurrencyRerollSkillQualityType",30,1,1,"Prime Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,85,952467265,[],"","","",[],[],"","","","","","","",[]
47,"Metadata/Items/Currency/CurrencyRerollSupportQualityType",30,1,1,"Secondary Regrading Lens","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,86,-758415450,[],"","","",[],[],"","","","","","","",[]
48,"Metadata/Items/Currency/CurrencyHeistWeaponEnchant",30,1,1,"Tempering Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,87,1432765449,[],"","","",[],[],"","","","","","","",[]
49,"Metadata/Items/Currency/CurrencyHeistArmourEnchant",30,1,1,"Tailoring Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],34,1,88,1575994632,[],"","","",[],[],"","","","","","","",[]
50,"Metadata/Items/Currency/CurrencyAfflictionOrbCurrency",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,89,-1948343582,[],"","","",[],[],"","","","","",54,"",[]
51,"Metadata/Items/Currency/CurrencyAfflictionOrbUniques",30,1,1,"Singular Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,90,-1964846163,[],"","","",[],[],"","","","","",54,"",[]
52,"Metadata/Items/Currency/CurrencyAfflictionOrbGems",30,1,1,"Thaumaturge's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,91,-1933705530,[],"","","",[],[],"","","","","",54,"",[]
53,"Metadata/Items/Currency/CurrencyAfflictionOrbWeapons",30,1,1,"Blacksmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,92,-109051957,[],"","","",[],[],"","","","","",54,"",[]
54,"Metadata/Items/Currency/CurrencyAfflictionOrbArmour",30,1,1,"Armoursmith's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,93,-1263630474,[],"","","",[],[],"","","","","",54,"",[]
55,"Metadata/Items/Currency/CurrencyAfflictionOrbMaps",30,1,1,"Cartographer's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,94,1368969315,[],"","","",[],[],"","","","","",54,"",[]
56,"Metadata/Items/Currency/CurrencyAfflictionOrbTrinkets",30,1,1,"Jeweller's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,95,-913101815,[],"","","",[],[],"","","","","",54,"",[]
57,"Metadata/Items/Currency/CurrencyAfflictionOrbAbyss",30,1,1,"Abyssal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,96,-1371001890,[],"","","",[],[],"","","","","",54,"",[]
58,"Metadata/Items/Currency/CurrencyAfflictionOrbPerandus",30,1,1,"Kalguuran Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,97,358205216,[],"","","",[],[],"","","","","",54,"",[]
59,"Metadata/Items/Currency/CurrencyAfflictionOrbHarbinger",30,1,1,"Foreboding Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,98,2026013751,[],"","","",[],[],"","","","","",54,"",[]
60,"Metadata/Items/Currency/CurrencyAfflictionOrbBreach",30,1,1,"Obscured Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,99,1664903587,[],"","","",[],[],"","","","","",54,"",[]
61,"Metadata/Items/Currency/CurrencyAfflictionOrbEssences",30,1,1,"Whispering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,100,-306946215,[],"","","",[],[],"","","","","",54,"",[]
62,"Metadata/Items/Currency/CurrencyAfflictionOrbFragments",30,1,1,"Fragmented Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,101,-768400989,[],"","","",[],[],"","","","","",54,"",[]
63,"Metadata/Items/Currency/CurrencyAfflictionOrbScarabs",30,1,1,"Skittering Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,102,243322328,[],"","","",[],[],"","","","","",54,"",[]
64,"Metadata/Items/Currency/CurrencyAfflictionOrbFossils",30,1,1,"Fossilised Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,103,2076808891,[],"","","",[],[],"","","","","",54,"",[]
65,"Metadata/Items/Currency/CurrencyAfflictionOrbProphecies",30,1,1,"Fine Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,0,104,1150272452,[],"","","",[],[],50,"","","","",54,"",[]
66,"Metadata/Items/Currency/CurrencyAfflictionOrbDivinationCards",30,1,1,"Diviner's Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,105,1404182465,[],"","","",[],[],"","","","","",54,"",[]
67,"Metadata/Items/Currency/CurrencyAfflictionOrbGeneric",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,0,106,-117882756,[],"","","",[],[],"","","","","",54,"",[]
68,"Metadata/Items/Currency/CurrencyAfflictionOrbTalismans",30,1,1,"Primal Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,107,-1736338822,[],"","","",[],[],"","","","","",54,"",[]
69,"Metadata/Items/Currency/CurrencyAfflictionOrbLabyrinth",30,1,1,"Imperial Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,108,-404905148,[],"","","",[],[],"","","","","",54,"",[]
70,"Metadata/Items/Currency/CurrencyAfflictionOrbIncubators",30,1,1,"Timeless Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,109,1738859609,[],"","","",[],[],"","","","","",54,"",[]
71,"Metadata/Items/Currency/CurrencyAfflictionOrbBlight",30,1,1,"Blighted Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,110,-1728487329,[],"","","",[],[],"","","","","",54,"",[]
72,"Metadata/Items/Currency/CurrencyAfflictionOrbMetamorphosis",30,1,1,"Amorphous Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,1,111,2005344760,[],"","","",[],[],"","","","","",54,"",[]
73,"Metadata/Items/Currency/CurrencyAfflictionOrbHardMode",30,1,1,"Delirium Orb","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[666],34,0,106,1167031744,[],"","","",[],[],"","","","","",54,"",[]
74,"Metadata/Items/Currency/CurrencyEssenceHatred1",30,1,1,"Whispering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],34,1,11697,-1010710615,[],"","","",[],[],"","","","","",41,"",[]
75,"Metadata/Items/Currency/CurrencyEssenceHatred2",30,1,1,"Muttering Essence of Hatred","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11698,1794042691,[],"","","",[],[],"","","","","",41,"",[]
76,"Metadata/Items/Currency/CurrencyEssenceHatred3",30,1,1,"Weeping Essence of Hatred","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11699,-1926556014,[],"","","",[],[],"","","","","",41,"",[]
77,"Metadata/Items/Currency/CurrencyEssenceHatred4",30,1,1,"Wailing Essence of Hatred","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11700,1130285480,[],"","","",[],[],"","","","","",41,"",[]
78,"Metadata/Items/Currency/CurrencyEssenceHatred5",30,1,1,"Screaming Essence of Hatred","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11701,2062300730,[],"","","",[],[],"","","","","",41,"",[]
79,"Metadata/Items/Currency/CurrencyEssenceHatred6",30,1,1,"Shrieking Essence of Hatred","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11702,-2071586625,[],"","","",[],[],"","","","","",41,"",[]
80,"Metadata/Items/Currency/CurrencyEssenceHatred7",30,1,1,"Deafening Essence of Hatred","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11703,1769493148,[],"","","",[],[],"","","","","",41,"",[]
81,"Metadata/Items/Currency/CurrencyEssenceWoe1",30,1,1,"Whispering Essence of Woe","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],34,1,11704,-777397213,[],"","","",[],[],"","","","","",41,"",[]
82,"Metadata/Items/Currency/CurrencyEssenceWoe2",30,1,1,"Muttering Essence of Woe","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11705,1672586153,[],"","","",[],[],"","","","","",41,"",[]
83,"Metadata/Items/Currency/CurrencyEssenceWoe3",30,1,1,"Weeping Essence of Woe","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11706,1828846209,[],"","","",[],[],"","","","","",41,"",[]
84,"Metadata/Items/Currency/CurrencyEssenceWoe4",30,1,1,"Wailing Essence of Woe","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11707,-1245983058,[],"","","",[],[],"","","","","",41,"",[]
85,"Metadata/Items/Currency/CurrencyEssenceWoe5",30,1,1,"Screaming Essence of Woe","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11708,-182539987,[],"","","",[],[],"","","","","",41,"",[]
86,"Metadata/Items/Currency/CurrencyEssenceWoe6",30,1,1,"Shrieking Essence of Woe","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11709,910335598,[],"","","",[],[],"","","","","",41,"",[]
87,"Metadata/Items/Currency/CurrencyEssenceWoe7",30,1,1,"Deafening Essence of Woe","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11710,1591416724,[],"","","",[],[],"","","","","",41,"",[]
88,"Metadata/Items/Currency/CurrencyEssenceGreed1",30,1,1,"Whispering Essence of Greed","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],34,1,11711,1724552963,[],"","","",[],[],"","","","","",41,"",[]
89,"Metadata/Items/Currency/CurrencyEssenceGreed2",30,1,1,"Muttering Essence of Greed","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11712,-1337235593,[],"","","",[],[],"","","","","",41,"",[]
90,"Metadata/Items/Currency/CurrencyEssenceGreed3",30,1,1,"Weeping Essence of Greed","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11713,1334812465,[],"","","",[],[],"","","","","",41,"",[]
91,"Metadata/Items/Currency/CurrencyEssenceGreed4",30,1,1,"Wailing Essence of Greed","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11714,-669856137,[],"","","",[],[],"","","","","",41,"",[]
92,"Metadata/Items/Currency/CurrencyEssenceGreed5",30,1,1,"Screaming Essence of Greed","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11715,181619222,[],"","","",[],[],"","","","","",41,"",[]
93,"Metadata/Items/Currency/CurrencyEssenceGreed6",30,1,1,"Shrieking Essence of Greed","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11716,2059925248,[],"","","",[],[],"","","","","",41,"",[]
94,"Metadata/Items/Currency/CurrencyEssenceGreed7",30,1,1,"Deafening Essence of Greed","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11717,-1356244188,[],"","","",[],[],"","","","","",41,"",[]
95,"Metadata/Items/Currency/CurrencyEssenceContempt1",30,1,1,"Whispering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[302],34,1,11718,1018082169,[],"","","",[],[],"","","","","",41,"",[]
96,"Metadata/Items/Currency/CurrencyEssenceContempt2",30,1,1,"Muttering Essence of Contempt","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11719,829889309,[],"","","",[],[],"","","","","",41,"",[]
97,"Metadata/Items/Currency/CurrencyEssenceContempt3",30,1,1,"Weeping Essence of Contempt","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11720,2051179612,[],"","","",[],[],"","","","","",41,"",[]
98,"Metadata/Items/Currency/CurrencyEssenceContempt4",30,1,1,"Wailing Essence of Contempt","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11721,-743698363,[],"","","",[],[],"","","","","",41,"",[]
99,"Metadata/Items/Currency/CurrencyEssenceContempt5",30,1,1,"Screaming Essence of Contempt","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11722,-205989316,[],"","","",[],[],"","","","","",41,"",[]
100,"Metadata/Items/Currency/CurrencyEssenceContempt6",30,1,1,"Shrieking Essence of Contempt","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11723,-1738015661,[],"","","",[],[],"","","","","",41,"",[]
101,"Metadata/Items/Currency/CurrencyEssenceContempt7",30,1,1,"Deafening Essence of Contempt","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11724,1330507188,[],"","","",[],[],"","","","","",41,"",[]
102,"Metadata/Items/Currency/CurrencyEssenceSorrow1",30,1,1,"Muttering Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11725,535092733,[],"","","",[],[],"","","","","",41,"",[]
103,"Metadata/Items/Currency/CurrencyEssenceSorrow2",30,1,1,"Weeping Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11726,-267836319,[],"","","",[],[],"","","","","",41,"",[]
104,"Metadata/Items/Currency/CurrencyEssenceSorrow3",30,1,1,"Wailing Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11727,-880120152,[],"","","",[],[],"","","","","",41,"",[]
105,"Metadata/Items/Currency/CurrencyEssenceSorrow4",30,1,1,"Screaming Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11728,1066624914,[],"","","",[],[],"","","","","",41,"",[]
106,"Metadata/Items/Currency/CurrencyEssenceSorrow5",30,1,1,"Shrieking Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11729,993214565,[],"","","",[],[],"","","","","",41,"",[]
107,"Metadata/Items/Currency/CurrencyEssenceSorrow6",30,1,1,"Deafening Essence of Sorrow","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11730,-558420537,[],"","","",[],[],"","","","","",41,"",[]
108,"Metadata/Items/Currency/CurrencyEssenceAnger1",30,1,1,"Muttering Essence of Anger","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11731,-36091224,[],"","","",[],[],"","","","","",41,"",[]
109,"Metadata/Items/Currency/CurrencyEssenceAnger2",30,1,1,"Weeping Essence of Anger","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11732,-1327428615,[],"","","",[],[],"","","","","",41,"",[]
110,"Metadata/Items/Currency/CurrencyEssenceAnger3",30,1,1,"Wailing Essence of Anger","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11733,891153638,[],"","","",[],[],"","","","","",41,"",[]
111,"Metadata/Items/Currency/CurrencyEssenceAnger4",30,1,1,"Screaming Essence of Anger","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11734,128783824,[],"","","",[],[],"","","","","",41,"",[]
112,"Metadata/Items/Currency/CurrencyEssenceAnger5",30,1,1,"Shrieking Essence of Anger","Metadata/Items/Currency/StackableCurrency",74,"",[],1,34,[302],34,1,11735,-452117587,[],"","","",[],[],"","","","","",41,"",[]
113,"Metadata/Items/Currency/CurrencyEssenceAnger6",30,1,1,"Deafening Essence of Anger","Metadata/Items/Currency/StackableCurrency",82,"",[],1,34,[302],34,1,11736,1536872438,[],"","","",[],[],"","","","","",41,"",[]
114,"Metadata/Items/Currency/CurrencyEssenceTorment1",30,1,1,"Muttering Essence of Torment","Metadata/Items/Currency/StackableCurrency",10,"",[],1,34,[302],34,1,11737,-475311494,[],"","","",[],[],"","","","","",41,"",[]
115,"Metadata/Items/Currency/CurrencyEssenceTorment2",30,1,1,"Weeping Essence of Torment","Metadata/Items/Currency/StackableCurrency",26,"",[],1,34,[302],34,1,11738,1008794806,[],"","","",[],[],"","","","","",41,"",[]
116,"Metadata/Items/Currency/CurrencyEssenceTorment3",30,1,1,"Wailing Essence of Torment","Metadata/Items/Currency/StackableCurrency",42,"",[],1,34,[302],34,1,11739,-1179354155,[],"","","",[],[],"","","","","",41,"",[]
117,"Metadata/Items/Currency/CurrencyEssenceTorment4",30,1,1,"Screaming Essence of Torment","Metadata/Items/Currency/StackableCurrency",58,"",[],1,34,[302],34,1,11740,747230036,[],"","","",[],[],"","","","","",41,"",[]
