"rownum","Id","Art","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","AchievementItemsKeys"
11,"Essences","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedEssence","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓",[]
12,"Essences2","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedEssence","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓",[]
13,"Fragments","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedFragments","Fragments","Fragments","Fragmente","断片","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","裂片",[]
14,"Scarabs","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedScarabs","Scarabs","Scarabées","Skarabäen","スカラベ","갑충석","Escaravelhos","Скарабеи","Escarabajos","สคารับ","聖甲蟲",[]
15,"Fossils","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedFossils","Fossils","Fossiles","Fossilien","化石","화석","Fósseis","Ископаемые","Fósiles","ฟอสซิล","化石",[]
16,"Prophecies","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedCurrency","Currency","Objets monétaires","Währung","カレンシー","화폐","Item Monetário","Валюта","Objetos monetarios","เงินตรา","通貨",[]
17,"DivinationCards","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedDivination","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas de adivinación","ไพ่พยากรณ์","命運卡",[]
18,"Generic","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedGeneric","Generic","Objets génériques","Generisch","一般","일반","Genérico","Базовая","Genérico","ทั่วไป","一般",[]
19,"Talismans","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedTalismans","Talismans","Talismans","Talismane","タリスマン","부적","Talismãs","Талисманы","Talismanes","สร้อยเครื่องราง","魔符",[]
20,"Labyrinth","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedLabyrinth","Labyrinth","Objets du Labyrinthe","Labyrinth","ラビリンス","미궁","Labirinto","Лабиринт","Laberinto","เขาวงกต","帝王迷宮",[]
21,"Legion","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedLegion","Legion","Objet de Légions","Legion","リージョン","군단","Legion","Легион","Legion","กองพัน","戰亂",[]
22,"Blight","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedBlight","Blight","Objets de l'Infestation","Blight","ブライト","역병","Blight","Скверна","Blight","ไบล์ท","凋落",[]
23,"Metamorphosis","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Metamorph","Objets de Métamorphes","Metamorph","メタモルフ","변형","Metamorph","Метаморф","Metamorph","เมตามอร์ฟ","鍊魔",[]
24,"HardModeElemental","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Turbulent Catalyst","Catalyseur agité","Stürmischer Katalysator","大荒れのカタリスト","격동의 기폭제","Catalisador Turbulento","Бурный катализатор","Catalizador turbulento","Turbulent Catalyst","洶湧的催化劑",[]
25,"HardModeCaster","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Imbued Catalyst","Catalyseur imprégné","Durchdrungener Katalysator","教示のカタリスト","부여의 기폭제","Catalisador Imbuído","Волшебный катализатор","Catalizador imbuido","Imbued Catalyst","充能的催化劑",[]
26,"HardModeAttack","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Abrasive Catalyst","Catalyseur abrasif","Abschleifender Katalysator","研磨のカタリスト","연마의 기폭제","Catalisador Abrasivo","Абразивный катализатор","Catalizador abrasivo","Abrasive Catalyst","研磨的催化劑",[]
27,"HardModeDefense","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Tempering Catalyst","Catalyseur trempé","Härtender Katalysator","焼き直しのカタリスト","완화의 기폭제","Catalisador Temperado","Закаляющий катализатор","Catalizador templado","Tempering Catalyst","冶鍊的催化劑",[]
28,"HardModeResource","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Fertile Catalyst","Catalyseur fertile","Fruchtbarer Katalysator","肥沃のカタリスト","풍요의 기폭제","Catalisador Fértil","Насыщенный катализатор","Catalizador fértil","Fertile Catalyst","富饒的催化劑",[]
29,"HardModeResistance","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Prismatic Catalyst","Catalyseur prismatique","Prismatischer Katalysator","プリズムのカタリスト","분광의 기폭제","Catalisador Prismático","Радужный катализатор","Catalizador prismático","Prismatic Catalyst","多稜的催化劑",[]
30,"HardModeAttribute","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Intrinsic Catalyst","Catalyseur intrinsèque","Intrinsischer Katalysator","本質のカタリスト","본질의 기폭제","Catalisador Intrínseco","Истинный катализатор","Catalizador intrínseco","Intrinsic Catalyst","本質的催化劑",[]
31,"HardModePhysicalChaos","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Noxious Catalyst","Catalyseur nocif","Schädlicher Katalysator","有毒なカタリスト","유독성 기폭제","Catalisador Nocivo","Ядовитый катализатор","Catalizador nocivo","Noxious Catalyst","毒性催化劑",[]
32,"HardModeSpeed","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Accelerating Catalyst","Catalyseur accélérant","Beschleunigender Katalysator","加速のカタリスト","가속의 기폭제","Catalisador Acelerador","Ускоряющий катализатор","Catalizador acelerador","Accelerating Catalyst","加速催化劑",[]
33,"HardModeCritical","Art/2DArt/UIImages/InGame/Metamorphosis/rewardsymbols/ChestUnopenedMetamorph","Unstable Catalyst","Catalyseur instable","Instabiler Katalysator","不安定なカタリスト","불안정한 기폭제","Catalisador Instável","Нестабильный катализатор","Catalizador inestable","Unstable Catalyst","易變催化劑",[]
