"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText (English)","ReminderText (French)","ReminderText (German)","ReminderText (Japanese)","ReminderText (Korean)","ReminderText (Portuguese)","ReminderText (Russian)","ReminderText (Spanish)","ReminderText (Thai)","ReminderText (Traditional Chinese)","TextAudio","rid","bool"
27,"Lightning1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Electrified Undead","Éliminez les groupes de Morts-vivants électrifiés","Vernichtet Gruppen von elektrifizierten Untoten","電気を帯びたアンデッドの群れを倒せ","전기를 띤 언데드 무리 처치하기","Derrote grupos de Mortos-Vivos Eletrizados","Победите группы наэлектризованной нежити","Derrota a grupos de no-muertos electrificados","สยบ อันเดดอาบกระแสไฟ หลายกอง","擊敗多群電能亡靈","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Gewitters","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1790,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,16,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
28,"Lightning1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Spectral Pirates","Éliminez les groupes de Pirates spectraux","Vernichtet Gruppen von Spektralen Piraten","海賊の幽霊の群れを倒せ","영체 해적 무리 처치하기","Derrote grupos de Piratas Espectrais","Победите группы призрачных пиратов","Derrota a grupos de piratas espectrales","สยบ โจรสลัดวิญญาณ หลายกอง","擊敗多群幽魂海盜","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Gewitters","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1795,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,10,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
29,"Lightning1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Undying","Éliminez les groupes de Nonmourants","Vernichtet Gruppen von Unvergänglichen","不死者の群れを倒せ","산 송장 무리 처치하기","Derrote grupos de Imortais","Победите группы бессмертных","Derrota a grupos de monstruos imperecederos","สยบ ผู้ไร้มรณา หลายกอง","擊敗多群不死族","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Gewitters","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1791,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,26,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
30,"Lightning1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Holy Templars","Éliminez les groupes de Templiers sacrés","Vernichtet Gruppen von Heiligen Templern","聖なるテンプラーの群れを倒せ","신성한 템플러 무리 처치하기","Derrote Grupos de Templários Sagrados","Победите группы святых жрецов","Derrota a grupos de templarios sagrados","สยบ เทมพลาร์ศักดิ์สิทธิ์ หลายกอง","擊敗多群聖宗","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Sturms","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1794,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,50,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
31,"Lightning1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Sand Leapers","Éliminez les groupes de Bondisseurs des sables","Vernichtet Gruppen von Sandhüpfern","砂のリーパーの群れを倒せ","모래 뜀박이 무리 처치하기","Derrote grupos de Saltadores da Areia","Победите группы песчаных прыгунов","Derrota a grupos de brincadores de arena","สยบ ผู้กระโจนตามทราย หลายกอง","擊敗多群沙地突躍獸","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Sturms","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1793,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,5,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
32,"Lightning1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Shavronne's Toys","Éliminez les groupes de Jouets de Shavronne","Vernichtet Gruppen von Shavronnes Spielfiguren","シャヴロンの玩具の群れを倒せ","샤브론의 장난감 무리 처치하기","Derrote grupos de Brinquedos de Shavronne","Победите группы игрушек Шавронн","Derrota a grupos de juguetes de Shavronne","สยบ ของเล่นของแชฟรอนน์ หลายกอง","擊敗多群薛朗的玩物","Reflection of the Storm","Reflet de l'Orage","Spiegelung des Sturms","嵐の鏡像","태풍의 투영","Reflexo do Temporal","Отражение Шторма","Reflejo de la tormenta","ภาพสะท้อนแห่งมรสุม","風暴映像",3,1792,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,47,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
33,"Lightning3_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_warbands.arm""]","",[],[],[],"Defeat Mutewind Warbands","Éliminez les Bataillons de Ventmuet","Vernichtet Stummwind-Kriegshorden","ミュートウィンドのウォーバンドを倒せ","고요한 바람단 군벌 처치하기","Derrote Bandoleiros do Vento Mudo","Победите отряды Немого ветра","Derrota a bandas de guerra de Viento mudo","สยบ กองศึกมิ้วท์วิน","擊敗啞風軍團","Reflection of Camaraderie","Reflet de la Camaraderie","Spiegelung der Kameradschaft","友愛の鏡像","전우애의 투영","Reflexo da Camaradagem","Отражение Братства","Reflejo de camaradería","ภาพสะท้อนแห่งมิตรภาพ","友誼映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,46,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
34,"Lightning3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_exiles.arm""]","",[],[],[],"Defeat Lightning-themed Rogue Exiles","Éliminez les Exilés renégats de foudre","Vernichtet Abtrünnige Verbannte mit Blitz-Thema","雷の力を持つローグエグザイルを倒せ","번개 테마의 탈주 유배자 처치하기","Derrote Exilados Renegados com o tema de Raio","Победите бродячих изгнанников тематики молнии","Derrota a exiliados renegados de rayo","สยบ เอ็กไซล์อันธพาลสายสายฟ้า","擊敗電系盜賊流亡者","Reflection of Conflict","Reflet d'un Conflit","Spiegelung des Konflikts","対立の鏡像","갈등의 투영","Reflexo do Conflito","Отражение Конфликта","Reflejo de conflicto","ภาพสะท้อนแห่งความขัดแย้ง","衝突映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,46,10,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
35,"Lightning3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in lightning","Terrassez un puissant adversaire galvanisé par la foudre","Vernichtet einen mächtigen, im Blitz geschmiedeten Gegner","雷より生まれし強力な敵を倒せ","번개로 벼려진 강력한 적 1마리 처치하기","Derrote um inimigo poderoso, forjado na eletricidade","Победите закалённого молнией могучего врага","Derrota a un enemigo poderoso, forjado en rayo","สยบ ศัตรูทรงพลัง ผู้หล่อหลอมด้วยสายฟ้า 1 คน","擊敗 1 個強大的敵人，在閃電中鍛造","Reflection of Power","Reflet du Pouvoir","Spiegelung der Macht","力の鏡像","힘의 투영","Reflexo do Poder","Отражение Силы","Reflejo de poder","ภาพสะท้อนแห่งพลังอำนาจ","權力映像",3,1792,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,68,10,1,[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
36,"Lightning4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in lightning","Terrassez plusieurs puissants adversaires galvanisés par la foudre","Vernichtet mehrere mächtige, im Blitz geschmiedete Gegner","雷より生まれし複数の強力な敵を倒せ","번개로 벼려진 강력한 적 여러 마리 처치하기","Derrote vários inimigos poderosos, forjados na eletricidade","Победите закалённых молнией могучих врагов","Derrota a varios enemigos poderosos, forjados en rayo","สยบ ศัตรูทรงพลัง ผู้หล่อหลอมด้วยสายฟ้า หลายคน","擊敗數個強大的敵人，在閃電中鍛造","Reflection of Tyranny","Reflet de la Tyrannie","Spiegelung der Tyrannei","過酷の鏡像","폭정의 투영","Reflexo da Tirania","Отражение Тирании","Reflejo de tiranía","ภาพสะท้อนแห่งเผด็จการ","暴政映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",4,68,10,1,[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
37,"Physical1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Beasts","Éliminez les groupes de Bêtes","Vernichtet Gruppen von Bestien","獣の群れを倒せ","야수 무리 처치하기","Derrote grupos de Bestas","Победите группы зверей","Derrota a grupos de bestias","สยบ สัตว์ร้าย หลายกอง","擊敗多群野獸","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1801,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,15,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
38,"Physical1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of the Skeletons","Éliminez les groupes de Squelettes","Vernichtet Gruppen von Skeletten","スケルトンの群れを倒せ","해골 무리 처치하기","Derrote grupos de Esqueletos","Победите группы скелетов","Derrota a grupos de esqueletos","สยบ โครงกระดูก หลายกอง","擊敗多群骷髏","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1797,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,1,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
39,"Physical1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Monkeys","Éliminez les groupes de Singes","Vernichtet Gruppen von Affen","猿の群れを倒せ","원숭이 무리 처치하기","Derrote grupos de Macacos","Победите группы обезьян","Derrota a grupos de monos","สยบ ลิง หลายกอง","擊敗多群猴子","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1796,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,6,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
40,"Physical1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Desert Creatures","Éliminez les groupes de Créatures du désert","Vernichtet Gruppen von Wüstenwesen","砂漠の生き物の群れを倒せ","사막 괴물 무리 처치하기","Derrote grupos de Criaturas do Deserto","Победите группы пустынных существ","Derrota a grupos de criaturas del desierto","สยบ การ์ดดำ หลายกอง","擊敗多群沙漠生物","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1800,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,38,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
41,"Physical1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Piety's Miscreations","Éliminez les groupes de Difformes de Piété","Vernichtet Gruppen von Pietys Monstrositäten","パイエティの作品の群れを倒せ","파이어티의 기형물 무리 처치하기","Derrote grupos de Má-criações de Piety","Победите группы уродцев Веры","Derrota a grupos de aberraciones de Piedad","สยบ สิ่งมีชีวิตผิดวิสัยของพายตี้ หลายกอง","擊敗多群派蒂的古靈實驗者","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1798,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,60,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
42,"Physical1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Blackguards","Éliminez les groupes de Gardes noirs","Vernichtet Gruppen von Schwarzgardisten","ブラックガードの群れを倒せ","검은 근위대 무리 처치하기","Derrote grupos de Guardas Negros","Победите отряды Чёрной стражи","Derrota a grupos de guardias negros","สยบ การ์ดดำ หลายกอง","擊敗多群烏旗守衛","Reflection of Brutality","Reflet de la Brutalité","Spiegelung der Brutalität","暴虐の鏡像","잔인성의 투영","Reflexo da Brutalidade","Отражение Жестокости","Reflejo de brutalidad","ภาพสะท้อนแห่งความโหดเหี้ยม","殘暴映像",3,1799,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,40,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
43,"Physical3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical3_exiles.arm""]","",[],[],[],"Defeat Physical-themed Rogue Exiles","Éliminez les Exilés renégats physiques","Vernichtet Abtrünnige Verbannte mit physischem Thema","物理の力を持つローグエグザイルを倒せ","물리 테마의 탈주 유배자 처치하기","Derrote Exilados Renegados com o tema Físico","Победите бродячих изгнанников физической тематики","Derrota a exiliados renegados físicos","สยบ เอ็กไซล์อันธพาลสายกายภาพ","擊敗物理系盜賊流亡者","Reflection of Conflict","Reflet d'un Conflit","Spiegelung des Konflikts","対立の鏡像","갈등의 투영","Reflexo do Conflito","Отражение Конфликта","Reflejo de conflicto","ภาพสะท้อนแห่งความขัดแย้ง","衝突映像",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",3,46,11,"",[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
44,"Physical3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in blood","Terrassez un puissant adversaire sculpté dans de la chair sanglante","Vernichtet einen mächtigen, in Blut geschmiedeten Gegner","血より生まれし強力な敵を倒せ","피로 벼려진 강력한 적 1마리 처치하기","Derrote um inimigo poderoso, forjado em sangue","Победите закалённого в крови могучего врага","Derrota a un enemigo poderoso, forjado en sangre","สยบ ศัตรูทรงพลัง ผู้หล่อหลอมด้วยโลหิต 1 คน","擊敗 1 個強大的敵人，在鮮血中鍛造","Reflection of Power","Reflet du Pouvoir","Spiegelung der Macht","力の鏡像","힘의 투영","Reflexo do Poder","Отражение Силы","Reflejo de poder","ภาพสะท้อนแห่งพลังอำนาจ","權力映像",3,1796,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",3,68,11,1,[],[],"(Difficulty scales quantity of items from reward chests)","(La difficulté amplifie la quantité des objets contenus dans les coffres de récompense)","(Die Schwierigkeit skaliert die Menge von Gegenständen aus Belohnungstruhen)","(難易度は報酬チェストから得られるアイテムの数量をスケールする)","(난이도에 따라 보상 상자에서 발견되는 아이템의 수량 증감)","(A dificuldade escalona a quantidade de itens nos baús de recompensas)","(Сложность повышает количество предметов в наградных сундуках)","(La dificultad aumenta la cantidad de objetos que contienen los cofres de recompensas)","(ระดับ​ความยาก ส่ง​ผล​ต่อ​จำนวน​ของ​ไอเทม​จาก หีบ​รางวัล)","( 難度調整獎勵保險箱的物品數量 )","","",1
