"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Characters","IsKeystone","IsNotable","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","IsJustIcon","AchievementItem","IsJewelSocket","AscendancyKey","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","GrantedEffectsPerLevel","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","i32","i32","i32","i32","i32","bool","[rid]","i32","[rid]","bool"
10,"shield_block31","Art/2DArt/SkillIcons/passives/lifepercentage.dds",[451],36,0,0,0,59861,"Life Regeneration","Régénération de Vie","Lebensregeneration","ライフ自動回復","생명력 재생","Regeneração de Vida","Регенерация здоровья","Regeneración de vida","การฟื้นฟูพลังชีวิต","生命回復",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
11,"shield_block32","Art/2DArt/SkillIcons/passives/ElementalResistance2.dds",[408],6,0,0,0,64426,"Elemental Resistances with a Shield","Résistances élémentaires avec les boucliers","Elementarwiderstände mit Schilden","盾装備時元素耐性","방패의 원소 저항","Resistências Elementais com Escudo","Сопротивления стихиям со щитом","Resistencias elementales con escudo","ค่าต้านทานธาตุด้วยโล่","持盾元素抗性",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
12,"shield_block33","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,43413,"Shield Block and Block Recovery","Blocage et Récupération de Blocage avec les boucliers","Blocken mit Schilden und Blockerholung","盾ブロックおよびブロック回復","방패 막기 및 막기 회복","Bloqueio com Escudo e Recuperação de Bloqueio","Щит: блок и восстановление после блока","Bloqueo con escudo y recuperación de bloqueo","โล่ - การบล็อค และ การฟื้นตัวจากการบล็อค","盾牌格擋與格擋恢復",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
13,"shield_mastery34","Art/2DArt/SkillIcons/passives/Sanctuary.dds","[19,2356,408]",4,4,12,0,20832,"Sanctuary","Sanctuaire","Heiligtum","聖域","성역","Santuário","Святилище","Santuario","Sanctuary","庇護聖所",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
14,"shield_block35","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,3319,"Shield Block and Block Recovery","Blocage et Récupération de Blocage avec les boucliers","Blocken mit Schilden und Blockerholung","盾ブロックおよびブロック回復","방패 막기 및 막기 회복","Bloqueio com Escudo e Recuperação de Bloqueio","Щит: блок и восстановление после блока","Bloqueo con escudo y recuperación de bloqueo","โล่ - การบล็อค และ การฟื้นตัวจากการบล็อค","盾牌格擋與格擋恢復",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
15,"elemental_resistance_with_shields37","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11592]",1,15,0,0,20349,"Shield Block and Physical Attack Damage with Shield","Blocage et Dégâts physiques des attaques en tenant un bouclier","Blocken und physischer Angriffsschaden mit Schilden","盾ブロックおよび盾装備時物理アタックダメージ","방패 막기 및 방패의 물리 공격 피해","Bloqueio e Dano de Ataques Físicos com Escudos","Щит: блок и физический урон от атак","Bloqueo con escudo y daño de ataques físicos con escudo","โล่ - การบล็อค และ ความเสียหายโจมตีกายภาพขณะถือโล่","持盾盾牌格擋和物理攻擊傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
16,"elemental_resistance_with_shields38","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11592]",1,15,0,0,32854,"Shield Block and Physical Attack Damage with Shield","Blocage et Dégâts physiques des attaques en tenant un bouclier","Blocken und physischer Angriffsschaden mit Schilden","盾ブロックおよび盾装備時物理アタックダメージ","방패 막기 및 방패의 물리 공격 피해","Bloqueio e Dano de Ataques Físicos com Escudos","Щит: блок и физический урон от атак","Bloqueo con escudo y daño de ataques físicos con escudo","โล่ - การบล็อค และ ความเสียหายโจมตีกายภาพขณะถือโล่","持盾盾牌格擋和物理攻擊傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
17,"sword_damage_and_accuracy45","Art/2DArt/SkillIcons/passives/accuracysword.dds","[40,92,11559]",12,8,12,0,807,"Sword Damage and Accuracy","Dégâts et Précision avec les épées","Schaden und Genauigkeit mit Schwertern","剣ダメージおよび命中","검 피해 및 정확도","Dano da Espada e Precisão","Меч: урон и меткость","Daño y precisión con espadas","ดาบ - ความเสียหาย และ ความแม่นยำ","劍的傷害和命中",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
18,"sword_damage48","Art/2DArt/SkillIcons/passives/masterysword.dds","[40,11559]",16,16,0,0,4336,"Sword Damage","Dégâts avec les épées","Schaden mit Schwertern","剣ダメージ","검 피해","Dano de Espadas","Урон мечом","Daño con espadas","ดาบ - ความเสียหาย","劍的傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
19,"smashing_strikes53","Art/2DArt/SkillIcons/passives/stunstaff.dds","[11578,2624,2413]",30,10,30,0,51559,"Smashing Strikes","Coups pulvérisants","Zertrümmernde Schläge","スマッシュストライク","박살내는 일격","Golpes Esmagadores","Сокрушающие атаки","Golpes destructores","Smashing Strikes","沉重之擊",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
20,"staff_damage_and_accuracy55","Art/2DArt/SkillIcons/passives/accuracystaff.dds","[35,87,11562]",6,8,6,0,13361,"Staff Damage and Accuracy","Dégâts et Précision avec les bâtons","Schaden und Genauigkeit mit Stäben","スタッフダメージおよび命中","지팡이 피해 및 정확도","Dano e Precisão do Cajado","Посох: урон и меткость","Daño y precisión con báculos","ไม้พลอง - ความเสียหาย และ ความแม่นยำ","長杖傷害和命中",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
21,"staff_damage57","Art/2DArt/SkillIcons/passives/damagestaff.dds","[11578,332]",15,10,0,0,47427,"Staff Damage and Stun Duration","Dégâts et Durée d'Étourdissement avec les bâtons","Schaden mit Stäben und Betäubungsdauer","スタッフダメージおよびスタン持続時間","지팡이 피해 및 기절 지속시간","Dano e Duração do Atordoamento do Cajado","Посох: урон и длительность оглушения","Daño y duración de aturdimiento con báculos","ไม้พลอง - ความเสียหาย และ ระยะเวลามึนงง","長杖傷害暈眩持續時間",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
22,"staff_damage59","Art/2DArt/SkillIcons/passives/damagestaff.dds","[35,11562]",12,15,0,0,60740,"Staff Damage","Dégâts avec les bâtons","Schaden mit Stäben","スタッフダメージ","지팡이 피해","Dano do Cajado","Урон посохом","Daño con báculos","ไม้พลอง - ความเสียหาย","長杖傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
23,"mace_damage_and_reduced_enemy_stun_threshold62","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11563]",16,5,16,0,57266,"Mace Damage and Reduced Enemy Stun Threshold","Dégâts et Réduction du Seuil d'Étourdissement avec les masses","Schaden und verringerte gegnerische Betäubungsschwelle mit Streitkolben","メイスダメージおよびスタン閾値低下","철퇴 피해 및 적 기절 한계치 감소","Dano da Maça e Limite de Atordoamento Inimigo Reduzido","Булава: урон и снижение порога оглушения у врагов","Daño con mazas y umbral de aturdimiento de enemigos reducido","กระบอง - ความเสียหาย และ ลดเกณฑ์ความยากในการมึนงงของศัตรู","錘的傷害和減低敵人暈眩門檻",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
24,"mace_damage_and_reduced_enemy_stun_threshold63","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11563]",16,5,16,0,38023,"Mace Damage and Reduced Enemy Stun Threshold","Dégâts et Réduction du Seuil d'Étourdissement avec les masses","Schaden und verringerte gegnerische Betäubungsschwelle mit Streitkolben","メイスダメージおよびスタン閾値低下","철퇴 피해 및 적 기절 한계치 감소","Dano da Maça e Limite de Atordoamento Inimigo Reduzido","Булава: урон и снижение порога оглушения у врагов","Daño con mazas y umbral de aturdimiento de enemigos reducido","กระบอง - ความเสียหาย และ ลดเกณฑ์ความยากในการมึนงงของศัตรู","錘的傷害和減低敵人暈眩門檻",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
25,"mace_damage_and_attack_speed66","Art/2DArt/SkillIcons/passives/attackspeedmace.dds","[38,11563,434]",14,14,8,0,30547,"Mace Damage and Area of Effect","Dégâts et Zone d'effet des masses","Schaden mit Streitkolben und Wirkungsbereich","メイスダメージおよび効果範囲","철퇴 피해 및 효과 범위","Dano de Ataque e Área de Efeito da Maça","Булава: урон и область действия","Daño y área de efecto con mazas","กระบอง - ความเสียหาย และ พื้นที่ส่งผล","錘的傷害和範圍效果",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
26,"mace_damage_and_attack_speed68","Art/2DArt/SkillIcons/passives/attackspeedmace.dds","[38,11563,434]",14,14,8,0,15163,"Mace Damage and Area of Effect","Dégâts et Zone d'effet des masses","Schaden mit Streitkolben und Wirkungsbereich","メイスダメージおよび効果範囲","철퇴 피해 및 효과 범위","Dano de Ataque e Área de Efeito da Maça","Булава: урон и область действия","Daño y área de efecto con mazas","กระบอง - ความเสียหาย และ พื้นที่ส่งผล","錘的傷害和範圍效果",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
27,"skull_cracking71","Art/2DArt/SkillIcons/passives/skullcracking.dds","[38,109,11563]",36,12,36,0,16703,"Skull Cracking","Fracas crânien","Schädelbersten","頭蓋砕き","해골 부수기","Quebra-Crânio","Крушитель черепов","Rompe cráneos","Skull Cracking","碎顱",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
28,"mace_damage77","Art/2DArt/SkillIcons/passives/macedmg.dds",[11579],12,0,0,0,58541,"Mace Damage","Dégâts avec les masses","Schaden mit Streitkolben","メイスダメージ","철퇴 피해","Dano da Maça","Урон булавой","Daño con mazas","กระบอง - ความเสียหาย","錘的傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
29,"mace_damage78","Art/2DArt/SkillIcons/passives/macedmg.dds","[11579,434]",10,5,0,0,6633,"Mace Damage and Area of Effect","Dégâts et Zone d'effet des masses","Schaden mit Streitkolben und Wirkungsbereich","メイスダメージおよび効果範囲","철퇴 피해 및 효과 범위","Dano de Ataque e Área de Efeito da Maça","Булава: урон и область действия","Daño y área de efecto con mazas","กระบอง - ความเสียหาย และ พื้นที่ส่งผล","錘的傷害和範圍效果",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
30,"mace_damage79","Art/2DArt/SkillIcons/passives/macedmg.dds","[11579,434]",10,5,0,0,24772,"Mace Damage and Area of Effect","Dégâts et Zone d'effet des masses","Schaden mit Streitkolben und Wirkungsbereich","メイスダメージおよび効果範囲","철퇴 피해 및 효과 범위","Dano de Ataque e Área de Efeito da Maça","Булава: урон и область действия","Daño y área de efecto con mazas","กระบอง - ความเสียหาย และ พื้นที่ส่งผล","錘的傷害和範圍效果",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
31,"mace_damage80","Art/2DArt/SkillIcons/passives/macedmg.dds","[38,11563,341]",16,16,20,0,8500,"Mace Damage and Stun Duration","Dégâts et Durée d'Étourdissement avec les masses","Schaden mit Streitkolben und Betäubungsdauer","メイスダメージおよびスタン持続時間","철퇴 피해 및 기절 지속시간","Dano e Duração do Atordoamento da Maça","Булава: урон и длительность оглушения","Daño con mazas y duración del aturdimiento","กระบอง - ความเสียหาย และ ระยะเวลามึนงง","錘的傷害和暈眩持續時間",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
32,"bone_smasher81","Art/2DArt/SkillIcons/passives/macedmg.dds","[38,434,11563]",30,12,30,0,40645,"Bone Breaker","Briseur d'os","Knochenbrecher","ボーンブレイカー","뼈 분쇄기","Quebra-Osso","Костолом","Rompe huesos","Bone Breaker","破骨",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
33,"dual_wield_damage85","Art/2DArt/SkillIcons/passives/damagedualwield.dds",[11591],10,0,0,0,64864,"Dual Wield Damage","Dégâts avec deux armes","Schaden mit zwei Waffen","二刀流ダメージ","쌍수 피해","Dano com Dupla Empunhadura","Урон парным оружием","Daño con doble empuñadura","อาวุธคู่ - ความเสียหาย","雙持傷害",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
34,"armour87","Art/2DArt/SkillIcons/passives/increasedarmorandlife.dds","[117,124]",10,4,0,0,15868,"Life and Armour","Vie et Armure","Leben und Rüstung","ライフおよびアーマー","생명력 및 방어도","Vida e Armadura","Здоровье и броня","Vida y armadura","พลังชีวิต และ ค่าเกราะ","生命和護甲",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
35,"armour_mastery89","Art/2DArt/SkillIcons/passives/SpikedBulwark.dds","[117,3539]",28,50,0,0,10542,"Spiked Bulwark","Rempart pointu","Stacheliges Bollwerk","刺の砦","가시 방벽","Baluarte de Espinhos","Шипастое укрытие","Baluarte punzante","Spiked Bulwark","荊棘壁壘",[],"",1,"","","","","","","","","","","",6954,"","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
36,"armour90","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],14,0,0,0,31928,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
37,"armour91","Art/2DArt/SkillIcons/passives/dmgreduction.dds","[117,141]",10,5,0,0,7162,"Armour and Elemental Resistances","Armure et Résistances élémentaires","Rüstung und Elementarwiderstände","アーマーおよび元素耐性","방어도 및 원소 저항","Armadura e Resistências Elementais","Броня и сопротивление стихиям","Armadura y resistencias elementales","ค่าเกราะ และ ค่าต้านทานธาตุ","護甲和元素抗性",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
38,"armour92","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],14,0,0,0,61868,"Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
39,"armour93","Art/2DArt/SkillIcons/passives/dmgreduction.dds","[117,141]",10,5,0,0,9695,"Armour and Elemental Resistances","Armure et Résistances élémentaires","Rüstung und Elementarwiderstände","アーマーおよび元素耐性","방어도 및 원소 저항","Armadura e Resistências Elementais","Броня и сопротивление стихиям","Armadura y resistencias elementales","ค่าเกราะ และ ค่าต้านทานธาตุ","護甲和元素抗性",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
40,"armour94","Art/2DArt/SkillIcons/passives/ArmourAndEnergyShieldNode.dds","[117,134]",10,4,0,0,21929,"Armour and Energy Shield","Armure et Bouclier d'énergie","Rüstung und Energieschild","アーマーおよびエナジーシールド","방어도 및 에너지 보호막","Armadura e Escudo de Energia","Броня и энергетический щит","Armadura y escudo de energía","ค่าเกราะ และ โล่พลังงาน","護甲和能量護盾",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
41,"armour95","Art/2DArt/SkillIcons/passives/ArmourAndEnergyShieldNode.dds","[117,134]",10,5,0,0,38836,"Armour and Energy Shield","Armure et Bouclier d'énergie","Rüstung und Energieschild","アーマーおよびエナジーシールド","방어도 및 에너지 보호막","Armadura e Escudo de Energia","Броня и энергетический щит","Armadura y escudo de energía","ค่าเกราะ และ โล่พลังงาน","護甲和能量護盾",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
42,"axe_damage_and_attack_speed97","Art/2DArt/SkillIcons/passives/attackspeedaxe.dds","[34,74,11561]",12,3,12,0,49571,"Axe Damage and Attack Speed","Dégâts et Vitesse d'attaque avec les haches","Schaden und Angriffsgeschwindigkeit mit Äxten","斧ダメージおよびアタックスピード","도끼 피해 및 공격 속도","Dano e Velocidade de Ataque do Machado","Топор: урон и скорость атаки","Daño y velocidad de ataque con hachas","ขวาน - ความเสียหาย และ ความเร็วในการโจมตี","斧的傷害和攻擊速度",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
43,"axe_damage_and_attack_speed98","Art/2DArt/SkillIcons/passives/attackspeedaxe.dds","[34,74,11561]",12,3,12,0,57953,"Axe Damage and Attack Speed","Dégâts et Vitesse d'attaque avec les haches","Schaden und Angriffsgeschwindigkeit mit Äxten","斧ダメージおよびアタックスピード","도끼 피해 및 공격 속도","Dano e Velocidade de Ataque do Machado","Топор: урон и скорость атаки","Daño y velocidad de ataque con hachas","ขวาน - ความเสียหาย และ ความเร็วในการโจมตี","斧的傷害和攻擊速度",[],"","","","","","","","","","","","","","","","","",[],0,"","",0,[],"","",0,"","",0,"","","","","","","","","","","","","",0,0,0,0,0,"",[],0,[],""
