"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","i32","Text2 (English)","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection (English)","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
10,1,"Terror","[116,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,0]",-590652478,"Terror","<if:MS>{ de la terreur}<elif:FS>{ de la terreur}<elif:NS>{NONEXISTENT}<elif:MP>{ de la terreur}<elif:FP>{ de la terreur}<elif:NP>{NONEXISTENT}","<if:MS>{Schreckens-}<elif:FS>{Schreckens-}<elif:NS>{Schreckens-}<elif:MP>{Schreckens-}<elif:FP>{Schreckens-}<elif:NP>{Schreck-}","恐怖の","공포의"," do Terror","<if:MS>{Пугающий}<elif:FS>{Пугающая}<elif:NS>{Пугающее}<elif:MP>{Пугающие}<elif:FP>{Пугающие}<elif:NP>{Пугающие}","<if:MS>{ de Terror}<elif:FS>{ de Terror}<elif:MP>{ de Terror}<elif:FP>{ de Terror}","Terror","恐懼","","","","","","","","","",""
11,1,"Pain","[116,69,645,3,2,656,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1716101697,"Pain","<if:MS>{ de la douleur}<elif:FS>{ de la douleur}<elif:NS>{NONEXISTENT}<elif:MP>{ de la douleur}<elif:FP>{ de la douleur}<elif:NP>{NONEXISTENT}","<if:MS>{Schmerz-}<elif:FS>{Schmerz-}<elif:NS>{Schmerz-}<elif:MP>{Schmerz-}<elif:FP>{Schmerz-}<elif:NP>{Schmerz-}","痛みの","고통의"," da Dor","<if:MS>{Болезненный}<elif:FS>{Болезненная}<elif:NS>{Болезненное}<elif:MP>{Болезненные}<elif:FP>{Болезненные}<elif:NP>{Болезненные}","<if:MS>{ de Dolor}<elif:FS>{ de Dolor}<elif:MP>{ de Dolor}<elif:FP>{ de Dolor}","Pain","劇痛","","","","","","","","","",""
12,1,"Savage","[116,727,69,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,1000,0]",1052627272,"Savage","<if:MS>{ sauvage}<elif:FS>{ sauvage}<elif:NS>{NONEXISTENT}<elif:MP>{ sauvages}<elif:FP>{ sauvages}<elif:NP>{NONEXISTENT}","<if:MS>{Verwilderter }<elif:FS>{Verwilderte }<elif:NS>{Verwildertes }<elif:MP>{Verwilderte }<elif:FP>{Verwilderte }<elif:NP>{Verwilderte }","未開の","야만적인","<if:MS>{ Selvagem}<elif:FS>{ Selvagem}<elif:NS>{ Selvagem}<elif:MP>{ Selvagens}<elif:FP>{ Selvagens}<elif:NP>{ Selvagens}","<if:MS>{Свирепый}<elif:FS>{Свирепая}<elif:NS>{Свирепое}<elif:MP>{Свирепые}<elif:FP>{Свирепые}<elif:NP>{Свирепые}","<if:MS>{ Salvaje}<elif:FS>{ Salvaje}<elif:MP>{ Salvajes}<elif:FP>{ Salvajes}","Savage","暴行","","","","","","","","","",""
13,1,"Grim","[978,727,238,645,3,2,656,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1694429810,"Grim","<if:MS>{ morne}<elif:FS>{ morne}<elif:NS>{NONEXISTENT}<elif:MP>{ mornes}<elif:FP>{ mornes}<elif:NP>{NONEXISTENT}","<if:MS>{Freudloser }<elif:FS>{Freudlose }<elif:NS>{Freudloses }<elif:MP>{Freudlose }<elif:FP>{Freudlose }<elif:NP>{Freudlose }","容赦ない","으스스한","<if:MS>{ Austero}<elif:FS>{ Austera}<elif:NS>{ Austero}<elif:MP>{ Austeros}<elif:FP>{ Austeras}<elif:NP>{ Austeros}","<if:MS>{Зловещий}<elif:FS>{Зловещая}<elif:NS>{Зловещее}<elif:MP>{Зловещие}<elif:FP>{Зловещие}<elif:NP>{Зловещие}","<if:MS>{ Sombrío}<elif:FS>{ Sombría}<elif:MP>{ Sombríos}<elif:FP>{ Sombrías}","Grim","冷酷","","","","","","","","","",""
14,1,"Whispering","[238,0]","[1000,0]",1087805279,"Whispering","<if:MS>{ murmurant}<elif:FS>{ murmurante}<elif:NS>{NONEXISTENT}<elif:MP>{ murmurants}<elif:FP>{ murmurantes}<elif:NP>{NONEXISTENT}","<if:MS>{Flüsternder}<elif:FS>{Flüsternde }<elif:NS>{Flüsterndes }<elif:MP>{Flüsternde }<elif:FP>{Flüsternde }<elif:NP>{Flüsternde }","囁く","속삭이는","<if:MS>{Sussurrante}<elif:FS>{Sussurrante}<elif:NS>{Sussurrante}<elif:MP>{Sussurrantes}<elif:FP>{Sussurrantes}<elif:NP>{Sussurrantes}","<if:MS>{Шепчущий}<elif:FS>{Шепчущая}<elif:NS>{Шепчущее}<elif:MP>{Шепчущие}<elif:FP>{Шепчущие}<elif:NP>{Шепчущие}","<if:MS>{ Susurrante}<elif:FS>{ Susurrante}<elif:MP>{ Susurrantes}<elif:FP>{ Susurrantes}","Whispering","低語","","","","","","","","","",""
15,1,"Foul","[238,0]","[1000,0]",2036870111,"Foul","<if:MS>{ abominable}<elif:FS>{ abominable}<elif:NS>{NONEXISTENT}<elif:MP>{ abominables}<elif:FP>{ abominables}<elif:NP>{NONEXISTENT}","<if:MS>{Fauler }<elif:FS>{Faule }<elif:NS>{Faules }<elif:MP>{Faule }<elif:FP>{Faule }<elif:NP>{Faule }","不潔な","지저분한","<if:MS>{ Putrefato}<elif:FS>{ Putrefata}<elif:NS>{ Putrefato}<elif:MP>{ Putrefatos}<elif:FP>{ Putrefatas}<elif:NP>{ Putrefatos}","<if:MS>{Гадкий}<elif:FS>{Гадкая}<elif:NS>{Гадкое}<elif:MP>{Гадкие}<elif:FP>{Гадкие}<elif:NP>{Гадкие}","<if:MS>{ Pestilente}<elif:FS>{ Pestilente}<elif:MP>{ Pestilentes}<elif:FP>{ Pestilentes}","Foul","汙濁","","","","","","","","","",""
16,1,"Enthralling","[238,0]","[1000,0]",-794706624,"Enthralling","<if:MS>{ captivant}<elif:FS>{ captivante}<elif:NS>{NONEXISTENT}<elif:MP>{ captivants}<elif:FP>{ captivantes}<elif:NP>{NONEXISTENT}","<if:MS>{Fesselnder }<elif:FS>{Fesselnde }<elif:NS>{Fesselndes }<elif:MP>{Fesselnde }<elif:FP>{Fesselnde }<elif:NP>{Fesselnde }","魅了する","매혹하는","<if:MS>{Cativante}<elif:FS>{Cativante}<elif:NS>{Cativante}<elif:MP>{Cativantes}<elif:FP>{Cativantes}<elif:NP>{Cativantes}","<if:MS>{Порабощающий}<elif:FS>{Порабощающая}<elif:NS>{Порабощающее}<elif:MP>{Порабощающие}<elif:FP>{Порабощающие}<elif:NP>{Порабощающие}","<if:MS>{ Cautivador}<elif:FS>{ Cautivadora}<elif:MP>{ Cautivadores}<elif:FP>{ Cautivadoras}","Enthralling","著迷","","","","","","","","","",""
17,1,"Hollow","[238,0]","[1000,0]",953145374,"Hollow","<if:MS>{ vide}<elif:FS>{ vide}<elif:NS>{NONEXISTENT}<elif:MP>{ vides}<elif:FP>{ vides}<elif:NP>{NONEXISTENT}","<if:MS>{Hohler }<elif:FS>{Hohle }<elif:NS>{Hohles }<elif:MP>{Hohle }<elif:FP>{Hohle }<elif:NP>{Hohle }","虚ろな","텅 빈","<if:MS>{Oco}<elif:FS>{Oca}<elif:NS>{Oco}<elif:MP>{Ocos}<elif:FP>{Ocas}<elif:NP>{Ocos}","<if:MS>{Пустой}<elif:FS>{Пустая}<elif:NS>{Пустое}<elif:MP>{Пустые}<elif:FP>{Пустые}<elif:NP>{Пустые}","<if:MS>{ Hueco}<elif:FS>{ Hueca}<elif:MP>{ Huecos}<elif:FP>{ Huecas}","Hollow","空洞","","","","","","","","","",""
18,1,"Void","[960,0]","[1000,0]",847777751,"Void"," du néant","<if:MS>{Leeren-}<elif:FS>{Leeren-}<elif:NS>{Leeren-}<elif:MP>{Leeren-}<elif:FP>{Leeren-}<elif:NP>{Leeren-}","虚無の","공허","<if:MS>{Vazio}<elif:FS>{ Vazia}<elif:NS>{ Vazio}<elif:MP>{ Vazios}<elif:FP>{ Vazias}<elif:NP>{ Vazios}","<if:MS>{Пустотный}<elif:FS>{Пустотная}<elif:NS>{Пустотное}<elif:MP>{Пустотные}<elif:FP>{Пустотные}<elif:NP>{Пустотные}","<if:MS>{ de Vacío}<elif:FS>{ de Vacío}<elif:MP>{ de Vacío}<elif:FP>{ de Vacío}","Void","虛空","","","","","","","","","",""
19,1,"Voidtouched","[960,0]","[1000,0]",-995247282,"Voidtouched","<if:MS>{ touché par le néant}<elif:FS>{ touchée par le néant}<elif:NS>{NONEXISTENT}<elif:MP>{ touchés par le néant}<elif:FP>{ touchées par le néant}<elif:NP>{NONEXISTENT}","<if:MS>{Leerenberührter }<elif:FS>{Leerenberührte }<elif:NS>{Leerenberührtes }<elif:MP>{Leerenberührte }<elif:FP>{Leerenberührte }<elif:NP>{Leerenberührte }","虚無に触れられし","공허에 닿은","<if:MS>{Tocado pelo Vazio}<elif:FS>{Tocada pelo Vazio}<elif:NS>{Tocado pelo Vazio}<elif:MP>{Tocados pelo Vazio}<elif:FP>{Tocadas pelo Vazio}<elif:NP>{Tocados pelo Vazio}","<if:MS>{Опустошающий}<elif:FS>{Опустошающая}<elif:NS>{Опустошающее}<elif:MP>{Опустошающие}<elif:FP>{Опустошающие}<elif:NP>{Опустошающие}","<if:MS>{ tocado por el Vacío}<elif:FS>{ tocada por el Vacío}<elif:MP>{ tocados por el Vacío}<elif:FP>{ tocadas por el Vacío}","Voidtouched","虛空之觸","","","","","","","","","",""
20,1,"Interdimensional","[960,0]","[1000,0]",1772301993,"Interdimensional","<if:MS>{ interdimensionnel}<elif:FS>{ interdimensionnelle}<elif:NS>{NONEXISTENT}<elif:MP>{ interdimensionnels}<elif:FP>{ interdimensionnelles}<elif:NP>{NONEXISTENT}","<if:MS>{Interdimensionaler }<elif:FS>{Interdimensionale }<elif:NS>{Interdimensionales }<elif:MP>{Interdimensionale }<elif:FP>{Interdimensionale }<elif:NP>{Interdimensionale }","次元間の","초차원적","<if:MS>{Interdimencional}<elif:FS>{Interdimencional}<elif:NS>{Interdimencional}<elif:MP>{Interdimencionais}<elif:FP>{Interdimencionais}<elif:NP>{Interdimencionais}","<if:MS>{Иномерный}<elif:FS>{Иномерная}<elif:NS>{Иномерное}<elif:MP>{Иномерные}<elif:FP>{Иномерные}<elif:NP>{Иномерные}","<if:MS>{ Interdimensional}<elif:FS>{ Interdimensional}<elif:MP>{ Interdimensionales}<elif:FP>{ Interdimensionales}","Interdimensional","跨維度","","","","","","","","","",""
21,1,"Celestial","[960,0]","[1000,0]",848763665,"Celestial","<if:MS>{ céleste}<elif:FS>{ céleste}<elif:NS>{NONEXISTENT}<elif:MP>{ célestes}<elif:FP>{ célestes}<elif:NP>{NONEXISTENT}","<if:MS>{Himmlischer }<elif:FS>{Himmlische }<elif:NS>{Himmlisches }<elif:MP>{Himmlische }<elif:FP>{Himmlische }<elif:NP>{Himmlische }","天体の","천공","<if:MS>{Celestial}<elif:FS>{Celestial}<elif:NS>{Celestial}<elif:MP>{Celestiais}<elif:FP>{Celestiais}<elif:NP>{Celestiais}","<if:MS>{Небесный}<elif:FS>{Небесная}<elif:NS>{Небесное}<elif:MP>{Небесные}<elif:FP>{Небесные}<elif:NP>{Небесные}","<if:MS>{ Celestial}<elif:FS>{ Celestial}<elif:MP>{ Celestiales}<elif:FP>{ Celestiales}","Celestial","星際","","","","","","","","","",""
22,1,"Cosmic","[960,0]","[1000,0]",66409243,"Cosmic","<if:MS>{ cosmique}<elif:FS>{ cosmique}<elif:NS>{NONEXISTENT}<elif:MP>{ cosmiques}<elif:FP>{ cosmiques}<elif:NP>{NONEXISTENT}","<if:MS>{Kosmischer }<elif:FS>{Kosmische }<elif:NS>{Kosmisches }<elif:MP>{Kosmische }<elif:FP>{Kosmische }<elif:NP>{Kosmische }","宇宙の","우주의","<if:MS>{Cósmico}<elif:FS>{Cósmica}<elif:NS>{Cósmico}<elif:MP>{Cósmicos}<elif:FP>{Cósmicas}<elif:NP>{Cósmicos}","<if:MS>{Космический}<elif:FS>{Космическая}<elif:NS>{Космическое}<elif:MP>{Космические}<elif:FP>{Космические}<elif:NP>{Космические}","<if:MS>{ Cósmico}<elif:FS>{ Cósmica}<elif:MP>{ Cósmicos}<elif:FP>{ Cósmicas}","Cosmic","宇宙","","","","","","","","","",""
23,1,"Planar","[960,0]","[1000,0]",-816896548,"Planar","<if:MS>{ planaire}<elif:FS>{ planaire}<elif:NS>{NONEXISTENT}<elif:MP>{ planaires}<elif:FP>{ planaires}<elif:NP>{NONEXISTENT}","<if:MS>{Planarer }<elif:FS>{Planare }<elif:NS>{Planares }<elif:MP>{Planare }<elif:FP>{Planare }<elif:NP>{Planare }","平面の","행성의","<if:MS>{Planar}<elif:FS>{Planar}<elif:NS>{Planar}<elif:MP>{Planares}<elif:FP>{Planares}<elif:NP>{Planares}","<if:MS>{Планарный}<elif:FS>{Планарная}<elif:NS>{Планарное}<elif:MP>{Планарные}<elif:FP>{Планарные}<elif:NP>{Планарные}","<if:MS>{ Planar}<elif:FS>{ Planar}<elif:MP>{ Planares}<elif:FP>{ Planares}","Planar","平面","","","","","","","","","",""
24,1,"Otherworldly","[960,0]","[1000,0]",385666551,"Otherworldly"," d'un autre monde","<if:MS>{Außerweltlicher }<elif:FS>{Außerweltliche }<elif:NS>{Außerweltliches }<elif:MP>{Außerweltliche }<elif:FP>{Außerweltliche }<elif:NP>{Außerweltliche }","異世界の","이계의","<if:MS>{Sobrenatural}<elif:FS>{Sobrenatural}<elif:NS>{Sobrenatural}<elif:MP>{Sobrenaturais}<elif:FP>{Sobrenaturais}<elif:NP>{Sobrenaturais}","<if:MS>{Потусторонний}<elif:FS>{Потусторонняя}<elif:NS>{Потустороннее}<elif:MP>{Потусторонние}<elif:FP>{Потусторонние}<elif:NP>{Потусторонние}","<if:MS>{ de Otro mundo}<elif:FS>{ de Otro mundo}<elif:MP>{ de Otro mundo}<elif:FP>{ de Otro mundo}","Otherworldly","超凡","","","","","","","","","",""
25,1,"Transcendental","[960,0]","[1000,0]",249636521,"Transcendental","<if:MS>{ transcendental}<elif:FS>{ transcendentale}<elif:NS>{NONEXISTENT}<elif:MP>{ transcendentaux}<elif:FP>{ transcendentales}<elif:NP>{NONEXISTENT}","<if:MS>{Überirdischer }<elif:FS>{Überirdische }<elif:NS>{Überirdisches }<elif:MP>{Überirdische }<elif:FP>{Überirdische }<elif:NP>{Überirdische }","超越的な","초월한","<if:MS>{Transcendental}<elif:FS>{Transcendental}<elif:NS>{Transcendental}<elif:MP>{Transcendentais}<elif:FP>{Transcendentais}<elif:NP>{Transcendentais}","<if:MS>{Непостижимый}<elif:FS>{Непостижимая}<elif:NS>{Непостижимое}<elif:MP>{Непостижимые}<elif:FP>{Непостижимые}<elif:NP>{Непостижимые}","<if:MS>{ Trascendental}<elif:FS>{ Trascendental}<elif:MP>{ Trascendentales}<elif:FP>{ Trascendentales}","Transcendental","卓越","","","","","","","","","",""
26,1,"Mythic","[960,0]","[1000,0]",-548835700,"Mythic","<if:MS>{ mythique}<elif:FS>{ mythique}<elif:NS>{NONEXISTENT}<elif:MP>{ mythiques}<elif:FP>{ mythiques}<elif:NP>{NONEXISTENT}","<if:MS>{Mythischer }<elif:FS>{Mythische }<elif:NS>{Mythisches }<elif:MP>{Mythische }<elif:FP>{Mythische }<elif:NP>{Mythische }","神話の","신화의","<if:MS>{Mítico}<elif:FS>{Mítica}<elif:NS>{Mítico}<elif:MP>{Míticos}<elif:FP>{Míticas}<elif:NP>{Míticos}","<if:MS>{Фантастический}<elif:FS>{Фантастическая}<elif:NS>{Фантастическое}<elif:MP>{Фантастические}<elif:FP>{Фантастические}<elif:NP>{Фантастические}","<if:MS>{ Mítico}<elif:FS>{ Mítica}<elif:MP>{ Míticos}<elif:FP>{ Míticas}","Mythic","神話","","","","","","","","","",""
27,1,"Malevolent","[116,978,0]","[1000,1000,0]",-670448055,"Malevolent","<if:MS>{ malfaisant}<elif:FS>{ malfaisante}<elif:NS>{NONEXISTENT}<elif:MP>{ malfaisants}<elif:FP>{ malfaisantes}<elif:NP>{NONEXISTENT}","<if:MS>{Heimtückischer}<elif:FS>{Heimtückische}<elif:NS>{Heimtückisches}<elif:MP>{Heimtückische}<elif:FP>{Heimtückische}<elif:NP>{Heimtückische}","Malevolent","심술궂은","Malevolente","<if:MS>{Злорадный}<elif:FS>{Злорадная}<elif:NS>{Злорадное}<elif:MP>{Злорадные}<elif:FP>{Злорадные}<elif:NP>{Злорадные}","<if:MS>{ Malévolo}<elif:FS>{ Malévola}<elif:MP>{ Malévolos}<elif:FP>{ Malévolas}","Malevolent","惡意","","","","","","","","","",""
28,1,"Pernicious","[116,978,0]","[1000,1000,0]",1233649985,"Pernicious","<if:MS>{ pernicieux}<elif:FS>{ pernicieuse}<elif:NS>{NONEXISTENT}<elif:MP>{ pernicieux}<elif:FP>{ pernicieuses}<elif:NP>{NONEXISTENT}","<if:MS>{Bösartiger}<elif:FS>{Bösartige}<elif:NS>{Bösartiges}<elif:MP>{Bösartige}<elif:FP>{Bösartige}<elif:NP>{Bösartige}","Pernicious","유해한","Pernicioso","<if:MS>{Гибельный}<elif:FS>{Гибельная}<elif:NS>{Гибельное}<elif:MP>{Гибельные}<elif:FP>{Гибельные}<elif:NP>{Гибельные}","<if:MS>{ Pernicioso}<elif:FS>{ Perniciosa}<elif:MP>{ Perniciosos}<elif:FP>{ Perniciosas}","Pernicious","邪惡","","","","","","","","","",""
