"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTiers","bool","Bosses","Radius","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool","Achievements","TextAudio","UniqueMapMod"
10,"FlamespitterDaemon3","[12,22]",[],[],33,[9],"",[],0,"Raging Dead III","Défunts enragés III","Höllenschädel III","怒れる死者 III","격노하는 시체 III","Mortos Furiosos III","Неистовый мертвец III","Muertos encolerizados III","ศพเดือดดาล ระดับ 3","憤怒亡者 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",6748,[],0,5237,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 여러 개 나타나서 당신을 따라다니다가 근처에 오면 불을 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo Fogo quando próximos de você","Появится множество черепов, которые будут преследовать вас и изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán fuego cuando estén cerca de ti","กะโหลกจำนวนมากจะปรากฏและตามติดคุณ และพ่น ไฟ เมื่ออยู่ใกล้คุณ","若你持續待在附近，會出現追著你的骷髏並噴火",[],"","[7896,7826]",11247,31487
11,"FlamespitterDaemon1Trial",[12],[],[],34,[],"",[],0,"Raging Dead","Défunts enragés","Höllenschädel","怒れる死者","격노하는 시체","Mortos Furiosos","Неистовый мертвец","Muertos encolerizados","ศพเดือดดาล ระดับ 1","憤怒亡者","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",28673,[],0,5237,[],1,0,"Skulls will appear that spit Fire if you remain near them","Des crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く髑髏が出現する","해골이 나타납니다. 플레이어가 근처에 있으면 불을 뱉습니다.","Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появятся черепа, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลกจะปรากฏ และพ่น ไฟ หากคุณยืนอยู่ใกล้มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11235,""
12,"FlamespitterDaemon2Trial","[12,22]",[],[],35,[11],"",[],0,"Raging Dead II","Défunts enragés II","Höllenschädel II","怒れる死者 II","격노하는 시체 II","Mortos Furiosos II","Неистовый мертвец II","Muertos encolerizados II","ศพเดือดดาล ระดับ 2","憤怒亡者 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",38306,[],0,5237,[],2,0,"Many skulls will appear that spit Fire if you remain near them","De nombreux crânes apparaissent.\r\nCes crânes crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が出現する","해골이 많이 나타납니다. 플레이어가 근처에 있으면 불을 뱉습니다.","Vários Crânios aparecerão e cuspirão Fogo se você permanecer próximo deles","Появится множество черепов, которые будут изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que escupirán fuego si permaneces cerca de ellas","กะโหลกจำนวนมากจะปรากฏ และพ่น ไฟ หากคุณยืนอยู่ใกล้มัน","若你持續待在附近，會出現骷髏並噴火",[],"",[7826],11241,""
13,"FlamespitterDaemon3Trial","[12,22]",[],[],36,[12],"",[],0,"Raging Dead III","Défunts enragés III","Höllenschädel III","怒れる死者 III","격노하는 시체 III","Mortos Furiosos III","Неистовый мертвец III","Muertos encolerizados III","ศพเดือดดาล ระดับ 3","憤怒亡者 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",49977,[],0,5237,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you","De nombreux crânes apparaissent.\r\nCes crânes vous pourchassent et crachent du feu si vous restez près d'eux.","Es erscheinen viele Schädel, die Euch verfolgen und Feuer spucken, wenn Ihr in der Nähe seid","近くにいると火を吐く複数の髑髏が定期的に出現し、プレイヤーを追跡する","해골이 많이 나타납니다. 플레이어를 따라가다가 근처에 가면 불을 뱉습니다.","Vários Crânios aparecerão e o perseguirão cuspindo Fogo quando próximos de você","Появится множество черепов, которые будут преследовать вас и изрыгать огонь, если вы будете стоять рядом с ними","Aparecerán muchas calaveras que te perseguirán y escupirán fuego cuando estén cerca de ti","กะโหลกจำนวนมากจะปรากฏและตามติดคุณ และพ่น ไฟ เมื่ออยู่ใกล้คุณ","若你持續待在附近，會出現追著你的骷髏並噴火",[],"","[7896,7826]",11247,""
14,"FrostInfectionDaemon1",[13],[],[],37,[],"",[],0,"Blistering Cold","Engelures instables","Eisige Kälte","猛烈な氷泡","맹렬한 냉기","Frio Escaldante","Обжигающий холод","Frío glacial","ความเย็นพุพอง ระดับ 1","極凍","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",13648,[],0,5425,[],1,0,"Frozen pustules will periodically appear and explode when you approach","Des pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules explosent lorsque vous vous en approchez.","Es erscheinen regelmäßig eisige Pusteln, die explodieren, wenn Ihr Euch nähert","凍った膿疱が定期的に出現し、近づくと爆発する","얼어붙은 농포가 주기적으로 나타나, 당신이 접근하면 폭발합니다.","Pústulas congeladas aparecerão periodicamente e explodirão quando você se aproximar","Периодически будут появляться замороженные пустулы, взрывающиеся при вашем приближении","Periódicamente aparecerán pústulas congeladas que explotarán cuando te acerques a ellas","ตุ่มหนองเยือกแข็งจะปรากฏเป็นระยะ และจะระเบิดเมื่อคุณเข้าใกล้","冰凍的膿瘡會持續出現，當你靠近時爆炸",[],"",[7827],11256,31488
15,"FrostInfectionDaemon2","[13,22]",[],[],38,[14],"",[],0,"Blistering Cold II","Engelures instables II","Eisige Kälte II","猛烈な氷泡 II","맹렬한 냉기 II","Frio Escaldante II","Обжигающий холод II","Frío glacial II","ความเย็นพุพอง ระดับ 2","極凍 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",62444,[],0,5425,[],2,0,"Many frozen pustules will periodically appear and rapidly explode when you approach","De nombreuses pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules explosent rapidement lorsque vous vous en approchez.","Es erscheinen regelmäßig viele eisige Pusteln, die explodieren, wenn Ihr Euch nähert","複数の凍った膿疱が定期的に出現し、近づくと即座に爆発する","얼어붙은 농포 여러 개가 주기적으로 나타나, 당신이 접근하면 빠르게 폭발합니다.","Mais Pústulas congeladas aparecerão periodicamente e explodirão rapidamente quando você se aproximar","Периодически будет появляться множество замороженных пустул, стремительно взрывающихся при вашем приближении","Periódicamente aparecerán muchas pústulas congeladas que explotarán rápidamente cuando te acerques a ellas","ตุ่มหนองเยือกแข็งจำนวนมากจะปรากฏเป็นระยะ และจะระเบิดถี่ๆ เมื่อคุณเข้าใกล้","許多冰凍的膿瘡會持續出現，當你靠近時迅速爆炸",[],"",[7827],11259,31488
16,"FrostInfectionDaemon3","[13,22]",[],[],39,[15],"",[],0,"Blistering Cold III","Engelures instables III","Eisige Kälte III","猛烈な氷泡 III","맹렬한 냉기 III","Frio Escaldante III","Обжигающий холод III","Frío glacial III","ความเย็นพุพอง ระดับ 3","極凍 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",28497,[],0,5425,[],3,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach","De nombreuses pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules vous Frigorifient et explosent rapidement lorsque vous vous en approchez.","Es erscheinen regelmäßig viele eisige Pusteln, die Euch unterkühlen und schnell explodieren, wenn Ihr Euch nähert","複数の凍った膿疱が定期的に出現し、冷却を付与すると共に近づくと即座に爆発する","얼어붙은 농포 여러 개가 주기적으로 나타나, 당신을 냉각시키고 당신이 접근하면 빠르게 폭발합니다.","Várias Pústulas congeladas aparecerão periodicamente, o resfriarão e explodirão rapidamente quando você se aproximar","Периодически будет появляться множество замороженных пустул, охлаждающих вас и стремительно взрывающихся при вашем приближении","Periódicamente aparecerán muchas pústulas congeladas que te escarcharán y explotarán rápidamente cuando te acerques a ellas","ตุ่มหนองเยือกแข็งจำนวนมากจะปรากฏเป็นระยะ ทำให้คุณได้รับสถานะ หนาวเย็น และจะระเบิดถี่ๆ เมื่อคุณเข้าใกล้","許多冰凍的膿瘡會持續出現冰緩你，當你靠近時迅速爆炸",[],"","[7897,7827]",11265,31488
17,"GraveyardDaemon1",[14],[],[15],40,[],"",[],0,"Restless Ground","Terre tourmentée","Aufgewühlter Boden","眠らぬ大地","쉬지 못하는 흙","Solo Agitado","Беспокойная земля","Tierra agitada","พื้นเฮี้ยน ระดับ 1","躁動地面","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",27548,[],0,5237,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","Des surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 지대가 1개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 환영으로 부활합니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas","Появятся участки нечистой земли, сковывающие игроков и воскрешающие убитых монстров в виде призраков","Aparecerán zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้นเสื่่อมสักการะ จำนวนหนึ่งจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี","出現數道邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11310,31489
18,"GraveyardDaemon2","[14,22]",[],[15],41,[17],"",[],0,"Restless Ground II","Terre tourmentée II","Aufgewühlter Boden II","眠らぬ大地 II","쉬지 못하는 흙 II","Solo Agitado II","Беспокойная земля II","Tierra agitada II","พื้นเฮี้ยน ระดับ 2","躁動地面 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",63601,[],0,5237,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 환영으로 부활합니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e farão com que os Monstros mortos ressuscitem como Fantasmas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้นเสื่่อมสักการะ จำนวนมากจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11202,31489
19,"GraveyardDaemon3","[14,22,26]",[],[15],42,[18],"",[],0,"Restless Ground III","Terre tourmentée III","Aufgewühlter Boden III","眠らぬ大地 III","쉬지 못하는 흙 III","Solo Agitado III","Беспокойная земля III","Tierra agitada III","พื้นเฮี้ยน ระดับ 3","躁動地面 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",43644,[],0,5237,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとウルティメイタムに失敗する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 파탄을 유발하는 환영으로 부활합니다.\r\n파탄이 7중첩 시 실패합니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas que infligen Ruina\r\nFallas si alcanzas 7 de Ruina","พื้นเสื่่อมสักการะ จำนวนมากจะปรากฏ ซึ่งสร้างสถานะ ขัดขวาง ต่อผู้เล่น และทำให้มอนสเตอร์ที่ถูกสังหารถูกชุบชีวิตขึ้นมาเป็น ผี ที่สร้างสถานะ ย่อยยับ\r\nล้มเหลวเมื่อมีสถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"","[7898,7828]",11148,31489
