"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName (English)","SupportSkillName (French)","SupportSkillName (German)","SupportSkillName (Japanese)","SupportSkillName (Korean)","SupportSkillName (Portuguese)","SupportSkillName (Russian)","SupportSkillName (Spanish)","SupportSkillName (Thai)","SupportSkillName (Traditional Chinese)","IsSupport","bool","bool","bool","bool","bool","AwakenedVariant","RegularVariant","GrantedEffectHardMode","rid","i32","ItemExperienceType","[rid]"
14,6228,8323,100,0,0,"[9,25,13,14,24,40,7]","",1,"","","","","","","","","","","",8319,"","","","","","","","","","","","","","","",1,1,"","","","",1,0,[0]
15,6014,166,60,40,0,"[9,25,13,14,33,7]",6719,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,0,[0]
16,6015,187,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","",188,"",1,3,[0]
17,6016,234,100,0,0,"[27,9,25,14,15]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,3,[0]
18,6017,244,0,100,0,"[10,25,13,7,36,33]",6234,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
19,6234,8317,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","","","","","","","","","","",244,"","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
20,6018,5242,40,60,0,"[10,25,13,14,33,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,4,[0]
21,6019,252,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,4,[0]
22,6020,264,100,0,0,"[9,25,4,15,34]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,10,[0]
23,6222,266,100,0,0,"[9,25,4,15,24,34]","",1,"","","","","","","","","","","",264,"","","","","","","","","","","","","","","",1,1,"","","","",1,10,[0]
24,6021,270,40,60,0,"[47,10,25,13,7,36]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
25,6022,281,0,60,40,"[10,25,13,22,35,7]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","",282,"",2,3,[0]
26,6023,316,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,5,[0]
27,6026,322,0,60,40,"[10,25,4,14,0]",6227,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,1,[0]
28,6227,8318,0,60,40,"[10,25,4,14,24,0]","",1,"","","","","","","","","","","",322,"","","","","","","","","","","","","","","",1,1,"","","","",2,1,[0]
29,6027,7590,0,60,40,"[10,25,4,14,0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,4,[0]
30,6028,7599,0,60,40,"[10,25,4,5,14,33]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,3,[0]
31,6029,340,0,100,0,"[10,25,13,5,6]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,3,[0]
32,6034,341,0,100,0,"[10,25,13,5,33,6]",6733,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
33,6035,540,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13710,"","","","","","","","","","","","",1,"","","",1,1,435,"","","",1,2,[0]
34,6036,541,0,100,0,"[13,10,16]","","","Supports attack skills.","Modifie les aptitudes d'attaque.","Unterstützt Angriffsfertigkeiten.","アタックスキルをサポートする。","공격 스킬에 적용됩니다.","Suporta habilidades de ataque.","Усиливает умения атак.","Asiste habilidades de ataque.","ใช้เสริม สกิลโจมตี","輔助攻擊技能。",13805,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,2,[0]
35,6037,543,0,100,0,"[10,16,5]","","","Supports projectile skills.","Modifie les aptitudes à projectiles.","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลกระสุน","輔助投射物技能。",13749,"","","","","","","","","","","","",1,"","","",1,1,452,"","","",2,11,[0]
36,6038,545,0,100,0,"[10,16,5]","","","Supports projectile skills.","Modifie les aptitudes à projectiles.","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลกระสุน","輔助投射物技能。",13737,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,2,[0]
37,6040,547,0,100,0,"[10,16,5]","","","Supports projectile skills.","Modifie les aptitudes à projectiles.","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลกระสุน","輔助投射物技能。",13725,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,9,[0]
38,6041,549,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13714,"","","","","","","","","","","","",1,"","","",1,1,445,"","","",2,2,[0]
39,6042,551,40,60,0,"[13,10,16]","","","Supports attack skills.","Modifie les aptitudes d'attaque.","Unterstützt Angriffsfertigkeiten.","アタックスキルをサポートする。","공격 스킬에 적용됩니다.","Suporta habilidades de ataque.","Усиливает умения атак.","Asiste habilidades de ataque.","ใช้เสริม สกิลโจมตี","輔助攻擊技能。",13716,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,2,[0]
40,6043,552,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.","Modifie toutes les aptitudes avec une zone d'effet.","Unterstützt Wirkungsbereichsfertigkeiten.","効果範囲を持つスキルをサポートする。","효과 범위에 해당하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade com uma Área de Efeito.","Усиливает любое умение с областью действия.","Asiste cualquier habilidad con un efecto de área.","ใช้เสริมสกิลที่มีพื้นที่ส่งผล","輔助任何範圍效果的技能。",13733,"","","","","","","","","","","","",1,"","","",1,1,463,"","","",3,11,[0]
41,6044,554,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13813,"","","","","","","","","","","","",1,"","","",1,1,457,"","","",3,2,[0]
42,6024,8248,0,40,60,"[11,25,4,14,1,15]",6230,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,5,[0]
43,6230,8255,0,40,60,"[11,25,4,14,15,24,1]","",1,"","","","","","","","","","","",8248,"","","","","","","","","","","","","","","",1,1,"","","","",3,5,[0]
44,6025,575,0,0,100,"[11,25,4,8]","","","","","","","","","","","","","","",10239,"","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
45,6030,587,0,100,0,"[10,25,13,5,14,15,3,6]",6721,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
46,6045,600,0,0,100,"[11,25,4,14]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,3,[0]
47,6046,601,0,100,0,"[10,25,4,15,33]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,5,[0]
48,6048,605,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,3,[0]
49,6049,606,40,0,60,"[11,25,4,14,0]",6247,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,5,[0]
50,6247,8331,40,0,60,"[11,25,4,14,0,24,15]","",1,"","","","","","","","","","","",606,"","","","","","","","","","","","","","","",1,1,"","","","",3,5,[0]
51,6050,649,0,0,100,"[11,25,4,15,0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,3,[0]
52,6051,650,0,0,100,"[11,25,4,14,0,1,2,38]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,8,[0]
53,6052,655,33,33,34,"[29,25,4]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",4,12,[0]
54,6248,656,33,33,34,"[29,25,4,24]","",1,"","","","","","","","","","","",655,"","","","","","","","","","","","","","","",1,1,"","","","",4,12,[0]
55,6053,657,60,0,40,"[47,9,16]","","","Supports any skill. Minions, Totems, Traps and Mines cannot gain Inspiration Charges.","Modifie toutes les aptitudes. Les Créatures, les Totems, les Pièges et les Mines ne peuvent pas gagner de Charges d'inspiration.","Unterstützt jede Fertigkeit. Kreaturen, Totems, Fallen und Minen können keine Inspirations-Ladungen erhalten.","全てのスキルをサポートする。ミニオン、トーテム、トラップおよびマインはインスピレーションチャージを獲得できない。","모든 스킬에 적용됩니다.","Suporta qualquer habilidade. Lacaios, Totens, Armadilhas e Minas não podem ganhar Cargas de Inspiração.","Усиливает любое умение. Приспешники, тотемы, ловушки и мины не могут получить заряды вдохновения.","Asiste cualquier habilidad. Los esbirros, los tótems, las trampas y las minas no pueden ganar cargas de inspiración.","ใช้เสริมสกิลทุกชนิด มิเนียน, โทเทม, กับดัก, ทุ่นระเบิด ไม่สามารถรับ Inspiration Charge ได้","輔助任何技能。召喚物、圖騰、陷阱和地雷無法獲得啟發球。",13715,"","","","","","","","","","","","",1,"","","",1,1,"","","","",1,9,[0]
56,6054,662,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13750,"","","","","","","","","","","","",1,"","","",1,1,"","","","",3,2,[0]
57,6055,664,0,0,100,"[47,11,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13739,"","","","","","","","","","","","",1,"","","",1,1,"","","","",3,6,[0]
58,6056,665,100,0,0,"[9,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13734,"","","","","","","","","","","","",1,"","","",1,1,"","","","",1,2,[0]
59,6057,667,100,0,0,"[9,16]","","","Supports any skill that hits enemies, causing those hits to leech life based on damage dealt.","Modifie toutes les aptitudes qui touchent les ennemis, leur permettant de drainer de la vie en fonction des dégâts infligés.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen. Diese Treffer rauben Leben, basierend auf ihrem verursachten Schaden.","敵にヒットを与えるスキル全てをサポートし、そのヒットが与えたダメージに応じてライフをリーチするようになる。","적을 명중하는 모든 스킬에 적용되며 명중 시 적에게 준 피해에 비례하여 생명력을 흡수합니다.","Suporta habilidades de ataque que acertam inimigos, fazendo com que tais acertos drenem vida baseado no dano causado.","Усиливает любое умение, наносящее удары по врагам. Усиленное умение похищает здоровье на основании нанесенного урона.","Asiste cualquier habilidad que golpee enemigos, lo que causa que esos golpes absorban vida basándose en el daño infligido.","ใช้เสริมสกิลที่ปะทะศัตรู ทำให้การปะทะนั้นดูด พลังชีวิต ตามความเสียหายที่สร้าง","輔助任何可擊中敵人的技能，根據擊中傷害偷取生命。",13722,"","","","","","","","","","","","",1,"","","",1,1,"","","","",1,9,[0]
60,6058,669,0,100,0,"[10,16]","","","Supports attack skills that hit enemies, causing those hits to leech mana based on damage dealt.","Modifie toutes les aptitudes d'attaque qui touchent les ennemis, leur permettant de drainer du mana en fonction des dégâts infligés.","Unterstützt Angriffsfertigkeiten, die Treffer bei Gegnern verursachen. Diese Treffer rauben Mana, basierend auf ihrem verursachten Schaden.","敵にヒットを与えるスキル全てをサポートし、そのヒットが与えたダメージに応じてマナをリーチするようになる。","적을 명중하는 모든 공격 스킬에 적용되며 명중 시 적에게 준 피해에 비례하여 마나를 흡수합니다.","Suporta habilidades de ataque que acertam inimigos, fazendo com que tais acertos drenem mana baseado no dano causado.","Усиливает умения атак, наносящие удары по врагам. Усиленное умение похищает ману на основании нанесенного урона.","Asiste habilidades de ataque que golpeen enemigos, lo que causa que esos golpes absorban maná basándose en el daño infligido.","ใช้เสริม สกิลโจมตี ที่ปะทะศัตรู ทำให้การปะทะนั้นดูด มานา ตามความเสียหายที่สร้าง","輔助任何可擊中敵人的攻擊技能，根據擊中傷害偷取魔力。",13713,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,9,[0]
61,6059,670,0,0,100,"[3,11,16]","","","Supports any skill that hits enemies.","Modifie toutes les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。",13814,"","","","","","","","","","","","",1,"","","",1,1,456,"","","",3,9,[0]
62,6061,671,0,60,40,"[10,25,13,7,36]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
63,6062,672,0,100,0,"[10,25,13,7,36,22,15]",6716,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,3,[0]
64,6716,680,0,100,0,"[10,25,13,7,36,22,24,15]","",1,"","","","","","","","","","","",672,"","","","","","","","","","","","","","","",1,1,"","","","",2,3,[0]
65,6063,819,0,0,100,"[11,25,4,5,15,2]",6218,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
66,6218,3011,0,0,100,"[11,25,4,5,15,24,2]","",1,"","","","","","","","","","","",819,"","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
67,6132,5168,0,0,0,"[16,26]","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","",1,1,"","","","",4,12,[0]
68,6064,833,100,0,0,"[9,16]","","","Supports any skill that hits enemies, making it easier to stun enemies with those skills.","Modifie toutes les aptitudes qui touchent les ennemis, leur permettant d'étourdir plus facilement les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen und erleichtert das Betäuben von Gegnern mit dieser Fertigkeit.","敵にヒットを与えるスキル全てをサポートし、そのスキルで敵をスタンしやすくする。","적을 명중하는 모든 스킬에 적용되어 적을 더 쉽게 기절시킬 수 있습니다.","Suporta qualquer habilidade que acerta inimigos, facilitando atordoá-los com essas habilidades.","Усиливает любое умение, наносящее удары по врагам. Усиленными умениями проще оглушить врагов.","Asiste cualquier habilidad que golpee enemigos, con lo que se hace más fácil aturdir enemigos con esas habilidades.","ใช้เสริมสกิลที่ปะทะศัตรู ทำให้สกิลเหล่านี้สร้างสถานะ มึนงง ต่อศัตรูได้ง่ายขึ้น","輔助任何可擊中敵人的技能，讓技能更容易暈眩敵人。",13728,"","","","","","","","","","","","",1,"","","",1,1,"","","","",1,2,[0]
69,6065,835,0,0,100,"[47,11,25,4,5,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,4,[0]
70,6066,851,0,100,0,"[10,16,5]","","","Supports projectile skills.","Modifie les aptitudes à projectiles.","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลกระสุน","輔助投射物技能。",13804,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,1,[0]
71,6067,852,0,60,40,"[10,16,20]","","","Supports spells, or attacks that use bows or wands. Instead of using that skill, you will throw a trap that will use the skill for you when an enemy walks near it. Traps cannot use channelling skills.","Modifie les sorts et les attaques qui utilisent les arcs ou les baguettes. Au lieu d'utiliser cette aptitude, vous lancez un piège qui utilisera l'aptitude à votre place lorsqu'un ennemi le déclenchera. Les pièges ne peuvent pas utiliser les aptitudes canalisées.","Unterstützt Zauber oder Angriffe, die mit Bögen oder Zauberstäben ausgeführt werden. Anstatt die Fertigkeit direkt zu nutzen, wird eine Falle geworfen, die diese Fertigkeit benutzt, sobald sich ihr ein Gegner nähert. Fallen können keine Kanalisierungsfertigkeiten nutzen.","スペルまたは弓・ワンドを使用するアタックをサポートする。スキルを使用する代わりに、敵が近づくとそのスキルを発動するトラップを投げる。トラップはチャネリングスキルを使用することはできない。","주문 또는 활이나 마법봉을 사용하는 스킬에 적용됩니다. 스킬 사용 시 덫이 투척되며 이 덫은 주변에 적이 지나가면 스스로 스킬을 사용합니다. 단, 집중 유지 스킬은 사용할 수 없습니다.","Suporta magias ou ataques que usem arcos ou varinhas. Em vez de usar aquela habilidade, você lançará uma armadilha que usará a habilidade no seu lugar quando um inimigo caminhar sobre ela. Armadilhas não podem utilizar habilidades canalizadoras.","Усиливает чары или атаки, использующие луки или жезлы. Вместо использования этого умения вы будете бросать ловушку, которая будет использовать это умение, если поблизости окажется враг. Ловушки не могут использовать поддерживаемые умения.","Asiste hechizos o ataques que usen arcos o varitas. En vez de usar esa habilidad, lanzarás una trampa que usará la habilidad por ti cuando un enemigo camine cerca de ella. Las trampas no pueden usar habilidades de canalización.","ใช้เสริม สกิลเวท หรือสกิลโจมตีที่ใช้ ธนูหรือไม้กายสิทธิ์ เปลี่ยนจากการใช้สกิลแบบปกติ เป็นการโยนกับดักที่ใช้สกิลนั้นให้กับคุณเมื่อศัตรูเดินเข้ามาใกล้ กับดักไม่สามารถใช้ สกิลแชนเนล ได้","輔助法術或使用弓和法杖的攻擊。不再使用技能而是投擲陷阱，當敵人靠近時陷阱會觸發技能。陷阱不能使用引導時施放技能。",13743,"","","","","","","","","","","","",1,"","","",1,1,"","","","",2,2,[0]
72,6068,854,0,0,100,"[11,25,4,8]","","","","","","","","","","","","","","",10238,"","","","","","","","","","","","","","",1,1,"","","","",3,8,[0]
73,6069,8321,100,0,0,"[9,25,13,14,7,36,0,15]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,4,[0]
74,6070,863,100,0,0,"[9,25,13,7,36,1]",6235,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,0,[0]
75,6235,870,100,0,0,"[9,25,13,7,36,15,14,24,1]","",1,"","","","","","","","","","","",863,"","","","","","","","","","","","","","","",1,1,"","","","",1,0,[0]
76,6071,880,0,0,100,"[11,25,4,15,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,1,[0]
77,6072,890,0,0,100,"[11,25,4,5,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,0,[0]
78,6073,905,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,8,[0]
79,6074,4320,0,0,100,"[11,25,4,14,2,38]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,8,[0]
80,6075,941,0,100,0,"[10,25,13,15,7,36,3]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,0,[0]
81,6076,4663,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,8,[0]
82,6077,4663,0,100,0,"[10,25,4,15,22,33,35]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,10,[0]
83,6078,950,100,0,0,"[7,33,9,16,13]","","","Supports melee attack skills.","Modifie les aptitudes d'attaque de mêlée.","Unterstützt Nahkampf-Angriffsfertigkeiten.","近接アタックスキルをサポートする。","근접 공격 스킬에 적용됩니다.","Suporta habilidades de ataque corpo a corpo.","Усиливает умения атак ближнего боя.","Asiste habilidades de ataque cuerpo a cuerpo.","ใช้เสริม สกิลโจมตีประชิด","輔助近戰攻擊技能。",13806,"","","","","","","","","","","","",1,"","","",1,1,442,"","","",1,6,[0]
84,6079,951,100,0,0,"[9,16]","","","Supports any skill that can kill enemies.","Modifie toutes les aptitudes qui peuvent tuer les ennemis.","Unterstützt Fertigkeiten, die Gegner töten können.","敵を倒すことのできるスキルをサポートする。","적을 처치하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que pode abater inimigos.","Усиливает любое умение, которое может убить врагов.","Asiste cualquier habilidad que pueda matar enemigos.","ใช้เสริมสกิลที่สังหารศัตรูได้","輔助任何可以擊殺敵人的技能。",13751,"","","","","","","","","","","","",1,"","","",1,1,"","","","",1,7,[0]
85,6080,953,0,0,100,"[11,16]","","","Supports any skill that can kill enemies.","Modifie toutes les aptitudes qui peuvent tuer les ennemis.","Unterstützt Fertigkeiten, die Gegner töten können.","敵を倒すことのできるスキルをサポートする。","적을 처치하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que pode abater inimigos.","Усиливает любое умение, которое может убить врагов.","Asiste cualquier habilidad que pueda matar enemigos.","ใช้เสริมสกิลที่สังหารศัตรูได้","輔助任何可以擊殺敵人的技能。",13752,"","","","","","","","","","","","",1,"","","",1,1,"","","","",3,9,[0]
86,6081,954,0,0,100,"[11,16,4]","","","Supports non-instant spell skills.","Modifie les aptitudes qui sont des sorts non instantanés.","Unterstützt Zauberfertigkeiten (sofort gewirkte ausgenommen).","即座に発動しないスペルをサポートする。","비-즉시 시전 주문 스킬에 적용됩니다.","Suporta habilidades mágicas.","Усиливает не мгновенные чары.","Asiste habilidades de hechizo que no sean instantáneas.","ใช้เสริม สกิลเวท ที่ไม่ส่งผลทันที","輔助非立刻施放的法術技能。",13745,"","","","","","","","","","","","",1,"","","",1,1,"","","","",3,6,[0]
87,6082,956,0,100,0,"[10,25,13,5,14,15,0,6]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,8,[0]
88,6083,980,0,60,40,"[10,25,4,14,15,17,42]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",2,7,[0]
89,6084,1001,0,0,100,"[11,25,4,14,15,17,42]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",3,7,[0]
90,6085,1011,60,40,0,"[9,25,4,17,43]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,5,[0]
91,6086,1018,60,0,40,"[9,25,4,14,15,17,42]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","",1,7,[0]
