"rownum","Id","Function","Arguments","TextAudio","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","BuyAchievements","rid","DealFamily"
14,14,"reroll_mods_lucky","prefix suffix single ignore_max count 5",12011,"Reroll Modifier Values of a single Modifier 5 times, keeping the best outcome.","Tire 5 fois au hasard les Valeurs numériques d'un seul Modificateur, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte eines einzelnen Modifikators 5-mal und behält das beste Ergebnis bei.","一つのモッドの値を5回リロールし、最良の結果を残す。","속성 부여 1개의 속성 부여 수치를 5회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores de um único Modificador 5 vezes, mantendo o melhor resultado.","Изменить значения одного свойства 5 раз, сохранив лучший результат.","Aleatoriza el valor de un modificador 5 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด 1 อย่าง 5 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰單個詞綴的數值 5 次，並保留最佳結果。",[],34,3
15,15,"reroll_mods_lucky","prefix ignore_max count 1",12011,"Reroll Modifier Values of Prefixes.","Tire au hasard les Valeurs numériques des Préfixes.","Verändert die Modifikatorenwerte der Präfixe.","プレフィックスの値をリロールする。","접두어의 속성 부여 수치를 무작위 변경합니다.","Re-rola os Valores de Modificadores dos Prefixos.","Изменить значения префиксов.","Aleatoriza los valores de los mods. de prefijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​พรีฟิกซ์","重骰前綴的數值。",[8076],34,4
16,16,"reroll_mods_lucky","prefix ignore_max count 3",12011,"Reroll Modifier Values of Prefixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Valeurs numériques des Préfixes, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der Präfixe 3-mal und behält das beste Ergebnis bei.","プレフィックスの値を3回リロールし、最良の結果を残す。","접두어의 속성 부여 수치를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Prefixos 3 vezes, mantendo o melhor resultado.","Изменить значения префиксов 3 раза, сохранив лучший результат.","Aleatoriza los valores de los mods. de prefijo 3 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ ​ม็อด​พรีฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴的數值 3 次，並保留最佳結果。",[8076],34,4
17,17,"reroll_mods_lucky","prefix ignore_max count 5",12011,"Reroll Modifier Values of Prefixes 5 times, keeping the best outcome.","Tire 5 fois au hasard les Valeurs numériques des Préfixes, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der Präfixe 5-mal und behält das beste Ergebnis bei.","プレフィックスの値を5回リロールし、最良の結果を残す。","접두어의 속성 부여 수치를 5회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Prefixos 5 vezes, mantendo o melhor resultado.","Изменить значения префиксов 5 раз, сохранив лучший результат.","Aleatoriza los valores de los mods. de prefijo 5 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ ​ม็อด​พรีฟิกซ์ 5 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰前綴的數值 5 次，並保留最佳結果。",[8076],34,4
18,18,"reroll_mods_lucky","suffix ignore_max count 1",12011,"Reroll Modifier Values of Suffixes.","Tire au hasard les Valeurs numériques des Suffixes.","Verändert die Modifikatorenwerte der Suffixe.","サフィックスの値をリロールする。","접미어의 속성 부여 수치를 무작위 변경합니다.","Re-rola os Valores de Modificadores dos Sufixos.","Изменить значения суффиксов.","Aleatoriza los valores de los mods. de sufijo.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ซัฟฟิกซ์","重骰後綴的數值。",[8077],34,5
19,19,"reroll_mods_lucky","suffix ignore_max count 3",12011,"Reroll Modifier Values of Suffixes 3 times, keeping the best outcome.","Tire 3 fois au hasard les Valeurs numériques des Suffixes, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der Suffixe 3-mal und behält das beste Ergebnis bei.","サフィックスの値を3回リロールし、最良の結果を残す。","접미어의 속성 부여 수치를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Sufixos 3 vezes, mantendo o melhor resultado.","Изменить значения суффиксов 3 раза, сохранив лучший результат.","Aleatoriza los valores de los mods. de sufijo 3 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ซัฟฟิกซ์ 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴的數值 3 次，並保留最佳結果。",[8077],34,5
20,20,"reroll_mods_lucky","suffix ignore_max count 5",12011,"Reroll Modifier Values of Suffixes 5 times, keeping the best outcome.","Tire 5 fois au hasard les Valeurs numériques des Suffixes, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der Suffixe 5-mal und behält das beste Ergebnis bei.","サフィックスの値を5回リロールし、最良の結果を残す。","접미어의 속성 부여 수치를 5회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Sufixos 5 vezes, mantendo o melhor resultado.","Изменить значения суффиксов 5 раз, сохранив лучший результат.","Aleatoriza los valores de los mods. de sufijo 5 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ​ ม็อด​ซัฟฟิกซ์ 5 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰後綴的數值 5 次，並保留最佳結果。",[8077],34,5
21,21,"reroll_mods_lucky","implicit ignore_max count 1",12012,"Reroll Modifier Values of Implicits.","Tire au hasard les Valeurs numériques des Implicites.","Verändert die Modifikatorenwerte der impliziten Modifikatoren.","暗黙モッドの値をリロールする。","고정 속성 부여의 속성 부여 수치를 무작위 변경합니다.","Re-rola os Valores de Modificadores dos Implícitos.","Изменить значения собственных свойств.","Aleatoriza los valores de los mods. implícitos.","สุ่ม​ค่าตัวเลข​ของ ​ม็อดแฝง","重骰固定詞綴的數值。",[8078],34,6
22,22,"reroll_mods_lucky","implicit ignore_max count 3",12012,"Reroll Modifier Values of Implicits 3 times, keeping the best outcome.","Tire 3 fois au hasard les Valeurs numériques des Implicites, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der impliziten Modifikatoren 3-mal und behält das beste Ergebnis bei.","暗黙モッドの値を3回リロールし、最良の結果を残す。","고정 속성 부여의 속성 부여 수치를 3회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Implícitos 3 vezes, mantendo o melhor resultado.","Изменить значения собственных свойств 3 раза, сохранив лучший результат.","Aleatoriza los valores de los mods. implícitos 3 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ ​ม็อดแฝง 3 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰固定詞綴的數值 3 次，並保留最佳結果。",[8078],34,6
23,23,"reroll_mods_lucky","implicit ignore_max count 5",12012,"Reroll Modifier Values of Implicits 5 times, keeping the best outcome.","Tire 5 fois au hasard les Valeurs numériques des Implicites, et conserve le meilleur résultat.","Verändert die Modifikatorenwerte der impliziten Modifikatoren 5-mal und behält das beste Ergebnis bei.","暗黙モッドの値を5回リロールし、最良の結果を残す。","고정 속성 부여의 속성 부여 수치를 5회 무작위 변경하여 최선의 결과를 적용합니다.","Re-rola os Valores de Modificadores dos Implícitos 5 vezes, mantendo o melhor resultado.","Изменить значения собственных свойств 5 раз, сохранив лучший результат.","Aleatoriza los valores de los mods. implícitos 5 veces y se queda con el mejor resultado.","สุ่ม​ค่าตัวเลข​ของ ​ม็อดแฝง 5 ครั้ง โดย​เก็บ​ผลลัพธ์​ที่​ดี​ที่สุด","重骰固定詞綴的數值 5 次，並保留最佳結果。",[8078],34,6
24,24,"upgrade_X_mods_to_max_tier","1",12010,"Upgrade the level of a single Modifier to its highest tier.","Améliore un seul Modificateur en lui donnant le Palier le plus élevé possible.","Wertet die Modifikatorenstufe eines einzelnen Modifikators auf den höchsten Level auf.","1つのモッドのレベルを最高ティアまで上昇させる。","속성 부여 1개의 속성 부여 레벨을 최고 등급으로 업그레이드합니다.","Aprimora o nível do Modificador de um único Modificador para seu maior tier.","Повысить уровень одного свойства до его наивысшего уровня.","Mejora el nivel de un modificador a su grado más alto.","อัพเกรด​เลเวล​ของ​ ม็อด 1 อย่าง ​ให้​มี​ระดับ​สูง​ที่สุด","升級單個詞綴的等級至它的最高階。",[8079],34,7
25,25,"upgrade_X_mods_to_max_tier","2",12010,"Upgrade the level of 2 Modifiers to their highest tiers.","Améliore 2 Modificateurs en leur donnant le Palier le plus élevé possible.","Wertet die Modifikatorenstufe von 2 Modifikatoren auf den höchsten Level auf.","2つのモッドのレベルを最高ティアまで上昇させる。","속성 부여 2개의 속성 부여 레벨을 최고 등급으로 업그레이드합니다.","Aprimora o nível de 2 Modificadores para seu maiores tiers.","Повысить уровень двух свойств до наивысших уровней.","Mejora el nivel de 2 modificadores a su grado más alto.","อัพเกรด​เลเวล​ของ ​ม็อด 2 อย่าง​ ให้​มี​ระดับ​สูง​ที่สุด","升級 2 個詞綴的等級至它們的最高階。",[8079],34,7
26,26,"upgrade_X_mods_to_max_tier","6",12010,"Upgrade Modifier level of all Modifiers to their highest tier.","Améliore tous les Modificateurs en leur donnant le Palier le plus élevé possible.","Wertet die Modifikatorenstufe von allen Modifikatoren auf den höchsten Level auf.","全てのモッドのモッドレベルを最高ティアまで上昇させる。","모든 속성 부여의 속성 부여 레벨을 최고 등급으로 업그레이드합니다.","Aprimora o Nível de todos os Modificadores para seu maior tier.","Повысить уровень всех свойств до наивысших уровней.","Aumenta el nivel de todos los modificadores a su grado más alto.","อัพเกรด​เลเวล​ของ ​ม็อด​ทุก​อย่าง​ ให้​มี​ระดับ​สูง​ที่สุด","全部詞綴的等級升級至它們的最高階。",[8079],34,7
27,27,"upgrade_X_mods_to_max_tier","1 only_one_tier",12010,"Upgrade the level of a Modifier by 1 tier.","Améliore d'un niveau le Palier d'un Modificateur.","Wertet die Stufe von einem Modifikatoren um 1 Level auf.","1つのモッドのレベルを1ティア上昇させる。","속성 부여 1개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de um Modificador em 1 tier.","Повысить уровень свойства на 1.","Mejora el nivel de un modificador en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 1 อย่าง 1 ระดับ","1 個詞綴等級提升 1 階級。",[8079],34,8
28,28,"upgrade_X_mods_to_max_tier","2 only_one_tier",12010,"Upgrade the level of 2 Modifiers by 1 tier.","Améliore d'un niveau le Palier de 2 Modificateurs.","Wertet die Stufe von 2 Modifikatoren um 1 Level auf.","2つのモッドのレベルを1ティア上昇させる。","속성 부여 2개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de 2 Modificadores em 1 tier.","Повысить уровень двух свойств на 1.","Mejora el nivel de 2 modificadores en 1 grado.","อัพเกรด​เลเวล​ของ​ ม็อด 2 อย่าง 1 ระดับ","2 個詞綴等級提升 1 階級。",[8079],34,8
29,29,"upgrade_X_mods_to_max_tier","3 only_one_tier",12010,"Upgrade the level of 3 Modifiers by 1 tier.","Améliore d'un niveau le Palier de 3 Modificateurs.","Wertet die Stufe von 3 Modifikatoren um 1 Level auf.","3つのモッドのレベルを1ティア上昇させる。","속성 부여 3개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de 3 Modificadores em 1 tier.","Повысить уровень трёх свойств на 1.","Mejora el nivel de 3 modificadores en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 3 อย่าง 1 ระดับ","3 個詞綴等級提升 1 階級。",[8079],34,8
30,30,"upgrade_X_mods_to_max_tier","4 only_one_tier",12010,"Upgrade the level of 4 Modifiers by 1 tier.","Améliore d'un niveau le Palier de 4 Modificateurs.","Wertet die Stufe von 4 Modifikatoren um 1 Level auf.","4つのモッドのレベルを1ティア上昇させる。","속성 부여 4개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de 4 Modificadores em 1 tier.","Повысить уровень четырёх свойств на 1.","Mejora el nivel de 4 modificadores en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 4 อย่าง 1 ระดับ","4 個詞綴等級提升 1 階級。",[8079],34,8
31,31,"upgrade_X_mods_to_max_tier","5 only_one_tier",12010,"Upgrade the level of 5 Modifiers by 1 tier.","Améliore d'un niveau le Palier de 5 Modificateurs.","Wertet die Stufe von 5 Modifikatoren um 1 Level auf.","5つのモッドのレベルを1ティア上昇させる。","속성 부여 5개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de 5 Modificadores em 1 tier.","Повысить уровень пяти свойств на 1.","Mejora el nivel de 5 modificadores en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 5 อย่าง 1 ระดับ","5 個詞綴等級提升 1 階級。",[8079],34,8
32,32,"upgrade_X_mods_to_max_tier","6 only_one_tier",12010,"Upgrade the level of 6 Modifiers by 1 tier.","Améliore d'un niveau le Palier de 6 Modificateurs.","Wertet die Stufe von 6 Modifikatoren um 1 Level auf.","6つのモッドのレベルを1ティア上昇させる。","속성 부여 6개의 레벨을 1등급 업그레이드합니다.","Aprimora o nível de 6 Modificadores em 1 tier.","Повысить уровень шести свойств на 1.","Mejora el nivel de 6 modificadores en 1 grado.","อัพเกรด​เลเวล​ของ ​ม็อด 6 อย่าง 1 ระดับ","6 個詞綴等級提升 1 階級。",[8079],34,8
33,33,"remove_X_lowest_level_mods","1",12013,"Remove a single Modifier with the lowest Modifier level.","Retire un seul Modificateur dont le Palier est le plus bas.","Entfernt einen einzelnen Modifikator mit der niedrigsten Modifikatorenstufe.","モッドレベルの低いモッドから1つ取り除く。","속성 부여 레벨이 가장 낮은 속성 부여 1개를 제거합니다.","Remove um único Modificador com o menor nível de Modificador.","Удалить одно свойство наименьшего уровня.","Elimina el modificador que tenga el nivel de mod. más bajo.","ลบ​ ม็อด 1 อย่าง​ ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的單個詞綴。",[8080],34,9
34,34,"remove_X_lowest_level_mods","2",12014,"Remove 2 Modifiers with the lowest Modifier levels.","Retire 2 Modificateurs dont le Palier est le plus bas.","Entfernt 2 Modifikatoren mit der niedrigsten Modifikatorenstufe.","モッドレベルが最も低いモッドから2つ取り除く。","속성 부여 레벨이 가장 낮은 속성 부여 2개를 제거합니다.","Remove 2 Modificadores com o menor nível de Modificador.","Удалить два свойства наименьшего уровня.","Elimina los 2 mods. que tengan los niveles de mods. más bajos.","ลบ​ ม็อด 2 อย่าง​ ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的 2 個詞綴。",[8080],34,9
35,35,"remove_X_lowest_level_mods","1",12013,"Remove a single Modifier with the lowest Modifier level.","Retire un seul Modificateur dont le Palier est le plus bas.","Entfernt einen einzelnen Modifikator mit der niedrigsten Modifikatorenstufe.","モッドレベルの低いモッドから1つ取り除く。","속성 부여 레벨이 가장 낮은 속성 부여 1개를 제거합니다.","Remove um único Modificador com o menor nível de Modificador.","Удалить одно свойство наименьшего уровня.","Elimina el modificador que tenga el nivel de mod. más bajo.","ลบ​ ม็อด 1 อย่าง ​ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的單個詞綴。",[8080],34,9
36,36,"remove_X_lowest_level_mods","2",12014,"Remove 2 Modifiers with the lowest Modifier levels.","Retire 2 Modificateurs dont le Palier est le plus bas.","Entfernt 2 Modifikatoren mit der niedrigsten Modifikatorenstufe.","モッドレベルが最も低いモッドから2つ取り除く。","속성 부여 레벨이 가장 낮은 속성 부여 2개를 제거합니다.","Remove 2 Modificadores com o menor nível de Modificador.","Удалить два свойства наименьшего уровня.","Elimina los 2 mods. que tengan los niveles de mods. más bajos.","ลบ​ ม็อด 2 อย่าง​ ที่​มี​เลเวล​ของ​ม็อด​น้อย​ที่สุด","移除最低詞綴等級的 2 個詞綴。",[8080],34,9
37,37,"add_mod_to_rare_highest_of_X","prefix 1",12015,"Add a Prefix Modifier.","Ajoute un Préfixe.","Fügt einen Präfix-Modifikator hinzu.","プレフィックスモッドを追加する。","접두어 속성 부여를 추가합니다.","Adiciona um Modificador Prefixo.","Добавить префикс.","Agrega un modificador de prefijo.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง","新增 1 個前綴。",[8081],34,10
38,38,"add_mod_to_rare_highest_of_X","prefix 3",12016,"Add a Prefix Modifier 3 times, but only keep the best outcome.","Ajoute 3 fois un Préfixe, mais ne conserve que le meilleur résultat.","Fügt 3-mal einen Präfix-Modifikator hinzu, aber behält nur das beste Ergebnis bei.","プレフィックスモッドを3回追加するが、最良の結果のみを残す。","접두어 속성 부여를 3회 추가하여 최선의 결과만 적용합니다.","Adiciona um Modificador Prefixo 3 vezes, mantendo somente o melhor resultado.","Добавить префикс 3 раза, сохранив только лучший результат.","Agrega un modificador de prefijo 3 veces, pero solo se queda con el mejor resultado.","เพิ่ม ม็อด​พรีฟิกซ์ 1 อย่าง 3 ครั้ง แต่​เก็บ​เพียง​ผลลัพธ์​ที่​ดี​ที่สุด","新增 1 個前綴 3 次，但僅保留最佳結果。",[8081],34,10
