"rownum","Id","[rid]_8","[i32]_24","[i32]_40","[i32]_56","Variants","[rid]_88","[i32]_104","[rid]_120","rid_136","[i32]_152","[rid]_168","[i32]_184","[string]_200","i32_216","[rid]_220","[rid]_236"
43,"shock_nova","[178,184]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],339,[],[202],[],[],1000,[],[]
44,"boneshatter",[190],[],[196],[],"[""Default"",""Celestial"",""101 = Skeletal Brute""]",[],"[18079,27572,59801]",[],339,[],"[495,496]",[],[],1000,[],[]
45,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],888,[],[197],[],[],1000,[],[]
46,"flame_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[197],[],[],1000,[],[]
47,"lightning_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[246],[],[],1000,[],[]
48,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],888,[],[196],[],[],1000,[],[]
49,"ice_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[196],[],[],1000,[],[]
50,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],888,[],[195],[],[],1000,[],[]
51,"chaos_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[195],[],[],1000,[],[]
52,"stone_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],339,[],[222],[],[],1000,[],[]
53,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],339,[],[414],[],[],1000,[],[]
54,"cold_snap","[193,200,201,208]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer"",""Blighted"",""Delirium""]",[215],"[18079,37316,62276,18886,5427,25535,16922]",[],339,[],"[32,33]",[],[],1000,[],[]
55,"blood_rage",[215],[],[],[],"[""Default"",""Scavenger""]",[218],"[18079,46158]",[],339,[],[29],[],[],1000,[],[]
56,"lightning_strike","[218,242,248,254,224,230,224,260,266]",[],"[29,0]",[],"[""Default"",""Alternate"",""Myrmidon"",""Vulcan"",""VoidEmperor""]",[220],"[18079,25075,27566,15703,48015]","[105,106]",339,[],"[85,614,628,86]",[],[],1000,[],[]
57,"vortex",[272],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],339,[],"[240,903]",[],[],1000,[],[]
58,"burning_arrow","[276,277]",[],[41],[],"[""Default"",""Mystic""]",[379],"[18079,45462]","[117,118]",339,[],"[107,108]",[],[],1000,[],[]
59,"dash","[280,285,286,287,283,284]",[],"[43,0,0]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon"",""Divergence""]",[],"[18079,28806,44071,55600,8701,27566,58468]",[],339,[],"[403,576,423]",[],[],1000,[],[]
60,"cyclone","[305,322,342,335,336,348]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado"",""Auspicious""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940,45563]",[],339,[],"[129,128]",[],[],1000,[],[]
61,"herald_of_ash","[365,386]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[227,228]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[175],[],[],1000,[],[]
62,"herald_of_ice",[408],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[292],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[176],[],[],1000,[],[]
63,"herald_of_thunder",[387],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[270,314]","[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[177],[],[],1000,[],[]
64,"herald_of_purity","[429,440]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[358],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],339,[],[178],[],[],1000,[],[]
65,"eye_of_winter","[454,458]",[],"[361,0,0,0,362,0]",[],"[""Default"",""Celestial"",""VaalZealot""]",[],"[18079,27572,16732]","[121,125]",339,[],"[499,500]",[],[],1000,[],[]
66,"spectral_helix","[462,464,466]",[],[57],[],"[""Default"",""Nightfall""]",[],"[18079,57192]",[129],339,[],"[140,494]",[],[],1000,[],[]
67,"earthquake","[468,480,494,508,522]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer"",""Harmonious""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129,57521]",[],339,[],"[224,227,225,226]",[],[],1000,[],[]
68,"earthquake_ancestral","[534,539,544,549,554]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129]",[],339,[],"[224,227]",[],[],1000,[],[]
69,"earthquake_lite","[559,560,561,562,563]",[],[],[],[],[],[],[],339,[],"[224,227,225,226]",[],[],1000,[],[]
70,"earthshatter","[582,586,589,594,585,597,592,593,2503]",[18],[],[1],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],339,[],[446],[],[],1000,[],[]
71,"earthshatter_ancestral","[598,601,604,607,585,597,610,611,2504]",[19],[],[5],"[""Default"",""Verdant"",""Lava""]",[],"[18079,22421,43749]",[],339,[],[446],[],[],1000,[],[]
72,"ground_slam","[626,635,636]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],339,[],[1],[],[],1000,[],[]
73,"ground_slam_ancestral","[646,650]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],339,[],[1],[],[],1000,[],[]
74,"ice_crash","[654,656,658]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[],[]
75,"ice_crash_lite","[660,662,664]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[],[]
76,"ice_crash_ancestral","[666,668,670]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],339,[],[198],[],[],1000,[],[]
77,"leap_slam","[672,683]",[],"[58,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage"",""CrowbellLeapSlam"",""CultistGolemSlam""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972,1015,29555]",[],339,[],"[12,14,207,13,758]",[],[],1000,[],[]
78,"leap_slam_ancestral","[726,733]",[],"[58,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],339,[],"[12,14,207,13,758]",[],[],1000,[],[]
79,"perforate","[752,753,754,755,756]",[],[],[],"[""Default""]",[],[18079],[],339,[],[406],[],[],1000,[],[]
80,"perforate_ancestral","[757,758,759,760,761]",[],[],[],"[""Default""]",[],[18079],[],339,[],[406],[],[],1000,[],[]
81,"sunder","[762,766,770]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],339,[],[236],[],[],1000,[],[]
82,"sunder_ancestral","[774,778,782]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],339,[],[236],[],[],1000,[],[]
83,"tectonic_slam","[789,793,797,801]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[],[]
84,"tectonic_slam_ancestral","[805,807,809,801]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[],[]
85,"tectonic_slam_lite","[811,813,815]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],339,[],[313],[],[],1000,[],[]
86,"cleave","[817,821,823,826]",[],[],[],"[""Default"",""DemonCleave"",""BreachCleave"",""NoEffect"",""BreachSmallCleave"",""LegionEternalEmpire"",""BeastCleave""]",[],"[18079,34274,56897,47632,34009,21981,4403]",[],339,[],[3],[],[],1000,[],[]
87,"blade_flurry_sound",[839],[],[],[],"[""Default"",""MossMonster"",""NoSound"",""Urchin""]",[],"[18079,52232,48877,39658]",[],1716,[],"[19,20]",[],[],1000,[],[]
88,"piety_reverse_cleave_sound",[842],[],[],[],"[""Default"",""Beast""]",[],"[18079,4395]",[],1716,[],[214],[],[],1000,[],[]
89,"purge_hound_whirling_blades_sound",[844],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1716,[],[279],[],[],1000,[],[]
90,"whirling_leap_sound",[846],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1716,[],[223],[],[],1000,[],[]
91,"maligaro_blade_flurry_sound",[848],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1716,[],[273],[],[],1000,[],[]
92,"mortar_barrage_mine","[850,853]",[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[381],"[18079,7859,39541]",[131],339,[],[420],[],[],1000,[],[]
93,"mine_lightning_explosion",[856],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[383],"[18079,7859,39541]",[],339,[],[421],[],[],1000,[],[]
94,"cold_projectile_mine",[859],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[385],"[18079,7859,39541]",[134],339,[],[422],[],[],1000,[],[]
95,"poisonous_concoction","[870,862,872]",[],"[127,0]",[],"[""Default"",""Demonic"",""Alchemist""]",[453],"[18079,61278,31801]",[137],339,[],[502],[],[],1000,[],[]
96,"poisonous_concoction_wall","[870,863]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[],[]
97,"poisonous_concoction_lite","[870,864]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[],[]
98,"poisonous_concoction_wall_lite","[870,865]",[],[],[],"[""Default"",""Demonic"",""Alchemist""]",[],"[18079,61278,31801]",[],339,[],[502],[],[],1000,[],[]
99,"glacial_cascade","[880,884]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],339,[],"[456,586]",[],[],1000,[],[]
100,"glacial_cascade_lite","[888,889]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],339,[],[456],[],[],1000,[],[]
101,"glacial_cascade_old",[890],[],[],[],"[""Default"",""Dark"",""Miner"",""Chaos"",""Molten"",""Ornaments"",""Seawitch"",""Wave"",""Gemling"",""GemlingUpgraded"",""Lightning"",""AbyssBatVomit"",""Arctic"",""Illusionist"",""Stranglecharm""]",[],"[18079,5676,52447,38322,19877,35565,49065,24110,25069,719,41050,34205,59603,54759,21597]",[],339,[],"[163,164]",[],[],1000,[],[]
102,"arc","[905,917,920,932]","[20,0]","[65,0]",[],"[""Default"",""Guardian"",""Piety"",""BreachLightning"",""PurpleMTX"",""Clockwork"",""Automaton"",""Sulphite"",""Celestial"",""BlightLightning"",""WithCurve"",""BreachLightningNew"",""HellscapeFleshFodder"",""AtlasInvadersConsumeFodder2""]",[387],"[18079,57229,56950,58664,43085,56503,3488,48680,27572,11101,57028,2612,44603,7272]",[],339,[],"[37,38,514,560]",[],[],1000,[],[]
103,"chronomancer",[934],[],"[69,0,0,0]",[],"[""Default"",""Sanctum""]",[],"[18079,23923]",[],339,[],[503],[],[],1000,[],[]
104,"flame_wall","[936,941]",[],[],[9],"[""Default"",""Stygian"",""Oblivion"",""Transcendence"",""DemonicFire""]",[390],"[18079,39541,116,28088,49438]",[],339,[],[451],[],[],1000,[],[]
105,"storm_brand","[958,961,964,967,970]","[50,0]",[],[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],339,[],[377],[],[],1000,[],[]
106,"armageddon_brand","[973,975,977,979,981,983]",[56],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],339,[],[385],[],[],1000,[],[]
107,"arcanist_brand","[985,987,989,991]",[58],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],339,[],[438],[],[],1000,[],[]
108,"penance_brand","[993,995,997,999,1001,1003]","[60,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[411,413]","[18079,64124,27572]",[],339,[],[444],[],[],1000,[],[]
109,"winter_brand","[1005,1007,1009,1011,1013]","[64,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[415,417,419]","[18079,64124,27572]",[],339,[],[445],[],[],1000,[],[]
