"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","bool_44","string_45","i32_53","i32_57","i32_61","bool_65"
26,"Metadata/Items/SoulCores/RuneManaRecoveryGreater",531,663,108,26,1,1,1,"s/RuneFire",0,0,0,""
27,"Metadata/Items/SoulCores/RuneStunLesser",522,523,188,27,1,1,1,"s/RuneFire",0,0,0,1
28,"Metadata/Items/SoulCores/RuneStun",512,593,188,28,1,1,1,"s/RuneFire",0,0,0,1
29,"Metadata/Items/SoulCores/RuneStunGreater",532,663,188,29,1,1,1,"s/RuneFire",0,0,0,""
30,"Metadata/Items/SoulCores/RuneStrengthLesser",534,523,268,30,1,1,1,"s/RuneFire",0,0,0,1
31,"Metadata/Items/SoulCores/RuneStrength",535,593,268,31,1,1,1,"s/RuneFire",0,0,0,1
32,"Metadata/Items/SoulCores/RuneStrengthGreater",536,663,268,32,1,1,1,"s/RuneFire",0,0,0,""
33,"Metadata/Items/SoulCores/RuneDexterityLesser",537,523,348,33,1,1,1,"s/RuneFire",0,0,0,1
34,"Metadata/Items/SoulCores/RuneDexterity",538,593,348,34,1,1,1,"s/RuneFire",0,0,0,1
35,"Metadata/Items/SoulCores/RuneDexterityGreater",539,663,348,35,1,1,1,"s/RuneFire",0,0,0,""
36,"Metadata/Items/SoulCores/RuneIntelligenceLesser",540,523,428,36,1,1,1,"s/RuneFire",0,0,0,1
37,"Metadata/Items/SoulCores/RuneIntelligence",541,593,428,37,1,1,1,"s/RuneFire",0,0,0,1
38,"Metadata/Items/SoulCores/RuneIntelligenceGreater",542,663,428,38,1,1,1,"s/RuneFire",0,0,0,""
39,"Metadata/Items/SoulCores/SoulCoreElemental",559,198,768,39,1,1,1,"s/RuneFire",0,0,0,""
40,"Metadata/Items/SoulCores/SoulCoreChaos",550,278,768,40,1,1,1,"s/RuneFire",0,0,0,""
41,"Metadata/Items/SoulCores/SoulCoreBleed",551,358,768,41,1,1,1,"s/RuneFire",0,0,0,""
42,"Metadata/Items/SoulCores/SoulCoreMaxLife",552,438,768,42,1,1,1,"s/RuneFire",0,0,0,""
43,"Metadata/Items/SoulCores/SoulCoreMaxMana",553,518,768,43,1,1,1,"s/RuneFire",0,0,0,""
44,"Metadata/Items/SoulCores/SoulCoreEnlighten",554,598,768,44,1,1,1,"s/RuneFire",0,0,0,""
45,"Metadata/Items/SoulCores/SoulCoreIgnite",555,678,768,45,1,1,1,"s/RuneFire",0,0,0,""
46,"Metadata/Items/SoulCores/SoulCoreFreeze",556,158,848,46,1,1,1,"s/RuneFire",0,0,0,""
47,"Metadata/Items/SoulCores/SoulCoreShock",557,238,848,47,1,1,1,"s/RuneFire",0,0,0,""
48,"Metadata/Items/SoulCores/SoulCoreSpeed",560,318,848,48,1,1,1,"s/RuneFire",0,0,0,""
49,"Metadata/Items/SoulCores/SoulCoreCrit",561,398,848,49,1,1,1,"s/RuneFire",0,0,0,""
50,"Metadata/Items/SoulCores/SoulCoreStrength",562,478,848,50,1,1,1,"s/RuneFire",0,0,0,""
51,"Metadata/Items/SoulCores/SoulCoreDexterity",563,558,848,51,1,1,1,"s/RuneFire",0,0,0,""
52,"Metadata/Items/SoulCores/SoulCoreIntelligence",564,638,848,52,1,1,1,"s/RuneFire",0,0,0,""
53,"Metadata/Items/SoulCores/SoulCoreLight",558,718,848,53,1,1,1,"s/RuneFire",0,0,0,""
54,"Metadata/Items/SoulCores/RuneSpecial1",546,438,148,54,1,1,1,"s/RuneFire",0,0,0,""
55,"Metadata/Items/SoulCores/RuneSpecial2",547,438,228,55,1,1,1,"s/RuneFire",0,0,0,""
56,"Metadata/Items/SoulCores/RuneSpecial3",548,438,308,56,1,1,1,"s/RuneFire",0,0,0,""
57,"Metadata/Items/SoulCores/RuneSpecial4",549,438,388,57,1,1,1,"s/RuneFire",0,0,0,""
58,"Metadata/Items/SoulCores/TalismanSnake",565,238,678,58,1,1,1,"s/RuneFire",0,0,0,""
59,"Metadata/Items/SoulCores/TalismanMonkey",566,318,678,59,1,1,1,"s/RuneFire",0,0,0,""
60,"Metadata/Items/SoulCores/TalismanOwl",567,398,678,60,1,1,1,"s/RuneFire",0,0,0,""
61,"Metadata/Items/SoulCores/TalismanCat",568,478,678,61,1,1,1,"s/RuneFire",0,0,0,""
62,"Metadata/Items/SoulCores/TalismanWolf",569,558,678,62,1,1,1,"s/RuneFire",0,0,0,""
63,"Metadata/Items/SoulCores/TalismanStag",570,638,678,63,1,1,1,"s/RuneFire",0,0,0,""
64,"Metadata/Items/SoulCores/TalismanBoar",571,278,598,64,1,1,1,"s/RuneFire",0,0,0,""
65,"Metadata/Items/SoulCores/TalismanBear",572,358,598,65,1,1,1,"s/RuneFire",0,0,0,""
66,"Metadata/Items/SoulCores/TalismanOx",573,438,598,66,1,1,1,"s/RuneFire",0,0,0,""
67,"Metadata/Items/SoulCores/TalismanRabbit",574,518,598,67,1,1,1,"s/RuneFire",0,0,0,""
68,"Metadata/Items/SoulCores/TalismanFox",575,598,598,68,1,1,1,"s/RuneFire",0,0,0,""
