"rownum","rid","i32","i32","[i32]","BetrayalTargetsKey","i32","rid","[rid]","BetrayalUpgradesKey","bool","[i32]","[rid]","bool","[i32]","NPCTextAudioKey","[i32]"
53,4,1,27,[7],3,1000,"",[],"","",[],[],1,[],2345,[]
54,4,1,28,[7],8,1000,"",[],"","",[],[],1,[],2346,[]
55,4,1,29,[7],13,1000,"",[],"","",[],[],1,[],2347,[]
56,4,1,30,[7],14,1000,"",[],"","",[],[],1,[],2348,[]
57,4,1,31,[7],"",100,"",[],"","",[],[],"",[],2349,[]
58,4,3,0,[],"",100,1,[],"","",[],[],"",[],2350,[]
59,4,3,1,[],"",100,2,[],"","",[],[],"",[],2351,[]
60,4,3,2,[],"",100,4,[],"","",[],[],"",[],2352,[]
61,4,3,3,[],"",100,3,[],"","",[],[],"",[],2353,[]
62,4,4,0,[],"",100,"",[0],"","",[],[],"",[],2354,[]
63,4,4,1,[],"",100,2,[],"","",[],[],"",[],2355,[]
64,4,4,2,[],"",100,4,[],"","",[],[],"",[],2356,[]
65,4,5,0,[],"",100,1,[],"","",[],[],"",[],2357,[]
66,4,5,1,[],"",100,2,[],"","",[],[],"",[],2358,[]
67,4,5,2,[],"",100,4,[],"","",[],[],"",[],2359,[]
68,4,5,3,[],"",100,3,[],"","",[],[],"",[],2360,[]
69,4,5,4,[1],"",300,"",[],"","",[],[],"",[],2361,[]
70,4,5,5,[3],"",300,"",[],"","",[],[],"",[],2362,[]
71,4,5,6,[5],"",300,"",[],"","",[],[],"",[],2363,[]
72,4,5,7,[6],"",300,"",[],"","",[],[],"",[],2364,[]
73,4,5,8,"[2,4]","",300,"",[],"","",[],[],"",[],2365,[]
74,4,5,9,[],"",100,"","[1,2]","","",[],[],"",[],2366,[]
75,4,5,10,[],"",100,"",[0],"","",[],[],"",[],2367,[]
76,4,8,0,[8],"",1000,"",[],"","",[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2368,[]
77,4,8,1,[],"",300,"",[],"","",[],[3],"",[],2369,[]
78,4,8,2,[],"",300,"",[],"","",[],[7],"",[],2370,[]
79,4,8,3,[],"",300,"",[],"","",[],[4],"",[],2371,[]
80,4,8,4,[],"",300,"",[],"","",[],[10],"",[],2372,[]
81,4,8,5,[],"",300,"",[],"","",[],"[9,8]","",[],2373,[]
82,4,8,6,[],"",300,"",[],"","",[],"[18,19,20,21,22,13,14,15]","",[],2374,[]
83,4,9,0,[],"",100,"",[],"","",[],"[3,13,14,15]","",[],2375,[]
84,4,9,1,[],"",100,"",[],"","",[],[7],"",[],2376,[]
85,4,9,2,[],"",100,"",[],"","",[],[4],"",[],2377,[]
86,4,9,3,[],"",100,"",[],"","",[],[10],"",[],2378,[]
87,4,9,4,[],"",100,"",[],"","",[],"[9,8]","",[],2379,[]
88,4,9,5,[],"",100,"",[],"","",[],"[18,19,20,21,22]","",[],2380,[]
89,4,6,0,[],"",300,"",[],"","",[],[5],"",[],2381,[]
90,4,6,1,[],"",300,"",[],"","",[],[11],"",[],2382,[]
91,4,6,2,[],"",300,"",[],"","",[],[6],"",[],2383,[]
92,4,6,3,[],"",300,"",[],"","",[],[12],"",[],2384,[]
93,4,6,4,[],7,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2385,[]
94,4,6,5,[],5,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2386,[]
95,4,6,6,[],8,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2387,[]
96,4,6,7,[],13,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2388,[]
97,4,6,8,[],14,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2389,[]
98,4,6,9,[],"",100,"",[],"","",[],"[5,11,6,12,16,17]","",[],2390,[]
99,4,10,0,[],"",100,"",[],"","",[],[2],"",[],2391,[]
100,4,10,1,[],"",100,"",[],"","",[7],[2],"",[],2392,[]
101,4,10,2,[],"",100,"",[2],"","",[],[2],"",[],2393,[]
102,4,10,3,[1],"",300,"",[],"","",[],[2],"",[],2394,[]
103,4,7,0,[],"",100,"",[],"","",[],[],"",[],2395,[]
104,4,7,1,[],7,1000,"",[],"","",[],[],1,[],2396,[]
105,4,7,2,[],3,1000,"",[],"","",[],[],1,[],2397,[]
106,4,7,3,[],6,1000,"",[],"","",[],[],1,[],2398,[]
107,4,7,4,[],16,1000,"",[],"","",[],[],1,[],2399,[]
108,4,7,5,[],17,1000,"",[],"","",[],[],1,[],2400,[]
109,4,7,6,[],"",100,"",[],"","",[],[],"",[],2401,[]
110,4,11,0,[],"",100,"",[],"","",[],[],"",[],2402,[]
111,4,11,1,[1],"",300,"",[],"","",[],[],"",[],2403,[]
112,4,11,2,[3],"",300,"",[],"","",[],[],"",[],2404,[]
113,4,12,0,[],"",100,"",[1],"","",[],[],"",[],2405,[]
114,4,12,1,[],"",100,"",[2],"","",[],[],"",[],2406,[]
115,4,12,2,[],"",100,"",[0],"","",[],[],"",[],2407,[]
116,4,14,0,[],"",100,"",[],"","",[],[],"",[],2408,[]
117,4,0,15,[9],"",100,"",[],"",1,[],[],"",[],2409,[]
118,4,4,3,[],"",100,"",[],"",1,[],[],"",[],2410,[]
119,4,5,11,[],"",100,"",[],"",1,[],[],"",[],2411,[]
120,4,9,6,[],"",100,"",[],"",1,[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2412,[]
121,4,11,3,[],"",100,"",[],"",1,[],[],"",[],2413,[]
122,1,0,0,[],"",10,"",[],"","",[],[],1,[9],2420,[]
123,1,0,1,[],"",100,1,[],"","",[],[],"",[],2421,[]
124,1,0,2,[],"",100,2,[],"","",[],[],"",[],2422,[]
125,1,0,3,[],"",100,4,[],"","",[],[],"",[],2423,[]
126,1,0,4,[],"",100,3,[],"","",[],[],"",[],2424,[]
127,1,0,5,[1],"",300,"",[],"","",[],[],"",[],2425,[]
128,1,0,6,[3],"",300,"",[],"","",[],[],"",[],2426,[]
129,1,0,7,[5],"",300,"",[],"","",[],[],"",[],2427,[]
130,1,0,8,[6],"",300,"",[],"","",[],[],"",[],2428,[]
131,1,0,9,"[2,4]","",300,"",[],"","",[],[],"",[],2429,[]
132,1,0,10,[],"",100,"",[],32,"",[],[],"",[],2430,[]
133,1,0,11,[],"",100,"",[],31,"",[],[],"",[],2431,[]
134,1,0,12,[],"",100,"",[],8,"",[],[],"",[],2432,[]
135,1,0,13,[],"",100,"",[],6,"",[],[],"",[],2433,[]
136,1,0,14,[],"",100,"",[],4,"",[],[],"",[],2434,[]
137,1,13,0,[],"",10,"",[],"","",[],[],1,[],2435,[]
138,1,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2436,[]
139,1,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2437,[]
140,1,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2438,[]
141,1,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2439,[]
142,1,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2440,[]
143,1,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2441,[]
144,1,1,6,[],7,1000,"","[1,2]","","",[],[],1,[],2442,[]
145,1,1,7,[],2,1000,"","[1,2]","","",[],[],1,[],2443,[]
146,1,1,8,[],13,1000,"","[1,2]","","",[],[],1,[],2444,[]
147,1,1,9,[],14,1000,"","[1,2]","","",[],[],1,[],2445,[]
148,1,1,10,[],17,1000,"","[1,2]","","",[],[],1,[],2446,[]
149,1,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2447,[]
150,1,1,12,[],"",100,1,[0],"","",[],[],"",[],2448,[]
151,1,1,13,[],"",100,2,[0],"","",[],[],"",[],2449,[]
152,1,1,14,[],"",100,4,[0],"","",[],[],"",[],2450,[]
153,1,1,15,[],"",100,3,[0],"","",[],[],"",[],2451,[]
154,1,1,16,[],2,1000,"",[0],"","",[],[],1,[],2452,[]
155,1,1,17,[],3,1000,"",[0],"","",[],[],1,[],2453,[]
156,1,1,18,[],10,1000,"",[0],"","",[],[],1,[],2454,[]
157,1,1,19,[],11,1000,"",[0],"","",[],[],1,[],2455,[]
158,1,1,20,[],16,1000,"",[0],"","",[],[],1,[],2456,[]
159,1,1,21,[],"",100,"",[0],"","",[],[],"",[],2457,[]
160,1,2,0,[],"",100,1,[0],"","",[],[],"",[],2458,[]
161,1,2,1,[],"",100,2,[0],"","",[],[],"",[],2459,[]
162,1,2,2,[],"",100,4,[0],"","",[],[],"",[],2460,[]
163,1,2,3,[],"",100,3,[0],"","",[],[],"",[],2461,[]
164,1,2,4,[],2,1000,"",[0],"","",[],[],1,[],2462,[]
165,1,2,5,[],10,1000,"",[0],"","",[],[],1,[],2463,[]
166,1,2,6,[],11,1000,"",[0],"","",[],[],1,[],2464,[]
167,1,2,7,[],16,1000,"",[0],"","",[],[],1,[],2465,[]
168,1,2,8,[],"",1000,"",[0],"","",[],[],"",[],2466,[]
169,1,1,22,[7],"",100,1,[],"","",[],[],"",[],2467,[]
170,1,1,23,[7],"",100,2,[],"","",[],[],"",[],2468,[]
171,1,1,24,[7],"",100,4,[],"","",[],[],"",[],2469,[]
172,1,1,25,[7],"",100,3,[],"","",[],[],"",[],2470,[]
173,1,1,26,[7],3,1000,"",[],"","",[],[],1,[],2471,[]
174,1,1,27,[7],5,1000,"",[],"","",[],[],1,[],2472,[]
175,1,1,28,[7],10,1000,"",[],"","",[],[],1,[],2473,[]
176,1,1,29,[7],11,1000,"",[],"","",[],[],1,[],2474,[]
177,1,1,30,[7],17,1000,"",[],"","",[],[],1,[],2475,[]
178,1,1,31,[7],"",100,"",[],"","",[],[],"",[],2476,[]
179,1,3,0,[],"",100,1,[],"","",[],[],"",[],2477,[]
180,1,3,1,[],"",100,2,[],"","",[],[],"",[],2478,[]
181,1,3,2,[],"",100,4,[],"","",[],[],"",[],2479,[]
182,1,3,3,[],"",100,3,[],"","",[],[],"",[],2480,[]
183,1,4,0,[],"",100,"",[0],"","",[],[],"",[],2481,[]
184,1,4,1,[],"",100,2,[],"","",[],[],"",[],2482,[]
185,1,4,2,[],"",100,4,[],"","",[],[],"",[],2483,[]
186,1,5,0,[],"",100,1,[],"","",[],[],"",[],2484,[]
187,1,5,1,[],"",100,2,[],"","",[],[],"",[],2485,[]
188,1,5,2,[],"",100,4,[],"","",[],[],"",[],2486,[]
189,1,5,3,[],"",100,3,[],"","",[],[],"",[],2487,[]
190,1,5,4,[1],"",300,"",[],"","",[],[],"",[],2488,[]
191,1,5,5,[3],"",300,"",[],"","",[],[],"",[],2489,[]
192,1,5,6,[5],"",300,"",[],"","",[],[],"",[],2490,[]
193,1,5,7,[6],"",300,"",[],"","",[],[],"",[],2491,[]
194,1,5,8,"[2,4]","",300,"",[],"","",[],[],"",[],2492,[]
195,1,5,9,[],"",100,"","[1,2]","","",[],[],"",[],2493,[]
196,1,5,10,[],"",100,"",[0],"","",[],[],"",[],2494,[]
197,1,8,0,[8],"",1000,"",[],"","",[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2501,[]
198,1,8,1,[],"",300,"",[],"","",[],[3],"",[],2495,[]
199,1,8,2,[],"",300,"",[],"","",[],"[7,13,14,15]","",[],2496,[]
200,1,8,3,[],"",300,"",[],"","",[],[4],"",[],2497,[]
201,1,8,4,[],"",300,"",[],"","",[],[10],"",[],2498,[]
202,1,8,5,[],"",300,"",[],"","",[],"[9,8]","",[],2499,[]
203,1,8,6,[],"",300,"",[],"","",[],"[18,19,20,21,22]","",[],2500,[]
204,1,9,0,[],"",100,"",[],"","",[],"[3,13,14,15]","",[],2502,[]
205,1,9,1,[],"",100,"",[],"","",[],[7],"",[],2503,[]
206,1,9,2,[],"",100,"",[],"","",[],[4],"",[],2504,[]
207,1,9,3,[],"",100,"",[],"","",[],[10],"",[],2505,[]
208,1,9,4,[],"",100,"",[],"","",[],"[9,8]","",[],2506,[]
209,1,9,5,[],"",100,"",[],"","",[],"[18,19,20,21,22]","",[],2507,[]
210,1,6,0,[],"",300,"",[],"","",[],[5],"",[],2508,[]
211,1,6,1,[],"",300,"",[],"","",[],[11],"",[],2509,[]
212,1,6,2,[],"",300,"",[],"","",[],[6],"",[],2510,[]
213,1,6,3,[],"",300,"",[],"","",[],[12],"",[],2511,[]
214,1,6,4,[],2,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2512,[]
215,1,6,5,[],3,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2513,[]
216,1,6,6,[],10,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2514,[]
217,1,6,7,[],11,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2515,[]
218,1,6,8,[],16,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2516,[]
219,1,6,9,[],"",100,"",[],"","",[],"[5,11,6,12,16,17]","",[],2517,[]
220,1,10,0,[],"",100,"",[],"","",[],[2],"",[],2518,[]
221,1,10,1,[],"",100,"",[],"","",[7],[2],"",[],2519,[]
222,1,10,2,[],"",100,"",[2],"","",[],[2],"",[],2520,[]
223,1,10,3,[1],"",300,"",[],"","",[],[2],"",[],2521,[]
224,1,7,0,[],"",100,"",[],"","",[],[],"",[],2522,[]
225,1,7,1,[],2,1000,"",[],"","",[],[],1,[],2523,[]
226,1,7,2,[],3,1000,"",[],"","",[],[],1,[],2524,[]
227,1,7,3,[],9,1000,"",[],"","",[],[],1,[],2525,[]
228,1,7,4,[],11,1000,"",[],"","",[],[],1,[],2526,[]
229,1,7,5,[],13,1000,"",[],"","",[],[],1,[],2527,[]
230,1,7,6,[],"",100,"",[],"","",[],[],"",[],2528,[]
231,1,11,0,[],"",100,"",[],"","",[],[],"",[],2529,[]
232,1,11,1,[1],"",300,"",[],"","",[],[],"",[],2530,[]
233,1,11,2,[3],"",300,"",[],"","",[],[],"",[],2531,[]
234,1,12,0,[],"",100,"",[1],"","",[],[],"",[],2532,[]
235,1,12,1,[],"",100,"",[2],"","",[],[],"",[],2533,[]
236,1,12,2,[],"",100,"",[0],"","",[],[],"",[],2534,[]
237,1,14,0,[],"",100,"",[],"","",[],[],"",[],2535,[]
238,1,0,15,[9],"",100,1,[],"",1,[],[],"",[],2536,[]
239,1,0,16,[6],"",100,"",[],"",1,[],[],"",[],2537,[]
240,1,4,3,[],"",100,"",[],"",1,[],[],"",[],2538,[]
241,1,5,11,[],"",100,"",[],"",1,[],[],"",[],2539,[]
242,1,11,3,[],"",100,"",[],"",1,[],[],"",[],2540,[]
243,10,0,0,[],"",10,"",[],"","",[],[],1,[9],2547,[]
244,10,0,1,[],"",100,1,[],"","",[],[],"",[],2548,[]
245,10,0,2,[],"",100,2,[],"","",[],[],"",[],2549,[]
246,10,0,3,[],"",100,4,[],"","",[],[],"",[],2550,[]
247,10,0,4,[],"",100,3,[],"","",[],[],"",[],2551,[]
248,10,0,5,[1],"",300,"",[],"","",[],[],"",[],2552,[]
249,10,0,6,[3],"",300,"",[],"","",[],[],"",[],2553,[]
250,10,0,7,[3],"",300,"",[],"","",[],[],"",[],2554,[]
251,10,0,8,[3],"",300,"",[],"","",[],[],"",[],2555,[]
252,10,0,9,[5],"",300,"",[],"","",[],[],"",[],2556,[]
253,10,0,10,[6],"",300,"",[],"","",[],[],"",[],2557,[]
254,10,0,11,[6],"",300,"",[],"","",[],[],"",[],2558,[]
255,10,0,12,[2],"",300,"",[],"","",[],[],"",[],2559,[]
256,10,0,13,[],"",100,"",[],25,"",[],[],"",[],2560,[]
257,10,0,14,[],"",100,"",[],22,"",[],[],"",[],2561,[]
258,10,0,15,[],"",100,"",[],23,"",[],[],"",[],2562,[]
259,10,0,16,[],"",100,"",[],21,"",[],[],"",[],2563,[]
260,10,0,17,[],"",100,"",[],7,"",[],[],"",[],2564,[]
261,10,13,0,[],"",10,"",[],"","",[],[],1,[],2565,[]
262,10,1,0,[],"",100,1,"[1,2]","","",[],[],"",[],2566,[]
263,10,1,1,[],"",100,2,"[1,2]","","",[],[],"",[],2567,[]
264,10,1,2,[],"",100,4,"[1,2]","","",[],[],"",[],2568,[]
265,10,1,3,[],"",100,3,"[1,2]","","",[],[],"",[],2569,[]
266,10,1,4,[],"",100,"","[1,2]","","",[],[],"",[],2570,[]
267,10,1,5,[],"",100,"","[1,2]","","",[],[],"",[],2571,[]
268,10,1,6,[],4,1000,"","[1,2]","","",[],[],1,[],2572,[]
269,10,1,7,[],9,1000,"","[1,2]","","",[],[],1,[],2573,[]
270,10,1,8,[],6,1000,"","[1,2]","","",[],[],1,[],2574,[]
271,10,1,9,[],14,1000,"","[1,2]","","",[],[],1,[],2575,[]
272,10,1,10,[],15,1000,"","[1,2]","","",[],[],1,[],2576,[]
273,10,1,11,[],"",100,"","[1,2]","","",[],[],"",[],2577,[]
274,10,1,12,[],"",100,1,[0],"","",[],[],"",[],2578,[]
275,10,1,13,[],"",100,2,[0],"","",[],[],"",[],2579,[]
276,10,1,14,[],"",100,4,[0],"","",[],[],"",[],2580,[]
277,10,1,15,[],"",100,3,[0],"","",[],[],"",[],2581,[]
278,10,1,16,[],1,1000,"",[0],"","",[],[],1,[],2582,[]
279,10,1,17,[],7,1000,"",[0],"","",[],[],1,[],2583,[]
280,10,1,18,[],4,1000,"",[0],"","",[],[],1,[],2584,[]
281,10,1,19,[],12,1000,"",[0],"","",[],[],1,[],2585,[]
282,10,1,20,[],14,1000,"",[0],"","",[],[],1,[],2586,[]
283,10,1,21,[],"",100,"",[0],"","",[],[],"",[],2587,[]
284,10,2,0,[],"",100,1,[0],"","",[],[],"",[],2588,[]
285,10,2,1,[],"",100,2,[0],"","",[],[],"",[],2589,[]
286,10,2,2,[],"",100,4,[0],"","",[],[],"",[],2590,[]
287,10,2,3,[],"",100,3,[0],"","",[],[],"",[],2591,[]
288,10,2,4,[],1,1000,"",[0],"","",[],[],1,[],2592,[]
289,10,2,5,[],2,1000,"",[0],"","",[],[],1,[],2593,[]
290,10,2,6,[],3,1000,"",[0],"","",[],[],1,[],2594,[]
291,10,2,7,[],15,1000,"",[0],"","",[],[],1,[],2595,[]
292,10,2,8,[],16,1000,"",[0],"","",[],[],1,[],2596,[]
293,10,2,9,[],"",100,"",[0],"","",[],[],"",[],2597,[]
294,10,1,22,[7],"",100,1,[],"","",[],[],"",[],2598,[]
295,10,1,23,[7],"",100,2,[],"","",[],[],"",[],2599,[]
296,10,1,24,[7],"",100,4,[],"","",[],[],"",[],2600,[]
297,10,1,25,[7],"",100,3,[],"","",[],[],"",[],2601,[]
298,10,1,26,[7],"",100,"",[],"","",[],[],"",[],2602,[]
299,10,1,27,[7],2,1000,"",[],"","",[],[],1,[],2603,[]
300,10,1,28,[7],8,1000,"",[],"","",[],[],1,[],2604,[]
301,10,1,29,[7],11,1000,"",[],"","",[],[],1,[],2605,[]
302,10,1,30,[7],14,1000,"",[],"","",[],[],1,[],2606,[]
303,10,1,31,[7],16,1000,"",[],"","",[],[],1,[],2607,[]
304,10,3,0,[],"",100,1,[],"","",[],[],"",[],2608,[]
305,10,3,1,[],"",100,2,[],"","",[],[],"",[],2609,[]
306,10,3,2,[],"",100,4,[],"","",[],[],"",[],2610,[]
307,10,3,3,[],"",100,3,[],"","",[],[],"",[],2611,[]
308,10,4,0,[],"",100,"",[0],"","",[],[],"",[],2612,[]
309,10,4,1,[],"",100,2,[],"","",[],[],"",[],2613,[]
310,10,4,2,[],"",100,4,[],"","",[],[],"",[],2614,[]
311,10,5,0,[],"",100,1,[],"","",[],[],"",[],2615,[]
312,10,5,1,[],"",100,2,[],"","",[],[],"",[],2616,[]
313,10,5,2,[],"",100,4,[],"","",[],[],"",[],2617,[]
314,10,5,3,[],"",100,3,[],"","",[],[],"",[],2618,[]
315,10,5,4,[1],"",300,"",[],"","",[],[],"",[],2619,[]
316,10,5,5,[3],"",300,"",[],"","",[],[],"",[],2620,[]
317,10,5,6,[5],"",300,"",[],"","",[],[],"",[],2621,[]
318,10,5,7,[6],"",300,"",[],"","",[],[],"",[],2622,[]
319,10,5,8,"[2,4]","",300,"",[],"","",[],[],"",[],2623,[]
320,10,5,9,[],"",100,"","[1,2]","","",[],[],"",[],2624,[]
321,10,5,10,[],"",100,"",[0],"","",[],[],"",[],2625,[]
322,10,8,0,[8],"",1000,"",[],"","",[],"[3,7,4,10,9,8,18,19,20,21,22,13,14,15]","",[],2626,[]
323,10,8,1,[],"",300,"",[],"","",[],"[3,13,15,14]","",[],2627,[]
324,10,8,2,[],"",300,"",[],"","",[],[7],"",[],2628,[]
325,10,8,3,[],"",300,"",[],"","",[],[4],"",[],2629,[]
326,10,8,4,[],"",300,"",[],"","",[],[10],"",[],2630,[]
327,10,8,5,[],"",300,"",[],"","",[],"[9,8]","",[],2631,[]
328,10,8,6,[],"",300,"",[],"","",[],"[18,19,20,21,22]","",[],2632,[]
329,10,9,0,[],"",100,"",[],"","",[],[3],"",[],2633,[]
330,10,9,1,[],"",100,"",[],"","",[],[7],"",[],2634,[]
331,10,9,2,[],"",100,"",[],"","",[],"[4,13,14,15]","",[],2635,[]
332,10,9,3,[],"",100,"",[],"","",[],[10],"",[],2636,[]
333,10,9,4,[],"",100,"",[],"","",[],"[9,8]","",[],2637,[]
334,10,9,5,[],"",100,"",[],"","",[],"[18,19,20,21,22]","",[],2638,[]
335,10,6,0,[],"",300,"",[],"","",[],[5],"",[],2639,[]
336,10,6,1,[],"",300,"",[],"","",[],[11],"",[],2640,[]
337,10,6,2,[],"",300,"",[],"","",[],[6],"",[],2641,[]
338,10,6,3,[],"",300,"",[],"","",[],[12],"",[],2642,[]
339,10,6,4,[],"",100,"",[],"","",[],"[5,11,6,12,16,17]","",[],2643,[]
340,10,6,5,[],2,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2644,[]
341,10,6,6,[],12,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2645,[]
342,10,6,7,[],14,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2646,[]
343,10,6,8,[],15,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2647,[]
344,10,6,9,[],16,100,"",[],"","",[],"[5,11,6,12,16,17]",1,[],2648,[]
345,10,10,0,[],"",100,"",[],"","",[],[2],"",[],2649,[]
346,10,10,1,[],"",100,"",[],"","",[7],[2],"",[],2650,[]
347,10,10,2,[],"",100,"",[2],"","",[],[2],"",[],2651,[]
348,10,10,3,[1],"",300,"",[],"","",[],[2],"",[],2652,[]
349,10,7,0,[],"",100,"",[],"","",[],[],"",[],2653,[]
350,10,7,1,[],"",100,"",[],"","",[],[],"",[],2654,[]
351,10,7,2,[],1,1000,"",[],"","",[],[],1,[],2655,[]
352,10,7,3,[],2,1000,"",[],"","",[],[],1,[],2656,[]
353,10,7,4,[],4,1000,"",[],"","",[],[],1,[],2657,[]
354,10,7,5,[],15,1000,"",[],"","",[],[],1,[],2658,[]
355,10,7,6,[],16,1000,"",[],"","",[],[],1,[],2659,[]
356,10,11,0,[],"",100,"",[],"","",[],[],"",[],2660,[]
357,10,11,1,[1],"",300,"",[],"","",[],[],"",[],2661,[]
358,10,11,2,[3],"",300,"",[],"","",[],[],"",[],2662,[]
359,10,12,0,[],"",100,"",[1],"","",[],[],"",[],2663,[]
360,10,12,1,[],"",100,"",[2],"","",[],[],"",[],2664,[]
361,10,12,2,[],"",100,"",[0],"","",[],[],"",[],2665,[]
362,10,14,0,[],"",100,"",[],"","",[],[],"",[],2666,[]
363,10,0,18,[9],"",100,"",[],"",1,[],[],"",[],2667,[]
364,10,5,11,[],"",100,"",[],"",1,[],[],"",[],2668,[]
365,10,9,6,[],"",100,"",[],"",1,[],[],"",[],2669,[]
366,10,11,3,[],"",100,"",[],"",1,[],[],"",[],2670,[]
367,10,12,3,[],"",100,"",[],"",1,[],[],"",[],2671,[]
